Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
March,Qtr 1,Central,Park Ridge,,
April,Qtr 2,Central,Park Ridge,,
May,Qtr 2,Central,Park Ridge,,
June,Qtr 2,Central,Park Ridge,1,25.060000000000016
July,Qtr 3,Central,Park Ridge,,
August,Qtr 3,Central,Park Ridge,,
September,Qtr 3,Central,Park Ridge,,
October,Qtr 4,Central,Park Ridge,,
November,Qtr 4,Central,Park Ridge,,
December,Qtr 4,Central,Park Ridge,9,48.551399999999994
January,Qtr 1,Central,Pasadena,,
February,Qtr 1,Central,Pasadena,,
March,Qtr 1,Central,Pasadena,,
April,Qtr 2,Central,Pasadena,,
May,Qtr 2,Central,Pasadena,,
June,Qtr 2,Central,Pasadena,2,-4.466
July,Qtr 3,Central,Pasadena,,
August,Qtr 3,Central,Pasadena,18,-373.56199999999995
September,Qtr 3,Central,Pasadena,,
October,Qtr 4,Central,Pasadena,14,59.218799999999966
November,Qtr 4,Central,Pasadena,25,-21.295799999999996
December,Qtr 4,Central,Pasadena,,
January,Qtr 1,Central,Pearland,,
February,Qtr 1,Central,Pearland,,
March,Qtr 1,Central,Pearland,,
April,Qtr 2,Central,Pearland,,
May,Qtr 2,Central,Pearland,,
June,Qtr 2,Central,Pearland,3,52.917299999999955
July,Qtr 3,Central,Pearland,,
August,Qtr 3,Central,Pearland,,
September,Qtr 3,Central,Pearland,10,-13.50420000000001
October,Qtr 4,Central,Pearland,,
November,Qtr 4,Central,Pearland,,
December,Qtr 4,Central,Pearland,,
January,Qtr 1,Central,Peoria,12,-9.72359999999999
February,Qtr 1,Central,Peoria,,
March,Qtr 1,Central,Peoria,3,-35.9058
April,Qtr 2,Central,Peoria,,
May,Qtr 2,Central,Peoria,,
June,Qtr 2,Central,Peoria,3,-20.5623
July,Qtr 3,Central,Peoria,,
August,Qtr 3,Central,Peoria,5,-6.567000000000002
September,Qtr 3,Central,Peoria,,
October,Qtr 4,Central,Peoria,,
November,Qtr 4,Central,Peoria,,
December,Qtr 4,Central,Peoria,,
January,Qtr 1,Central,Pharr,,
February,Qtr 1,Central,Pharr,,
March,Qtr 1,Central,Pharr,,
April,Qtr 2,Central,Pharr,,
May,Qtr 2,Central,Pharr,,
June,Qtr 2,Central,Pharr,,
July,Qtr 3,Central,Pharr,4,-21.3264
August,Qtr 3,Central,Pharr,18,-216.2264
September,Qtr 3,Central,Pharr,,
October,Qtr 4,Central,Pharr,,
November,Qtr 4,Central,Pharr,,
December,Qtr 4,Central,Pharr,,
January,Qtr 1,Central,Plano,,
February,Qtr 1,Central,Plano,,
March,Qtr 1,Central,Plano,,
April,Qtr 2,Central,Plano,3,-152.7156
May,Qtr 2,Central,Plano,5,13.8944
June,Qtr 2,Central,Plano,26,-216.80179999999996
July,Qtr 3,Central,Plano,4,62.988
August,Qtr 3,Central,Plano,,
September,Qtr 3,Central,Plano,4,3.4495999999999993
October,Qtr 4,Central,Plano,,
November,Qtr 4,Central,Plano,,
December,Qtr 4,Central,Plano,6,-93.86999999999996
January,Qtr 1,Central,Port Arthur,6,11.0288
February,Qtr 1,Central,Port Arthur,,
March,Qtr 1,Central,Port Arthur,,
April,Qtr 2,Central,Port Arthur,,
May,Qtr 2,Central,Port Arthur,,
June,Qtr 2,Central,Port Arthur,,
July,Qtr 3,Central,Port Arthur,,
August,Qtr 3,Central,Port Arthur,,
September,Qtr 3,Central,Port Arthur,,
October,Qtr 4,Central,Port Arthur,,
November,Qtr 4,Central,Port Arthur,5,92.93280000000003
December,Qtr 4,Central,Port Arthur,1,1.8144
January,Qtr 1,Central,Portage,,
February,Qtr 1,Central,Portage,,
March,Qtr 1,Central,Portage,2,6.5120000000000005
April,Qtr 2,Central,Portage,,
May,Qtr 2,Central,Portage,,
June,Qtr 2,Central,Portage,,
July,Qtr 3,Central,Portage,,
August,Qtr 3,Central,Portage,,
September,Qtr 3,Central,Portage,,
October,Qtr 4,Central,Portage,,
November,Qtr 4,Central,Portage,,
December,Qtr 4,Central,Portage,,
January,Qtr 1,Central,Quincy,,
February,Qtr 1,Central,Quincy,,
March,Qtr 1,Central,Quincy,,
April,Qtr 2,Central,Quincy,,
May,Qtr 2,Central,Quincy,,
June,Qtr 2,Central,Quincy,5,1.7115
July,Qtr 3,Central,Quincy,,
August,Qtr 3,Central,Quincy,,
September,Qtr 3,Central,Quincy,15,14.976999999999997
October,Qtr 4,Central,Quincy,14,25.970599999999983
November,Qtr 4,Central,Quincy,6,6.442799999999999
December,Qtr 4,Central,Quincy,,
January,Qtr 1,Central,Rapid City,4,44.7684
February,Qtr 1,Central,Rapid City,,
March,Qtr 1,Central,Rapid City,,
April,Qtr 2,Central,Rapid City,,
May,Qtr 2,Central,Rapid City,,
June,Qtr 2,Central,Rapid City,,
July,Qtr 3,Central,Rapid City,,
August,Qtr 3,Central,Rapid City,,
September,Qtr 3,Central,Rapid City,,
October,Qtr 4,Central,Rapid City,,
November,Qtr 4,Central,Rapid City,,
December,Qtr 4,Central,Rapid City,,
January,Qtr 1,Central,Richardson,,
February,Qtr 1,Central,Richardson,,
March,Qtr 1,Central,Richardson,,
April,Qtr 2,Central,Richardson,,
May,Qtr 2,Central,Richardson,,
June,Qtr 2,Central,Richardson,,
July,Qtr 3,Central,Richardson,,
August,Qtr 3,Central,Richardson,,
September,Qtr 3,Central,Richardson,,
October,Qtr 4,Central,Richardson,,
November,Qtr 4,Central,Richardson,,
December,Qtr 4,Central,Richardson,12,-24.489300000000128
January,Qtr 1,Central,Richmond,24,111.1794
February,Qtr 1,Central,Richmond,7,29.3404
March,Qtr 1,Central,Richmond,8,63.922399999999996
April,Qtr 2,Central,Richmond,8,146.828
May,Qtr 2,Central,Richmond,,
June,Qtr 2,Central,Richmond,9,123.45480000000005
July,Qtr 3,Central,Richmond,,
August,Qtr 3,Central,Richmond,9,88.8504
September,Qtr 3,Central,Richmond,,
October,Qtr 4,Central,Richmond,,
November,Qtr 4,Central,Richmond,5,207.14699999999993
December,Qtr 4,Central,Richmond,37,1111.1395999999997
January,Qtr 1,Central,Rochester,,
February,Qtr 1,Central,Rochester,,
March,Qtr 1,Central,Rochester,11,131.88809999999998
April,Qtr 2,Central,Rochester,,
May,Qtr 2,Central,Rochester,,
June,Qtr 2,Central,Rochester,,
July,Qtr 3,Central,Rochester,,
August,Qtr 3,Central,Rochester,,
September,Qtr 3,Central,Rochester,17,85.32649999999995
October,Qtr 4,Central,Rochester,,
November,Qtr 4,Central,Rochester,3,9.753399999999997
December,Qtr 4,Central,Rochester,19,293.2360000000001
January,Qtr 1,Central,Rochester Hills,,
February,Qtr 1,Central,Rochester Hills,,
March,Qtr 1,Central,Rochester Hills,,
April,Qtr 2,Central,Rochester Hills,,
May,Qtr 2,Central,Rochester Hills,,
June,Qtr 2,Central,Rochester Hills,4,54.333200000000005
July,Qtr 3,Central,Rochester Hills,,
August,Qtr 3,Central,Rochester Hills,,
September,Qtr 3,Central,Rochester Hills,,
October,Qtr 4,Central,Rochester Hills,,
November,Qtr 4,Central,Rochester Hills,,
December,Qtr 4,Central,Rochester Hills,,
January,Qtr 1,Central,Rockford,,
February,Qtr 1,Central,Rockford,10,-397.1276
March,Qtr 1,Central,Rockford,,
April,Qtr 2,Central,Rockford,,
May,Qtr 2,Central,Rockford,6,13.780799999999996
June,Qtr 2,Central,Rockford,,
July,Qtr 3,Central,Rockford,4,-18.836400000000005
August,Qtr 3,Central,Rockford,,
September,Qtr 3,Central,Rockford,14,-717.0394
October,Qtr 4,Central,Rockford,14,-18.185999999999993
November,Qtr 4,Central,Rockford,8,-53.708800000000025
December,Qtr 4,Central,Rockford,8,41.609599999999986
January,Qtr 1,Central,Romeoville,,
February,Qtr 1,Central,Romeoville,2,-14.770800000000001
March,Qtr 1,Central,Romeoville,,
April,Qtr 2,Central,Romeoville,,
May,Qtr 2,Central,Romeoville,,
June,Qtr 2,Central,Romeoville,,
July,Qtr 3,Central,Romeoville,,
August,Qtr 3,Central,Romeoville,,
September,Qtr 3,Central,Romeoville,,
October,Qtr 4,Central,Romeoville,,
November,Qtr 4,Central,Romeoville,,
December,Qtr 4,Central,Romeoville,,
January,Qtr 1,Central,Roseville,,
February,Qtr 1,Central,Roseville,,
March,Qtr 1,Central,Roseville,,
April,Qtr 2,Central,Roseville,,
May,Qtr 2,Central,Roseville,,
June,Qtr 2,Central,Roseville,14,229.00570000000002
July,Qtr 3,Central,Roseville,,
August,Qtr 3,Central,Roseville,8,23.183999999999997
September,Qtr 3,Central,Roseville,5,39.7348
October,Qtr 4,Central,Roseville,,
November,Qtr 4,Central,Roseville,14,644.5175999999999
December,Qtr 4,Central,Roseville,,
January,Qtr 1,Central,Round Rock,4,-8.879199999999997
February,Qtr 1,Central,Round Rock,,
March,Qtr 1,Central,Round Rock,14,-747.1021000000002
April,Qtr 2,Central,Round Rock,,
May,Qtr 2,Central,Round Rock,,
June,Qtr 2,Central,Round Rock,,
July,Qtr 3,Central,Round Rock,,
August,Qtr 3,Central,Round Rock,,
September,Qtr 3,Central,Round Rock,,
October,Qtr 4,Central,Round Rock,,
November,Qtr 4,Central,Round Rock,5,-427.45000000000005
December,Qtr 4,Central,Round Rock,,
January,Qtr 1,Central,Royal Oak,,
February,Qtr 1,Central,Royal Oak,,
March,Qtr 1,Central,Royal Oak,2,10.7424
April,Qtr 2,Central,Royal Oak,,
May,Qtr 2,Central,Royal Oak,,
June,Qtr 2,Central,Royal Oak,2,6.2208000000000006
July,Qtr 3,Central,Royal Oak,,
August,Qtr 3,Central,Royal Oak,,
September,Qtr 3,Central,Royal Oak,,
October,Qtr 4,Central,Royal Oak,,
November,Qtr 4,Central,Royal Oak,,
December,Qtr 4,Central,Royal Oak,,
January,Qtr 1,Central,Saginaw,,
February,Qtr 1,Central,Saginaw,,
March,Qtr 1,Central,Saginaw,,
April,Qtr 2,Central,Saginaw,,
May,Qtr 2,Central,Saginaw,,
June,Qtr 2,Central,Saginaw,,
July,Qtr 3,Central,Saginaw,,
August,Qtr 3,Central,Saginaw,,
September,Qtr 3,Central,Saginaw,,
October,Qtr 4,Central,Saginaw,,
November,Qtr 4,Central,Saginaw,4,8.2992
December,Qtr 4,Central,Saginaw,20,68.8809
January,Qtr 1,Central,Saint Charles,3,-4.804800000000002
February,Qtr 1,Central,Saint Charles,,
March,Qtr 1,Central,Saint Charles,,
April,Qtr 2,Central,Saint Charles,2,-31.861200000000004
May,Qtr 2,Central,Saint Charles,,
June,Qtr 2,Central,Saint Charles,2,4.752
July,Qtr 3,Central,Saint Charles,,
August,Qtr 3,Central,Saint Charles,2,5.6644000000000005
September,Qtr 3,Central,Saint Charles,9,84.4272
October,Qtr 4,Central,Saint Charles,,
November,Qtr 4,Central,Saint Charles,,
December,Qtr 4,Central,Saint Charles,15,253.30579999999995
January,Qtr 1,Central,Saint Cloud,,
February,Qtr 1,Central,Saint Cloud,,
March,Qtr 1,Central,Saint Cloud,,
April,Qtr 2,Central,Saint Cloud,,
May,Qtr 2,Central,Saint Cloud,,
June,Qtr 2,Central,Saint Cloud,,
July,Qtr 3,Central,Saint Cloud,,
August,Qtr 3,Central,Saint Cloud,,
September,Qtr 3,Central,Saint Cloud,13,469.6139999999999
October,Qtr 4,Central,Saint Cloud,,
November,Qtr 4,Central,Saint Cloud,,
December,Qtr 4,Central,Saint Cloud,,
January,Qtr 1,Central,Saint Louis,,
February,Qtr 1,Central,Saint Louis,,
March,Qtr 1,Central,Saint Louis,,
April,Qtr 2,Central,Saint Louis,,
May,Qtr 2,Central,Saint Louis,,
June,Qtr 2,Central,Saint Louis,,
July,Qtr 3,Central,Saint Louis,,
August,Qtr 3,Central,Saint Louis,3,15.776999999999996
September,Qtr 3,Central,Saint Louis,,
October,Qtr 4,Central,Saint Louis,,
November,Qtr 4,Central,Saint Louis,19,70.33550000000001
December,Qtr 4,Central,Saint Louis,4,12.441600000000001
January,Qtr 1,Central,Saint Paul,,
February,Qtr 1,Central,Saint Paul,,
March,Qtr 1,Central,Saint Paul,,
April,Qtr 2,Central,Saint Paul,,
May,Qtr 2,Central,Saint Paul,,
June,Qtr 2,Central,Saint Paul,,
July,Qtr 3,Central,Saint Paul,,
August,Qtr 3,Central,Saint Paul,,
September,Qtr 3,Central,Saint Paul,6,22.585199999999993
October,Qtr 4,Central,Saint Paul,,
November,Qtr 4,Central,Saint Paul,,
December,Qtr 4,Central,Saint Paul,5,2.2990000000000066
January,Qtr 1,Central,Saint Peters,,
February,Qtr 1,Central,Saint Peters,,
March,Qtr 1,Central,Saint Peters,4,146.40359999999998
April,Qtr 2,Central,Saint Peters,,
May,Qtr 2,Central,Saint Peters,,
June,Qtr 2,Central,Saint Peters,,
July,Qtr 3,Central,Saint Peters,,
August,Qtr 3,Central,Saint Peters,,
September,Qtr 3,Central,Saint Peters,,
October,Qtr 4,Central,Saint Peters,,
November,Qtr 4,Central,Saint Peters,,
December,Qtr 4,Central,Saint Peters,,
January,Qtr 1,Central,San Angelo,,
February,Qtr 1,Central,San Angelo,,
March,Qtr 1,Central,San Angelo,,
April,Qtr 2,Central,San Angelo,,
May,Qtr 2,Central,San Angelo,,
June,Qtr 2,Central,San Angelo,,
July,Qtr 3,Central,San Angelo,,
August,Qtr 3,Central,San Angelo,,
September,Qtr 3,Central,San Angelo,,
October,Qtr 4,Central,San Angelo,,
November,Qtr 4,Central,San Angelo,2,-8.72320000000002
December,Qtr 4,Central,San Angelo,11,-49.829999999999984
January,Qtr 1,Central,San Antonio,10,2.097999999999981
February,Qtr 1,Central,San Antonio,6,-17.055600000000005
March,Qtr 1,Central,San Antonio,32,39.60000000000005
April,Qtr 2,Central,San Antonio,14,-1133.2884000000004
May,Qtr 2,Central,San Antonio,11,-122.22470000000003
June,Qtr 2,Central,San Antonio,27,-86.08260000000001
July,Qtr 3,Central,San Antonio,31,-3791.1634000000017
August,Qtr 3,Central,San Antonio,,
September,Qtr 3,Central,San Antonio,40,-1896.3122000000021
October,Qtr 4,Central,San Antonio,33,51.39029999999997
November,Qtr 4,Central,San Antonio,33,-19.699600000000075
December,Qtr 4,Central,San Antonio,10,-326.3120000000001
January,Qtr 1,Central,San Marcos,,
February,Qtr 1,Central,San Marcos,,
March,Qtr 1,Central,San Marcos,,
April,Qtr 2,Central,San Marcos,,
May,Qtr 2,Central,San Marcos,12,-19.341300000000004
June,Qtr 2,Central,San Marcos,,
July,Qtr 3,Central,San Marcos,,
August,Qtr 3,Central,San Marcos,,
September,Qtr 3,Central,San Marcos,,
October,Qtr 4,Central,San Marcos,,
November,Qtr 4,Central,San Marcos,,
December,Qtr 4,Central,San Marcos,,
January,Qtr 1,Central,Sheboygan,,
February,Qtr 1,Central,Sheboygan,,
March,Qtr 1,Central,Sheboygan,,
April,Qtr 2,Central,Sheboygan,,
May,Qtr 2,Central,Sheboygan,,
June,Qtr 2,Central,Sheboygan,,
July,Qtr 3,Central,Sheboygan,,
August,Qtr 3,Central,Sheboygan,10,34.341899999999995
September,Qtr 3,Central,Sheboygan,,
October,Qtr 4,Central,Sheboygan,,
November,Qtr 4,Central,Sheboygan,,
December,Qtr 4,Central,Sheboygan,,
January,Qtr 1,Central,Sioux Falls,,
February,Qtr 1,Central,Sioux Falls,,
March,Qtr 1,Central,Sioux Falls,,
April,Qtr 2,Central,Sioux Falls,,
May,Qtr 2,Central,Sioux Falls,,
June,Qtr 2,Central,Sioux Falls,,
July,Qtr 3,Central,Sioux Falls,35,343.42990000000003
August,Qtr 3,Central,Sioux Falls,,
September,Qtr 3,Central,Sioux Falls,,
October,Qtr 4,Central,Sioux Falls,,
November,Qtr 4,Central,Sioux Falls,,
December,Qtr 4,Central,Sioux Falls,,
January,Qtr 1,Central,Skokie,,
February,Qtr 1,Central,Skokie,,
March,Qtr 1,Central,Skokie,,
April,Qtr 2,Central,Skokie,,
May,Qtr 2,Central,Skokie,,
June,Qtr 2,Central,Skokie,14,-34.39280000000001
July,Qtr 3,Central,Skokie,,
August,Qtr 3,Central,Skokie,,
September,Qtr 3,Central,Skokie,,
October,Qtr 4,Central,Skokie,,
November,Qtr 4,Central,Skokie,,
December,Qtr 4,Central,Skokie,30,-312.4771999999999
January,Qtr 1,Central,South Bend,,
February,Qtr 1,Central,South Bend,,
March,Qtr 1,Central,South Bend,,
April,Qtr 2,Central,South Bend,,
May,Qtr 2,Central,South Bend,,
June,Qtr 2,Central,South Bend,,
July,Qtr 3,Central,South Bend,25,279.5512
August,Qtr 3,Central,South Bend,,
September,Qtr 3,Central,South Bend,,
October,Qtr 4,Central,South Bend,,
November,Qtr 4,Central,South Bend,,
December,Qtr 4,Central,South Bend,,
January,Qtr 1,Central,Springfield,19,206.65240000000009
February,Qtr 1,Central,Springfield,,
March,Qtr 1,Central,Springfield,,
April,Qtr 2,Central,Springfield,13,41.1028
May,Qtr 2,Central,Springfield,20,236.2054
June,Qtr 2,Central,Springfield,,
July,Qtr 3,Central,Springfield,16,91.8224
August,Qtr 3,Central,Springfield,9,248.02760000000006
September,Qtr 3,Central,Springfield,37,200.2791
October,Qtr 4,Central,Springfield,,
November,Qtr 4,Central,Springfield,20,300.3597999999999
December,Qtr 4,Central,Springfield,17,2581.1395999999995
January,Qtr 1,Central,Sterling Heights,,
February,Qtr 1,Central,Sterling Heights,4,20.6336
March,Qtr 1,Central,Sterling Heights,,
April,Qtr 2,Central,Sterling Heights,,
May,Qtr 2,Central,Sterling Heights,,
June,Qtr 2,Central,Sterling Heights,,
July,Qtr 3,Central,Sterling Heights,5,8.93
August,Qtr 3,Central,Sterling Heights,,
September,Qtr 3,Central,Sterling Heights,,
October,Qtr 4,Central,Sterling Heights,,
November,Qtr 4,Central,Sterling Heights,2,3.5039999999999996
December,Qtr 4,Central,Sterling Heights,,
January,Qtr 1,Central,Superior,,
February,Qtr 1,Central,Superior,,
March,Qtr 1,Central,Superior,,
April,Qtr 2,Central,Superior,,
May,Qtr 2,Central,Superior,,
June,Qtr 2,Central,Superior,33,509.1173999999999
July,Qtr 3,Central,Superior,,
August,Qtr 3,Central,Superior,,
September,Qtr 3,Central,Superior,,
October,Qtr 4,Central,Superior,,
November,Qtr 4,Central,Superior,,
December,Qtr 4,Central,Superior,4,4.9647999999999985
January,Qtr 1,Central,Taylor,3,2.853599999999999
February,Qtr 1,Central,Taylor,,
March,Qtr 1,Central,Taylor,,
April,Qtr 2,Central,Taylor,,
May,Qtr 2,Central,Taylor,,
June,Qtr 2,Central,Taylor,2,8.799
July,Qtr 3,Central,Taylor,,
August,Qtr 3,Central,Taylor,,
September,Qtr 3,Central,Taylor,,
October,Qtr 4,Central,Taylor,,
November,Qtr 4,Central,Taylor,2,33.215599999999995
December,Qtr 4,Central,Taylor,,
January,Qtr 1,Central,Texas City,5,-21.71220000000001
February,Qtr 1,Central,Texas City,,
March,Qtr 1,Central,Texas City,,
April,Qtr 2,Central,Texas City,,
May,Qtr 2,Central,Texas City,,
June,Qtr 2,Central,Texas City,,
July,Qtr 3,Central,Texas City,,
August,Qtr 3,Central,Texas City,2,41.934
September,Qtr 3,Central,Texas City,,
October,Qtr 4,Central,Texas City,,
November,Qtr 4,Central,Texas City,,
December,Qtr 4,Central,Texas City,,
January,Qtr 1,Central,The Colony,,
February,Qtr 1,Central,The Colony,,
March,Qtr 1,Central,The Colony,,
April,Qtr 2,Central,The Colony,,
May,Qtr 2,Central,The Colony,,
June,Qtr 2,Central,The Colony,,
July,Qtr 3,Central,The Colony,,
August,Qtr 3,Central,The Colony,,
September,Qtr 3,Central,The Colony,,
October,Qtr 4,Central,The Colony,7,19.4194
November,Qtr 4,Central,The Colony,7,12.239199999999997
December,Qtr 4,Central,The Colony,,
January,Qtr 1,Central,Tinley Park,,
February,Qtr 1,Central,Tinley Park,,
March,Qtr 1,Central,Tinley Park,,
April,Qtr 2,Central,Tinley Park,,
May,Qtr 2,Central,Tinley Park,7,-8.915199999999999
June,Qtr 2,Central,Tinley Park,,
July,Qtr 3,Central,Tinley Park,,
August,Qtr 3,Central,Tinley Park,,
September,Qtr 3,Central,Tinley Park,,
October,Qtr 4,Central,Tinley Park,,
November,Qtr 4,Central,Tinley Park,,
December,Qtr 4,Central,Tinley Park,,
January,Qtr 1,Central,Trenton,,
February,Qtr 1,Central,Trenton,,
March,Qtr 1,Central,Trenton,,
April,Qtr 2,Central,Trenton,,
May,Qtr 2,Central,Trenton,2,19.8144
June,Qtr 2,Central,Trenton,,
July,Qtr 3,Central,Trenton,,
August,Qtr 3,Central,Trenton,15,436.102
September,Qtr 3,Central,Trenton,,
October,Qtr 4,Central,Trenton,37,196.1834
November,Qtr 4,Central,Trenton,,
December,Qtr 4,Central,Trenton,,
January,Qtr 1,Central,Tulsa,,
February,Qtr 1,Central,Tulsa,7,0.6992999999999991
March,Qtr 1,Central,Tulsa,6,523.7051999999999
April,Qtr 2,Central,Tulsa,,
May,Qtr 2,Central,Tulsa,,
June,Qtr 2,Central,Tulsa,5,138.41699999999997
July,Qtr 3,Central,Tulsa,,
August,Qtr 3,Central,Tulsa,29,132.22820000000002
September,Qtr 3,Central,Tulsa,35,579.4715000000001
October,Qtr 4,Central,Tulsa,9,26.450199999999995
November,Qtr 4,Central,Tulsa,11,100.77960000000002
December,Qtr 4,Central,Tulsa,5,5.183999999999999
January,Qtr 1,Central,Tyler,,
February,Qtr 1,Central,Tyler,,
March,Qtr 1,Central,Tyler,12,-364.37340000000006
April,Qtr 2,Central,Tyler,,
May,Qtr 2,Central,Tyler,,
June,Qtr 2,Central,Tyler,,
July,Qtr 3,Central,Tyler,,
August,Qtr 3,Central,Tyler,,
September,Qtr 3,Central,Tyler,4,-79.33519999999999
October,Qtr 4,Central,Tyler,,
November,Qtr 4,Central,Tyler,,
December,Qtr 4,Central,Tyler,,
January,Qtr 1,Central,Urbandale,,
February,Qtr 1,Central,Urbandale,,
March,Qtr 1,Central,Urbandale,,
April,Qtr 2,Central,Urbandale,,
May,Qtr 2,Central,Urbandale,,
June,Qtr 2,Central,Urbandale,,
July,Qtr 3,Central,Urbandale,,
August,Qtr 3,Central,Urbandale,,
September,Qtr 3,Central,Urbandale,,
October,Qtr 4,Central,Urbandale,,
November,Qtr 4,Central,Urbandale,12,57.71799999999999
December,Qtr 4,Central,Urbandale,,
January,Qtr 1,Central,Waco,,
February,Qtr 1,Central,Waco,9,-426.2740000000001
March,Qtr 1,Central,Waco,1,-0.9452
April,Qtr 2,Central,Waco,,
May,Qtr 2,Central,Waco,,
June,Qtr 2,Central,Waco,,
July,Qtr 3,Central,Waco,,
August,Qtr 3,Central,Waco,,
September,Qtr 3,Central,Waco,2,2.396799999999999
October,Qtr 4,Central,Waco,5,-95.28099999999998
November,Qtr 4,Central,Waco,,
December,Qtr 4,Central,Waco,,
January,Qtr 1,Central,Waterloo,,
February,Qtr 1,Central,Waterloo,,
March,Qtr 1,Central,Waterloo,,
April,Qtr 2,Central,Waterloo,,
May,Qtr 2,Central,Waterloo,,
June,Qtr 2,Central,Waterloo,,
July,Qtr 3,Central,Waterloo,4,11.8248
August,Qtr 3,Central,Waterloo,,
September,Qtr 3,Central,Waterloo,,
October,Qtr 4,Central,Waterloo,,
November,Qtr 4,Central,Waterloo,,
December,Qtr 4,Central,Waterloo,,
January,Qtr 1,Central,Waukesha,,
February,Qtr 1,Central,Waukesha,,
March,Qtr 1,Central,Waukesha,,
April,Qtr 2,Central,Waukesha,,
May,Qtr 2,Central,Waukesha,,
June,Qtr 2,Central,Waukesha,,
July,Qtr 3,Central,Waukesha,,
August,Qtr 3,Central,Waukesha,,
September,Qtr 3,Central,Waukesha,5,14.169999999999998
October,Qtr 4,Central,Waukesha,,
November,Qtr 4,Central,Waukesha,,
December,Qtr 4,Central,Waukesha,,
January,Qtr 1,Central,Wausau,,
February,Qtr 1,Central,Wausau,,
March,Qtr 1,Central,Wausau,,
April,Qtr 2,Central,Wausau,,
May,Qtr 2,Central,Wausau,,
June,Qtr 2,Central,Wausau,,
July,Qtr 3,Central,Wausau,,
August,Qtr 3,Central,Wausau,,
September,Qtr 3,Central,Wausau,,
October,Qtr 4,Central,Wausau,,
November,Qtr 4,Central,Wausau,14,90.4306
December,Qtr 4,Central,Wausau,,
January,Qtr 1,Central,West Allis,,
February,Qtr 1,Central,West Allis,,
March,Qtr 1,Central,West Allis,,
April,Qtr 2,Central,West Allis,,
May,Qtr 2,Central,West Allis,,
June,Qtr 2,Central,West Allis,,
July,Qtr 3,Central,West Allis,,
August,Qtr 3,Central,West Allis,5,28.370799999999996
September,Qtr 3,Central,West Allis,,
October,Qtr 4,Central,West Allis,,
November,Qtr 4,Central,West Allis,,
December,Qtr 4,Central,West Allis,,
January,Qtr 1,Central,Westland,26,183.5546
February,Qtr 1,Central,Westland,,
March,Qtr 1,Central,Westland,,
April,Qtr 2,Central,Westland,,
May,Qtr 2,Central,Westland,,
June,Qtr 2,Central,Westland,,
July,Qtr 3,Central,Westland,16,197.56650000000002
August,Qtr 3,Central,Westland,,
September,Qtr 3,Central,Westland,,
October,Qtr 4,Central,Westland,4,8.478399999999993
November,Qtr 4,Central,Westland,,
December,Qtr 4,Central,Westland,,
January,Qtr 1,Central,Wheeling,,
February,Qtr 1,Central,Wheeling,,
March,Qtr 1,Central,Wheeling,,
April,Qtr 2,Central,Wheeling,,
May,Qtr 2,Central,Wheeling,,
June,Qtr 2,Central,Wheeling,,
July,Qtr 3,Central,Wheeling,4,15.191999999999979
August,Qtr 3,Central,Wheeling,,
September,Qtr 3,Central,Wheeling,5,-308.50980000000004
October,Qtr 4,Central,Wheeling,,
November,Qtr 4,Central,Wheeling,,
December,Qtr 4,Central,Wheeling,,
January,Qtr 1,Central,Wichita,8,46.93919999999999
February,Qtr 1,Central,Wichita,5,137.151
March,Qtr 1,Central,Wichita,,
April,Qtr 2,Central,Wichita,,
May,Qtr 2,Central,Wichita,5,68.2124
June,Qtr 2,Central,Wichita,3,8.693999999999999
July,Qtr 3,Central,Wichita,,
August,Qtr 3,Central,Wichita,,
September,Qtr 3,Central,Wichita,5,62.92999999999999
October,Qtr 4,Central,Wichita,,
November,Qtr 4,Central,Wichita,,
December,Qtr 4,Central,Wichita,,
January,Qtr 1,Central,Woodbury,8,35.473200000000006
February,Qtr 1,Central,Woodbury,,
March,Qtr 1,Central,Woodbury,,
April,Qtr 2,Central,Woodbury,,
May,Qtr 2,Central,Woodbury,,
June,Qtr 2,Central,Woodbury,,
July,Qtr 3,Central,Woodbury,,
August,Qtr 3,Central,Woodbury,,
September,Qtr 3,Central,Woodbury,3,160.62299999999993
October,Qtr 4,Central,Woodbury,,
November,Qtr 4,Central,Woodbury,,
December,Qtr 4,Central,Woodbury,,
January,Qtr 1,Central,Woodstock,,
February,Qtr 1,Central,Woodstock,5,-13.717499999999998
March,Qtr 1,Central,Woodstock,,
April,Qtr 2,Central,Woodstock,,
May,Qtr 2,Central,Woodstock,,
June,Qtr 2,Central,Woodstock,,
July,Qtr 3,Central,Woodstock,2,0.9099999999999998
August,Qtr 3,Central,Woodstock,,
September,Qtr 3,Central,Woodstock,,
October,Qtr 4,Central,Woodstock,,
November,Qtr 4,Central,Woodstock,,
December,Qtr 4,Central,Woodstock,8,-12.078400000000101
January,Qtr 1,East,Akron,,
February,Qtr 1,East,Akron,13,-92.83680000000003
March,Qtr 1,East,Akron,,
April,Qtr 2,East,Akron,,
May,Qtr 2,East,Akron,9,-45.7484
June,Qtr 2,East,Akron,3,6.794999999999999
July,Qtr 3,East,Akron,,
August,Qtr 3,East,Akron,9,-56.75540000000001
September,Qtr 3,East,Akron,18,9.563999999999993
October,Qtr 4,East,Akron,4,-9.289600000000092
November,Qtr 4,East,Akron,3,-4.593599999999999
