Orders.State,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Order Date.Variation.Date Hierarchy.Quarter,Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Quantity),Sum(Orders.Sales)
Illinois,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Indiana,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Kentucky,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Michigan,Office Supplies,Appliances,Home Office,Qtr 1,,,,
New Jersey,Office Supplies,Appliances,Home Office,Qtr 1,,,,
New York,Office Supplies,Appliances,Home Office,Qtr 1,6.720000000000001,0,6,26.880000000000003
North Carolina,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Ohio,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Pennsylvania,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Tennessee,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Texas,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Virginia,Office Supplies,Appliances,Home Office,Qtr 1,44.8896,0,2,160.32
Washington,Office Supplies,Appliances,Home Office,Qtr 1,,,,
Wisconsin,Office Supplies,Appliances,Home Office,Qtr 1,137.28960000000004,0,9,490.32
Arizona,Office Supplies,Appliances,Home Office,Qtr 2,5.8704,0.2,2,78.272
California,Office Supplies,Appliances,Home Office,Qtr 2,121.74919999999995,0,8,418.41999999999996
Colorado,Office Supplies,Appliances,Home Office,Qtr 2,3.2669999999999995,0.2,5,43.56000000000001
Florida,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Georgia,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Illinois,Office Supplies,Appliances,Home Office,Qtr 2,-191.619,0.8,5,70.96999999999998
Indiana,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Kentucky,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Michigan,Office Supplies,Appliances,Home Office,Qtr 2,287.1959999999999,0.2,6,1037.232
New Jersey,Office Supplies,Appliances,Home Office,Qtr 2,10.4875,0,5,41.95
New York,Office Supplies,Appliances,Home Office,Qtr 2,,,,
North Carolina,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Ohio,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Pennsylvania,Office Supplies,Appliances,Home Office,Qtr 2,51.97319999999998,0.4,9,545.808
Tennessee,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Texas,Office Supplies,Appliances,Home Office,Qtr 2,-160.96,0.8,4,64.38399999999999
Virginia,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Washington,Office Supplies,Appliances,Home Office,Qtr 2,,,,
Wisconsin,Office Supplies,Appliances,Home Office,Qtr 2,109.42199999999997,0,3,364.74
Arizona,Office Supplies,Appliances,Home Office,Qtr 3,,,,
California,Office Supplies,Appliances,Home Office,Qtr 3,213.71029999999996,0,24,737.55
Colorado,Office Supplies,Appliances,Home Office,Qtr 3,26.22399999999999,0.2,2,209.79200000000003
Florida,Office Supplies,Appliances,Home Office,Qtr 3,15.843599999999995,0.2,6,211.248
Georgia,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Illinois,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Indiana,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Kentucky,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Michigan,Office Supplies,Appliances,Home Office,Qtr 3,37.22999999999998,0.1,3,167.535
New Jersey,Office Supplies,Appliances,Home Office,Qtr 3,29.980800000000002,0,4,111.04
New York,Office Supplies,Appliances,Home Office,Qtr 3,82.92599999999996,0,4,276.41999999999996
North Carolina,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Ohio,Office Supplies,Appliances,Home Office,Qtr 3,1.2527999999999988,0.2,6,16.704
Pennsylvania,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Tennessee,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Texas,Office Supplies,Appliances,Home Office,Qtr 3,-265.49670000000003,1.6,7,101.65399999999998
Virginia,Office Supplies,Appliances,Home Office,Qtr 3,,,,
Washington,Office Supplies,Appliances,Home Office,Qtr 3,66.3264,0,6,236.88
Wisconsin,Office Supplies,Appliances,Home Office,Qtr 3,26.563999999999997,0,5,91.6
Arizona,Office Supplies,Appliances,Home Office,Qtr 4,,,,
California,Office Supplies,Appliances,Home Office,Qtr 4,654.3302,0,13,2286.8799999999997
Colorado,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Florida,Office Supplies,Appliances,Home Office,Qtr 4,54.60419999999995,0.4,5,713.9280000000001
Georgia,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Illinois,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Indiana,Office Supplies,Appliances,Home Office,Qtr 4,56.510999999999996,0,2,209.3
Kentucky,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Michigan,Office Supplies,Appliances,Home Office,Qtr 4,,,,
New Jersey,Office Supplies,Appliances,Home Office,Qtr 4,,,,
New York,Office Supplies,Appliances,Home Office,Qtr 4,280.4479999999999,0,14,996.94
North Carolina,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Ohio,Office Supplies,Appliances,Home Office,Qtr 4,128.45079999999984,0.6000000000000001,10,1160.384
Pennsylvania,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Tennessee,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Texas,Office Supplies,Appliances,Home Office,Qtr 4,-335.13480000000004,2.4000000000000004,17,151.29799999999997
Virginia,Office Supplies,Appliances,Home Office,Qtr 4,9.517199999999999,0,2,28.84
Washington,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Wisconsin,Office Supplies,Appliances,Home Office,Qtr 4,,,,
Arizona,Office Supplies,Art,Consumer,Qtr 1,,,,
California,Office Supplies,Art,Consumer,Qtr 1,56.89259999999999,0,46,178.32000000000002
Colorado,Office Supplies,Art,Consumer,Qtr 1,9.356399999999994,0.2,4,83.168
Florida,Office Supplies,Art,Consumer,Qtr 1,3.391199999999999,0.4,5,19.584000000000003
Georgia,Office Supplies,Art,Consumer,Qtr 1,2.9082,0,4,11.08
Illinois,Office Supplies,Art,Consumer,Qtr 1,16.972999999999995,0.8,25,104.976
Indiana,Office Supplies,Art,Consumer,Qtr 1,6.5120000000000005,0,2,16.28
Kentucky,Office Supplies,Art,Consumer,Qtr 1,11.1176,0,2,42.76
Michigan,Office Supplies,Art,Consumer,Qtr 1,12.736799999999999,0,3,43.92
New Jersey,Office Supplies,Art,Consumer,Qtr 1,74.56540000000001,0,7,286.78999999999996
New York,Office Supplies,Art,Consumer,Qtr 1,61.76970000000001,0,19,179.32
North Carolina,Office Supplies,Art,Consumer,Qtr 1,9.356799999999993,0.4,7,67.072
Ohio,Office Supplies,Art,Consumer,Qtr 1,18.8104,1.4,24,191.04000000000002
Pennsylvania,Office Supplies,Art,Consumer,Qtr 1,5.3608,0.4,5,24.304000000000002
Tennessee,Office Supplies,Art,Consumer,Qtr 1,,,,
Texas,Office Supplies,Art,Consumer,Qtr 1,36.893299999999996,1.7999999999999998,32,305.312
Virginia,Office Supplies,Art,Consumer,Qtr 1,1.4455999999999998,0,2,5.56
Washington,Office Supplies,Art,Consumer,Qtr 1,27.7065,0,10,70.77000000000001
Wisconsin,Office Supplies,Art,Consumer,Qtr 1,4.494,0,1,14.98
Arizona,Office Supplies,Art,Consumer,Qtr 2,0.6671999999999998,0.2,4,8.895999999999999
California,Office Supplies,Art,Consumer,Qtr 2,236.74449999999996,0,90,805.24
Colorado,Office Supplies,Art,Consumer,Qtr 2,,,,
Florida,Office Supplies,Art,Consumer,Qtr 2,0.4263999999999998,0.2,1,2.624
Georgia,Office Supplies,Art,Consumer,Qtr 2,16.089099999999995,0,8,57.370000000000005
Illinois,Office Supplies,Art,Consumer,Qtr 2,16.2253,1.4,26,95.808
Indiana,Office Supplies,Art,Consumer,Qtr 2,,,,
Kentucky,Office Supplies,Art,Consumer,Qtr 2,47.3894,0,7,181.51000000000002
Michigan,Office Supplies,Art,Consumer,Qtr 2,35.86769999999999,0,9,119.95
New Jersey,Office Supplies,Art,Consumer,Qtr 2,1.0903999999999998,0,2,3.76
New York,Office Supplies,Art,Consumer,Qtr 2,222.71800000000002,0,61,805.92
North Carolina,Office Supplies,Art,Consumer,Qtr 2,5.4218999999999955,0.8,21,53.032
Ohio,Office Supplies,Art,Consumer,Qtr 2,29.964299999999994,1,20,166.37599999999998
Pennsylvania,Office Supplies,Art,Consumer,Qtr 2,31.829599999999992,0.8,21,182.75199999999998
Tennessee,Office Supplies,Art,Consumer,Qtr 2,0.3335999999999999,0.2,2,4.4479999999999995
Texas,Office Supplies,Art,Consumer,Qtr 2,20.273999999999994,1,21,215.12800000000001
Virginia,Office Supplies,Art,Consumer,Qtr 2,80.15729999999999,0,21,269.27
Washington,Office Supplies,Art,Consumer,Qtr 2,9.492600000000001,0,10,33.1
Wisconsin,Office Supplies,Art,Consumer,Qtr 2,16.17,0,5,57.75
Arizona,Office Supplies,Art,Consumer,Qtr 3,6.559599999999996,1,14,52.85600000000001
California,Office Supplies,Art,Consumer,Qtr 3,249.2294,0,85,838.4299999999998
Colorado,Office Supplies,Art,Consumer,Qtr 3,,,,
Florida,Office Supplies,Art,Consumer,Qtr 3,,,,
Georgia,Office Supplies,Art,Consumer,Qtr 3,11.0421,0,6,31.830000000000002
Illinois,Office Supplies,Art,Consumer,Qtr 3,28.757599999999982,0.6000000000000001,14,257.192
Indiana,Office Supplies,Art,Consumer,Qtr 3,13.758399999999998,0,10,36
Kentucky,Office Supplies,Art,Consumer,Qtr 3,2.5343999999999998,0,3,5.28
Michigan,Office Supplies,Art,Consumer,Qtr 3,16.0076,0,10,49.8
New Jersey,Office Supplies,Art,Consumer,Qtr 3,20.623200000000004,0,4,76.52999999999999
New York,Office Supplies,Art,Consumer,Qtr 3,130.87099999999998,0,57,421.33000000000004
North Carolina,Office Supplies,Art,Consumer,Qtr 3,6.572999999999996,0.6000000000000001,12,39.74400000000001
Ohio,Office Supplies,Art,Consumer,Qtr 3,12.841799999999992,1.5999999999999999,31,98.32800000000002
Pennsylvania,Office Supplies,Art,Consumer,Qtr 3,31.28739999999998,1.5999999999999999,33,281.47200000000004
Tennessee,Office Supplies,Art,Consumer,Qtr 3,18.069700000000005,0.8,12,118.592
Texas,Office Supplies,Art,Consumer,Qtr 3,66.88859999999997,2.4,41,512.832
Virginia,Office Supplies,Art,Consumer,Qtr 3,38.426799999999986,0,14,129.32
Washington,Office Supplies,Art,Consumer,Qtr 3,140.82139999999995,0,22,460.45
Wisconsin,Office Supplies,Art,Consumer,Qtr 3,,,,
Arizona,Office Supplies,Art,Consumer,Qtr 4,11.577999999999989,0.4,8,95.648
California,Office Supplies,Art,Consumer,Qtr 4,355.28139999999996,0,149,1211.79
Colorado,Office Supplies,Art,Consumer,Qtr 4,11.875499999999999,1.4,23,102.62400000000001
Florida,Office Supplies,Art,Consumer,Qtr 4,24.3208,1.5999999999999999,27,190.496
Georgia,Office Supplies,Art,Consumer,Qtr 4,22.1774,0,11,83.69
Illinois,Office Supplies,Art,Consumer,Qtr 4,34.0412,1.4,27,182.69600000000003
Indiana,Office Supplies,Art,Consumer,Qtr 4,4.914,0,6,10.92
Kentucky,Office Supplies,Art,Consumer,Qtr 4,14.727999999999998,0,5,51.31
Michigan,Office Supplies,Art,Consumer,Qtr 4,91.22980000000001,0,23,289.12
New Jersey,Office Supplies,Art,Consumer,Qtr 4,14.187000000000001,0,6,52.59
New York,Office Supplies,Art,Consumer,Qtr 4,72.15469999999999,0,32,203
North Carolina,Office Supplies,Art,Consumer,Qtr 4,18.86599999999999,1.7999999999999998,35,151.15200000000002
Ohio,Office Supplies,Art,Consumer,Qtr 4,13.024399999999996,1.2,17,132.928
Pennsylvania,Office Supplies,Art,Consumer,Qtr 4,3.6431999999999998,0.2,4,13.248
Tennessee,Office Supplies,Art,Consumer,Qtr 4,18.530899999999995,1.2,26,87.952
Texas,Office Supplies,Art,Consumer,Qtr 4,61.736999999999995,3.400000000000001,64,559.008
Virginia,Office Supplies,Art,Consumer,Qtr 4,105.23199999999996,0,24,356.92999999999995
Washington,Office Supplies,Art,Consumer,Qtr 4,10.1613,0,13,37.89
Wisconsin,Office Supplies,Art,Consumer,Qtr 4,12.592800000000004,0,4,46.64
Arizona,Office Supplies,Art,Corporate,Qtr 1,,,,
California,Office Supplies,Art,Corporate,Qtr 1,18.8632,0,14,69.64
Colorado,Office Supplies,Art,Corporate,Qtr 1,0.8946,0.2,1,3.408
Florida,Office Supplies,Art,Corporate,Qtr 1,0.5903999999999991,0.2,2,5.248
Georgia,Office Supplies,Art,Corporate,Qtr 1,5.2398,0,3,12.78
Illinois,Office Supplies,Art,Corporate,Qtr 1,0.8855999999999988,0.2,3,7.872
Indiana,Office Supplies,Art,Corporate,Qtr 1,,,,
Kentucky,Office Supplies,Art,Corporate,Qtr 1,,,,
Michigan,Office Supplies,Art,Corporate,Qtr 1,3.7529999999999997,0,5,13.899999999999999
New Jersey,Office Supplies,Art,Corporate,Qtr 1,4.7163,0,6,18.15
New York,Office Supplies,Art,Corporate,Qtr 1,36.27119999999999,0,11,129.54
North Carolina,Office Supplies,Art,Corporate,Qtr 1,,,,
Ohio,Office Supplies,Art,Corporate,Qtr 1,1.5551999999999992,0.2,2,10.368000000000002
Pennsylvania,Office Supplies,Art,Corporate,Qtr 1,2.7883999999999975,0.4,7,20.704
Tennessee,Office Supplies,Art,Corporate,Qtr 1,,,,
Texas,Office Supplies,Art,Corporate,Qtr 1,6.728399999999995,0.4,3,56.672000000000004
Virginia,Office Supplies,Art,Corporate,Qtr 1,2.702799999999999,0,4,9.32
Washington,Office Supplies,Art,Corporate,Qtr 1,17.9602,0,10,49.03
Wisconsin,Office Supplies,Art,Corporate,Qtr 1,,,,
Arizona,Office Supplies,Art,Corporate,Qtr 2,,,,
California,Office Supplies,Art,Corporate,Qtr 2,208.16459999999995,0,47,702.7800000000001
Colorado,Office Supplies,Art,Corporate,Qtr 2,,,,
Florida,Office Supplies,Art,Corporate,Qtr 2,22.719199999999972,1,16,256.32
Georgia,Office Supplies,Art,Corporate,Qtr 2,,,,
Illinois,Office Supplies,Art,Corporate,Qtr 2,3.6864999999999997,0.4,7,18.872
Indiana,Office Supplies,Art,Corporate,Qtr 2,41.4664,0,12,147.32999999999998
Kentucky,Office Supplies,Art,Corporate,Qtr 2,,,,
Michigan,Office Supplies,Art,Corporate,Qtr 2,,,,
New Jersey,Office Supplies,Art,Corporate,Qtr 2,,,,
New York,Office Supplies,Art,Corporate,Qtr 2,18.053399999999996,0,16,48.059999999999995
North Carolina,Office Supplies,Art,Corporate,Qtr 2,14.4984,0.4,9,53.088
Ohio,Office Supplies,Art,Corporate,Qtr 2,1.2791999999999994,0.2,3,7.872
Pennsylvania,Office Supplies,Art,Corporate,Qtr 2,2.055599999999997,0.6000000000000001,7,26.208000000000006
Tennessee,Office Supplies,Art,Corporate,Qtr 2,,,,
Texas,Office Supplies,Art,Corporate,Qtr 2,13.251799999999992,0.6000000000000001,13,115.712
Virginia,Office Supplies,Art,Corporate,Qtr 2,17.194399999999995,0,18,56.879999999999995
Washington,Office Supplies,Art,Corporate,Qtr 2,7.86,0,3,31.44
Wisconsin,Office Supplies,Art,Corporate,Qtr 2,,,,
Arizona,Office Supplies,Art,Corporate,Qtr 3,2.090799999999998,0.4,6,13.408000000000001
California,Office Supplies,Art,Corporate,Qtr 3,187.33499999999998,0,52,650.0799999999999
Colorado,Office Supplies,Art,Corporate,Qtr 3,,,,
Florida,Office Supplies,Art,Corporate,Qtr 3,3.6267999999999994,0.4,4,38.032000000000004
Georgia,Office Supplies,Art,Corporate,Qtr 3,34.18199999999999,0,3,113.94
Illinois,Office Supplies,Art,Corporate,Qtr 3,3.8475,0.4,8,15.751999999999999
Indiana,Office Supplies,Art,Corporate,Qtr 3,12.357999999999997,0,5,33.4
Kentucky,Office Supplies,Art,Corporate,Qtr 3,18.2472,0,15,53.28
Michigan,Office Supplies,Art,Corporate,Qtr 3,13.261099999999997,0,7,44.589999999999996
New Jersey,Office Supplies,Art,Corporate,Qtr 3,2.8911999999999995,0,4,11.12
New York,Office Supplies,Art,Corporate,Qtr 3,48.922000000000004,0,35,160.18
North Carolina,Office Supplies,Art,Corporate,Qtr 3,21.951600000000003,0.6000000000000001,14,214.968
Ohio,Office Supplies,Art,Corporate,Qtr 3,1.7062000000000015,0.4,4,23.568
Pennsylvania,Office Supplies,Art,Corporate,Qtr 3,6.001600000000001,1,16,30.624
Tennessee,Office Supplies,Art,Corporate,Qtr 3,4.969499999999994,0.4,6,45.144
Texas,Office Supplies,Art,Corporate,Qtr 3,12.598400000000003,0.6000000000000001,12,127.16799999999999
Virginia,Office Supplies,Art,Corporate,Qtr 3,,,,
Washington,Office Supplies,Art,Corporate,Qtr 3,25.792,0,5,99.2
Wisconsin,Office Supplies,Art,Corporate,Qtr 3,1.0335999999999999,0,1,3.04
Arizona,Office Supplies,Art,Corporate,Qtr 4,111.30239999999998,0.2,8,1113.0240000000001
California,Office Supplies,Art,Corporate,Qtr 4,90.89249999999998,0,37,332.59
Colorado,Office Supplies,Art,Corporate,Qtr 4,0.5992000000000002,0.2,2,6.848000000000001
Florida,Office Supplies,Art,Corporate,Qtr 4,7.453299999999993,0.8,14,79.88
Georgia,Office Supplies,Art,Corporate,Qtr 4,3.723599999999999,0,3,12.84
Illinois,Office Supplies,Art,Corporate,Qtr 4,6.4528,0.4,11,64.528
Indiana,Office Supplies,Art,Corporate,Qtr 4,15.0654,0,9,54.54
Kentucky,Office Supplies,Art,Corporate,Qtr 4,3.1098,0,6,11.1
Michigan,Office Supplies,Art,Corporate,Qtr 4,97.82959999999997,0,19,330.76
New Jersey,Office Supplies,Art,Corporate,Qtr 4,,,,
New York,Office Supplies,Art,Corporate,Qtr 4,177.8881,0,43,609.89
North Carolina,Office Supplies,Art,Corporate,Qtr 4,1.7843999999999989,0.4,6,18.144000000000002
Ohio,Office Supplies,Art,Corporate,Qtr 4,18.877599999999994,1,25,161.20000000000002
Pennsylvania,Office Supplies,Art,Corporate,Qtr 4,26.617799999999992,1.4,30,281.648
Tennessee,Office Supplies,Art,Corporate,Qtr 4,,,,
Texas,Office Supplies,Art,Corporate,Qtr 4,17.014400000000002,1.5999999999999999,31,105.056
Virginia,Office Supplies,Art,Corporate,Qtr 4,0.8803999999999998,0,1,2.84
Washington,Office Supplies,Art,Corporate,Qtr 4,9.023399999999999,0,8,31.26
Wisconsin,Office Supplies,Art,Corporate,Qtr 4,,,,
Arizona,Office Supplies,Art,Home Office,Qtr 1,,,,
California,Office Supplies,Art,Home Office,Qtr 1,40.86169999999999,0,26,131.25
Colorado,Office Supplies,Art,Home Office,Qtr 1,,,,
Florida,Office Supplies,Art,Home Office,Qtr 1,3.133999999999998,0.4,8,21.136000000000003
Georgia,Office Supplies,Art,Home Office,Qtr 1,,,,
Illinois,Office Supplies,Art,Home Office,Qtr 1,4.048799999999996,0.4,9,49.21600000000001
Indiana,Office Supplies,Art,Home Office,Qtr 1,2.6416000000000004,0,1,10.16
Kentucky,Office Supplies,Art,Home Office,Qtr 1,1.4796000000000005,0,2,5.48
Michigan,Office Supplies,Art,Home Office,Qtr 1,20.6336,0,4,79.36
New Jersey,Office Supplies,Art,Home Office,Qtr 1,1.3513999999999995,0,2,4.66
New York,Office Supplies,Art,Home Office,Qtr 1,6.3072,0,3,17.52
North Carolina,Office Supplies,Art,Home Office,Qtr 1,,,,
Ohio,Office Supplies,Art,Home Office,Qtr 1,,,,
Pennsylvania,Office Supplies,Art,Home Office,Qtr 1,0.5903999999999991,0.2,2,5.248
Tennessee,Office Supplies,Art,Home Office,Qtr 1,,,,
Texas,Office Supplies,Art,Home Office,Qtr 1,52.632000000000005,0.2,6,175.44
Virginia,Office Supplies,Art,Home Office,Qtr 1,,,,
Washington,Office Supplies,Art,Home Office,Qtr 1,5.948999999999998,0,1,19.83
Wisconsin,Office Supplies,Art,Home Office,Qtr 1,,,,
Arizona,Office Supplies,Art,Home Office,Qtr 2,8.586999999999996,0.4,6,103.912
California,Office Supplies,Art,Home Office,Qtr 2,57.4758,0,33,198.58
Colorado,Office Supplies,Art,Home Office,Qtr 2,,,,
Florida,Office Supplies,Art,Home Office,Qtr 2,6.0717,0.4,5,31.784
Georgia,Office Supplies,Art,Home Office,Qtr 2,42.22499999999998,0,5,140.75
Illinois,Office Supplies,Art,Home Office,Qtr 2,6.3842,0.6000000000000001,10,59.712
Indiana,Office Supplies,Art,Home Office,Qtr 2,,,,
Kentucky,Office Supplies,Art,Home Office,Qtr 2,,,,
Michigan,Office Supplies,Art,Home Office,Qtr 2,5.412799999999999,0,4,15.92
New Jersey,Office Supplies,Art,Home Office,Qtr 2,83.86799999999997,0,6,289.20000000000005
New York,Office Supplies,Art,Home Office,Qtr 2,33.097699999999996,0,18,102.83
North Carolina,Office Supplies,Art,Home Office,Qtr 2,,,,
Ohio,Office Supplies,Art,Home Office,Qtr 2,1.4551999999999985,0.4,4,13.696000000000002
Pennsylvania,Office Supplies,Art,Home Office,Qtr 2,23.51769999999999,1,18,237.376
Tennessee,Office Supplies,Art,Home Office,Qtr 2,12.048,0.4,14,109.96799999999999
Texas,Office Supplies,Art,Home Office,Qtr 2,11.236000000000002,0.8,15,93.12
Virginia,Office Supplies,Art,Home Office,Qtr 2,,,,
Washington,Office Supplies,Art,Home Office,Qtr 2,1.7901,0,3,6.63
Wisconsin,Office Supplies,Art,Home Office,Qtr 2,5.4146,0,7,20.259999999999998
Arizona,Office Supplies,Art,Home Office,Qtr 3,,,,
California,Office Supplies,Art,Home Office,Qtr 3,23.2294,0,21,69.13
Colorado,Office Supplies,Art,Home Office,Qtr 3,2.368599999999999,0.2,2,14.576
Florida,Office Supplies,Art,Home Office,Qtr 3,4.196499999999995,0.2,5,47.96
Georgia,Office Supplies,Art,Home Office,Qtr 3,22.1256,0,12,62.4
Illinois,Office Supplies,Art,Home Office,Qtr 3,0.9099999999999998,0.2,2,2.9120000000000004
Indiana,Office Supplies,Art,Home Office,Qtr 3,10.628799999999998,0,7,40.879999999999995
Kentucky,Office Supplies,Art,Home Office,Qtr 3,,,,
Michigan,Office Supplies,Art,Home Office,Qtr 3,,,,
New Jersey,Office Supplies,Art,Home Office,Qtr 3,,,,
New York,Office Supplies,Art,Home Office,Qtr 3,44.96489999999999,0,21,149.02
North Carolina,Office Supplies,Art,Home Office,Qtr 3,,,,
Ohio,Office Supplies,Art,Home Office,Qtr 3,3.723300000000001,0.4,10,34.728
Pennsylvania,Office Supplies,Art,Home Office,Qtr 3,4.065600000000002,0.4,12,48.57600000000001
Tennessee,Office Supplies,Art,Home Office,Qtr 3,8.76179999999999,0.4,5,70.376
Texas,Office Supplies,Art,Home Office,Qtr 3,15.474699999999991,1,17,92.464
Virginia,Office Supplies,Art,Home Office,Qtr 3,,,,
Washington,Office Supplies,Art,Home Office,Qtr 3,15.6558,0,11,47.28
Wisconsin,Office Supplies,Art,Home Office,Qtr 3,,,,
Arizona,Office Supplies,Art,Home Office,Qtr 4,0.15839999999999993,0.2,1,1.4080000000000001
California,Office Supplies,Art,Home Office,Qtr 4,89.8664,0,44,307.83000000000004
Colorado,Office Supplies,Art,Home Office,Qtr 4,,,,
Florida,Office Supplies,Art,Home Office,Qtr 4,2.0087999999999973,0.2,4,17.856
Georgia,Office Supplies,Art,Home Office,Qtr 4,,,,
Illinois,Office Supplies,Art,Home Office,Qtr 4,16.741600000000002,0.6000000000000001,7,70.496
Indiana,Office Supplies,Art,Home Office,Qtr 4,16.268800000000002,0,2,39.68
Kentucky,Office Supplies,Art,Home Office,Qtr 4,,,,
Michigan,Office Supplies,Art,Home Office,Qtr 4,4.6331999999999995,0,7,17.54
New Jersey,Office Supplies,Art,Home Office,Qtr 4,,,,
New York,Office Supplies,Art,Home Office,Qtr 4,49.07469999999999,0,20,156.99
North Carolina,Office Supplies,Art,Home Office,Qtr 4,0.46440000000000037,0.2,3,6.192
Ohio,Office Supplies,Art,Home Office,Qtr 4,,,,
Pennsylvania,Office Supplies,Art,Home Office,Qtr 4,,,,
Tennessee,Office Supplies,Art,Home Office,Qtr 4,,,,
Texas,Office Supplies,Art,Home Office,Qtr 4,1.6251999999999984,0.4,4,11.616
Virginia,Office Supplies,Art,Home Office,Qtr 4,12.936,0,4,46.2
Washington,Office Supplies,Art,Home Office,Qtr 4,47.955600000000004,0,13,176.95999999999998
Wisconsin,Office Supplies,Art,Home Office,Qtr 4,4.9647999999999985,0,4,17.12
Arizona,Office Supplies,Binders,Consumer,Qtr 1,-30.8308,1.4,13,42.042
California,Office Supplies,Binders,Consumer,Qtr 1,1221.8473000000004,3.800000000000001,75,3522.9600000000005
Colorado,Office Supplies,Binders,Consumer,Qtr 1,,,,
Florida,Office Supplies,Binders,Consumer,Qtr 1,-64.0986,4.2,19,88.077
Georgia,Office Supplies,Binders,Consumer,Qtr 1,3211.9685999999997,0,13,6429.59
Illinois,Office Supplies,Binders,Consumer,Qtr 1,-130.4477,8.799999999999999,48,79.72399999999998
Indiana,Office Supplies,Binders,Consumer,Qtr 1,64.19999999999999,0,3,128.39999999999998
Kentucky,Office Supplies,Binders,Consumer,Qtr 1,2.61,0,1,5.8
Michigan,Office Supplies,Binders,Consumer,Qtr 1,2947.6224999999995,0,18,6388.63
New Jersey,Office Supplies,Binders,Consumer,Qtr 1,,,,
New York,Office Supplies,Binders,Consumer,Qtr 1,237.7206,2.1999999999999997,49,729.856
North Carolina,Office Supplies,Binders,Consumer,Qtr 1,-79.8256,2.8,19,102.78000000000002
Ohio,Office Supplies,Binders,Consumer,Qtr 1,-36.1564,4.2,16,49.626000000000005
Pennsylvania,Office Supplies,Binders,Consumer,Qtr 1,-251.53220000000007,3.5,15,304.60200000000003
Tennessee,Office Supplies,Binders,Consumer,Qtr 1,-6.4162,1.4,7,8.478000000000002
Texas,Office Supplies,Binders,Consumer,Qtr 1,-1310.3756000000003,11.200000000000001,63,770.4999999999999
Virginia,Office Supplies,Binders,Consumer,Qtr 1,35.286199999999994,0,12,71.62
Washington,Office Supplies,Binders,Consumer,Qtr 1,31.5614,0.4,5,97.11200000000001
Wisconsin,Office Supplies,Binders,Consumer,Qtr 1,28.410000000000004,0,3,56.82000000000001
Arizona,Office Supplies,Binders,Consumer,Qtr 2,-70.38839999999998,2.8,14,104.76000000000002
California,Office Supplies,Binders,Consumer,Qtr 2,744.4003,5.400000000000002,107,2200.2560000000003
Colorado,Office Supplies,Binders,Consumer,Qtr 2,-32.230399999999996,2.0999999999999996,17,45.804
Florida,Office Supplies,Binders,Consumer,Qtr 2,-121.57339999999998,5.6000000000000005,23,176.46300000000002
Georgia,Office Supplies,Binders,Consumer,Qtr 2,,,,
Illinois,Office Supplies,Binders,Consumer,Qtr 2,-140.10510000000005,7.999999999999999,33,85.21799999999998
Indiana,Office Supplies,Binders,Consumer,Qtr 2,37.932,0,7,81.63
Kentucky,Office Supplies,Binders,Consumer,Qtr 2,33.7149,0,6,70.11
Michigan,Office Supplies,Binders,Consumer,Qtr 2,561.8519999999999,0,45,1222.52
New Jersey,Office Supplies,Binders,Consumer,Qtr 2,3.7412,0,2,7.96
New York,Office Supplies,Binders,Consumer,Qtr 2,2424.8366999999985,6.200000000000003,110,6790.928
North Carolina,Office Supplies,Binders,Consumer,Qtr 2,-63.89649999999999,2.8,21,82.80300000000001
Ohio,Office Supplies,Binders,Consumer,Qtr 2,-95.55610000000004,3.5,19,119.24700000000001
Pennsylvania,Office Supplies,Binders,Consumer,Qtr 2,-139.69979999999995,5.6000000000000005,25,178.30200000000005
Tennessee,Office Supplies,Binders,Consumer,Qtr 2,-10.656499999999998,1.4,5,14.019000000000002
