Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Country,Orders.State,Orders.City,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 2,2016,Furniture,Tables,Central,United States,Minnesota,Minneapolis,173.235,692.9399999999999
Qtr 3,2016,Furniture,Tables,Central,United States,Minnesota,Minneapolis,,
Qtr 4,2016,Furniture,Tables,Central,United States,Minnesota,Minneapolis,,
Qtr 1,2017,Furniture,Tables,Central,United States,Minnesota,Minneapolis,,
Qtr 2,2017,Furniture,Tables,Central,United States,Minnesota,Minneapolis,,
Qtr 3,2017,Furniture,Tables,Central,United States,Minnesota,Minneapolis,,
Qtr 4,2017,Furniture,Tables,Central,United States,Minnesota,Minneapolis,,
Qtr 1,2014,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 2,2014,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 3,2014,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 4,2014,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 1,2015,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 2,2015,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 3,2015,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 4,2015,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 1,2016,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 2,2016,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 3,2016,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 4,2016,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 1,2017,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 2,2017,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 3,2017,Furniture,Tables,Central,United States,Minnesota,Rochester,,
Qtr 4,2017,Furniture,Tables,Central,United States,Minnesota,Rochester,97.20320000000004,607.52
Qtr 1,2014,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 2,2014,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 3,2014,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 4,2014,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 1,2015,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 2,2015,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 3,2015,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 4,2015,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 1,2016,Furniture,Tables,Central,United States,Missouri,Saint Peters,146.40359999999998,697.16
Qtr 2,2016,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 3,2016,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 4,2016,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 1,2017,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 2,2017,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 3,2017,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 4,2017,Furniture,Tables,Central,United States,Missouri,Saint Peters,,
Qtr 1,2014,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 2,2014,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 3,2014,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 4,2014,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 1,2015,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 2,2015,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 3,2015,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 4,2015,Furniture,Tables,Central,United States,Missouri,Springfield,215.11979999999994,1024.38
Qtr 1,2016,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 2,2016,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 3,2016,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 4,2016,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 1,2017,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 2,2017,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 3,2017,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 4,2017,Furniture,Tables,Central,United States,Missouri,Springfield,,
Qtr 1,2014,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 2,2014,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 3,2014,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 4,2014,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 1,2015,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 2,2015,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 3,2015,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 4,2015,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 1,2016,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,350.427,1592.8500000000001
Qtr 2,2016,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 3,2016,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 4,2016,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 1,2017,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 2,2017,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 3,2017,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 4,2017,Furniture,Tables,Central,United States,Oklahoma,Broken Arrow,,
Qtr 1,2014,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 2,2014,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 3,2014,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 4,2014,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 1,2015,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 2,2015,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 3,2015,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 4,2015,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 1,2016,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 2,2016,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 3,2016,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 4,2016,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 1,2017,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 2,2017,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 3,2017,Furniture,Tables,Central,United States,Oklahoma,Lawton,,
Qtr 4,2017,Furniture,Tables,Central,United States,Oklahoma,Lawton,54.7756,248.98
Qtr 1,2014,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 2,2014,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 3,2014,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 4,2014,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 1,2015,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 2,2015,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 3,2015,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 4,2015,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 1,2016,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 2,2016,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 3,2016,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 4,2016,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 1,2017,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 2,2017,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 3,2017,Furniture,Tables,Central,United States,Oklahoma,Muskogee,,
Qtr 4,2017,Furniture,Tables,Central,United States,Oklahoma,Muskogee,62.90639999999999,262.11
Qtr 1,2014,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 2,2014,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 3,2014,Furniture,Tables,Central,United States,Oklahoma,Tulsa,111.77400000000003,429.90000000000003
Qtr 4,2014,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 1,2015,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 2,2015,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 3,2015,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 4,2015,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 1,2016,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 2,2016,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 3,2016,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 4,2016,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 1,2017,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 2,2017,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 3,2017,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 4,2017,Furniture,Tables,Central,United States,Oklahoma,Tulsa,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Allen,-31.372200000000007,244.00599999999997
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Allen,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Arlington,-121.87349999999992,1218.7349999999997
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Arlington,-118.12950000000006,918.7849999999999
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Arlington,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Dallas,-16.261300000000006,103.48100000000001
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Dallas,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Dallas,-173.3472,933.408
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Dallas,-124.47330000000007,764.799
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Dallas,-4.258800000000036,298.116
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Dallas,-99.16369999999998,378.79099999999994
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,El Paso,-169.63700000000009,913.4300000000001
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,El Paso,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Houston,-43.029600000000045,376.50899999999996
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Houston,-227.62100000000007,1145.69
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Houston,-22.948000000000008,200.79500000000002
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Houston,-69.47219999999996,347.361
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Houston,-1.4196000000000097,99.372
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Houston,-34.39200000000001,300.93
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Houston,-160.29520000000008,863.1279999999999
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Houston,-65.85300000000001,512.19
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Houston,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Huntsville,-158.57600000000005,821.3519999999999
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Huntsville,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Mansfield,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Mansfield,-81.30650000000003,517.4050000000001
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Pharr,-21.3264,124.404
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Pharr,,
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Plano,-152.7156,890.8409999999999
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Plano,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Plano,-97.49879999999996,974.9879999999998
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,San Antonio,-18.55620000000002,99.918
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,San Antonio,-32.52260000000001,206.96200000000002
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,San Antonio,-127.57919999999996,1195.481
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,San Antonio,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,San Antonio,-71.8116,718.1159999999999
Qtr 1,2014,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 2,2014,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 3,2014,Furniture,Tables,Central,United States,Texas,Texas City,41.934,489.22999999999996
Qtr 4,2014,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 1,2015,Furniture,Tables,Central,United States,Texas,Texas City,-13.170600000000007,102.438
Qtr 2,2015,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 3,2015,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 4,2015,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 1,2016,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 2,2016,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 3,2016,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 4,2016,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 1,2017,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 2,2017,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 3,2017,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 4,2017,Furniture,Tables,Central,United States,Texas,Texas City,,
Qtr 1,2014,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 2,2014,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 3,2014,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 4,2014,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 1,2015,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 2,2015,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 3,2015,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 4,2015,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,147.5021999999999,867.66
Qtr 1,2016,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 2,2016,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 3,2016,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 4,2016,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 1,2017,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 2,2017,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 3,2017,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 4,2017,Furniture,Tables,Central,United States,Wisconsin,Milwaukee,,
Qtr 1,2014,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 2,2014,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 3,2014,Furniture,Tables,East,United States,Connecticut,Bristol,-4.032,70.55999999999999
Qtr 4,2014,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 1,2015,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 2,2015,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 3,2015,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 4,2015,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 1,2016,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 2,2016,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 3,2016,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 4,2016,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 1,2017,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 2,2017,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 3,2017,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 4,2017,Furniture,Tables,East,United States,Connecticut,Bristol,,
Qtr 1,2014,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 2,2014,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 3,2014,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 4,2014,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 1,2015,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 2,2015,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 3,2015,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 4,2015,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 1,2016,Furniture,Tables,East,United States,Connecticut,Fairfield,-15.5826,181.79699999999997
Qtr 2,2016,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 3,2016,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 4,2016,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 1,2017,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 2,2017,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 3,2017,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 4,2017,Furniture,Tables,East,United States,Connecticut,Fairfield,,
Qtr 1,2014,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 2,2014,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 3,2014,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 4,2014,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 1,2015,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 2,2015,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 3,2015,Furniture,Tables,East,United States,Delaware,Wilmington,-37.11240000000004,199.836
Qtr 4,2015,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 1,2016,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 2,2016,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 3,2016,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 4,2016,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 1,2017,Furniture,Tables,East,United States,Delaware,Wilmington,,
Qtr 2,2017,Furniture,Tables,East,United States,Delaware,Wilmington,,
