Orders.Order Date.Variation.Date Hierarchy.Year,Orders.City,Sum(Orders.Quantity)
2017,Norman,
2014,North Charleston,
2015,North Charleston,3
2016,North Charleston,
2017,North Charleston,2
2014,North Las Vegas,31
2015,North Las Vegas,9
2016,North Las Vegas,14
2017,North Las Vegas,4
2014,North Miami,3
2015,North Miami,3
2016,North Miami,
2017,North Miami,
2014,Norwich,
2015,Norwich,9
2016,Norwich,1
2017,Norwich,2
2014,Oak Park,
2015,Oak Park,
2016,Oak Park,
2017,Oak Park,12
2014,Oakland,12
2015,Oakland,28
2016,Oakland,8
2017,Oakland,59
2014,Oceanside,5
2015,Oceanside,39
2016,Oceanside,35
2017,Oceanside,28
2014,Odessa,6
2015,Odessa,
2016,Odessa,12
2017,Odessa,4
2014,Oklahoma City,4
2015,Oklahoma City,12
2016,Oklahoma City,41
2017,Oklahoma City,21
2014,Olathe,12
2015,Olathe,
2016,Olathe,3
2017,Olathe,
2014,Olympia,7
2015,Olympia,4
2016,Olympia,
2017,Olympia,4
2014,Omaha,13
2015,Omaha,16
2016,Omaha,54
2017,Omaha,15
2014,Ontario,
2015,Ontario,
2016,Ontario,
2017,Ontario,5
2014,Orange,4
2015,Orange,
2016,Orange,9
2017,Orange,4
2014,Orem,9
2015,Orem,17
2016,Orem,4
2017,Orem,2
2014,Orland Park,
2015,Orland Park,5
2016,Orland Park,
2017,Orland Park,
2014,Orlando,9
2015,Orlando,3
2016,Orlando,11
2017,Orlando,16
2014,Ormond Beach,
2015,Ormond Beach,
2016,Ormond Beach,
2017,Ormond Beach,3
2014,Oswego,13
2015,Oswego,
2016,Oswego,
2017,Oswego,
2014,Overland Park,
2015,Overland Park,
2016,Overland Park,10
2017,Overland Park,13
2014,Owensboro,3
2015,Owensboro,2
2016,Owensboro,
2017,Owensboro,
2014,Oxnard,3
2015,Oxnard,14
2016,Oxnard,9
2017,Oxnard,5
2014,Palatine,
2015,Palatine,
2016,Palatine,
2017,Palatine,7
2014,Palm Coast,10
2015,Palm Coast,
2016,Palm Coast,6
2017,Palm Coast,4
2014,Park Ridge,
2015,Park Ridge,7
2016,Park Ridge,1
2017,Park Ridge,9
2014,Parker,
2015,Parker,
2016,Parker,10
2017,Parker,14
2014,Parma,4
2015,Parma,
2016,Parma,28
2017,Parma,8
2014,Pasadena,11
2015,Pasadena,10
2016,Pasadena,64
2017,Pasadena,71
2014,Pasco,21
2015,Pasco,
2016,Pasco,
2017,Pasco,6
2014,Passaic,
2015,Passaic,
2016,Passaic,24
2017,Passaic,
2014,Paterson,
2015,Paterson,29
2016,Paterson,12
2017,Paterson,21
2014,Pearland,
2015,Pearland,
2016,Pearland,
2017,Pearland,13
2014,Pembroke Pines,
2015,Pembroke Pines,6
2016,Pembroke Pines,11
2017,Pembroke Pines,30
2014,Pensacola,
2015,Pensacola,
2016,Pensacola,3
2017,Pensacola,
2014,Peoria,3
2015,Peoria,40
2016,Peoria,5
2017,Peoria,32
2014,Perth Amboy,
2015,Perth Amboy,7
2016,Perth Amboy,8
2017,Perth Amboy,7
2014,Pharr,
2015,Pharr,
2016,Pharr,18
2017,Pharr,4
2014,Philadelphia,403
2015,Philadelphia,436
2016,Philadelphia,477
2017,Philadelphia,665
2014,Phoenix,39
2015,Phoenix,59
2016,Phoenix,55
2017,Phoenix,71
2014,Pico Rivera,
2015,Pico Rivera,
2016,Pico Rivera,
2017,Pico Rivera,5
2014,Pine Bluff,
2015,Pine Bluff,
2016,Pine Bluff,
2017,Pine Bluff,7
2014,Plainfield,3
2015,Plainfield,
2016,Plainfield,20
2017,Plainfield,26
2014,Plano,27
2015,Plano,
2016,Plano,2
2017,Plano,19
2014,Plantation,
2015,Plantation,45
2016,Plantation,
2017,Plantation,
2014,Pleasant Grove,27
2015,Pleasant Grove,3
2016,Pleasant Grove,
2017,Pleasant Grove,
2014,Pocatello,
2015,Pocatello,7
2016,Pocatello,6
2017,Pocatello,12
2014,Pomona,7
2015,Pomona,10
2016,Pomona,
2017,Pomona,17
2014,Pompano Beach,
2015,Pompano Beach,
2016,Pompano Beach,
2017,Pompano Beach,12
2014,Port Arthur,1
2015,Port Arthur,5
2016,Port Arthur,6
2017,Port Arthur,
2014,Port Orange,
2015,Port Orange,
2016,Port Orange,
2017,Port Orange,1
2014,Port Saint Lucie,
2015,Port Saint Lucie,5
2016,Port Saint Lucie,2
2017,Port Saint Lucie,4
2014,Portage,2
2015,Portage,
2016,Portage,
2017,Portage,
2014,Portland,17
2015,Portland,30
2016,Portland,23
2017,Portland,22
2014,Providence,19
2015,Providence,17
2016,Providence,57
2017,Providence,25
2014,Provo,7
2015,Provo,5
2016,Provo,5
2017,Provo,21
2014,Pueblo,9
2015,Pueblo,14
2016,Pueblo,19
2017,Pueblo,
2014,Quincy,
2015,Quincy,19
2016,Quincy,31
2017,Quincy,34
2014,Raleigh,5
2015,Raleigh,23
2016,Raleigh,33
2017,Raleigh,16
2014,Rancho Cucamonga,3
2015,Rancho Cucamonga,2
2016,Rancho Cucamonga,
2017,Rancho Cucamonga,9
2014,Rapid City,4
2015,Rapid City,
2016,Rapid City,
2017,Rapid City,
2014,Reading,6
2015,Reading,2
2016,Reading,5
2017,Reading,3
2014,Redding,3
2015,Redding,
2016,Redding,
2017,Redding,
2014,Redlands,
2015,Redlands,45
2016,Redlands,16
2017,Redlands,
2014,Redmond,
2015,Redmond,15
2016,Redmond,19
2017,Redmond,18
2014,Redondo Beach,29
2015,Redondo Beach,
2016,Redondo Beach,6
2017,Redondo Beach,
2014,Redwood City,
2015,Redwood City,
2016,Redwood City,6
2017,Redwood City,
2014,Reno,8
2015,Reno,
2016,Reno,9
2017,Reno,
2014,Renton,
2015,Renton,
2016,Renton,
2017,Renton,14
2014,Revere,6
2015,Revere,18
2016,Revere,
2017,Revere,
2014,Richardson,
2015,Richardson,
2016,Richardson,12
2017,Richardson,
2014,Richmond,92
2015,Richmond,49
2016,Richmond,44
2017,Richmond,151
2014,Rio Rancho,
2015,Rio Rancho,7
2016,Rio Rancho,
2017,Rio Rancho,
2014,Riverside,11
2015,Riverside,8
2016,Riverside,18
2017,Riverside,3
2014,Rochester,12
2015,Rochester,58
2016,Rochester,26
2017,Rochester,74
2014,Rochester Hills,
2015,Rochester Hills,
2016,Rochester Hills,
2017,Rochester Hills,4
2014,Rock Hill,3
2015,Rock Hill,
2016,Rock Hill,
2017,Rock Hill,
2014,Rockford,
2015,Rockford,7
2016,Rockford,21
2017,Rockford,36
2014,Rockville,
2015,Rockville,4
2016,Rockville,7
2017,Rockville,
2014,Rogers,
2015,Rogers,
2016,Rogers,
2017,Rogers,9
2014,Rome,
2015,Rome,1
2016,Rome,10
2017,Rome,11
2014,Romeoville,2
2015,Romeoville,
2016,Romeoville,
2017,Romeoville,
2014,Roseville,3
2015,Roseville,17
2016,Roseville,61
2017,Roseville,15
2014,Roswell,12
2015,Roswell,29
2016,Roswell,
2017,Roswell,23
2014,Round Rock,
2015,Round Rock,
2016,Round Rock,14
2017,Round Rock,9
2014,Royal Oak,2
2015,Royal Oak,2
2016,Royal Oak,
2017,Royal Oak,
2014,Sacramento,6
2015,Sacramento,5
2016,Sacramento,12
2017,Sacramento,13
2014,Saginaw,
2015,Saginaw,
2016,Saginaw,
2017,Saginaw,24
2014,Saint Charles,5
2015,Saint Charles,17
2016,Saint Charles,2
2017,Saint Charles,9
2014,Saint Cloud,
2015,Saint Cloud,
2016,Saint Cloud,
2017,Saint Cloud,13
2014,Saint Louis,11
2015,Saint Louis,3
2016,Saint Louis,
2017,Saint Louis,12
2014,Saint Paul,
2015,Saint Paul,
2016,Saint Paul,11
2017,Saint Paul,
2014,Saint Peters,
2015,Saint Peters,
2016,Saint Peters,4
2017,Saint Peters,
2014,Saint Petersburg,16
2015,Saint Petersburg,35
2016,Saint Petersburg,
2017,Saint Petersburg,2
2014,Salem,56
2015,Salem,6
2016,Salem,48
2017,Salem,40
2014,Salinas,
2015,Salinas,26
2016,Salinas,8
2017,Salinas,5
2014,Salt Lake City,3
2015,Salt Lake City,
2016,Salt Lake City,24
2017,Salt Lake City,15
2014,San Angelo,
2015,San Angelo,
2016,San Angelo,11
2017,San Angelo,2
2014,San Antonio,86
2015,San Antonio,77
2016,San Antonio,46
2017,San Antonio,38
2014,San Bernardino,
2015,San Bernardino,33
2016,San Bernardino,
2017,San Bernardino,
2014,San Clemente,
2015,San Clemente,
2016,San Clemente,10
2017,San Clemente,
2014,San Diego,162
2015,San Diego,222
2016,San Diego,149
2017,San Diego,137
2014,San Francisco,489
2015,San Francisco,256
2016,San Francisco,419
2017,San Francisco,771
2014,San Gabriel,13
2015,San Gabriel,
2016,San Gabriel,
2017,San Gabriel,
2014,San Jose,28
2015,San Jose,25
2016,San Jose,63
2017,San Jose,43
2014,San Luis Obispo,
2015,San Luis Obispo,
2016,San Luis Obispo,2
2017,San Luis Obispo,
2014,San Marcos,12
2015,San Marcos,
2016,San Marcos,
2017,San Marcos,
2014,San Mateo,
2015,San Mateo,
2016,San Mateo,
2017,San Mateo,6
2014,Sandy Springs,4
2015,Sandy Springs,
2016,Sandy Springs,10
2017,Sandy Springs,33
2014,Sanford,
2015,Sanford,
2016,Sanford,
2017,Sanford,9
2014,Santa Ana,
2015,Santa Ana,2
2016,Santa Ana,31
2017,Santa Ana,22
2014,Santa Barbara,
2015,Santa Barbara,8
2016,Santa Barbara,14
2017,Santa Barbara,8
2014,Santa Clara,11
2015,Santa Clara,
2016,Santa Clara,10
2017,Santa Clara,2
2014,Santa Fe,9
2015,Santa Fe,5
2016,Santa Fe,
2017,Santa Fe,
2014,Santa Maria,
2015,Santa Maria,3
2016,Santa Maria,
2017,Santa Maria,
2014,Scottsdale,27
2015,Scottsdale,6
2016,Scottsdale,15
2017,Scottsdale,7
2014,Seattle,291
2015,Seattle,246
2016,Seattle,371
2017,Seattle,682
2014,Sheboygan,
2015,Sheboygan,
2016,Sheboygan,10
2017,Sheboygan,
2014,Shelton,
2015,Shelton,
2016,Shelton,5
2017,Shelton,
2014,Sierra Vista,
2015,Sierra Vista,
2016,Sierra Vista,9
2017,Sierra Vista,
2014,Sioux Falls,6
2015,Sioux Falls,
2016,Sioux Falls,
2017,Sioux Falls,29
2014,Skokie,12
2015,Skokie,
2016,Skokie,
2017,Skokie,32
2014,Smyrna,1
2015,Smyrna,18
2016,Smyrna,59
2017,Smyrna,8
2014,South Bend,
2015,South Bend,25
2016,South Bend,
2017,South Bend,
2014,Southaven,10
2015,Southaven,
2016,Southaven,
2017,Southaven,15
2014,Sparks,
2015,Sparks,4
2016,Sparks,15
2017,Sparks,
2014,Spokane,
2015,Spokane,14
2016,Spokane,3
2017,Spokane,19
2014,Springdale,
2015,Springdale,
2016,Springdale,
2017,Springdale,2
2014,Springfield,106
2015,Springfield,128
2016,Springfield,218
2017,Springfield,197
2014,Sterling Heights,
2015,Sterling Heights,9
2016,Sterling Heights,2
2017,Sterling Heights,
2014,Stockton,
2015,Stockton,
2016,Stockton,19
2017,Stockton,15
2014,Suffolk,
2015,Suffolk,10
2016,Suffolk,14
2017,Suffolk,8
2014,Summerville,
2015,Summerville,
2016,Summerville,
2017,Summerville,10
2014,Sunnyvale,
2015,Sunnyvale,
2016,Sunnyvale,
2017,Sunnyvale,23
2014,Superior,
2015,Superior,4
2016,Superior,33
2017,Superior,
2014,Tallahassee,
2015,Tallahassee,3
2016,Tallahassee,40
2017,Tallahassee,46
2014,Tamarac,
2015,Tamarac,1
2016,Tamarac,14
2017,Tamarac,
2014,Tampa,48
2015,Tampa,18
2016,Tampa,18
2017,Tampa,21
2014,Taylor,3
2015,Taylor,2
2016,Taylor,2
2017,Taylor,
2014,Temecula,
2015,Temecula,14
2016,Temecula,
2017,Temecula,
2014,Tempe,23
2015,Tempe,3
2016,Tempe,5
2017,Tempe,10
2014,Texarkana,6
2015,Texarkana,
2016,Texarkana,
2017,Texarkana,5
2014,Texas City,2
2015,Texas City,5
2016,Texas City,
2017,Texas City,
2014,The Colony,
2015,The Colony,
2016,The Colony,14
2017,The Colony,
2014,Thomasville,
2015,Thomasville,
2016,Thomasville,12
2017,Thomasville,
2014,Thornton,7
2015,Thornton,2
2016,Thornton,
2017,Thornton,38
2014,Thousand Oaks,
2015,Thousand Oaks,7
2016,Thousand Oaks,
2017,Thousand Oaks,13
2014,Tigard,12
2015,Tigard,
2016,Tigard,10
2017,Tigard,4
2014,Tinley Park,
2015,Tinley Park,7
2016,Tinley Park,
2017,Tinley Park,
2014,Toledo,12
2015,Toledo,48
2016,Toledo,23
2017,Toledo,39
2014,Torrance,
2015,Torrance,
2016,Torrance,6
2017,Torrance,10
2014,Trenton,15
2015,Trenton,
2016,Trenton,15
2017,Trenton,24
2014,Troy,11
2015,Troy,22
2016,Troy,52
2017,Troy,27
2014,Tucson,51
2015,Tucson,36
2016,Tucson,22
2017,Tucson,36
2014,Tulsa,28
2015,Tulsa,3
2016,Tulsa,52
2017,Tulsa,24
2014,Tuscaloosa,
2015,Tuscaloosa,
2016,Tuscaloosa,
2017,Tuscaloosa,9
2014,Twin Falls,
2015,Twin Falls,
2016,Twin Falls,7
2017,Twin Falls,
2014,Tyler,4
2015,Tyler,
2016,Tyler,
2017,Tyler,12
2014,Urbandale,
2015,Urbandale,
2016,Urbandale,8
2017,Urbandale,4
2014,Utica,24
2015,Utica,1
2016,Utica,2
2017,Utica,6
2014,Vacaville,11
2015,Vacaville,
2016,Vacaville,
2017,Vacaville,
2014,Vallejo,13
2015,Vallejo,
2016,Vallejo,9
2017,Vallejo,
2014,Vancouver,
2015,Vancouver,
2016,Vancouver,13
2017,Vancouver,2
2014,Vineland,
2015,Vineland,4
2016,Vineland,6
2017,Vineland,14
2014,Virginia Beach,28
2015,Virginia Beach,3
2016,Virginia Beach,14
2017,Virginia Beach,17
2014,Visalia,
2015,Visalia,8
2016,Visalia,12
2017,Visalia,
2014,Waco,
2015,Waco,
2016,Waco,2
2017,Waco,15
2014,Warner Robins,
2015,Warner Robins,3
2016,Warner Robins,7
2017,Warner Robins,
2014,Warwick,
2015,Warwick,
2016,Warwick,6
2017,Warwick,8
2014,Washington,
2015,Washington,14
2016,Washington,18
2017,Washington,8
2014,Waterbury,
2015,Waterbury,
2016,Waterbury,21
2017,Waterbury,12
2014,Waterloo,
2015,Waterloo,
2016,Waterloo,
2017,Waterloo,4
2014,Watertown,12
2015,Watertown,
2016,Watertown,7
2017,Watertown,16
2014,Waukesha,
2015,Waukesha,
2016,Waukesha,5
2017,Waukesha,
2014,Wausau,14
2015,Wausau,
2016,Wausau,
2017,Wausau,
2014,Waynesboro,5
2015,Waynesboro,19
2016,Waynesboro,8
2017,Waynesboro,
2014,West Allis,
2015,West Allis,
2016,West Allis,5
2017,West Allis,
2014,West Jordan,2
2015,West Jordan,14
2016,West Jordan,
2017,West Jordan,
2014,West Palm Beach,
2015,West Palm Beach,7
2016,West Palm Beach,4
2017,West Palm Beach,
2014,Westfield,
2015,Westfield,
2016,Westfield,10
2017,Westfield,6
2014,Westland,30
2015,Westland,
2016,Westland,16
2017,Westland,
2014,Westminster,
2015,Westminster,
2016,Westminster,
2017,Westminster,50
2014,Wheeling,
2015,Wheeling,
2016,Wheeling,5
2017,Wheeling,22
2014,Whittier,
2015,Whittier,
2016,Whittier,
2017,Whittier,4
2014,Wichita,
2015,Wichita,5
2016,Wichita,16
2017,Wichita,5
2014,Wilmington,41
2015,Wilmington,58
2016,Wilmington,31
2017,Wilmington,27
2014,Wilson,
2015,Wilson,13
2016,Wilson,7
2017,Wilson,
2014,Woodbury,
2015,Woodbury,8
2016,Woodbury,3
2017,Woodbury,
2014,Woodland,
2015,Woodland,
2016,Woodland,2
2017,Woodland,5
2014,Woodstock,21
2015,Woodstock,
2016,Woodstock,8
2017,Woodstock,2
2014,Woonsocket,2
2015,Woonsocket,3
2016,Woonsocket,
2017,Woonsocket,10
2014,Yonkers,22
2015,Yonkers,
2016,Yonkers,18
2017,Yonkers,17
2014,York,
2015,York,
2016,York,13
2017,York,6
2014,Yucaipa,
2015,Yucaipa,5
2016,Yucaipa,
2017,Yucaipa,
2014,Yuma,
2015,Yuma,
2016,Yuma,17
2017,Yuma,5
