Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
February,2015,Office Supplies,Supplies,
March,2015,Office Supplies,Supplies,8.6736
April,2015,Office Supplies,Supplies,1.1163999999999996
May,2015,Office Supplies,Supplies,40.132999999999996
June,2015,Office Supplies,Supplies,
July,2015,Office Supplies,Supplies,15.776999999999996
August,2015,Office Supplies,Supplies,6.401600000000002
September,2015,Office Supplies,Supplies,-135.84810000000002
October,2015,Office Supplies,Supplies,30.012599999999992
November,2015,Office Supplies,Supplies,-0.4065000000000012
December,2015,Office Supplies,Supplies,-0.7460000000000011
January,2016,Office Supplies,Supplies,
February,2016,Office Supplies,Supplies,6.6846000000000005
March,2016,Office Supplies,Supplies,-581.9058000000005
April,2016,Office Supplies,Supplies,-156.07779999999997
May,2016,Office Supplies,Supplies,54.4263
June,2016,Office Supplies,Supplies,44.248200000000004
July,2016,Office Supplies,Supplies,49.53179999999999
August,2016,Office Supplies,Supplies,-17.217100000000038
September,2016,Office Supplies,Supplies,28.760299999999997
October,2016,Office Supplies,Supplies,21.7996
November,2016,Office Supplies,Supplies,-12.116500000000023
December,2016,Office Supplies,Supplies,-137.0975
January,2017,Office Supplies,Supplies,120.21310000000005
February,2017,Office Supplies,Supplies,6.5052
March,2017,Office Supplies,Supplies,-275.8088
April,2017,Office Supplies,Supplies,68.94090000000001
May,2017,Office Supplies,Supplies,14.826900000000004
June,2017,Office Supplies,Supplies,23.47
July,2017,Office Supplies,Supplies,16.981099999999977
August,2017,Office Supplies,Supplies,60.04049999999999
September,2017,Office Supplies,Supplies,-1048.0732
October,2017,Office Supplies,Supplies,14.913599999999995
November,2017,Office Supplies,Supplies,-66.98369999999998
December,2017,Office Supplies,Supplies,109.66159999999996
January,2014,Technology,Accessories,334.42400000000004
February,2014,Technology,Accessories,467.8996000000001
March,2014,Technology,Accessories,322.2499
April,2014,Technology,Accessories,736.1707
May,2014,Technology,Accessories,151.70069999999996
June,2014,Technology,Accessories,150.58410000000003
July,2014,Technology,Accessories,518.593
August,2014,Technology,Accessories,597.9694
September,2014,Technology,Accessories,569.0499
October,2014,Technology,Accessories,323.5639999999999
November,2014,Technology,Accessories,755.4955999999996
December,2014,Technology,Accessories,1475.0140999999996
January,2015,Technology,Accessories,91.34579999999998
February,2015,Technology,Accessories,263.2083999999999
March,2015,Technology,Accessories,315.9495999999999
April,2015,Technology,Accessories,396.0330999999999
May,2015,Technology,Accessories,274.37
June,2015,Technology,Accessories,567.7805
July,2015,Technology,Accessories,1519.9988999999998
August,2015,Technology,Accessories,214.0675999999999
September,2015,Technology,Accessories,1365.3952999999997
October,2015,Technology,Accessories,560.2667999999999
November,2015,Technology,Accessories,1444.2319
December,2015,Technology,Accessories,3184.6273000000006
January,2016,Technology,Accessories,435.66099999999983
February,2016,Technology,Accessories,127.32480000000002
March,2016,Technology,Accessories,472.9774999999998
April,2016,Technology,Accessories,341.98149999999987
May,2016,Technology,Accessories,855.4851999999998
June,2016,Technology,Accessories,487.30840000000006
July,2016,Technology,Accessories,342.25790000000006
August,2016,Technology,Accessories,597.7086000000002
September,2016,Technology,Accessories,1645.3200000000004
October,2016,Technology,Accessories,917.3141999999996
November,2016,Technology,Accessories,1971.8394000000003
December,2016,Technology,Accessories,1469.11
January,2017,Technology,Accessories,476.40939999999995
February,2017,Technology,Accessories,623.3509999999997
March,2017,Technology,Accessories,1192.2329999999997
April,2017,Technology,Accessories,357.7681999999999
May,2017,Technology,Accessories,1190.1372
June,2017,Technology,Accessories,1027.9174999999998
July,2017,Technology,Accessories,2403.1307999999995
August,2017,Technology,Accessories,1153.5799000000002
September,2017,Technology,Accessories,2777.9010999999996
October,2017,Technology,Accessories,908.5309999999996
November,2017,Technology,Accessories,2181.1249000000003
December,2017,Technology,Accessories,1380.273
January,2014,Technology,Copiers,
February,2014,Technology,Copiers,
March,2014,Technology,Copiers,
April,2014,Technology,Copiers,
May,2014,Technology,Copiers,464.98850000000004
June,2014,Technology,Copiers,
July,2014,Technology,Copiers,174.99749999999997
August,2014,Technology,Copiers,709.9863
September,2014,Technology,Copiers,701.9883
October,2014,Technology,Copiers,624.9875
November,2014,Technology,Copiers,
December,2014,Technology,Copiers,235.9951999999999
January,2015,Technology,Copiers,
February,2015,Technology,Copiers,
March,2015,Technology,Copiers,1858.4616999999998
April,2015,Technology,Copiers,911.9713999999999
May,2015,Technology,Copiers,1014.9797
June,2015,Technology,Copiers,314.9895
July,2015,Technology,Copiers,
August,2015,Technology,Copiers,874.9874999999998
September,2015,Technology,Copiers,725.9864
October,2015,Technology,Copiers,326.9889
November,2015,Technology,Copiers,673.9881
December,2015,Technology,Copiers,3227.9455999999996
January,2016,Technology,Copiers,119.99599999999992
February,2016,Technology,Copiers,
March,2016,Technology,Copiers,
April,2016,Technology,Copiers,374.99249999999995
May,2016,Technology,Copiers,1189.9957999999988
June,2016,Technology,Copiers,
July,2016,Technology,Copiers,1586.9682999999995
August,2016,Technology,Copiers,
September,2016,Technology,Copiers,2308.9318
October,2016,Technology,Copiers,10991.932799999999
November,2016,Technology,Copiers,179.9964
December,2016,Technology,Copiers,989.9789999999999
January,2017,Technology,Copiers,1379.9769999999999
February,2017,Technology,Copiers,
March,2017,Technology,Copiers,9185.937699999999
April,2017,Technology,Copiers,
May,2017,Technology,Copiers,1049.985
June,2017,Technology,Copiers,
July,2017,Technology,Copiers,999.9795
August,2017,Technology,Copiers,419.991
September,2017,Technology,Copiers,107.99459999999999
October,2017,Technology,Copiers,3919.988799999999
November,2017,Technology,Copiers,5426.9789
December,2017,Technology,Copiers,2540.9577
January,2014,Technology,Machines,
February,2014,Technology,Machines,
March,2014,Technology,Machines,-1255.4678000000022
April,2014,Technology,Machines,97.18919999999999
May,2014,Technology,Machines,
June,2014,Technology,Machines,-239.20659999999998
July,2014,Technology,Machines,
August,2014,Technology,Machines,
September,2014,Technology,Machines,-2626.1293000000032
October,2014,Technology,Machines,-71.39579999999998
November,2014,Technology,Machines,1936.21
December,2014,Technology,Machines,2527.9691999999995
January,2015,Technology,Machines,-734.4027000000003
February,2015,Technology,Machines,
March,2015,Technology,Machines,
April,2015,Technology,Machines,672.8543
May,2015,Technology,Machines,254.59049999999957
June,2015,Technology,Machines,
July,2015,Technology,Machines,209.23649999999998
August,2015,Technology,Machines,1539.6718999999998
September,2015,Technology,Machines,296.0671
October,2015,Technology,Machines,223.31259999999997
November,2015,Technology,Machines,3453.7979999999993
December,2015,Technology,Machines,-2937.6426000000006
January,2016,Technology,Machines,
February,2016,Technology,Machines,2799.9839999999995
March,2016,Technology,Machines,2168.5751999999993
April,2016,Technology,Machines,2365.9817999999996
May,2016,Technology,Machines,1332.8842
June,2016,Technology,Machines,881.6410999999996
July,2016,Technology,Machines,-430.69110000000006
August,2016,Technology,Machines,98.44380000000004
September,2016,Technology,Machines,170.60999999999984
October,2016,Technology,Machines,-875.4599999999999
November,2016,Technology,Machines,-5221.451000000001
December,2016,Technology,Machines,-383.2
January,2017,Technology,Machines,804.2562999999997
February,2017,Technology,Machines,38.99739999999997
March,2017,Technology,Machines,62.27139999999997
April,2017,Technology,Machines,-3039.981200000001
May,2017,Technology,Machines,38.60999999999996
June,2017,Technology,Machines,1834.5961
July,2017,Technology,Machines,259.341
August,2017,Technology,Machines,-263.99670000000026
September,2017,Technology,Machines,260.8085000000001
October,2017,Technology,Machines,1671.5036
November,2017,Technology,Machines,-4495.826999999999
December,2017,Technology,Machines,-39.795000000000144
January,2014,Technology,Phones,521.3496
February,2014,Technology,Phones,97.62609999999998
March,2014,Technology,Phones,1290.1895000000004
April,2014,Technology,Phones,1100.8866000000003
May,2014,Technology,Phones,724.6936
June,2014,Technology,Phones,1437.3990000000001
July,2014,Technology,Phones,572.6973999999998
August,2014,Technology,Phones,579.0768999999996
September,2014,Technology,Phones,1125.0527
October,2014,Technology,Phones,1204.2964999999997
November,2014,Technology,Phones,2486.3610999999996
December,2014,Technology,Phones,668.3762999999998
January,2015,Technology,Phones,-213.64700000000005
February,2015,Technology,Phones,341.6458
March,2015,Technology,Phones,694.7809999999997
April,2015,Technology,Phones,390.62760000000003
May,2015,Technology,Phones,491.73019999999985
June,2015,Technology,Phones,670.0604999999998
July,2015,Technology,Phones,770.7238
August,2015,Technology,Phones,1005.7991999999999
September,2015,Technology,Phones,2433.7116999999994
October,2015,Technology,Phones,1221.3765
November,2015,Technology,Phones,1110.7174999999997
December,2015,Technology,Phones,1481.2805999999996
January,2016,Technology,Phones,360.73440000000005
February,2016,Technology,Phones,370.2345999999998
March,2016,Technology,Phones,464.2777000000002
April,2016,Technology,Phones,630.5078
May,2016,Technology,Phones,1061.8048999999999
June,2016,Technology,Phones,1020.2057
July,2016,Technology,Phones,771.4752999999998
August,2016,Technology,Phones,230.87130000000025
September,2016,Technology,Phones,787.1515999999998
October,2016,Technology,Phones,673.9605000000001
November,2016,Technology,Phones,1574.2889
December,2016,Technology,Phones,1514.0802
January,2017,Technology,Phones,1258.7899
February,2017,Technology,Phones,196.74039999999985
March,2017,Technology,Phones,594.6337999999997
April,2017,Technology,Phones,42.43909999999988
May,2017,Technology,Phones,983.0074999999999
June,2017,Technology,Phones,1076.8444
July,2017,Technology,Phones,402.26099999999997
August,2017,Technology,Phones,1341.2843
September,2017,Technology,Phones,1448.4239000000011
October,2017,Technology,Phones,1261.3972999999999
November,2017,Technology,Phones,2562.6603
December,2017,Technology,Phones,1680.8430999999996
