financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit)
High,France,333060,385581,52521
Low,France,333060,,
Medium,France,333060,,
None,France,333060,,
High,France,331000,,
Low,France,331000,,
Medium,France,331000,361452,30452
None,France,331000,,
High,France,358560,,
Low,France,358560,358560,0
Medium,France,358560,,
None,France,358560,,
High,France,296500,313104,16604
Low,France,296500,,
Medium,France,296500,,
None,France,296500,,
High,France,154440,,
Low,France,154440,312097.5,3217.5
Medium,France,154440,,
None,France,154440,,
High,France,286200,,
Low,France,286200,,
Medium,France,286200,283218.75,-2981.25
None,France,286200,,
High,France,229500,,
Low,France,229500,269892,40392
Medium,France,229500,,
None,France,229500,,
High,France,239750,,
Low,France,239750,,
Medium,France,239750,267561,27811
None,France,239750,,
High,France,112000,,
Low,France,112000,,
Medium,France,112000,249984,25984
None,France,112000,,
High,France,238500,,
Low,France,238500,,
Medium,France,238500,233531.25,-4968.75
None,France,238500,,
High,France,216480,,
Low,France,216480,,
Medium,France,216480,,
None,France,216480,225500,9020
High,France,209280,,
Low,France,209280,215820,6540
Medium,France,209280,,
None,France,209280,,
High,France,222840,,
Low,France,222840,,
Medium,France,222840,211233.75,-11606.25
None,France,222840,,
High,France,166140,201285,35145
Low,France,166140,,
Medium,France,166140,,
None,France,166140,,
High,France,94440,,
Low,France,94440,194782.5,5902.5
Medium,France,94440,,
None,France,94440,,
High,France,149370,,
Low,France,149370,,
Medium,France,149370,184989,35619
None,France,149370,,
High,France,84480,,
Low,France,84480,,
Medium,France,84480,167200,-1760
None,France,84480,,
High,France,177840,166725,-11115
Low,France,177840,,
Medium,France,177840,,
None,France,177840,,
High,France,171960,159421.25,-12538.75
Low,France,171960,,
Medium,France,171960,,
None,France,171960,,
High,France,140880,124737.5,-16142.5
Low,France,140880,,
Medium,France,140880,,
None,France,140880,,
High,France,99060,,
Low,France,99060,,
Medium,France,99060,122682,23622
None,France,99060,,
High,France,122760,109972.5,-12787.5
Low,France,122760,,
Medium,France,122760,,
None,France,122760,,
High,France,96500,,
Low,France,96500,,
Medium,France,96500,106536,10036
None,France,96500,,
High,France,80500,,
Low,France,80500,,
Medium,France,80500,87906,7406
None,France,80500,,
High,France,38640,,
Low,France,38640,76507.20000000001,37867.200000000004
Medium,France,38640,,
None,France,38640,,
High,France,18990,,
Low,France,18990,,
Medium,France,18990,,
None,France,18990,75960,37980
High,France,19760,,
Low,France,19760,,
Medium,France,19760,73507.2,33987.2
None,France,19760,,
High,France,79560,70443.75,-9116.25
Low,France,79560,,
Medium,France,79560,,
None,France,79560,,
High,France,17570,,
Low,France,17570,,
Medium,France,17570,66063.2,30923.199999999997
None,France,17570,,
High,France,21780,,
Low,France,21780,,
Medium,France,21780,,
None,France,21780,65340,21780
High,France,21670,58509,15169
Low,France,21670,,
Medium,France,21670,,
None,France,21670,,
High,France,20720,55944,14504
Low,France,20720,,
Medium,France,20720,,
None,France,20720,,
High,France,38010,,
Low,France,38010,,
Medium,France,38010,53594.100000000006,15584.100000000002
None,France,38010,,
High,France,39975,52167.375,12192.375
Low,France,39975,,
Medium,France,39975,,
None,France,39975,,
High,France,38745,51143.399999999994,12398.399999999998
Low,France,38745,,
Medium,France,38745,,
None,France,38745,,
High,France,28050,49929,21879
Low,France,28050,,
Medium,France,28050,,
None,France,28050,,
High,France,26820,,
Low,France,26820,,
Medium,France,26820,48812.4,21992.4
None,France,26820,,
High,France,25215,44378.399999999994,19163.399999999998
Low,France,25215,,
Medium,France,25215,,
None,France,25215,,
High,France,5703,,
Low,France,5703,44255.28,32849.28
Medium,France,5703,,
None,France,5703,,
High,France,26200,,
Low,France,26200,,
Medium,France,26200,37335,11135
None,France,26200,,
High,France,28260,36031.5,7771.5
Low,France,28260,,
Medium,France,28260,,
None,France,28260,,
High,France,19540,35172,15632
Low,France,19540,,
Medium,France,19540,,
None,France,19540,,
High,France,25010,,
Low,France,25010,,
Medium,France,25010,34513.8,9503.800000000003
None,France,25010,,
High,France,22960,,
Low,France,22960,34095.6,11135.599999999999
Medium,France,22960,,
None,France,22960,,
High,France,12270,,
Low,France,12270,,
Medium,France,12270,33497.1,8957.099999999999
None,France,12270,,
High,France,12435,,
Low,France,12435,,
Medium,France,12435,33077.1,8207.099999999999
None,France,12435,,
High,France,22610,,
Low,France,22610,32558.4,9948.400000000001
Medium,France,22610,,
None,France,22610,,
High,France,8013,,
Low,France,8013,31731.48,23718.48
Medium,France,8013,,
None,France,8013,,
High,France,15790,,
Low,France,15790,,
Medium,France,15790,30001,14211
None,France,15790,,
High,France,15630,,
Low,France,15630,,
Medium,France,15630,29697,14067
None,France,15630,,
High,France,21010,,
Low,France,21010,,
Medium,France,21010,29308.95,8298.95
None,France,21010,,
High,France,4179,28751.52,20393.52
Low,France,4179,,
Medium,France,4179,,
None,France,4179,,
High,France,15350,,
Low,France,15350,,
Medium,France,15350,28551,13201
None,France,15350,,
High,France,19725,,
Low,France,19725,27338.850000000002,7613.850000000002
Medium,France,19725,,
None,France,19725,,
High,France,13755,,
Low,France,13755,27234.899999999998,13479.899999999998
Medium,France,13755,,
None,France,13755,,
High,France,7026,,
Low,France,7026,,
Medium,France,7026,26136.72,19110.72
None,France,7026,,
High,France,7276.5,25904.340000000004,18627.840000000004
Low,France,7276.5,,
Medium,France,7276.5,,
None,France,7276.5,,
High,France,3594,25589.28,18401.28
Low,France,3594,,
Medium,France,3594,,
None,France,3594,,
High,France,7425,25542,18117
Low,France,7425,,
Medium,France,7425,,
None,France,7425,,
High,France,3165,,
Low,France,3165,24813.6,18483.6
Medium,France,3165,,
None,France,3165,,
High,France,13030,,
Low,France,13030,,
Medium,France,13030,24757,11727
None,France,13030,,
High,France,6702,,
Low,France,6702,,
Medium,France,6702,24395.28,17693.28
None,France,6702,,
High,France,5901,,
Low,France,5901,,
Medium,France,5901,21479.64,15578.64
None,France,5901,,
High,France,5595,,
Low,France,5595,,
Medium,France,5595,21261,15666
None,France,5595,,
High,France,17107.5,21076.44,3968.9399999999987
Low,France,17107.5,,
Medium,France,17107.5,,
None,France,17107.5,,
High,France,5355,,
Low,France,5355,20991.6,15636.599999999999
Medium,France,5355,,
None,France,5355,,
High,France,8655,20841.239999999998,3531.239999999998
Low,France,8655,,
Medium,France,8655,,
None,France,8655,,
High,France,10330,,
Low,France,10330,,
Medium,France,10330,19627,9297
None,France,10330,,
High,France,5215.5,,
Low,France,5215.5,,
Medium,France,5215.5,19401.66,14186.16
None,France,5215.5,,
High,France,5202,18519.12,13317.119999999999
Low,France,5202,,
Medium,France,5202,,
None,France,5202,,
High,France,7015,,
Low,France,7015,,
Medium,France,7015,18463.48,4433.48
None,France,7015,,
High,France,9410,,
Low,France,9410,18443.6,9033.599999999999
Medium,France,9410,,
None,France,9410,,
High,France,13480,16418.64,2938.6399999999994
Low,France,13480,,
Medium,France,13480,,
None,France,13480,,
High,France,12660,15774.36,3114.3599999999997
Low,France,12660,,
Medium,France,12660,,
None,France,12660,,
High,France,10725,,
Low,France,10725,14714.7,3989.7000000000007
Medium,France,10725,,
None,France,10725,,
High,France,5950,14494.2,2594.2000000000007
Low,France,5950,,
Medium,France,5950,,
None,France,5950,,
High,France,10680,,
Low,France,10680,,
Medium,France,10680,14204.4,3524.3999999999996
None,France,10680,,
High,France,2598,,
Low,France,2598,9976.32,7378.32
Medium,France,2598,,
None,France,2598,,
High,France,2930,9962,4102
Low,France,2930,,
Medium,France,2930,,
None,France,2930,,
High,France,7455,9184.56,1729.5599999999995
Low,France,7455,,
Medium,France,7455,,
None,France,7455,,
High,France,5490,,
Low,France,5490,,
Medium,France,5490,,
None,France,5490,8235,2745
High,France,5150,,
Low,France,5150,7137.9,1987.8999999999996
Medium,France,5150,,
None,France,5150,,
High,France,4900,,
Low,France,4900,,
Medium,France,4900,6762,1862
None,France,4900,,
High,France,5155,,
Low,France,5155,,
Medium,France,5155,6711.81,1556.8100000000004
None,France,5155,,
High,France,3210,,
Low,France,3210,4766.85,1556.8500000000004
Medium,France,3210,,
None,France,3210,,
High,France,3195,,
Low,France,3195,4428.27,1233.2700000000004
Medium,France,3195,,
None,France,3195,,
High,France,2720,,
Low,France,2720,3693.76,973.7600000000002
Medium,France,2720,,
None,France,2720,,
High,France,918,,
Low,France,918,,
Medium,France,918,3341.52,2423.52
None,France,918,,
High,France,1465,1763.8600000000001,298.8600000000001
Low,France,1465,,
Medium,France,1465,,
None,France,1465,,
High,France,,5865834.735000001,535982.7350000001
Low,France,,5913163.185,1061776.185
Medium,France,,10057889.36,1619256.8599999999
None,France,,2517285,564005
High,Germany,771160,,
Low,Germany,771160,2034676,492356
Medium,Germany,771160,,
None,Germany,771160,,
High,Germany,748020,,
Low,Germany,748020,1973622,477582
Medium,Germany,748020,,
None,Germany,748020,,
High,Germany,505250,,
Low,Germany,505250,1164096,153596
Medium,Germany,505250,,
None,Germany,505250,,
High,Germany,393380,,
Low,Germany,393380,,
Medium,Germany,393380,,
None,Germany,393380,1059100,272340
High,Germany,702750,750537,47787
Low,Germany,702750,,
Medium,Germany,702750,,
None,Germany,702750,,
High,Germany,664750,,
Low,Germany,664750,,
Medium,Germany,664750,725907,61157
None,Germany,664750,,
High,Germany,312500,,
Low,Germany,312500,,
Medium,Germany,312500,712500,87500
None,Germany,312500,,
High,Germany,261560,,
Low,Germany,261560,,
Medium,Germany,261560,,
None,Germany,261560,704200,181080
High,Germany,557960,,
Low,Germany,557960,,
Medium,Germany,557960,691012,133052
None,Germany,557960,,
High,Germany,634000,654288,20288
Low,Germany,634000,,
Medium,Germany,634000,,
None,Germany,634000,,
High,Germany,495820,,
Low,Germany,495820,640752,144932
Medium,Germany,495820,,
None,Germany,495820,,
High,Germany,467220,,
Low,Germany,467220,610081.5,142861.5
Medium,Germany,467220,,
None,Germany,467220,,
High,Germany,486200,589050,102850
Low,Germany,486200,,
Medium,Germany,486200,,
None,Germany,486200,,
High,Germany,464750,,
Low,Germany,464750,535392,70642
Medium,Germany,464750,,
None,Germany,464750,,
High,Germany,506340,,
Low,Germany,506340,,
Medium,Germany,506340,,
None,Germany,506340,527437.5,21097.5
High,Germany,432000,,
Low,Germany,432000,508032,76032
Medium,Germany,432000,,
None,Germany,432000,,
High,Germany,379600,,
Low,Germany,379600,,
Medium,Germany,379600,480340,100740
None,Germany,379600,,
High,Germany,351000,,
Low,Germany,351000,,
Medium,Germany,351000,448875,97875
None,Germany,351000,,
High,Germany,339820,,
Low,Germany,339820,,
Medium,Germany,339820,416279.5,76459.5
None,Germany,339820,,
High,Germany,204720,,
Low,Germany,204720,413705,4265
Medium,Germany,204720,,
None,Germany,204720,,
High,Germany,421560,,
Low,Germany,421560,,
Medium,Germany,421560,408386.25,-13173.75
None,Germany,421560,,
High,Germany,353625,,
Low,Germany,353625,407376,53751
Medium,Germany,353625,,
None,Germany,353625,,
High,Germany,172250,,
Low,Germany,172250,400998,56498
Medium,Germany,172250,,
None,Germany,172250,,
High,Germany,188400,,
Low,Germany,188400,380725,3925
Medium,Germany,188400,,
None,Germany,188400,,
High,Germany,311740,360899,49159
Low,Germany,311740,,
Medium,Germany,311740,,
None,Germany,311740,,
High,Germany,339750,358776,19026
Low,Germany,339750,,
Medium,Germany,339750,,
None,Germany,339750,,
High,Germany,379800,352106.25,-27693.75
Low,Germany,379800,,
Medium,Germany,379800,,
None,Germany,379800,,
High,Germany,280750,,
Low,Germany,280750,,
Medium,Germany,280750,313317,32567
None,Germany,280750,,
High,Germany,332040,293993.75,-38046.25
Low,Germany,332040,,
Medium,Germany,332040,,
None,Germany,332040,,
High,Germany,246500,,
Low,Germany,246500,292842,46342
Medium,Germany,246500,,
None,Germany,246500,,
High,Germany,300000,,
Low,Germany,300000,,
Medium,Germany,300000,290625,-9375
None,Germany,300000,,
High,Germany,273120,,
Low,Germany,273120,278810,5690
Medium,Germany,273120,,
None,Germany,273120,,
High,Germany,205920,246708,40788
Low,Germany,205920,,
Medium,Germany,205920,,
None,Germany,205920,,
High,Germany,250440,,
Low,Germany,250440,,
Medium,Germany,250440,242613.75,-7826.25
None,Germany,250440,,
High,Germany,199160,238609,39449
Low,Germany,199160,,
Medium,Germany,199160,,
None,Germany,199160,,
High,Germany,130200,230562.5,-29837.5
Low,Germany,130200,,
Medium,Germany,130200,,
None,Germany,130200,,
High,Germany,201750,210627,8877
Low,Germany,201750,,
Medium,Germany,201750,,
None,Germany,201750,,
High,Germany,97080,,
Low,Germany,97080,198205,4045
Medium,Germany,97080,,
None,Germany,97080,,
High,Germany,109720,,
Low,Germany,109720,,
Medium,Germany,109720,135884,26164
None,Germany,109720,,
High,Germany,53500,,
Low,Germany,53500,125832,18832
Medium,Germany,53500,,
None,Germany,53500,,
High,Germany,119280,,
Low,Germany,119280,,
Medium,Germany,119280,115552.5,-3727.5
None,Germany,119280,,
High,Germany,92820,108706.5,15886.5
Low,Germany,92820,,
Medium,Germany,92820,,
None,Germany,92820,,
High,Germany,29920,106515.2,46675.2
Low,Germany,29920,,
Medium,Germany,29920,,
None,Germany,29920,,
High,Germany,106440,,
Low,Germany,106440,,
Medium,Germany,106440,104222.5,-2217.5
None,Germany,106440,,
High,Germany,96840,,
Low,Germany,96840,,
Medium,Germany,96840,95831.25,-1008.75
None,Germany,96840,,
High,Germany,95400,,
Low,Germany,95400,95400,0
Medium,Germany,95400,,
None,Germany,95400,,
High,Germany,83500,,
Low,Germany,83500,,
Medium,Germany,83500,91182,7682
None,Germany,83500,,
High,Germany,64750,,
Low,Germany,64750,76146,11396
Medium,Germany,64750,,
None,Germany,64750,,
High,Germany,66240,58650,-7590
Low,Germany,66240,,
Medium,Germany,66240,,
None,Germany,66240,,
High,Germany,19450,,
Low,Germany,19450,56599.5,17699.5
Medium,Germany,19450,,
None,Germany,19450,,
High,Germany,15310,53891.2,23271.199999999997
Low,Germany,15310,,
Medium,Germany,15310,,
None,Germany,15310,,
High,Germany,13660,,
Low,Germany,13660,,
Medium,Germany,13660,50268.8,22948.800000000003
None,Germany,13660,,
High,Germany,25800,,
Low,Germany,25800,50052,24252
Medium,Germany,25800,,
None,Germany,25800,,
High,Germany,27080,47119.2,20039.199999999997
Low,Germany,27080,,
Medium,Germany,27080,,
None,Germany,27080,,
High,Germany,22970,,
Low,Germany,22970,,
Medium,Germany,22970,43643,20673
None,Germany,22970,,
High,Germany,4635,,
Low,Germany,4635,,
Medium,Germany,4635,,
None,Germany,4635,37080,27810
High,Germany,19340,,
Low,Germany,19340,,
Medium,Germany,19340,35585.6,16245.599999999999
None,Germany,19340,,
High,Germany,8514,,
Low,Germany,8514,,
Medium,Germany,8514,,
None,Germany,8514,34056,25542
High,Germany,21160,,
Low,Germany,21160,,
Medium,Germany,21160,30153,8993
None,Germany,21160,,
High,Germany,11690,,
Low,Germany,11690,,
Medium,Germany,11690,30113.44,6733.439999999999
None,Germany,11690,,
High,Germany,11750,29962.5,6462.5
Low,Germany,11750,,
Medium,Germany,11750,,
None,Germany,11750,,
High,Germany,7437,,
Low,Germany,7437,28855.56,21418.56
Medium,Germany,7437,,
None,Germany,7437,,
High,Germany,15200,,
Low,Germany,15200,,
Medium,Germany,15200,27968,12768
None,Germany,15200,,
High,Germany,7722,27799.2,20077.2
Low,Germany,7722,,
Medium,Germany,7722,,
None,Germany,7722,,
High,Germany,7026,,
Low,Germany,7026,,
Medium,Germany,7026,26698.8,19672.8
None,Germany,7026,,
High,Germany,8880,,
Low,Germany,8880,,
Medium,Germany,8880,,
None,Germany,8880,26640,8880
High,Germany,13210,,
Low,Germany,13210,,
Medium,Germany,13210,,
None,Germany,13210,26420,13210
High,Germany,6483,,
Low,Germany,6483,,
Medium,Germany,6483,,
None,Germany,6483,25932,19449
High,Germany,6645,,
Low,Germany,6645,,
Medium,Germany,6645,24719.4,18074.4
None,Germany,6645,,
High,Germany,17430,,
Low,Germany,17430,,
Medium,Germany,17430,24576.3,7146.299999999999
None,Germany,17430,,
High,Germany,15300,,
Low,Germany,15300,,
Medium,Germany,15300,21573,6273
None,Germany,15300,,
High,Germany,3039,21151.44,15073.439999999999
Low,Germany,3039,,
Medium,Germany,3039,,
None,Germany,3039,,
High,Germany,11580,19686,8106
Low,Germany,11580,,
Medium,Germany,11580,,
None,Germany,11580,,
High,Germany,7110,,
Low,Germany,7110,,
Medium,Germany,7110,19623.6,5403.5999999999985
None,Germany,7110,,
High,Germany,15130,19517.7,4387.700000000001
Low,Germany,15130,,
Medium,Germany,15130,,
None,Germany,15130,,
High,Germany,5325,,
Low,Germany,5325,,
Medium,Germany,5325,19383,14058
None,Germany,5325,,
High,Germany,10010,,
Low,Germany,10010,,
Medium,Germany,10010,18818.8,8808.8
None,Germany,10010,,
High,Germany,5310,18478.8,13168.8
Low,Germany,5310,,
Medium,Germany,5310,,
None,Germany,5310,,
High,Germany,2298,,
Low,Germany,2298,18200.16,13604.16
Medium,Germany,2298,,
None,Germany,2298,,
High,Germany,4740,,
Low,Germany,4740,,
Medium,Germany,4740,17253.6,12513.599999999999
None,Germany,4740,,
High,Germany,13325,16789.5,3464.5
Low,Germany,13325,,
Medium,Germany,13325,,
None,Germany,13325,,
High,Germany,12045,,
Low,Germany,12045,,
Medium,Germany,12045,15513.96,3468.959999999999
None,Germany,12045,,
High,Germany,5795,,
Low,Germany,5795,,
Medium,Germany,5795,15414.7,3824.7000000000007
None,Germany,5795,,
High,Germany,10730,,
Low,Germany,10730,,
Medium,Germany,10730,,
None,Germany,10730,15022,4292
High,Germany,10625,,
Low,Germany,10625,,
Medium,Germany,10625,13833.75,3208.75
None,Germany,10625,,
High,Germany,9210,,
Low,Germany,9210,,
Medium,Germany,9210,,
None,Germany,9210,13815,4605
High,Germany,9790,,
Low,Germany,9790,13294.82,3504.8199999999997
Medium,Germany,9790,,
None,Germany,9790,,
High,Germany,9700,,
Low,Germany,9700,,
Medium,Germany,9700,13240.5,3540.5
None,Germany,9700,,
High,Germany,3348,,
Low,Germany,3348,,
Medium,Germany,3348,12722.4,9374.4
None,Germany,3348,,
High,Germany,6630,,
Low,Germany,6630,,
Medium,Germany,6630,12066.6,5436.6
None,Germany,6630,,
High,Germany,6450,,
Low,Germany,6450,,
Medium,Germany,6450,11868,5418
None,Germany,6450,,
High,Germany,8430,,
Low,Germany,8430,,
Medium,Germany,8430,,
None,Germany,8430,11802,3372
High,Germany,7470,,
Low,Germany,7470,11092.95,3622.9500000000007
Medium,Germany,7470,,
None,Germany,7470,,
High,Germany,5880,,
Low,Germany,5880,,
Medium,Germany,5880,10936.8,5056.799999999999
None,Germany,5880,,
High,Germany,7990,,
Low,Germany,7990,,
Medium,Germany,7990,10291.12,2301.120000000001
None,Germany,7990,,
High,Germany,1416,10081.92,7249.92
Low,Germany,1416,,
Medium,Germany,1416,,
None,Germany,1416,,
High,Germany,2640,,
Low,Germany,2640,,
Medium,Germany,2640,9609.6,6969.6
None,Germany,2640,,
High,Germany,6810,9193.5,2383.5
Low,Germany,6810,,
Medium,Germany,6810,,
None,Germany,6810,,
High,Germany,6860,,
Low,Germany,6860,,
Medium,Germany,6860,9123.8,2263.7999999999993
None,Germany,6860,,
High,Germany,2410,8676,3856
Low,Germany,2410,,
Medium,Germany,2410,,
None,Germany,2410,,
High,Germany,6600,8613,2013
Low,Germany,6600,,
Medium,Germany,6600,,
None,Germany,6600,,
High,Germany,6295,,
Low,Germany,6295,,
Medium,Germany,6295,8107.96,1812.96
None,Germany,6295,,
High,Germany,4420,7690.8,3270.8
Low,Germany,4420,,
Medium,Germany,4420,,
None,Germany,4420,,
High,Germany,5475,,
Low,Germany,5475,,
Medium,Germany,5475,7051.8,1576.8000000000002
None,Germany,5475,,
High,Germany,5100,6885,1785
Low,Germany,5100,,
Medium,Germany,5100,,
None,Germany,5100,,
High,Germany,5080,,
Low,Germany,5080,,
Medium,Germany,5080,6756.4,1676.3999999999996
None,Germany,5080,,
High,Germany,4920,6273,1353
Low,Germany,4920,,
Medium,Germany,4920,,
None,Germany,4920,,
High,Germany,1800,,
Low,Germany,1800,,
Medium,Germany,1800,4586.4,986.3999999999996
None,Germany,1800,,
High,Germany,1101,,
Low,Germany,1101,,
Medium,Germany,1101,,
None,Germany,1101,4404,3303
High,Germany,2780,3586.2,806.1999999999998
Low,Germany,2780,,
Medium,Germany,2780,,
None,Germany,2780,,
High,Germany,1400,3371.2,571.1999999999998
Low,Germany,1400,,
Medium,Germany,1400,,
None,Germany,1400,,
High,Germany,1315,,
Low,Germany,1315,1822.59,507.5899999999999
Medium,Germany,1315,,
None,Germany,1315,,
High,Germany,,4878794.360000001,424957.36000000004
Low,Germany,,10316608.08,1847355.08
Medium,Germany,,5824029.879999999,823095.8800000001
None,Germany,,2485908.5,584980.5
High,Mexico,615000,,
Low,Mexico,615000,,
Medium,Mexico,615000,1357920,127920
None,Mexico,615000,,
High,Mexico,363220,,
Low,Mexico,363220,968121,241681
Medium,Mexico,363220,,
None,Mexico,363220,,
High,Mexico,354120,,
Low,Mexico,354120,,
Medium,Mexico,354120,877128,168888
None,Mexico,354120,,
High,Mexico,741260,848172.5,106912.5
Low,Mexico,741260,,
Medium,Mexico,741260,,
None,Mexico,741260,,
High,Mexico,628420,,
Low,Mexico,628420,,
Medium,Mexico,628420,769814.5,141394.5
None,Mexico,628420,,
High,Mexico,686750,,
Low,Mexico,686750,,
Medium,Mexico,686750,766413,79663
None,Mexico,686750,,
High,Mexico,641250,,
Low,Mexico,641250,,
Medium,Mexico,641250,700245,58995
None,Mexico,641250,,
High,Mexico,651250,679905,28655
Low,Mexico,651250,,
Medium,Mexico,651250,,
None,Mexico,651250,,
High,Mexico,504400,,
Low,Mexico,504400,665420,161020
Medium,Mexico,504400,,
None,Mexico,504400,,
High,Mexico,559260,639922.5,80662.5
Low,Mexico,559260,,
Medium,Mexico,559260,,
None,Mexico,559260,,
High,Mexico,484900,,
Low,Mexico,484900,626640,141740
Medium,Mexico,484900,,
None,Mexico,484900,,
High,Mexico,537500,567600,30100
Low,Mexico,537500,,
Medium,Mexico,537500,,
None,Mexico,537500,,
High,Mexico,426920,,
Low,Mexico,426920,557459,130539
Medium,Mexico,426920,,
None,Mexico,426920,,
High,Mexico,436540,,
Low,Mexico,436540,,
Medium,Mexico,436540,552391,115851
None,Mexico,436540,,
High,Mexico,230360,545776,85056
Low,Mexico,230360,,
Medium,Mexico,230360,,
None,Mexico,230360,,
High,Mexico,257400,,
Low,Mexico,257400,525525,10725
Medium,Mexico,257400,,
None,Mexico,257400,,
High,Mexico,258720,474320,-43120
Low,Mexico,258720,,
Medium,Mexico,258720,,
None,Mexico,258720,,
High,Mexico,401750,,
Low,Mexico,401750,,
Medium,Mexico,401750,457995,56245
None,Mexico,401750,,
High,Mexico,362700,429660,66960
Low,Mexico,362700,,
Medium,Mexico,362700,,
None,Mexico,362700,,
High,Mexico,314600,,
Low,Mexico,314600,419265,104665
Medium,Mexico,314600,,
None,Mexico,314600,,
High,Mexico,311220,368676,57456
Low,Mexico,311220,,
Medium,Mexico,311220,,
None,Mexico,311220,,
High,Mexico,158750,,
Low,Mexico,158750,,
Medium,Mexico,158750,350520,33020
None,Mexico,158750,,
High,Mexico,275250,,
Low,Mexico,275250,323694,48444
Medium,Mexico,275250,,
None,Mexico,275250,,
High,Mexico,254800,,
Low,Mexico,254800,,
Medium,Mexico,254800,322420,67620
None,Mexico,254800,,
High,Mexico,275000,,
Low,Mexico,275000,,
Medium,Mexico,275000,313500,38500
None,Mexico,275000,,
High,Mexico,338520,303257.5,-35262.5
Low,Mexico,338520,,
Medium,Mexico,338520,,
None,Mexico,338520,,
High,Mexico,123500,,
Low,Mexico,123500,293436,46436
Medium,Mexico,123500,,
None,Mexico,123500,,
High,Mexico,239500,,
Low,Mexico,239500,,
Medium,Mexico,239500,,
None,Mexico,239500,287400,47900
High,Mexico,136500,278460,5460
Low,Mexico,136500,,
Medium,Mexico,136500,,
None,Mexico,136500,,
High,Mexico,136560,,
Low,Mexico,136560,273120,0
Medium,Mexico,136560,,
None,Mexico,136560,,
High,Mexico,253200,,
Low,Mexico,253200,,
Medium,Mexico,253200,240012.5,-13187.5
None,Mexico,253200,,
High,Mexico,187200,,
Low,Mexico,187200,,
Medium,Mexico,187200,239400,52200
None,Mexico,187200,,
High,Mexico,197000,,
Low,Mexico,197000,,
Medium,Mexico,197000,,
None,Mexico,197000,236400,39400
High,Mexico,218760,,
Low,Mexico,218760,225596.25,6836.25
Medium,Mexico,218760,,
None,Mexico,218760,,
High,Mexico,89440,214312,35432
Low,Mexico,89440,,
Medium,Mexico,89440,,
None,Mexico,89440,,
High,Mexico,200250,206658,6408
Low,Mexico,200250,,
Medium,Mexico,200250,,
None,Mexico,200250,,
High,Mexico,199200,,
Low,Mexico,199200,203350,4150
Medium,Mexico,199200,,
None,Mexico,199200,,
High,Mexico,184800,,
Low,Mexico,184800,,
Medium,Mexico,184800,177100,-7700
None,Mexico,184800,,
High,Mexico,189000,169312.5,-19687.5
Low,Mexico,189000,,
Medium,Mexico,189000,,
None,Mexico,189000,,
High,Mexico,79440,,
Low,Mexico,79440,162190,3310
Medium,Mexico,79440,,
None,Mexico,79440,,
High,Mexico,147750,159570,11820
Low,Mexico,147750,,
Medium,Mexico,147750,,
None,Mexico,147750,,
High,Mexico,128880,,
Low,Mexico,128880,128880,0
Medium,Mexico,128880,,
None,Mexico,128880,,
High,Mexico,133680,,
Low,Mexico,133680,,
Medium,Mexico,133680,128110,-5570
None,Mexico,133680,,
High,Mexico,108000,116640,8640
Low,Mexico,108000,,
Medium,Mexico,108000,,
None,Mexico,108000,,
High,Mexico,113640,105353.75,-8286.25
Low,Mexico,113640,,
Medium,Mexico,113640,,
None,Mexico,113640,,
High,Mexico,105240,,
Low,Mexico,105240,,
Medium,Mexico,105240,99758.75,-5481.25
None,Mexico,105240,,
High,Mexico,24700,,
Low,Mexico,24700,,
Medium,Mexico,24700,,
None,Mexico,24700,74100,24700
High,Mexico,66480,61632.5,-4847.5
Low,Mexico,66480,,
Medium,Mexico,66480,,
None,Mexico,66480,,
High,Mexico,17150,60368,26068
Low,Mexico,17150,,
Medium,Mexico,17150,,
None,Mexico,17150,,
High,Mexico,20310,,
Low,Mexico,20310,58492.8,17872.800000000003
Medium,Mexico,20310,,
None,Mexico,20310,,
High,Mexico,21570,57591.9,14451.900000000001
Low,Mexico,21570,,
Medium,Mexico,21570,,
None,Mexico,21570,,
High,Mexico,29930,,
Low,Mexico,29930,,
Medium,Mexico,29930,55071.2,25141.199999999997
None,Mexico,29930,,
High,Mexico,26290,46796.2,20506.199999999997
Low,Mexico,26290,,
Medium,Mexico,26290,,
None,Mexico,26290,,
High,Mexico,25790,44358.8,18568.800000000003
Low,Mexico,25790,,
Medium,Mexico,25790,,
None,Mexico,25790,,
High,Mexico,15140,,
Low,Mexico,15140,43603.2,13323.199999999997
Medium,Mexico,15140,,
None,Mexico,15140,,
High,Mexico,12330,43401.6,18741.6
Low,Mexico,12330,,
Medium,Mexico,12330,,
None,Mexico,12330,,
High,Mexico,28610,,
Low,Mexico,28610,,
Medium,Mexico,28610,40769.25,12159.25
None,Mexico,28610,,
High,Mexico,27910,,
Low,Mexico,27910,,
Medium,Mexico,27910,39771.75,11861.75
None,Mexico,27910,,
High,Mexico,22550,39237,16687
Low,Mexico,22550,,
Medium,Mexico,22550,,
None,Mexico,22550,,
High,Mexico,40920,38362.5,-2557.5
Low,Mexico,40920,,
Medium,Mexico,40920,,
None,Mexico,40920,,
High,Mexico,10380,,
Low,Mexico,10380,,
Medium,Mexico,10380,37783.2,17023.199999999997
None,Mexico,10380,,
High,Mexico,24720,,
Low,Mexico,24720,,
Medium,Mexico,24720,,
None,Mexico,24720,37080,12360
High,Mexico,20390,36702,16312
Low,Mexico,20390,,
Medium,Mexico,20390,,
