Orders.Order Date.Variation.Date Hierarchy.Day,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
26,December,Qtr 4,2016,Furniture,Tables,33.85170000000005
27,December,Qtr 4,2016,Furniture,Tables,
29,December,Qtr 4,2016,Furniture,Tables,
30,December,Qtr 4,2016,Furniture,Tables,
31,December,Qtr 4,2016,Furniture,Tables,
3,January,Qtr 1,2014,Office Supplies,Appliances,
4,January,Qtr 1,2014,Office Supplies,Appliances,
5,January,Qtr 1,2014,Office Supplies,Appliances,
6,January,Qtr 1,2014,Office Supplies,Appliances,
7,January,Qtr 1,2014,Office Supplies,Appliances,
9,January,Qtr 1,2014,Office Supplies,Appliances,
10,January,Qtr 1,2014,Office Supplies,Appliances,
11,January,Qtr 1,2014,Office Supplies,Appliances,
13,January,Qtr 1,2014,Office Supplies,Appliances,
14,January,Qtr 1,2014,Office Supplies,Appliances,
15,January,Qtr 1,2014,Office Supplies,Appliances,
16,January,Qtr 1,2014,Office Supplies,Appliances,
18,January,Qtr 1,2014,Office Supplies,Appliances,6.486400000000003
19,January,Qtr 1,2014,Office Supplies,Appliances,
20,January,Qtr 1,2014,Office Supplies,Appliances,93.58160000000001
21,January,Qtr 1,2014,Office Supplies,Appliances,
23,January,Qtr 1,2014,Office Supplies,Appliances,
26,January,Qtr 1,2014,Office Supplies,Appliances,
27,January,Qtr 1,2014,Office Supplies,Appliances,
28,January,Qtr 1,2014,Office Supplies,Appliances,
30,January,Qtr 1,2014,Office Supplies,Appliances,
31,January,Qtr 1,2014,Office Supplies,Appliances,
1,February,Qtr 1,2014,Office Supplies,Appliances,
2,February,Qtr 1,2014,Office Supplies,Appliances,
3,February,Qtr 1,2014,Office Supplies,Appliances,
4,February,Qtr 1,2014,Office Supplies,Appliances,
6,February,Qtr 1,2014,Office Supplies,Appliances,
7,February,Qtr 1,2014,Office Supplies,Appliances,
8,February,Qtr 1,2014,Office Supplies,Appliances,
11,February,Qtr 1,2014,Office Supplies,Appliances,
12,February,Qtr 1,2014,Office Supplies,Appliances,
14,February,Qtr 1,2014,Office Supplies,Appliances,22.9488
15,February,Qtr 1,2014,Office Supplies,Appliances,
16,February,Qtr 1,2014,Office Supplies,Appliances,-13.930000000000003
17,February,Qtr 1,2014,Office Supplies,Appliances,
18,February,Qtr 1,2014,Office Supplies,Appliances,
20,February,Qtr 1,2014,Office Supplies,Appliances,
21,February,Qtr 1,2014,Office Supplies,Appliances,
22,February,Qtr 1,2014,Office Supplies,Appliances,
23,February,Qtr 1,2014,Office Supplies,Appliances,
24,February,Qtr 1,2014,Office Supplies,Appliances,
27,February,Qtr 1,2014,Office Supplies,Appliances,
1,March,Qtr 1,2014,Office Supplies,Appliances,
2,March,Qtr 1,2014,Office Supplies,Appliances,
3,March,Qtr 1,2014,Office Supplies,Appliances,-459.60720000000003
4,March,Qtr 1,2014,Office Supplies,Appliances,
5,March,Qtr 1,2014,Office Supplies,Appliances,
7,March,Qtr 1,2014,Office Supplies,Appliances,
10,March,Qtr 1,2014,Office Supplies,Appliances,
11,March,Qtr 1,2014,Office Supplies,Appliances,38.1576
14,March,Qtr 1,2014,Office Supplies,Appliances,
15,March,Qtr 1,2014,Office Supplies,Appliances,
16,March,Qtr 1,2014,Office Supplies,Appliances,
17,March,Qtr 1,2014,Office Supplies,Appliances,45.068400000000004
18,March,Qtr 1,2014,Office Supplies,Appliances,
19,March,Qtr 1,2014,Office Supplies,Appliances,
21,March,Qtr 1,2014,Office Supplies,Appliances,
22,March,Qtr 1,2014,Office Supplies,Appliances,
23,March,Qtr 1,2014,Office Supplies,Appliances,
24,March,Qtr 1,2014,Office Supplies,Appliances,
25,March,Qtr 1,2014,Office Supplies,Appliances,
26,March,Qtr 1,2014,Office Supplies,Appliances,
28,March,Qtr 1,2014,Office Supplies,Appliances,
29,March,Qtr 1,2014,Office Supplies,Appliances,
30,March,Qtr 1,2014,Office Supplies,Appliances,
31,March,Qtr 1,2014,Office Supplies,Appliances,14.834400000000002
1,April,Qtr 2,2014,Office Supplies,Appliances,
2,April,Qtr 2,2014,Office Supplies,Appliances,40.274
3,April,Qtr 2,2014,Office Supplies,Appliances,
4,April,Qtr 2,2014,Office Supplies,Appliances,
5,April,Qtr 2,2014,Office Supplies,Appliances,
6,April,Qtr 2,2014,Office Supplies,Appliances,
7,April,Qtr 2,2014,Office Supplies,Appliances,
8,April,Qtr 2,2014,Office Supplies,Appliances,
11,April,Qtr 2,2014,Office Supplies,Appliances,
12,April,Qtr 2,2014,Office Supplies,Appliances,
13,April,Qtr 2,2014,Office Supplies,Appliances,
15,April,Qtr 2,2014,Office Supplies,Appliances,31.018399999999986
16,April,Qtr 2,2014,Office Supplies,Appliances,
18,April,Qtr 2,2014,Office Supplies,Appliances,
19,April,Qtr 2,2014,Office Supplies,Appliances,
20,April,Qtr 2,2014,Office Supplies,Appliances,
21,April,Qtr 2,2014,Office Supplies,Appliances,
22,April,Qtr 2,2014,Office Supplies,Appliances,
23,April,Qtr 2,2014,Office Supplies,Appliances,
25,April,Qtr 2,2014,Office Supplies,Appliances,78.50879999999997
26,April,Qtr 2,2014,Office Supplies,Appliances,
28,April,Qtr 2,2014,Office Supplies,Appliances,
29,April,Qtr 2,2014,Office Supplies,Appliances,
30,April,Qtr 2,2014,Office Supplies,Appliances,
2,May,Qtr 2,2014,Office Supplies,Appliances,1.9602000000000004
3,May,Qtr 2,2014,Office Supplies,Appliances,
4,May,Qtr 2,2014,Office Supplies,Appliances,19.034399999999998
5,May,Qtr 2,2014,Office Supplies,Appliances,
6,May,Qtr 2,2014,Office Supplies,Appliances,
7,May,Qtr 2,2014,Office Supplies,Appliances,
8,May,Qtr 2,2014,Office Supplies,Appliances,
9,May,Qtr 2,2014,Office Supplies,Appliances,
10,May,Qtr 2,2014,Office Supplies,Appliances,
11,May,Qtr 2,2014,Office Supplies,Appliances,9.695699999999999
12,May,Qtr 2,2014,Office Supplies,Appliances,
13,May,Qtr 2,2014,Office Supplies,Appliances,
14,May,Qtr 2,2014,Office Supplies,Appliances,
16,May,Qtr 2,2014,Office Supplies,Appliances,
17,May,Qtr 2,2014,Office Supplies,Appliances,
18,May,Qtr 2,2014,Office Supplies,Appliances,
19,May,Qtr 2,2014,Office Supplies,Appliances,
20,May,Qtr 2,2014,Office Supplies,Appliances,9.3184
21,May,Qtr 2,2014,Office Supplies,Appliances,68.84639999999999
22,May,Qtr 2,2014,Office Supplies,Appliances,
23,May,Qtr 2,2014,Office Supplies,Appliances,56.20320000000001
24,May,Qtr 2,2014,Office Supplies,Appliances,
25,May,Qtr 2,2014,Office Supplies,Appliances,-166.32000000000005
26,May,Qtr 2,2014,Office Supplies,Appliances,
27,May,Qtr 2,2014,Office Supplies,Appliances,
28,May,Qtr 2,2014,Office Supplies,Appliances,
30,May,Qtr 2,2014,Office Supplies,Appliances,77.86349999999999
31,May,Qtr 2,2014,Office Supplies,Appliances,
1,June,Qtr 2,2014,Office Supplies,Appliances,508.4484999999999
2,June,Qtr 2,2014,Office Supplies,Appliances,
3,June,Qtr 2,2014,Office Supplies,Appliances,
4,June,Qtr 2,2014,Office Supplies,Appliances,4.0456
6,June,Qtr 2,2014,Office Supplies,Appliances,
7,June,Qtr 2,2014,Office Supplies,Appliances,
8,June,Qtr 2,2014,Office Supplies,Appliances,
9,June,Qtr 2,2014,Office Supplies,Appliances,34.46999999999999
10,June,Qtr 2,2014,Office Supplies,Appliances,
13,June,Qtr 2,2014,Office Supplies,Appliances,
14,June,Qtr 2,2014,Office Supplies,Appliances,
15,June,Qtr 2,2014,Office Supplies,Appliances,
16,June,Qtr 2,2014,Office Supplies,Appliances,
17,June,Qtr 2,2014,Office Supplies,Appliances,
18,June,Qtr 2,2014,Office Supplies,Appliances,
20,June,Qtr 2,2014,Office Supplies,Appliances,155.72699999999998
21,June,Qtr 2,2014,Office Supplies,Appliances,30.751399999999997
22,June,Qtr 2,2014,Office Supplies,Appliances,
23,June,Qtr 2,2014,Office Supplies,Appliances,
24,June,Qtr 2,2014,Office Supplies,Appliances,
25,June,Qtr 2,2014,Office Supplies,Appliances,
27,June,Qtr 2,2014,Office Supplies,Appliances,
28,June,Qtr 2,2014,Office Supplies,Appliances,
29,June,Qtr 2,2014,Office Supplies,Appliances,
30,June,Qtr 2,2014,Office Supplies,Appliances,
1,July,Qtr 3,2014,Office Supplies,Appliances,
2,July,Qtr 3,2014,Office Supplies,Appliances,
4,July,Qtr 3,2014,Office Supplies,Appliances,3.2432000000000016
5,July,Qtr 3,2014,Office Supplies,Appliances,
6,July,Qtr 3,2014,Office Supplies,Appliances,
7,July,Qtr 3,2014,Office Supplies,Appliances,
8,July,Qtr 3,2014,Office Supplies,Appliances,
9,July,Qtr 3,2014,Office Supplies,Appliances,
11,July,Qtr 3,2014,Office Supplies,Appliances,
12,July,Qtr 3,2014,Office Supplies,Appliances,
13,July,Qtr 3,2014,Office Supplies,Appliances,
14,July,Qtr 3,2014,Office Supplies,Appliances,11.054400000000001
15,July,Qtr 3,2014,Office Supplies,Appliances,
18,July,Qtr 3,2014,Office Supplies,Appliances,
19,July,Qtr 3,2014,Office Supplies,Appliances,
20,July,Qtr 3,2014,Office Supplies,Appliances,
21,July,Qtr 3,2014,Office Supplies,Appliances,-12.979200000000002
22,July,Qtr 3,2014,Office Supplies,Appliances,
23,July,Qtr 3,2014,Office Supplies,Appliances,
25,July,Qtr 3,2014,Office Supplies,Appliances,
26,July,Qtr 3,2014,Office Supplies,Appliances,-12.090000000000003
27,July,Qtr 3,2014,Office Supplies,Appliances,
28,July,Qtr 3,2014,Office Supplies,Appliances,
30,July,Qtr 3,2014,Office Supplies,Appliances,
1,August,Qtr 3,2014,Office Supplies,Appliances,10.224499999999994
2,August,Qtr 3,2014,Office Supplies,Appliances,
3,August,Qtr 3,2014,Office Supplies,Appliances,0.29249999999999987
4,August,Qtr 3,2014,Office Supplies,Appliances,332.6592000000001
5,August,Qtr 3,2014,Office Supplies,Appliances,22.251600000000003
6,August,Qtr 3,2014,Office Supplies,Appliances,
8,August,Qtr 3,2014,Office Supplies,Appliances,59.30479999999998
9,August,Qtr 3,2014,Office Supplies,Appliances,
11,August,Qtr 3,2014,Office Supplies,Appliances,
12,August,Qtr 3,2014,Office Supplies,Appliances,15.843599999999995
15,August,Qtr 3,2014,Office Supplies,Appliances,59.941799999999986
16,August,Qtr 3,2014,Office Supplies,Appliances,
17,August,Qtr 3,2014,Office Supplies,Appliances,
19,August,Qtr 3,2014,Office Supplies,Appliances,
20,August,Qtr 3,2014,Office Supplies,Appliances,
22,August,Qtr 3,2014,Office Supplies,Appliances,
23,August,Qtr 3,2014,Office Supplies,Appliances,
24,August,Qtr 3,2014,Office Supplies,Appliances,
25,August,Qtr 3,2014,Office Supplies,Appliances,
26,August,Qtr 3,2014,Office Supplies,Appliances,
27,August,Qtr 3,2014,Office Supplies,Appliances,
29,August,Qtr 3,2014,Office Supplies,Appliances,
30,August,Qtr 3,2014,Office Supplies,Appliances,
31,August,Qtr 3,2014,Office Supplies,Appliances,
1,September,Qtr 3,2014,Office Supplies,Appliances,
2,September,Qtr 3,2014,Office Supplies,Appliances,8.954999999999998
3,September,Qtr 3,2014,Office Supplies,Appliances,
5,September,Qtr 3,2014,Office Supplies,Appliances,
6,September,Qtr 3,2014,Office Supplies,Appliances,
7,September,Qtr 3,2014,Office Supplies,Appliances,
8,September,Qtr 3,2014,Office Supplies,Appliances,-425.2945
9,September,Qtr 3,2014,Office Supplies,Appliances,
10,September,Qtr 3,2014,Office Supplies,Appliances,22.1184
11,September,Qtr 3,2014,Office Supplies,Appliances,
12,September,Qtr 3,2014,Office Supplies,Appliances,18.769499999999987
13,September,Qtr 3,2014,Office Supplies,Appliances,9.743800000000002
14,September,Qtr 3,2014,Office Supplies,Appliances,68.60899999999995
15,September,Qtr 3,2014,Office Supplies,Appliances,
16,September,Qtr 3,2014,Office Supplies,Appliances,
17,September,Qtr 3,2014,Office Supplies,Appliances,
19,September,Qtr 3,2014,Office Supplies,Appliances,
20,September,Qtr 3,2014,Office Supplies,Appliances,19.913200000000003
21,September,Qtr 3,2014,Office Supplies,Appliances,18.409399999999994
22,September,Qtr 3,2014,Office Supplies,Appliances,
23,September,Qtr 3,2014,Office Supplies,Appliances,
24,September,Qtr 3,2014,Office Supplies,Appliances,
25,September,Qtr 3,2014,Office Supplies,Appliances,
26,September,Qtr 3,2014,Office Supplies,Appliances,18.75120000000001
27,September,Qtr 3,2014,Office Supplies,Appliances,
28,September,Qtr 3,2014,Office Supplies,Appliances,
29,September,Qtr 3,2014,Office Supplies,Appliances,
30,September,Qtr 3,2014,Office Supplies,Appliances,70.90319999999998
1,October,Qtr 4,2014,Office Supplies,Appliances,
2,October,Qtr 4,2014,Office Supplies,Appliances,
3,October,Qtr 4,2014,Office Supplies,Appliances,
4,October,Qtr 4,2014,Office Supplies,Appliances,
5,October,Qtr 4,2014,Office Supplies,Appliances,11.489999999999991
6,October,Qtr 4,2014,Office Supplies,Appliances,
7,October,Qtr 4,2014,Office Supplies,Appliances,
8,October,Qtr 4,2014,Office Supplies,Appliances,
9,October,Qtr 4,2014,Office Supplies,Appliances,
10,October,Qtr 4,2014,Office Supplies,Appliances,
11,October,Qtr 4,2014,Office Supplies,Appliances,
12,October,Qtr 4,2014,Office Supplies,Appliances,
13,October,Qtr 4,2014,Office Supplies,Appliances,62.03679999999997
14,October,Qtr 4,2014,Office Supplies,Appliances,-8.532
15,October,Qtr 4,2014,Office Supplies,Appliances,
16,October,Qtr 4,2014,Office Supplies,Appliances,
17,October,Qtr 4,2014,Office Supplies,Appliances,
18,October,Qtr 4,2014,Office Supplies,Appliances,
19,October,Qtr 4,2014,Office Supplies,Appliances,
20,October,Qtr 4,2014,Office Supplies,Appliances,
21,October,Qtr 4,2014,Office Supplies,Appliances,13.701599999999988
22,October,Qtr 4,2014,Office Supplies,Appliances,
24,October,Qtr 4,2014,Office Supplies,Appliances,
25,October,Qtr 4,2014,Office Supplies,Appliances,
26,October,Qtr 4,2014,Office Supplies,Appliances,
27,October,Qtr 4,2014,Office Supplies,Appliances,
28,October,Qtr 4,2014,Office Supplies,Appliances,
29,October,Qtr 4,2014,Office Supplies,Appliances,
31,October,Qtr 4,2014,Office Supplies,Appliances,
1,November,Qtr 4,2014,Office Supplies,Appliances,176.91739999999993
2,November,Qtr 4,2014,Office Supplies,Appliances,
3,November,Qtr 4,2014,Office Supplies,Appliances,
4,November,Qtr 4,2014,Office Supplies,Appliances,5.096
5,November,Qtr 4,2014,Office Supplies,Appliances,
6,November,Qtr 4,2014,Office Supplies,Appliances,
7,November,Qtr 4,2014,Office Supplies,Appliances,68.84639999999999
8,November,Qtr 4,2014,Office Supplies,Appliances,
9,November,Qtr 4,2014,Office Supplies,Appliances,
10,November,Qtr 4,2014,Office Supplies,Appliances,
11,November,Qtr 4,2014,Office Supplies,Appliances,8.916799999999999
12,November,Qtr 4,2014,Office Supplies,Appliances,
14,November,Qtr 4,2014,Office Supplies,Appliances,
15,November,Qtr 4,2014,Office Supplies,Appliances,29.14240000000001
16,November,Qtr 4,2014,Office Supplies,Appliances,
17,November,Qtr 4,2014,Office Supplies,Appliances,72.43199999999999
18,November,Qtr 4,2014,Office Supplies,Appliances,
19,November,Qtr 4,2014,Office Supplies,Appliances,
20,November,Qtr 4,2014,Office Supplies,Appliances,
21,November,Qtr 4,2014,Office Supplies,Appliances,
22,November,Qtr 4,2014,Office Supplies,Appliances,290.3016
23,November,Qtr 4,2014,Office Supplies,Appliances,-87.14880000000002
24,November,Qtr 4,2014,Office Supplies,Appliances,
25,November,Qtr 4,2014,Office Supplies,Appliances,93.05519999999996
26,November,Qtr 4,2014,Office Supplies,Appliances,11.351200000000002
27,November,Qtr 4,2014,Office Supplies,Appliances,
28,November,Qtr 4,2014,Office Supplies,Appliances,11.793600000000001
29,November,Qtr 4,2014,Office Supplies,Appliances,
30,November,Qtr 4,2014,Office Supplies,Appliances,
1,December,Qtr 4,2014,Office Supplies,Appliances,
2,December,Qtr 4,2014,Office Supplies,Appliances,-6.344100000000001
3,December,Qtr 4,2014,Office Supplies,Appliances,
4,December,Qtr 4,2014,Office Supplies,Appliances,
5,December,Qtr 4,2014,Office Supplies,Appliances,72.57539999999997
6,December,Qtr 4,2014,Office Supplies,Appliances,-31.536
7,December,Qtr 4,2014,Office Supplies,Appliances,
8,December,Qtr 4,2014,Office Supplies,Appliances,
9,December,Qtr 4,2014,Office Supplies,Appliances,-53.00880000000001
10,December,Qtr 4,2014,Office Supplies,Appliances,
12,December,Qtr 4,2014,Office Supplies,Appliances,
13,December,Qtr 4,2014,Office Supplies,Appliances,
14,December,Qtr 4,2014,Office Supplies,Appliances,
15,December,Qtr 4,2014,Office Supplies,Appliances,
16,December,Qtr 4,2014,Office Supplies,Appliances,
17,December,Qtr 4,2014,Office Supplies,Appliances,
19,December,Qtr 4,2014,Office Supplies,Appliances,
20,December,Qtr 4,2014,Office Supplies,Appliances,-45.744300000000024
21,December,Qtr 4,2014,Office Supplies,Appliances,
22,December,Qtr 4,2014,Office Supplies,Appliances,
23,December,Qtr 4,2014,Office Supplies,Appliances,73.8528
24,December,Qtr 4,2014,Office Supplies,Appliances,104.98099999999998
26,December,Qtr 4,2014,Office Supplies,Appliances,13.786799999999994
27,December,Qtr 4,2014,Office Supplies,Appliances,2.964600000000001
28,December,Qtr 4,2014,Office Supplies,Appliances,503.78219999999976
29,December,Qtr 4,2014,Office Supplies,Appliances,6.044999999999995
30,December,Qtr 4,2014,Office Supplies,Appliances,30.734999999999992
31,December,Qtr 4,2014,Office Supplies,Appliances,
2,January,Qtr 1,2015,Office Supplies,Appliances,
3,January,Qtr 1,2015,Office Supplies,Appliances,
4,January,Qtr 1,2015,Office Supplies,Appliances,
5,January,Qtr 1,2015,Office Supplies,Appliances,23.587200000000003
6,January,Qtr 1,2015,Office Supplies,Appliances,
9,January,Qtr 1,2015,Office Supplies,Appliances,45.76320000000001
10,January,Qtr 1,2015,Office Supplies,Appliances,
12,January,Qtr 1,2015,Office Supplies,Appliances,
13,January,Qtr 1,2015,Office Supplies,Appliances,
17,January,Qtr 1,2015,Office Supplies,Appliances,
19,January,Qtr 1,2015,Office Supplies,Appliances,
23,January,Qtr 1,2015,Office Supplies,Appliances,
24,January,Qtr 1,2015,Office Supplies,Appliances,
26,January,Qtr 1,2015,Office Supplies,Appliances,
27,January,Qtr 1,2015,Office Supplies,Appliances,
28,January,Qtr 1,2015,Office Supplies,Appliances,
30,January,Qtr 1,2015,Office Supplies,Appliances,
31,January,Qtr 1,2015,Office Supplies,Appliances,
3,February,Qtr 1,2015,Office Supplies,Appliances,
6,February,Qtr 1,2015,Office Supplies,Appliances,
7,February,Qtr 1,2015,Office Supplies,Appliances,
8,February,Qtr 1,2015,Office Supplies,Appliances,
9,February,Qtr 1,2015,Office Supplies,Appliances,
10,February,Qtr 1,2015,Office Supplies,Appliances,
14,February,Qtr 1,2015,Office Supplies,Appliances,
15,February,Qtr 1,2015,Office Supplies,Appliances,157.01759999999993
16,February,Qtr 1,2015,Office Supplies,Appliances,
18,February,Qtr 1,2015,Office Supplies,Appliances,
20,February,Qtr 1,2015,Office Supplies,Appliances,
21,February,Qtr 1,2015,Office Supplies,Appliances,
22,February,Qtr 1,2015,Office Supplies,Appliances,
23,February,Qtr 1,2015,Office Supplies,Appliances,6.720000000000001
25,February,Qtr 1,2015,Office Supplies,Appliances,
27,February,Qtr 1,2015,Office Supplies,Appliances,
28,February,Qtr 1,2015,Office Supplies,Appliances,
1,March,Qtr 1,2015,Office Supplies,Appliances,0.44399999999999973
2,March,Qtr 1,2015,Office Supplies,Appliances,
5,March,Qtr 1,2015,Office Supplies,Appliances,-454.1617
6,March,Qtr 1,2015,Office Supplies,Appliances,
7,March,Qtr 1,2015,Office Supplies,Appliances,
8,March,Qtr 1,2015,Office Supplies,Appliances,
9,March,Qtr 1,2015,Office Supplies,Appliances,
10,March,Qtr 1,2015,Office Supplies,Appliances,
12,March,Qtr 1,2015,Office Supplies,Appliances,
13,March,Qtr 1,2015,Office Supplies,Appliances,
14,March,Qtr 1,2015,Office Supplies,Appliances,
15,March,Qtr 1,2015,Office Supplies,Appliances,
16,March,Qtr 1,2015,Office Supplies,Appliances,
17,March,Qtr 1,2015,Office Supplies,Appliances,
19,March,Qtr 1,2015,Office Supplies,Appliances,
20,March,Qtr 1,2015,Office Supplies,Appliances,
21,March,Qtr 1,2015,Office Supplies,Appliances,156.33799999999997
22,March,Qtr 1,2015,Office Supplies,Appliances,
23,March,Qtr 1,2015,Office Supplies,Appliances,
24,March,Qtr 1,2015,Office Supplies,Appliances,0.5244
26,March,Qtr 1,2015,Office Supplies,Appliances,3.4086000000000003
27,March,Qtr 1,2015,Office Supplies,Appliances,
28,March,Qtr 1,2015,Office Supplies,Appliances,
29,March,Qtr 1,2015,Office Supplies,Appliances,21.251199999999997
30,March,Qtr 1,2015,Office Supplies,Appliances,
31,March,Qtr 1,2015,Office Supplies,Appliances,
2,April,Qtr 2,2015,Office Supplies,Appliances,-80.48
4,April,Qtr 2,2015,Office Supplies,Appliances,107.34599999999996
5,April,Qtr 2,2015,Office Supplies,Appliances,18.396
6,April,Qtr 2,2015,Office Supplies,Appliances,
7,April,Qtr 2,2015,Office Supplies,Appliances,-1181.2824000000003
9,April,Qtr 2,2015,Office Supplies,Appliances,144.3546
10,April,Qtr 2,2015,Office Supplies,Appliances,
11,April,Qtr 2,2015,Office Supplies,Appliances,113.84799999999998
12,April,Qtr 2,2015,Office Supplies,Appliances,
13,April,Qtr 2,2015,Office Supplies,Appliances,29.577600000000004
14,April,Qtr 2,2015,Office Supplies,Appliances,2.640599999999999
16,April,Qtr 2,2015,Office Supplies,Appliances,4.521599999999999
17,April,Qtr 2,2015,Office Supplies,Appliances,419.8184999999998
18,April,Qtr 2,2015,Office Supplies,Appliances,
19,April,Qtr 2,2015,Office Supplies,Appliances,-52.833600000000004
20,April,Qtr 2,2015,Office Supplies,Appliances,
21,April,Qtr 2,2015,Office Supplies,Appliances,
22,April,Qtr 2,2015,Office Supplies,Appliances,
24,April,Qtr 2,2015,Office Supplies,Appliances,
25,April,Qtr 2,2015,Office Supplies,Appliances,167.10120000000003
26,April,Qtr 2,2015,Office Supplies,Appliances,
27,April,Qtr 2,2015,Office Supplies,Appliances,3.2669999999999995
28,April,Qtr 2,2015,Office Supplies,Appliances,21.16379999999996
29,April,Qtr 2,2015,Office Supplies,Appliances,
30,April,Qtr 2,2015,Office Supplies,Appliances,
1,May,Qtr 2,2015,Office Supplies,Appliances,
2,May,Qtr 2,2015,Office Supplies,Appliances,
3,May,Qtr 2,2015,Office Supplies,Appliances,8.5639
4,May,Qtr 2,2015,Office Supplies,Appliances,
7,May,Qtr 2,2015,Office Supplies,Appliances,
8,May,Qtr 2,2015,Office Supplies,Appliances,
9,May,Qtr 2,2015,Office Supplies,Appliances,
10,May,Qtr 2,2015,Office Supplies,Appliances,-191.619
11,May,Qtr 2,2015,Office Supplies,Appliances,
12,May,Qtr 2,2015,Office Supplies,Appliances,
13,May,Qtr 2,2015,Office Supplies,Appliances,
14,May,Qtr 2,2015,Office Supplies,Appliances,
15,May,Qtr 2,2015,Office Supplies,Appliances,
16,May,Qtr 2,2015,Office Supplies,Appliances,
17,May,Qtr 2,2015,Office Supplies,Appliances,
18,May,Qtr 2,2015,Office Supplies,Appliances,
20,May,Qtr 2,2015,Office Supplies,Appliances,
21,May,Qtr 2,2015,Office Supplies,Appliances,-52.95840000000001
22,May,Qtr 2,2015,Office Supplies,Appliances,
23,May,Qtr 2,2015,Office Supplies,Appliances,259.4015999999999
24,May,Qtr 2,2015,Office Supplies,Appliances,
25,May,Qtr 2,2015,Office Supplies,Appliances,84.57279999999994
26,May,Qtr 2,2015,Office Supplies,Appliances,
28,May,Qtr 2,2015,Office Supplies,Appliances,
29,May,Qtr 2,2015,Office Supplies,Appliances,
30,May,Qtr 2,2015,Office Supplies,Appliances,44.8896
31,May,Qtr 2,2015,Office Supplies,Appliances,
1,June,Qtr 2,2015,Office Supplies,Appliances,
4,June,Qtr 2,2015,Office Supplies,Appliances,
5,June,Qtr 2,2015,Office Supplies,Appliances,
7,June,Qtr 2,2015,Office Supplies,Appliances,
8,June,Qtr 2,2015,Office Supplies,Appliances,-393.6020000000001
9,June,Qtr 2,2015,Office Supplies,Appliances,
11,June,Qtr 2,2015,Office Supplies,Appliances,
12,June,Qtr 2,2015,Office Supplies,Appliances,
13,June,Qtr 2,2015,Office Supplies,Appliances,
14,June,Qtr 2,2015,Office Supplies,Appliances,
15,June,Qtr 2,2015,Office Supplies,Appliances,
16,June,Qtr 2,2015,Office Supplies,Appliances,
18,June,Qtr 2,2015,Office Supplies,Appliances,
19,June,Qtr 2,2015,Office Supplies,Appliances,
20,June,Qtr 2,2015,Office Supplies,Appliances,
21,June,Qtr 2,2015,Office Supplies,Appliances,
22,June,Qtr 2,2015,Office Supplies,Appliances,
23,June,Qtr 2,2015,Office Supplies,Appliances,
25,June,Qtr 2,2015,Office Supplies,Appliances,
26,June,Qtr 2,2015,Office Supplies,Appliances,
28,June,Qtr 2,2015,Office Supplies,Appliances,
29,June,Qtr 2,2015,Office Supplies,Appliances,
2,July,Qtr 3,2015,Office Supplies,Appliances,-85.2384
3,July,Qtr 3,2015,Office Supplies,Appliances,
4,July,Qtr 3,2015,Office Supplies,Appliances,
5,July,Qtr 3,2015,Office Supplies,Appliances,
6,July,Qtr 3,2015,Office Supplies,Appliances,
8,July,Qtr 3,2015,Office Supplies,Appliances,
9,July,Qtr 3,2015,Office Supplies,Appliances,-121.58000000000004
10,July,Qtr 3,2015,Office Supplies,Appliances,
11,July,Qtr 3,2015,Office Supplies,Appliances,
12,July,Qtr 3,2015,Office Supplies,Appliances,
13,July,Qtr 3,2015,Office Supplies,Appliances,
14,July,Qtr 3,2015,Office Supplies,Appliances,
16,July,Qtr 3,2015,Office Supplies,Appliances,
17,July,Qtr 3,2015,Office Supplies,Appliances,
18,July,Qtr 3,2015,Office Supplies,Appliances,
19,July,Qtr 3,2015,Office Supplies,Appliances,
20,July,Qtr 3,2015,Office Supplies,Appliances,
23,July,Qtr 3,2015,Office Supplies,Appliances,20.681999999999995
24,July,Qtr 3,2015,Office Supplies,Appliances,
25,July,Qtr 3,2015,Office Supplies,Appliances,
26,July,Qtr 3,2015,Office Supplies,Appliances,
27,July,Qtr 3,2015,Office Supplies,Appliances,
30,July,Qtr 3,2015,Office Supplies,Appliances,
31,July,Qtr 3,2015,Office Supplies,Appliances,
1,August,Qtr 3,2015,Office Supplies,Appliances,
2,August,Qtr 3,2015,Office Supplies,Appliances,
5,August,Qtr 3,2015,Office Supplies,Appliances,
6,August,Qtr 3,2015,Office Supplies,Appliances,
7,August,Qtr 3,2015,Office Supplies,Appliances,20.1708
8,August,Qtr 3,2015,Office Supplies,Appliances,33.036799999999985
9,August,Qtr 3,2015,Office Supplies,Appliances,
10,August,Qtr 3,2015,Office Supplies,Appliances,15.015599999999985
11,August,Qtr 3,2015,Office Supplies,Appliances,
13,August,Qtr 3,2015,Office Supplies,Appliances,
15,August,Qtr 3,2015,Office Supplies,Appliances,
16,August,Qtr 3,2015,Office Supplies,Appliances,
17,August,Qtr 3,2015,Office Supplies,Appliances,
21,August,Qtr 3,2015,Office Supplies,Appliances,
22,August,Qtr 3,2015,Office Supplies,Appliances,
23,August,Qtr 3,2015,Office Supplies,Appliances,145.19199999999998
24,August,Qtr 3,2015,Office Supplies,Appliances,
