Measures as Rows,Case Calendar.Date,CountNonNull(Cases.Agent),
Count of Agent,Sun May 02 2021 00:00:00 GMT+0530 (India Standard Time),11,11
Count of Is Escalated,Sun May 02 2021 00:00:00 GMT+0530 (India Standard Time),11,11
Count of Agent,Mon May 03 2021 00:00:00 GMT+0530 (India Standard Time),79,79
Count of Is Escalated,Mon May 03 2021 00:00:00 GMT+0530 (India Standard Time),79,79
Count of Agent,Tue May 04 2021 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Is Escalated,Tue May 04 2021 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Agent,Wed May 05 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Wed May 05 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Thu May 06 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Thu May 06 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Fri May 07 2021 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Is Escalated,Fri May 07 2021 00:00:00 GMT+0530 (India Standard Time),74,74
Count of Agent,Sat May 08 2021 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sat May 08 2021 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Sun May 09 2021 00:00:00 GMT+0530 (India Standard Time),8,8
Count of Is Escalated,Sun May 09 2021 00:00:00 GMT+0530 (India Standard Time),8,8
Count of Agent,Mon May 10 2021 00:00:00 GMT+0530 (India Standard Time),78,78
Count of Is Escalated,Mon May 10 2021 00:00:00 GMT+0530 (India Standard Time),78,78
Count of Agent,Tue May 11 2021 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Is Escalated,Tue May 11 2021 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Agent,Wed May 12 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Wed May 12 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Thu May 13 2021 00:00:00 GMT+0530 (India Standard Time),78,78
Count of Is Escalated,Thu May 13 2021 00:00:00 GMT+0530 (India Standard Time),78,78
Count of Agent,Fri May 14 2021 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Is Escalated,Fri May 14 2021 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Agent,Sat May 15 2021 00:00:00 GMT+0530 (India Standard Time),8,8
Count of Is Escalated,Sat May 15 2021 00:00:00 GMT+0530 (India Standard Time),8,8
Count of Agent,Sun May 16 2021 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sun May 16 2021 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Mon May 17 2021 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Is Escalated,Mon May 17 2021 00:00:00 GMT+0530 (India Standard Time),75,75
Count of Agent,Tue May 18 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Tue May 18 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Wed May 19 2021 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Is Escalated,Wed May 19 2021 00:00:00 GMT+0530 (India Standard Time),76,76
Count of Agent,Thu May 20 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Thu May 20 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Fri May 21 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Is Escalated,Fri May 21 2021 00:00:00 GMT+0530 (India Standard Time),77,77
Count of Agent,Sat May 22 2021 00:00:00 GMT+0530 (India Standard Time),10,10
Count of Is Escalated,Sat May 22 2021 00:00:00 GMT+0530 (India Standard Time),10,10
Count of Agent,Sun May 23 2021 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Is Escalated,Sun May 23 2021 00:00:00 GMT+0530 (India Standard Time),9,9
Count of Agent,Mon May 24 2021 00:00:00 GMT+0530 (India Standard Time),78,78
Count of Is Escalated,Mon May 24 2021 00:00:00 GMT+0530 (India Standard Time),78,78
Count of Agent,Tue May 25 2021 00:00:00 GMT+0530 (India Standard Time),31,31
Count of Is Escalated,Tue May 25 2021 00:00:00 GMT+0530 (India Standard Time),31,31
