Cat1,Cat2,Month,Sum of Series1
Level1.0010,Level2.0000,November,58672.3401073
Level1.0010,Level2.0000,December,57847.3847378
Level1.0010,Level2.0001,January,58499.9653619
Level1.0010,Level2.0001,February,81627.5203132
Level1.0010,Level2.0001,March,99503.4149044
Level1.0010,Level2.0001,April,4250.2229217
Level1.0010,Level2.0001,May,53395.4810408
Level1.0010,Level2.0001,June,45525.0537795
Level1.0010,Level2.0001,July,33921.424795
Level1.0010,Level2.0001,August,62865.5064282
Level1.0010,Level2.0001,September,82633.7787247
Level1.0010,Level2.0001,October,96484.8354125
Level1.0010,Level2.0001,November,57006.0208534
Level1.0010,Level2.0001,December,49078.6461251
Level1.0010,Level2.0002,January,6943.4413525
Level1.0010,Level2.0002,February,57412.8538887
Level1.0010,Level2.0002,March,40699.303076
Level1.0010,Level2.0002,April,97819.8813002
Level1.0010,Level2.0002,May,53930.6644531
Level1.0010,Level2.0002,June,38453.3540307
Level1.0010,Level2.0002,July,83272.9135948
Level1.0010,Level2.0002,August,61435.5322935
Level1.0010,Level2.0002,September,60951.4470153
Level1.0010,Level2.0002,October,52480.2851669
Level1.0010,Level2.0002,November,73811.3768592
Level1.0010,Level2.0002,December,89816.5791993
Level1.0010,Level2.0003,January,70077.877558
Level1.0010,Level2.0003,February,27572.5758299
Level1.0010,Level2.0003,March,96220.4940595
Level1.0010,Level2.0003,April,17063.9892415
Level1.0010,Level2.0003,May,59369.6426296
Level1.0010,Level2.0003,June,50970.1955975
Level1.0010,Level2.0003,July,56092.6821488
Level1.0010,Level2.0003,August,26277.4747793
Level1.0010,Level2.0003,September,68419.3745302
Level1.0010,Level2.0003,October,46194.8161938
Level1.0010,Level2.0003,November,90503.3391909
Level1.0010,Level2.0003,December,17061.0211069
Level1.0010,Level2.0004,January,15584.3231327
Level1.0010,Level2.0004,February,37185.3472955
Level1.0010,Level2.0004,March,35423.3179845
Level1.0010,Level2.0004,April,24429.3284121
Level1.0010,Level2.0004,May,56303.8780009
Level1.0010,Level2.0004,June,30893.2008618
Level1.0010,Level2.0004,July,99752.9727988
Level1.0010,Level2.0004,August,76448.1415097
Level1.0010,Level2.0004,September,41910.4255547
Level1.0010,Level2.0004,October,92473.0729228
Level1.0010,Level2.0004,November,99543.1545538
Level1.0010,Level2.0004,December,52709.543143
Level1.0011,Level2.0000,January,92442.9172793
Level1.0011,Level2.0000,February,54695.3764747
Level1.0011,Level2.0000,March,26045.3959939
Level1.0011,Level2.0000,April,44678.7288257
Level1.0011,Level2.0000,May,94634.4305739
Level1.0011,Level2.0000,June,86929.1459094
Level1.0011,Level2.0000,July,70799.6307336
Level1.0011,Level2.0000,August,2649.9094132
Level1.0011,Level2.0000,September,36275.870134
Level1.0011,Level2.0000,October,7673.4555543
Level1.0011,Level2.0000,November,71809.1682838
Level1.0011,Level2.0000,December,21384.6618704
Level1.0011,Level2.0001,January,51735.870664
Level1.0011,Level2.0001,February,60985.5499947
Level1.0011,Level2.0001,March,63228.8198612
Level1.0011,Level2.0001,April,37519.3801532
Level1.0011,Level2.0001,May,16793.8454463
Level1.0011,Level2.0001,June,81876.6130899
Level1.0011,Level2.0001,July,99209.2654123
Level1.0011,Level2.0001,August,35378.1050608
Level1.0011,Level2.0001,September,92029.6710325
Level1.0011,Level2.0001,October,59165.6626415
Level1.0011,Level2.0001,November,20744.0041364
Level1.0011,Level2.0001,December,90390.971349
Level1.0011,Level2.0002,January,57783.777372
Level1.0011,Level2.0002,February,38979.7949786
Level1.0011,Level2.0002,March,49397.8451275
Level1.0011,Level2.0002,April,73758.7823924
Level1.0011,Level2.0002,May,72382.4770477
Level1.0011,Level2.0002,June,24940.3841545
Level1.0011,Level2.0002,July,61743.3059293
Level1.0011,Level2.0002,August,68386.3448546
Level1.0011,Level2.0002,September,69418.5177929
Level1.0011,Level2.0002,October,54297.698738
Level1.0011,Level2.0002,November,83752.1939592
Level1.0011,Level2.0002,December,85458.4056249
Level1.0011,Level2.0003,January,15630.1086822
Level1.0011,Level2.0003,February,95666.0618559
Level1.0011,Level2.0003,March,5599.8462887
Level1.0011,Level2.0003,April,61526.4207159
Level1.0011,Level2.0003,May,87535.4762345
Level1.0011,Level2.0003,June,52327.6259719
Level1.0011,Level2.0003,July,99326.9556651
Level1.0011,Level2.0003,August,91176.5491336
Level1.0011,Level2.0003,September,16359.2740388
Level1.0011,Level2.0003,October,61297.9305871
Level1.0011,Level2.0003,November,98297.7042953
Level1.0011,Level2.0003,December,36211.2830019
Level1.0011,Level2.0004,January,71056.0270785
Level1.0011,Level2.0004,February,49485.2515143
Level1.0011,Level2.0004,March,74916.9179906
Level1.0011,Level2.0004,April,68293.8352894
Level1.0011,Level2.0004,May,67639.3229813
Level1.0011,Level2.0004,June,47547.9470068
Level1.0011,Level2.0004,July,64849.0723122
Level1.0011,Level2.0004,August,39297.6993774
Level1.0011,Level2.0004,September,51932.0003
Level1.0011,Level2.0004,October,86266.9712385
Level1.0011,Level2.0004,November,35583.913592
Level1.0011,Level2.0004,December,99204.1376151
Level1.0012,Level2.0000,January,48839.6261858
Level1.0012,Level2.0000,February,35656.2396649
Level1.0012,Level2.0000,March,17395.9481424
Level1.0012,Level2.0000,April,6212.5625089
Level1.0012,Level2.0000,May,86062.7557878
Level1.0012,Level2.0000,June,10279.0913859
Level1.0012,Level2.0000,July,84924.6922969
Level1.0012,Level2.0000,August,47970.8011734
Level1.0012,Level2.0000,September,74078.4190718
Level1.0012,Level2.0000,October,6043.032936
Level1.0012,Level2.0000,November,70752.8601056
Level1.0012,Level2.0000,December,75552.0702288
Level1.0012,Level2.0001,January,33480.8331576
Level1.0012,Level2.0001,February,12449.5901003
Level1.0012,Level2.0001,March,31740.2380274
Level1.0012,Level2.0001,April,66679.5947797
Level1.0012,Level2.0001,May,29764.7270915
Level1.0012,Level2.0001,June,52707.1486609
Level1.0012,Level2.0001,July,85816.3030693
Level1.0012,Level2.0001,August,86615.9406443
Level1.0012,Level2.0001,September,92788.3923312
Level1.0012,Level2.0001,October,92613.0187201
Level1.0012,Level2.0001,November,24652.4726644
Level1.0012,Level2.0001,December,51489.2456428
Level1.0012,Level2.0002,January,78475.6138901
Level1.0012,Level2.0002,February,31950.2947107
Level1.0012,Level2.0002,March,93677.3463192
Level1.0012,Level2.0002,April,37465.0804193
Level1.0012,Level2.0002,May,23098.3335942
Level1.0012,Level2.0002,June,35382.6593112
Level1.0012,Level2.0002,July,36314.6308335
Level1.0012,Level2.0002,August,24917.6039113
Level1.0012,Level2.0002,September,16071.0592256
Level1.0012,Level2.0002,October,28593.3303249
Level1.0012,Level2.0002,November,80785.0747534
Level1.0012,Level2.0002,December,44939.0320006
Level1.0012,Level2.0003,January,29120.5615834
Level1.0012,Level2.0003,February,56829.2028438
Level1.0012,Level2.0003,March,41161.7904627
Level1.0012,Level2.0003,April,32690.9386771
Level1.0012,Level2.0003,May,40947.3049949
Level1.0012,Level2.0003,June,77677.6434649
Level1.0012,Level2.0003,July,16106.4541459
Level1.0012,Level2.0003,August,75305.3527177
Level1.0012,Level2.0003,September,83028.5432542
Level1.0012,Level2.0003,October,16656.7063295
Level1.0012,Level2.0003,November,45895.9160785
Level1.0012,Level2.0003,December,63437.4744796
Level1.0012,Level2.0004,January,24384.951387
Level1.0012,Level2.0004,February,82107.9454292
Level1.0012,Level2.0004,March,11985.4660915
Level1.0012,Level2.0004,April,983.2122263
Level1.0012,Level2.0004,May,45856.5993398
Level1.0012,Level2.0004,June,31367.1241886
Level1.0012,Level2.0004,July,43679.0223951
Level1.0012,Level2.0004,August,45162.4008026
Level1.0012,Level2.0004,September,14146.1832794
Level1.0012,Level2.0004,October,49243.2584024
Level1.0012,Level2.0004,November,87856.2807923
Level1.0012,Level2.0004,December,54458.7678055
Level1.0013,Level2.0000,January,63534.1246783
Level1.0013,Level2.0000,February,25065.1791917
Level1.0013,Level2.0000,March,28889.7633795
Level1.0013,Level2.0000,April,58382.086627
Level1.0013,Level2.0000,May,86858.0001283
Level1.0013,Level2.0000,June,25193.6536052
Level1.0013,Level2.0000,July,15373.2770249
Level1.0013,Level2.0000,August,56386.5607888
Level1.0013,Level2.0000,September,67335.9703102
Level1.0013,Level2.0000,October,90669.6184586
Level1.0013,Level2.0000,November,52363.0582941
Level1.0013,Level2.0000,December,76179.7904386
Level1.0013,Level2.0001,January,41975.8239241
Level1.0013,Level2.0001,February,10231.8160964
Level1.0013,Level2.0001,March,20714.8300291
Level1.0013,Level2.0001,April,95407.7147737
Level1.0013,Level2.0001,May,99862.13206239999
Level1.0013,Level2.0001,June,54719.2993581
Level1.0013,Level2.0001,July,37575.7929662
Level1.0013,Level2.0001,August,42177.7226137
Level1.0013,Level2.0001,September,61983.5858842
Level1.0013,Level2.0001,October,92227.8815398
Level1.0013,Level2.0001,November,89305.5997215
Level1.0013,Level2.0001,December,41084.1257345
Level1.0013,Level2.0002,January,22447.5527336
Level1.0013,Level2.0002,February,59249.4183873
Level1.0013,Level2.0002,March,68044.8372621
Level1.0013,Level2.0002,April,98179.6075342
Level1.0013,Level2.0002,May,30090.8185633
Level1.0013,Level2.0002,June,39565.1521457
Level1.0013,Level2.0002,July,11002.0125392
Level1.0013,Level2.0002,August,2291.7264035
Level1.0013,Level2.0002,September,76071.1150174
Level1.0013,Level2.0002,October,11178.9223325
Level1.0013,Level2.0002,November,42705.0329232
Level1.0013,Level2.0002,December,67539.338943
Level1.0013,Level2.0003,January,44078.916091
Level1.0013,Level2.0003,February,98056.600696
Level1.0013,Level2.0003,March,8576.8532329
Level1.0013,Level2.0003,April,66575.9748526
Level1.0013,Level2.0003,May,46330.6931293
Level1.0013,Level2.0003,June,32823.1107433
Level1.0013,Level2.0003,July,89295.6254604
Level1.0013,Level2.0003,August,29236.2917139
Level1.0013,Level2.0003,September,69838.2636492
Level1.0013,Level2.0003,October,23344.1956592
Level1.0013,Level2.0003,November,62584.8698309
Level1.0013,Level2.0003,December,92291.0531549
Level1.0013,Level2.0004,January,70727.6756934
Level1.0013,Level2.0004,February,5400.0531336
Level1.0013,Level2.0004,March,94981.3593885
Level1.0013,Level2.0004,April,81279.1119927
Level1.0013,Level2.0004,May,44129.7451304
Level1.0013,Level2.0004,June,68836.8985266
Level1.0013,Level2.0004,July,55439.1617061
Level1.0013,Level2.0004,August,76827.501842
Level1.0013,Level2.0004,September,32061.8938685
Level1.0013,Level2.0004,October,52626.4889381
Level1.0013,Level2.0004,November,94780.7837965
Level1.0013,Level2.0004,December,62531.3329779
Level1.0014,Level2.0000,January,55409.877822
Level1.0014,Level2.0000,February,17548.4813023
Level1.0014,Level2.0000,March,77328.4913361
Level1.0014,Level2.0000,April,13947.6328665
Level1.0014,Level2.0000,May,40076.6123412
Level1.0014,Level2.0000,June,48064.9067002
Level1.0014,Level2.0000,July,3723.237268
Level1.0014,Level2.0000,August,99982.121644
Level1.0014,Level2.0000,September,14443.8212325
Level1.0014,Level2.0000,October,84139.445555
Level1.0014,Level2.0000,November,45113.966129
Level1.0014,Level2.0000,December,31290.3319176
Level1.0014,Level2.0001,January,85467.9722815
Level1.0014,Level2.0001,February,74566.2983145
Level1.0014,Level2.0001,March,39983.2176849
Level1.0014,Level2.0001,April,228.0240349
Level1.0014,Level2.0001,May,4264.4232252
Level1.0014,Level2.0001,June,59542.4406435
Level1.0014,Level2.0001,July,48745.5114324
Level1.0014,Level2.0001,August,47233.4930785
Level1.0014,Level2.0001,September,6254.7218092
Level1.0014,Level2.0001,October,34623.6652759
Level1.0014,Level2.0001,November,69097.148238
Level1.0014,Level2.0001,December,98715.2962694
Level1.0014,Level2.0002,January,43028.5946562
Level1.0014,Level2.0002,February,80868.1171214
Level1.0014,Level2.0002,March,10665.5955877
Level1.0014,Level2.0002,April,93193.7666176
Level1.0014,Level2.0002,May,55709.5584315
Level1.0014,Level2.0002,June,89693.8790171
Level1.0014,Level2.0002,July,69559.4210499
Level1.0014,Level2.0002,August,89275.3928351
Level1.0014,Level2.0002,September,22736.0075029
Level1.0014,Level2.0002,October,91446.9686611
Level1.0014,Level2.0002,November,21793.9437852
Level1.0014,Level2.0002,December,5391.0516349
Level1.0014,Level2.0003,January,70355.8747153
Level1.0014,Level2.0003,February,6753.3905318
Level1.0014,Level2.0003,March,1563.0981825
Level1.0014,Level2.0003,April,8586.3179437
Level1.0014,Level2.0003,May,86860.5176438
Level1.0014,Level2.0003,June,925.4983218
Level1.0014,Level2.0003,July,42654.3304887
Level1.0014,Level2.0003,August,8733.8610466
Level1.0014,Level2.0003,September,39736.7027373
Level1.0014,Level2.0003,October,82389.4246996
Level1.0014,Level2.0003,November,15996.5560038
Level1.0014,Level2.0003,December,49887.426394
Level1.0014,Level2.0004,January,22906.8329933
Level1.0014,Level2.0004,February,49955.6945497
Level1.0014,Level2.0004,March,10713.0557408
Level1.0014,Level2.0004,April,43316.3844516
Level1.0014,Level2.0004,May,56503.3228685
Level1.0014,Level2.0004,June,24268.5710048
Level1.0014,Level2.0004,July,44743.6253784
Level1.0014,Level2.0004,August,58281.6916226
Level1.0014,Level2.0004,September,51180.4587343
Level1.0014,Level2.0004,October,42152.799538
Level1.0014,Level2.0004,November,40290.1375936
Level1.0014,Level2.0004,December,85869.0093767
Level1.0015,Level2.0000,January,42691.1797294
Level1.0015,Level2.0000,February,30959.112855
Level1.0015,Level2.0000,March,30277.9883604
Level1.0015,Level2.0000,April,63352.0476424
Level1.0015,Level2.0000,May,54409.42014
Level1.0015,Level2.0000,June,80747.4969781
Level1.0015,Level2.0000,July,24038.9510242
Level1.0015,Level2.0000,August,80350.3414567
Level1.0015,Level2.0000,September,58202.220853
Level1.0015,Level2.0000,October,19513.4057447
Level1.0015,Level2.0000,November,24158.3549581
Level1.0015,Level2.0000,December,35013.7124503
Level1.0015,Level2.0001,January,80343.5747938
Level1.0015,Level2.0001,February,82506.9135062
Level1.0015,Level2.0001,March,49805.9183524
Level1.0015,Level2.0001,April,13810.8959813
Level1.0015,Level2.0001,May,68743.1255524
Level1.0015,Level2.0001,June,75194.7113556
Level1.0015,Level2.0001,July,84259.553616
Level1.0015,Level2.0001,August,72148.5815533
Level1.0015,Level2.0001,September,27896.4802658
Level1.0015,Level2.0001,October,29390.5307262
Level1.0015,Level2.0001,November,95538.7983911
Level1.0015,Level2.0001,December,18576.1595608
Level1.0015,Level2.0002,January,80028.6637369
Level1.0015,Level2.0002,February,45962.0474922
Level1.0015,Level2.0002,March,53600.3216085
Level1.0015,Level2.0002,April,25392.0464777
Level1.0015,Level2.0002,May,37710.8134173
Level1.0015,Level2.0002,June,65988.8426658
Level1.0015,Level2.0002,July,29616.9249719
Level1.0015,Level2.0002,August,44589.5172884
Level1.0015,Level2.0002,September,46229.9009058
Level1.0015,Level2.0002,October,51284.2477941
Level1.0015,Level2.0002,November,83212.4459613
Level1.0015,Level2.0002,December,95543.7460641
Level1.0015,Level2.0003,January,78408.568612
Level1.0015,Level2.0003,February,32390.6503461
Level1.0015,Level2.0003,March,38123.9563061
Level1.0015,Level2.0003,April,40164.3148374
Level1.0015,Level2.0003,May,43131.0056317
Level1.0015,Level2.0003,June,75464.1934651
Level1.0015,Level2.0003,July,40609.0191549
Level1.0015,Level2.0003,August,78457.6611646
Level1.0015,Level2.0003,September,64979.160033
Level1.0015,Level2.0003,October,89798.3298029
Level1.0015,Level2.0003,November,55315.0053061
Level1.0015,Level2.0003,December,41244.3833079
Level1.0015,Level2.0004,January,39139.877534
Level1.0015,Level2.0004,February,6119.8526661
Level1.0015,Level2.0004,March,22833.1684097
Level1.0015,Level2.0004,April,96613.5587658
Level1.0015,Level2.0004,May,90940.0486747
Level1.0015,Level2.0004,June,3233.1807139
Level1.0015,Level2.0004,July,70834.1419519
Level1.0015,Level2.0004,August,15456.667009
Level1.0015,Level2.0004,September,82868.1163468
Level1.0015,Level2.0004,October,86162.8331881
Level1.0015,Level2.0004,November,55160.4675367
Level1.0015,Level2.0004,December,8767.4334193
Level1.0016,Level2.0000,January,63684.8937076
Level1.0016,Level2.0000,February,74784.4135111
Level1.0016,Level2.0000,March,51874.6841511
Level1.0016,Level2.0000,April,29448.4106202
Level1.0016,Level2.0000,May,58696.6932724
Level1.0016,Level2.0000,June,84112.5681211
Level1.0016,Level2.0000,July,83776.3569494
Level1.0016,Level2.0000,August,2619.5433913
Level1.0016,Level2.0000,September,86690.580919
Level1.0016,Level2.0000,October,64769.8656129
Level1.0016,Level2.0000,November,31418.039698
Level1.0016,Level2.0000,December,3459.3254652
Level1.0016,Level2.0001,January,64525.0699758
Level1.0016,Level2.0001,February,24968.4233241
Level1.0016,Level2.0001,March,30770.1449032
Level1.0016,Level2.0001,April,2929.1590898
Level1.0016,Level2.0001,May,90029.3172453
Level1.0016,Level2.0001,June,1179.5056706
Level1.0016,Level2.0001,July,87032.2008254
Level1.0016,Level2.0001,August,52738.9869557
Level1.0016,Level2.0001,September,81220.11029
Level1.0016,Level2.0001,October,24581.4147977
Level1.0016,Level2.0001,November,73975.7074638
Level1.0016,Level2.0001,December,52984.1935363
Level1.0016,Level2.0002,January,74811.0953302
Level1.0016,Level2.0002,February,62281.3992973
Level1.0016,Level2.0002,March,52251.8490201
Level1.0016,Level2.0002,April,81400.4491766
Level1.0016,Level2.0002,May,16367.5211092
Level1.0016,Level2.0002,June,5669.2886174
Level1.0016,Level2.0002,July,58442.3684443
Level1.0016,Level2.0002,August,95267.1139804
Level1.0016,Level2.0002,September,49590.5712094
Level1.0016,Level2.0002,October,73359.4402354
Level1.0016,Level2.0002,November,8476.5352608
Level1.0016,Level2.0002,December,51927.2248069
Level1.0016,Level2.0003,January,5191.7429008
Level1.0016,Level2.0003,February,32711.23081
Level1.0016,Level2.0003,March,28.0880267
Level1.0016,Level2.0003,April,7545.9847544
Level1.0016,Level2.0003,May,79699.2310629
Level1.0016,Level2.0003,June,24400.7199923
Level1.0016,Level2.0003,July,29370.9082702
Level1.0016,Level2.0003,August,82912.5339324
Level1.0016,Level2.0003,September,60596.2348839
Level1.0016,Level2.0003,October,44242.5065771
Level1.0016,Level2.0003,November,68777.1029481
Level1.0016,Level2.0003,December,80139.5230933
Level1.0016,Level2.0004,January,70631.3542116
Level1.0016,Level2.0004,February,30973.4207344
Level1.0016,Level2.0004,March,92728.898715
Level1.0016,Level2.0004,April,89539.3230239
Level1.0016,Level2.0004,May,15158.3565454
Level1.0016,Level2.0004,June,12547.277475
Level1.0016,Level2.0004,July,36274.3465289
Level1.0016,Level2.0004,August,44151.0992935
Level1.0016,Level2.0004,September,35894.0312551
Level1.0016,Level2.0004,October,32072.0534567
Level1.0016,Level2.0004,November,77977.1918502
Level1.0016,Level2.0004,December,30445.1824107
Level1.0017,Level2.0000,January,50474.4680627
Level1.0017,Level2.0000,February,83348.046297
Level1.0017,Level2.0000,March,82074.1334685
Level1.0017,Level2.0000,April,15935.8470244
Level1.0017,Level2.0000,May,52575.1902756
Level1.0017,Level2.0000,June,3430.7094413
Level1.0017,Level2.0000,July,38340.9794363
Level1.0017,Level2.0000,August,34462.4113098
Level1.0017,Level2.0000,September,26780.3611599
Level1.0017,Level2.0000,October,16876.7888934
Level1.0017,Level2.0000,November,22349.9589732
Level1.0017,Level2.0000,December,70379.1859756
Level1.0017,Level2.0001,January,7019.7452769
Level1.0017,Level2.0001,February,32326.8885556
Level1.0017,Level2.0001,March,24578.5812903
Level1.0017,Level2.0001,April,5897.9634766
Level1.0017,Level2.0001,May,46792.8209047
Level1.0017,Level2.0001,June,33290.7717499
Level1.0017,Level2.0001,July,13773.1981627
Level1.0017,Level2.0001,August,65185.7477041
Level1.0017,Level2.0001,September,51302.871535
Level1.0017,Level2.0001,October,11018.8766822
Level1.0017,Level2.0001,November,69198.9082825
Level1.0017,Level2.0001,December,42919.5107437
Level1.0017,Level2.0002,January,79353.5747944
Level1.0017,Level2.0002,February,77511.986448
Level1.0017,Level2.0002,March,7359.6815697
Level1.0017,Level2.0002,April,97686.2984646
Level1.0017,Level2.0002,May,33826.8911089
Level1.0017,Level2.0002,June,88646.6523474
Level1.0017,Level2.0002,July,97615.3199636
Level1.0017,Level2.0002,August,33087.2229514
Level1.0017,Level2.0002,September,92962.1032136
Level1.0017,Level2.0002,October,20324.4798421
Level1.0017,Level2.0002,November,52269.5546162
Level1.0017,Level2.0002,December,31921.9256889
Level1.0017,Level2.0003,January,30923.4821319
Level1.0017,Level2.0003,February,75413.6529328
Level1.0017,Level2.0003,March,69631.6763823
Level1.0017,Level2.0003,April,94777.0346244
Level1.0017,Level2.0003,May,75777.6681385
Level1.0017,Level2.0003,June,37668.8863825
Level1.0017,Level2.0003,July,91933.9704558
Level1.0017,Level2.0003,August,35050.8523108
Level1.0017,Level2.0003,September,74788.0760917
Level1.0017,Level2.0003,October,70533.8349597
Level1.0017,Level2.0003,November,37739.7482478
Level1.0017,Level2.0003,December,20876.6705551
Level1.0017,Level2.0004,January,87298.0831061
Level1.0017,Level2.0004,February,60255.8298987
Level1.0017,Level2.0004,March,80276.0906953
Level1.0017,Level2.0004,April,19343.4853304
Level1.0017,Level2.0004,May,21392.5838866
Level1.0017,Level2.0004,June,10578.9154798
Level1.0017,Level2.0004,July,72190.3133578
Level1.0017,Level2.0004,August,17316.7950651
Level1.0017,Level2.0004,September,30947.641743
Level1.0017,Level2.0004,October,909.5204848
Level1.0017,Level2.0004,November,59869.3858184
Level1.0017,Level2.0004,December,2349.1057807
Level1.0018,Level2.0000,January,56101.2168889
Level1.0018,Level2.0000,February,71815.7446776
Level1.0018,Level2.0000,March,6568.8314749
Level1.0018,Level2.0000,April,28239.8280587
Level1.0018,Level2.0000,May,81755.1465337
Level1.0018,Level2.0000,June,98079.5877755
Level1.0018,Level2.0000,July,59885.1963284
Level1.0018,Level2.0000,August,27175.4854013
Level1.0018,Level2.0000,September,3336.1937677
Level1.0018,Level2.0000,October,96119.901562
Level1.0018,Level2.0000,November,56345.7652442
Level1.0018,Level2.0000,December,97330.1063515
Level1.0018,Level2.0001,January,52222.468073
Level1.0018,Level2.0001,February,74043.1645909
Level1.0018,Level2.0001,March,19007.9075233
Level1.0018,Level2.0001,April,53397.3675445
Level1.0018,Level2.0001,May,30513.5927385
Level1.0018,Level2.0001,June,95566.0696211
Level1.0018,Level2.0001,July,19273.8685437
Level1.0018,Level2.0001,August,94406.9155666
Level1.0018,Level2.0001,September,50024.5128514
Level1.0018,Level2.0001,October,48032.8951338
Level1.0018,Level2.0001,November,54418.827114
Level1.0018,Level2.0001,December,36059.9653905
Level1.0018,Level2.0002,January,81738.1670791
Level1.0018,Level2.0002,February,62328.0739703
Level1.0018,Level2.0002,March,35903.0129616
Level1.0018,Level2.0002,April,28492.5517162
Level1.0018,Level2.0002,May,3903.6461117
Level1.0018,Level2.0002,June,33200.4507627
Level1.0018,Level2.0002,July,39170.2770872
Level1.0018,Level2.0002,August,68433.7594714
Level1.0018,Level2.0002,September,82685.698774
Level1.0018,Level2.0002,October,50793.1107329
Level1.0018,Level2.0002,November,55432.4236979
Level1.0018,Level2.0002,December,29299.9977349
Level1.0018,Level2.0003,January,38102.176526
Level1.0018,Level2.0003,February,61815.2779402
Level1.0018,Level2.0003,March,66676.0741278
Level1.0018,Level2.0003,April,18136.2330443
Level1.0018,Level2.0003,May,54637.748941
Level1.0018,Level2.0003,June,47667.8400073
Level1.0018,Level2.0003,July,36034.5849303
Level1.0018,Level2.0003,August,85123.2059939
Level1.0018,Level2.0003,September,63821.7883124
Level1.0018,Level2.0003,October,93923.2558691
Level1.0018,Level2.0003,November,48381.8865991
Level1.0018,Level2.0003,December,64895.258674
Level1.0018,Level2.0004,January,48867.4197604
Level1.0018,Level2.0004,February,48537.3115849
Level1.0018,Level2.0004,March,48262.1692745
Level1.0018,Level2.0004,April,49331.0790324
Level1.0018,Level2.0004,May,66917.0634759
Level1.0018,Level2.0004,June,48140.8485675
Level1.0018,Level2.0004,July,94837.8241198
Level1.0018,Level2.0004,August,48202.8336837
Level1.0018,Level2.0004,September,1421.3317172
Level1.0018,Level2.0004,October,85192.1449856
Level1.0018,Level2.0004,November,94482.045246
Level1.0018,Level2.0004,December,34759.3398119
Level1.0019,Level2.0000,January,48990.4339957
Level1.0019,Level2.0000,February,76188.6097723
Level1.0019,Level2.0000,March,37626.7915767
Level1.0019,Level2.0000,April,96187.2600692
Level1.0019,Level2.0000,May,70098.4997655
Level1.0019,Level2.0000,June,32586.4244358
Level1.0019,Level2.0000,July,28516.8166166
Level1.0019,Level2.0000,August,77152.3949513
Level1.0019,Level2.0000,September,1757.3263418
Level1.0019,Level2.0000,October,19725.0834631
Level1.0019,Level2.0000,November,33869.5782361
Level1.0019,Level2.0000,December,74465.3729832
Level1.0019,Level2.0001,January,14890.2049261
Level1.0019,Level2.0001,February,19493.7673253
Level1.0019,Level2.0001,March,4362.7711409
Level1.0019,Level2.0001,April,23945.1523803
Level1.0019,Level2.0001,May,27840.6425108
Level1.0019,Level2.0001,June,97441.4755074
Level1.0019,Level2.0001,July,61349.0710794
Level1.0019,Level2.0001,August,42502.5534014
Level1.0019,Level2.0001,September,5308.7582695
Level1.0019,Level2.0001,October,14302.1037854
Level1.0019,Level2.0001,November,79580.9412308
Level1.0019,Level2.0001,December,9475.1373067
Level1.0019,Level2.0002,January,76787.1685597
Level1.0019,Level2.0002,February,23725.9220887
Level1.0019,Level2.0002,March,21741.4330882
Level1.0019,Level2.0002,April,53411.8144209
Level1.0019,Level2.0002,May,44206.692294
Level1.0019,Level2.0002,June,59087.5516082
Level1.0019,Level2.0002,July,65588.4154589
Level1.0019,Level2.0002,August,98152.9566076
Level1.0019,Level2.0002,September,13759.9489125
Level1.0019,Level2.0002,October,29993.9044236
Level1.0019,Level2.0002,November,11803.6514213
Level1.0019,Level2.0002,December,65023.0317537
Level1.0019,Level2.0003,January,34915.6303844
Level1.0019,Level2.0003,February,70109.8407171
Level1.0019,Level2.0003,March,41848.7171837
Level1.0019,Level2.0003,April,94378.9290627
Level1.0019,Level2.0003,May,95864.3475141
Level1.0019,Level2.0003,June,26656.1894094
Level1.0019,Level2.0003,July,51765.8033681
Level1.0019,Level2.0003,August,16180.9043988
Level1.0019,Level2.0003,September,30626.1553431
Level1.0019,Level2.0003,October,30624.0003054
Level1.0019,Level2.0003,November,50586.2538365
Level1.0019,Level2.0003,December,83208.8365355
Level1.0019,Level2.0004,January,69366.9732314
Level1.0019,Level2.0004,February,89637.5990364
Level1.0019,Level2.0004,March,31163.7289033
Level1.0019,Level2.0004,April,72989.2677111
Level1.0019,Level2.0004,May,36382.3821719
Level1.0019,Level2.0004,June,2141.8768966
Level1.0019,Level2.0004,July,65870.8193038
Level1.0019,Level2.0004,August,70495.2685297
Level1.0019,Level2.0004,September,19911.9940469
Level1.0019,Level2.0004,October,33426.4260853
Level1.0019,Level2.0004,November,19060.4081056
Level1.0019,Level2.0004,December,60805.2826082
