Date.Fiscal Year,Sales Territory.Country,Product.Products.Category,Product.Products.Subcategory,Product.Products.Model,Sum(Sales.Order Quantity),Sum(Sales.Sales Amount)
FY2020,United Kingdom,Clothing,Bib-Shorts,Men's Bib-Shorts,,
FY2019,United Kingdom,Clothing,Tights,Women's Tights,223,9945.9837
FY2020,United Kingdom,Clothing,Tights,Women's Tights,,
FY2019,United Kingdom,Clothing,Gloves,Full-Finger Gloves,374,8083.6984
FY2020,United Kingdom,Clothing,Gloves,Full-Finger Gloves,,
FY2019,United Kingdom,Clothing,Gloves,Half-Finger Gloves,112,1592.7979
FY2020,United Kingdom,Clothing,Gloves,Half-Finger Gloves,479,8208.6342
FY2019,United Kingdom,Clothing,Vests,Classic Vest,1,63.5
FY2020,United Kingdom,Clothing,Vests,Classic Vest,573,21972.6958
FY2019,United Kingdom,Clothing,Shorts,Men's Sports Shorts,108,3887.352
FY2020,United Kingdom,Clothing,Shorts,Men's Sports Shorts,,
FY2019,United Kingdom,Clothing,Shorts,Women's Mountain Shorts,,
FY2020,United Kingdom,Clothing,Shorts,Women's Mountain Shorts,525,22181.5878
FY2019,United Kingdom,Clothing,Jerseys,Short-Sleeve Classic Jersey,10,539.9
FY2020,United Kingdom,Clothing,Jerseys,Short-Sleeve Classic Jersey,799,27908.6674
FY2019,United Kingdom,Clothing,Jerseys,Long-Sleeve Logo Jersey,238,6907.6012
FY2020,United Kingdom,Clothing,Jerseys,Long-Sleeve Logo Jersey,678,24709.8871
FY2019,United Kingdom,Components,Chains,Chain,,
FY2020,United Kingdom,Components,Chains,Chain,55,660.245
FY2019,United Kingdom,Components,Headsets,LL Headset,7,143.64
FY2020,United Kingdom,Components,Headsets,LL Headset,,
FY2019,United Kingdom,Components,Headsets,HL Headset,12,898.056
FY2020,United Kingdom,Components,Headsets,HL Headset,,
FY2019,United Kingdom,Components,Headsets,ML Headset,46,2665.5035
FY2020,United Kingdom,Components,Headsets,ML Headset,,
FY2019,United Kingdom,Components,Bottom Brackets,LL Bottom Bracket,,
FY2020,United Kingdom,Components,Bottom Brackets,LL Bottom Bracket,33,1069.002
FY2019,United Kingdom,Components,Bottom Brackets,HL Bottom Bracket,,
FY2020,United Kingdom,Components,Bottom Brackets,HL Bottom Bracket,43,3134.442
FY2019,United Kingdom,Components,Saddles,LL Road Seat/Saddle 1,,
FY2020,United Kingdom,Components,Saddles,LL Road Seat/Saddle 1,5,81.36
FY2019,United Kingdom,Components,Saddles,LL Touring Seat/Saddle,,
FY2020,United Kingdom,Components,Saddles,LL Touring Seat/Saddle,8,130.176
FY2019,United Kingdom,Components,Saddles,ML Touring Seat/Saddle,,
FY2020,United Kingdom,Components,Saddles,ML Touring Seat/Saddle,7,164.388
FY2019,United Kingdom,Components,Saddles,HL Road Seat/Saddle 2,,
FY2020,United Kingdom,Components,Saddles,HL Road Seat/Saddle 2,9,284.256
FY2019,United Kingdom,Components,Saddles,LL Mountain Seat/Saddle 2,,
FY2020,United Kingdom,Components,Saddles,LL Mountain Seat/Saddle 2,25,406.8
FY2019,United Kingdom,Components,Saddles,ML Mountain Seat/Saddle 2,,
FY2020,United Kingdom,Components,Saddles,ML Mountain Seat/Saddle 2,36,845.424
FY2019,United Kingdom,Components,Saddles,HL Mountain Seat/Saddle 2,,
FY2020,United Kingdom,Components,Saddles,HL Mountain Seat/Saddle 2,32,1010.688
FY2019,United Kingdom,Components,Saddles,HL Touring Seat/Saddle,,
FY2020,United Kingdom,Components,Saddles,HL Touring Seat/Saddle,41,1294.944
FY2019,United Kingdom,Components,Derailleurs,Rear Derailleur,,
FY2020,United Kingdom,Components,Derailleurs,Rear Derailleur,25,1821.9
FY2019,United Kingdom,Components,Derailleurs,Front Derailleur,,
FY2020,United Kingdom,Components,Derailleurs,Front Derailleur,65,3568.11
FY2019,United Kingdom,Components,Forks,LL Fork,15,1333.98
FY2020,United Kingdom,Components,Forks,LL Fork,,
FY2019,United Kingdom,Components,Forks,HL Fork,31,4268.514
FY2020,United Kingdom,Components,Forks,HL Fork,,
FY2019,United Kingdom,Components,Brakes,Rear Brakes,,
FY2020,United Kingdom,Components,Brakes,Rear Brakes,12,766.8
FY2019,United Kingdom,Components,Brakes,Front Brakes,,
FY2020,United Kingdom,Components,Brakes,Front Brakes,77,4920.3
FY2019,United Kingdom,Components,Pedals,Touring Pedal,,
FY2020,United Kingdom,Components,Pedals,Touring Pedal,9,437.346
FY2019,United Kingdom,Components,Pedals,LL Mountain Pedal,,
FY2020,United Kingdom,Components,Pedals,LL Mountain Pedal,41,996.054
FY2019,United Kingdom,Components,Pedals,LL Road Pedal,,
FY2020,United Kingdom,Components,Pedals,LL Road Pedal,48,1166.112
FY2019,United Kingdom,Components,Pedals,ML Mountain Pedal,,
FY2020,United Kingdom,Components,Pedals,ML Mountain Pedal,34,1266.636
FY2019,United Kingdom,Components,Pedals,ML Road Pedal,,
FY2020,United Kingdom,Components,Pedals,ML Road Pedal,38,1415.652
FY2019,United Kingdom,Components,Pedals,HL Mountain Pedal,,
FY2020,United Kingdom,Components,Pedals,HL Mountain Pedal,44,2138.136
FY2019,United Kingdom,Components,Pedals,HL Road Pedal,,
FY2020,United Kingdom,Components,Pedals,HL Road Pedal,45,2186.73
FY2019,United Kingdom,Components,Handlebars,LL Touring Handlebars,,
FY2020,United Kingdom,Components,Handlebars,LL Touring Handlebars,9,248.886
FY2019,United Kingdom,Components,Handlebars,LL Road Handlebars,3,72.8835
FY2020,United Kingdom,Components,Handlebars,LL Road Handlebars,7,187.068
FY2019,United Kingdom,Components,Handlebars,HL Touring Handlebars,,
FY2020,United Kingdom,Components,Handlebars,HL Touring Handlebars,16,879.072
FY2019,United Kingdom,Components,Handlebars,LL Mountain Handlebars,39,947.4855
FY2020,United Kingdom,Components,Handlebars,LL Mountain Handlebars,32,855.168
FY2019,United Kingdom,Components,Handlebars,HL Mountain Handlebars,16,1049.6288
FY2020,United Kingdom,Components,Handlebars,HL Mountain Handlebars,13,938.106
FY2019,United Kingdom,Components,Handlebars,HL Road Handlebars,15,984.027
FY2020,United Kingdom,Components,Handlebars,HL Road Handlebars,20,1443.24
FY2019,United Kingdom,Components,Handlebars,ML Mountain Handlebars,63,2106.4482
FY2020,United Kingdom,Components,Handlebars,ML Mountain Handlebars,49,1820.448
FY2019,United Kingdom,Components,Cranksets,ML Crankset,,
FY2020,United Kingdom,Components,Cranksets,ML Crankset,7,1077.258
FY2019,United Kingdom,Components,Cranksets,LL Crankset,,
FY2020,United Kingdom,Components,Cranksets,LL Crankset,34,3579.996
FY2019,United Kingdom,Components,Cranksets,HL Crankset,,
FY2020,United Kingdom,Components,Cranksets,HL Crankset,45,10934.73
FY2019,United Kingdom,Components,Wheels,ML Road Rear Wheel,2,330.462
FY2020,United Kingdom,Components,Wheels,ML Road Rear Wheel,,
FY2019,United Kingdom,Components,Wheels,LL Mountain Rear Wheel,20,1052.94
FY2020,United Kingdom,Components,Wheels,LL Mountain Rear Wheel,,
FY2019,United Kingdom,Components,Wheels,HL Road Rear Wheel,5,1071.18
FY2020,United Kingdom,Components,Wheels,HL Road Rear Wheel,,
FY2019,United Kingdom,Components,Wheels,ML Mountain Front Wheel,13,1630.395
FY2020,United Kingdom,Components,Wheels,ML Mountain Front Wheel,,
FY2019,United Kingdom,Components,Wheels,LL Mountain Front Wheel,45,1640.115
FY2020,United Kingdom,Components,Wheels,LL Mountain Front Wheel,,
FY2019,United Kingdom,Components,Wheels,LL Road Rear Wheel,33,2228.787
FY2020,United Kingdom,Components,Wheels,LL Road Rear Wheel,,
FY2019,United Kingdom,Components,Wheels,HL Mountain Front Wheel,13,2341.677
FY2020,United Kingdom,Components,Wheels,HL Mountain Front Wheel,,
FY2019,United Kingdom,Components,Wheels,ML Road Front Wheel,18,2682.558
FY2020,United Kingdom,Components,Wheels,ML Road Front Wheel,,
FY2019,United Kingdom,Components,Wheels,HL Road Front Wheel,23,4554.828
FY2020,United Kingdom,Components,Wheels,HL Road Front Wheel,,
FY2019,United Kingdom,Components,Wheels,ML Mountain Rear Wheel,58,8131.6277
FY2020,United Kingdom,Components,Wheels,ML Mountain Rear Wheel,,
FY2019,United Kingdom,Components,Wheels,HL Mountain Rear Wheel,56,10870.3441
FY2020,United Kingdom,Components,Wheels,HL Mountain Rear Wheel,,
FY2019,United Kingdom,Components,Touring Frames,LL Touring Frame,,
FY2020,United Kingdom,Components,Touring Frames,LL Touring Frame,144,28691.5912
FY2019,United Kingdom,Components,Touring Frames,HL Touring Frame,,
FY2020,United Kingdom,Components,Touring Frames,HL Touring Frame,179,106646.1624
FY2019,United Kingdom,Components,Road Frames,LL Road Frame,153,30110.6812
FY2020,United Kingdom,Components,Road Frames,LL Road Frame,89,17890.3303
FY2019,United Kingdom,Components,Road Frames,ML Road Frame-W,67,21738.3309
FY2020,United Kingdom,Components,Road Frames,ML Road Frame-W,96,34262.208
FY2019,United Kingdom,Components,Road Frames,HL Road Frame,44,34356.0008
FY2020,United Kingdom,Components,Road Frames,HL Road Frame,60,51534
FY2019,United Kingdom,Components,Mountain Frames,ML Mountain Frame,101,21134.856
FY2020,United Kingdom,Components,Mountain Frames,ML Mountain Frame,,
FY2019,United Kingdom,Components,Mountain Frames,ML Mountain Frame-W,23,4812.888
FY2020,United Kingdom,Components,Mountain Frames,ML Mountain Frame-W,124,26938.7278
FY2019,United Kingdom,Components,Mountain Frames,LL Mountain Frame,,
FY2020,United Kingdom,Components,Mountain Frames,LL Mountain Frame,235,36326.4462
FY2019,United Kingdom,Components,Mountain Frames,HL Mountain Frame,112,82992.8184
FY2020,United Kingdom,Components,Mountain Frames,HL Mountain Frame,137,111670.2
FY2019,United Kingdom,Bikes,Touring Bikes,Touring-2000,3,3644.55
FY2020,United Kingdom,Bikes,Touring Bikes,Touring-2000,255,209349.7551
FY2019,United Kingdom,Bikes,Touring Bikes,Touring-3000,7,5196.45
FY2020,United Kingdom,Bikes,Touring Bikes,Touring-3000,534,234226.1985
FY2019,United Kingdom,Bikes,Touring Bikes,Touring-1000,4,9536.28
FY2020,United Kingdom,Bikes,Touring Bikes,Touring-1000,584,942963.1014
FY2019,United Kingdom,Bikes,Mountain Bikes,Mountain-400-W,3,2308.47
FY2020,United Kingdom,Bikes,Mountain Bikes,Mountain-400-W,172,104650.64
FY2019,United Kingdom,Bikes,Mountain Bikes,Mountain-300,185,119878.89
FY2020,United Kingdom,Bikes,Mountain Bikes,Mountain-300,,
FY2019,United Kingdom,Bikes,Mountain Bikes,Mountain-500,3,1694.97
FY2020,United Kingdom,Bikes,Mountain Bikes,Mountain-500,352,120251.6248
FY2019,United Kingdom,Bikes,Mountain Bikes,Mountain-200,471,672840.2352
FY2020,United Kingdom,Bikes,Mountain Bikes,Mountain-200,698,1242465.895
FY2019,United Kingdom,Bikes,Road Bikes,Road-750,6,3239.94
FY2020,United Kingdom,Bikes,Road Bikes,Road-750,409,168397.1775
FY2019,United Kingdom,Bikes,Road Bikes,Road-650,551,274095.3586
FY2020,United Kingdom,Bikes,Road Bikes,Road-650,,
FY2019,United Kingdom,Bikes,Road Bikes,Road-550-W,162,121933.3225
FY2020,United Kingdom,Bikes,Road Bikes,Road-550-W,350,289994.0169
FY2019,United Kingdom,Bikes,Road Bikes,Road-350-W,8,13607.92
FY2020,United Kingdom,Bikes,Road Bikes,Road-350-W,359,433833.247
FY2019,United Kingdom,Bikes,Road Bikes,Road-250,370,668378.3925
FY2020,United Kingdom,Bikes,Road Bikes,Road-250,255,452997.09
FY2019,Australia,Clothing,Socks,Racing Socks,2,17.98
FY2020,Australia,Clothing,Socks,Racing Socks,110,988.9
FY2019,Australia,Clothing,Caps,Cycling Cap,10,89.9
FY2020,Australia,Clothing,Caps,Cycling Cap,609,4738.8538
FY2019,Australia,Clothing,Gloves,Half-Finger Gloves,5,122.45
FY2020,Australia,Clothing,Gloves,Half-Finger Gloves,450,9649.3049
FY2019,Australia,Clothing,Shorts,Women's Mountain Shorts,,
FY2020,Australia,Clothing,Shorts,Women's Mountain Shorts,270,15649.764
FY2019,Australia,Clothing,Vests,Classic Vest,4,254
FY2020,Australia,Clothing,Vests,Classic Vest,487,20811.6234
FY2019,Australia,Clothing,Jerseys,Long-Sleeve Logo Jersey,1,49.99
FY2020,Australia,Clothing,Jerseys,Long-Sleeve Logo Jersey,463,17303.0288
FY2019,Australia,Clothing,Jerseys,Short-Sleeve Classic Jersey,14,755.86
FY2020,Australia,Clothing,Jerseys,Short-Sleeve Classic Jersey,954,42744.099
FY2019,Australia,Accessories,Cleaners,Bike Wash,6,47.7
FY2020,Australia,Accessories,Cleaners,Bike Wash,330,2238.72
FY2019,Australia,Accessories,Fenders,Fender Set - Mountain,17,373.66
FY2020,Australia,Accessories,Fenders,Fender Set - Mountain,308,6769.84
FY2019,Australia,Accessories,Bike Stands,All-Purpose Bike Stand,1,159
FY2020,Australia,Accessories,Bike Stands,All-Purpose Bike Stand,64,10176
FY2019,Australia,Accessories,Bottles and Cages,Mountain Bottle Cage,15,149.85
FY2020,Australia,Accessories,Bottles and Cages,Mountain Bottle Cage,257,2567.43
FY2019,Australia,Accessories,Bottles and Cages,Water Bottle,33,164.67
FY2020,Australia,Accessories,Bottles and Cages,Water Bottle,880,4149.684
FY2019,Australia,Accessories,Bottles and Cages,Road Bottle Cage,25,224.75
FY2020,Australia,Accessories,Bottles and Cages,Road Bottle Cage,484,4351.16
FY2019,Australia,Accessories,Hydration Packs,Hydration Pack,5,274.95
FY2020,Australia,Accessories,Hydration Packs,Hydration Pack,299,13933.8721
FY2019,Australia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,480
FY2020,Australia,Accessories,Bike Racks,Hitch Rack - 4-Bike,219,17926.704
FY2019,Australia,Accessories,Tires and Tubes,Touring Tire Tube,,
FY2020,Australia,Accessories,Tires and Tubes,Touring Tire Tube,195,973.05
FY2019,Australia,Accessories,Tires and Tubes,Patch kit,12,27.48
FY2020,Australia,Accessories,Tires and Tubes,Patch kit,662,1509.568
FY2019,Australia,Accessories,Tires and Tubes,Road Tire Tube,11,43.89
FY2020,Australia,Accessories,Tires and Tubes,Road Tire Tube,500,1995
FY2019,Australia,Accessories,Tires and Tubes,Mountain Tire Tube,11,54.89
FY2020,Australia,Accessories,Tires and Tubes,Mountain Tire Tube,503,2509.97
FY2019,Australia,Accessories,Tires and Tubes,Touring Tire,,
FY2020,Australia,Accessories,Tires and Tubes,Touring Tire,107,3101.93
FY2019,Australia,Accessories,Tires and Tubes,LL Road Tire,3,64.47
FY2020,Australia,Accessories,Tires and Tubes,LL Road Tire,201,4319.49
FY2019,Australia,Accessories,Tires and Tubes,LL Mountain Tire,2,49.98
FY2020,Australia,Accessories,Tires and Tubes,LL Mountain Tire,210,5247.9
FY2019,Australia,Accessories,Tires and Tubes,HL Road Tire,5,163
FY2020,Australia,Accessories,Tires and Tubes,HL Road Tire,162,5281.2
FY2019,Australia,Accessories,Tires and Tubes,ML Mountain Tire,1,29.99
FY2020,Australia,Accessories,Tires and Tubes,ML Mountain Tire,197,5908.03
FY2019,Australia,Accessories,Tires and Tubes,ML Road Tire,5,124.95
FY2020,Australia,Accessories,Tires and Tubes,ML Road Tire,280,6997.2
FY2019,Australia,Accessories,Tires and Tubes,HL Mountain Tire,10,350
FY2020,Australia,Accessories,Tires and Tubes,HL Mountain Tire,230,8050
FY2019,Australia,Accessories,Helmets,Sport-100,32,1119.68
FY2020,Australia,Accessories,Helmets,Sport-100,1581,50728.502
FY2019,Australia,Components,Road Frames,ML Road Frame-W,,
FY2020,Australia,Components,Road Frames,ML Road Frame-W,1,356.898
FY2019,Australia,Components,Chains,Chain,,
FY2020,Australia,Components,Chains,Chain,70,850.08
FY2019,Australia,Components,Pedals,ML Mountain Pedal,,
FY2020,Australia,Components,Pedals,ML Mountain Pedal,2,74.508
FY2019,Australia,Components,Pedals,LL Mountain Pedal,,
FY2020,Australia,Components,Pedals,LL Mountain Pedal,7,170.058
FY2019,Australia,Components,Pedals,Touring Pedal,,
FY2020,Australia,Components,Pedals,Touring Pedal,14,680.316
FY2019,Australia,Components,Pedals,HL Mountain Pedal,,
FY2020,Australia,Components,Pedals,HL Mountain Pedal,16,777.504
FY2019,Australia,Components,Saddles,LL Mountain Seat/Saddle 2,,
FY2020,Australia,Components,Saddles,LL Mountain Seat/Saddle 2,2,32.544
FY2019,Australia,Components,Saddles,ML Touring Seat/Saddle,,
FY2020,Australia,Components,Saddles,ML Touring Seat/Saddle,5,117.42
FY2019,Australia,Components,Saddles,LL Touring Seat/Saddle,,
FY2020,Australia,Components,Saddles,LL Touring Seat/Saddle,11,178.992
FY2019,Australia,Components,Saddles,HL Mountain Seat/Saddle 2,,
FY2020,Australia,Components,Saddles,HL Mountain Seat/Saddle 2,6,189.504
FY2019,Australia,Components,Saddles,ML Mountain Seat/Saddle 2,,
FY2020,Australia,Components,Saddles,ML Mountain Seat/Saddle 2,13,305.292
FY2019,Australia,Components,Saddles,HL Touring Seat/Saddle,,
FY2020,Australia,Components,Saddles,HL Touring Seat/Saddle,46,1452.864
FY2019,Australia,Components,Handlebars,HL Mountain Handlebars,,
FY2020,Australia,Components,Handlebars,HL Mountain Handlebars,1,72.162
FY2019,Australia,Components,Handlebars,LL Touring Handlebars,,
FY2020,Australia,Components,Handlebars,LL Touring Handlebars,5,138.27
FY2019,Australia,Components,Handlebars,LL Mountain Handlebars,,
FY2020,Australia,Components,Handlebars,LL Mountain Handlebars,12,320.688
FY2019,Australia,Components,Handlebars,ML Mountain Handlebars,,
FY2020,Australia,Components,Handlebars,ML Mountain Handlebars,17,631.584
FY2019,Australia,Components,Handlebars,HL Touring Handlebars,,
FY2020,Australia,Components,Handlebars,HL Touring Handlebars,30,1648.26
FY2019,Australia,Components,Bottom Brackets,LL Bottom Bracket,,
FY2020,Australia,Components,Bottom Brackets,LL Bottom Bracket,30,971.82
FY2019,Australia,Components,Bottom Brackets,HL Bottom Bracket,,
FY2020,Australia,Components,Bottom Brackets,HL Bottom Bracket,47,3426.018
FY2019,Australia,Components,Brakes,Rear Brakes,,
FY2020,Australia,Components,Brakes,Rear Brakes,28,1789.2
FY2019,Australia,Components,Brakes,Front Brakes,,
FY2020,Australia,Components,Brakes,Front Brakes,59,3770.1
FY2019,Australia,Components,Derailleurs,Rear Derailleur,,
FY2020,Australia,Components,Derailleurs,Rear Derailleur,29,2113.404
FY2019,Australia,Components,Derailleurs,Front Derailleur,,
FY2020,Australia,Components,Derailleurs,Front Derailleur,95,5214.93
FY2019,Australia,Components,Cranksets,LL Crankset,,
FY2020,Australia,Components,Cranksets,LL Crankset,33,3474.702
FY2019,Australia,Components,Cranksets,HL Crankset,,
FY2020,Australia,Components,Cranksets,HL Crankset,55,13364.67
FY2019,Australia,Components,Mountain Frames,ML Mountain Frame-W,,
FY2020,Australia,Components,Mountain Frames,ML Mountain Frame-W,27,5898.258
FY2019,Australia,Components,Mountain Frames,LL Mountain Frame,,
FY2020,Australia,Components,Mountain Frames,LL Mountain Frame,49,7600.506
FY2019,Australia,Components,Mountain Frames,HL Mountain Frame,,
FY2020,Australia,Components,Mountain Frames,HL Mountain Frame,27,21997.62
FY2019,Australia,Components,Touring Frames,LL Touring Frame,,
FY2020,Australia,Components,Touring Frames,LL Touring Frame,108,21605.616
FY2019,Australia,Components,Touring Frames,HL Touring Frame,,
FY2020,Australia,Components,Touring Frames,HL Touring Frame,174,104427.5213
FY2019,Australia,Bikes,Touring Bikes,Touring-2000,4,4859.4
FY2020,Australia,Bikes,Touring Bikes,Touring-2000,322,265809.18
FY2019,Australia,Bikes,Touring Bikes,Touring-3000,2,1484.7
FY2020,Australia,Bikes,Touring Bikes,Touring-3000,738,345825.605
FY2019,Australia,Bikes,Touring Bikes,Touring-1000,7,16688.49
FY2020,Australia,Bikes,Touring Bikes,Touring-1000,920,1560967.925
FY2019,Australia,Bikes,Mountain Bikes,Mountain-500,5,2749.95
FY2020,Australia,Bikes,Mountain Bikes,Mountain-500,106,50427.2872
FY2019,Australia,Bikes,Mountain Bikes,Mountain-400-W,2,1538.98
FY2020,Australia,Bikes,Mountain Bikes,Mountain-400-W,99,76179.51
FY2019,Australia,Bikes,Mountain Bikes,Mountain-200,472,985723.0374
FY2020,Australia,Bikes,Mountain Bikes,Mountain-200,525,1138308.066
FY2019,Australia,Bikes,Road Bikes,Road-650,152,119014.48
FY2020,Australia,Bikes,Road Bikes,Road-650,,
FY2019,Australia,Bikes,Road Bikes,Road-750,20,10799.8
FY2020,Australia,Bikes,Road Bikes,Road-750,371,200336.29
FY2019,Australia,Bikes,Road Bikes,Road-350-W,8,13607.92
FY2020,Australia,Bikes,Road Bikes,Road-350-W,240,408237.6
FY2019,Australia,Bikes,Road Bikes,Road-550-W,87,87878.43
FY2020,Australia,Bikes,Road Bikes,Road-550-W,324,363038.76
FY2019,Australia,Bikes,Road Bikes,Road-250,425,971929.725
FY2020,Australia,Bikes,Road Bikes,Road-250,349,850774.47
FY2019,Canada,Accessories,Pumps,Minipump,262,3135.4795
FY2020,Canada,Accessories,Pumps,Minipump,,
FY2019,Canada,Accessories,Cleaners,Bike Wash,1,7.95
FY2020,Canada,Accessories,Cleaners,Bike Wash,593,3260.6457
FY2019,Canada,Accessories,Locks,Cable Lock,283,4210.24
FY2020,Canada,Accessories,Locks,Cable Lock,,
FY2019,Canada,Accessories,Bike Stands,All-Purpose Bike Stand,,
FY2020,Canada,Accessories,Bike Stands,All-Purpose Bike Stand,32,5088
FY2019,Canada,Accessories,Fenders,Fender Set - Mountain,4,87.92
FY2020,Canada,Accessories,Fenders,Fender Set - Mountain,396,8704.08
FY2019,Canada,Accessories,Bottles and Cages,Road Bottle Cage,2,17.98
FY2020,Canada,Accessories,Bottles and Cages,Road Bottle Cage,114,1024.86
FY2019,Canada,Accessories,Bottles and Cages,Mountain Bottle Cage,2,19.98
FY2020,Canada,Accessories,Bottles and Cages,Mountain Bottle Cage,360,3596.4
FY2019,Canada,Accessories,Bottles and Cages,Water Bottle,3,14.97
FY2020,Canada,Accessories,Bottles and Cages,Water Bottle,1075,4367.6592
FY2019,Canada,Accessories,Hydration Packs,Hydration Pack,1,54.99
FY2020,Canada,Accessories,Hydration Packs,Hydration Pack,495,18472.0429
FY2019,Canada,Accessories,Tires and Tubes,Touring Tire Tube,1,4.99
FY2020,Canada,Accessories,Tires and Tubes,Touring Tire Tube,164,818.36
FY2019,Canada,Accessories,Tires and Tubes,Road Tire Tube,1,3.99
FY2020,Canada,Accessories,Tires and Tubes,Road Tire Tube,302,1204.98
FY2019,Canada,Accessories,Tires and Tubes,Patch kit,4,9.16
FY2020,Canada,Accessories,Tires and Tubes,Patch kit,634,1330.948
FY2019,Canada,Accessories,Tires and Tubes,LL Road Tire,1,21.49
FY2020,Canada,Accessories,Tires and Tubes,LL Road Tire,102,2191.98
FY2019,Canada,Accessories,Tires and Tubes,ML Road Tire,,
FY2020,Canada,Accessories,Tires and Tubes,ML Road Tire,93,2324.07
FY2019,Canada,Accessories,Tires and Tubes,Touring Tire,1,28.99
FY2020,Canada,Accessories,Tires and Tubes,Touring Tire,91,2638.09
FY2019,Canada,Accessories,Tires and Tubes,Mountain Tire Tube,2,9.98
FY2020,Canada,Accessories,Tires and Tubes,Mountain Tire Tube,647,3228.53
FY2019,Canada,Accessories,Tires and Tubes,LL Mountain Tire,,
FY2020,Canada,Accessories,Tires and Tubes,LL Mountain Tire,139,3473.61
FY2019,Canada,Accessories,Tires and Tubes,HL Road Tire,,
FY2020,Canada,Accessories,Tires and Tubes,HL Road Tire,176,5737.6
FY2019,Canada,Accessories,Tires and Tubes,ML Mountain Tire,,
FY2020,Canada,Accessories,Tires and Tubes,ML Mountain Tire,226,6777.74
FY2019,Canada,Accessories,Tires and Tubes,HL Mountain Tire,2,70
FY2020,Canada,Accessories,Tires and Tubes,HL Mountain Tire,275,9625
FY2019,Canada,Accessories,Bike Racks,Hitch Rack - 4-Bike,,
FY2020,Canada,Accessories,Bike Racks,Hitch Rack - 4-Bike,594,44575.668
FY2019,Canada,Accessories,Helmets,Sport-100,1167,22851.0851
FY2020,Canada,Accessories,Helmets,Sport-100,2077,53627.3152
FY2019,Canada,Clothing,Socks,Racing Socks,,
FY2020,Canada,Clothing,Socks,Racing Socks,609,3536.3065
FY2019,Canada,Clothing,Caps,Cycling Cap,592,3021.5469
FY2020,Canada,Clothing,Caps,Cycling Cap,787,4982.9871
FY2019,Canada,Clothing,Bib-Shorts,Men's Bib-Shorts,764,40831.6127
FY2020,Canada,Clothing,Bib-Shorts,Men's Bib-Shorts,,
FY2019,Canada,Clothing,Tights,Women's Tights,1073,47733.9172
FY2020,Canada,Clothing,Tights,Women's Tights,,
FY2019,Canada,Clothing,Vests,Classic Vest,2,127
FY2020,Canada,Clothing,Vests,Classic Vest,1257,47975.0951
FY2019,Canada,Clothing,Gloves,Half-Finger Gloves,449,6356.4126
FY2020,Canada,Clothing,Gloves,Half-Finger Gloves,968,16458.3845
FY2019,Canada,Clothing,Gloves,Full-Finger Gloves,1249,27039.4777
FY2020,Canada,Clothing,Gloves,Full-Finger Gloves,,
FY2019,Canada,Clothing,Shorts,Men's Sports Shorts,567,20319.5009
FY2020,Canada,Clothing,Shorts,Men's Sports Shorts,,
FY2019,Canada,Clothing,Shorts,Women's Mountain Shorts,2,139.98
FY2020,Canada,Clothing,Shorts,Women's Mountain Shorts,1591,69785.6431
FY2019,Canada,Clothing,Jerseys,Short-Sleeve Classic Jersey,2,107.98
FY2020,Canada,Clothing,Jerseys,Short-Sleeve Classic Jersey,1549,52041.0582
FY2019,Canada,Clothing,Jerseys,Long-Sleeve Logo Jersey,1147,32641.9805
FY2020,Canada,Clothing,Jerseys,Long-Sleeve Logo Jersey,1306,43683.0418
FY2019,Canada,Components,Chains,Chain,,
FY2020,Canada,Components,Chains,Chain,94,1141.536
FY2019,Canada,Components,Bottom Brackets,LL Bottom Bracket,,
FY2020,Canada,Components,Bottom Brackets,LL Bottom Bracket,64,2073.216
FY2019,Canada,Components,Bottom Brackets,HL Bottom Bracket,,
FY2020,Canada,Components,Bottom Brackets,HL Bottom Bracket,82,5977.308
FY2019,Canada,Components,Brakes,Rear Brakes,,
FY2020,Canada,Components,Brakes,Rear Brakes,34,2172.6
FY2019,Canada,Components,Brakes,Front Brakes,,
FY2020,Canada,Components,Brakes,Front Brakes,126,8014.3806
FY2019,Canada,Components,Saddles,LL Road Seat/Saddle 1,,
FY2020,Canada,Components,Saddles,LL Road Seat/Saddle 1,3,48.816
FY2019,Canada,Components,Saddles,LL Touring Seat/Saddle,,
FY2020,Canada,Components,Saddles,LL Touring Seat/Saddle,7,113.904
FY2019,Canada,Components,Saddles,ML Touring Seat/Saddle,,
FY2020,Canada,Components,Saddles,ML Touring Seat/Saddle,13,305.292
FY2019,Canada,Components,Saddles,HL Road Seat/Saddle 2,,
FY2020,Canada,Components,Saddles,HL Road Seat/Saddle 2,22,694.848
FY2019,Canada,Components,Saddles,LL Mountain Seat/Saddle 2,,
FY2020,Canada,Components,Saddles,LL Mountain Seat/Saddle 2,72,1171.584
FY2019,Canada,Components,Saddles,HL Touring Seat/Saddle,,
FY2020,Canada,Components,Saddles,HL Touring Seat/Saddle,52,1642.368
FY2019,Canada,Components,Saddles,ML Mountain Seat/Saddle 2,,
FY2020,Canada,Components,Saddles,ML Mountain Seat/Saddle 2,132,3056.5991
FY2019,Canada,Components,Saddles,HL Mountain Seat/Saddle 2,,
FY2020,Canada,Components,Saddles,HL Mountain Seat/Saddle 2,115,3632.16
FY2019,Canada,Components,Derailleurs,Rear Derailleur,,
FY2020,Canada,Components,Derailleurs,Rear Derailleur,53,3862.428
FY2019,Canada,Components,Derailleurs,Front Derailleur,,
