Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
2017,Office Supplies,Paper,Consumer,Central,49,6.000000000000003
2014,Office Supplies,Paper,Consumer,East,32,2.1999999999999997
2015,Office Supplies,Paper,Consumer,East,37,1.5999999999999999
2016,Office Supplies,Paper,Consumer,East,43,1.9999999999999998
2017,Office Supplies,Paper,Consumer,East,75,4.600000000000001
2014,Office Supplies,Paper,Consumer,South,24,2.8000000000000003
2015,Office Supplies,Paper,Consumer,South,20,1.4
2016,Office Supplies,Paper,Consumer,South,31,3.0000000000000004
2017,Office Supplies,Paper,Consumer,South,44,6.200000000000003
2014,Office Supplies,Paper,Consumer,West,46,2.8000000000000003
2015,Office Supplies,Paper,Consumer,West,52,2.1999999999999997
2016,Office Supplies,Paper,Consumer,West,66,0.8
2017,Office Supplies,Paper,Consumer,West,68,1.5999999999999999
2014,Office Supplies,Paper,Corporate,Central,19,2.6
2015,Office Supplies,Paper,Corporate,Central,24,2.8000000000000003
2016,Office Supplies,Paper,Corporate,Central,32,4.400000000000001
2017,Office Supplies,Paper,Corporate,Central,37,5.600000000000002
2014,Office Supplies,Paper,Corporate,East,18,1.2
2015,Office Supplies,Paper,Corporate,East,24,0.8
2016,Office Supplies,Paper,Corporate,East,24,1.4
2017,Office Supplies,Paper,Corporate,East,36,3.0000000000000004
2014,Office Supplies,Paper,Corporate,South,24,1.2
2015,Office Supplies,Paper,Corporate,South,13,1.4
2016,Office Supplies,Paper,Corporate,South,11,1.5999999999999999
2017,Office Supplies,Paper,Corporate,South,17,1.7999999999999998
2014,Office Supplies,Paper,Corporate,West,27,0.8
2015,Office Supplies,Paper,Corporate,West,24,0.8
2016,Office Supplies,Paper,Corporate,West,34,1.4
2017,Office Supplies,Paper,Corporate,West,44,1.5999999999999999
2014,Office Supplies,Paper,Home Office,Central,11,1.4
2015,Office Supplies,Paper,Home Office,Central,6,0.6000000000000001
2016,Office Supplies,Paper,Home Office,Central,14,1.5999999999999999
2017,Office Supplies,Paper,Home Office,Central,23,2.6
2014,Office Supplies,Paper,Home Office,East,14,1
2015,Office Supplies,Paper,Home Office,East,25,1.7999999999999998
2016,Office Supplies,Paper,Home Office,East,24,2.8000000000000003
2017,Office Supplies,Paper,Home Office,East,26,1.9999999999999998
2014,Office Supplies,Paper,Home Office,South,10,1.2
2015,Office Supplies,Paper,Home Office,South,3,0.4
2016,Office Supplies,Paper,Home Office,South,17,1
2017,Office Supplies,Paper,Home Office,South,7,0.6000000000000001
2014,Office Supplies,Paper,Home Office,West,14,0.2
2015,Office Supplies,Paper,Home Office,West,18,0.6000000000000001
2016,Office Supplies,Paper,Home Office,West,24,0.6000000000000001
2017,Office Supplies,Paper,Home Office,West,33,0.8
2014,Office Supplies,Storage,Consumer,Central,36,3.800000000000001
2015,Office Supplies,Storage,Consumer,Central,20,3.2000000000000006
2016,Office Supplies,Storage,Consumer,Central,25,3.0000000000000004
2017,Office Supplies,Storage,Consumer,Central,38,5.000000000000002
2014,Office Supplies,Storage,Consumer,East,16,1.5999999999999999
2015,Office Supplies,Storage,Consumer,East,26,1.9999999999999998
2016,Office Supplies,Storage,Consumer,East,41,2.1999999999999997
2017,Office Supplies,Storage,Consumer,East,31,3.0000000000000004
2014,Office Supplies,Storage,Consumer,South,12,1.2
2015,Office Supplies,Storage,Consumer,South,18,1.5999999999999999
2016,Office Supplies,Storage,Consumer,South,15,1
2017,Office Supplies,Storage,Consumer,South,21,1.9999999999999998
2014,Office Supplies,Storage,Consumer,West,35,1.2
2015,Office Supplies,Storage,Consumer,West,34,1
2016,Office Supplies,Storage,Consumer,West,35,1
2017,Office Supplies,Storage,Consumer,West,47,1.7999999999999998
2014,Office Supplies,Storage,Corporate,Central,11,1.7999999999999998
2015,Office Supplies,Storage,Corporate,Central,12,1.5999999999999999
2016,Office Supplies,Storage,Corporate,Central,12,1.5999999999999999
2017,Office Supplies,Storage,Corporate,Central,19,2.1999999999999997
2014,Office Supplies,Storage,Corporate,East,15,1.4
2015,Office Supplies,Storage,Corporate,East,25,1
2016,Office Supplies,Storage,Corporate,East,26,1.9999999999999998
2017,Office Supplies,Storage,Corporate,East,24,1.7999999999999998
2014,Office Supplies,Storage,Corporate,South,13,0.8
2015,Office Supplies,Storage,Corporate,South,7,1
2016,Office Supplies,Storage,Corporate,South,10,1
2017,Office Supplies,Storage,Corporate,South,10,1
2014,Office Supplies,Storage,Corporate,West,17,0.4
2015,Office Supplies,Storage,Corporate,West,11,0.8
2016,Office Supplies,Storage,Corporate,West,13,0.6000000000000001
2017,Office Supplies,Storage,Corporate,West,35,0.4
2014,Office Supplies,Storage,Home Office,Central,7,0.6000000000000001
2015,Office Supplies,Storage,Home Office,Central,4,0.4
2016,Office Supplies,Storage,Home Office,Central,10,1
2017,Office Supplies,Storage,Home Office,Central,16,1.7999999999999998
2014,Office Supplies,Storage,Home Office,East,3,0
2015,Office Supplies,Storage,Home Office,East,6,0.6000000000000001
2016,Office Supplies,Storage,Home Office,East,10,0.6000000000000001
2017,Office Supplies,Storage,Home Office,East,19,1
2014,Office Supplies,Storage,Home Office,South,4,0.2
2015,Office Supplies,Storage,Home Office,South,2,0.4
2016,Office Supplies,Storage,Home Office,South,7,0.6000000000000001
2017,Office Supplies,Storage,Home Office,South,9,1
2014,Office Supplies,Storage,Home Office,West,8,0
2015,Office Supplies,Storage,Home Office,West,6,0
2016,Office Supplies,Storage,Home Office,West,6,0.2
2017,Office Supplies,Storage,Home Office,West,19,0.8
2014,Office Supplies,Supplies,Consumer,Central,2,0.4
2015,Office Supplies,Supplies,Consumer,Central,3,0.6000000000000001
2016,Office Supplies,Supplies,Consumer,Central,6,1
2017,Office Supplies,Supplies,Consumer,Central,9,1.2
2014,Office Supplies,Supplies,Consumer,East,6,0.4
2015,Office Supplies,Supplies,Consumer,East,7,0.8
2016,Office Supplies,Supplies,Consumer,East,12,1
2017,Office Supplies,Supplies,Consumer,East,10,0.6000000000000001
2014,Office Supplies,Supplies,Consumer,South,4,0.4
2015,Office Supplies,Supplies,Consumer,South,1,0.2
2016,Office Supplies,Supplies,Consumer,South,3,0.4
2017,Office Supplies,Supplies,Consumer,South,5,0.6000000000000001
2014,Office Supplies,Supplies,Consumer,West,10,0.6000000000000001
2015,Office Supplies,Supplies,Consumer,West,9,0.2
2016,Office Supplies,Supplies,Consumer,West,4,0
2017,Office Supplies,Supplies,Consumer,West,9,0.6000000000000001
2014,Office Supplies,Supplies,Corporate,Central,2,0.4
2015,Office Supplies,Supplies,Corporate,Central,4,0.6000000000000001
2016,Office Supplies,Supplies,Corporate,Central,2,0.2
2017,Office Supplies,Supplies,Corporate,Central,3,0.4
2014,Office Supplies,Supplies,Corporate,East,1,0
2015,Office Supplies,Supplies,Corporate,East,,
2016,Office Supplies,Supplies,Corporate,East,7,0.2
2017,Office Supplies,Supplies,Corporate,East,6,0.4
2014,Office Supplies,Supplies,Corporate,South,2,0
2015,Office Supplies,Supplies,Corporate,South,1,0.2
2016,Office Supplies,Supplies,Corporate,South,5,0.8
2017,Office Supplies,Supplies,Corporate,South,3,0
2014,Office Supplies,Supplies,Corporate,West,7,0.2
2015,Office Supplies,Supplies,Corporate,West,2,0
2016,Office Supplies,Supplies,Corporate,West,10,0.4
2017,Office Supplies,Supplies,Corporate,West,6,0
2014,Office Supplies,Supplies,Home Office,Central,1,0
2015,Office Supplies,Supplies,Home Office,Central,2,0.2
2016,Office Supplies,Supplies,Home Office,Central,,
2017,Office Supplies,Supplies,Home Office,Central,2,0.2
2014,Office Supplies,Supplies,Home Office,East,2,0.2
2015,Office Supplies,Supplies,Home Office,East,1,0.2
2016,Office Supplies,Supplies,Home Office,East,2,0
2017,Office Supplies,Supplies,Home Office,East,2,0
2014,Office Supplies,Supplies,Home Office,South,1,0.2
2015,Office Supplies,Supplies,Home Office,South,,
2016,Office Supplies,Supplies,Home Office,South,3,0.2
2017,Office Supplies,Supplies,Home Office,South,1,0
2014,Office Supplies,Supplies,Home Office,West,2,0
2015,Office Supplies,Supplies,Home Office,West,1,0.2
2016,Office Supplies,Supplies,Home Office,West,6,0.2
2017,Office Supplies,Supplies,Home Office,West,3,0.2
2014,Technology,Accessories,Consumer,Central,18,3.0000000000000004
2015,Technology,Accessories,Consumer,Central,21,3.2000000000000006
2016,Technology,Accessories,Consumer,Central,25,3.600000000000001
2017,Technology,Accessories,Consumer,Central,37,3.400000000000001
2014,Technology,Accessories,Consumer,East,19,2.1999999999999997
2015,Technology,Accessories,Consumer,East,27,2.6
2016,Technology,Accessories,Consumer,East,21,1.4
2017,Technology,Accessories,Consumer,East,40,3.800000000000001
2014,Technology,Accessories,Consumer,South,13,1
2015,Technology,Accessories,Consumer,South,14,1.4
2016,Technology,Accessories,Consumer,South,21,1.5999999999999999
2017,Technology,Accessories,Consumer,South,22,2.6
2014,Technology,Accessories,Consumer,West,33,1.7999999999999998
2015,Technology,Accessories,Consumer,West,33,1.5999999999999999
2016,Technology,Accessories,Consumer,West,23,0.4
2017,Technology,Accessories,Consumer,West,41,1.4
2014,Technology,Accessories,Corporate,Central,11,1.2
2015,Technology,Accessories,Corporate,Central,9,1.2
2016,Technology,Accessories,Corporate,Central,16,1.7999999999999998
2017,Technology,Accessories,Corporate,Central,15,1.4
2014,Technology,Accessories,Corporate,East,6,0.4
2015,Technology,Accessories,Corporate,East,14,0.8
2016,Technology,Accessories,Corporate,East,11,1
2017,Technology,Accessories,Corporate,East,25,2.6
2014,Technology,Accessories,Corporate,South,10,0.4
2015,Technology,Accessories,Corporate,South,6,0.6000000000000001
2016,Technology,Accessories,Corporate,South,9,0.4
2017,Technology,Accessories,Corporate,South,9,0.6000000000000001
2014,Technology,Accessories,Corporate,West,16,0.2
2015,Technology,Accessories,Corporate,West,13,0.6000000000000001
2016,Technology,Accessories,Corporate,West,24,0.8
2017,Technology,Accessories,Corporate,West,33,1
2014,Technology,Accessories,Home Office,Central,5,0.6000000000000001
2015,Technology,Accessories,Home Office,Central,8,1.2
2016,Technology,Accessories,Home Office,Central,9,1.4
2017,Technology,Accessories,Home Office,Central,9,0.8
2014,Technology,Accessories,Home Office,East,6,0.4
2015,Technology,Accessories,Home Office,East,12,1
2016,Technology,Accessories,Home Office,East,14,1.2
2017,Technology,Accessories,Home Office,East,11,0.2
2014,Technology,Accessories,Home Office,South,5,0.4
2015,Technology,Accessories,Home Office,South,4,0.4
2016,Technology,Accessories,Home Office,South,4,0.8
2017,Technology,Accessories,Home Office,South,11,0.8
2014,Technology,Accessories,Home Office,West,6,0
2015,Technology,Accessories,Home Office,West,5,0
2016,Technology,Accessories,Home Office,West,9,0.4
2017,Technology,Accessories,Home Office,West,22,1.2
2014,Technology,Copiers,Consumer,Central,1,0.2
2015,Technology,Copiers,Consumer,Central,3,0.4
2016,Technology,Copiers,Consumer,Central,,
2017,Technology,Copiers,Consumer,Central,,
2014,Technology,Copiers,Consumer,East,4,1.4
2015,Technology,Copiers,Consumer,East,3,0.6000000000000001
2016,Technology,Copiers,Consumer,East,3,1.2000000000000002
2017,Technology,Copiers,Consumer,East,2,0.4
2014,Technology,Copiers,Consumer,South,1,0.2
2015,Technology,Copiers,Consumer,South,,
2016,Technology,Copiers,Consumer,South,1,0
2017,Technology,Copiers,Consumer,South,2,0.2
2014,Technology,Copiers,Consumer,West,2,0.2
2015,Technology,Copiers,Consumer,West,4,0.8
2016,Technology,Copiers,Consumer,West,4,0.6000000000000001
2017,Technology,Copiers,Consumer,West,5,0.6000000000000001
2014,Technology,Copiers,Corporate,Central,1,0.2
2015,Technology,Copiers,Corporate,Central,4,0.4
2016,Technology,Copiers,Corporate,Central,1,0
2017,Technology,Copiers,Corporate,Central,2,0.4
2014,Technology,Copiers,Corporate,East,,
2015,Technology,Copiers,Corporate,East,,
2016,Technology,Copiers,Corporate,East,3,0.6000000000000001
2017,Technology,Copiers,Corporate,East,1,0.4
2014,Technology,Copiers,Corporate,South,,
2015,Technology,Copiers,Corporate,South,1,0
2016,Technology,Copiers,Corporate,South,1,0.2
2017,Technology,Copiers,Corporate,South,1,0
2014,Technology,Copiers,Corporate,West,,
2015,Technology,Copiers,Corporate,West,2,0.2
2016,Technology,Copiers,Corporate,West,1,0.2
2017,Technology,Copiers,Corporate,West,2,0.4
2014,Technology,Copiers,Home Office,Central,1,0
2015,Technology,Copiers,Home Office,Central,2,0
2016,Technology,Copiers,Home Office,Central,,
2017,Technology,Copiers,Home Office,Central,1,0.2
2014,Technology,Copiers,Home Office,East,,
2015,Technology,Copiers,Home Office,East,1,0.2
2016,Technology,Copiers,Home Office,East,1,0
2017,Technology,Copiers,Home Office,East,2,0.2
2014,Technology,Copiers,Home Office,West,,
2015,Technology,Copiers,Home Office,West,,
2016,Technology,Copiers,Home Office,West,1,0
2017,Technology,Copiers,Home Office,West,4,0.6000000000000001
2014,Technology,Machines,Consumer,Central,3,1.2000000000000002
2015,Technology,Machines,Consumer,Central,3,0.8
2016,Technology,Machines,Consumer,Central,2,0.7
2017,Technology,Machines,Consumer,Central,,
2014,Technology,Machines,Consumer,East,5,1.4
2015,Technology,Machines,Consumer,East,5,1.4
2016,Technology,Machines,Consumer,East,6,2.0999999999999996
2017,Technology,Machines,Consumer,East,3,1.4
2014,Technology,Machines,Consumer,South,3,1
2015,Technology,Machines,Consumer,South,2,0.5
2016,Technology,Machines,Consumer,South,3,0.5
2017,Technology,Machines,Consumer,South,3,1
2014,Technology,Machines,Consumer,West,4,1.3
2015,Technology,Machines,Consumer,West,5,1
2016,Technology,Machines,Consumer,West,7,1.9
2017,Technology,Machines,Consumer,West,3,0.6000000000000001
2014,Technology,Machines,Corporate,Central,3,1.2000000000000002
2015,Technology,Machines,Corporate,Central,1,0.4
2016,Technology,Machines,Corporate,Central,,
2017,Technology,Machines,Corporate,Central,3,0.9
2014,Technology,Machines,Corporate,East,1,0.7
2015,Technology,Machines,Corporate,East,4,1.4
2016,Technology,Machines,Corporate,East,4,1.4
2017,Technology,Machines,Corporate,East,3,0.7
2014,Technology,Machines,Corporate,South,,
2015,Technology,Machines,Corporate,South,,
2016,Technology,Machines,Corporate,South,2,0.5
2017,Technology,Machines,Corporate,South,2,1
2014,Technology,Machines,Corporate,West,1,0.2
2015,Technology,Machines,Corporate,West,2,0.8999999999999999
2016,Technology,Machines,Corporate,West,3,1.1
2017,Technology,Machines,Corporate,West,6,1.7
2014,Technology,Machines,Home Office,Central,1,0.3
2015,Technology,Machines,Home Office,Central,1,0.3
2016,Technology,Machines,Home Office,Central,1,0.3
2017,Technology,Machines,Home Office,Central,3,0.8
2014,Technology,Machines,Home Office,East,2,0
2015,Technology,Machines,Home Office,East,1,0
2016,Technology,Machines,Home Office,East,,
2017,Technology,Machines,Home Office,East,3,0
2014,Technology,Machines,Home Office,South,2,1
2015,Technology,Machines,Home Office,South,,
2016,Technology,Machines,Home Office,South,1,0.5
2017,Technology,Machines,Home Office,South,,
2014,Technology,Machines,Home Office,West,1,0.2
2015,Technology,Machines,Home Office,West,,
2016,Technology,Machines,Home Office,West,3,1.1
2017,Technology,Machines,Home Office,West,4,1.8
2014,Technology,Phones,Consumer,Central,16,2.4
2015,Technology,Phones,Consumer,Central,26,2.6
2016,Technology,Phones,Consumer,Central,35,3.2000000000000006
2017,Technology,Phones,Consumer,Central,28,4.800000000000002
2014,Technology,Phones,Consumer,East,28,4.8
2015,Technology,Phones,Consumer,East,35,4.8
2016,Technology,Phones,Consumer,East,31,4.3999999999999995
2017,Technology,Phones,Consumer,East,46,8.000000000000002
2014,Technology,Phones,Consumer,South,12,0.6000000000000001
2015,Technology,Phones,Consumer,South,19,1.4
2016,Technology,Phones,Consumer,South,17,2.4
2017,Technology,Phones,Consumer,South,20,2.1999999999999997
2014,Technology,Phones,Consumer,West,35,7.0000000000000036
2015,Technology,Phones,Consumer,West,31,6.200000000000003
2016,Technology,Phones,Consumer,West,29,5.8000000000000025
2017,Technology,Phones,Consumer,West,43,8.600000000000001
2014,Technology,Phones,Corporate,Central,6,1
2015,Technology,Phones,Corporate,Central,17,2.4
2016,Technology,Phones,Corporate,Central,18,2.1999999999999997
2017,Technology,Phones,Corporate,Central,12,1.5999999999999999
2014,Technology,Phones,Corporate,East,12,2.4
2015,Technology,Phones,Corporate,East,24,3.1999999999999997
2016,Technology,Phones,Corporate,East,20,3.1999999999999997
2017,Technology,Phones,Corporate,East,31,4.3999999999999995
2014,Technology,Phones,Corporate,South,14,0.8
2015,Technology,Phones,Corporate,South,8,1.2
2016,Technology,Phones,Corporate,South,7,1.4
2017,Technology,Phones,Corporate,South,15,1.5999999999999999
2014,Technology,Phones,Corporate,West,19,3.800000000000001
2015,Technology,Phones,Corporate,West,17,3.400000000000001
2016,Technology,Phones,Corporate,West,21,4.200000000000001
2017,Technology,Phones,Corporate,West,31,6.200000000000003
2014,Technology,Phones,Home Office,Central,7,1
2015,Technology,Phones,Home Office,Central,8,0.8
2016,Technology,Phones,Home Office,Central,9,0.4
2017,Technology,Phones,Home Office,Central,18,1.9999999999999998
2014,Technology,Phones,Home Office,East,3,0
2015,Technology,Phones,Home Office,East,10,1.2000000000000002
2016,Technology,Phones,Home Office,East,13,3.5999999999999996
2017,Technology,Phones,Home Office,East,19,3.5999999999999996
2014,Technology,Phones,Home Office,South,8,0.2
2015,Technology,Phones,Home Office,South,,
2016,Technology,Phones,Home Office,South,8,0.8
2017,Technology,Phones,Home Office,South,12,1.4
2014,Technology,Phones,Home Office,West,11,2.1999999999999997
2015,Technology,Phones,Home Office,West,4,0.8
2016,Technology,Phones,Home Office,West,17,3.400000000000001
2017,Technology,Phones,Home Office,West,19,3.800000000000001
