Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.City,Orders.Country,Orders.Segment,Sum(Orders.Profit),Sum(Orders.Sales)
2017,Office Supplies,Art,El Paso,United States,Consumer,3.9679999999999964,31.744
2014,Office Supplies,Art,Elkhart,United States,Consumer,,
2015,Office Supplies,Art,Elkhart,United States,Consumer,,
2016,Office Supplies,Art,Elkhart,United States,Consumer,,
2017,Office Supplies,Art,Elkhart,United States,Consumer,5.489599999999999,11.68
2014,Office Supplies,Art,Escondido,United States,Consumer,15.642599999999995,53.94
2015,Office Supplies,Art,Escondido,United States,Consumer,,
2016,Office Supplies,Art,Escondido,United States,Consumer,,
2017,Office Supplies,Art,Escondido,United States,Consumer,,
2014,Office Supplies,Art,Escondido,United States,Home Office,,
2015,Office Supplies,Art,Escondido,United States,Home Office,,
2016,Office Supplies,Art,Escondido,United States,Home Office,,
2017,Office Supplies,Art,Escondido,United States,Home Office,6.073599999999999,23.36
2014,Office Supplies,Art,Everett,United States,Consumer,,
2015,Office Supplies,Art,Everett,United States,Consumer,,
2016,Office Supplies,Art,Everett,United States,Consumer,,
2017,Office Supplies,Art,Everett,United States,Consumer,20.7752,67.22
2014,Office Supplies,Art,Fairfield,United States,Corporate,,
2015,Office Supplies,Art,Fairfield,United States,Corporate,,
2016,Office Supplies,Art,Fairfield,United States,Corporate,0.30700000000000016,4.912
2017,Office Supplies,Art,Fairfield,United States,Corporate,,
2014,Office Supplies,Art,Fargo,United States,Consumer,,
2015,Office Supplies,Art,Fargo,United States,Consumer,,
2016,Office Supplies,Art,Fargo,United States,Consumer,,
2017,Office Supplies,Art,Fargo,United States,Consumer,51.0132,179.36
2014,Office Supplies,Art,Fargo,United States,Home Office,,
2015,Office Supplies,Art,Fargo,United States,Home Office,,
2016,Office Supplies,Art,Fargo,United States,Home Office,,
2017,Office Supplies,Art,Fargo,United States,Home Office,0.8679999999999999,2.48
2014,Office Supplies,Art,Fayetteville,United States,Consumer,,
2015,Office Supplies,Art,Fayetteville,United States,Consumer,1.1555999999999984,10.272000000000002
2016,Office Supplies,Art,Fayetteville,United States,Consumer,5.3703,19.89
2017,Office Supplies,Art,Fayetteville,United States,Consumer,,
2014,Office Supplies,Art,Florence,United States,Corporate,,
2015,Office Supplies,Art,Florence,United States,Corporate,18.2472,53.28
2016,Office Supplies,Art,Florence,United States,Corporate,,
2017,Office Supplies,Art,Florence,United States,Corporate,,
2014,Office Supplies,Art,Fort Worth,United States,Corporate,,
2015,Office Supplies,Art,Fort Worth,United States,Corporate,0.7347999999999992,5.344
2016,Office Supplies,Art,Fort Worth,United States,Corporate,0.8162000000000007,9.328000000000001
2017,Office Supplies,Art,Fort Worth,United States,Corporate,,
2014,Office Supplies,Art,Franklin,United States,Consumer,,
2015,Office Supplies,Art,Franklin,United States,Consumer,3.378499999999999,11.65
2016,Office Supplies,Art,Franklin,United States,Consumer,,
2017,Office Supplies,Art,Franklin,United States,Consumer,,
2014,Office Supplies,Art,Franklin,United States,Home Office,,
2015,Office Supplies,Art,Franklin,United States,Home Office,0.31679999999999986,2.8160000000000003
2016,Office Supplies,Art,Franklin,United States,Home Office,,
2017,Office Supplies,Art,Franklin,United States,Home Office,,
2014,Office Supplies,Art,Freeport,United States,Consumer,,
2015,Office Supplies,Art,Freeport,United States,Consumer,14.345999999999995,47.82
2016,Office Supplies,Art,Freeport,United States,Consumer,,
2017,Office Supplies,Art,Freeport,United States,Consumer,,
2014,Office Supplies,Art,Fremont,United States,Corporate,,
2015,Office Supplies,Art,Fremont,United States,Corporate,,
2016,Office Supplies,Art,Fremont,United States,Corporate,5.0596,19.459999999999997
2017,Office Supplies,Art,Fremont,United States,Corporate,,
2014,Office Supplies,Art,Fresno,United States,Consumer,,
2015,Office Supplies,Art,Fresno,United States,Consumer,,
2016,Office Supplies,Art,Fresno,United States,Consumer,,
2017,Office Supplies,Art,Fresno,United States,Consumer,4.4856,16.02
2014,Office Supplies,Art,Garden City,United States,Consumer,,
2015,Office Supplies,Art,Garden City,United States,Consumer,1.7279999999999998,5.76
2016,Office Supplies,Art,Garden City,United States,Consumer,,
2017,Office Supplies,Art,Garden City,United States,Consumer,,
2014,Office Supplies,Art,Garland,United States,Home Office,,
2015,Office Supplies,Art,Garland,United States,Home Office,,
2016,Office Supplies,Art,Garland,United States,Home Office,,
2017,Office Supplies,Art,Garland,United States,Home Office,3.7979999999999947,30.384
2014,Office Supplies,Art,Georgetown,United States,Consumer,,
2015,Office Supplies,Art,Georgetown,United States,Consumer,,
2016,Office Supplies,Art,Georgetown,United States,Consumer,2.5343999999999998,5.28
2017,Office Supplies,Art,Georgetown,United States,Consumer,,
2014,Office Supplies,Art,Gilbert,United States,Corporate,111.30239999999998,1113.0240000000001
2015,Office Supplies,Art,Gilbert,United States,Corporate,,
2016,Office Supplies,Art,Gilbert,United States,Corporate,,
2017,Office Supplies,Art,Gilbert,United States,Corporate,,
2014,Office Supplies,Art,Grapevine,United States,Corporate,,
2015,Office Supplies,Art,Grapevine,United States,Corporate,,
2016,Office Supplies,Art,Grapevine,United States,Corporate,5.860399999999997,33.48800000000001
2017,Office Supplies,Art,Grapevine,United States,Corporate,,
2014,Office Supplies,Art,Greensboro,United States,Consumer,,
2015,Office Supplies,Art,Greensboro,United States,Consumer,,
2016,Office Supplies,Art,Greensboro,United States,Consumer,,
2017,Office Supplies,Art,Greensboro,United States,Consumer,2.4581999999999997,32.776
2014,Office Supplies,Art,Greensboro,United States,Corporate,,
2015,Office Supplies,Art,Greensboro,United States,Corporate,8.084999999999997,64.68
2016,Office Supplies,Art,Greensboro,United States,Corporate,,
2017,Office Supplies,Art,Greensboro,United States,Corporate,,
2014,Office Supplies,Art,Hamilton,United States,Consumer,2.7914000000000003,13.456
2015,Office Supplies,Art,Hamilton,United States,Consumer,,
2016,Office Supplies,Art,Hamilton,United States,Consumer,,
2017,Office Supplies,Art,Hamilton,United States,Consumer,,
2014,Office Supplies,Art,Hampton,United States,Consumer,,
2015,Office Supplies,Art,Hampton,United States,Consumer,86.73299999999996,293.75999999999993
2016,Office Supplies,Art,Hampton,United States,Consumer,,
2017,Office Supplies,Art,Hampton,United States,Consumer,,
2014,Office Supplies,Art,Harlingen,United States,Consumer,,
2015,Office Supplies,Art,Harlingen,United States,Consumer,,
2016,Office Supplies,Art,Harlingen,United States,Consumer,16.373699999999992,145.544
2017,Office Supplies,Art,Harlingen,United States,Consumer,,
2014,Office Supplies,Art,Hempstead,United States,Consumer,10.499999999999996,35
2015,Office Supplies,Art,Hempstead,United States,Consumer,,
2016,Office Supplies,Art,Hempstead,United States,Consumer,,
2017,Office Supplies,Art,Hempstead,United States,Consumer,,
2014,Office Supplies,Art,Henderson,United States,Consumer,,
2015,Office Supplies,Art,Henderson,United States,Consumer,11.1176,42.76
2016,Office Supplies,Art,Henderson,United States,Consumer,4.699799999999999,16.73
2017,Office Supplies,Art,Henderson,United States,Consumer,,
2014,Office Supplies,Art,Henderson,United States,Home Office,1.4796000000000005,5.48
2015,Office Supplies,Art,Henderson,United States,Home Office,,
2016,Office Supplies,Art,Henderson,United States,Home Office,,
2017,Office Supplies,Art,Henderson,United States,Home Office,,
2014,Office Supplies,Art,Hendersonville,United States,Consumer,,
2015,Office Supplies,Art,Hendersonville,United States,Consumer,,
2016,Office Supplies,Art,Hendersonville,United States,Consumer,,
2017,Office Supplies,Art,Hendersonville,United States,Consumer,1.0730999999999993,12.264
2014,Office Supplies,Art,Hialeah,United States,Consumer,,
2015,Office Supplies,Art,Hialeah,United States,Consumer,,
2016,Office Supplies,Art,Hialeah,United States,Consumer,5.0336,30.976
2017,Office Supplies,Art,Hialeah,United States,Consumer,,
2014,Office Supplies,Art,Hoover,United States,Corporate,,
2015,Office Supplies,Art,Hoover,United States,Corporate,,
2016,Office Supplies,Art,Hoover,United States,Corporate,,
2017,Office Supplies,Art,Hoover,United States,Corporate,4.1769,15.469999999999999
2014,Office Supplies,Art,Houston,United States,Consumer,10.602000000000007,108.088
2015,Office Supplies,Art,Houston,United States,Consumer,11.133999999999999,69.12799999999999
2016,Office Supplies,Art,Houston,United States,Consumer,16.097999999999985,176.25600000000003
2017,Office Supplies,Art,Houston,United States,Consumer,23.989399999999996,145.384
2014,Office Supplies,Art,Houston,United States,Corporate,0.33399999999999974,2.672
2015,Office Supplies,Art,Houston,United States,Corporate,6.224399999999996,55.328
2016,Office Supplies,Art,Houston,United States,Corporate,0.504,1.344
2017,Office Supplies,Art,Houston,United States,Corporate,2.127999999999999,12.160000000000002
2014,Office Supplies,Art,Houston,United States,Home Office,4.098899999999999,28.104
2015,Office Supplies,Art,Houston,United States,Home Office,,
2016,Office Supplies,Art,Houston,United States,Home Office,3.9423999999999997,11.264000000000001
2017,Office Supplies,Art,Houston,United States,Home Office,56.8554,193.368
2014,Office Supplies,Art,Huntington Beach,United States,Consumer,,
2015,Office Supplies,Art,Huntington Beach,United States,Consumer,,
2016,Office Supplies,Art,Huntington Beach,United States,Consumer,,
2017,Office Supplies,Art,Huntington Beach,United States,Consumer,25.898399999999995,95.92
2014,Office Supplies,Art,Huntington Beach,United States,Corporate,1.2506,3.38
2015,Office Supplies,Art,Huntington Beach,United States,Corporate,,
2016,Office Supplies,Art,Huntington Beach,United States,Corporate,,
2017,Office Supplies,Art,Huntington Beach,United States,Corporate,,
2014,Office Supplies,Art,Huntsville,United States,Consumer,,
2015,Office Supplies,Art,Huntsville,United States,Consumer,,
2016,Office Supplies,Art,Huntsville,United States,Consumer,,
2017,Office Supplies,Art,Huntsville,United States,Consumer,2.228799999999999,12.736
2014,Office Supplies,Art,Huntsville,United States,Corporate,,
2015,Office Supplies,Art,Huntsville,United States,Corporate,5.476800000000001,19.56
2016,Office Supplies,Art,Huntsville,United States,Corporate,59.11499999999998,197.04999999999998
2017,Office Supplies,Art,Huntsville,United States,Corporate,,
2014,Office Supplies,Art,Huntsville,United States,Home Office,6.157200000000003,70.368
2015,Office Supplies,Art,Huntsville,United States,Home Office,,
2016,Office Supplies,Art,Huntsville,United States,Home Office,,
2017,Office Supplies,Art,Huntsville,United States,Home Office,,
2014,Office Supplies,Art,Indianapolis,United States,Consumer,,
2015,Office Supplies,Art,Indianapolis,United States,Consumer,8.268799999999999,24.32
2016,Office Supplies,Art,Indianapolis,United States,Consumer,,
2017,Office Supplies,Art,Indianapolis,United States,Consumer,,
2014,Office Supplies,Art,Indianapolis,United States,Corporate,,
2015,Office Supplies,Art,Indianapolis,United States,Corporate,35.260400000000004,125.92999999999999
2016,Office Supplies,Art,Indianapolis,United States,Corporate,,
2017,Office Supplies,Art,Indianapolis,United States,Corporate,,
2014,Office Supplies,Art,Inglewood,United States,Corporate,,
2015,Office Supplies,Art,Inglewood,United States,Corporate,,
2016,Office Supplies,Art,Inglewood,United States,Corporate,,
2017,Office Supplies,Art,Inglewood,United States,Corporate,1.5548000000000002,5.98
2014,Office Supplies,Art,Jackson,United States,Consumer,,
2015,Office Supplies,Art,Jackson,United States,Consumer,,
2016,Office Supplies,Art,Jackson,United States,Consumer,118.87440000000001,450.06
2017,Office Supplies,Art,Jackson,United States,Consumer,4.593399999999997,32.856
2014,Office Supplies,Art,Jackson,United States,Corporate,45.57599999999998,151.92
2015,Office Supplies,Art,Jackson,United States,Corporate,17.285000000000004,60.199999999999996
2016,Office Supplies,Art,Jackson,United States,Corporate,3.7529999999999997,13.899999999999999
2017,Office Supplies,Art,Jackson,United States,Corporate,,
2014,Office Supplies,Art,Jackson,United States,Home Office,,
2015,Office Supplies,Art,Jackson,United States,Home Office,1.0192,3.64
2016,Office Supplies,Art,Jackson,United States,Home Office,31.531200000000002,114.19999999999999
2017,Office Supplies,Art,Jackson,United States,Home Office,,
2014,Office Supplies,Art,Jacksonville,United States,Consumer,,
2015,Office Supplies,Art,Jacksonville,United States,Consumer,1.1679999999999997,9.344
2016,Office Supplies,Art,Jacksonville,United States,Consumer,9.577200000000001,66.096
2017,Office Supplies,Art,Jacksonville,United States,Consumer,1.4942,8.815999999999999
2014,Office Supplies,Art,Jacksonville,United States,Corporate,0.9855999999999999,2.8160000000000003
2015,Office Supplies,Art,Jacksonville,United States,Corporate,,
2016,Office Supplies,Art,Jacksonville,United States,Corporate,1.0075999999999996,10.016
2017,Office Supplies,Art,Jacksonville,United States,Corporate,1.3584,13.584000000000001
2014,Office Supplies,Art,Jacksonville,United States,Home Office,1.0019999999999993,8.016
2015,Office Supplies,Art,Jacksonville,United States,Home Office,,
2016,Office Supplies,Art,Jacksonville,United States,Home Office,,
2017,Office Supplies,Art,Jacksonville,United States,Home Office,1.2192000000000007,16.256
2014,Office Supplies,Art,Johnson City,United States,Consumer,0.47519999999999984,4.224
2015,Office Supplies,Art,Johnson City,United States,Consumer,,
2016,Office Supplies,Art,Johnson City,United States,Consumer,,
2017,Office Supplies,Art,Johnson City,United States,Consumer,,
2014,Office Supplies,Art,Jonesboro,United States,Consumer,8.448499999999997,29.589999999999996
2015,Office Supplies,Art,Jonesboro,United States,Consumer,,
2016,Office Supplies,Art,Jonesboro,United States,Consumer,,
2017,Office Supplies,Art,Jonesboro,United States,Consumer,,
2014,Office Supplies,Art,Jupiter,United States,Consumer,,
2015,Office Supplies,Art,Jupiter,United States,Consumer,,
2016,Office Supplies,Art,Jupiter,United States,Consumer,,
2017,Office Supplies,Art,Jupiter,United States,Consumer,0.15480000000000005,2.064
2014,Office Supplies,Art,Kenosha,United States,Consumer,,
2015,Office Supplies,Art,Kenosha,United States,Consumer,4.494,14.98
2016,Office Supplies,Art,Kenosha,United States,Consumer,,
2017,Office Supplies,Art,Kenosha,United States,Consumer,,
2014,Office Supplies,Art,Kent,United States,Consumer,,
2015,Office Supplies,Art,Kent,United States,Consumer,,
2016,Office Supplies,Art,Kent,United States,Consumer,,
2017,Office Supplies,Art,Kent,United States,Consumer,1.7519999999999998,14.015999999999998
2014,Office Supplies,Art,Knoxville,United States,Consumer,,
2015,Office Supplies,Art,Knoxville,United States,Consumer,,
2016,Office Supplies,Art,Knoxville,United States,Consumer,8.744400000000002,36.448
2017,Office Supplies,Art,Knoxville,United States,Consumer,7.1960000000000015,71.96
2014,Office Supplies,Art,Knoxville,United States,Corporate,0.3822000000000001,4.368
2015,Office Supplies,Art,Knoxville,United States,Corporate,,
2016,Office Supplies,Art,Knoxville,United States,Corporate,,
2017,Office Supplies,Art,Knoxville,United States,Corporate,,
2014,Office Supplies,Art,La Crosse,United States,Corporate,,
2015,Office Supplies,Art,La Crosse,United States,Corporate,,
2016,Office Supplies,Art,La Crosse,United States,Corporate,1.0335999999999999,3.04
2017,Office Supplies,Art,La Crosse,United States,Corporate,,
2014,Office Supplies,Art,La Porte,United States,Corporate,,
2015,Office Supplies,Art,La Porte,United States,Corporate,,
2016,Office Supplies,Art,La Porte,United States,Corporate,5.5566,20.58
2017,Office Supplies,Art,La Porte,United States,Corporate,,
2014,Office Supplies,Art,Lafayette,United States,Consumer,,
2015,Office Supplies,Art,Lafayette,United States,Consumer,,
2016,Office Supplies,Art,Lafayette,United States,Consumer,21.227999999999998,73.2
2017,Office Supplies,Art,Lafayette,United States,Consumer,,
2014,Office Supplies,Art,Lafayette,United States,Corporate,,
2015,Office Supplies,Art,Lafayette,United States,Corporate,,
2016,Office Supplies,Art,Lafayette,United States,Corporate,15.714799999999999,55.36
2017,Office Supplies,Art,Lafayette,United States,Corporate,,
2014,Office Supplies,Art,Lakeland,United States,Consumer,,
2015,Office Supplies,Art,Lakeland,United States,Consumer,2.271199999999999,10.688
2016,Office Supplies,Art,Lakeland,United States,Consumer,,
2017,Office Supplies,Art,Lakeland,United States,Consumer,,
2014,Office Supplies,Art,Lakeland,United States,Corporate,,
2015,Office Supplies,Art,Lakeland,United States,Corporate,7.595999999999989,60.768
2016,Office Supplies,Art,Lakeland,United States,Corporate,,
2017,Office Supplies,Art,Lakeland,United States,Corporate,,
2014,Office Supplies,Art,Lakeville,United States,Consumer,5.707199999999998,19.68
2015,Office Supplies,Art,Lakeville,United States,Consumer,,
2016,Office Supplies,Art,Lakeville,United States,Consumer,,
2017,Office Supplies,Art,Lakeville,United States,Consumer,9.680000000000001,22
2014,Office Supplies,Art,Lakewood,United States,Consumer,1.0903999999999998,3.76
2015,Office Supplies,Art,Lakewood,United States,Consumer,6.253,16.9
2016,Office Supplies,Art,Lakewood,United States,Consumer,,
2017,Office Supplies,Art,Lakewood,United States,Consumer,,
2014,Office Supplies,Art,Lakewood,United States,Corporate,,
2015,Office Supplies,Art,Lakewood,United States,Corporate,,
2016,Office Supplies,Art,Lakewood,United States,Corporate,,
2017,Office Supplies,Art,Lakewood,United States,Corporate,11.912800000000002,67.53200000000001
2014,Office Supplies,Art,Lakewood,United States,Home Office,84.89489999999996,293.112
2015,Office Supplies,Art,Lakewood,United States,Home Office,,
2016,Office Supplies,Art,Lakewood,United States,Home Office,,
2017,Office Supplies,Art,Lakewood,United States,Home Office,,
2014,Office Supplies,Art,Lancaster,United States,Home Office,2.6964000000000006,30.816000000000003
2015,Office Supplies,Art,Lancaster,United States,Home Office,,
2016,Office Supplies,Art,Lancaster,United States,Home Office,,
2017,Office Supplies,Art,Lancaster,United States,Home Office,,
2014,Office Supplies,Art,Laredo,United States,Consumer,1.1679999999999997,9.344
2015,Office Supplies,Art,Laredo,United States,Consumer,,
2016,Office Supplies,Art,Laredo,United States,Consumer,1.1904000000000003,15.872
2017,Office Supplies,Art,Laredo,United States,Consumer,,
2014,Office Supplies,Art,Las Cruces,United States,Home Office,,
2015,Office Supplies,Art,Las Cruces,United States,Home Office,3.4776,8.28
2016,Office Supplies,Art,Las Cruces,United States,Home Office,,
2017,Office Supplies,Art,Las Cruces,United States,Home Office,,
2014,Office Supplies,Art,Lawrence,United States,Consumer,2.5056,8.64
2015,Office Supplies,Art,Lawrence,United States,Consumer,16.811999999999998,50.58
2016,Office Supplies,Art,Lawrence,United States,Consumer,,
2017,Office Supplies,Art,Lawrence,United States,Consumer,,
2014,Office Supplies,Art,Lawrence,United States,Corporate,,
2015,Office Supplies,Art,Lawrence,United States,Corporate,2.0039999999999996,6.68
2016,Office Supplies,Art,Lawrence,United States,Corporate,,
2017,Office Supplies,Art,Lawrence,United States,Corporate,3.7200000000000006,14.88
2014,Office Supplies,Art,Lawrence,United States,Home Office,,
2015,Office Supplies,Art,Lawrence,United States,Home Office,,
2016,Office Supplies,Art,Lawrence,United States,Home Office,16.268800000000002,39.68
2017,Office Supplies,Art,Lawrence,United States,Home Office,,
2014,Office Supplies,Art,Lawton,United States,Consumer,1.6896,3.52
2015,Office Supplies,Art,Lawton,United States,Consumer,,
2016,Office Supplies,Art,Lawton,United States,Consumer,,
2017,Office Supplies,Art,Lawton,United States,Consumer,,
2014,Office Supplies,Art,League City,United States,Consumer,,
2015,Office Supplies,Art,League City,United States,Consumer,,
2016,Office Supplies,Art,League City,United States,Consumer,,
2017,Office Supplies,Art,League City,United States,Consumer,5.875099999999996,67.144
2014,Office Supplies,Art,League City,United States,Home Office,3.9003999999999985,22.288
2015,Office Supplies,Art,League City,United States,Home Office,,
2016,Office Supplies,Art,League City,United States,Home Office,,
2017,Office Supplies,Art,League City,United States,Home Office,,
2014,Office Supplies,Art,Lincoln Park,United States,Corporate,,
2015,Office Supplies,Art,Lincoln Park,United States,Corporate,7.537099999999999,25.99
2016,Office Supplies,Art,Lincoln Park,United States,Corporate,,
2017,Office Supplies,Art,Lincoln Park,United States,Corporate,,
2014,Office Supplies,Art,Little Rock,United States,Consumer,,
2015,Office Supplies,Art,Little Rock,United States,Consumer,,
2016,Office Supplies,Art,Little Rock,United States,Consumer,4.3524,11.16
2017,Office Supplies,Art,Little Rock,United States,Consumer,4.141599999999999,13.36
2014,Office Supplies,Art,Lodi,United States,Corporate,16.268800000000002,39.68
2015,Office Supplies,Art,Lodi,United States,Corporate,,
2016,Office Supplies,Art,Lodi,United States,Corporate,,
2017,Office Supplies,Art,Lodi,United States,Corporate,,
2014,Office Supplies,Art,Long Beach,United States,Consumer,20.853,49.65
2015,Office Supplies,Art,Long Beach,United States,Consumer,,
2016,Office Supplies,Art,Long Beach,United States,Consumer,1.6703999999999999,5.76
2017,Office Supplies,Art,Long Beach,United States,Consumer,31.689600000000002,116.48000000000002
2014,Office Supplies,Art,Long Beach,United States,Corporate,0.7938000000000001,2.94
2015,Office Supplies,Art,Long Beach,United States,Corporate,,
2016,Office Supplies,Art,Long Beach,United States,Corporate,,
2017,Office Supplies,Art,Long Beach,United States,Corporate,,
2014,Office Supplies,Art,Los Angeles,United States,Consumer,47.627300000000005,155.6
2015,Office Supplies,Art,Los Angeles,United States,Consumer,88.84440000000001,321.04999999999995
2016,Office Supplies,Art,Los Angeles,United States,Consumer,50.9196,171.45
2017,Office Supplies,Art,Los Angeles,United States,Consumer,143.6282,501.80999999999995
2014,Office Supplies,Art,Los Angeles,United States,Corporate,37.3236,130.26
2015,Office Supplies,Art,Los Angeles,United States,Corporate,5.489599999999999,11.68
2016,Office Supplies,Art,Los Angeles,United States,Corporate,44.4434,150.81
2017,Office Supplies,Art,Los Angeles,United States,Corporate,26.4234,83.13999999999999
2014,Office Supplies,Art,Los Angeles,United States,Home Office,46.2836,155.74
2015,Office Supplies,Art,Los Angeles,United States,Home Office,24.183600000000002,82.47999999999999
2016,Office Supplies,Art,Los Angeles,United States,Home Office,5.2332,18.689999999999998
2017,Office Supplies,Art,Los Angeles,United States,Home Office,12.462799999999998,45.400000000000006
2014,Office Supplies,Art,Louisville,United States,Consumer,46.2926,178.342
2015,Office Supplies,Art,Louisville,United States,Consumer,,
2016,Office Supplies,Art,Louisville,United States,Consumer,,
2017,Office Supplies,Art,Louisville,United States,Consumer,10.028199999999998,34.58
2014,Office Supplies,Art,Louisville,United States,Corporate,,
2015,Office Supplies,Art,Louisville,United States,Corporate,0.5992000000000002,6.848000000000001
2016,Office Supplies,Art,Louisville,United States,Corporate,,
2017,Office Supplies,Art,Louisville,United States,Corporate,,
2014,Office Supplies,Art,Lowell,United States,Consumer,,
2015,Office Supplies,Art,Lowell,United States,Consumer,,
2016,Office Supplies,Art,Lowell,United States,Consumer,,
2017,Office Supplies,Art,Lowell,United States,Consumer,7.2468,20.520000000000003
2014,Office Supplies,Art,Madison,United States,Consumer,12.592800000000004,46.64
2015,Office Supplies,Art,Madison,United States,Consumer,,
2016,Office Supplies,Art,Madison,United States,Consumer,,
2017,Office Supplies,Art,Madison,United States,Consumer,,
2014,Office Supplies,Art,Malden,United States,Consumer,,
2015,Office Supplies,Art,Malden,United States,Consumer,,
2016,Office Supplies,Art,Malden,United States,Consumer,10.3168,39.68
2017,Office Supplies,Art,Malden,United States,Consumer,,
2014,Office Supplies,Art,Manchester,United States,Consumer,,
2015,Office Supplies,Art,Manchester,United States,Consumer,,
2016,Office Supplies,Art,Manchester,United States,Consumer,,
2017,Office Supplies,Art,Manchester,United States,Consumer,48.80640000000001,119.03999999999999
2014,Office Supplies,Art,Margate,United States,Consumer,2.332799999999999,15.552000000000003
2015,Office Supplies,Art,Margate,United States,Consumer,,
2016,Office Supplies,Art,Margate,United States,Consumer,,
2017,Office Supplies,Art,Margate,United States,Consumer,,
2014,Office Supplies,Art,Marion,United States,Consumer,0.2951999999999996,2.624
2015,Office Supplies,Art,Marion,United States,Consumer,4.671999999999999,37.376
2016,Office Supplies,Art,Marion,United States,Consumer,,
2017,Office Supplies,Art,Marion,United States,Consumer,,
2014,Office Supplies,Art,Marysville,United States,Consumer,,
2015,Office Supplies,Art,Marysville,United States,Consumer,,
2016,Office Supplies,Art,Marysville,United States,Consumer,2.3814,8.82
2017,Office Supplies,Art,Marysville,United States,Consumer,,
2014,Office Supplies,Art,Mcallen,United States,Consumer,,
2015,Office Supplies,Art,Mcallen,United States,Consumer,,
2016,Office Supplies,Art,Mcallen,United States,Consumer,15.726600000000008,180.368
2017,Office Supplies,Art,Mcallen,United States,Consumer,,
2014,Office Supplies,Art,Mcallen,United States,Corporate,,
2015,Office Supplies,Art,Mcallen,United States,Corporate,7.3913999999999955,82.224
2016,Office Supplies,Art,Mcallen,United States,Corporate,,
2017,Office Supplies,Art,Mcallen,United States,Corporate,,
2014,Office Supplies,Art,Meriden,United States,Consumer,6.205999999999998,21.400000000000002
2015,Office Supplies,Art,Meriden,United States,Consumer,2.2109999999999994,6.7
2016,Office Supplies,Art,Meriden,United States,Consumer,,
2017,Office Supplies,Art,Meriden,United States,Consumer,,
2014,Office Supplies,Art,Meriden,United States,Corporate,2.0064,4.56
2015,Office Supplies,Art,Meriden,United States,Corporate,,
2016,Office Supplies,Art,Meriden,United States,Corporate,,
2017,Office Supplies,Art,Meriden,United States,Corporate,,
2014,Office Supplies,Art,Meriden,United States,Home Office,,
2015,Office Supplies,Art,Meriden,United States,Home Office,,
2016,Office Supplies,Art,Meriden,United States,Home Office,,
2017,Office Supplies,Art,Meriden,United States,Home Office,2.8911999999999995,11.12
2014,Office Supplies,Art,Miami,United States,Consumer,,
2015,Office Supplies,Art,Miami,United States,Consumer,7.475199999999999,37.376
2016,Office Supplies,Art,Miami,United States,Consumer,,
2017,Office Supplies,Art,Miami,United States,Consumer,,
2014,Office Supplies,Art,Miami,United States,Corporate,,
2015,Office Supplies,Art,Miami,United States,Corporate,3.5784,13.632
2016,Office Supplies,Art,Miami,United States,Corporate,,
2017,Office Supplies,Art,Miami,United States,Corporate,4.196499999999995,47.96
2014,Office Supplies,Art,Miami,United States,Home Office,4.196499999999995,47.96
2015,Office Supplies,Art,Miami,United States,Home Office,,
2016,Office Supplies,Art,Miami,United States,Home Office,,
2017,Office Supplies,Art,Miami,United States,Home Office,,
2014,Office Supplies,Art,Midland,United States,Consumer,1.521,3.9
2015,Office Supplies,Art,Midland,United States,Consumer,,
2016,Office Supplies,Art,Midland,United States,Consumer,,
2017,Office Supplies,Art,Midland,United States,Consumer,,
2014,Office Supplies,Art,Milford,United States,Consumer,,
2015,Office Supplies,Art,Milford,United States,Consumer,,
2016,Office Supplies,Art,Milford,United States,Consumer,4.4891999999999985,15.48
2017,Office Supplies,Art,Milford,United States,Consumer,,
2014,Office Supplies,Art,Milwaukee,United States,Consumer,,
2015,Office Supplies,Art,Milwaukee,United States,Consumer,16.17,57.75
2016,Office Supplies,Art,Milwaukee,United States,Consumer,,
2017,Office Supplies,Art,Milwaukee,United States,Consumer,,
2014,Office Supplies,Art,Minneapolis,United States,Home Office,,
2015,Office Supplies,Art,Minneapolis,United States,Home Office,,
2016,Office Supplies,Art,Minneapolis,United States,Home Office,,
2017,Office Supplies,Art,Minneapolis,United States,Home Office,3.6139999999999994,13.899999999999999
2014,Office Supplies,Art,Mobile,United States,Consumer,,
2015,Office Supplies,Art,Mobile,United States,Consumer,,
2016,Office Supplies,Art,Mobile,United States,Consumer,7.775999999999999,25.919999999999998
2017,Office Supplies,Art,Mobile,United States,Consumer,,
2014,Office Supplies,Art,Monroe,United States,Consumer,,
2015,Office Supplies,Art,Monroe,United States,Consumer,15.764000000000003,56.3
2016,Office Supplies,Art,Monroe,United States,Consumer,,
2017,Office Supplies,Art,Monroe,United States,Consumer,,
2014,Office Supplies,Art,Montgomery,United States,Consumer,3.9609,14.669999999999998
2015,Office Supplies,Art,Montgomery,United States,Consumer,,
2016,Office Supplies,Art,Montgomery,United States,Consumer,,
2017,Office Supplies,Art,Montgomery,United States,Consumer,,
2014,Office Supplies,Art,Morgan Hill,United States,Consumer,,
2015,Office Supplies,Art,Morgan Hill,United States,Consumer,,
2016,Office Supplies,Art,Morgan Hill,United States,Consumer,5.918400000000002,21.92
2017,Office Supplies,Art,Morgan Hill,United States,Consumer,,
2014,Office Supplies,Art,Morristown,United States,Consumer,,
2015,Office Supplies,Art,Morristown,United States,Consumer,4.485,17.94
