Retail Orders.Category,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Retail Orders.Sales)
Technology,2021,Qtr 3,August,22,
Furniture,2021,Qtr 3,August,23,555.312
Office Supplies,2021,Qtr 3,August,23,2126.056
Technology,2021,Qtr 3,August,23,1505.98
Furniture,2021,Qtr 3,August,26,3262.232
Office Supplies,2021,Qtr 3,August,26,383.238
Technology,2021,Qtr 3,August,26,1228.828
Furniture,2021,Qtr 3,August,27,244.615
Office Supplies,2021,Qtr 3,August,27,463.326
Technology,2021,Qtr 3,August,27,59.97
Furniture,2021,Qtr 3,August,28,156.3728
Office Supplies,2021,Qtr 3,August,28,57.076
Technology,2021,Qtr 3,August,28,108.576
Furniture,2021,Qtr 3,August,29,405.8
Office Supplies,2021,Qtr 3,August,29,108.412
Technology,2021,Qtr 3,August,29,117.976
Furniture,2021,Qtr 3,August,30,833.784
Office Supplies,2021,Qtr 3,August,30,192.228
Technology,2021,Qtr 3,August,30,630.858
Furniture,2021,Qtr 3,August,31,
Office Supplies,2021,Qtr 3,August,31,23.968
Technology,2021,Qtr 3,August,31,
Furniture,2021,Qtr 3,September,1,15.168
Office Supplies,2021,Qtr 3,September,1,
Technology,2021,Qtr 3,September,1,727.878
Furniture,2021,Qtr 3,September,2,
Office Supplies,2021,Qtr 3,September,2,
Technology,2021,Qtr 3,September,2,121.83
Furniture,2021,Qtr 3,September,3,354.9
Office Supplies,2021,Qtr 3,September,3,80.95
Technology,2021,Qtr 3,September,3,199.75
Furniture,2021,Qtr 3,September,4,556.665
Office Supplies,2021,Qtr 3,September,4,40.632
Technology,2021,Qtr 3,September,4,517.9
Furniture,2021,Qtr 3,September,5,
Office Supplies,2021,Qtr 3,September,5,1170.396
Technology,2021,Qtr 3,September,5,113.116
Furniture,2021,Qtr 3,September,6,815.292
Office Supplies,2021,Qtr 3,September,6,
Technology,2021,Qtr 3,September,6,873.18
Furniture,2021,Qtr 3,September,7,573.286
Office Supplies,2021,Qtr 3,September,7,
Technology,2021,Qtr 3,September,7,
Furniture,2021,Qtr 3,September,8,
Office Supplies,2021,Qtr 3,September,8,616.57
Technology,2021,Qtr 3,September,8,44.784
Furniture,2021,Qtr 3,September,9,15.008
Office Supplies,2021,Qtr 3,September,9,69.984
Technology,2021,Qtr 3,September,9,
Furniture,2021,Qtr 3,September,10,502.4
Office Supplies,2021,Qtr 3,September,10,20.544
Technology,2021,Qtr 3,September,10,23.976
Furniture,2021,Qtr 3,September,11,
Office Supplies,2021,Qtr 3,September,11,
Technology,2021,Qtr 3,September,11,479.97
Furniture,2021,Qtr 3,September,12,1136.834
Office Supplies,2021,Qtr 3,September,12,588.049
Technology,2021,Qtr 3,September,12,130.6
Furniture,2021,Qtr 3,September,13,1336.44
Office Supplies,2021,Qtr 3,September,13,858.37
Technology,2021,Qtr 3,September,13,179.92
Furniture,2021,Qtr 3,September,14,
Office Supplies,2021,Qtr 3,September,14,699.488
Technology,2021,Qtr 3,September,14,437.85
Furniture,2021,Qtr 3,September,15,1128.39
Office Supplies,2021,Qtr 3,September,15,972.792
Technology,2021,Qtr 3,September,15,
Furniture,2021,Qtr 3,September,16,395.446
Office Supplies,2021,Qtr 3,September,16,30.44
Technology,2021,Qtr 3,September,16,
Furniture,2021,Qtr 3,September,17,430.008
Office Supplies,2021,Qtr 3,September,17,600.1
Technology,2021,Qtr 3,September,17,1013.018
Furniture,2021,Qtr 3,September,18,3218.74
Office Supplies,2021,Qtr 3,September,18,1292.358
Technology,2021,Qtr 3,September,18,239.984
Furniture,2021,Qtr 3,September,19,1599.324
Office Supplies,2021,Qtr 3,September,19,1990.038
Technology,2021,Qtr 3,September,19,249.95
Furniture,2021,Qtr 3,September,20,279.36
Office Supplies,2021,Qtr 3,September,20,952.644
Technology,2021,Qtr 3,September,20,
Furniture,2021,Qtr 3,September,22,100.672
Office Supplies,2021,Qtr 3,September,22,352.982
Technology,2021,Qtr 3,September,22,161.916
Furniture,2021,Qtr 3,September,23,1114.426
Office Supplies,2021,Qtr 3,September,23,207.719
Technology,2021,Qtr 3,September,23,
Furniture,2021,Qtr 3,September,24,931.202
Office Supplies,2021,Qtr 3,September,24,1354.848
Technology,2021,Qtr 3,September,24,
Furniture,2021,Qtr 3,September,25,1624.567
Office Supplies,2021,Qtr 3,September,25,793.862
Technology,2021,Qtr 3,September,25,1024.662
Furniture,2021,Qtr 3,September,26,1627.4805
Office Supplies,2021,Qtr 3,September,26,538.71
Technology,2021,Qtr 3,September,26,531.976
Furniture,2021,Qtr 3,September,27,956.6648
Office Supplies,2021,Qtr 3,September,27,34.737
Technology,2021,Qtr 3,September,27,1001.584
Furniture,2021,Qtr 3,September,28,
Office Supplies,2021,Qtr 3,September,28,99.136
Technology,2021,Qtr 3,September,28,
Furniture,2021,Qtr 3,September,29,
Office Supplies,2021,Qtr 3,September,29,202.382
Technology,2021,Qtr 3,September,29,1105.41
Furniture,2021,Qtr 3,September,30,523.92
Office Supplies,2021,Qtr 3,September,30,1.964
Technology,2021,Qtr 3,September,30,
Furniture,2021,Qtr 4,October,1,104.77
Office Supplies,2021,Qtr 4,October,1,
Technology,2021,Qtr 4,October,1,69.98
Furniture,2021,Qtr 4,October,3,176.784
Office Supplies,2021,Qtr 4,October,3,119.596
Technology,2021,Qtr 4,October,3,7583.354
Furniture,2021,Qtr 4,October,4,
Office Supplies,2021,Qtr 4,October,4,950.594
Technology,2021,Qtr 4,October,4,
Furniture,2021,Qtr 4,October,5,
Office Supplies,2021,Qtr 4,October,5,19.032
Technology,2021,Qtr 4,October,5,743.988
Furniture,2021,Qtr 4,October,6,1335.68
Office Supplies,2021,Qtr 4,October,6,76.716
Technology,2021,Qtr 4,October,6,
Furniture,2021,Qtr 4,October,7,
Office Supplies,2021,Qtr 4,October,7,553.904
Technology,2021,Qtr 4,October,7,341.991
Furniture,2021,Qtr 4,October,9,300.93
Office Supplies,2021,Qtr 4,October,9,553.754
Technology,2021,Qtr 4,October,9,1239.64
Furniture,2021,Qtr 4,October,10,225.666
Office Supplies,2021,Qtr 4,October,10,41.095
Technology,2021,Qtr 4,October,10,15.992
Furniture,2021,Qtr 4,October,11,1004.988
Office Supplies,2021,Qtr 4,October,11,2113.758
Technology,2021,Qtr 4,October,11,1604.732
Furniture,2021,Qtr 4,October,12,1746.468
Office Supplies,2021,Qtr 4,October,12,1668.492
Technology,2021,Qtr 4,October,12,44.75
Furniture,2021,Qtr 4,October,13,1017.71
Office Supplies,2021,Qtr 4,October,13,440.932
Technology,2021,Qtr 4,October,13,191.976
Furniture,2021,Qtr 4,October,14,102.592
Office Supplies,2021,Qtr 4,October,14,291.912
Technology,2021,Qtr 4,October,14,2941.384
Furniture,2021,Qtr 4,October,15,
Office Supplies,2021,Qtr 4,October,15,1614.65
Technology,2021,Qtr 4,October,15,5.5
Furniture,2021,Qtr 4,October,16,142.182
Office Supplies,2021,Qtr 4,October,16,
Technology,2021,Qtr 4,October,16,
Furniture,2021,Qtr 4,October,17,241.646
Office Supplies,2021,Qtr 4,October,17,2261.73
Technology,2021,Qtr 4,October,17,449.97
Furniture,2021,Qtr 4,October,18,307.92
Office Supplies,2021,Qtr 4,October,18,
Technology,2021,Qtr 4,October,18,
Furniture,2021,Qtr 4,October,20,504.922
Office Supplies,2021,Qtr 4,October,20,123.572
Technology,2021,Qtr 4,October,20,317.68
Furniture,2021,Qtr 4,October,21,2012.76
Office Supplies,2021,Qtr 4,October,21,5499.44
Technology,2021,Qtr 4,October,21,439.392
Furniture,2021,Qtr 4,October,22,173.26
Office Supplies,2021,Qtr 4,October,22,15.02
Technology,2021,Qtr 4,October,22,
Furniture,2021,Qtr 4,October,23,16.156
Office Supplies,2021,Qtr 4,October,23,451.266
Technology,2021,Qtr 4,October,23,
Furniture,2021,Qtr 4,October,24,
Office Supplies,2021,Qtr 4,October,24,15.552
Technology,2021,Qtr 4,October,24,1349.946
Furniture,2021,Qtr 4,October,25,
Office Supplies,2021,Qtr 4,October,25,
Technology,2021,Qtr 4,October,25,783.96
Furniture,2021,Qtr 4,October,27,758.824
Office Supplies,2021,Qtr 4,October,27,219.966
Technology,2021,Qtr 4,October,27,
Furniture,2021,Qtr 4,October,28,1111.368
Office Supplies,2021,Qtr 4,October,28,1485.277
Technology,2021,Qtr 4,October,28,302.376
Furniture,2021,Qtr 4,October,29,67
Office Supplies,2021,Qtr 4,October,29,64.154
Technology,2021,Qtr 4,October,29,
Furniture,2021,Qtr 4,October,30,
Office Supplies,2021,Qtr 4,October,30,159.002
Technology,2021,Qtr 4,October,30,
Furniture,2021,Qtr 4,October,31,2265.725
Office Supplies,2021,Qtr 4,October,31,1484.774
Technology,2021,Qtr 4,October,31,
Furniture,2021,Qtr 4,November,1,54.992
Office Supplies,2021,Qtr 4,November,1,78.864
Technology,2021,Qtr 4,November,1,15.588
Furniture,2021,Qtr 4,November,2,
Office Supplies,2021,Qtr 4,November,2,
Technology,2021,Qtr 4,November,2,69.93
Furniture,2021,Qtr 4,November,3,351.262
Office Supplies,2021,Qtr 4,November,3,498.78
Technology,2021,Qtr 4,November,3,45.98
Furniture,2021,Qtr 4,November,5,
Office Supplies,2021,Qtr 4,November,5,5.98
Technology,2021,Qtr 4,November,5,
Furniture,2021,Qtr 4,November,6,915.256
Office Supplies,2021,Qtr 4,November,6,78.22
Technology,2021,Qtr 4,November,6,629.94
Furniture,2021,Qtr 4,November,8,
Office Supplies,2021,Qtr 4,November,8,151.82
Technology,2021,Qtr 4,November,8,
Furniture,2021,Qtr 4,November,9,
Office Supplies,2021,Qtr 4,November,9,600.6
Technology,2021,Qtr 4,November,9,5900.986
Furniture,2021,Qtr 4,November,10,
Office Supplies,2021,Qtr 4,November,10,33.064
Technology,2021,Qtr 4,November,10,
Furniture,2021,Qtr 4,November,11,3472.65
Office Supplies,2021,Qtr 4,November,11,1021.728
Technology,2021,Qtr 4,November,11,449.918
Furniture,2021,Qtr 4,November,12,2461.796
Office Supplies,2021,Qtr 4,November,12,1451.6
Technology,2021,Qtr 4,November,12,2188.854
Furniture,2021,Qtr 4,November,13,54.08
Office Supplies,2021,Qtr 4,November,13,611.098
Technology,2021,Qtr 4,November,13,2279.96
Furniture,2021,Qtr 4,November,14,856.56
Office Supplies,2021,Qtr 4,November,14,113.596
Technology,2021,Qtr 4,November,14,1803.906
Furniture,2021,Qtr 4,November,15,630.024
Office Supplies,2021,Qtr 4,November,15,1054.928
Technology,2021,Qtr 4,November,15,460.766
Furniture,2021,Qtr 4,November,16,
Office Supplies,2021,Qtr 4,November,16,36.72
Technology,2021,Qtr 4,November,16,
Furniture,2021,Qtr 4,November,17,
Office Supplies,2021,Qtr 4,November,17,75.508
Technology,2021,Qtr 4,November,17,67.176
Furniture,2021,Qtr 4,November,18,557.068
Office Supplies,2021,Qtr 4,November,18,1425.712
Technology,2021,Qtr 4,November,18,1976.152
Furniture,2021,Qtr 4,November,19,34.288
Office Supplies,2021,Qtr 4,November,19,532.214
Technology,2021,Qtr 4,November,19,71.96
Furniture,2021,Qtr 4,November,20,702.036
Office Supplies,2021,Qtr 4,November,20,620.623
Technology,2021,Qtr 4,November,20,1747.674
Furniture,2021,Qtr 4,November,21,514.21
Office Supplies,2021,Qtr 4,November,21,145.82
Technology,2021,Qtr 4,November,21,516.861
Furniture,2021,Qtr 4,November,22,39.88
Office Supplies,2021,Qtr 4,November,22,253.132
Technology,2021,Qtr 4,November,22,24.032
Furniture,2021,Qtr 4,November,23,84.816
Office Supplies,2021,Qtr 4,November,23,15.8
Technology,2021,Qtr 4,November,23,
Furniture,2021,Qtr 4,November,24,2324.632
Office Supplies,2021,Qtr 4,November,24,1538.086
Technology,2021,Qtr 4,November,24,2531.82
Furniture,2021,Qtr 4,November,25,1762.962
Office Supplies,2021,Qtr 4,November,25,1115.728
Technology,2021,Qtr 4,November,25,5099.861
Furniture,2021,Qtr 4,November,26,4315.22
Office Supplies,2021,Qtr 4,November,26,419.571
Technology,2021,Qtr 4,November,26,3594.952
Furniture,2021,Qtr 4,November,27,362.583
Office Supplies,2021,Qtr 4,November,27,802.554
Technology,2021,Qtr 4,November,27,486.102
Furniture,2021,Qtr 4,November,28,530.472
Office Supplies,2021,Qtr 4,November,28,2456.018
Technology,2021,Qtr 4,November,28,441.882
Furniture,2021,Qtr 4,November,29,242.176
Office Supplies,2021,Qtr 4,November,29,
Technology,2021,Qtr 4,November,29,58.416
Furniture,2021,Qtr 4,November,30,389.97
Office Supplies,2021,Qtr 4,November,30,543.98
Technology,2021,Qtr 4,November,30,36.192
Furniture,2021,Qtr 4,December,2,
Office Supplies,2021,Qtr 4,December,2,1366.04
Technology,2021,Qtr 4,December,2,
Furniture,2021,Qtr 4,December,3,770.352
Office Supplies,2021,Qtr 4,December,3,924.29
Technology,2021,Qtr 4,December,3,
Furniture,2021,Qtr 4,December,4,1176.56
Office Supplies,2021,Qtr 4,December,4,365.97
Technology,2021,Qtr 4,December,4,
Furniture,2021,Qtr 4,December,5,10.02
Office Supplies,2021,Qtr 4,December,5,156.898
Technology,2021,Qtr 4,December,5,751.96
Furniture,2021,Qtr 4,December,6,433.396
Office Supplies,2021,Qtr 4,December,6,1453.148
Technology,2021,Qtr 4,December,6,1076.019
Furniture,2021,Qtr 4,December,7,
Office Supplies,2021,Qtr 4,December,7,
Technology,2021,Qtr 4,December,7,95.76
Furniture,2021,Qtr 4,December,8,917.2045
Office Supplies,2021,Qtr 4,December,8,1634.812
Technology,2021,Qtr 4,December,8,1399.944
Furniture,2021,Qtr 4,December,9,1679.872
Office Supplies,2021,Qtr 4,December,9,196.268
Technology,2021,Qtr 4,December,9,167.652
Furniture,2021,Qtr 4,December,11,4158.352
Office Supplies,2021,Qtr 4,December,11,520.626
Technology,2021,Qtr 4,December,11,235.96
Furniture,2021,Qtr 4,December,12,477.47
Office Supplies,2021,Qtr 4,December,12,211.813
Technology,2021,Qtr 4,December,12,1291.832
Furniture,2021,Qtr 4,December,13,1114.272
Office Supplies,2021,Qtr 4,December,13,15.936
Technology,2021,Qtr 4,December,13,63.88
Furniture,2021,Qtr 4,December,14,611.724
Office Supplies,2021,Qtr 4,December,14,216.93
Technology,2021,Qtr 4,December,14,
Furniture,2021,Qtr 4,December,15,2231.895
Office Supplies,2021,Qtr 4,December,15,405.192
Technology,2021,Qtr 4,December,15,
Furniture,2021,Qtr 4,December,16,563.92
Office Supplies,2021,Qtr 4,December,16,43.412
Technology,2021,Qtr 4,December,16,21.21
Furniture,2021,Qtr 4,December,17,2003.52
Office Supplies,2021,Qtr 4,December,17,10016.014
Technology,2021,Qtr 4,December,17,165.6
Furniture,2021,Qtr 4,December,18,1183.99
Office Supplies,2021,Qtr 4,December,18,4813.818
Technology,2021,Qtr 4,December,18,1053.542
Furniture,2021,Qtr 4,December,19,759.89
Office Supplies,2021,Qtr 4,December,19,55.222
Technology,2021,Qtr 4,December,19,
Furniture,2021,Qtr 4,December,20,18.92
Office Supplies,2021,Qtr 4,December,20,49.32
Technology,2021,Qtr 4,December,20,66.3
Furniture,2021,Qtr 4,December,22,919.304
Office Supplies,2021,Qtr 4,December,22,112.264
Technology,2021,Qtr 4,December,22,11.56
Furniture,2021,Qtr 4,December,23,1002.84
Office Supplies,2021,Qtr 4,December,23,1589.751
Technology,2021,Qtr 4,December,23,4373.266
Furniture,2021,Qtr 4,December,24,843.52
Office Supplies,2021,Qtr 4,December,24,641.09
Technology,2021,Qtr 4,December,24,453.65
Furniture,2021,Qtr 4,December,25,6636.863
Office Supplies,2021,Qtr 4,December,25,205.138
Technology,2021,Qtr 4,December,25,3646.054
Furniture,2021,Qtr 4,December,26,1262.004
Office Supplies,2021,Qtr 4,December,26,175.06
Technology,2021,Qtr 4,December,26,392.354
Furniture,2021,Qtr 4,December,27,845.488
Office Supplies,2021,Qtr 4,December,27,74.002
Technology,2021,Qtr 4,December,27,40
Furniture,2021,Qtr 4,December,29,825.01
Office Supplies,2021,Qtr 4,December,29,452.67
Technology,2021,Qtr 4,December,29,
Furniture,2021,Qtr 4,December,30,170.786
Office Supplies,2021,Qtr 4,December,30,602.988
Technology,2021,Qtr 4,December,30,
Furniture,2021,Qtr 4,December,31,
Office Supplies,2021,Qtr 4,December,31,429.392
Technology,2021,Qtr 4,December,31,302.376
Furniture,2022,Qtr 1,January,1,975.49
Office Supplies,2022,Qtr 1,January,1,506.338
Technology,2022,Qtr 1,January,1,
Furniture,2022,Qtr 1,January,4,828.966
Office Supplies,2022,Qtr 1,January,4,320.062
Technology,2022,Qtr 1,January,4,4823.96
Furniture,2022,Qtr 1,January,5,4051.534
Office Supplies,2022,Qtr 1,January,5,7.936
Technology,2022,Qtr 1,January,5,48.9
Furniture,2022,Qtr 1,January,6,1925.88
Office Supplies,2022,Qtr 1,January,6,2850.246
Technology,2022,Qtr 1,January,6,282.236
Furniture,2022,Qtr 1,January,7,
Office Supplies,2022,Qtr 1,January,7,639.83
Technology,2022,Qtr 1,January,7,
Furniture,2022,Qtr 1,January,8,
Office Supplies,2022,Qtr 1,January,8,277.724
Technology,2022,Qtr 1,January,8,1807.926
Furniture,2022,Qtr 1,January,9,896.72
Office Supplies,2022,Qtr 1,January,9,345.1
Technology,2022,Qtr 1,January,9,19.99
Furniture,2022,Qtr 1,January,10,559.76
Office Supplies,2022,Qtr 1,January,10,609.066
Technology,2022,Qtr 1,January,10,1809.64
Furniture,2022,Qtr 1,January,11,2665.62
Office Supplies,2022,Qtr 1,January,11,255.81
Technology,2022,Qtr 1,January,11,
Furniture,2022,Qtr 1,January,12,2542.292
Office Supplies,2022,Qtr 1,January,12,1371.45
Technology,2022,Qtr 1,January,12,1417.436
Furniture,2022,Qtr 1,January,13,212.94
Office Supplies,2022,Qtr 1,January,13,4406.39
Technology,2022,Qtr 1,January,13,
Furniture,2022,Qtr 1,January,14,18.96
Office Supplies,2022,Qtr 1,January,14,508.39
Technology,2022,Qtr 1,January,14,528.688
Furniture,2022,Qtr 1,January,15,
Office Supplies,2022,Qtr 1,January,15,2029.704
Technology,2022,Qtr 1,January,15,110.576
Furniture,2022,Qtr 1,January,16,730.262
Office Supplies,2022,Qtr 1,January,16,5500.03
Technology,2022,Qtr 1,January,16,
Furniture,2022,Qtr 1,January,19,919.239
Office Supplies,2022,Qtr 1,January,19,664.876
Technology,2022,Qtr 1,January,19,429.6
Furniture,2022,Qtr 1,January,20,207.846
Office Supplies,2022,Qtr 1,January,20,39.24
Technology,2022,Qtr 1,January,20,520.752
Furniture,2022,Qtr 1,January,21,84.98
Office Supplies,2022,Qtr 1,January,21,1145.78
Technology,2022,Qtr 1,January,21,1315.883
Furniture,2022,Qtr 1,January,22,
Office Supplies,2022,Qtr 1,January,22,1212.422
Technology,2022,Qtr 1,January,22,2999.95
Furniture,2022,Qtr 1,January,23,210.98
Office Supplies,2022,Qtr 1,January,23,57.018
Technology,2022,Qtr 1,January,23,182.336
Furniture,2022,Qtr 1,January,24,
Office Supplies,2022,Qtr 1,January,24,308.314
Technology,2022,Qtr 1,January,24,110.352
Furniture,2022,Qtr 1,January,26,62.72
Office Supplies,2022,Qtr 1,January,26,52.63
Technology,2022,Qtr 1,January,26,2939.93
Furniture,2022,Qtr 1,January,27,
Office Supplies,2022,Qtr 1,January,27,14.016
Technology,2022,Qtr 1,January,27,317.898
Furniture,2022,Qtr 1,January,28,37.74
Office Supplies,2022,Qtr 1,January,28,279.9
Technology,2022,Qtr 1,January,28,689.88
Furniture,2022,Qtr 1,January,29,14.91
Office Supplies,2022,Qtr 1,January,29,279.932
Technology,2022,Qtr 1,January,29,
Furniture,2022,Qtr 1,January,30,643.875
Office Supplies,2022,Qtr 1,January,30,290.524
Technology,2022,Qtr 1,January,30,2814.936
Furniture,2022,Qtr 1,February,1,913.43
Office Supplies,2022,Qtr 1,February,1,453.834
Technology,2022,Qtr 1,February,1,712.29
Furniture,2022,Qtr 1,February,2,296.84
Office Supplies,2022,Qtr 1,February,2,316.56
Technology,2022,Qtr 1,February,2,299.954
Furniture,2022,Qtr 1,February,3,441.96
Office Supplies,2022,Qtr 1,February,3,331.45
Technology,2022,Qtr 1,February,3,676.716
Furniture,2022,Qtr 1,February,4,436.91
Office Supplies,2022,Qtr 1,February,4,26.06
Technology,2022,Qtr 1,February,4,360
Furniture,2022,Qtr 1,February,5,129.93
Office Supplies,2022,Qtr 1,February,5,109.62
Technology,2022,Qtr 1,February,5,159.56
Furniture,2022,Qtr 1,February,6,
Office Supplies,2022,Qtr 1,February,6,132.736
Technology,2022,Qtr 1,February,6,2.97
Furniture,2022,Qtr 1,February,7,
Office Supplies,2022,Qtr 1,February,7,169.192
Technology,2022,Qtr 1,February,7,
Furniture,2022,Qtr 1,February,9,2527.552
Office Supplies,2022,Qtr 1,February,9,2852.518
Technology,2022,Qtr 1,February,9,3974.784
Furniture,2022,Qtr 1,February,10,2758.464
Office Supplies,2022,Qtr 1,February,10,2139.624
Technology,2022,Qtr 1,February,10,519.934
Furniture,2022,Qtr 1,February,11,1159.624
Office Supplies,2022,Qtr 1,February,11,2025.652
Technology,2022,Qtr 1,February,11,3109.11
Furniture,2022,Qtr 1,February,12,3527.504
Office Supplies,2022,Qtr 1,February,12,2665.612
Technology,2022,Qtr 1,February,12,3758.066
Furniture,2022,Qtr 1,February,13,107.53
Office Supplies,2022,Qtr 1,February,13,150.94
Technology,2022,Qtr 1,February,13,799.96
Furniture,2022,Qtr 1,February,16,608.25
Office Supplies,2022,Qtr 1,February,16,714.202
Technology,2022,Qtr 1,February,16,14.99
Furniture,2022,Qtr 1,February,17,1955.5704
Office Supplies,2022,Qtr 1,February,17,359.365
Technology,2022,Qtr 1,February,17,649.882
Furniture,2022,Qtr 1,February,18,
Office Supplies,2022,Qtr 1,February,18,9.82
Technology,2022,Qtr 1,February,18,277.506
Furniture,2022,Qtr 1,February,19,44.67
Office Supplies,2022,Qtr 1,February,19,1269.92
Technology,2022,Qtr 1,February,19,
Furniture,2022,Qtr 1,February,20,477.844
Office Supplies,2022,Qtr 1,February,20,90.91
Technology,2022,Qtr 1,February,20,581.536
Furniture,2022,Qtr 1,February,21,
Office Supplies,2022,Qtr 1,February,21,
Technology,2022,Qtr 1,February,21,47.904
Furniture,2022,Qtr 1,February,23,
Office Supplies,2022,Qtr 1,February,23,45.84
Technology,2022,Qtr 1,February,23,71.96
Furniture,2022,Qtr 1,February,24,
Office Supplies,2022,Qtr 1,February,24,128.876
Technology,2022,Qtr 1,February,24,1319.8
Furniture,2022,Qtr 1,February,25,428.704
Office Supplies,2022,Qtr 1,February,25,1.788
Technology,2022,Qtr 1,February,25,
Furniture,2022,Qtr 1,February,26,984.184
Office Supplies,2022,Qtr 1,February,26,715.35
Technology,2022,Qtr 1,February,26,1148.112
Furniture,2022,Qtr 1,February,28,
Office Supplies,2022,Qtr 1,February,28,17.62
Technology,2022,Qtr 1,February,28,
Furniture,2022,Qtr 1,March,1,
Office Supplies,2022,Qtr 1,March,1,2070.272
Technology,2022,Qtr 1,March,1,
Furniture,2022,Qtr 1,March,2,22.2
Office Supplies,2022,Qtr 1,March,2,900.127
Technology,2022,Qtr 1,March,2,
Furniture,2022,Qtr 1,March,3,751.004
Office Supplies,2022,Qtr 1,March,3,99.68
Technology,2022,Qtr 1,March,3,1149.42
Furniture,2022,Qtr 1,March,4,25.472
Office Supplies,2022,Qtr 1,March,4,7.056
Technology,2022,Qtr 1,March,4,
Furniture,2022,Qtr 1,March,5,405.918
Office Supplies,2022,Qtr 1,March,5,980.428
Technology,2022,Qtr 1,March,5,
Furniture,2022,Qtr 1,March,6,661.504
Office Supplies,2022,Qtr 1,March,6,247.27
Technology,2022,Qtr 1,March,6,2043.262
Furniture,2022,Qtr 1,March,7,1016.678
Office Supplies,2022,Qtr 1,March,7,459.784
Technology,2022,Qtr 1,March,7,5486.942
Furniture,2022,Qtr 1,March,8,307.332
Office Supplies,2022,Qtr 1,March,8,184.2
Technology,2022,Qtr 1,March,8,39.816
Furniture,2022,Qtr 1,March,9,620.631
Office Supplies,2022,Qtr 1,March,9,589.448
Technology,2022,Qtr 1,March,9,385.77
Furniture,2022,Qtr 1,March,10,255.208
Office Supplies,2022,Qtr 1,March,10,1877.302
Technology,2022,Qtr 1,March,10,371.97
Furniture,2022,Qtr 1,March,11,2524.05
Office Supplies,2022,Qtr 1,March,11,407.501
Technology,2022,Qtr 1,March,11,1605.386
Furniture,2022,Qtr 1,March,12,591.84
Office Supplies,2022,Qtr 1,March,12,447.932
Technology,2022,Qtr 1,March,12,364.07
Furniture,2022,Qtr 1,March,13,89.768
Office Supplies,2022,Qtr 1,March,13,2833.674
Technology,2022,Qtr 1,March,13,1867.908
Furniture,2022,Qtr 1,March,14,
Office Supplies,2022,Qtr 1,March,14,
Technology,2022,Qtr 1,March,14,49.616
Furniture,2022,Qtr 1,March,16,51.264
Office Supplies,2022,Qtr 1,March,16,653.341
Technology,2022,Qtr 1,March,16,1309.776
Furniture,2022,Qtr 1,March,17,
Office Supplies,2022,Qtr 1,March,17,294.386
Technology,2022,Qtr 1,March,17,248.36
Furniture,2022,Qtr 1,March,18,82.524
Office Supplies,2022,Qtr 1,March,18,379.874
Technology,2022,Qtr 1,March,18,565.36
Furniture,2022,Qtr 1,March,19,728.09
Office Supplies,2022,Qtr 1,March,19,481.154
Technology,2022,Qtr 1,March,19,957.004
Furniture,2022,Qtr 1,March,20,2.91
Office Supplies,2022,Qtr 1,March,20,392.728
Technology,2022,Qtr 1,March,20,503.93
Furniture,2022,Qtr 1,March,21,1828.02
Office Supplies,2022,Qtr 1,March,21,1504.616
Technology,2022,Qtr 1,March,21,
Furniture,2022,Qtr 1,March,23,211.84
Office Supplies,2022,Qtr 1,March,23,604.268
Technology,2022,Qtr 1,March,23,13999.96
Furniture,2022,Qtr 1,March,24,479.61
Office Supplies,2022,Qtr 1,March,24,281.698
Technology,2022,Qtr 1,March,24,495.99
Furniture,2022,Qtr 1,March,25,1986.52
Office Supplies,2022,Qtr 1,March,25,418.978
Technology,2022,Qtr 1,March,25,1161.528
Furniture,2022,Qtr 1,March,26,318.408
Office Supplies,2022,Qtr 1,March,26,217.342
Technology,2022,Qtr 1,March,26,2717.13
Furniture,2022,Qtr 1,March,27,2142.244
Office Supplies,2022,Qtr 1,March,27,545.18
Technology,2022,Qtr 1,March,27,246.092
Furniture,2022,Qtr 1,March,28,48.04
Office Supplies,2022,Qtr 1,March,28,923.942
Technology,2022,Qtr 1,March,28,532.72
Furniture,2022,Qtr 1,March,29,
Office Supplies,2022,Qtr 1,March,29,81.4
Technology,2022,Qtr 1,March,29,
Furniture,2022,Qtr 1,March,30,94.2
Office Supplies,2022,Qtr 1,March,30,397.415
Technology,2022,Qtr 1,March,30,164.792
Furniture,2022,Qtr 1,March,31,296.1128
Office Supplies,2022,Qtr 1,March,31,250.488
Technology,2022,Qtr 1,March,31,4434.41
Furniture,2022,Qtr 2,April,2,
Office Supplies,2022,Qtr 2,April,2,32.67
Technology,2022,Qtr 2,April,2,
Furniture,2022,Qtr 2,April,3,103.5
Office Supplies,2022,Qtr 2,April,3,125.322
Technology,2022,Qtr 2,April,3,
Furniture,2022,Qtr 2,April,4,
Office Supplies,2022,Qtr 2,April,4,264.39
Technology,2022,Qtr 2,April,4,544.08
Furniture,2022,Qtr 2,April,5,300.904
Office Supplies,2022,Qtr 2,April,5,904.541
Technology,2022,Qtr 2,April,5,183.96
Furniture,2022,Qtr 2,April,6,62.32
Office Supplies,2022,Qtr 2,April,6,145.11
Technology,2022,Qtr 2,April,6,71.984
Furniture,2022,Qtr 2,April,8,
