Retail Orders.Sub-Category,Retail Orders.Category,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Retail Orders.Profit),Sum(Retail Orders.Discount)
Furnishings,Furniture,2021,Qtr 1,March,13,48.2744,0
Tables,Furniture,2021,Qtr 1,March,13,0,0
Appliances,Office Supplies,2021,Qtr 1,March,13,62.6556,0
Art,Office Supplies,2021,Qtr 1,March,13,,
Binders,Office Supplies,2021,Qtr 1,March,13,-19.226,3
Envelopes,Office Supplies,2021,Qtr 1,March,13,,
Fasteners,Office Supplies,2021,Qtr 1,March,13,,
Labels,Office Supplies,2021,Qtr 1,March,13,,
Paper,Office Supplies,2021,Qtr 1,March,13,38.4465,0
Storage,Office Supplies,2021,Qtr 1,March,13,-166.508,0
Supplies,Office Supplies,2021,Qtr 1,March,13,196.5036,0
Accessories,Technology,2021,Qtr 1,March,13,47.495,0
Copiers,Technology,2021,Qtr 1,March,13,,
Machines,Technology,2021,Qtr 1,March,13,-643.71,1
Phones,Technology,2021,Qtr 1,March,13,-101.7417,0
Bookcases,Furniture,2021,Qtr 1,March,14,-14.196,0
Chairs,Furniture,2021,Qtr 1,March,14,-22.1382,0
Furnishings,Furniture,2021,Qtr 1,March,14,10.6429,0
Tables,Furniture,2021,Qtr 1,March,14,,
Appliances,Office Supplies,2021,Qtr 1,March,14,,
Art,Office Supplies,2021,Qtr 1,March,14,16.3737,0
Binders,Office Supplies,2021,Qtr 1,March,14,14.1426,0
Envelopes,Office Supplies,2021,Qtr 1,March,14,,
Fasteners,Office Supplies,2021,Qtr 1,March,14,,
Labels,Office Supplies,2021,Qtr 1,March,14,,
Paper,Office Supplies,2021,Qtr 1,March,14,1.8792,0
Storage,Office Supplies,2021,Qtr 1,March,14,,
Supplies,Office Supplies,2021,Qtr 1,March,14,,
Accessories,Technology,2021,Qtr 1,March,14,,
Copiers,Technology,2021,Qtr 1,March,14,,
Machines,Technology,2021,Qtr 1,March,14,,
Phones,Technology,2021,Qtr 1,March,14,,
Bookcases,Furniture,2021,Qtr 1,March,15,,
Chairs,Furniture,2021,Qtr 1,March,15,-58.929,0
Furnishings,Furniture,2021,Qtr 1,March,15,,
Tables,Furniture,2021,Qtr 1,March,15,,
Appliances,Office Supplies,2021,Qtr 1,March,15,,
Art,Office Supplies,2021,Qtr 1,March,15,,
Binders,Office Supplies,2021,Qtr 1,March,15,-34.1704,1
Envelopes,Office Supplies,2021,Qtr 1,March,15,,
Fasteners,Office Supplies,2021,Qtr 1,March,15,,
Labels,Office Supplies,2021,Qtr 1,March,15,,
Paper,Office Supplies,2021,Qtr 1,March,15,168.1024,0
Storage,Office Supplies,2021,Qtr 1,March,15,,
Supplies,Office Supplies,2021,Qtr 1,March,15,,
Accessories,Technology,2021,Qtr 1,March,15,-13.6461,0
Copiers,Technology,2021,Qtr 1,March,15,,
Machines,Technology,2021,Qtr 1,March,15,,
Phones,Technology,2021,Qtr 1,March,15,,
Bookcases,Furniture,2021,Qtr 1,March,17,,
Chairs,Furniture,2021,Qtr 1,March,17,,
Furnishings,Furniture,2021,Qtr 1,March,17,252.59,0
Tables,Furniture,2021,Qtr 1,March,17,,
Appliances,Office Supplies,2021,Qtr 1,March,17,297.6435,0
Art,Office Supplies,2021,Qtr 1,March,17,10.3168,0
Binders,Office Supplies,2021,Qtr 1,March,17,15.9446,0
Envelopes,Office Supplies,2021,Qtr 1,March,17,89.955,0
Fasteners,Office Supplies,2021,Qtr 1,March,17,,
Labels,Office Supplies,2021,Qtr 1,March,17,,
Paper,Office Supplies,2021,Qtr 1,March,17,,
Storage,Office Supplies,2021,Qtr 1,March,17,,
Supplies,Office Supplies,2021,Qtr 1,March,17,,
Accessories,Technology,2021,Qtr 1,March,17,,
Copiers,Technology,2021,Qtr 1,March,17,,
Machines,Technology,2021,Qtr 1,March,17,,
Phones,Technology,2021,Qtr 1,March,17,42.2542,0
Bookcases,Furniture,2021,Qtr 1,March,18,,
Chairs,Furniture,2021,Qtr 1,March,18,,
Furnishings,Furniture,2021,Qtr 1,March,18,,
Tables,Furniture,2021,Qtr 1,March,18,-94.941,0
Appliances,Office Supplies,2021,Qtr 1,March,18,87.18,0
Art,Office Supplies,2021,Qtr 1,March,18,,
Binders,Office Supplies,2021,Qtr 1,March,18,,
Envelopes,Office Supplies,2021,Qtr 1,March,18,,
Fasteners,Office Supplies,2021,Qtr 1,March,18,,
Labels,Office Supplies,2021,Qtr 1,March,18,,
Paper,Office Supplies,2021,Qtr 1,March,18,,
Storage,Office Supplies,2021,Qtr 1,March,18,,
Supplies,Office Supplies,2021,Qtr 1,March,18,,
Accessories,Technology,2021,Qtr 1,March,18,,
Copiers,Technology,2021,Qtr 1,March,18,,
Machines,Technology,2021,Qtr 1,March,18,,
Phones,Technology,2021,Qtr 1,March,18,,
Bookcases,Furniture,2021,Qtr 1,March,19,-98.8018,1
Chairs,Furniture,2021,Qtr 1,March,19,,
Furnishings,Furniture,2021,Qtr 1,March,19,13.7996,0
Tables,Furniture,2021,Qtr 1,March,19,,
Appliances,Office Supplies,2021,Qtr 1,March,19,,
Art,Office Supplies,2021,Qtr 1,March,19,,
Binders,Office Supplies,2021,Qtr 1,March,19,-20.724,1
Envelopes,Office Supplies,2021,Qtr 1,March,19,,
Fasteners,Office Supplies,2021,Qtr 1,March,19,,
Labels,Office Supplies,2021,Qtr 1,March,19,,
Paper,Office Supplies,2021,Qtr 1,March,19,,
Storage,Office Supplies,2021,Qtr 1,March,19,,
Supplies,Office Supplies,2021,Qtr 1,March,19,,
Accessories,Technology,2021,Qtr 1,March,19,,
Copiers,Technology,2021,Qtr 1,March,19,,
Machines,Technology,2021,Qtr 1,March,19,,
Phones,Technology,2021,Qtr 1,March,19,,
Bookcases,Furniture,2021,Qtr 1,March,20,,
Chairs,Furniture,2021,Qtr 1,March,20,,
Furnishings,Furniture,2021,Qtr 1,March,20,38.038,0
Tables,Furniture,2021,Qtr 1,March,20,146.4036,0
Appliances,Office Supplies,2021,Qtr 1,March,20,,
Art,Office Supplies,2021,Qtr 1,March,20,,
Binders,Office Supplies,2021,Qtr 1,March,20,-12.8961,1
Envelopes,Office Supplies,2021,Qtr 1,March,20,,
Fasteners,Office Supplies,2021,Qtr 1,March,20,,
Labels,Office Supplies,2021,Qtr 1,March,20,,
Paper,Office Supplies,2021,Qtr 1,March,20,10.8864,0
Storage,Office Supplies,2021,Qtr 1,March,20,,
Supplies,Office Supplies,2021,Qtr 1,March,20,,
Accessories,Technology,2021,Qtr 1,March,20,,
Copiers,Technology,2021,Qtr 1,March,20,,
Machines,Technology,2021,Qtr 1,March,20,,
Phones,Technology,2021,Qtr 1,March,20,-19.2368,0
Bookcases,Furniture,2021,Qtr 1,March,21,,
Chairs,Furniture,2021,Qtr 1,March,21,0,0
Furnishings,Furniture,2021,Qtr 1,March,21,,
Tables,Furniture,2021,Qtr 1,March,21,-1.4196,0
Appliances,Office Supplies,2021,Qtr 1,March,21,,
Art,Office Supplies,2021,Qtr 1,March,21,2.0106,0
Binders,Office Supplies,2021,Qtr 1,March,21,-4.752,1
Envelopes,Office Supplies,2021,Qtr 1,March,21,,
Fasteners,Office Supplies,2021,Qtr 1,March,21,,
Labels,Office Supplies,2021,Qtr 1,March,21,,
Paper,Office Supplies,2021,Qtr 1,March,21,,
Storage,Office Supplies,2021,Qtr 1,March,21,,
Supplies,Office Supplies,2021,Qtr 1,March,21,,
Accessories,Technology,2021,Qtr 1,March,21,,
Copiers,Technology,2021,Qtr 1,March,21,,
Machines,Technology,2021,Qtr 1,March,21,,
Phones,Technology,2021,Qtr 1,March,21,,
Bookcases,Furniture,2021,Qtr 1,March,22,,
Chairs,Furniture,2021,Qtr 1,March,22,14.6902,0
Furnishings,Furniture,2021,Qtr 1,March,22,,
Tables,Furniture,2021,Qtr 1,March,22,,
Appliances,Office Supplies,2021,Qtr 1,March,22,,
Art,Office Supplies,2021,Qtr 1,March,22,,
Binders,Office Supplies,2021,Qtr 1,March,22,,
Envelopes,Office Supplies,2021,Qtr 1,March,22,,
Fasteners,Office Supplies,2021,Qtr 1,March,22,,
Labels,Office Supplies,2021,Qtr 1,March,22,,
Paper,Office Supplies,2021,Qtr 1,March,22,,
Storage,Office Supplies,2021,Qtr 1,March,22,,
Supplies,Office Supplies,2021,Qtr 1,March,22,,
Accessories,Technology,2021,Qtr 1,March,22,19.3314,0
Copiers,Technology,2021,Qtr 1,March,22,,
Machines,Technology,2021,Qtr 1,March,22,,
Phones,Technology,2021,Qtr 1,March,22,,
Bookcases,Furniture,2021,Qtr 1,March,24,-241.176,0
Chairs,Furniture,2021,Qtr 1,March,24,,
Furnishings,Furniture,2021,Qtr 1,March,24,,
Tables,Furniture,2021,Qtr 1,March,24,,
Appliances,Office Supplies,2021,Qtr 1,March,24,,
Art,Office Supplies,2021,Qtr 1,March,24,1.6324,0
Binders,Office Supplies,2021,Qtr 1,March,24,,
Envelopes,Office Supplies,2021,Qtr 1,March,24,,
Fasteners,Office Supplies,2021,Qtr 1,March,24,,
Labels,Office Supplies,2021,Qtr 1,March,24,,
Paper,Office Supplies,2021,Qtr 1,March,24,10.3408,0
Storage,Office Supplies,2021,Qtr 1,March,24,,
Supplies,Office Supplies,2021,Qtr 1,March,24,,
Accessories,Technology,2021,Qtr 1,March,24,,
Copiers,Technology,2021,Qtr 1,March,24,,
Machines,Technology,2021,Qtr 1,March,24,,
Phones,Technology,2021,Qtr 1,March,24,25.198,0
Bookcases,Furniture,2021,Qtr 1,March,25,,
Chairs,Furniture,2021,Qtr 1,March,25,,
Furnishings,Furniture,2021,Qtr 1,March,25,,
Tables,Furniture,2021,Qtr 1,March,25,,
Appliances,Office Supplies,2021,Qtr 1,March,25,,
Art,Office Supplies,2021,Qtr 1,March,25,17.856,0
Binders,Office Supplies,2021,Qtr 1,March,25,,
Envelopes,Office Supplies,2021,Qtr 1,March,25,,
Fasteners,Office Supplies,2021,Qtr 1,March,25,,
Labels,Office Supplies,2021,Qtr 1,March,25,,
Paper,Office Supplies,2021,Qtr 1,March,25,,
Storage,Office Supplies,2021,Qtr 1,March,25,,
Supplies,Office Supplies,2021,Qtr 1,March,25,,
Accessories,Technology,2021,Qtr 1,March,25,244.6155,0
Copiers,Technology,2021,Qtr 1,March,25,,
Machines,Technology,2021,Qtr 1,March,25,,
Phones,Technology,2021,Qtr 1,March,25,,
Bookcases,Furniture,2021,Qtr 1,March,26,,
Chairs,Furniture,2021,Qtr 1,March,26,,
Furnishings,Furniture,2021,Qtr 1,March,26,,
Tables,Furniture,2021,Qtr 1,March,26,,
Appliances,Office Supplies,2021,Qtr 1,March,26,,
Art,Office Supplies,2021,Qtr 1,March,26,,
Binders,Office Supplies,2021,Qtr 1,March,26,5.538,0
Envelopes,Office Supplies,2021,Qtr 1,March,26,,
Fasteners,Office Supplies,2021,Qtr 1,March,26,,
Labels,Office Supplies,2021,Qtr 1,March,26,,
Paper,Office Supplies,2021,Qtr 1,March,26,8.6436,0
Storage,Office Supplies,2021,Qtr 1,March,26,24.3165,0
Supplies,Office Supplies,2021,Qtr 1,March,26,,
Accessories,Technology,2021,Qtr 1,March,26,-17.9964,0
Copiers,Technology,2021,Qtr 1,March,26,,
Machines,Technology,2021,Qtr 1,March,26,,
Phones,Technology,2021,Qtr 1,March,26,,
Bookcases,Furniture,2021,Qtr 1,March,27,,
Chairs,Furniture,2021,Qtr 1,March,27,,
Furnishings,Furniture,2021,Qtr 1,March,27,19.8808,0
Tables,Furniture,2021,Qtr 1,March,27,,
Appliances,Office Supplies,2021,Qtr 1,March,27,,
Art,Office Supplies,2021,Qtr 1,March,27,,
Binders,Office Supplies,2021,Qtr 1,March,27,15.9446,0
Envelopes,Office Supplies,2021,Qtr 1,March,27,,
Fasteners,Office Supplies,2021,Qtr 1,March,27,,
Labels,Office Supplies,2021,Qtr 1,March,27,,
Paper,Office Supplies,2021,Qtr 1,March,27,,
Storage,Office Supplies,2021,Qtr 1,March,27,,
Supplies,Office Supplies,2021,Qtr 1,March,27,,
Accessories,Technology,2021,Qtr 1,March,27,,
Copiers,Technology,2021,Qtr 1,March,27,,
Machines,Technology,2021,Qtr 1,March,27,,
Phones,Technology,2021,Qtr 1,March,27,,
Bookcases,Furniture,2021,Qtr 1,March,28,,
Chairs,Furniture,2021,Qtr 1,March,28,,
Furnishings,Furniture,2021,Qtr 1,March,28,,
Tables,Furniture,2021,Qtr 1,March,28,,
Appliances,Office Supplies,2021,Qtr 1,March,28,,
Art,Office Supplies,2021,Qtr 1,March,28,,
Binders,Office Supplies,2021,Qtr 1,March,28,,
Envelopes,Office Supplies,2021,Qtr 1,March,28,,
Fasteners,Office Supplies,2021,Qtr 1,March,28,,
Labels,Office Supplies,2021,Qtr 1,March,28,,
Paper,Office Supplies,2021,Qtr 1,March,28,2.9302,0
Storage,Office Supplies,2021,Qtr 1,March,28,8.7292,0
Supplies,Office Supplies,2021,Qtr 1,March,28,,
Accessories,Technology,2021,Qtr 1,March,28,,
Copiers,Technology,2021,Qtr 1,March,28,,
Machines,Technology,2021,Qtr 1,March,28,,
Phones,Technology,2021,Qtr 1,March,28,,
Bookcases,Furniture,2021,Qtr 1,March,29,-167.986,0
Chairs,Furniture,2021,Qtr 1,March,29,-36.1764,0
Furnishings,Furniture,2021,Qtr 1,March,29,124.2,0
Tables,Furniture,2021,Qtr 1,March,29,,
Appliances,Office Supplies,2021,Qtr 1,March,29,,
Art,Office Supplies,2021,Qtr 1,March,29,,
Binders,Office Supplies,2021,Qtr 1,March,29,24.2939,0
Envelopes,Office Supplies,2021,Qtr 1,March,29,,
Fasteners,Office Supplies,2021,Qtr 1,March,29,,
Labels,Office Supplies,2021,Qtr 1,March,29,,
Paper,Office Supplies,2021,Qtr 1,March,29,22.6748,0
Storage,Office Supplies,2021,Qtr 1,March,29,,
Supplies,Office Supplies,2021,Qtr 1,March,29,,
Accessories,Technology,2021,Qtr 1,March,29,,
Copiers,Technology,2021,Qtr 1,March,29,,
Machines,Technology,2021,Qtr 1,March,29,,
Phones,Technology,2021,Qtr 1,March,29,24.0008,0
Bookcases,Furniture,2021,Qtr 1,March,30,,
Chairs,Furniture,2021,Qtr 1,March,30,,
Furnishings,Furniture,2021,Qtr 1,March,30,,
Tables,Furniture,2021,Qtr 1,March,30,,
Appliances,Office Supplies,2021,Qtr 1,March,30,,
Art,Office Supplies,2021,Qtr 1,March,30,,
Binders,Office Supplies,2021,Qtr 1,March,30,,
Envelopes,Office Supplies,2021,Qtr 1,March,30,,
Fasteners,Office Supplies,2021,Qtr 1,March,30,,
Labels,Office Supplies,2021,Qtr 1,March,30,,
Paper,Office Supplies,2021,Qtr 1,March,30,5.5566,0
Storage,Office Supplies,2021,Qtr 1,March,30,,
Supplies,Office Supplies,2021,Qtr 1,March,30,,
Accessories,Technology,2021,Qtr 1,March,30,,
Copiers,Technology,2021,Qtr 1,March,30,,
Machines,Technology,2021,Qtr 1,March,30,,
Phones,Technology,2021,Qtr 1,March,30,,
Bookcases,Furniture,2021,Qtr 1,March,31,,
Chairs,Furniture,2021,Qtr 1,March,31,54.666,0
Furnishings,Furniture,2021,Qtr 1,March,31,,
Tables,Furniture,2021,Qtr 1,March,31,,
Appliances,Office Supplies,2021,Qtr 1,March,31,,
Art,Office Supplies,2021,Qtr 1,March,31,,
Binders,Office Supplies,2021,Qtr 1,March,31,,
Envelopes,Office Supplies,2021,Qtr 1,March,31,,
Fasteners,Office Supplies,2021,Qtr 1,March,31,,
Labels,Office Supplies,2021,Qtr 1,March,31,,
Paper,Office Supplies,2021,Qtr 1,March,31,,
Storage,Office Supplies,2021,Qtr 1,March,31,,
Supplies,Office Supplies,2021,Qtr 1,March,31,,
Accessories,Technology,2021,Qtr 1,March,31,1.1994,0
Copiers,Technology,2021,Qtr 1,March,31,,
Machines,Technology,2021,Qtr 1,March,31,,
Phones,Technology,2021,Qtr 1,March,31,-60.8361,0
Bookcases,Furniture,2021,Qtr 2,April,1,,
Chairs,Furniture,2021,Qtr 2,April,1,,
Furnishings,Furniture,2021,Qtr 2,April,1,,
Tables,Furniture,2021,Qtr 2,April,1,,
Appliances,Office Supplies,2021,Qtr 2,April,1,,
Art,Office Supplies,2021,Qtr 2,April,1,0.584,0
Binders,Office Supplies,2021,Qtr 2,April,1,-80.178,1
Envelopes,Office Supplies,2021,Qtr 2,April,1,,
Fasteners,Office Supplies,2021,Qtr 2,April,1,,
Labels,Office Supplies,2021,Qtr 2,April,1,,
Paper,Office Supplies,2021,Qtr 2,April,1,,
Storage,Office Supplies,2021,Qtr 2,April,1,,
Supplies,Office Supplies,2021,Qtr 2,April,1,,
Accessories,Technology,2021,Qtr 2,April,1,,
Copiers,Technology,2021,Qtr 2,April,1,119.996,0
Machines,Technology,2021,Qtr 2,April,1,,
Phones,Technology,2021,Qtr 2,April,1,,
Bookcases,Furniture,2021,Qtr 2,April,2,,
Chairs,Furniture,2021,Qtr 2,April,2,,
Furnishings,Furniture,2021,Qtr 2,April,2,3.9512,0
Tables,Furniture,2021,Qtr 2,April,2,,
Appliances,Office Supplies,2021,Qtr 2,April,2,,
Art,Office Supplies,2021,Qtr 2,April,2,,
Binders,Office Supplies,2021,Qtr 2,April,2,,
Envelopes,Office Supplies,2021,Qtr 2,April,2,,
Fasteners,Office Supplies,2021,Qtr 2,April,2,,
Labels,Office Supplies,2021,Qtr 2,April,2,,
Paper,Office Supplies,2021,Qtr 2,April,2,,
Storage,Office Supplies,2021,Qtr 2,April,2,3.7208,0
Supplies,Office Supplies,2021,Qtr 2,April,2,,
Accessories,Technology,2021,Qtr 2,April,2,,
Copiers,Technology,2021,Qtr 2,April,2,,
Machines,Technology,2021,Qtr 2,April,2,,
Phones,Technology,2021,Qtr 2,April,2,23.5248,0
Bookcases,Furniture,2021,Qtr 2,April,3,,
Chairs,Furniture,2021,Qtr 2,April,3,,
Furnishings,Furniture,2021,Qtr 2,April,3,,
Tables,Furniture,2021,Qtr 2,April,3,,
Appliances,Office Supplies,2021,Qtr 2,April,3,,
Art,Office Supplies,2021,Qtr 2,April,3,4.9271,0
Binders,Office Supplies,2021,Qtr 2,April,3,64.2,0
Envelopes,Office Supplies,2021,Qtr 2,April,3,,
Fasteners,Office Supplies,2021,Qtr 2,April,3,,
Labels,Office Supplies,2021,Qtr 2,April,3,3.528,0
Paper,Office Supplies,2021,Qtr 2,April,3,,
Storage,Office Supplies,2021,Qtr 2,April,3,,
Supplies,Office Supplies,2021,Qtr 2,April,3,,
Accessories,Technology,2021,Qtr 2,April,3,57.5928,0
Copiers,Technology,2021,Qtr 2,April,3,,
Machines,Technology,2021,Qtr 2,April,3,,
Phones,Technology,2021,Qtr 2,April,3,,
Bookcases,Furniture,2021,Qtr 2,April,4,,
Chairs,Furniture,2021,Qtr 2,April,4,,
Furnishings,Furniture,2021,Qtr 2,April,4,7.4376,0
Tables,Furniture,2021,Qtr 2,April,4,,
Appliances,Office Supplies,2021,Qtr 2,April,4,,
Art,Office Supplies,2021,Qtr 2,April,4,,
Binders,Office Supplies,2021,Qtr 2,April,4,183.995,0
Envelopes,Office Supplies,2021,Qtr 2,April,4,,
Fasteners,Office Supplies,2021,Qtr 2,April,4,,
Labels,Office Supplies,2021,Qtr 2,April,4,,
Paper,Office Supplies,2021,Qtr 2,April,4,13.0707,0
Storage,Office Supplies,2021,Qtr 2,April,4,8.0652,0
Supplies,Office Supplies,2021,Qtr 2,April,4,,
Accessories,Technology,2021,Qtr 2,April,4,37.7874,0
Copiers,Technology,2021,Qtr 2,April,4,,
Machines,Technology,2021,Qtr 2,April,4,,
Phones,Technology,2021,Qtr 2,April,4,5.9988,0
Bookcases,Furniture,2021,Qtr 2,April,6,5.1294,0
Chairs,Furniture,2021,Qtr 2,April,6,,
Furnishings,Furniture,2021,Qtr 2,April,6,-343.4532,3
Tables,Furniture,2021,Qtr 2,April,6,-120.513,0
Appliances,Office Supplies,2021,Qtr 2,April,6,,
Art,Office Supplies,2021,Qtr 2,April,6,1.2038,0
Binders,Office Supplies,2021,Qtr 2,April,6,,
Envelopes,Office Supplies,2021,Qtr 2,April,6,,
Fasteners,Office Supplies,2021,Qtr 2,April,6,,
Labels,Office Supplies,2021,Qtr 2,April,6,,
Paper,Office Supplies,2021,Qtr 2,April,6,52.0814,0
Storage,Office Supplies,2021,Qtr 2,April,6,,
Supplies,Office Supplies,2021,Qtr 2,April,6,,
Accessories,Technology,2021,Qtr 2,April,6,,
Copiers,Technology,2021,Qtr 2,April,6,,
Machines,Technology,2021,Qtr 2,April,6,364.4595,0
Phones,Technology,2021,Qtr 2,April,6,11.1944,0
Bookcases,Furniture,2021,Qtr 2,April,7,225.735,0
Chairs,Furniture,2021,Qtr 2,April,7,,
Furnishings,Furniture,2021,Qtr 2,April,7,17.272,0
Tables,Furniture,2021,Qtr 2,April,7,,
Appliances,Office Supplies,2021,Qtr 2,April,7,,
Art,Office Supplies,2021,Qtr 2,April,7,,
Binders,Office Supplies,2021,Qtr 2,April,7,,
Envelopes,Office Supplies,2021,Qtr 2,April,7,20.6612,0
Fasteners,Office Supplies,2021,Qtr 2,April,7,,
Labels,Office Supplies,2021,Qtr 2,April,7,,
Paper,Office Supplies,2021,Qtr 2,April,7,,
Storage,Office Supplies,2021,Qtr 2,April,7,0.5584,0
Supplies,Office Supplies,2021,Qtr 2,April,7,,
Accessories,Technology,2021,Qtr 2,April,7,,
Copiers,Technology,2021,Qtr 2,April,7,,
Machines,Technology,2021,Qtr 2,April,7,,
Phones,Technology,2021,Qtr 2,April,7,28.9635,0
Bookcases,Furniture,2021,Qtr 2,April,8,,
Chairs,Furniture,2021,Qtr 2,April,8,,
Furnishings,Furniture,2021,Qtr 2,April,8,46.116,0
Tables,Furniture,2021,Qtr 2,April,8,,
Appliances,Office Supplies,2021,Qtr 2,April,8,,
Art,Office Supplies,2021,Qtr 2,April,8,,
Binders,Office Supplies,2021,Qtr 2,April,8,4.4814,1
Envelopes,Office Supplies,2021,Qtr 2,April,8,,
Fasteners,Office Supplies,2021,Qtr 2,April,8,,
Labels,Office Supplies,2021,Qtr 2,April,8,6.7116,0
Paper,Office Supplies,2021,Qtr 2,April,8,,
Storage,Office Supplies,2021,Qtr 2,April,8,,
Supplies,Office Supplies,2021,Qtr 2,April,8,10.518,0
Accessories,Technology,2021,Qtr 2,April,8,,
Copiers,Technology,2021,Qtr 2,April,8,,
Machines,Technology,2021,Qtr 2,April,8,,
Phones,Technology,2021,Qtr 2,April,8,30.2384,0
Bookcases,Furniture,2021,Qtr 2,April,9,,
Chairs,Furniture,2021,Qtr 2,April,9,,
Furnishings,Furniture,2021,Qtr 2,April,9,50.2878,0
Tables,Furniture,2021,Qtr 2,April,9,,
Appliances,Office Supplies,2021,Qtr 2,April,9,8.7168,0
Art,Office Supplies,2021,Qtr 2,April,9,18.9114,0
Binders,Office Supplies,2021,Qtr 2,April,9,75.1437,0
Envelopes,Office Supplies,2021,Qtr 2,April,9,7.7832,0
Fasteners,Office Supplies,2021,Qtr 2,April,9,,
Labels,Office Supplies,2021,Qtr 2,April,9,,
Paper,Office Supplies,2021,Qtr 2,April,9,119.0748,0
Storage,Office Supplies,2021,Qtr 2,April,9,165.8198,0
Supplies,Office Supplies,2021,Qtr 2,April,9,6.5888,0
Accessories,Technology,2021,Qtr 2,April,9,67.188,0
Copiers,Technology,2021,Qtr 2,April,9,944.9865,0
Machines,Technology,2021,Qtr 2,April,9,,
Phones,Technology,2021,Qtr 2,April,9,,
Bookcases,Furniture,2021,Qtr 2,April,10,,
Chairs,Furniture,2021,Qtr 2,April,10,,
Furnishings,Furniture,2021,Qtr 2,April,10,2.6028,0
Tables,Furniture,2021,Qtr 2,April,10,-23.9372,0
Appliances,Office Supplies,2021,Qtr 2,April,10,,
Art,Office Supplies,2021,Qtr 2,April,10,,
Binders,Office Supplies,2021,Qtr 2,April,10,13.984,0
Envelopes,Office Supplies,2021,Qtr 2,April,10,19.4194,0
Fasteners,Office Supplies,2021,Qtr 2,April,10,,
Labels,Office Supplies,2021,Qtr 2,April,10,,
Paper,Office Supplies,2021,Qtr 2,April,10,,
Storage,Office Supplies,2021,Qtr 2,April,10,34.539,0
Supplies,Office Supplies,2021,Qtr 2,April,10,,
Accessories,Technology,2021,Qtr 2,April,10,,
Copiers,Technology,2021,Qtr 2,April,10,2591.9568,0
Machines,Technology,2021,Qtr 2,April,10,,
Phones,Technology,2021,Qtr 2,April,10,19.755,0
Bookcases,Furniture,2021,Qtr 2,April,11,,
Chairs,Furniture,2021,Qtr 2,April,11,-111.9606,0
Furnishings,Furniture,2021,Qtr 2,April,11,-29.6309,2
Tables,Furniture,2021,Qtr 2,April,11,-292.1,0
Appliances,Office Supplies,2021,Qtr 2,April,11,,
Art,Office Supplies,2021,Qtr 2,April,11,55.912,0
Binders,Office Supplies,2021,Qtr 2,April,11,4.1006,0
Envelopes,Office Supplies,2021,Qtr 2,April,11,,
Fasteners,Office Supplies,2021,Qtr 2,April,11,5.2626,0
Labels,Office Supplies,2021,Qtr 2,April,11,228.0792,0
Paper,Office Supplies,2021,Qtr 2,April,11,40.7572,0
Storage,Office Supplies,2021,Qtr 2,April,11,3.9592,0
Supplies,Office Supplies,2021,Qtr 2,April,11,-38.9342,0
Accessories,Technology,2021,Qtr 2,April,11,,
Copiers,Technology,2021,Qtr 2,April,11,,
Machines,Technology,2021,Qtr 2,April,11,77.22,0
Phones,Technology,2021,Qtr 2,April,11,,
Bookcases,Furniture,2021,Qtr 2,April,12,,
Chairs,Furniture,2021,Qtr 2,April,12,,
Furnishings,Furniture,2021,Qtr 2,April,12,20.4822,0
Tables,Furniture,2021,Qtr 2,April,12,,
Appliances,Office Supplies,2021,Qtr 2,April,12,,
Art,Office Supplies,2021,Qtr 2,April,12,,
Binders,Office Supplies,2021,Qtr 2,April,12,6.4278,0
Envelopes,Office Supplies,2021,Qtr 2,April,12,,
Fasteners,Office Supplies,2021,Qtr 2,April,12,,
Labels,Office Supplies,2021,Qtr 2,April,12,,
Paper,Office Supplies,2021,Qtr 2,April,12,70.2024,0
Storage,Office Supplies,2021,Qtr 2,April,12,15.2904,0
Supplies,Office Supplies,2021,Qtr 2,April,12,,
Accessories,Technology,2021,Qtr 2,April,12,34.386,0
Copiers,Technology,2021,Qtr 2,April,12,,
Machines,Technology,2021,Qtr 2,April,12,,
Phones,Technology,2021,Qtr 2,April,12,,
Bookcases,Furniture,2021,Qtr 2,April,13,,
Chairs,Furniture,2021,Qtr 2,April,13,,
Furnishings,Furniture,2021,Qtr 2,April,13,,
Tables,Furniture,2021,Qtr 2,April,13,,
Appliances,Office Supplies,2021,Qtr 2,April,13,,
Art,Office Supplies,2021,Qtr 2,April,13,,
Binders,Office Supplies,2021,Qtr 2,April,13,,
Envelopes,Office Supplies,2021,Qtr 2,April,13,2.8764,0
Fasteners,Office Supplies,2021,Qtr 2,April,13,,
Labels,Office Supplies,2021,Qtr 2,April,13,,
Paper,Office Supplies,2021,Qtr 2,April,13,,
Storage,Office Supplies,2021,Qtr 2,April,13,,
Supplies,Office Supplies,2021,Qtr 2,April,13,,
Accessories,Technology,2021,Qtr 2,April,13,,
Copiers,Technology,2021,Qtr 2,April,13,,
Machines,Technology,2021,Qtr 2,April,13,,
Phones,Technology,2021,Qtr 2,April,13,,
Bookcases,Furniture,2021,Qtr 2,April,14,,
Chairs,Furniture,2021,Qtr 2,April,14,143.4028,0
Furnishings,Furniture,2021,Qtr 2,April,14,,
Tables,Furniture,2021,Qtr 2,April,14,,
Appliances,Office Supplies,2021,Qtr 2,April,14,,
