Superstore 2023.Region	Superstore 2023.Category	Superstore 2023.Sub-Category	Superstore 2023.Order Date	Superstore 2023.ProfitM	Sum(Superstore 2023.Sales)
Central	Furniture	Furnishings	Sunday, December 10, 2023		
East	Furniture	Furnishings	Sunday, December 10, 2023	38.702	398.8
South	Furniture	Furnishings	Sunday, December 10, 2023	10.0116	33.864
West	Furniture	Furnishings	Sunday, December 10, 2023		
Central	Furniture	Furnishings	Monday, December 11, 2023	-66.062	77.72
East	Furniture	Furnishings	Monday, December 11, 2023		
South	Furniture	Furnishings	Monday, December 11, 2023		
West	Furniture	Furnishings	Monday, December 11, 2023		
Central	Furniture	Furnishings	Wednesday, December 13, 2023		
East	Furniture	Furnishings	Wednesday, December 13, 2023		
South	Furniture	Furnishings	Wednesday, December 13, 2023		
West	Furniture	Furnishings	Wednesday, December 13, 2023	54.2808	201.04
Central	Furniture	Furnishings	Thursday, December 14, 2023	-321.0638	324.712
East	Furniture	Furnishings	Thursday, December 14, 2023		
South	Furniture	Furnishings	Thursday, December 14, 2023		
West	Furniture	Furnishings	Thursday, December 14, 2023	11.025	26.25
Central	Furniture	Furnishings	Friday, December 15, 2023		
East	Furniture	Furnishings	Friday, December 15, 2023		
South	Furniture	Furnishings	Friday, December 15, 2023		
West	Furniture	Furnishings	Friday, December 15, 2023	9.7911	22.77
Central	Furniture	Furnishings	Saturday, December 16, 2023		
East	Furniture	Furnishings	Saturday, December 16, 2023		
South	Furniture	Furnishings	Saturday, December 16, 2023		
West	Furniture	Furnishings	Saturday, December 16, 2023	7.584	18.96
Central	Furniture	Furnishings	Sunday, December 17, 2023		
East	Furniture	Furnishings	Sunday, December 17, 2023	27.3592	124.36
South	Furniture	Furnishings	Sunday, December 17, 2023		
West	Furniture	Furnishings	Sunday, December 17, 2023		
Central	Furniture	Furnishings	Monday, December 18, 2023	22.9885	99.95
East	Furniture	Furnishings	Monday, December 18, 2023	8.532	18.96
South	Furniture	Furnishings	Monday, December 18, 2023		
West	Furniture	Furnishings	Monday, December 18, 2023		
Central	Furniture	Furnishings	Tuesday, December 19, 2023		
East	Furniture	Furnishings	Tuesday, December 19, 2023		
South	Furniture	Furnishings	Tuesday, December 19, 2023		
West	Furniture	Furnishings	Tuesday, December 19, 2023	4.008	13.36
Central	Furniture	Furnishings	Thursday, December 21, 2023	7.0048	15.92
East	Furniture	Furnishings	Thursday, December 21, 2023		
South	Furniture	Furnishings	Thursday, December 21, 2023		
West	Furniture	Furnishings	Thursday, December 21, 2023		
Central	Furniture	Furnishings	Saturday, December 23, 2023		
East	Furniture	Furnishings	Saturday, December 23, 2023	48.0951	209.41
South	Furniture	Furnishings	Saturday, December 23, 2023	19.0848	72.704
West	Furniture	Furnishings	Saturday, December 23, 2023		
Central	Furniture	Furnishings	Sunday, December 24, 2023		
East	Furniture	Furnishings	Sunday, December 24, 2023	6.8274	37.93
South	Furniture	Furnishings	Sunday, December 24, 2023		
West	Furniture	Furnishings	Sunday, December 24, 2023	1.9224	8.544
Central	Furniture	Furnishings	Monday, December 25, 2023		
East	Furniture	Furnishings	Monday, December 25, 2023	10.9096	41.96
South	Furniture	Furnishings	Monday, December 25, 2023	5.775	21
West	Furniture	Furnishings	Monday, December 25, 2023		
Central	Furniture	Furnishings	Thursday, December 28, 2023	-3.7964	10.928
East	Furniture	Furnishings	Thursday, December 28, 2023		
South	Furniture	Furnishings	Thursday, December 28, 2023		
West	Furniture	Furnishings	Thursday, December 28, 2023	3.034	7.4
Central	Furniture	Furnishings	Friday, December 29, 2023		
East	Furniture	Furnishings	Friday, December 29, 2023		
South	Furniture	Furnishings	Friday, December 29, 2023		
West	Furniture	Furnishings	Friday, December 29, 2023	57.9524	169.58
Central	Furniture	Tables	Monday, January 27, 2020		
East	Furniture	Tables	Monday, January 27, 2020		
South	Furniture	Tables	Monday, January 27, 2020		
West	Furniture	Tables	Monday, January 27, 2020	-16.65	333
Central	Furniture	Tables	Tuesday, February 11, 2020		
East	Furniture	Tables	Tuesday, February 11, 2020		
South	Furniture	Tables	Tuesday, February 11, 2020	75.3732	1256.22
West	Furniture	Tables	Tuesday, February 11, 2020		
Central	Furniture	Tables	Sunday, March 01, 2020	-43.0296	376.509
East	Furniture	Tables	Sunday, March 01, 2020		
South	Furniture	Tables	Sunday, March 01, 2020		
West	Furniture	Tables	Sunday, March 01, 2020		
Central	Furniture	Tables	Tuesday, March 03, 2020		
East	Furniture	Tables	Tuesday, March 03, 2020		
South	Furniture	Tables	Tuesday, March 03, 2020		
West	Furniture	Tables	Tuesday, March 03, 2020	-23.4882	626.352
Central	Furniture	Tables	Tuesday, March 17, 2020		
East	Furniture	Tables	Tuesday, March 17, 2020	-1124.0239	3265.23
South	Furniture	Tables	Tuesday, March 17, 2020		
West	Furniture	Tables	Tuesday, March 17, 2020		
Central	Furniture	Tables	Saturday, March 28, 2020	106.6248	1184.72
East	Furniture	Tables	Saturday, March 28, 2020	-143.2548	330.588
South	Furniture	Tables	Saturday, March 28, 2020		
West	Furniture	Tables	Saturday, March 28, 2020		
Central	Furniture	Tables	Sunday, March 29, 2020	-152.7156	890.841
East	Furniture	Tables	Sunday, March 29, 2020		
South	Furniture	Tables	Sunday, March 29, 2020		
West	Furniture	Tables	Sunday, March 29, 2020		
Central	Furniture	Tables	Monday, April 06, 2020		
East	Furniture	Tables	Monday, April 06, 2020	-36.1116	154.764
South	Furniture	Tables	Monday, April 06, 2020		
West	Furniture	Tables	Monday, April 06, 2020	111.1035	653.55
Central	Furniture	Tables	Wednesday, April 08, 2020		
East	Furniture	Tables	Wednesday, April 08, 2020	-94.6605	172.11
South	Furniture	Tables	Wednesday, April 08, 2020	316.1392	1215.92
West	Furniture	Tables	Wednesday, April 08, 2020	2.4898	99.592
Central	Furniture	Tables	Monday, April 20, 2020	-227.621	1145.69
East	Furniture	Tables	Monday, April 20, 2020		
South	Furniture	Tables	Monday, April 20, 2020		
West	Furniture	Tables	Monday, April 20, 2020		
Central	Furniture	Tables	Thursday, May 07, 2020		
East	Furniture	Tables	Thursday, May 07, 2020	-38.85	194.25
South	Furniture	Tables	Thursday, May 07, 2020		
West	Furniture	Tables	Thursday, May 07, 2020		
Central	Furniture	Tables	Tuesday, May 12, 2020		
East	Furniture	Tables	Tuesday, May 12, 2020	-130.0104	700.056
South	Furniture	Tables	Tuesday, May 12, 2020		
West	Furniture	Tables	Tuesday, May 12, 2020		
Central	Furniture	Tables	Wednesday, May 27, 2020		
East	Furniture	Tables	Wednesday, May 27, 2020		
South	Furniture	Tables	Wednesday, May 27, 2020		
West	Furniture	Tables	Wednesday, May 27, 2020	-28.356	567.12
Central	Furniture	Tables	Saturday, May 30, 2020	-184.8366	355.455
East	Furniture	Tables	Saturday, May 30, 2020		
South	Furniture	Tables	Saturday, May 30, 2020		
West	Furniture	Tables	Saturday, May 30, 2020		
Central	Furniture	Tables	Wednesday, June 03, 2020		
East	Furniture	Tables	Wednesday, June 03, 2020		
South	Furniture	Tables	Wednesday, June 03, 2020		
West	Furniture	Tables	Wednesday, June 03, 2020	113.4936	515.88
Central	Furniture	Tables	Saturday, June 06, 2020		
East	Furniture	Tables	Saturday, June 06, 2020	-347.1174	991.764
South	Furniture	Tables	Saturday, June 06, 2020		
West	Furniture	Tables	Saturday, June 06, 2020		
Central	Furniture	Tables	Sunday, June 07, 2020	-209.7693	268.935
East	Furniture	Tables	Sunday, June 07, 2020		
South	Furniture	Tables	Sunday, June 07, 2020		
West	Furniture	Tables	Sunday, June 07, 2020		
Central	Furniture	Tables	Tuesday, June 09, 2020		
East	Furniture	Tables	Tuesday, June 09, 2020		
South	Furniture	Tables	Tuesday, June 09, 2020	245.021	1441.3
West	Furniture	Tables	Tuesday, June 09, 2020	85.3092	1706.184
Central	Furniture	Tables	Monday, June 15, 2020	-18.5562	99.918
East	Furniture	Tables	Monday, June 15, 2020		
South	Furniture	Tables	Monday, June 15, 2020		
West	Furniture	Tables	Monday, June 15, 2020		
Central	Furniture	Tables	Thursday, June 25, 2020		
East	Furniture	Tables	Thursday, June 25, 2020		
South	Furniture	Tables	Thursday, June 25, 2020		
West	Furniture	Tables	Thursday, June 25, 2020	11.196	447.84
Central	Furniture	Tables	Saturday, June 27, 2020		
East	Furniture	Tables	Saturday, June 27, 2020		
South	Furniture	Tables	Saturday, June 27, 2020	22.3548	85.98
West	Furniture	Tables	Saturday, June 27, 2020		
Central	Furniture	Tables	Wednesday, July 08, 2020		
East	Furniture	Tables	Wednesday, July 08, 2020		
South	Furniture	Tables	Wednesday, July 08, 2020		
West	Furniture	Tables	Wednesday, July 08, 2020	-87.9354	502.488
Central	Furniture	Tables	Sunday, July 12, 2020		
East	Furniture	Tables	Sunday, July 12, 2020		
South	Furniture	Tables	Sunday, July 12, 2020		
West	Furniture	Tables	Sunday, July 12, 2020	-17.4588	698.352
Central	Furniture	Tables	Monday, July 13, 2020		
East	Furniture	Tables	Monday, July 13, 2020		
South	Furniture	Tables	Monday, July 13, 2020		
West	Furniture	Tables	Monday, July 13, 2020	4.3902	351.216
Central	Furniture	Tables	Sunday, July 19, 2020		
East	Furniture	Tables	Sunday, July 19, 2020	-4.032	70.56
South	Furniture	Tables	Sunday, July 19, 2020		
West	Furniture	Tables	Sunday, July 19, 2020		
Central	Furniture	Tables	Tuesday, July 21, 2020		
East	Furniture	Tables	Tuesday, July 21, 2020		
South	Furniture	Tables	Tuesday, July 21, 2020		
West	Furniture	Tables	Tuesday, July 21, 2020	27.2848	272.848
Central	Furniture	Tables	Wednesday, July 22, 2020		
East	Furniture	Tables	Wednesday, July 22, 2020		
South	Furniture	Tables	Wednesday, July 22, 2020		
West	Furniture	Tables	Wednesday, July 22, 2020	19.1646	170.352
Central	Furniture	Tables	Monday, August 03, 2020		
East	Furniture	Tables	Monday, August 03, 2020		
South	Furniture	Tables	Monday, August 03, 2020		
West	Furniture	Tables	Monday, August 03, 2020	-161.875	218.75
Central	Furniture	Tables	Wednesday, August 05, 2020	41.934	489.23
East	Furniture	Tables	Wednesday, August 05, 2020		
South	Furniture	Tables	Wednesday, August 05, 2020		
West	Furniture	Tables	Wednesday, August 05, 2020		
Central	Furniture	Tables	Sunday, August 16, 2020		
East	Furniture	Tables	Sunday, August 16, 2020	-227.4912	853.092
South	Furniture	Tables	Sunday, August 16, 2020		
West	Furniture	Tables	Sunday, August 16, 2020		
Central	Furniture	Tables	Thursday, August 27, 2020		
East	Furniture	Tables	Thursday, August 27, 2020		
South	Furniture	Tables	Thursday, August 27, 2020	300.735	1202.94
West	Furniture	Tables	Thursday, August 27, 2020		
Central	Furniture	Tables	Saturday, August 29, 2020		
East	Furniture	Tables	Saturday, August 29, 2020		
South	Furniture	Tables	Saturday, August 29, 2020	-110.7645	174.0585
West	Furniture	Tables	Saturday, August 29, 2020		
Central	Furniture	Tables	Monday, September 07, 2020	88.826	630.695
East	Furniture	Tables	Monday, September 07, 2020		
South	Furniture	Tables	Monday, September 07, 2020		
West	Furniture	Tables	Monday, September 07, 2020		
Central	Furniture	Tables	Monday, September 14, 2020		
East	Furniture	Tables	Monday, September 14, 2020	-108.3348	464.292
South	Furniture	Tables	Monday, September 14, 2020		
West	Furniture	Tables	Monday, September 14, 2020		
Central	Furniture	Tables	Saturday, September 19, 2020		
East	Furniture	Tables	Saturday, September 19, 2020		
South	Furniture	Tables	Saturday, September 19, 2020		
West	Furniture	Tables	Saturday, September 19, 2020	-45.8273	73.915
Central	Furniture	Tables	Sunday, September 20, 2020	-407.682	617.7
East	Furniture	Tables	Sunday, September 20, 2020		
South	Furniture	Tables	Sunday, September 20, 2020		
West	Furniture	Tables	Sunday, September 20, 2020		
Central	Furniture	Tables	Tuesday, September 29, 2020		
East	Furniture	Tables	Tuesday, September 29, 2020	-102.0072	476.448
South	Furniture	Tables	Tuesday, September 29, 2020		
West	Furniture	Tables	Tuesday, September 29, 2020	399.2994	2348.82
Central	Furniture	Tables	Saturday, October 03, 2020		
East	Furniture	Tables	Saturday, October 03, 2020		
South	Furniture	Tables	Saturday, October 03, 2020		
West	Furniture	Tables	Saturday, October 03, 2020	3.5858	143.432
Central	Furniture	Tables	Tuesday, October 13, 2020		
East	Furniture	Tables	Tuesday, October 13, 2020		
South	Furniture	Tables	Tuesday, October 13, 2020		
West	Furniture	Tables	Tuesday, October 13, 2020	311.652	1298.55
Central	Furniture	Tables	Tuesday, October 20, 2020		
East	Furniture	Tables	Tuesday, October 20, 2020		
South	Furniture	Tables	Tuesday, October 20, 2020	-147.8655	328.59
West	Furniture	Tables	Tuesday, October 20, 2020		
Central	Furniture	Tables	Wednesday, October 21, 2020		
East	Furniture	Tables	Wednesday, October 21, 2020	-122.877	409.59
South	Furniture	Tables	Wednesday, October 21, 2020	112.3508	591.32
West	Furniture	Tables	Wednesday, October 21, 2020		
Central	Furniture	Tables	Saturday, October 31, 2020		
East	Furniture	Tables	Saturday, October 31, 2020	-795.1342	1807.35
South	Furniture	Tables	Saturday, October 31, 2020		
West	Furniture	Tables	Saturday, October 31, 2020		
Central	Furniture	Tables	Tuesday, November 03, 2020		
East	Furniture	Tables	Tuesday, November 03, 2020		
South	Furniture	Tables	Tuesday, November 03, 2020	-299.2614	945.036
West	Furniture	Tables	Tuesday, November 03, 2020		
Central	Furniture	Tables	Wednesday, November 04, 2020		
East	Furniture	Tables	Wednesday, November 04, 2020		
South	Furniture	Tables	Wednesday, November 04, 2020		
West	Furniture	Tables	Wednesday, November 04, 2020	-64.5444	573.728
Central	Furniture	Tables	Thursday, November 12, 2020		
East	Furniture	Tables	Thursday, November 12, 2020		
South	Furniture	Tables	Thursday, November 12, 2020		
West	Furniture	Tables	Thursday, November 12, 2020	31.4532	629.064
Central	Furniture	Tables	Wednesday, November 18, 2020	-175.26	292.1
East	Furniture	Tables	Wednesday, November 18, 2020		
South	Furniture	Tables	Wednesday, November 18, 2020		
West	Furniture	Tables	Wednesday, November 18, 2020	-4.3404	876.18
Central	Furniture	Tables	Wednesday, November 25, 2020	-121.8735	1218.735
East	Furniture	Tables	Wednesday, November 25, 2020		
South	Furniture	Tables	Wednesday, November 25, 2020		
West	Furniture	Tables	Wednesday, November 25, 2020		
Central	Furniture	Tables	Sunday, December 06, 2020	-120.372	214.95
East	Furniture	Tables	Sunday, December 06, 2020		
South	Furniture	Tables	Sunday, December 06, 2020		
West	Furniture	Tables	Sunday, December 06, 2020	-170.8038	275.49
Central	Furniture	Tables	Saturday, December 12, 2020		
East	Furniture	Tables	Saturday, December 12, 2020		
South	Furniture	Tables	Saturday, December 12, 2020		
West	Furniture	Tables	Saturday, December 12, 2020	230.9928	4375.536
Central	Furniture	Tables	Monday, December 14, 2020		
East	Furniture	Tables	Monday, December 14, 2020	-52.3365	136.53
South	Furniture	Tables	Monday, December 14, 2020		
West	Furniture	Tables	Monday, December 14, 2020		
Central	Furniture	Tables	Sunday, December 20, 2020		
East	Furniture	Tables	Sunday, December 20, 2020		
South	Furniture	Tables	Sunday, December 20, 2020	593.9076	2699.58
West	Furniture	Tables	Sunday, December 20, 2020		
Central	Furniture	Tables	Wednesday, December 23, 2020		
East	Furniture	Tables	Wednesday, December 23, 2020	-19.5492	53.316
South	Furniture	Tables	Wednesday, December 23, 2020		
West	Furniture	Tables	Wednesday, December 23, 2020		
Central	Furniture	Tables	Wednesday, December 30, 2020		
East	Furniture	Tables	Wednesday, December 30, 2020	-192.0468	523.764
South	Furniture	Tables	Wednesday, December 30, 2020		
West	Furniture	Tables	Wednesday, December 30, 2020		
Central	Furniture	Tables	Sunday, January 10, 2021		
East	Furniture	Tables	Sunday, January 10, 2021	-373.3048	1018.104
South	Furniture	Tables	Sunday, January 10, 2021		
West	Furniture	Tables	Sunday, January 10, 2021		
Central	Furniture	Tables	Tuesday, January 19, 2021	-13.1706	102.438
East	Furniture	Tables	Tuesday, January 19, 2021		
South	Furniture	Tables	Tuesday, January 19, 2021		
West	Furniture	Tables	Tuesday, January 19, 2021		
Central	Furniture	Tables	Thursday, January 28, 2021		
East	Furniture	Tables	Thursday, January 28, 2021		
South	Furniture	Tables	Thursday, January 28, 2021	-1862.3124	4297.644
West	Furniture	Tables	Thursday, January 28, 2021		
Central	Furniture	Tables	Thursday, February 18, 2021		
East	Furniture	Tables	Thursday, February 18, 2021		
South	Furniture	Tables	Thursday, February 18, 2021		
West	Furniture	Tables	Thursday, February 18, 2021	-0.8886	35.544
Central	Furniture	Tables	Saturday, February 27, 2021		
East	Furniture	Tables	Saturday, February 27, 2021	-28.224	493.92
South	Furniture	Tables	Saturday, February 27, 2021		
West	Furniture	Tables	Saturday, February 27, 2021		
Central	Furniture	Tables	Tuesday, March 02, 2021		
East	Furniture	Tables	Tuesday, March 02, 2021		
South	Furniture	Tables	Tuesday, March 02, 2021		
West	Furniture	Tables	Tuesday, March 02, 2021	165.3813	787.53
Central	Furniture	Tables	Tuesday, March 16, 2021		
East	Furniture	Tables	Tuesday, March 16, 2021		
South	Furniture	Tables	Tuesday, March 16, 2021		
West	Furniture	Tables	Tuesday, March 16, 2021	44.7096	171.96
Central	Furniture	Tables	Friday, March 26, 2021		
East	Furniture	Tables	Friday, March 26, 2021		
South	Furniture	Tables	Friday, March 26, 2021		
West	Furniture	Tables	Friday, March 26, 2021	610.8624	3393.68
Central	Furniture	Tables	Friday, April 09, 2021		
East	Furniture	Tables	Friday, April 09, 2021		
South	Furniture	Tables	Friday, April 09, 2021		
West	Furniture	Tables	Friday, April 09, 2021	-13.8717	369.912
Central	Furniture	Tables	Tuesday, April 13, 2021	-158.576	821.352
East	Furniture	Tables	Tuesday, April 13, 2021		
South	Furniture	Tables	Tuesday, April 13, 2021		
West	Furniture	Tables	Tuesday, April 13, 2021	-112.8374	952.4
Central	Furniture	Tables	Monday, April 26, 2021		
East	Furniture	Tables	Monday, April 26, 2021		
South	Furniture	Tables	Monday, April 26, 2021	-76.6062	191.5155
West	Furniture	Tables	Monday, April 26, 2021		
Central	Furniture	Tables	Friday, May 07, 2021	-31.3722	244.006
East	Furniture	Tables	Friday, May 07, 2021		
South	Furniture	Tables	Friday, May 07, 2021		
West	Furniture	Tables	Friday, May 07, 2021		
Central	Furniture	Tables	Tuesday, June 22, 2021	-525.6405	796.425
East	Furniture	Tables	Tuesday, June 22, 2021		
South	Furniture	Tables	Tuesday, June 22, 2021		
West	Furniture	Tables	Tuesday, June 22, 2021		
Central	Furniture	Tables	Sunday, July 11, 2021		
East	Furniture	Tables	Sunday, July 11, 2021	-37.1124	199.836
South	Furniture	Tables	Sunday, July 11, 2021		
West	Furniture	Tables	Sunday, July 11, 2021		
Central	Furniture	Tables	Sunday, July 25, 2021		
East	Furniture	Tables	Sunday, July 25, 2021		
South	Furniture	Tables	Sunday, July 25, 2021	39.4438	358.58
West	Furniture	Tables	Sunday, July 25, 2021		
Central	Furniture	Tables	Monday, July 26, 2021		
East	Furniture	Tables	Monday, July 26, 2021		
South	Furniture	Tables	Monday, July 26, 2021		
West	Furniture	Tables	Monday, July 26, 2021	-204.4458	393.165
Central	Furniture	Tables	Saturday, July 31, 2021		
East	Furniture	Tables	Saturday, July 31, 2021	-290.8752	1090.782
South	Furniture	Tables	Saturday, July 31, 2021		
West	Furniture	Tables	Saturday, July 31, 2021		
Central	Furniture	Tables	Sunday, August 01, 2021		
East	Furniture	Tables	Sunday, August 01, 2021		
South	Furniture	Tables	Sunday, August 01, 2021		
West	Furniture	Tables	Sunday, August 01, 2021	-175.8708	1004.976
Central	Furniture	Tables	Monday, August 02, 2021		
East	Furniture	Tables	Monday, August 02, 2021		
South	Furniture	Tables	Monday, August 02, 2021		
West	Furniture	Tables	Monday, August 02, 2021	-188.7	277.5
Central	Furniture	Tables	Monday, August 09, 2021	136.939	622.45
East	Furniture	Tables	Monday, August 09, 2021	-153.1224	382.806
South	Furniture	Tables	Monday, August 09, 2021		
West	Furniture	Tables	Monday, August 09, 2021		
Central	Furniture	Tables	Tuesday, August 24, 2021	-118.1295	918.785
East	Furniture	Tables	Tuesday, August 24, 2021	-75.8304	284.364
South	Furniture	Tables	Tuesday, August 24, 2021		
West	Furniture	Tables	Tuesday, August 24, 2021		
Central	Furniture	Tables	Saturday, August 28, 2021	-16.2613	103.481
East	Furniture	Tables	Saturday, August 28, 2021		
South	Furniture	Tables	Saturday, August 28, 2021		
West	Furniture	Tables	Saturday, August 28, 2021		
Central	Furniture	Tables	Monday, September 06, 2021		
East	Furniture	Tables	Monday, September 06, 2021		
South	Furniture	Tables	Monday, September 06, 2021	22.3548	85.98
West	Furniture	Tables	Monday, September 06, 2021		
Central	Furniture	Tables	Tuesday, September 07, 2021		
East	Furniture	Tables	Tuesday, September 07, 2021	-134.4579	508.59
South	Furniture	Tables	Tuesday, September 07, 2021		
West	Furniture	Tables	Tuesday, September 07, 2021		
Central	Furniture	Tables	Tuesday, September 14, 2021		
East	Furniture	Tables	Tuesday, September 14, 2021		
South	Furniture	Tables	Tuesday, September 14, 2021		
West	Furniture	Tables	Tuesday, September 14, 2021	110.1507	1082.886
Central	Furniture	Tables	Wednesday, September 15, 2021		
East	Furniture	Tables	Wednesday, September 15, 2021		
South	Furniture	Tables	Wednesday, September 15, 2021	200.49	801.96
West	Furniture	Tables	Wednesday, September 15, 2021		
Central	Furniture	Tables	Friday, September 17, 2021		
East	Furniture	Tables	Friday, September 17, 2021	-103.266	344.22
South	Furniture	Tables	Friday, September 17, 2021		
West	Furniture	Tables	Friday, September 17, 2021		
Central	Furniture	Tables	Saturday, September 25, 2021		
East	Furniture	Tables	Saturday, September 25, 2021		
South	Furniture	Tables	Saturday, September 25, 2021		
West	Furniture	Tables	Saturday, September 25, 2021	240.2649	1044.63
Central	Furniture	Tables	Monday, October 11, 2021		
East	Furniture	Tables	Monday, October 11, 2021		
South	Furniture	Tables	Monday, October 11, 2021	-383.031	957.5775
West	Furniture	Tables	Monday, October 11, 2021		
Central	Furniture	Tables	Tuesday, October 12, 2021		
East	Furniture	Tables	Tuesday, October 12, 2021	-13.978	209.67
South	Furniture	Tables	Tuesday, October 12, 2021		
West	Furniture	Tables	Tuesday, October 12, 2021		
Central	Furniture	Tables	Wednesday, October 20, 2021		
East	Furniture	Tables	Wednesday, October 20, 2021		
South	Furniture	Tables	Wednesday, October 20, 2021		
West	Furniture	Tables	Wednesday, October 20, 2021	27.3582	364.776
Central	Furniture	Tables	Sunday, October 24, 2021	-69.4722	347.361
East	Furniture	Tables	Sunday, October 24, 2021		
South	Furniture	Tables	Sunday, October 24, 2021		
West	Furniture	Tables	Sunday, October 24, 2021		
Central	Furniture	Tables	Monday, October 25, 2021		
East	Furniture	Tables	Monday, October 25, 2021		
South	Furniture	Tables	Monday, October 25, 2021		
West	Furniture	Tables	Monday, October 25, 2021	-31.647	253.176
Central	Furniture	Tables	Monday, November 01, 2021		
East	Furniture	Tables	Monday, November 01, 2021		
South	Furniture	Tables	Monday, November 01, 2021	45.294	301.96
West	Furniture	Tables	Monday, November 01, 2021		
Central	Furniture	Tables	Tuesday, November 02, 2021		
East	Furniture	Tables	Tuesday, November 02, 2021		
South	Furniture	Tables	Tuesday, November 02, 2021		
West	Furniture	Tables	Tuesday, November 02, 2021	51.942	1038.84
Central	Furniture	Tables	Tuesday, November 09, 2021	215.1198	1024.38
East	Furniture	Tables	Tuesday, November 09, 2021		
South	Furniture	Tables	Tuesday, November 09, 2021		
West	Furniture	Tables	Tuesday, November 09, 2021		
Central	Furniture	Tables	Tuesday, November 16, 2021	147.5022	867.66
East	Furniture	Tables	Tuesday, November 16, 2021		
South	Furniture	Tables	Tuesday, November 16, 2021		
West	Furniture	Tables	Tuesday, November 16, 2021	160.1766	696.42
Central	Furniture	Tables	Sunday, November 21, 2021		
East	Furniture	Tables	Sunday, November 21, 2021	-480.2032	1252.704
South	Furniture	Tables	Sunday, November 21, 2021		
West	Furniture	Tables	Sunday, November 21, 2021		
Central	Furniture	Tables	Monday, November 22, 2021	-32.5226	206.962
East	Furniture	Tables	Monday, November 22, 2021		
South	Furniture	Tables	Monday, November 22, 2021		
West	Furniture	Tables	Monday, November 22, 2021		
Central	Furniture	Tables	Saturday, November 27, 2021		
East	Furniture	Tables	Saturday, November 27, 2021	0	446.068
South	Furniture	Tables	Saturday, November 27, 2021	-157.0095	375.4575
West	Furniture	Tables	Saturday, November 27, 2021		
Central	Furniture	Tables	Wednesday, December 01, 2021		
East	Furniture	Tables	Wednesday, December 01, 2021		
South	Furniture	Tables	Wednesday, December 01, 2021		
West	Furniture	Tables	Wednesday, December 01, 2021	401.814	1913.4
Central	Furniture	Tables	Friday, December 10, 2021	200.49	801.96
East	Furniture	Tables	Friday, December 10, 2021		
South	Furniture	Tables	Friday, December 10, 2021		
West	Furniture	Tables	Friday, December 10, 2021		
Central	Furniture	Tables	Saturday, December 11, 2021		
East	Furniture	Tables	Saturday, December 11, 2021		
South	Furniture	Tables	Saturday, December 11, 2021		
West	Furniture	Tables	Saturday, December 11, 2021	-248.166	364.95
Central	Furniture	Tables	Tuesday, December 14, 2021		
East	Furniture	Tables	Tuesday, December 14, 2021		
South	Furniture	Tables	Tuesday, December 14, 2021		
West	Furniture	Tables	Tuesday, December 14, 2021	10.2588	273.568
Central	Furniture	Tables	Sunday, December 19, 2021		
East	Furniture	Tables	Sunday, December 19, 2021	-105.3164	1053.164
South	Furniture	Tables	Sunday, December 19, 2021		
West	Furniture	Tables	Sunday, December 19, 2021		
Central	Furniture	Tables	Tuesday, December 21, 2021		
East	Furniture	Tables	Tuesday, December 21, 2021		
South	Furniture	Tables	Tuesday, December 21, 2021		
West	Furniture	Tables	Tuesday, December 21, 2021	356.0414	1618.37
Central	Furniture	Tables	Sunday, December 26, 2021		
East	Furniture	Tables	Sunday, December 26, 2021	-15.4764	51.588
South	Furniture	Tables	Sunday, December 26, 2021		
West	Furniture	Tables	Sunday, December 26, 2021		
Central	Furniture	Tables	Monday, December 27, 2021		
East	Furniture	Tables	Monday, December 27, 2021	-464.697	1548.99
South	Furniture	Tables	Monday, December 27, 2021		
West	Furniture	Tables	Monday, December 27, 2021		
Central	Furniture	Tables	Monday, January 03, 2022	350.427	1592.85
East	Furniture	Tables	Monday, January 03, 2022		
South	Furniture	Tables	Monday, January 03, 2022		
West	Furniture	Tables	Monday, January 03, 2022		
Central	Furniture	Tables	Saturday, January 15, 2022		
East	Furniture	Tables	Saturday, January 15, 2022	-15.5826	181.797
South	Furniture	Tables	Saturday, January 15, 2022		
West	Furniture	Tables	Saturday, January 15, 2022		
Central	Furniture	Tables	Tuesday, January 25, 2022		
East	Furniture	Tables	Tuesday, January 25, 2022	-99.3453	313.722
South	Furniture	Tables	Tuesday, January 25, 2022		
West	Furniture	Tables	Tuesday, January 25, 2022		
Central	Furniture	Tables	Sunday, January 30, 2022	-538.446	626.1
East	Furniture	Tables	Sunday, January 30, 2022		
South	Furniture	Tables	Sunday, January 30, 2022		
West	Furniture	Tables	Sunday, January 30, 2022		
Central	Furniture	Tables	Saturday, February 05, 2022		
East	Furniture	Tables	Saturday, February 05, 2022		
South	Furniture	Tables	Saturday, February 05, 2022		
West	Furniture	Tables	Saturday, February 05, 2022	6.9716	557.728
Central	Furniture	Tables	Monday, February 14, 2022		
East	Furniture	Tables	Monday, February 14, 2022	-47.1798	550.431
South	Furniture	Tables	Monday, February 14, 2022		
West	Furniture	Tables	Monday, February 14, 2022		
Central	Furniture	Tables	Tuesday, March 01, 2022		
East	Furniture	Tables	Tuesday, March 01, 2022	-264.9208	836.592
South	Furniture	Tables	Tuesday, March 01, 2022		
West	Furniture	Tables	Tuesday, March 01, 2022		
Central	Furniture	Tables	Thursday, March 03, 2022	-127.5792	637.896
East	Furniture	Tables	Thursday, March 03, 2022		
South	Furniture	Tables	Thursday, March 03, 2022		
