Level 0 Description,Level 1 Description,Level 2 Description,Region,Sub Region,Value Column Name,Value
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Actuals","-17801478.970000006"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Actuals - 2020 Gross Sales","-17801478.970000006"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Actuals - 2020 Plan","-341150.76000001654"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","(2020 Actuals - 2020 Plan)%","-0.019538622407145274"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Actuals - Actuals","31004568.729999997"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","(2020 Actuals - Actuals)%","0.6352607963787241"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","2020 Plan - 2020 Gross Sales","-17460328.20999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","Actuals - 2020 Gross Sales","-48806047.7"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","Actuals - 2020 Plan","-31345719.490000013"
"Operating Profit","Operating Expenses","IT Expenses","United States","Midwest","(Actuals - 2020 Plan)%","-1.795253738245739"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Gross Sales",
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Plan","-24233521.26"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","Actuals","-72529017.53"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Actuals","-24285697.67999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Actuals - 2020 Gross Sales","-24285697.67999999"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Actuals - 2020 Plan","-52176.41999998689"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","(2020 Actuals - 2020 Plan)%","-0.002153068034982997"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Actuals - Actuals","48243319.85000001"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","(2020 Actuals - Actuals)%","0.6651588769976823"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","2020 Plan - 2020 Gross Sales","-24233521.26"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","Actuals - 2020 Gross Sales","-72529017.53"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","Actuals - 2020 Plan","-48295496.269999996"
"Operating Profit","Operating Expenses","IT Expenses","United States","Pacific","(Actuals - 2020 Plan)%","-1.9929211174818757"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Gross Sales",
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Plan","-26443798.899999995"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","Actuals","-76838989.63999988"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Actuals","-26779977.680000007"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Actuals - 2020 Gross Sales","-26779977.680000007"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Actuals - 2020 Plan","-336178.78000001237"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","(2020 Actuals - 2020 Plan)%","-0.012712953281459587"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Actuals - Actuals","50059011.959999874"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","(2020 Actuals - Actuals)%","0.65147931010718"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","2020 Plan - 2020 Gross Sales","-26443798.899999995"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","Actuals - 2020 Gross Sales","-76838989.63999988"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","Actuals - 2020 Plan","-50395190.73999989"
"Operating Profit","Operating Expenses","Other Expenses","International","APAC","(Actuals - 2020 Plan)%","-1.905747012014976"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Gross Sales",
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Plan","-53520269.690000005"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","Actuals","-158305972.35000014"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Actuals","-52499331.86000001"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Actuals - 2020 Gross Sales","-52499331.86000001"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Actuals - 2020 Plan","1020937.8299999982"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","(2020 Actuals - 2020 Plan)%","0.019075722822651534"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Actuals - Actuals","105806640.49000013"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","(2020 Actuals - Actuals)%","0.6683679643877948"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","2020 Plan - 2020 Gross Sales","-53520269.690000005"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","Actuals - 2020 Gross Sales","-158305972.35000014"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","Actuals - 2020 Plan","-104785702.66000015"
"Operating Profit","Operating Expenses","Other Expenses","International","EMEA","(Actuals - 2020 Plan)%","-1.957869481356123"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Gross Sales",
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Plan","-25320643.769999985"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","Actuals","-77287663.36"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Actuals","-26609213.259999998"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Actuals - 2020 Gross Sales","-26609213.259999998"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Actuals - 2020 Plan","-1288569.4900000133"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","(2020 Actuals - 2020 Plan)%","-0.05089007616491632"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Actuals - Actuals","50678450.1"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","(2020 Actuals - Actuals)%","0.6557120230682052"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","2020 Plan - 2020 Gross Sales","-25320643.769999985"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","Actuals - 2020 Gross Sales","-77287663.36"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","Actuals - 2020 Plan","-51967019.59000002"
"Operating Profit","Operating Expenses","Other Expenses","United States","Central","(Actuals - 2020 Plan)%","-2.0523577544884852"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Gross Sales",
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Plan","-48208463.38"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","Actuals","-152044370.20000008"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Actuals","-52153569.539999984"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Actuals - 2020 Gross Sales","-52153569.539999984"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Actuals - 2020 Plan","-3945106.1599999815"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","(2020 Actuals - 2020 Plan)%","-0.0818343063312959"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Actuals - Actuals","99890800.66000009"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","(2020 Actuals - Actuals)%","0.6569845402930943"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","2020 Plan - 2020 Gross Sales","-48208463.38"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","East","Actuals - 2020 Gross Sales","-152044370.20000008"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","East","Actuals - 2020 Plan","-103835906.82000008"
"Operating Profit","Operating Expenses","Other Expenses","United States","East","(Actuals - 2020 Plan)%","-2.153893726118596"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Gross Sales",
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Plan","-19595069.93"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","Actuals","-58843063.81999998"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Actuals","-19649444.42"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Actuals - 2020 Gross Sales","-19649444.42"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Actuals - 2020 Plan","-54374.490000002086"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","(2020 Actuals - 2020 Plan)%","-0.002774906657350321"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Actuals - Actuals","39193619.399999976"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","(2020 Actuals - Actuals)%","0.6660703378718119"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","2020 Plan - 2020 Gross Sales","-19595069.93"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","Actuals - 2020 Gross Sales","-58843063.81999998"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","Actuals - 2020 Plan","-39247993.88999998"
"Operating Profit","Operating Expenses","Other Expenses","United States","Midwest","(Actuals - 2020 Plan)%","-2.002952478873852"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Gross Sales",
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Plan","-32213901.450000003"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","Actuals","-98788481.38000001"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Actuals","-31861238.530000005"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Actuals - 2020 Gross Sales","-31861238.530000005"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Actuals - 2020 Plan","352662.91999999806"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","(2020 Actuals - 2020 Plan)%","0.010947538302598179"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Actuals - Actuals","66927242.85000001"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","(2020 Actuals - Actuals)%","0.6774802276042439"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","2020 Plan - 2020 Gross Sales","-32213901.450000003"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","Actuals - 2020 Gross Sales","-98788481.38000001"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","Actuals - 2020 Plan","-66574579.93000001"
"Operating Profit","Operating Expenses","Other Expenses","United States","Pacific","(Actuals - 2020 Plan)%","-2.066641323570573"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Gross Sales",
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Plan","-111648173.13000003"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","Actuals","-343376330.7699993"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Actuals","-115766081.26999992"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Actuals - 2020 Gross Sales","-115766081.26999992"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Actuals - 2020 Plan","-4117908.1399998963"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","(2020 Actuals - 2020 Plan)%","-0.03688289762883194"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Actuals - Actuals","227610249.4999994"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","(2020 Actuals - Actuals)%","0.6628594608999346"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","2020 Plan - 2020 Gross Sales","-111648173.13000003"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","Actuals - 2020 Gross Sales","-343376330.7699993"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","Actuals - 2020 Plan","-231728157.6399993"
"Operating Profit","Operating Expenses","Personnel Costs","International","APAC","(Actuals - 2020 Plan)%","-2.0755212659877693"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Gross Sales",
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Plan","-223317731.80999997"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","Actuals","-703277140"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Actuals","-231261196.9600001"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Actuals - 2020 Gross Sales","-231261196.9600001"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Actuals - 2020 Plan","-7943465.150000125"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","(2020 Actuals - 2020 Plan)%","-0.03557023925336333"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Actuals - Actuals","472015943.0399999"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","(2020 Actuals - Actuals)%","0.6711663385504041"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","2020 Plan - 2020 Gross Sales","-223317731.80999997"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","Actuals - 2020 Gross Sales","-703277140"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","Actuals - 2020 Plan","-479959408.19000006"
"Operating Profit","Operating Expenses","Personnel Costs","International","EMEA","(Actuals - 2020 Plan)%","-2.149222116398497"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Gross Sales",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Plan","-114952135.30999984"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","Actuals","-340531111.82999957"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Actuals","-120000461.44999991"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Actuals - 2020 Gross Sales","-120000461.44999991"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Actuals - 2020 Plan","-5048326.140000075"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","(2020 Actuals - 2020 Plan)%","-0.043916766977715425"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Actuals - Actuals","220530650.37999964"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","(2020 Actuals - Actuals)%","0.6476079357180534"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","2020 Plan - 2020 Gross Sales","-114952135.30999984"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","Actuals - 2020 Gross Sales","-340531111.82999957"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","Actuals - 2020 Plan","-225578976.51999974"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Central","(Actuals - 2020 Plan)%","-1.9623730860819975"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Gross Sales",
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Plan","-241334875.8700001"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","Actuals","-731961453.0300007"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Actuals","-254572567.9999998"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Actuals - 2020 Gross Sales","-254572567.9999998"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Actuals - 2020 Plan","-13237692.129999697"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","(2020 Actuals - 2020 Plan)%","-0.05485196485704141"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Actuals - Actuals","477388885.0300009"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","(2020 Actuals - Actuals)%","0.6522049529436551"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","2020 Plan - 2020 Gross Sales","-241334875.8700001"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","Actuals - 2020 Gross Sales","-731961453.0300007"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","Actuals - 2020 Plan","-490626577.16000056"
"Operating Profit","Operating Expenses","Personnel Costs","United States","East","(Actuals - 2020 Plan)%","-2.0329700603417407"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Gross Sales",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Plan","-78086868.12999989"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","Actuals","-248167128.5100003"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Actuals","-80426206.59999987"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Actuals - 2020 Gross Sales","-80426206.59999987"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Actuals - 2020 Plan","-2339338.469999984"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","(2020 Actuals - 2020 Plan)%","-0.02995815462985949"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Actuals - Actuals","167740921.9100004"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","(2020 Actuals - Actuals)%","0.6759191796154462"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","2020 Plan - 2020 Gross Sales","-78086868.12999989"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","Actuals - 2020 Gross Sales","-248167128.5100003"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","Actuals - 2020 Plan","-170080260.3800004"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Midwest","(Actuals - 2020 Plan)%","-2.1780904325276422"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Gross Sales",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Plan","-152797368.23999992"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","Actuals","-460908624.2099994"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Actuals","-153131630.89999983"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Actuals - 2020 Gross Sales","-153131630.89999983"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Actuals - 2020 Plan","-334262.659999907"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","(2020 Actuals - 2020 Plan)%","-0.0021876205320164824"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Actuals - Actuals","307776993.3099996"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","(2020 Actuals - Actuals)%","0.6677614111420273"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","2020 Plan - 2020 Gross Sales","-152797368.23999992"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","Actuals - 2020 Gross Sales","-460908624.2099994"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","Actuals - 2020 Plan","-308111255.96999943"
"Operating Profit","Operating Expenses","Personnel Costs","United States","Pacific","(Actuals - 2020 Plan)%","-2.0164696520560934"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Gross Sales",
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Plan","-45680844.29000002"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","Actuals","-186125025.99000025"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Actuals","-59480661.23000002"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Actuals - 2020 Gross Sales","-59480661.23000002"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Actuals - 2020 Plan","-13799816.939999998"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","(2020 Actuals - 2020 Plan)%","-0.3020919852617722"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Actuals - Actuals","126644364.76000023"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","(2020 Actuals - Actuals)%","0.6804263106821773"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","2020 Plan - 2020 Gross Sales","-45680844.29000002"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","Actuals - 2020 Gross Sales","-186125025.99000025"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","Actuals - 2020 Plan","-140444181.70000023"
"Operating Profit","Operating Expenses","Sales and Marketing","International","APAC","(Actuals - 2020 Plan)%","-3.074465542020308"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Gross Sales",
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Plan","-116686099.13999999"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","Actuals","-387747507.75000006"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Actuals","-128770042.70000002"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Actuals - 2020 Gross Sales","-128770042.70000002"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Actuals - 2020 Plan","-12083943.560000032"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","(2020 Actuals - 2020 Plan)%","-0.10355940981026125"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Actuals - Actuals","258977465.05000004"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","(2020 Actuals - Actuals)%","0.6679023330227969"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","2020 Plan - 2020 Gross Sales","-116686099.13999999"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","(2020 Plan - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","Actuals - 2020 Gross Sales","-387747507.75000006"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","(Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","Actuals - 2020 Plan","-271061408.6100001"
"Operating Profit","Operating Expenses","Sales and Marketing","International","EMEA","(Actuals - 2020 Plan)%","-2.3229965746372288"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","2020 Gross Sales",
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","2020 Plan","-72364627.08000006"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","Actuals","-240946030.47"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","2020 Actuals","-78240463.71999995"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","2020 Actuals - 2020 Gross Sales","-78240463.71999995"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","(2020 Actuals - 2020 Gross Sales)%",
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","2020 Actuals - 2020 Plan","-5875836.639999896"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","(2020 Actuals - 2020 Plan)%","-0.08119763587676726"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","2020 Actuals - Actuals","162705566.75000006"
"Operating Profit","Operating Expenses","Sales and Marketing","United States","Central","(2020 Actuals - Actuals)%","0.675278054727108"
