Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Segment,Superstore 2023.State,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
West,Technology,Accessories,Home Office,Mississippi,,
Central,Technology,Accessories,Home Office,Georgia,,
East,Technology,Accessories,Home Office,Georgia,,
South,Technology,Accessories,Home Office,Georgia,144.7158,431.98
West,Technology,Accessories,Home Office,Georgia,,
Central,Technology,Accessories,Home Office,Connecticut,,
East,Technology,Accessories,Home Office,Connecticut,155.6747,419.69
South,Technology,Accessories,Home Office,Connecticut,,
West,Technology,Accessories,Home Office,Connecticut,,
Central,Technology,Accessories,Home Office,Kentucky,,
East,Technology,Accessories,Home Office,Kentucky,,
South,Technology,Accessories,Home Office,Kentucky,77.4238,396.02
West,Technology,Accessories,Home Office,Kentucky,,
Central,Technology,Accessories,Home Office,New Jersey,,
East,Technology,Accessories,Home Office,New Jersey,111.6168,318.93
South,Technology,Accessories,Home Office,New Jersey,,
West,Technology,Accessories,Home Office,New Jersey,,
Central,Technology,Accessories,Home Office,Virginia,,
East,Technology,Accessories,Home Office,Virginia,,
South,Technology,Accessories,Home Office,Virginia,77.8489,275.96
West,Technology,Accessories,Home Office,Virginia,,
Central,Technology,Accessories,Home Office,Delaware,,
East,Technology,Accessories,Home Office,Delaware,105.2235,269.82
South,Technology,Accessories,Home Office,Delaware,,
West,Technology,Accessories,Home Office,Delaware,,
Central,Technology,Accessories,Home Office,New Mexico,,
East,Technology,Accessories,Home Office,New Mexico,,
South,Technology,Accessories,Home Office,New Mexico,,
West,Technology,Accessories,Home Office,New Mexico,88.1295,214.95
Central,Technology,Accessories,Home Office,Colorado,,
East,Technology,Accessories,Home Office,Colorado,,
South,Technology,Accessories,Home Office,Colorado,,
West,Technology,Accessories,Home Office,Colorado,15.7717,186.168
Central,Technology,Accessories,Home Office,Indiana,72.8572,171.92
East,Technology,Accessories,Home Office,Indiana,,
South,Technology,Accessories,Home Office,Indiana,,
West,Technology,Accessories,Home Office,Indiana,,
Central,Technology,Accessories,Home Office,Arizona,,
East,Technology,Accessories,Home Office,Arizona,,
South,Technology,Accessories,Home Office,Arizona,,
West,Technology,Accessories,Home Office,Arizona,29.7968,169.576
Central,Technology,Accessories,Home Office,Oregon,,
East,Technology,Accessories,Home Office,Oregon,,
South,Technology,Accessories,Home Office,Oregon,,
West,Technology,Accessories,Home Office,Oregon,-11.5522,148.136
Central,Technology,Accessories,Home Office,Maine,,
East,Technology,Accessories,Home Office,Maine,14.9556,67.98
South,Technology,Accessories,Home Office,Maine,,
West,Technology,Accessories,Home Office,Maine,,
Central,Technology,Accessories,Home Office,Kansas,10.906,57.4
East,Technology,Accessories,Home Office,Kansas,,
South,Technology,Accessories,Home Office,Kansas,,
West,Technology,Accessories,Home Office,Kansas,,
Central,Technology,Accessories,Home Office,Maryland,,
East,Technology,Accessories,Home Office,Maryland,4.908,49.08
South,Technology,Accessories,Home Office,Maryland,,
West,Technology,Accessories,Home Office,Maryland,,
Central,Technology,Accessories,Home Office,Arkansas,,
East,Technology,Accessories,Home Office,Arkansas,,
South,Technology,Accessories,Home Office,Arkansas,18.093,48.9
West,Technology,Accessories,Home Office,Arkansas,,
Central,Technology,Accessories,Home Office,Tennessee,,
East,Technology,Accessories,Home Office,Tennessee,,
South,Technology,Accessories,Home Office,Tennessee,11.9196,45.408
West,Technology,Accessories,Home Office,Tennessee,,
Central,Technology,Accessories,Home Office,Louisiana,,
East,Technology,Accessories,Home Office,Louisiana,,
South,Technology,Accessories,Home Office,Louisiana,7.25,29
West,Technology,Accessories,Home Office,Louisiana,,
Central,Technology,Accessories,Home Office,Missouri,9.116,21.2
East,Technology,Accessories,Home Office,Missouri,,
South,Technology,Accessories,Home Office,Missouri,,
West,Technology,Accessories,Home Office,Missouri,,
Central,Technology,Copiers,Consumer,Washington,,
East,Technology,Copiers,Consumer,Washington,,
South,Technology,Copiers,Consumer,Washington,,
West,Technology,Copiers,Consumer,Washington,7961.9571,17099.9
Central,Technology,Copiers,Consumer,California,,
East,Technology,Copiers,Consumer,California,,
South,Technology,Copiers,Consumer,California,,
West,Technology,Copiers,Consumer,California,4196.9142,13359.712
Central,Technology,Copiers,Consumer,Pennsylvania,,
East,Technology,Copiers,Consumer,Pennsylvania,1735.9829,13079.868
South,Technology,Copiers,Consumer,Pennsylvania,,
West,Technology,Copiers,Consumer,Pennsylvania,,
Central,Technology,Copiers,Consumer,Delaware,,
East,Technology,Copiers,Consumer,Delaware,5039.9856,10499.97
South,Technology,Copiers,Consumer,Delaware,,
West,Technology,Copiers,Consumer,Delaware,,
Central,Technology,Copiers,Consumer,New York,,
East,Technology,Copiers,Consumer,New York,1579.9692,4719.904
South,Technology,Copiers,Consumer,New York,,
West,Technology,Copiers,Consumer,New York,,
Central,Technology,Copiers,Consumer,Texas,786.9794,2479.936
East,Technology,Copiers,Consumer,Texas,,
South,Technology,Copiers,Consumer,Texas,,
West,Technology,Copiers,Consumer,Texas,,
Central,Technology,Copiers,Consumer,Ohio,,
East,Technology,Copiers,Consumer,Ohio,301.9948,2099.964
South,Technology,Copiers,Consumer,Ohio,,
West,Technology,Copiers,Consumer,Ohio,,
Central,Technology,Copiers,Consumer,Virginia,,
East,Technology,Copiers,Consumer,Virginia,,
South,Technology,Copiers,Consumer,Virginia,751.9624,1599.92
West,Technology,Copiers,Consumer,Virginia,,
Central,Technology,Copiers,Consumer,Florida,,
East,Technology,Copiers,Consumer,Florida,,
South,Technology,Copiers,Consumer,Florida,401.9918,1439.968
West,Technology,Copiers,Consumer,Florida,,
Central,Technology,Copiers,Consumer,Illinois,485.9892,1439.968
East,Technology,Copiers,Consumer,Illinois,,
South,Technology,Copiers,Consumer,Illinois,,
West,Technology,Copiers,Consumer,Illinois,,
Central,Technology,Copiers,Consumer,Kentucky,,
East,Technology,Copiers,Consumer,Kentucky,,
South,Technology,Copiers,Consumer,Kentucky,629.991,1399.98
West,Technology,Copiers,Consumer,Kentucky,,
Central,Technology,Copiers,Consumer,Michigan,209.993,599.98
East,Technology,Copiers,Consumer,Michigan,,
South,Technology,Copiers,Consumer,Michigan,,
West,Technology,Copiers,Consumer,Michigan,,
Central,Technology,Copiers,Corporate,Indiana,8399.976,17499.95
East,Technology,Copiers,Corporate,Indiana,,
South,Technology,Copiers,Corporate,Indiana,,
West,Technology,Copiers,Corporate,Indiana,,
Central,Technology,Copiers,Corporate,Missouri,2536.9632,5499.92
East,Technology,Copiers,Corporate,Missouri,,
South,Technology,Copiers,Corporate,Missouri,,
West,Technology,Copiers,Corporate,Missouri,,
Central,Technology,Copiers,Corporate,California,,
East,Technology,Copiers,Corporate,California,,
South,Technology,Copiers,Corporate,California,,
West,Technology,Copiers,Corporate,California,1544.9725,4479.92
Central,Technology,Copiers,Corporate,Illinois,1009.983,3519.936
East,Technology,Copiers,Corporate,Illinois,,
South,Technology,Copiers,Corporate,Illinois,,
West,Technology,Copiers,Corporate,Illinois,,
Central,Technology,Copiers,Corporate,Texas,842.9821,3159.936
East,Technology,Copiers,Corporate,Texas,,
South,Technology,Copiers,Corporate,Texas,,
West,Technology,Copiers,Corporate,Texas,,
Central,Technology,Copiers,Corporate,Washington,,
East,Technology,Copiers,Corporate,Washington,,
South,Technology,Copiers,Corporate,Washington,,
West,Technology,Copiers,Corporate,Washington,1480.4671,3149.93
Central,Technology,Copiers,Corporate,Georgia,,
East,Technology,Copiers,Corporate,Georgia,,
South,Technology,Copiers,Corporate,Georgia,1439.976,2999.95
West,Technology,Copiers,Corporate,Georgia,,
Central,Technology,Copiers,Corporate,Rhode Island,,
East,Technology,Copiers,Corporate,Rhode Island,899.982,1999.96
South,Technology,Copiers,Corporate,Rhode Island,,
West,Technology,Copiers,Corporate,Rhode Island,,
Central,Technology,Copiers,Corporate,Ohio,,
East,Technology,Copiers,Corporate,Ohio,144.9975,1739.97
South,Technology,Copiers,Corporate,Ohio,,
West,Technology,Copiers,Corporate,Ohio,,
Central,Technology,Copiers,Corporate,North Carolina,,
East,Technology,Copiers,Corporate,North Carolina,,
South,Technology,Copiers,Corporate,North Carolina,119.996,959.968
West,Technology,Copiers,Corporate,North Carolina,,
Central,Technology,Copiers,Corporate,Alabama,,
East,Technology,Copiers,Corporate,Alabama,,
South,Technology,Copiers,Corporate,Alabama,314.9895,899.97
West,Technology,Copiers,Corporate,Alabama,,
Central,Technology,Copiers,Corporate,New York,,
East,Technology,Copiers,Corporate,New York,89.997,479.984
South,Technology,Copiers,Corporate,New York,,
West,Technology,Copiers,Corporate,New York,,
Central,Technology,Copiers,Corporate,Colorado,,
East,Technology,Copiers,Corporate,Colorado,,
South,Technology,Copiers,Corporate,Colorado,,
West,Technology,Copiers,Corporate,Colorado,164.997,439.992
Central,Technology,Copiers,Home Office,New York,,
East,Technology,Copiers,Home Office,New York,4169.9838,11999.952
South,Technology,Copiers,Home Office,New York,,
West,Technology,Copiers,Home Office,New York,,
Central,Technology,Copiers,Home Office,California,,
East,Technology,Copiers,Home Office,California,,
South,Technology,Copiers,Home Office,California,,
West,Technology,Copiers,Home Office,California,2147.9652,6719.888
Central,Technology,Copiers,Home Office,Rhode Island,,
East,Technology,Copiers,Home Office,Rhode Island,2591.9568,5399.91
South,Technology,Copiers,Home Office,Rhode Island,,
West,Technology,Copiers,Home Office,Rhode Island,,
Central,Technology,Copiers,Home Office,Montana,,
East,Technology,Copiers,Home Office,Montana,,
South,Technology,Copiers,Home Office,Montana,,
West,Technology,Copiers,Home Office,Montana,1379.977,2999.95
Central,Technology,Copiers,Home Office,Utah,,
East,Technology,Copiers,Home Office,Utah,,
South,Technology,Copiers,Home Office,Utah,,
West,Technology,Copiers,Home Office,Utah,449.985,1499.95
Central,Technology,Copiers,Home Office,Massachusetts,,
East,Technology,Copiers,Home Office,Massachusetts,467.9922,1199.98
South,Technology,Copiers,Home Office,Massachusetts,,
West,Technology,Copiers,Home Office,Massachusetts,,
Central,Technology,Copiers,Home Office,Indiana,449.991,999.98
East,Technology,Copiers,Home Office,Indiana,,
South,Technology,Copiers,Home Office,Indiana,,
West,Technology,Copiers,Home Office,Indiana,,
Central,Technology,Copiers,Home Office,Illinois,335.9944,959.984
East,Technology,Copiers,Home Office,Illinois,,
South,Technology,Copiers,Home Office,Illinois,,
West,Technology,Copiers,Home Office,Illinois,,
Central,Technology,Copiers,Home Office,Michigan,274.995,549.99
East,Technology,Copiers,Home Office,Michigan,,
South,Technology,Copiers,Home Office,Michigan,,
West,Technology,Copiers,Home Office,Michigan,,
Central,Technology,Copiers,Home Office,Minnesota,274.995,549.99
East,Technology,Copiers,Home Office,Minnesota,,
South,Technology,Copiers,Home Office,Minnesota,,
West,Technology,Copiers,Home Office,Minnesota,,
Central,Furniture,Chairs,Consumer,New York,,
East,Furniture,Chairs,Consumer,New York,4259.6795,28916.037
South,Furniture,Chairs,Consumer,New York,,
West,Furniture,Chairs,Consumer,New York,,
Central,Furniture,Chairs,Consumer,California,,
East,Furniture,Chairs,Consumer,California,,
South,Furniture,Chairs,Consumer,California,,
West,Furniture,Chairs,Consumer,California,564.5942,26025.616
Central,Furniture,Chairs,Consumer,Pennsylvania,,
East,Furniture,Chairs,Consumer,Pennsylvania,-1513.032,14628.936
South,Furniture,Chairs,Consumer,Pennsylvania,,
West,Furniture,Chairs,Consumer,Pennsylvania,,
Central,Furniture,Chairs,Consumer,Texas,-1103.5487,13890.471
East,Furniture,Chairs,Consumer,Texas,,
South,Furniture,Chairs,Consumer,Texas,,
West,Furniture,Chairs,Consumer,Texas,,
Central,Furniture,Chairs,Consumer,Washington,,
East,Furniture,Chairs,Consumer,Washington,,
South,Furniture,Chairs,Consumer,Washington,,
West,Furniture,Chairs,Consumer,Washington,463.1038,8964.16
Central,Furniture,Chairs,Consumer,Illinois,-836.8511,8450.274
East,Furniture,Chairs,Consumer,Illinois,,
South,Furniture,Chairs,Consumer,Illinois,,
West,Furniture,Chairs,Consumer,Illinois,,
Central,Furniture,Chairs,Consumer,Ohio,,
East,Furniture,Chairs,Consumer,Ohio,-216.72,5719.35
South,Furniture,Chairs,Consumer,Ohio,,
West,Furniture,Chairs,Consumer,Ohio,,
Central,Furniture,Chairs,Consumer,Michigan,1135.6888,5449.34
East,Furniture,Chairs,Consumer,Michigan,,
South,Furniture,Chairs,Consumer,Michigan,,
West,Furniture,Chairs,Consumer,Michigan,,
Central,Furniture,Chairs,Consumer,Wisconsin,1100.4448,5103.23
East,Furniture,Chairs,Consumer,Wisconsin,,
South,Furniture,Chairs,Consumer,Wisconsin,,
West,Furniture,Chairs,Consumer,Wisconsin,,
Central,Furniture,Chairs,Consumer,Florida,,
East,Furniture,Chairs,Consumer,Florida,,
South,Furniture,Chairs,Consumer,Florida,80.8198,4936.056
West,Furniture,Chairs,Consumer,Florida,,
Central,Furniture,Chairs,Consumer,Kentucky,,
East,Furniture,Chairs,Consumer,Kentucky,,
South,Furniture,Chairs,Consumer,Kentucky,1296.0157,4807.12
West,Furniture,Chairs,Consumer,Kentucky,,
Central,Furniture,Chairs,Consumer,Indiana,808.0217,3708.91
East,Furniture,Chairs,Consumer,Indiana,,
South,Furniture,Chairs,Consumer,Indiana,,
West,Furniture,Chairs,Consumer,Indiana,,
Central,Furniture,Chairs,Consumer,Oklahoma,980.277,3432.45
East,Furniture,Chairs,Consumer,Oklahoma,,
South,Furniture,Chairs,Consumer,Oklahoma,,
West,Furniture,Chairs,Consumer,Oklahoma,,
Central,Furniture,Chairs,Consumer,Tennessee,,
East,Furniture,Chairs,Consumer,Tennessee,,
South,Furniture,Chairs,Consumer,Tennessee,37.7104,3288.04
West,Furniture,Chairs,Consumer,Tennessee,,
Central,Furniture,Chairs,Consumer,Alabama,,
East,Furniture,Chairs,Consumer,Alabama,,
South,Furniture,Chairs,Consumer,Alabama,554.512,3227.7
West,Furniture,Chairs,Consumer,Alabama,,
Central,Furniture,Chairs,Consumer,Massachusetts,,
East,Furniture,Chairs,Consumer,Massachusetts,593.5858,2856.04
South,Furniture,Chairs,Consumer,Massachusetts,,
West,Furniture,Chairs,Consumer,Massachusetts,,
Central,Furniture,Chairs,Consumer,Minnesota,821.6463,2837.81
East,Furniture,Chairs,Consumer,Minnesota,,
South,Furniture,Chairs,Consumer,Minnesota,,
West,Furniture,Chairs,Consumer,Minnesota,,
Central,Furniture,Chairs,Consumer,Virginia,,
East,Furniture,Chairs,Consumer,Virginia,,
South,Furniture,Chairs,Consumer,Virginia,625.0366,2622.64
West,Furniture,Chairs,Consumer,Virginia,,
Central,Furniture,Chairs,Consumer,South Carolina,,
East,Furniture,Chairs,Consumer,South Carolina,,
South,Furniture,Chairs,Consumer,South Carolina,543.076,2537.94
West,Furniture,Chairs,Consumer,South Carolina,,
Central,Furniture,Chairs,Consumer,Arizona,,
East,Furniture,Chairs,Consumer,Arizona,,
South,Furniture,Chairs,Consumer,Arizona,,
West,Furniture,Chairs,Consumer,Arizona,44.8875,2399.272
Central,Furniture,Chairs,Consumer,Colorado,,
East,Furniture,Chairs,Consumer,Colorado,,
South,Furniture,Chairs,Consumer,Colorado,,
West,Furniture,Chairs,Consumer,Colorado,175.46,2329.072
Central,Furniture,Chairs,Consumer,North Carolina,,
East,Furniture,Chairs,Consumer,North Carolina,,
South,Furniture,Chairs,Consumer,North Carolina,102.043,2211.2
West,Furniture,Chairs,Consumer,North Carolina,,
Central,Furniture,Chairs,Consumer,Oregon,,
East,Furniture,Chairs,Consumer,Oregon,,
South,Furniture,Chairs,Consumer,Oregon,,
West,Furniture,Chairs,Consumer,Oregon,121.9496,1973.344
Central,Furniture,Chairs,Consumer,Rhode Island,,
East,Furniture,Chairs,Consumer,Rhode Island,481.47,1604.9
South,Furniture,Chairs,Consumer,Rhode Island,,
West,Furniture,Chairs,Consumer,Rhode Island,,
Central,Furniture,Chairs,Consumer,Delaware,,
East,Furniture,Chairs,Consumer,Delaware,266.4522,1268.82
South,Furniture,Chairs,Consumer,Delaware,,
West,Furniture,Chairs,Consumer,Delaware,,
Central,Furniture,Chairs,Consumer,District of Columbia,,
East,Furniture,Chairs,Consumer,District of Columbia,316.8825,1267.53
South,Furniture,Chairs,Consumer,District of Columbia,,
West,Furniture,Chairs,Consumer,District of Columbia,,
Central,Furniture,Chairs,Consumer,New Mexico,,
East,Furniture,Chairs,Consumer,New Mexico,,
South,Furniture,Chairs,Consumer,New Mexico,,
West,Furniture,Chairs,Consumer,New Mexico,119.5878,1114.192
Central,Furniture,Chairs,Consumer,Maryland,,
East,Furniture,Chairs,Consumer,Maryland,278.955,1081.32
South,Furniture,Chairs,Consumer,Maryland,,
West,Furniture,Chairs,Consumer,Maryland,,
Central,Furniture,Chairs,Consumer,Arkansas,,
East,Furniture,Chairs,Consumer,Arkansas,,
South,Furniture,Chairs,Consumer,Arkansas,224.2674,1067.94
West,Furniture,Chairs,Consumer,Arkansas,,
Central,Furniture,Chairs,Consumer,Mississippi,,
East,Furniture,Chairs,Consumer,Mississippi,,
South,Furniture,Chairs,Consumer,Mississippi,225.264,866.4
West,Furniture,Chairs,Consumer,Mississippi,,
Central,Furniture,Chairs,Consumer,New Jersey,,
East,Furniture,Chairs,Consumer,New Jersey,120.9382,835.08
South,Furniture,Chairs,Consumer,New Jersey,,
West,Furniture,Chairs,Consumer,New Jersey,,
Central,Furniture,Chairs,Consumer,Louisiana,,
East,Furniture,Chairs,Consumer,Louisiana,,
South,Furniture,Chairs,Consumer,Louisiana,228.7888,802.34
West,Furniture,Chairs,Consumer,Louisiana,,
Central,Furniture,Chairs,Consumer,Connecticut,,
East,Furniture,Chairs,Consumer,Connecticut,150.384,751.92
South,Furniture,Chairs,Consumer,Connecticut,,
West,Furniture,Chairs,Consumer,Connecticut,,
Central,Furniture,Chairs,Consumer,Vermont,,
East,Furniture,Chairs,Consumer,Vermont,178.8,715.2
South,Furniture,Chairs,Consumer,Vermont,,
West,Furniture,Chairs,Consumer,Vermont,,
Central,Furniture,Chairs,Consumer,Nevada,,
East,Furniture,Chairs,Consumer,Nevada,,
South,Furniture,Chairs,Consumer,Nevada,,
West,Furniture,Chairs,Consumer,Nevada,-109.5822,674.352
Central,Furniture,Chairs,Consumer,Georgia,,
East,Furniture,Chairs,Consumer,Georgia,,
South,Furniture,Chairs,Consumer,Georgia,99.501,436.85
West,Furniture,Chairs,Consumer,Georgia,,
Central,Furniture,Chairs,Consumer,Missouri,15.2225,60.89
East,Furniture,Chairs,Consumer,Missouri,,
South,Furniture,Chairs,Consumer,Missouri,,
West,Furniture,Chairs,Consumer,Missouri,,
Central,Furniture,Chairs,Corporate,California,,
East,Furniture,Chairs,Corporate,California,,
South,Furniture,Chairs,Corporate,California,,
West,Furniture,Chairs,Corporate,California,905.1071,23271.84
Central,Furniture,Chairs,Corporate,New York,,
East,Furniture,Chairs,Corporate,New York,1674.854,10803.069
South,Furniture,Chairs,Corporate,New York,,
West,Furniture,Chairs,Corporate,New York,,
Central,Furniture,Chairs,Corporate,Texas,-907.4349,8605.653
East,Furniture,Chairs,Corporate,Texas,,
South,Furniture,Chairs,Corporate,Texas,,
West,Furniture,Chairs,Corporate,Texas,,
Central,Furniture,Chairs,Corporate,Michigan,1719.5738,7940.76
East,Furniture,Chairs,Corporate,Michigan,,
South,Furniture,Chairs,Corporate,Michigan,,
West,Furniture,Chairs,Corporate,Michigan,,
Central,Furniture,Chairs,Corporate,Wisconsin,1636.9757,6391.72
East,Furniture,Chairs,Corporate,Wisconsin,,
South,Furniture,Chairs,Corporate,Wisconsin,,
West,Furniture,Chairs,Corporate,Wisconsin,,
Central,Furniture,Chairs,Corporate,Colorado,,
East,Furniture,Chairs,Corporate,Colorado,,
South,Furniture,Chairs,Corporate,Colorado,,
West,Furniture,Chairs,Corporate,Colorado,226.7176,4506.848
Central,Furniture,Chairs,Corporate,Washington,,
East,Furniture,Chairs,Corporate,Washington,,
South,Furniture,Chairs,Corporate,Washington,,
West,Furniture,Chairs,Corporate,Washington,202.7884,4286.64
Central,Furniture,Chairs,Corporate,Florida,,
East,Furniture,Chairs,Corporate,Florida,,
South,Furniture,Chairs,Corporate,Florida,-234.7727,3962.752
West,Furniture,Chairs,Corporate,Florida,,
Central,Furniture,Chairs,Corporate,Maryland,,
East,Furniture,Chairs,Corporate,Maryland,646.9518,3097.61
South,Furniture,Chairs,Corporate,Maryland,,
West,Furniture,Chairs,Corporate,Maryland,,
Central,Furniture,Chairs,Corporate,Pennsylvania,,
East,Furniture,Chairs,Corporate,Pennsylvania,-249.0496,2822.281
South,Furniture,Chairs,Corporate,Pennsylvania,,
West,Furniture,Chairs,Corporate,Pennsylvania,,
Central,Furniture,Chairs,Corporate,Ohio,,
East,Furniture,Chairs,Corporate,Ohio,-344.6874,2745.12
South,Furniture,Chairs,Corporate,Ohio,,
West,Furniture,Chairs,Corporate,Ohio,,
Central,Furniture,Chairs,Corporate,Arizona,,
East,Furniture,Chairs,Corporate,Arizona,,
South,Furniture,Chairs,Corporate,Arizona,,
West,Furniture,Chairs,Corporate,Arizona,-64.5274,2411.648
Central,Furniture,Chairs,Corporate,Illinois,-71.2677,1969.709
East,Furniture,Chairs,Corporate,Illinois,,
South,Furniture,Chairs,Corporate,Illinois,,
West,Furniture,Chairs,Corporate,Illinois,,
Central,Furniture,Chairs,Corporate,Indiana,539.2464,1925.88
East,Furniture,Chairs,Corporate,Indiana,,
South,Furniture,Chairs,Corporate,Indiana,,
West,Furniture,Chairs,Corporate,Indiana,,
Central,Furniture,Chairs,Corporate,New Jersey,,
East,Furniture,Chairs,Corporate,New Jersey,409.9744,1826.82
South,Furniture,Chairs,Corporate,New Jersey,,
West,Furniture,Chairs,Corporate,New Jersey,,
Central,Furniture,Chairs,Corporate,Kentucky,,
East,Furniture,Chairs,Corporate,Kentucky,,
South,Furniture,Chairs,Corporate,Kentucky,500.6732,1818.69
West,Furniture,Chairs,Corporate,Kentucky,,
Central,Furniture,Chairs,Corporate,Tennessee,,
East,Furniture,Chairs,Corporate,Tennessee,,
South,Furniture,Chairs,Corporate,Tennessee,112.715,1786.848
West,Furniture,Chairs,Corporate,Tennessee,,
Central,Furniture,Chairs,Corporate,Virginia,,
East,Furniture,Chairs,Corporate,Virginia,,
South,Furniture,Chairs,Corporate,Virginia,452.2144,1559.36
West,Furniture,Chairs,Corporate,Virginia,,
Central,Furniture,Chairs,Corporate,Oregon,,
East,Furniture,Chairs,Corporate,Oregon,,
South,Furniture,Chairs,Corporate,Oregon,,
West,Furniture,Chairs,Corporate,Oregon,-41.0846,1463.896
Central,Furniture,Chairs,Corporate,Connecticut,,
East,Furniture,Chairs,Corporate,Connecticut,294.671,1133.35
South,Furniture,Chairs,Corporate,Connecticut,,
West,Furniture,Chairs,Corporate,Connecticut,,
Central,Furniture,Chairs,Corporate,Massachusetts,,
East,Furniture,Chairs,Corporate,Massachusetts,212.1876,785.88
South,Furniture,Chairs,Corporate,Massachusetts,,
West,Furniture,Chairs,Corporate,Massachusetts,,
Central,Furniture,Chairs,Corporate,Arkansas,,
East,Furniture,Chairs,Corporate,Arkansas,,
South,Furniture,Chairs,Corporate,Arkansas,145.2816,605.34
West,Furniture,Chairs,Corporate,Arkansas,,
Central,Furniture,Chairs,Corporate,Minnesota,181.176,603.92
East,Furniture,Chairs,Corporate,Minnesota,,
South,Furniture,Chairs,Corporate,Minnesota,,
West,Furniture,Chairs,Corporate,Minnesota,,
Central,Furniture,Chairs,Corporate,Georgia,,
East,Furniture,Chairs,Corporate,Georgia,,
South,Furniture,Chairs,Corporate,Georgia,96.1977,575.61
West,Furniture,Chairs,Corporate,Georgia,,
Central,Furniture,Chairs,Corporate,Alabama,,
East,Furniture,Chairs,Corporate,Alabama,,
South,Furniture,Chairs,Corporate,Alabama,70.9644,545.88
West,Furniture,Chairs,Corporate,Alabama,,
Central,Furniture,Chairs,Corporate,North Carolina,,
East,Furniture,Chairs,Corporate,North Carolina,,
South,Furniture,Chairs,Corporate,North Carolina,40.6809,512.392
West,Furniture,Chairs,Corporate,North Carolina,,
Central,Furniture,Chairs,Corporate,Oklahoma,81.1734,368.97
East,Furniture,Chairs,Corporate,Oklahoma,,
South,Furniture,Chairs,Corporate,Oklahoma,,
West,Furniture,Chairs,Corporate,Oklahoma,,
Central,Furniture,Chairs,Corporate,Idaho,,
East,Furniture,Chairs,Corporate,Idaho,,
South,Furniture,Chairs,Corporate,Idaho,,
West,Furniture,Chairs,Corporate,Idaho,4.2294,338.352
Central,Furniture,Chairs,Corporate,Delaware,,
East,Furniture,Chairs,Corporate,Delaware,75.686,291.1
South,Furniture,Chairs,Corporate,Delaware,,
West,Furniture,Chairs,Corporate,Delaware,,
Central,Furniture,Chairs,Corporate,South Dakota,27.441,182.94
East,Furniture,Chairs,Corporate,South Dakota,,
South,Furniture,Chairs,Corporate,South Dakota,,
West,Furniture,Chairs,Corporate,South Dakota,,
Central,Furniture,Chairs,Home Office,California,,
East,Furniture,Chairs,Home Office,California,,
South,Furniture,Chairs,Home Office,California,,
West,Furniture,Chairs,Home Office,California,966.2702,13781.912
Central,Furniture,Chairs,Home Office,New York,,
East,Furniture,Chairs,Home Office,New York,1176.4784,6915.141
South,Furniture,Chairs,Home Office,New York,,
West,Furniture,Chairs,Home Office,New York,,
Central,Furniture,Chairs,Home Office,Illinois,-670.5767,4143.195
East,Furniture,Chairs,Home Office,Illinois,,
South,Furniture,Chairs,Home Office,Illinois,,
West,Furniture,Chairs,Home Office,Illinois,,
Central,Furniture,Chairs,Home Office,Texas,-504.6654,4076.324
East,Furniture,Chairs,Home Office,Texas,,
South,Furniture,Chairs,Home Office,Texas,,
West,Furniture,Chairs,Home Office,Texas,,
Central,Furniture,Chairs,Home Office,Washington,,
East,Furniture,Chairs,Home Office,Washington,,
South,Furniture,Chairs,Home Office,Washington,,
West,Furniture,Chairs,Home Office,Washington,27.0531,3136.072
Central,Furniture,Chairs,Home Office,Minnesota,701.0924,2637.64
East,Furniture,Chairs,Home Office,Minnesota,,
South,Furniture,Chairs,Home Office,Minnesota,,
West,Furniture,Chairs,Home Office,Minnesota,,
Central,Furniture,Chairs,Home Office,Kentucky,,
East,Furniture,Chairs,Home Office,Kentucky,,
South,Furniture,Chairs,Home Office,Kentucky,755.5716,2607.76
West,Furniture,Chairs,Home Office,Kentucky,,
Central,Furniture,Chairs,Home Office,Florida,,
East,Furniture,Chairs,Home Office,Florida,,
South,Furniture,Chairs,Home Office,Florida,116.3943,2270.008
West,Furniture,Chairs,Home Office,Florida,,
Central,Furniture,Chairs,Home Office,Arizona,,
East,Furniture,Chairs,Home Office,Arizona,,
South,Furniture,Chairs,Home Office,Arizona,,
West,Furniture,Chairs,Home Office,Arizona,141.2448,1688.16
Central,Furniture,Chairs,Home Office,Ohio,,
East,Furniture,Chairs,Home Office,Ohio,-87.9468,1681.232
South,Furniture,Chairs,Home Office,Ohio,,
West,Furniture,Chairs,Home Office,Ohio,,
Central,Furniture,Chairs,Home Office,Wyoming,,
East,Furniture,Chairs,Home Office,Wyoming,,
South,Furniture,Chairs,Home Office,Wyoming,,
West,Furniture,Chairs,Home Office,Wyoming,100.196,1603.136
Central,Furniture,Chairs,Home Office,Rhode Island,,
East,Furniture,Chairs,Home Office,Rhode Island,411.2568,1589.18
South,Furniture,Chairs,Home Office,Rhode Island,,
West,Furniture,Chairs,Home Office,Rhode Island,,
Central,Furniture,Chairs,Home Office,Colorado,,
East,Furniture,Chairs,Home Office,Colorado,,
South,Furniture,Chairs,Home Office,Colorado,,
West,Furniture,Chairs,Home Office,Colorado,154.344,1408.896
Central,Furniture,Chairs,Home Office,Iowa,394.268,1408.1
East,Furniture,Chairs,Home Office,Iowa,,
South,Furniture,Chairs,Home Office,Iowa,,
West,Furniture,Chairs,Home Office,Iowa,,
