Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Sales),Sum(Orders.Profit)
December,Office Supplies,Storage,Home Office,6916.883999999998,1316.8654000000001
January,Office Supplies,Supplies,Consumer,239.32000000000002,46.94009999999997
February,Office Supplies,Supplies,Consumer,25.02,6.5052
March,Office Supplies,Supplies,Consumer,5314.548000000001,-1071.7526000000003
April,Office Supplies,Supplies,Consumer,1114.9740000000002,-73.88019999999997
May,Office Supplies,Supplies,Consumer,636.712,80.51559999999999
June,Office Supplies,Supplies,Consumer,856.8180000000001,18.038600000000013
July,Office Supplies,Supplies,Consumer,8497.121999999998,347.2356999999997
August,Office Supplies,Supplies,Consumer,637.7599999999998,40.19019999999994
September,Office Supplies,Supplies,Consumer,5637.1500000000015,-1139.941
October,Office Supplies,Supplies,Consumer,158.364,33.254999999999995
November,Office Supplies,Supplies,Consumer,625.41,-29.937600000000014
December,Office Supplies,Supplies,Consumer,1998.2979999999998,85.2797
January,Office Supplies,Supplies,Corporate,4164.049999999999,83.28100000000006
February,Office Supplies,Supplies,Corporate,264.33,11.457000000000004
March,Office Supplies,Supplies,Corporate,5322.196,228.11139999999978
April,Office Supplies,Supplies,Corporate,4659.079999999999,97.95760000000007
May,Office Supplies,Supplies,Corporate,447.4239999999999,29.181600000000003
June,Office Supplies,Supplies,Corporate,393.09,50.29559999999999
July,Office Supplies,Supplies,Corporate,172.67400000000004,36.933199999999985
August,Office Supplies,Supplies,Corporate,94.16,15.135999999999997
September,Office Supplies,Supplies,Corporate,330.506,-3.1165000000000163
October,Office Supplies,Supplies,Corporate,574.548,15.639800000000031
November,Office Supplies,Supplies,Corporate,635.238,-118.9476
December,Office Supplies,Supplies,Corporate,2377.9880000000003,-107.00270000000003
January,Office Supplies,Supplies,Home Office,,
February,Office Supplies,Supplies,Home Office,,
March,Office Supplies,Supplies,Home Office,,
April,Office Supplies,Supplies,Home Office,441.89,-29.006500000000003
May,Office Supplies,Supplies,Home Office,69.5,20.154999999999994
June,Office Supplies,Supplies,Home Office,16.68,4.3368
July,Office Supplies,Supplies,Home Office,146.12,41.93079999999999
August,Office Supplies,Supplies,Home Office,133.648,25.93119999999999
September,Office Supplies,Supplies,Home Office,468.52,4.632300000000004
October,Office Supplies,Supplies,Home Office,105.18,31.55399999999999
November,Office Supplies,Supplies,Home Office,89.50999999999999,23.307199999999995
December,Office Supplies,Supplies,Home Office,25.71,6.6846000000000005
January,Technology,Accessories,Consumer,852.672,190.86110000000002
February,Technology,Accessories,Consumer,3194.7439999999997,972.3863000000001
March,Technology,Accessories,Consumer,4955.330000000002,1306.9402999999998
April,Technology,Accessories,Consumer,4158.374,886.93
May,Technology,Accessories,Consumer,4699.6179999999995,1101.2270999999998
June,Technology,Accessories,Consumer,5073.4039999999995,1360.6829
July,Technology,Accessories,Consumer,9014.753999999999,1957.5744999999997
August,Technology,Accessories,Consumer,5100.4400000000005,872.5383999999996
September,Technology,Accessories,Consumer,14419.117999999997,3305.374099999999
October,Technology,Accessories,Consumer,6414.461999999999,1278.2220999999997
November,Technology,Accessories,Consumer,11981.041999999994,2691.617400000001
December,Technology,Accessories,Consumer,17241.28,4811.5683
January,Technology,Accessories,Corporate,2155.424,492.4795999999999
February,Technology,Accessories,Corporate,2142.54,504.59869999999984
March,Technology,Accessories,Corporate,2971.762,717.2840999999999
April,Technology,Accessories,Corporate,1103.846,373.50640000000004
May,Technology,Accessories,Corporate,3528.315999999999,1032.2942999999996
June,Technology,Accessories,Corporate,3161.705999999999,731.0641999999999
July,Technology,Accessories,Corporate,4962.939999999999,1608.7865000000002
August,Technology,Accessories,Corporate,5450.112000000001,1468.6568000000002
September,Technology,Accessories,Corporate,6305.71,1830.1556999999996
October,Technology,Accessories,Corporate,3015.7619999999997,618.1287999999998
November,Technology,Accessories,Corporate,9154.864,2504.6463000000003
December,Technology,Accessories,Corporate,4237.582,825.8791
January,Technology,Accessories,Home Office,2469.8099999999995,654.4995
February,Technology,Accessories,Home Office,31.992000000000004,4.798799999999996
March,Technology,Accessories,Home Office,839.546,279.1856
April,Technology,Accessories,Home Office,2689.4880000000003,571.5170999999999
May,Technology,Accessories,Home Office,1385.1659999999997,338.17170000000004
June,Technology,Accessories,Home Office,673.274,141.84339999999997
July,Technology,Accessories,Home Office,3148.724,1217.6195999999998
August,Technology,Accessories,Home Office,1825.592,222.13030000000003
September,Technology,Accessories,Home Office,4175.526000000001,1222.1365000000005
October,Technology,Accessories,Home Office,3496.9179999999997,813.3250999999998
November,Technology,Accessories,Home Office,4820.825999999998,1156.4280999999996
December,Technology,Accessories,Home Office,6527.6539999999995,1871.577
January,Technology,Copiers,Consumer,,
February,Technology,Copiers,Consumer,,
March,Technology,Copiers,Consumer,16079.912,7217.9713999999985
April,Technology,Copiers,Consumer,2679.916,911.9713999999999
May,Technology,Copiers,Consumer,13479.873999999998,2464.9694999999992
June,Technology,Copiers,Consumer,,
July,Technology,Copiers,Consumer,5399.898000000001,1381.9772999999998
August,Technology,Copiers,Consumer,1499.9660000000001,524.9883
September,Technology,Copiers,Consumer,9999.758000000002,3736.9065
October,Technology,Copiers,Consumer,2479.936,786.9793999999999
November,Technology,Copiers,Consumer,12659.93,5531.9768
December,Technology,Copiers,Consumer,5539.88,1525.9699999999998
January,Technology,Copiers,Corporate,959.9680000000001,119.99599999999992
February,Technology,Copiers,Corporate,,
March,Technology,Copiers,Corporate,8549.84,3490.4336000000003
April,Technology,Copiers,Corporate,1199.976,374.99249999999995
May,Technology,Copiers,Corporate,1559.964,204.9944999999999
June,Technology,Copiers,Corporate,899.97,314.9895
July,Technology,Copiers,Corporate,2399.96,839.9860000000001
August,Technology,Copiers,Corporate,3679.9440000000004,1204.9814999999999
September,Technology,Copiers,Corporate,319.98400000000004,107.99459999999999
October,Technology,Copiers,Corporate,17939.941999999995,8564.972999999998
November,Technology,Copiers,Corporate,1939.964,473.99159999999995
December,Technology,Copiers,Corporate,7379.874000000001,3292.9460999999997
January,Technology,Copiers,Home Office,2999.95,1379.9769999999999
February,Technology,Copiers,Home Office,,
March,Technology,Copiers,Home Office,959.984,335.99440000000004
April,Technology,Copiers,Home Office,,
May,Technology,Copiers,Home Office,3359.952,1049.985
June,Technology,Copiers,Home Office,,
July,Technology,Copiers,Home Office,1979.9340000000002,539.9819999999999
August,Technology,Copiers,Home Office,549.99,274.995
September,Technology,Copiers,Home Office,,
October,Technology,Copiers,Home Office,16599.878,6511.945599999999
November,Technology,Copiers,Home Office,549.99,274.995
December,Technology,Copiers,Home Office,5879.896000000001,2175.9614
January,Technology,Machines,Consumer,1919.976,215.99729999999977
February,Technology,Machines,Consumer,8749.95,2799.9839999999995
March,Technology,Machines,Consumer,5187.84,2434.5552
April,Technology,Machines,Consumer,1739.864,770.0435
May,Technology,Machines,Consumer,8528.123,1407.7446999999993
June,Technology,Machines,Consumer,7599.911,731.2723999999994
July,Technology,Machines,Consumer,464.97,209.23649999999998
August,Technology,Machines,Consumer,4581.552,1557.1238
September,Technology,Machines,Consumer,18933.686999999998,-708.1861000000024
October,Technology,Machines,Consumer,471.15400000000005,-39.09429999999996
November,Technology,Machines,Consumer,8288.326000000001,-6700.538800000001
December,Technology,Machines,Consumer,13077.472000000002,-537.0764000000013
January,Technology,Machines,Corporate,4943.682,-298.2320000000004
February,Technology,Machines,Corporate,239.98400000000004,38.99739999999997
March,Technology,Machines,Corporate,981.82,-590.4379999999999
April,Technology,Machines,Corporate,13899.914,2725.980599999999
May,Technology,Machines,Corporate,2396.4,179.73000000000013
June,Technology,Machines,Corporate,78.66,36.18359999999999
July,Technology,Machines,Corporate,1204.5980000000002,-380.9301000000001
August,Technology,Machines,Corporate,1679.958,-183.00480000000027
September,Technology,Machines,Corporate,7045.469999999999,-1265.4213000000004
October,Technology,Machines,Corporate,7133.354,1638.1222
November,Technology,Machines,Corporate,19152.653,-761.3555999999987
December,Technology,Machines,Corporate,1520.2620000000002,-436.61299999999983
January,Technology,Machines,Home Office,350.97300000000007,152.08829999999998
February,Technology,Machines,Home Office,,
March,Technology,Machines,Home Office,28882.244,-868.7384000000027
April,Technology,Machines,Home Office,2549.9850000000006,-3399.980000000001
May,Technology,Machines,Home Office,343.20000000000005,38.60999999999996
June,Technology,Machines,Home Office,4503.954,1709.5746
July,Technology,Machines,Home Office,2395.2000000000003,209.58000000000004
August,Technology,Machines,Home Office,,
September,Technology,Machines,Home Office,406.5,74.96369999999996
October,Technology,Machines,Home Office,3008.585,-651.0675
November,Technology,Machines,Home Office,6366.32,3134.6243999999997
December,Technology,Machines,Home Office,612.0899999999999,141.02099999999996
January,Technology,Phones,Consumer,9219.504000000003,1247.5581000000002
February,Technology,Phones,Consumer,2223.058,168.50379999999993
March,Technology,Phones,Consumer,8364.467999999999,828.6024
April,Technology,Phones,Consumer,9213.747999999998,950.7535000000003
May,Technology,Phones,Consumer,16397.417999999998,1895.5629999999999
June,Technology,Phones,Consumer,15776.798000000004,2781.8360000000002
July,Technology,Phones,Consumer,14485.402,1124.2821999999994
August,Technology,Phones,Consumer,17290.881999999994,2045.5386999999998
September,Technology,Phones,Consumer,17200.766000000003,3696.4449999999997
October,Technology,Phones,Consumer,11269.346,1362.6601999999996
November,Technology,Phones,Consumer,29449.847999999987,4274.576400000001
December,Technology,Phones,Consumer,19041.52600000001,3460.795400000001
January,Technology,Phones,Corporate,1685.4200000000003,219.80979999999994
February,Technology,Phones,Corporate,3199.6600000000003,553.0138000000001
March,Technology,Phones,Corporate,9348.511999999999,1471.4242000000006
April,Technology,Phones,Corporate,4877.786,390.47249999999997
May,Technology,Phones,Corporate,5350.002,1216.2183999999997
June,Technology,Phones,Corporate,4485.4980000000005,586.1765
July,Technology,Phones,Corporate,8269.468,1322.2412000000004
August,Technology,Phones,Corporate,5832.078000000001,436.9662000000001
September,Technology,Phones,Corporate,12786.76,1123.6711999999998
October,Technology,Phones,Corporate,8671.050000000003,1489.1581999999999
November,Technology,Phones,Corporate,14790.813999999997,1559.2848999999994
December,Technology,Phones,Corporate,11856.366,1397.7826999999993
January,Technology,Phones,Home Office,2564.3840000000005,459.8589999999999
February,Technology,Phones,Home Office,3561.4900000000007,284.72929999999974
March,Technology,Phones,Home Office,10730.312000000002,743.8554000000001
April,Technology,Phones,Home Office,3517.378,823.2351000000001
May,Technology,Phones,Home Office,2614.1220000000003,149.45479999999992
June,Technology,Phones,Home Office,6051.408000000001,836.4971000000002
July,Technology,Phones,Home Office,1128.178,70.63409999999993
August,Technology,Phones,Home Office,4535.342000000001,674.5267999999999
September,Technology,Phones,Home Office,7787.430000000001,974.2237000000001
October,Technology,Phones,Home Office,6531.557999999999,1509.2124
November,Technology,Phones,Home Office,11980.264000000001,1900.1665000000003
December,Technology,Phones,Home Office,7919.009999999998,486.0020999999999
