Orders.Ship Date.Variation.Date Hierarchy.Year,Sum(Orders.Sales),Orders.City,Orders.Colors
2016,17.46,Eagan,Purple
2017,,Eagan,Purple
2018,,Eagan,Purple
2014,,Eagan,Voilet
2015,,Eagan,Voilet
2016,45.98,Eagan,Voilet
2017,,Eagan,Voilet
2018,,Eagan,Voilet
2014,,East Orange,
2015,,East Orange,
2016,345.47,East Orange,
2017,31.799999999999997,East Orange,
2018,,East Orange,
2014,,East Point,
2015,268.4,East Point,
2016,,East Point,
2017,,East Point,
2018,,East Point,
2014,91.67999999999999,Eau Claire,
2015,435.53999999999996,Eau Claire,
2016,1085.87,Eau Claire,
2017,32.56,Eau Claire,
2018,,Eau Claire,
2014,,Edinburg,
2015,,Edinburg,
2016,85.908,Edinburg,
2017,2.368,Edinburg,
2018,,Edinburg,
2014,,Edmond,Black
2015,,Edmond,Black
2016,944.9300000000001,Edmond,Black
2017,,Edmond,Black
2018,,Edmond,Black
2014,,Edmond,Yellow
2015,,Edmond,Yellow
2016,14.62,Edmond,Yellow
2017,,Edmond,Yellow
2018,,Edmond,Yellow
2014,1549.77,Edmonds,
2015,,Edmonds,
2016,323.21000000000004,Edmonds,
2017,562.652,Edmonds,
2018,88.06,Edmonds,
2014,478.48,El Cajon,
2015,,El Cajon,
2016,387.136,El Cajon,
2017,,El Cajon,
2018,,El Cajon,
2014,2012.3980000000001,El Paso,
2015,97.084,El Paso,
2016,17.856,El Paso,
2017,1418.726,El Paso,
2018,,El Paso,
2014,,Elkhart,
2015,,Elkhart,
2016,,Elkhart,
2017,171.43,Elkhart,
2018,,Elkhart,
2014,651.588,Elmhurst,
2015,,Elmhurst,
2016,240.04000000000002,Elmhurst,
2017,,Elmhurst,
2018,,Elmhurst,
2014,,Elyria,
2015,,Elyria,
2016,,Elyria,
2017,1.8240000000000003,Elyria,
2018,,Elyria,
2014,,Encinitas,
2015,,Encinitas,
2016,305.49600000000004,Encinitas,
2017,286.485,Encinitas,
2018,,Encinitas,
2014,,Englewood,
2015,,Englewood,
2016,124.056,Englewood,
2017,,Englewood,
2018,,Englewood,
2014,71.188,Escondido,
2015,,Escondido,
2016,,Escondido,
2017,23.36,Escondido,
2018,,Escondido,
2014,,Eugene,
2015,,Eugene,
2016,1465.032,Eugene,
2017,,Eugene,
2018,,Eugene,
2014,258.279,Evanston,
2015,1483.528,Evanston,
2016,11.992,Evanston,
2017,,Evanston,
2018,,Evanston,
2014,1885.27,Everett,
2015,2303.758,Everett,
2016,,Everett,
2017,1476.7060000000001,Everett,
2018,,Everett,
2014,2363.42,Fairfield,
2015,470.35999999999996,Fairfield,
2016,2108.3730000000005,Fairfield,
2017,4499.921,Fairfield,
2018,34.623999999999995,Fairfield,
2014,,Fairfield,Yellow
2015,,Fairfield,Yellow
2016,7.16,Fairfield,Yellow
2017,,Fairfield,Yellow
2018,,Fairfield,Yellow
2014,,Fargo,
2015,,Fargo,
2016,,Fargo,
2017,891.53,Fargo,
2018,28.38,Fargo,
2014,,Farmington,
2015,12.88,Farmington,
2016,,Farmington,
2017,705.84,Farmington,
2018,,Farmington,
2014,1939.4740000000002,Fayetteville,
2015,134.09,Fayetteville,
2016,2290.1839999999997,Fayetteville,
2017,2562.178,Fayetteville,
2018,,Fayetteville,
2014,1979.89,Florence,
2015,3860.6900000000005,Florence,
2016,196.85999999999999,Florence,
2017,1584.2800000000002,Florence,
2018,,Florence,
2014,,Fort Collins,
2015,,Fort Collins,
2016,98.328,Fort Collins,
2017,836.9240000000001,Fort Collins,
2018,,Fort Collins,
2014,810.2880000000001,Fort Lauderdale,
2015,,Fort Lauderdale,
2016,1049.547,Fort Lauderdale,
2017,2089.752,Fort Lauderdale,
2018,,Fort Lauderdale,
2014,,Fort Lauderdale,Orange
2015,957.5775,Fort Lauderdale,Orange
2016,,Fort Lauderdale,Orange
2017,,Fort Lauderdale,Orange
2018,,Fort Lauderdale,Orange
2014,,Fort Lauderdale,Red
2015,22.368000000000002,Fort Lauderdale,Red
2016,,Fort Lauderdale,Red
2017,,Fort Lauderdale,Red
2018,,Fort Lauderdale,Red
2014,2233.12,Fort Worth,
2015,2190.074,Fort Worth,
2016,516.934,Fort Worth,
2017,1662.5784,Fort Worth,
2018,,Fort Worth,
2014,,Fort Worth,Black
2015,2.5439999999999996,Fort Worth,Black
2016,,Fort Worth,Black
2017,,Fort Worth,Black
2018,,Fort Worth,Black
2014,,Fort Worth,Yellow
2015,68.80999999999999,Fort Worth,Yellow
2016,,Fort Worth,Yellow
2017,,Fort Worth,Yellow
2018,,Fort Worth,Yellow
2014,,Frankfort,
2015,20.767999999999997,Frankfort,
2016,76.864,Frankfort,
2017,,Frankfort,
2018,,Frankfort,
2014,1092.996,Franklin,
2015,2470.3080000000004,Franklin,
2016,3442.489,Franklin,
2017,69.842,Franklin,
2018,,Franklin,
2014,,Franklin,Black
2015,,Franklin,Black
2016,171.55,Franklin,Black
2017,35.168000000000006,Franklin,Black
2018,,Franklin,Black
2014,,Franklin,Orange
2015,,Franklin,Orange
2016,384.45000000000005,Franklin,Orange
2017,,Franklin,Orange
2018,,Franklin,Orange
2014,,Franklin,Red
2015,,Franklin,Red
2016,149.97,Franklin,Red
2017,,Franklin,Red
2018,,Franklin,Red
2014,,Franklin,Voilet
2015,,Franklin,Voilet
2016,,Franklin,Voilet
2017,1488.4239999999998,Franklin,Voilet
2018,,Franklin,Voilet
2014,,Franklin,Yellow
2015,,Franklin,Yellow
2016,1951.84,Franklin,Yellow
2017,,Franklin,Yellow
2018,,Franklin,Yellow
2014,62.49600000000001,Freeport,
2015,506.08200000000005,Freeport,
2016,,Freeport,
2017,170.57199999999997,Freeport,
2018,,Freeport,
2014,,Fremont,
2015,,Fremont,
2016,33.9,Fremont,
2017,1005.31,Fremont,
2018,,Fremont,
2014,,Fremont,Orange
2015,,Fremont,Orange
2016,19.459999999999997,Fremont,Orange
2017,,Fremont,Orange
2018,,Fremont,Orange
2014,,Fremont,Red
2015,,Fremont,Red
2016,60.339999999999996,Fremont,Red
2017,,Fremont,Red
2018,,Fremont,Red
2014,4744.0825,Fresno,
2015,,Fresno,
2016,848.5440000000001,Fresno,
2017,2295.902,Fresno,
2018,,Fresno,
2014,,Frisco,
2015,27.168000000000003,Frisco,
2016,,Frisco,
2017,30.336000000000006,Frisco,
2018,,Frisco,
2014,,Gaithersburg,
2015,,Gaithersburg,
2016,405.91999999999996,Gaithersburg,
2017,,Gaithersburg,
2018,,Gaithersburg,
2014,257.98,Garden City,
2015,21.11,Garden City,
2016,,Garden City,
2017,33.29,Garden City,
2018,,Garden City,
2014,8.544,Garland,
2015,,Garland,
2016,,Garland,
2017,59.16,Garland,
2018,,Garland,
2014,,Gastonia,
2015,,Gastonia,
2016,895.0600000000001,Gastonia,
2017,,Gastonia,
2018,,Gastonia,
2014,,Georgetown,
2015,,Georgetown,
2016,1576.54,Georgetown,
2017,209.88,Georgetown,
2018,,Georgetown,
2014,,Gilbert,
2015,2008.4,Gilbert,
2016,,Gilbert,
2017,882.99,Gilbert,
2018,,Gilbert,
2014,1113.0240000000001,Gilbert,Red
2015,,Gilbert,Red
2016,,Gilbert,Red
2017,,Gilbert,Red
2018,,Gilbert,Red
2014,167.96800000000002,Gilbert,Yellow
2015,,Gilbert,Yellow
2016,,Gilbert,Yellow
2017,,Gilbert,Yellow
2018,,Gilbert,Yellow
2014,,Gladstone,
2015,,Gladstone,
2016,,Gladstone,
2017,164.34,Gladstone,
2018,,Gladstone,
2014,331.752,Glendale,
2015,277.096,Glendale,
2016,1124.71,Glendale,
2017,1184.307,Glendale,
2018,,Glendale,
2014,,Glenview,
2015,158.376,Glenview,
2016,,Glenview,
2017,,Glenview,
2018,,Glenview,
2014,,Goldsboro,
2015,,Goldsboro,
2016,34.944,Goldsboro,
2017,,Goldsboro,
2018,,Goldsboro,
2014,,Grand Island,
2015,,Grand Island,
2016,,Grand Island,
2017,15.96,Grand Island,
2018,,Grand Island,
2014,84.87199999999999,Grand Prairie,
2015,253.33999999999997,Grand Prairie,
2016,56.495999999999995,Grand Prairie,
2017,560.538,Grand Prairie,
2018,,Grand Prairie,
2014,,Grand Prairie,Maroon
2015,,Grand Prairie,Maroon
2016,37.224000000000004,Grand Prairie,Maroon
2017,,Grand Prairie,Maroon
2018,,Grand Prairie,Maroon
2014,,Grand Prairie,Voilet
2015,,Grand Prairie,Voilet
2016,20.016000000000002,Grand Prairie,Voilet
2017,,Grand Prairie,Voilet
2018,,Grand Prairie,Voilet
2014,19.44,Grand Rapids,
2015,,Grand Rapids,
2016,242.08999999999997,Grand Rapids,
2017,54.900000000000006,Grand Rapids,
2018,209.7,Grand Rapids,
2014,,Grapevine,
2015,,Grapevine,
2016,41.528000000000006,Grapevine,
2017,,Grapevine,
2018,,Grapevine,
2014,416.2,Great Falls,
2015,,Great Falls,
2016,,Great Falls,
2017,4189.38,Great Falls,
2018,,Great Falls,
2014,,Greeley,
2015,,Greeley,
2016,,Greeley,
2017,30.352,Greeley,
2018,,Greeley,
2014,468.90000000000003,Green Bay,
2015,,Green Bay,
2016,35.7,Green Bay,
2017,22.72,Green Bay,
2018,,Green Bay,
2014,59.109000000000016,Greensboro,
2015,64.68,Greensboro,
2016,327.23900000000003,Greensboro,
2017,1955.752,Greensboro,
2018,,Greensboro,
2014,1299.99,Greenville,
2015,,Greenville,
2016,389.136,Greenville,
2017,428.704,Greenville,
2018,,Greenville,
2014,,Greenwood,
2015,,Greenwood,
2016,1424.9,Greenwood,
2017,240.14999999999998,Greenwood,
2018,,Greenwood,
2014,1508.768,Gresham,
2015,,Gresham,
2016,624.656,Gresham,
2017,,Gresham,
2018,,Gresham,
2014,,Grove City,
2015,,Grove City,
2016,,Grove City,
2017,123.58799999999998,Grove City,
2018,,Grove City,
2014,,Gulfport,
2015,,Gulfport,
2016,117.81,Gulfport,
2017,48.69,Gulfport,
2018,,Gulfport,
2014,1368.6200000000001,Hackensack,
2015,,Hackensack,
2016,,Hackensack,
2017,,Hackensack,
2018,,Hackensack,
2014,87.53999999999999,Hackensack,Maroon
2015,,Hackensack,Maroon
2016,,Hackensack,Maroon
2017,,Hackensack,Maroon
2018,,Hackensack,Maroon
2014,,Hagerstown,
2015,,Hagerstown,
2016,,Hagerstown,
2017,43.8,Hagerstown,
2018,,Hagerstown,
2014,,Haltom City,
2015,269.32800000000003,Haltom City,
2016,,Haltom City,
2017,,Haltom City,
2018,,Haltom City,
2014,190.848,Hamilton,
2015,,Hamilton,
2016,123.92000000000002,Hamilton,
2017,,Hamilton,
2018,,Hamilton,
2014,7.408,Hamilton,Black
2015,,Hamilton,Black
2016,,Hamilton,Black
2017,,Hamilton,Black
2018,,Hamilton,Black
2014,6.048,Hamilton,Maroon
2015,,Hamilton,Maroon
2016,,Hamilton,Maroon
2017,,Hamilton,Maroon
2018,,Hamilton,Maroon
2014,1567.25,Hampton,
2015,864.0299999999999,Hampton,
2016,290.98,Hampton,
2017,,Hampton,
2018,,Hampton,
2014,,Harlingen,
2015,,Harlingen,
2016,392.06,Harlingen,
2017,,Harlingen,
2018,,Harlingen,
2014,,Harlingen,Blue
2015,,Harlingen,Blue
2016,,Harlingen,Blue
2017,25.920000000000005,Harlingen,Blue
2018,,Harlingen,Blue
2014,,Harlingen,White
2015,,Harlingen,White
2016,,Harlingen,White
2017,53.42400000000001,Harlingen,White
2018,,Harlingen,White
2014,4325.67,Harrisonburg,
2015,39.96,Harrisonburg,
2016,,Harrisonburg,
2017,23.08,Harrisonburg,
2018,,Harrisonburg,
2014,,Hattiesburg,
2015,239.70000000000002,Hattiesburg,
2016,1110.5,Hattiesburg,
2017,372.64,Hattiesburg,
2018,,Hattiesburg,
2014,,Helena,
2015,403.94000000000005,Helena,
2016,,Helena,
2017,39.900000000000006,Helena,
2018,,Helena,
2014,115.95200000000001,Hempstead,
2015,794.5740000000001,Hempstead,
2016,1671.08,Hempstead,
2017,7.98,Hempstead,
2018,,Hempstead,
2014,5374.82,Henderson,
2015,994.8000000000001,Henderson,
2016,3515.7380000000003,Henderson,
2017,6669.8099999999995,Henderson,
2018,,Henderson,
2014,,Henderson,Blue
2015,,Henderson,Blue
2016,731.94,Henderson,Blue
2017,,Henderson,Blue
2018,,Henderson,Blue
2014,,Henderson,Purple
2015,,Henderson,Purple
2016,261.96,Henderson,Purple
2017,,Henderson,Purple
2018,,Henderson,Purple
2014,,Hendersonville,
2015,,Hendersonville,
2016,16.218000000000004,Hendersonville,
2017,303.32000000000005,Hendersonville,
2018,,Hendersonville,
2014,,Hesperia,
2015,,Hesperia,
2016,424.9574999999999,Hesperia,
2017,436.70400000000006,Hesperia,
2018,,Hesperia,
2014,,Hesperia,Purple
2015,,Hesperia,Purple
2016,99.99,Hesperia,Purple
2017,,Hesperia,Purple
2018,,Hesperia,Purple
2014,,Hesperia,Voilet
2015,,Hesperia,Voilet
2016,251.52,Hesperia,Voilet
2017,,Hesperia,Voilet
2018,,Hesperia,Voilet
2014,1436.6560000000002,Hialeah,
2015,32.985,Hialeah,
2016,474.7800000000001,Hialeah,
2017,394.528,Hialeah,
2018,,Hialeah,
2014,,Hickory,
2015,,Hickory,
2016,36.192,Hickory,
2017,4.572000000000001,Hickory,
2018,,Hickory,
2014,,Highland Park,
2015,1454.8380000000002,Highland Park,
2016,580.258,Highland Park,
2017,,Highland Park,
2018,,Highland Park,
2014,,Hillsboro,
2015,64.072,Hillsboro,
2016,,Hillsboro,
2017,23.766000000000002,Hillsboro,
2018,,Hillsboro,
2014,,Holland,
2015,7.5,Holland,
2016,130.36,Holland,
2017,,Holland,
2018,,Holland,
2014,580.6880000000001,Hollywood,
2015,37.456,Hollywood,
2016,41.28,Hollywood,
2017,411.05,Hollywood,
2018,,Hollywood,
2014,,Holyoke,
2015,301.96,Holyoke,
2016,,Holyoke,
2017,,Holyoke,
2018,,Holyoke,
2014,,Homestead,
2015,,Homestead,
2016,85.224,Homestead,
2017,47.328,Homestead,
2018,,Homestead,
2014,,Hoover,
2015,,Hoover,
2016,,Hoover,
2017,525.85,Hoover,
2018,,Hoover,
2014,,Hot Springs,
2015,29.99,Hot Springs,
2016,215.83999999999997,Hot Springs,
2017,,Hot Springs,
2018,,Hot Springs,
2014,11495.662000000002,Houston,
2015,11757.719399999994,Houston,
2016,13669.375799999994,Houston,
2017,16047.874400000002,Houston,
2018,,Houston,
2014,19.3,Houston,Black
2015,,Houston,Black
2016,,Houston,Black
2017,,Houston,Black
2018,,Houston,Black
2014,3059.982,Houston,Blue
2015,139.24,Houston,Blue
2016,,Houston,Blue
2017,,Houston,Blue
2018,,Houston,Blue
2014,600.558,Houston,Maroon
2015,,Houston,Maroon
2016,158.36800000000002,Houston,Maroon
2017,29.472,Houston,Maroon
2018,,Houston,Maroon
2014,,Houston,Orange
2015,212.058,Houston,Orange
2016,2396.2655999999997,Houston,Orange
2017,1.2479999999999998,Houston,Orange
2018,,Houston,Orange
2014,,Houston,Purple
2015,8.651999999999997,Houston,Purple
2016,,Houston,Purple
2017,,Houston,Purple
2018,,Houston,Purple
2014,,Houston,Red
2015,371.168,Houston,Red
2016,131.136,Houston,Red
2017,9.708,Houston,Red
2018,,Houston,Red
2014,2519.9579999999996,Houston,White
2015,1658.9751999999999,Houston,White
2016,35.952000000000005,Houston,White
2017,,Houston,White
2018,,Houston,White
2014,,Houston,Yellow
2015,,Houston,Yellow
2016,57.584,Houston,Yellow
2017,124.50399999999999,Houston,Yellow
2018,,Houston,Yellow
2014,19.16,Huntington Beach,
2015,,Huntington Beach,
2016,12.78,Huntington Beach,
2017,2495.88,Huntington Beach,
2018,,Huntington Beach,
2014,3024.092,Huntsville,
2015,1080.888,Huntsville,
2016,3145.9367999999995,Huntsville,
2017,1944.0700000000002,Huntsville,
2018,,Huntsville,
2014,,Independence,
2015,,Independence,
2016,,Independence,
2017,1577.94,Independence,
2018,,Independence,
2014,,Independence,Purple
2015,,Independence,Purple
2016,,Independence,Purple
2017,839.4300000000001,Independence,Purple
2018,,Independence,Purple
2014,1494,Indianapolis,
2015,1353.4799999999998,Indianapolis,
2016,54.96,Indianapolis,
2017,6403.98,Indianapolis,
2018,,Indianapolis,
2014,,Inglewood,
2015,,Inglewood,
2016,,Inglewood,
2017,3464.5280000000002,Inglewood,
2018,,Inglewood,
2014,,Inglewood,Red
2015,,Inglewood,Red
2016,,Inglewood,Red
2017,8.82,Inglewood,Red
2018,,Inglewood,Red
2014,,Inglewood,Yellow
2015,,Inglewood,Yellow
2016,,Inglewood,Yellow
2017,5.98,Inglewood,Yellow
2018,,Inglewood,Yellow
2014,,Iowa City,
2015,,Iowa City,
2016,9.99,Iowa City,
2017,,Iowa City,
2018,,Iowa City,
2014,88.77600000000001,Irving,
2015,,Irving,
2016,516.724,Irving,
2017,,Irving,
2018,,Irving,
2014,1994.4399999999998,Jackson,
2015,1796.982,Jackson,
2016,7510.045,Jackson,
2017,13573.221,Jackson,
2018,,Jackson,
2014,,Jackson,Blue
2015,70.12,Jackson,Blue
2016,,Jackson,Blue
2017,,Jackson,Blue
2018,,Jackson,Blue
2014,,Jackson,Voilet
2015,,Jackson,Voilet
2016,,Jackson,Voilet
2017,19.049999999999997,Jackson,Voilet
2018,,Jackson,Voilet
2014,25808.125000000004,Jacksonville,
2015,6272.972000000002,Jacksonville,
2016,2579.664,Jacksonville,
2017,10052.422000000002,Jacksonville,
2018,,Jacksonville,
2014,4708.79,Jamestown,
2015,,Jamestown,
2016,,Jamestown,
2017,,Jamestown,
2018,,Jamestown,
2014,,Jefferson City,
2015,,Jefferson City,
2016,86.62,Jefferson City,
2017,,Jefferson City,
2018,,Jefferson City,
2014,362.17600000000004,Johnson City,
2015,,Johnson City,
2016,228.586,Johnson City,
2017,175.086,Johnson City,
2018,,Johnson City,
2014,2498.2200000000003,Jonesboro,
2015,,Jonesboro,
2016,299.48,Jonesboro,
2017,117.62,Jonesboro,
2018,,Jonesboro,
2014,,Jupiter,
2015,,Jupiter,
2016,,Jupiter,
2017,2.064,Jupiter,
2018,,Jupiter,
2014,,Keller,
2015,,Keller,
2016,,Keller,
2017,6,Keller,
2018,,Keller,
2014,,Kenner,
2015,,Kenner,
2016,89.32000000000001,Kenner,
2017,,Kenner,
2018,,Kenner,
2014,,Kenosha,
2015,3506.7799999999993,Kenosha,
2016,,Kenosha,
2017,399.95,Kenosha,
2018,,Kenosha,
2014,250.09,Kent,
2015,,Kent,
2016,103.96799999999999,Kent,
2017,1343.4980000000003,Kent,
2018,,Kent,
2014,,Kirkwood,
2015,241.34,Kirkwood,
2016,,Kirkwood,
2017,,Kirkwood,
2018,,Kirkwood,
2014,,Kissimmee,
2015,,Kissimmee,
2016,,Kissimmee,
2017,751.984,Kissimmee,
2018,,Kissimmee,
2014,741.838,Knoxville,
2015,,Knoxville,
2016,135.80800000000002,Knoxville,
2017,3050.52,Knoxville,
2018,,Knoxville,
2014,,La Crosse,
2015,,La Crosse,
2016,830.41,La Crosse,
2017,,La Crosse,
2018,,La Crosse,
2014,,La Mesa,
2015,,La Mesa,
2016,,La Mesa,
2017,367.53,La Mesa,
2018,,La Mesa,
2014,,La Porte,
2015,,La Porte,
2016,525.2819999999999,La Porte,
2017,526.45,La Porte,
2018,,La Porte,
2014,,La Quinta,
2015,46.32,La Quinta,
2016,,La Quinta,
2017,,La Quinta,
2018,,La Quinta,
2014,370.86999999999995,Lafayette,
2015,603.48,Lafayette,
2016,18431.339999999997,Lafayette,
2017,5630.509999999999,Lafayette,
2018,,Lafayette,
2014,,Laguna Niguel,
2015,,Laguna Niguel,
2016,12.96,Laguna Niguel,
2017,278.02299999999997,Laguna Niguel,
2018,,Laguna Niguel,
2014,69.9,Lake Charles,
2015,,Lake Charles,
2016,,Lake Charles,
2017,477.51,Lake Charles,
2018,,Lake Charles,
2014,,Lake Elsinore,
2015,283.92,Lake Elsinore,
2016,,Lake Elsinore,
2017,,Lake Elsinore,
2018,,Lake Elsinore,
2014,,Lake Forest,
2015,,Lake Forest,
2016,1027.6760000000002,Lake Forest,
2017,597.8599999999999,Lake Forest,
2018,,Lake Forest,
2014,1070.746,Lakeland,
2015,3244.2000000000003,Lakeland,
2016,562.2925000000001,Lakeland,
2017,729.6480000000001,Lakeland,
2018,,Lakeland,
2014,249.92000000000002,Lakeville,
2015,155.88,Lakeville,
2016,,Lakeville,
2017,109.52000000000001,Lakeville,
2018,,Lakeville,
2014,2001.8600000000001,Lakeville,Blue
2015,,Lakeville,Blue
2016,,Lakeville,Blue
2017,,Lakeville,Blue
2018,,Lakeville,Blue
2014,47.88,Lakeville,Orange
2015,,Lakeville,Orange
2016,,Lakeville,Orange
2017,,Lakeville,Orange
2018,,Lakeville,Orange
2014,1503.25,Lakeville,Red
2015,,Lakeville,Red
2016,,Lakeville,Red
2017,,Lakeville,Red
2018,,Lakeville,Red
2014,166.72,Lakeville,White
2015,,Lakeville,White
2016,,Lakeville,White
2017,,Lakeville,White
2018,,Lakeville,White
2014,25.92,Lakeville,Yellow
2015,,Lakeville,Yellow
2016,,Lakeville,Yellow
2017,,Lakeville,Yellow
2018,,Lakeville,Yellow
2014,2142.0840000000003,Lakewood,
2015,355.424,Lakewood,
2016,10106.764999999998,Lakewood,
2017,5253.094000000001,Lakewood,
2018,,Lakewood,
2014,289.20000000000005,Lakewood,Blue
2015,,Lakewood,Blue
2016,,Lakewood,Blue
2017,,Lakewood,Blue
2018,,Lakewood,Blue
2014,45.480000000000004,Lakewood,Purple
2015,,Lakewood,Purple
2016,,Lakewood,Purple
2017,,Lakewood,Purple
2018,,Lakewood,Purple
2014,475.4940000000001,Lancaster,
2015,379.9320000000001,Lancaster,
2016,5587.735000000001,Lancaster,
2017,3448.3030000000003,Lancaster,
2018,,Lancaster,
2014,,Lansing,
2015,1273.6060000000002,Lansing,
2016,67,Lansing,
2017,269.68,Lansing,
2018,,Lansing,
2014,40.544000000000004,Laredo,
2015,609.6140000000001,Laredo,
2016,374.18199999999996,Laredo,
2017,,Laredo,
2018,,Laredo,
2014,,Las Cruces,
2015,57.4,Las Cruces,
2016,,Las Cruces,
2017,41.37,Las Cruces,
2018,,Las Cruces,
2014,40.08,Las Vegas,
2015,521.8320000000001,Las Vegas,
2016,,Las Vegas,
2017,1196.3160000000003,Las Vegas,
2018,,Las Vegas,
2014,,Las Vegas,Maroon
2015,,Las Vegas,Maroon
2016,,Las Vegas,Maroon
2017,75.792,Las Vegas,Maroon
2018,,Las Vegas,Maroon
2014,,Laurel,
2015,,Laurel,
2016,,Laurel,
2017,152.59,Laurel,
2018,,Laurel,
2014,1849.29,Lawrence,
2015,1445.81,Lawrence,
2016,380.22,Lawrence,
2017,3978.8720000000003,Lawrence,
2018,,Lawrence,
2014,475.42,Lawton,
2015,,Lawton,
2016,,Lawton,
2017,582.07,Lawton,
2018,,Lawton,
2014,,Layton,Black
2015,4.96,Layton,Black
2016,,Layton,Black
2017,,Layton,Black
2018,,Layton,Black
2014,554.1659999999999,League City,
2015,,League City,
2016,,League City,
2017,321.202,League City,
2018,,League City,
2014,,Lebanon,
2015,84.96000000000001,Lebanon,
2016,239.976,Lebanon,
2017,163.96,Lebanon,
2018,,Lebanon,
2014,,Lehi,
2015,16.776000000000003,Lehi,
2016,1499.95,Lehi,
2017,,Lehi,
2018,,Lehi,
2014,,Leominster,
2015,217.49,Leominster,
2016,,Leominster,
2017,,Leominster,
2018,,Leominster,
2014,9.584000000000001,Lewiston,
2015,106.08000000000001,Lewiston,
2016,,Lewiston,
2017,,Lewiston,
2018,,Lewiston,
2014,,Lincoln Park,
2015,220.31,Lincoln Park,
2016,167.292,Lincoln Park,
2017,,Lincoln Park,
2018,,Lincoln Park,
2014,115.36,Linden,
2015,,Linden,
2016,,Linden,
2017,,Linden,
2018,,Linden,
2014,,Lindenhurst,
2015,55.48,Lindenhurst,
2016,,Lindenhurst,
2017,,Lindenhurst,
2018,,Lindenhurst,
2014,1388.92,Little Rock,
2015,,Little Rock,
2016,819.3899999999999,Little Rock,
2017,1352.0400000000002,Little Rock,
2018,,Little Rock,
2014,,Littleton,
2015,,Littleton,
2016,72.29400000000001,Littleton,
2017,,Littleton,
2018,,Littleton,
2014,39.68,Lodi,
2015,,Lodi,
2016,,Lodi,
2017,97.3,Lodi,
2018,,Lodi,
2014,280.27600000000007,Logan,
2015,,Logan,
2016,,Logan,
2017,,Logan,
2018,,Logan,
2014,4921.588,Long Beach,
2015,2670.214,Long Beach,
2016,2750.8900000000003,Long Beach,
2017,3105.178000000001,Long Beach,
2018,,Long Beach,
2014,7.16,Long Beach,Maroon
2015,,Long Beach,Maroon
2016,,Long Beach,Maroon
2017,,Long Beach,Maroon
2018,,Long Beach,Maroon
2014,,Longmont,
2015,,Longmont,
2016,915.0880000000001,Longmont,
2017,,Longmont,
2018,,Longmont,
2014,,Longview,
2015,,Longview,
2016,24.849999999999998,Longview,
2017,94.36000000000001,Longview,
2018,,Longview,
2014,1421.664,Lorain,
2015,,Lorain,
2016,514.141,Lorain,
2017,79.306,Lorain,
2018,,Lorain,
2014,25430.972499999996,Los Angeles,
2015,36158.62599999998,Los Angeles,
2016,58622.573999999964,Los Angeles,
2017,48190.98049999997,Los Angeles,
2018,695.944,Los Angeles,
2014,184.08,Los Angeles,Black
2015,,Los Angeles,Black
2016,77.88,Los Angeles,Black
2017,,Los Angeles,Black
2018,,Los Angeles,Black
2014,1817.1440000000002,Los Angeles,Blue
2015,151.482,Los Angeles,Blue
2016,99.54,Los Angeles,Blue
2017,,Los Angeles,Blue
2018,,Los Angeles,Blue
2014,907.152,Los Angeles,Maroon
2015,,Los Angeles,Maroon
2016,17.628,Los Angeles,Maroon
2017,,Los Angeles,Maroon
2018,,Los Angeles,Maroon
2014,,Los Angeles,Orange
2015,1053.2079999999999,Los Angeles,Orange
2016,238.56,Los Angeles,Orange
2017,,Los Angeles,Orange
2018,,Los Angeles,Orange
2014,135.84,Los Angeles,Purple
2015,25.824,Los Angeles,Purple
2016,73.584,Los Angeles,Purple
2017,,Los Angeles,Purple
2018,,Los Angeles,Purple
2014,18.504,Los Angeles,Voilet
2015,13.98,Los Angeles,Voilet
2016,110.67000000000002,Los Angeles,Voilet
2017,,Los Angeles,Voilet
2018,,Los Angeles,Voilet
2014,1251.568,Los Angeles,White
2015,1039.7440000000001,Los Angeles,White
2016,398.41999999999996,Los Angeles,White
2017,,Los Angeles,White
2018,,Los Angeles,White
2014,48.86,Los Angeles,Yellow
2015,,Los Angeles,Yellow
2016,,Los Angeles,Yellow
2017,,Los Angeles,Yellow
2018,,Los Angeles,Yellow
2014,2546.786,Louisville,
2015,2124.5999999999995,Louisville,
2016,333.248,Louisville,
2017,5526.492,Louisville,
2018,1814.6799999999998,Louisville,
2014,,Loveland,
2015,,Loveland,
2016,,Loveland,
2017,17.94,Loveland,
2018,3.024,Loveland,
2014,2631.93,Lowell,
2015,,Lowell,
2016,819.82,Lowell,
2017,1341.1,Lowell,
2018,,Lowell,
2014,,Lowell,Black
2015,,Lowell,Black
2016,,Lowell,Black
2017,12.96,Lowell,Black
2018,,Lowell,Black
2014,,Lowell,Red
2015,,Lowell,Red
2016,,Lowell,Red
2017,7.5600000000000005,Lowell,Red
2018,,Lowell,Red
2014,,Lowell,Yellow
2015,,Lowell,Yellow
2016,,Lowell,Yellow
2017,24.56,Lowell,Yellow
2018,,Lowell,Yellow
2014,25.16,Lubbock,
2015,546.7920000000001,Lubbock,
2016,,Lubbock,
2017,20.612,Lubbock,
2018,,Lubbock,
2014,266.40999999999997,Macon,
2015,97.6,Macon,
2016,,Macon,
2017,,Macon,
2018,,Macon,
2014,3520.36,Madison,
2015,,Madison,
2016,10.07,Madison,
2017,1816.36,Madison,
2018,,Madison,
2014,665.88,Madison,Maroon
2015,,Madison,Maroon
