15000.Date.Variation.Date Hierarchy.Year,15000.City,Sum(15000.Bottles Sold),Sum(15000.Sale (Dollars))
2012,GEORGE,,
2013,GEORGE,7,97.35
2014,GEORGE,,
2015,GEORGE,3,60.81
2012,INWOOD,,
2013,INWOOD,12,89.28
2014,INWOOD,9,86.04
2015,INWOOD,31,482.67
2012,LARCHWOOD,18,136.5
2013,LARCHWOOD,8,179.3
2014,LARCHWOOD,12,121.56
2015,LARCHWOOD,66,608.86
2012,ROCK RAPIDS,29,460.77
2013,ROCK RAPIDS,24,445.71
2014,ROCK RAPIDS,54,597.51
2015,ROCK RAPIDS,75,1036.29
2012,BEVINGTON,,
2013,BEVINGTON,18,276.6
2014,BEVINGTON,24,310.68
2015,BEVINGTON,,
2012,EARLHAM,,
2013,EARLHAM,,
2014,EARLHAM,,
2015,EARLHAM,9,27.99
2012,WINTERSET,56,594.69
2013,WINTERSET,96,1202.86
2014,WINTERSET,52,880.01
2015,WINTERSET,56,550.95
2012,NEW SHARON,,
2013,NEW SHARON,,
2014,NEW SHARON,3,49.65
2015,NEW SHARON,,
2012,OSKALOOSA,97,1738.19
2013,OSKALOOSA,312,3131.11
2014,OSKALOOSA,131,1470.6
2015,OSKALOOSA,109,1823.33
2012,KNOXVILLE,89,1132.07
2013,KNOXVILLE,120,1586.89
2014,KNOXVILLE,92,1289.21
2015,KNOXVILLE,220,3437.71
2012,MELCHER-DALLAS,25,371.2
2013,MELCHER-DALLAS,12,211.44
2014,MELCHER-DALLAS,15,183.42
2015,MELCHER-DALLAS,14,104.7
2012,PELLA,68,884.18
2013,PELLA,72,828.06
2014,PELLA,142,2268.11
2015,PELLA,161,2027.67
2012,PLEASANTVILLE,,
2013,PLEASANTVILLE,8,141.17
2014,PLEASANTVILLE,12,123.75
2015,PLEASANTVILLE,16,99.76
2012,LE GRAND,4,46.24
2013,LE GRAND,11,94.27
2014,LE GRAND,18,210.85
2015,LE GRAND,7,82.19
2012,MARSHALLTOWN,354,4531.45
2013,MARSHALLTOWN,388,4439.65
2014,MARSHALLTOWN,443,5396.2
2015,MARSHALLTOWN,217,2805.88
2012,GLENWOOD,84,865.56
2013,GLENWOOD,72,734.88
2014,GLENWOOD,42,633.6
2015,GLENWOOD,72,720.12
2012,MALVERN,,
2013,MALVERN,24,121.44
2014,MALVERN,,
2015,MALVERN,,
2012,PACIFIC JUNCTION,13,184.25
2013,PACIFIC JUNCTION,2,40.5
2014,PACIFIC JUNCTION,1,16.5
2015,PACIFIC JUNCTION,,
2012,OSAGE,16,187.72
2013,OSAGE,78,1082.57
2014,OSAGE,5,51.75
2015,OSAGE,36,406.23
2012,ST ANSGAR,36,344.46
2013,ST ANSGAR,36,297.96
2014,ST ANSGAR,24,362.34
2015,ST ANSGAR,6,76.84
2012,MAPLETON,45,640.87
2013,MAPLETON,25,329.71
2014,MAPLETON,38,696.71
2015,MAPLETON,25,477.47
2012,ONAWA,37,548.08
2013,ONAWA,51,692.81
2014,ONAWA,81,859.34
2015,ONAWA,16,348.26
2012,ALBIA,33,371.28
2013,ALBIA,41,700.23
2014,ALBIA,78,466.56
2015,ALBIA,47,581.35
2012,LOVILIA,,
2013,LOVILIA,6,99.3
2014,LOVILIA,,
2015,LOVILIA,,
2012,RED OAK,30,519.39
2013,RED OAK,29,300.98
2014,RED OAK,88,480.42
2015,RED OAK,66,935.6
2012,VILLISCA,,
2013,VILLISCA,,
2014,VILLISCA,,
2015,VILLISCA,3,67.83
2012,MUSCATINE,289,3581.61
2013,MUSCATINE,491,5610.61
2014,MUSCATINE,337,2664
2015,MUSCATINE,350,4006.53
2012,WEST LIBERTY,6,55.82
2013,WEST LIBERTY,32,437.8
2014,WEST LIBERTY,61,812.88
2015,WEST LIBERTY,27,86.1
2012,WILTON,12,219.43
2013,WILTON,13,69.71
2014,WILTON,12,208.65
2015,WILTON,13,144.53
2012,HARTLEY,31,420.77
2013,HARTLEY,18,289.83
2014,HARTLEY,7,106.61
2015,HARTLEY,15,126.63
2012,PAULLINA,18,189.06
2013,PAULLINA,33,413.31
2014,PAULLINA,14,244.12
2015,PAULLINA,26,236.41
2012,PRIMGHAR,7,129.05
2013,PRIMGHAR,,
2014,PRIMGHAR,1,11.03
2015,PRIMGHAR,6,287.94
2012,SANBORN,,
2013,SANBORN,5,38.76
2014,SANBORN,,
2015,SANBORN,15,192.99
2012,SHELDON,205,2259.6
2013,SHELDON,84,1120.22
2014,SHELDON,81,980.86
2015,SHELDON,172,2408.21
2012,SUTHERLAND,6,132
2013,SUTHERLAND,,
2014,SUTHERLAND,18,199.56
2015,SUTHERLAND,,
2012,SIBLEY,79,483.52
2013,SIBLEY,60,585.97
2014,SIBLEY,9,104.61
2015,SIBLEY,19,349.82
2012,CLARINDA,58,744.52
2013,CLARINDA,66,631.95
2014,CLARINDA,38,419.71
2015,CLARINDA,54,850.67
2012,SHENANDOAH,68,652.68
2013,SHENANDOAH,128,1941.72
2014,SHENANDOAH,77,994.11
2015,SHENANDOAH,144,2368.8
2012,EMMETSBURG,62,915.39
2013,EMMETSBURG,54,678.33
2014,EMMETSBURG,95,1871.29
2015,EMMETSBURG,52,847.85
2012,GRAETTINGER,,
2013,GRAETTINGER,12,211.44
2014,GRAETTINGER,,
2015,GRAETTINGER,27,304.2
2012,RUTHVEN,24,379.56
2013,RUTHVEN,,
2014,RUTHVEN,6,55.26
2015,RUTHVEN,,
2012,AKRON,2,19.54
2013,AKRON,,
2014,AKRON,6,52.26
2015,AKRON,6,135.66
2012,KINGSLEY,12,119.64
2013,KINGSLEY,,
2014,KINGSLEY,2,23.08
2015,KINGSLEY,,
2012,LE MARS,57,946.73
2013,LE MARS,42,738.58
2014,LE MARS,36,615.16
2015,LE MARS,49,807.6
2012,LEMARS,19,197.23
2013,LEMARS,139,2826.47
2014,LEMARS,192,3087.25
2015,LEMARS,55,981.57
2012,REMSEN,30,373.8
2013,REMSEN,9,189.12
2014,REMSEN,18,299.94
2015,REMSEN,17,272.29
2012,FONDA,,
2013,FONDA,18,350.64
2014,FONDA,,
2015,FONDA,,
2012,LAURENS,18,230.88
2013,LAURENS,3,33.57
2014,LAURENS,42,371.34
2015,LAURENS,,
2012,POCAHONTAS,19,215.5
2013,POCAHONTAS,33,361.66
2014,POCAHONTAS,20,247.08
2015,POCAHONTAS,2,55.48
2012,ROLFE,,
2013,ROLFE,,
2014,ROLFE,,
2015,ROLFE,4,24.32
2012,ALTOONA,279,3628.07
2013,ALTOONA,286,4512.11
2014,ALTOONA,336,5520.59
2015,ALTOONA,226,2966.34
2012,ANKENY,383,5195.85
2013,ANKENY,528,6400.6
2014,ANKENY,421,5214.3
2015,ANKENY,442,7721.2
2012,BONDURANT,1,16.49
2013,BONDURANT,9,155.46
2014,BONDURANT,27,265.64
2015,BONDURANT,13,63.52
2012,CAMBRIDGE,,
2013,CAMBRIDGE,,
2014,CAMBRIDGE,5,80.21
2015,CAMBRIDGE,,
2012,CLIVE,213,2901.6
2013,CLIVE,222,2359.55
2014,CLIVE,181,2577.13
2015,CLIVE,69,849.99
2012,DES MOINES,4685,57498.38
2013,DES MOINES,4489,45448.56
2014,DES MOINES,4086,59764.95
2015,DES MOINES,3859,50629.85
2012,GRIMES,174,2167.63
2013,GRIMES,120,1936.76
2014,GRIMES,92,1184.41
2015,GRIMES,91,1237.79
2012,JOHNSTON,166,1882.96
2013,JOHNSTON,192,1846.76
2014,JOHNSTON,94,1404.49
2015,JOHNSTON,157,2358.52
2012,PLEASANT HILL,229,4115.49
2013,PLEASANT HILL,98,1431.01
2014,PLEASANT HILL,118,1242
2015,PLEASANT HILL,133,1588.57
2012,POLK CITY,37,630.31
2013,POLK CITY,24,414
2014,POLK CITY,38,472.7
2015,POLK CITY,22,110.4
2012,URBANDALE,157,1791.32
2013,URBANDALE,300,4282.14
2014,URBANDALE,509,6410.97
2015,URBANDALE,332,4376.12
2012,WEST DES MOINES,645,7820.33
2013,WEST DES MOINES,949,32422.84
2014,WEST DES MOINES,915,12756.28
2015,WEST DES MOINES,872,13171.37
2012,WINDSOR HEIGHTS,330,3937.38
2013,WINDSOR HEIGHTS,298,4879.31
2014,WINDSOR HEIGHTS,749,15992.16
2015,WINDSOR HEIGHTS,380,5297.69
2012,AVOCA,10,218.03
2013,AVOCA,40,664.9
2014,AVOCA,22,270.42
2015,AVOCA,76,1353.68
2012,CARTER LAKE,,
2013,CARTER LAKE,2,19.48
2014,CARTER LAKE,30,170.94
2015,CARTER LAKE,9,228.53
2012,COUNCIL BLUFFS,1242,13513.36
2013,COUNCIL BLUFFS,1597,22228.79
2014,COUNCIL BLUFFS,1163,13596.02
2015,COUNCIL BLUFFS,991,11304.88
2012,CRESCENT,,
2013,CRESCENT,,
2014,CRESCENT,,
2015,CRESCENT,2,14.02
2012,MINDEN,,
2013,MINDEN,,
2014,MINDEN,,
2015,MINDEN,3,36
2012,NEOLA,12,89.28
2013,NEOLA,12,113.4
2014,NEOLA,12,260.88
2015,NEOLA,,
2012,OAKLAND,14,165.34
2013,OAKLAND,17,190.19
2014,OAKLAND,,
2015,OAKLAND,3,20.25
2012,TREYNOR,,
2013,TREYNOR,,
2014,TREYNOR,,
2015,TREYNOR,12,129.6
2012,WALNUT,,
2013,WALNUT,,
2014,WALNUT,12,252.6
2015,WALNUT,24,277.08
2012,BROOKLYN,4,63.86
2013,BROOKLYN,17,381.94
2014,BROOKLYN,30,337.38
2015,BROOKLYN,,
2012,GRINNELL,97,1250.72
2013,GRINNELL,99,1266.3
2014,GRINNELL,72,1333.05
2015,GRINNELL,102,1802.56
2012,MONTEZUMA,25,359.19
2013,MONTEZUMA,20,399.75
2014,MONTEZUMA,12,129.12
2015,MONTEZUMA,11,169.84
2012,MOUNT AYR,24,340.26
2013,MOUNT AYR,,
2014,MOUNT AYR,6,58.5
2015,MOUNT AYR,6,57.6
2012,EARLY,12,77.4
2013,EARLY,,
2014,EARLY,,
2015,EARLY,,
2012,LAKE VIEW,78,522.54
2013,LAKE VIEW,39,823.14
2014,LAKE VIEW,6,56.1
2015,LAKE VIEW,37,502.5
2012,SAC CITY,29,373.86
2013,SAC CITY,15,266.56
2014,SAC CITY,32,473.28
2015,SAC CITY,104,1530.1
2012,SCHALLER,1,22.49
2013,SCHALLER,1,17.62
2014,SCHALLER,18,282.06
2015,SCHALLER,,
2012,BETTENDORF,506,7799.73
2013,BETTENDORF,448,7793.74
2014,BETTENDORF,793,12347.71
2015,BETTENDORF,300,4843.51
2012,BLUE GRASS,28,402.47
2013,BLUE GRASS,2,29.78
2014,BLUE GRASS,13,117.48
2015,BLUE GRASS,4,27.11
2012,DAVENPORT,1768,20665.43
2013,DAVENPORT,2001,23658.5
2014,DAVENPORT,1788,23402.92
2015,DAVENPORT,1865,29078.77
2012,ELDRIDGE,42,689.36
2013,ELDRIDGE,118,1280.39
2014,ELDRIDGE,75,1037.47
2015,ELDRIDGE,46,549.13
2012,LE CLAIRE,18,315.7
2013,LE CLAIRE,,
2014,LE CLAIRE,,
2015,LE CLAIRE,14,177.19
2012,LECLAIRE,30,576.3
2013,LECLAIRE,55,1084.29
2014,LECLAIRE,76,1259.28
2015,LECLAIRE,29,293.81
2012,PRINCETON,,
2013,PRINCETON,,
2014,PRINCETON,12,198
2015,PRINCETON,,
2012,HARLAN,52,677.35
2013,HARLAN,112,1492.39
2014,HARLAN,113,1144.56
2015,HARLAN,91,1187.28
2012,ALTON,8,93.12
2013,ALTON,26,210.28
2014,ALTON,,
2015,ALTON,,
2012,HAWARDEN,12,130.92
2013,HAWARDEN,30,425.64
2014,HAWARDEN,20,287.64
2015,HAWARDEN,2,25.5
2012,HOSPERS,,
2013,HOSPERS,,
2014,HOSPERS,,
2015,HOSPERS,1,13.59
2012,IRETON,,
2013,IRETON,12,169.68
2014,IRETON,12,114.84
2015,IRETON,,
2012,ORANGE CITY,15,155.85
2013,ORANGE CITY,50,1020.32
2014,ORANGE CITY,36,350.88
2015,ORANGE CITY,39,532.82
2012,ROCK VALLEY,32,473.25
2013,ROCK VALLEY,6,112.44
2014,ROCK VALLEY,12,164.52
2015,ROCK VALLEY,,
2012,SIOUX CENTER,63,812.97
2013,SIOUX CENTER,204,3290.7
2014,SIOUX CENTER,53,842.73
2015,SIOUX CENTER,20,233.6
2012,AMES,970,13671.9
2013,AMES,869,12528.6
2014,AMES,976,13394.65
2015,AMES,676,8961.9
2012,CAMBRIDGE,3,36.85
2013,CAMBRIDGE,2,22.38
2014,CAMBRIDGE,,
2015,CAMBRIDGE,,
2012,HUXLEY,,
2013,HUXLEY,,
2014,HUXLEY,6,94.08
2015,HUXLEY,7,99.24
2012,MAXWELL,12,176.04
2013,MAXWELL,,
2014,MAXWELL,,
2015,MAXWELL,,
2012,NEVADA,71,907.61
2013,NEVADA,108,1077.43
2014,NEVADA,40,440.57
2015,NEVADA,41,470.17
2012,SLATER,12,143.28
2013,SLATER,12,129.48
2014,SLATER,,
2015,SLATER,,
2012,STORY CITY,20,145.96
2013,STORY CITY,66,559.08
2014,STORY CITY,72,777.09
2015,STORY CITY,75,966.06
2012,DYSART,,
2013,DYSART,24,110.4
2014,DYSART,,
2015,DYSART,12,129.36
2012,TOLEDO,75,1143.63
2013,TOLEDO,39,470.3
2014,TOLEDO,66,863.16
2015,TOLEDO,29,505.44
2012,TRAER,3,37.44
2013,TRAER,8,114.15
2014,TRAER,144,613.2
2015,TRAER,12,228.37
2012,BEDFORD,,
2013,BEDFORD,6,69.07
2014,BEDFORD,36,269.58
2015,BEDFORD,16,78.15
2012,LENOX,2,25.41
2013,LENOX,6,76.79
2014,LENOX,7,110.01
2015,LENOX,49,172.94
2012,AFTON,,
2013,AFTON,,
2014,AFTON,42,557.58
2015,AFTON,12,117
2012,CRESTON,100,1565.83
2013,CRESTON,228,2660.34
2014,CRESTON,167,2346.86
2015,CRESTON,73,1035.6
2012,FARMINGTON,6,98.4
2013,FARMINGTON,,
2014,FARMINGTON,24,162.24
2015,FARMINGTON,,
2012,KEOSAUQUA,2,142.48
2013,KEOSAUQUA,10,159.68
2014,KEOSAUQUA,29,380.97
2015,KEOSAUQUA,,
2012,EDDYVILLE,24,226.56
2013,EDDYVILLE,1,20.99
2014,EDDYVILLE,,
2015,EDDYVILLE,,
2012,ELDON,,
2013,ELDON,,
2014,ELDON,,
2015,ELDON,12,94.2
2012,OTTUMWA,165,2208.63
2013,OTTUMWA,254,2735.29
2014,OTTUMWA,208,2653.7
2015,OTTUMWA,410,5981.13
2012,OTTUWMA,68,844.17
2013,OTTUWMA,71,1032.3
2014,OTTUWMA,56,870.86
2015,OTTUWMA,36,587.55
2012,WELLMAN,,
2013,WELLMAN,13,171.21
2014,WELLMAN,16,216.92
2015,WELLMAN,16,230.85
2012,CARLISLE,,
2013,CARLISLE,,
2014,CARLISLE,12,111.6
2015,CARLISLE,42,415.05
2012,INDIANOLA,88,1123.61
2013,INDIANOLA,190,2480.01
2014,INDIANOLA,180,1954.57
2015,INDIANOLA,155,1567.04
2012,MARTENSDALE,,
2013,MARTENSDALE,,
2014,MARTENSDALE,12,129.48
2015,MARTENSDALE,6,103.5
2012,NEW VIRGINIA,18,268.56
2013,NEW VIRGINIA,,
2014,NEW VIRGINIA,5,23
2015,NEW VIRGINIA,,
2012,NORWALK,78,1202.46
2013,NORWALK,57,540.57
2014,NORWALK,90,958.02
2015,NORWALK,91,1384.98
2012,RIVERSIDE,24,730.92
2013,RIVERSIDE,31,486.63
2014,RIVERSIDE,9,193.08
2015,RIVERSIDE,54,693.72
2012,WASHINGTON,160,2442.76
2013,WASHINGTON,71,1240.74
2014,WASHINGTON,93,1160.23
2015,WASHINGTON,120,1412.05
2012,CORYDON,25,225.18
2013,CORYDON,4,51.34
2014,CORYDON,6,80.82
2015,CORYDON,12,161.64
2012,ACKLEY,,
2013,ACKLEY,6,36.9
2014,ACKLEY,,
2015,ACKLEY,,
2012,DAYTON,,
2013,DAYTON,17,195.21
2014,DAYTON,22,266.18
2015,DAYTON,,
2012,FORT DODGE,419,5462.47
2013,FORT DODGE,440,5703.5
2014,FORT DODGE,323,4525.47
2015,FORT DODGE,358,3936.82
2012,GOWRIE,26,226.9
2013,GOWRIE,,
2014,GOWRIE,5,44.5
2015,GOWRIE,,
2012,NEWTON,,
2013,NEWTON,,
2014,NEWTON,,
2015,NEWTON,27,103.23
2012,OTHO,,
2013,OTHO,,
2014,OTHO,12,117.36
2015,OTHO,,
2012,BUFFALO CENTER,24,302.94
2013,BUFFALO CENTER,8,80.74
2014,BUFFALO CENTER,,
2015,BUFFALO CENTER,6,8.04
2012,FOREST CITY,112,1043.12
2013,FOREST CITY,36,302.26
2014,FOREST CITY,42,845.46
2015,FOREST CITY,90,939.37
2012,LAKE MILLS,24,477.72
2013,LAKE MILLS,34,327.78
2014,LAKE MILLS,24,439.2
2015,LAKE MILLS,10,179.38
2012,DECORAH,196,2363.55
2013,DECORAH,101,1264.62
2014,DECORAH,175,2222.44
2015,DECORAH,130,1472.6
2012,FORT ATKINSON,3,34.59
2013,FORT ATKINSON,16,256.81
2014,FORT ATKINSON,6,33.18
2015,FORT ATKINSON,30,573.87
2012,OSSIAN,29,432.44
2013,OSSIAN,21,432.84
2014,OSSIAN,6,86
2015,OSSIAN,,
2012,ANTHON,17,355.73
2013,ANTHON,11,81.84
2014,ANTHON,10,128.06
2015,ANTHON,3,54.24
2012,SERGEANT BLUFF,48,577.98
2013,SERGEANT BLUFF,6,89.52
2014,SERGEANT BLUFF,14,135.46
2015,SERGEANT BLUFF,56,475.12
2012,SIOUX CITY,2213,41929.52
2013,SIOUX CITY,1346,13247.25
2014,SIOUX CITY,1279,17248.26
2015,SIOUX CITY,1070,13577.39
2012,SLOAN,24,254.4
2013,SLOAN,8,24.56
2014,SLOAN,,
2015,SLOAN,30,423.78
2012,Northwood,3,80.88
2013,Northwood,12,119.28
2014,Northwood,28,390.47
2015,Northwood,15,234.21
2012,BELMOND,24,219.48
2013,BELMOND,15,296.76
2014,BELMOND,4,162
2015,BELMOND,,
2012,CLARION,30,463.2
2013,CLARION,30,260.88
2014,CLARION,5,50.46
2015,CLARION,46,432.18
2012,EAGLE GROVE,28,411.68
2013,EAGLE GROVE,18,566.86
2014,EAGLE GROVE,9,108.51
2015,EAGLE GROVE,7,78.3
