Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales)
April,2017,Office Supplies,Supplies,895.22
May,2017,Office Supplies,Supplies,371.45199999999994
June,2017,Office Supplies,Supplies,110.71400000000001
July,2017,Office Supplies,Supplies,278.656
August,2017,Office Supplies,Supplies,218.47
September,2017,Office Supplies,Supplies,5026.2480000000005
October,2017,Office Supplies,Supplies,74.132
November,2017,Office Supplies,Supplies,451.99800000000005
December,2017,Office Supplies,Supplies,2566.338
January,2014,Technology,Accessories,827.8900000000001
February,2014,Technology,Accessories,1120.99
March,2014,Technology,Accessories,1108.934
April,2014,Technology,Accessories,2545.9900000000002
May,2014,Technology,Accessories,695.49
June,2014,Technology,Accessories,667.04
July,2014,Technology,Accessories,3308.6920000000005
August,2014,Technology,Accessories,1937.734
September,2014,Technology,Accessories,2459.558
October,2014,Technology,Accessories,1767.5100000000004
November,2014,Technology,Accessories,3228.3140000000003
December,2014,Technology,Accessories,5346.129999999999
January,2015,Technology,Accessories,498.36800000000005
February,2015,Technology,Accessories,1450.0860000000002
March,2015,Technology,Accessories,1201.2739999999997
April,2015,Technology,Accessories,1647.03
May,2015,Technology,Accessories,1198.056
June,2015,Technology,Accessories,1755.162
July,2015,Technology,Accessories,5025
August,2015,Technology,Accessories,1372.454
September,2015,Technology,Accessories,5576.429999999999
October,2015,Technology,Accessories,2624.458
November,2015,Technology,Accessories,6256.721999999999
December,2015,Technology,Accessories,11918.919999999998
January,2016,Technology,Accessories,2025.7379999999998
February,2016,Technology,Accessories,361.03
March,2016,Technology,Accessories,2504.1580000000004
April,2016,Technology,Accessories,1616.4560000000001
May,2016,Technology,Accessories,3968.7540000000004
June,2016,Technology,Accessories,1637.3480000000002
July,2016,Technology,Accessories,1203.9660000000001
August,2016,Technology,Accessories,4104.318
September,2016,Technology,Accessories,7137.127999999998
October,2016,Technology,Accessories,3503.1120000000005
November,2016,Technology,Accessories,8081.376000000001
December,2016,Technology,Accessories,5752.470000000002
January,2017,Technology,Accessories,2125.9100000000003
February,2017,Technology,Accessories,2437.17
March,2017,Technology,Accessories,3952.2719999999995
April,2017,Technology,Accessories,2142.232
May,2017,Technology,Accessories,3750.8
June,2017,Technology,Accessories,4848.834
July,2017,Technology,Accessories,7588.759999999998
August,2017,Technology,Accessories,4961.638
September,2017,Technology,Accessories,9727.238000000003
October,2017,Technology,Accessories,5032.062000000001
November,2017,Technology,Accessories,8390.32
December,2017,Technology,Accessories,4988.996
January,2014,Technology,Copiers,
February,2014,Technology,Copiers,
March,2014,Technology,Copiers,
April,2014,Technology,Copiers,
May,2014,Technology,Copiers,2999.93
June,2014,Technology,Copiers,
July,2014,Technology,Copiers,559.9920000000001
August,2014,Technology,Copiers,1749.9660000000001
September,2014,Technology,Copiers,1799.97
October,2014,Technology,Copiers,1999.96
November,2014,Technology,Copiers,
December,2014,Technology,Copiers,1739.964
January,2015,Technology,Copiers,
February,2015,Technology,Copiers,
March,2015,Technology,Copiers,4269.914000000001
April,2015,Technology,Copiers,2679.916
May,2015,Technology,Copiers,2799.944
June,2015,Technology,Copiers,899.97
July,2015,Technology,Copiers,
August,2015,Technology,Copiers,2799.9600000000005
September,2015,Technology,Copiers,2319.952
October,2015,Technology,Copiers,919.9680000000001
November,2015,Technology,Copiers,1589.972
December,2015,Technology,Copiers,7899.854
January,2016,Technology,Copiers,959.9680000000001
February,2016,Technology,Copiers,
March,2016,Technology,Copiers,
April,2016,Technology,Copiers,1199.976
May,2016,Technology,Copiers,9239.963999999998
June,2016,Technology,Copiers,
July,2016,Technology,Copiers,5739.886
August,2016,Technology,Copiers,
September,2016,Technology,Copiers,5879.836000000001
October,2016,Technology,Copiers,22899.859999999997
November,2016,Technology,Copiers,1199.9759999999999
December,2016,Technology,Copiers,2479.944
January,2017,Technology,Copiers,2999.95
February,2017,Technology,Copiers,
March,2017,Technology,Copiers,21319.822
April,2017,Technology,Copiers,
May,2017,Technology,Copiers,3359.952
June,2017,Technology,Copiers,
July,2017,Technology,Copiers,3479.9139999999998
August,2017,Technology,Copiers,1179.9740000000002
September,2017,Technology,Copiers,319.98400000000004
October,2017,Technology,Copiers,11199.968
November,2017,Technology,Copiers,12359.936
December,2017,Technology,Copiers,6679.888000000001
January,2014,Technology,Machines,
February,2014,Technology,Machines,
March,2014,Technology,Machines,25314.658
April,2014,Technology,Machines,287.968
May,2014,Technology,Machines,
June,2014,Technology,Machines,691.761
July,2014,Technology,Machines,
August,2014,Technology,Machines,
September,2014,Technology,Machines,22420.282
October,2014,Technology,Machines,101.99400000000001
November,2014,Technology,Machines,5438.798000000001
December,2014,Technology,Machines,7767.912
January,2015,Technology,Machines,3107.9760000000006
February,2015,Technology,Machines,
March,2015,Technology,Machines,
April,2015,Technology,Machines,1451.8960000000002
May,2015,Technology,Machines,3372.86
June,2015,Technology,Machines,
July,2015,Technology,Machines,464.97
August,2015,Technology,Machines,3878.376
September,2015,Technology,Machines,629.93
October,2015,Technology,Machines,1095.7939999999999
November,2015,Technology,Machines,7850.483
December,2015,Technology,Machines,5911.412
January,2016,Technology,Machines,
February,2016,Technology,Machines,8749.95
March,2016,Technology,Machines,8994.54
April,2016,Technology,Machines,9099.93
May,2016,Technology,Machines,7551.663
June,2016,Technology,Machines,7621.804
July,2016,Technology,Machines,607.4660000000001
August,2016,Technology,Machines,943.1519999999999
September,2016,Technology,Machines,1758.8999999999999
October,2016,Technology,Machines,1541.31
November,2016,Technology,Machines,8756.641000000001
December,2016,Technology,Machines,281.53000000000003
January,2017,Technology,Machines,4106.655
February,2017,Technology,Machines,239.98400000000004
March,2017,Technology,Machines,742.706
April,2017,Technology,Machines,7349.969
May,2017,Technology,Machines,343.20000000000005
June,2017,Technology,Machines,3868.96
July,2017,Technology,Machines,2992.3320000000003
August,2017,Technology,Machines,1439.982
September,2017,Technology,Machines,1576.545
October,2017,Technology,Machines,7873.995000000001
November,2017,Technology,Machines,11761.377
December,2017,Technology,Machines,1248.97
January,2014,Technology,Phones,2315.3999999999996
February,2014,Technology,Phones,487.52
March,2014,Technology,Phones,6087.582
April,2014,Technology,Phones,6361.476
May,2014,Technology,Phones,5904.456000000001
June,2014,Technology,Phones,7077.164
July,2014,Technology,Phones,4135.449999999999
August,2014,Technology,Phones,5521.96
September,2014,Technology,Phones,3857.7619999999993
October,2014,Technology,Phones,8068.554000000001
November,2014,Technology,Phones,21534.296
December,2014,Technology,Phones,6039.186
January,2015,Technology,Phones,1019.01
February,2015,Technology,Phones,1998.884
March,2015,Technology,Phones,4872.734000000001
April,2015,Technology,Phones,5382.110000000001
May,2015,Technology,Phones,4272.139999999999
June,2015,Technology,Phones,3780.2340000000004
July,2015,Technology,Phones,4880.995999999999
August,2015,Technology,Phones,7473.8420000000015
September,2015,Technology,Phones,10490.815999999999
October,2015,Technology,Phones,6064.67
November,2015,Technology,Phones,8176.424
December,2015,Technology,Phones,9901.842
January,2016,Technology,Phones,2634.3600000000006
February,2016,Technology,Phones,3147.934
March,2016,Technology,Phones,10069.153999999997
April,2016,Technology,Phones,2974.1400000000003
May,2016,Technology,Phones,8072.31
June,2016,Technology,Phones,7113
July,2016,Technology,Phones,5717.682000000002
August,2016,Technology,Phones,4624.932000000001
September,2016,Technology,Phones,8107.5419999999995
October,2016,Technology,Phones,3589.092
November,2016,Technology,Phones,9103.066
December,2016,Technology,Phones,13808.818
January,2017,Technology,Phones,7500.5380000000005
February,2017,Technology,Phones,3349.8700000000003
March,2017,Technology,Phones,7413.822
April,2017,Technology,Phones,2891.186
May,2017,Technology,Phones,6112.636000000001
June,2017,Technology,Phones,8343.306
July,2017,Technology,Phones,9148.92
August,2017,Technology,Phones,10037.568000000001
September,2017,Technology,Phones,15318.836000000001
October,2017,Technology,Phones,8749.638
November,2017,Technology,Phones,17407.139999999996
December,2017,Technology,Phones,9067.056000000002
