Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.State,Orders.Country,Orders.City,Sum(Orders.Quantity),Sum(Orders.Sales)
2016,Consumer,North Carolina,United States,Charlotte,44,2974.117
2017,Consumer,North Carolina,United States,Charlotte,64,2341.781000000001
2014,Consumer,North Carolina,United States,Concord,10,23.119999999999997
2015,Consumer,North Carolina,United States,Concord,13,4297.644
2016,Consumer,North Carolina,United States,Concord,18,775.5280000000001
2017,Consumer,North Carolina,United States,Concord,3,15.552000000000003
2014,Consumer,North Carolina,United States,Durham,,
2015,Consumer,North Carolina,United States,Durham,12,440.144
2016,Consumer,North Carolina,United States,Durham,,
2017,Consumer,North Carolina,United States,Durham,,
2014,Consumer,North Carolina,United States,Fayetteville,,
2015,Consumer,North Carolina,United States,Fayetteville,3,10.272000000000002
2016,Consumer,North Carolina,United States,Fayetteville,33,1400.704
2017,Consumer,North Carolina,United States,Fayetteville,51,1432.4460000000001
2014,Consumer,North Carolina,United States,Goldsboro,,
2015,Consumer,North Carolina,United States,Goldsboro,,
2016,Consumer,North Carolina,United States,Goldsboro,3,34.944
2017,Consumer,North Carolina,United States,Goldsboro,,
2014,Consumer,North Carolina,United States,Greensboro,9,59.109000000000016
2015,Consumer,North Carolina,United States,Greensboro,,
2016,Consumer,North Carolina,United States,Greensboro,9,187.056
2017,Consumer,North Carolina,United States,Greensboro,1,32.776
2014,Consumer,North Carolina,United States,Greenville,2,1299.99
2015,Consumer,North Carolina,United States,Greenville,,
2016,Consumer,North Carolina,United States,Greenville,8,334.25600000000003
2017,Consumer,North Carolina,United States,Greenville,7,428.704
2014,Consumer,North Carolina,United States,Hickory,,
2015,Consumer,North Carolina,United States,Hickory,,
2016,Consumer,North Carolina,United States,Hickory,1,36.192
2017,Consumer,North Carolina,United States,Hickory,4,4.572000000000001
2014,Consumer,North Carolina,United States,Jacksonville,22,1491.641
2015,Consumer,North Carolina,United States,Jacksonville,46,1783.545
2016,Consumer,North Carolina,United States,Jacksonville,33,532.8480000000001
2017,Consumer,North Carolina,United States,Jacksonville,23,220.216
2014,Consumer,North Carolina,United States,Monroe,,
2015,Consumer,North Carolina,United States,Monroe,1,18.176
2016,Consumer,North Carolina,United States,Monroe,7,99.87200000000001
2017,Consumer,North Carolina,United States,Monroe,5,776.0800000000002
2014,Consumer,North Carolina,United States,Raleigh,3,52.608000000000004
2015,Consumer,North Carolina,United States,Raleigh,8,228.24
2016,Consumer,North Carolina,United States,Raleigh,21,1051.156
2017,Consumer,North Carolina,United States,Raleigh,4,194.848
2014,Consumer,North Carolina,United States,Thomasville,,
2015,Consumer,North Carolina,United States,Thomasville,,
2016,Consumer,North Carolina,United States,Thomasville,12,151.292
2017,Consumer,North Carolina,United States,Thomasville,,
2014,Consumer,North Carolina,United States,Wilmington,14,632.52
2015,Consumer,North Carolina,United States,Wilmington,5,13.120000000000001
2016,Consumer,North Carolina,United States,Wilmington,2,3.2820000000000005
2017,Consumer,North Carolina,United States,Wilmington,10,55.168000000000006
2014,Consumer,North Carolina,United States,Wilson,,
2015,Consumer,North Carolina,United States,Wilson,8,169.54399999999998
2016,Consumer,North Carolina,United States,Wilson,,
2017,Consumer,North Carolina,United States,Wilson,,
2014,Consumer,North Dakota,United States,Fargo,,
2015,Consumer,North Dakota,United States,Fargo,,
2016,Consumer,North Dakota,United States,Fargo,,
2017,Consumer,North Dakota,United States,Fargo,24,891.53
2014,Consumer,Ohio,United States,Akron,7,165.168
2015,Consumer,Ohio,United States,Akron,13,427.548
2016,Consumer,Ohio,United States,Akron,,
2017,Consumer,Ohio,United States,Akron,20,292.472
2014,Consumer,Ohio,United States,Bowling Green,2,264.32
2015,Consumer,Ohio,United States,Bowling Green,9,469.398
2016,Consumer,Ohio,United States,Bowling Green,3,5.553000000000001
2017,Consumer,Ohio,United States,Bowling Green,,
2014,Consumer,Ohio,United States,Cincinnati,8,35.384
2015,Consumer,Ohio,United States,Cincinnati,3,53.040000000000006
2016,Consumer,Ohio,United States,Cincinnati,9,112.13500000000002
2017,Consumer,Ohio,United States,Cincinnati,18,427.25300000000004
2014,Consumer,Ohio,United States,Cleveland,12,1110.6680000000001
2015,Consumer,Ohio,United States,Cleveland,9,794.82
2016,Consumer,Ohio,United States,Cleveland,22,2072.486
2017,Consumer,Ohio,United States,Cleveland,35,324.81100000000004
2014,Consumer,Ohio,United States,Columbus,94,2407.5519999999997
2015,Consumer,Ohio,United States,Columbus,40,707.338
2016,Consumer,Ohio,United States,Columbus,48,2466.401
2017,Consumer,Ohio,United States,Columbus,83,3609.6049999999996
2014,Consumer,Ohio,United States,Cuyahoga Falls,,
2015,Consumer,Ohio,United States,Cuyahoga Falls,,
2016,Consumer,Ohio,United States,Cuyahoga Falls,3,2.2140000000000004
2017,Consumer,Ohio,United States,Cuyahoga Falls,4,18.528000000000002
2014,Consumer,Ohio,United States,Dublin,,
2015,Consumer,Ohio,United States,Dublin,22,627.9240000000001
2016,Consumer,Ohio,United States,Dublin,,
2017,Consumer,Ohio,United States,Dublin,23,693.79
2014,Consumer,Ohio,United States,Fairfield,24,616.702
2015,Consumer,Ohio,United States,Fairfield,,
2016,Consumer,Ohio,United States,Fairfield,5,548.96
2017,Consumer,Ohio,United States,Fairfield,32,579.011
2014,Consumer,Ohio,United States,Grove City,,
2015,Consumer,Ohio,United States,Grove City,,
2016,Consumer,Ohio,United States,Grove City,,
2017,Consumer,Ohio,United States,Grove City,12,123.58799999999998
2014,Consumer,Ohio,United States,Hamilton,8,204.304
2015,Consumer,Ohio,United States,Hamilton,,
2016,Consumer,Ohio,United States,Hamilton,5,123.92000000000002
2017,Consumer,Ohio,United States,Hamilton,,
2014,Consumer,Ohio,United States,Kent,5,48.36
2015,Consumer,Ohio,United States,Kent,,
2016,Consumer,Ohio,United States,Kent,,
2017,Consumer,Ohio,United States,Kent,9,193.974
2014,Consumer,Ohio,United States,Lakewood,,
2015,Consumer,Ohio,United States,Lakewood,7,34.418000000000006
2016,Consumer,Ohio,United States,Lakewood,,
2017,Consumer,Ohio,United States,Lakewood,3,10.782000000000002
2014,Consumer,Ohio,United States,Lancaster,,
2015,Consumer,Ohio,United States,Lancaster,,
2016,Consumer,Ohio,United States,Lancaster,41,5589.027000000001
2017,Consumer,Ohio,United States,Lancaster,14,700.5280000000001
2014,Consumer,Ohio,United States,Lorain,,
2015,Consumer,Ohio,United States,Lorain,,
2016,Consumer,Ohio,United States,Lorain,,
2017,Consumer,Ohio,United States,Lorain,4,48.896
2014,Consumer,Ohio,United States,Marion,3,403.11400000000003
2015,Consumer,Ohio,United States,Marion,16,799.3779999999999
2016,Consumer,Ohio,United States,Marion,,
2017,Consumer,Ohio,United States,Marion,2,63.92000000000001
2014,Consumer,Ohio,United States,Medina,16,609.4379999999999
2015,Consumer,Ohio,United States,Medina,1,51.588
2016,Consumer,Ohio,United States,Medina,,
2017,Consumer,Ohio,United States,Medina,,
2014,Consumer,Ohio,United States,Newark,9,40.846000000000004
2015,Consumer,Ohio,United States,Newark,29,4602.888000000001
2016,Consumer,Ohio,United States,Newark,35,1208.0170000000003
2017,Consumer,Ohio,United States,Newark,10,185.31199999999998
2014,Consumer,Ohio,United States,Parma,4,191.33999999999997
2015,Consumer,Ohio,United States,Parma,,
2016,Consumer,Ohio,United States,Parma,26,3588.096
2017,Consumer,Ohio,United States,Parma,8,36.352000000000004
2014,Consumer,Ohio,United States,Springfield,4,53.344
2015,Consumer,Ohio,United States,Springfield,9,646.7760000000001
2016,Consumer,Ohio,United States,Springfield,18,768.983
2017,Consumer,Ohio,United States,Springfield,7,299.26500000000004
2014,Consumer,Ohio,United States,Toledo,12,1709.654
2015,Consumer,Ohio,United States,Toledo,,
2016,Consumer,Ohio,United States,Toledo,8,53.696
2017,Consumer,Ohio,United States,Toledo,30,906.733
2014,Consumer,Ohio,United States,Troy,,
2015,Consumer,Ohio,United States,Troy,8,1033.3020000000001
2016,Consumer,Ohio,United States,Troy,6,31.104000000000006
2017,Consumer,Ohio,United States,Troy,,
2014,Consumer,Oklahoma,United States,Broken Arrow,,
2015,Consumer,Oklahoma,United States,Broken Arrow,,
2016,Consumer,Oklahoma,United States,Broken Arrow,2,12.86
2017,Consumer,Oklahoma,United States,Broken Arrow,,
2014,Consumer,Oklahoma,United States,Edmond,,
2015,Consumer,Oklahoma,United States,Edmond,,
2016,Consumer,Oklahoma,United States,Edmond,9,959.5500000000001
2017,Consumer,Oklahoma,United States,Edmond,,
2014,Consumer,Oklahoma,United States,Lawton,8,475.42
2015,Consumer,Oklahoma,United States,Lawton,,
2016,Consumer,Oklahoma,United States,Lawton,,
2017,Consumer,Oklahoma,United States,Lawton,5,582.07
2014,Consumer,Oklahoma,United States,Norman,,
2015,Consumer,Oklahoma,United States,Norman,,
2016,Consumer,Oklahoma,United States,Norman,5,1287.45
2017,Consumer,Oklahoma,United States,Norman,,
2014,Consumer,Oklahoma,United States,Oklahoma City,4,479.96
2015,Consumer,Oklahoma,United States,Oklahoma City,12,1971.4599999999998
2016,Consumer,Oklahoma,United States,Oklahoma City,6,574.4999999999999
2017,Consumer,Oklahoma,United States,Oklahoma City,21,1299.7600000000002
2014,Consumer,Oklahoma,United States,Tulsa,17,1040.1899999999998
2015,Consumer,Oklahoma,United States,Tulsa,3,14.940000000000001
2016,Consumer,Oklahoma,United States,Tulsa,20,277.67
2017,Consumer,Oklahoma,United States,Tulsa,20,2585.9400000000005
2014,Consumer,Oregon,United States,Gresham,12,1508.768
2015,Consumer,Oregon,United States,Gresham,,
2016,Consumer,Oregon,United States,Gresham,12,221.488
2017,Consumer,Oregon,United States,Gresham,,
2014,Consumer,Oregon,United States,Hillsboro,,
2015,Consumer,Oregon,United States,Hillsboro,4,64.072
2016,Consumer,Oregon,United States,Hillsboro,,
2017,Consumer,Oregon,United States,Hillsboro,,
2014,Consumer,Oregon,United States,Medford,7,55.672000000000004
2015,Consumer,Oregon,United States,Medford,,
2016,Consumer,Oregon,United States,Medford,1,24.784000000000002
2017,Consumer,Oregon,United States,Medford,,
2014,Consumer,Oregon,United States,Portland,17,746.584
2015,Consumer,Oregon,United States,Portland,30,1670.0460000000003
2016,Consumer,Oregon,United States,Portland,10,184.14900000000003
2017,Consumer,Oregon,United States,Portland,14,663.408
2014,Consumer,Oregon,United States,Redmond,,
2015,Consumer,Oregon,United States,Redmond,15,711.7840000000001
2016,Consumer,Oregon,United States,Redmond,15,65.944
2017,Consumer,Oregon,United States,Redmond,,
2014,Consumer,Oregon,United States,Salem,39,265.78400000000005
2015,Consumer,Oregon,United States,Salem,6,42.432
2016,Consumer,Oregon,United States,Salem,11,132.709
2017,Consumer,Oregon,United States,Salem,,
2014,Consumer,Oregon,United States,Springfield,42,698.223
2015,Consumer,Oregon,United States,Springfield,5,312.70799999999997
2016,Consumer,Oregon,United States,Springfield,3,27.792
2017,Consumer,Oregon,United States,Springfield,26,374.61800000000005
2014,Consumer,Oregon,United States,Tigard,12,1122.968
2015,Consumer,Oregon,United States,Tigard,,
2016,Consumer,Oregon,United States,Tigard,,
2017,Consumer,Oregon,United States,Tigard,,
2014,Consumer,Pennsylvania,United States,Allentown,,
2015,Consumer,Pennsylvania,United States,Allentown,,
2016,Consumer,Pennsylvania,United States,Allentown,4,15.808000000000002
2017,Consumer,Pennsylvania,United States,Allentown,,
2014,Consumer,Pennsylvania,United States,Bethlehem,,
2015,Consumer,Pennsylvania,United States,Bethlehem,,
2016,Consumer,Pennsylvania,United States,Bethlehem,14,1556.6940000000002
2017,Consumer,Pennsylvania,United States,Bethlehem,,
2014,Consumer,Pennsylvania,United States,Lancaster,3,286.34400000000005
2015,Consumer,Pennsylvania,United States,Lancaster,1,20.104
2016,Consumer,Pennsylvania,United States,Lancaster,1,170.78599999999997
2017,Consumer,Pennsylvania,United States,Lancaster,7,226.739
2014,Consumer,Pennsylvania,United States,Philadelphia,208,11448.006000000001
2015,Consumer,Pennsylvania,United States,Philadelphia,237,10955.407
2016,Consumer,Pennsylvania,United States,Philadelphia,164,16385.775999999998
2017,Consumer,Pennsylvania,United States,Philadelphia,349,24414.083000000002
2014,Consumer,Pennsylvania,United States,Reading,,
2015,Consumer,Pennsylvania,United States,Reading,,
2016,Consumer,Pennsylvania,United States,Reading,5,303.92
2017,Consumer,Pennsylvania,United States,Reading,3,8.856
2014,Consumer,Rhode Island,United States,Providence,,
2015,Consumer,Rhode Island,United States,Providence,,
2016,Consumer,Rhode Island,United States,Providence,7,84.42
2017,Consumer,Rhode Island,United States,Providence,16,126.52000000000001
2014,Consumer,Rhode Island,United States,Woonsocket,2,52.96
2015,Consumer,Rhode Island,United States,Woonsocket,,
2016,Consumer,Rhode Island,United States,Woonsocket,,
2017,Consumer,Rhode Island,United States,Woonsocket,,
2014,Consumer,South Carolina,United States,Columbia,8,417.81000000000006
2015,Consumer,South Carolina,United States,Columbia,37,3631.96
2016,Consumer,South Carolina,United States,Columbia,6,85.5
2017,Consumer,South Carolina,United States,Columbia,8,325.84
2014,Consumer,South Carolina,United States,Florence,,
2015,Consumer,South Carolina,United States,Florence,8,59.480000000000004
2016,Consumer,South Carolina,United States,Florence,6,191.88
2017,Consumer,South Carolina,United States,Florence,,
2014,Consumer,South Carolina,United States,Mount Pleasant,6,545.9399999999999
2015,Consumer,South Carolina,United States,Mount Pleasant,,
2016,Consumer,South Carolina,United States,Mount Pleasant,,
2017,Consumer,South Carolina,United States,Mount Pleasant,,
2014,Consumer,South Carolina,United States,North Charleston,,
2015,Consumer,South Carolina,United States,North Charleston,3,269.49
2016,Consumer,South Carolina,United States,North Charleston,,
2017,Consumer,South Carolina,United States,North Charleston,,
2014,Consumer,South Carolina,United States,Rock Hill,3,11.850000000000001
2015,Consumer,South Carolina,United States,Rock Hill,,
2016,Consumer,South Carolina,United States,Rock Hill,,
2017,Consumer,South Carolina,United States,Rock Hill,,
2014,Consumer,South Dakota,United States,Aberdeen,,
2015,Consumer,South Dakota,United States,Aberdeen,,
2016,Consumer,South Dakota,United States,Aberdeen,,
2017,Consumer,South Dakota,United States,Aberdeen,3,25.5
2014,Consumer,South Dakota,United States,Sioux Falls,,
2015,Consumer,South Dakota,United States,Sioux Falls,,
2016,Consumer,South Dakota,United States,Sioux Falls,,
2017,Consumer,South Dakota,United States,Sioux Falls,7,20.23
2014,Consumer,Tennessee,United States,Bartlett,,
2015,Consumer,Tennessee,United States,Bartlett,8,88.96000000000001
2016,Consumer,Tennessee,United States,Bartlett,,
2017,Consumer,Tennessee,United States,Bartlett,,
2014,Consumer,Tennessee,United States,Chattanooga,,
2015,Consumer,Tennessee,United States,Chattanooga,,
2016,Consumer,Tennessee,United States,Chattanooga,5,16.72
2017,Consumer,Tennessee,United States,Chattanooga,23,740.284
2014,Consumer,Tennessee,United States,Clarksville,6,69.21600000000001
2015,Consumer,Tennessee,United States,Clarksville,11,1635.0180000000003
2016,Consumer,Tennessee,United States,Clarksville,,
2017,Consumer,Tennessee,United States,Clarksville,,
2014,Consumer,Tennessee,United States,Columbia,15,732.312
2015,Consumer,Tennessee,United States,Columbia,10,551.264
2016,Consumer,Tennessee,United States,Columbia,3,871.8000000000001
2017,Consumer,Tennessee,United States,Columbia,19,539.5480000000001
2014,Consumer,Tennessee,United States,Hendersonville,,
2015,Consumer,Tennessee,United States,Hendersonville,,
2016,Consumer,Tennessee,United States,Hendersonville,,
2017,Consumer,Tennessee,United States,Hendersonville,14,303.32000000000005
2014,Consumer,Tennessee,United States,Jackson,,
2015,Consumer,Tennessee,United States,Jackson,,
2016,Consumer,Tennessee,United States,Jackson,9,111.67200000000001
2017,Consumer,Tennessee,United States,Jackson,28,1313.068
2014,Consumer,Tennessee,United States,Knoxville,11,310.528
2015,Consumer,Tennessee,United States,Knoxville,,
2016,Consumer,Tennessee,United States,Knoxville,9,135.808
2017,Consumer,Tennessee,United States,Knoxville,17,266
2014,Consumer,Tennessee,United States,Lebanon,,
2015,Consumer,Tennessee,United States,Lebanon,6,84.96000000000001
2016,Consumer,Tennessee,United States,Lebanon,,
2017,Consumer,Tennessee,United States,Lebanon,5,163.96
2014,Consumer,Tennessee,United States,Smyrna,,
2015,Consumer,Tennessee,United States,Smyrna,,
2016,Consumer,Tennessee,United States,Smyrna,3,6.671999999999999
2017,Consumer,Tennessee,United States,Smyrna,,
2014,Consumer,Texas,United States,Abilene,,
2015,Consumer,Texas,United States,Abilene,,
2016,Consumer,Texas,United States,Abilene,,
2017,Consumer,Texas,United States,Abilene,2,1.3919999999999997
2014,Consumer,Texas,United States,Allen,,
2015,Consumer,Texas,United States,Allen,13,290.20599999999996
2016,Consumer,Texas,United States,Allen,,
2017,Consumer,Texas,United States,Allen,,
2014,Consumer,Texas,United States,Amarillo,,
2015,Consumer,Texas,United States,Amarillo,12,3024.478
2016,Consumer,Texas,United States,Amarillo,16,523.604
2017,Consumer,Texas,United States,Amarillo,,
2014,Consumer,Texas,United States,Beaumont,19,459.348
2015,Consumer,Texas,United States,Beaumont,,
2016,Consumer,Texas,United States,Beaumont,,
2017,Consumer,Texas,United States,Beaumont,,
2014,Consumer,Texas,United States,Brownsville,,
2015,Consumer,Texas,United States,Brownsville,,
2016,Consumer,Texas,United States,Brownsville,,
2017,Consumer,Texas,United States,Brownsville,3,329.47679999999997
2014,Consumer,Texas,United States,Cedar Hill,3,7.080000000000001
2015,Consumer,Texas,United States,Cedar Hill,,
2016,Consumer,Texas,United States,Cedar Hill,,
2017,Consumer,Texas,United States,Cedar Hill,,
2014,Consumer,Texas,United States,College Station,,
2015,Consumer,Texas,United States,College Station,,
2016,Consumer,Texas,United States,College Station,,
2017,Consumer,Texas,United States,College Station,19,291.04200000000003
2014,Consumer,Texas,United States,Coppell,,
2015,Consumer,Texas,United States,Coppell,,
2016,Consumer,Texas,United States,Coppell,,
2017,Consumer,Texas,United States,Coppell,13,40.096000000000004
2014,Consumer,Texas,United States,Dallas,35,127.076
2015,Consumer,Texas,United States,Dallas,39,2071.6216
2016,Consumer,Texas,United States,Dallas,79,2426.2288
2017,Consumer,Texas,United States,Dallas,112,3839.6916
2014,Consumer,Texas,United States,Edinburg,,
2015,Consumer,Texas,United States,Edinburg,,
2016,Consumer,Texas,United States,Edinburg,9,85.908
2017,Consumer,Texas,United States,Edinburg,2,2.368
2014,Consumer,Texas,United States,El Paso,36,2001.0339999999999
2015,Consumer,Texas,United States,El Paso,2,47.51599999999999
2016,Consumer,Texas,United States,El Paso,4,17.856
2017,Consumer,Texas,United States,El Paso,12,1322.75
2014,Consumer,Texas,United States,Fort Worth,17,2233.12
2015,Consumer,Texas,United States,Fort Worth,,
2016,Consumer,Texas,United States,Fort Worth,11,477.14199999999994
2017,Consumer,Texas,United States,Fort Worth,1,1.988
2014,Consumer,Texas,United States,Frisco,,
2015,Consumer,Texas,United States,Frisco,,
2016,Consumer,Texas,United States,Frisco,,
2017,Consumer,Texas,United States,Frisco,6,30.336000000000006
2014,Consumer,Texas,United States,Harlingen,,
2015,Consumer,Texas,United States,Harlingen,,
2016,Consumer,Texas,United States,Harlingen,13,392.06
2017,Consumer,Texas,United States,Harlingen,8,79.34400000000001
2014,Consumer,Texas,United States,Houston,185,8741.538999999999
2015,Consumer,Texas,United States,Houston,190,6519.227200000001
2016,Consumer,Texas,United States,Houston,212,9731.7644
2017,Consumer,Texas,United States,Houston,214,9053.534
2014,Consumer,Texas,United States,Huntsville,19,180.014
2015,Consumer,Texas,United States,Huntsville,9,1061.328
2016,Consumer,Texas,United States,Huntsville,,
2017,Consumer,Texas,United States,Huntsville,41,1098.6299999999999
2014,Consumer,Texas,United States,Irving,3,88.77600000000001
2015,Consumer,Texas,United States,Irving,,
2016,Consumer,Texas,United States,Irving,16,500.788
2017,Consumer,Texas,United States,Irving,,
2014,Consumer,Texas,United States,Keller,,
2015,Consumer,Texas,United States,Keller,,
2016,Consumer,Texas,United States,Keller,,
2017,Consumer,Texas,United States,Keller,2,6
2014,Consumer,Texas,United States,La Porte,,
2015,Consumer,Texas,United States,La Porte,,
2016,Consumer,Texas,United States,La Porte,6,30.391999999999996
2017,Consumer,Texas,United States,La Porte,,
2014,Consumer,Texas,United States,Laredo,5,40.544000000000004
2015,Consumer,Texas,United States,Laredo,,
2016,Consumer,Texas,United States,Laredo,19,374.182
2017,Consumer,Texas,United States,Laredo,,
2014,Consumer,Texas,United States,League City,,
2015,Consumer,Texas,United States,League City,,
2016,Consumer,Texas,United States,League City,,
2017,Consumer,Texas,United States,League City,10,321.202
2014,Consumer,Texas,United States,Lubbock,5,25.16
2015,Consumer,Texas,United States,Lubbock,12,546.7920000000001
2016,Consumer,Texas,United States,Lubbock,,
2017,Consumer,Texas,United States,Lubbock,,
2014,Consumer,Texas,United States,Mansfield,,
2015,Consumer,Texas,United States,Mansfield,,
2016,Consumer,Texas,United States,Mansfield,,
2017,Consumer,Texas,United States,Mansfield,5,517.4050000000001
2014,Consumer,Texas,United States,Mcallen,,
2015,Consumer,Texas,United States,Mcallen,,
2016,Consumer,Texas,United States,Mcallen,14,203.648
2017,Consumer,Texas,United States,Mcallen,,
2014,Consumer,Texas,United States,Pasadena,1,6.927999999999998
2015,Consumer,Texas,United States,Pasadena,,
2016,Consumer,Texas,United States,Pasadena,,
2017,Consumer,Texas,United States,Pasadena,8,212.99200000000002
2014,Consumer,Texas,United States,Pearland,,
2015,Consumer,Texas,United States,Pearland,,
2016,Consumer,Texas,United States,Pearland,,
2017,Consumer,Texas,United States,Pearland,3,470.3760000000001
2014,Consumer,Texas,United States,Pharr,,
2015,Consumer,Texas,United States,Pharr,,
2016,Consumer,Texas,United States,Pharr,,
2017,Consumer,Texas,United States,Pharr,4,124.404
2014,Consumer,Texas,United States,Plano,27,2244.3706
2015,Consumer,Texas,United States,Plano,,
2016,Consumer,Texas,United States,Plano,,
2017,Consumer,Texas,United States,Plano,15,1262.532
2014,Consumer,Texas,United States,Port Arthur,,
2015,Consumer,Texas,United States,Port Arthur,,
2016,Consumer,Texas,United States,Port Arthur,6,34.048
2017,Consumer,Texas,United States,Port Arthur,,
2014,Consumer,Texas,United States,Round Rock,,
2015,Consumer,Texas,United States,Round Rock,,
2016,Consumer,Texas,United States,Round Rock,14,4406.072
2017,Consumer,Texas,United States,Round Rock,4,106.0208
2014,Consumer,Texas,United States,San Angelo,,
2015,Consumer,Texas,United States,San Angelo,,
2016,Consumer,Texas,United States,San Angelo,11,345.324
2017,Consumer,Texas,United States,San Angelo,,
2014,Consumer,Texas,United States,San Antonio,75,13374.112999999998
2015,Consumer,Texas,United States,San Antonio,22,1457.356
2016,Consumer,Texas,United States,San Antonio,30,1790.879
2017,Consumer,Texas,United States,San Antonio,14,1308.1720000000003
2014,Consumer,Texas,United States,Texas City,2,489.22999999999996
2015,Consumer,Texas,United States,Texas City,5,301.742
2016,Consumer,Texas,United States,Texas City,,
2017,Consumer,Texas,United States,Texas City,,
2014,Consumer,Texas,United States,The Colony,,
2015,Consumer,Texas,United States,The Colony,,
2016,Consumer,Texas,United States,The Colony,14,142.16
2017,Consumer,Texas,United States,The Colony,,
2014,Consumer,Texas,United States,Tyler,4,51.18399999999998
2015,Consumer,Texas,United States,Tyler,,
2016,Consumer,Texas,United States,Tyler,,
2017,Consumer,Texas,United States,Tyler,12,296.02199999999993
2014,Consumer,Texas,United States,Waco,,
2015,Consumer,Texas,United States,Waco,,
2016,Consumer,Texas,United States,Waco,2,23.968000000000004
2017,Consumer,Texas,United States,Waco,14,581.5831999999999
2014,Consumer,Utah,United States,Draper,,
2015,Consumer,Utah,United States,Draper,,
2016,Consumer,Utah,United States,Draper,,
2017,Consumer,Utah,United States,Draper,6,151.72
2014,Consumer,Utah,United States,Layton,,
2015,Consumer,Utah,United States,Layton,4,4.96
2016,Consumer,Utah,United States,Layton,,
2017,Consumer,Utah,United States,Layton,,
2014,Consumer,Utah,United States,Logan,21,280.27600000000007
2015,Consumer,Utah,United States,Logan,,
2016,Consumer,Utah,United States,Logan,,
2017,Consumer,Utah,United States,Logan,,
2014,Consumer,Utah,United States,Murray,,
2015,Consumer,Utah,United States,Murray,,
2016,Consumer,Utah,United States,Murray,,
2017,Consumer,Utah,United States,Murray,10,97.918
2014,Consumer,Utah,United States,Orem,,
2015,Consumer,Utah,United States,Orem,17,2790.3399999999997
2016,Consumer,Utah,United States,Orem,4,58.94
2017,Consumer,Utah,United States,Orem,,
2014,Consumer,Utah,United States,Pleasant Grove,27,2126.034
2015,Consumer,Utah,United States,Pleasant Grove,,
2016,Consumer,Utah,United States,Pleasant Grove,,
2017,Consumer,Utah,United States,Pleasant Grove,,
2014,Consumer,Utah,United States,Provo,,
2015,Consumer,Utah,United States,Provo,5,912.75
2016,Consumer,Utah,United States,Provo,,
2017,Consumer,Utah,United States,Provo,,
2014,Consumer,Utah,United States,Salt Lake City,,
2015,Consumer,Utah,United States,Salt Lake City,,
2016,Consumer,Utah,United States,Salt Lake City,,
2017,Consumer,Utah,United States,Salt Lake City,15,417.216
2014,Consumer,Utah,United States,West Jordan,2,55.5
2015,Consumer,Utah,United States,West Jordan,14,256.35
2016,Consumer,Utah,United States,West Jordan,,
2017,Consumer,Utah,United States,West Jordan,,
2014,Consumer,Vermont,United States,Burlington,,
2015,Consumer,Vermont,United States,Burlington,3,715.2
2016,Consumer,Vermont,United States,Burlington,,
2017,Consumer,Vermont,United States,Burlington,9,637.1799999999998
2014,Consumer,Virginia,United States,Alexandria,2,24.56
2015,Consumer,Virginia,United States,Alexandria,,
2016,Consumer,Virginia,United States,Alexandria,5,81.19999999999999
2017,Consumer,Virginia,United States,Alexandria,7,25.060000000000002
2014,Consumer,Virginia,United States,Charlottesville,,
2015,Consumer,Virginia,United States,Charlottesville,,
2016,Consumer,Virginia,United States,Charlottesville,,
2017,Consumer,Virginia,United States,Charlottesville,3,34.650000000000006
2014,Consumer,Virginia,United States,Chesapeake,28,1795.5000000000002
2015,Consumer,Virginia,United States,Chesapeake,4,197.72
2016,Consumer,Virginia,United States,Chesapeake,13,1911.48
2017,Consumer,Virginia,United States,Chesapeake,5,504.90000000000003
2014,Consumer,Virginia,United States,Hampton,5,149.9
2015,Consumer,Virginia,United States,Hampton,23,750.9299999999998
2016,Consumer,Virginia,United States,Hampton,1,290.98
2017,Consumer,Virginia,United States,Hampton,,
2014,Consumer,Virginia,United States,Newport News,,
2015,Consumer,Virginia,United States,Newport News,4,31.12
2016,Consumer,Virginia,United States,Newport News,9,1611.01
2017,Consumer,Virginia,United States,Newport News,11,629.86
2014,Consumer,Virginia,United States,Richmond,8,37.44
2015,Consumer,Virginia,United States,Richmond,20,729.6800000000001
2016,Consumer,Virginia,United States,Richmond,4,39.92
2017,Consumer,Virginia,United States,Richmond,43,1738.9900000000002
2014,Consumer,Virginia,United States,Salem,,
2015,Consumer,Virginia,United States,Salem,,
2016,Consumer,Virginia,United States,Salem,7,27.86
2017,Consumer,Virginia,United States,Salem,37,1738.1000000000001
2014,Consumer,Virginia,United States,Springfield,10,142.8
2015,Consumer,Virginia,United States,Springfield,4,36.4
2016,Consumer,Virginia,United States,Springfield,46,2674.44
2017,Consumer,Virginia,United States,Springfield,16,210.38000000000002
2014,Consumer,Virginia,United States,Suffolk,,
2015,Consumer,Virginia,United States,Suffolk,2,196.62
2016,Consumer,Virginia,United States,Suffolk,,
2017,Consumer,Virginia,United States,Suffolk,,
2014,Consumer,Virginia,United States,Virginia Beach,9,139.72
2015,Consumer,Virginia,United States,Virginia Beach,3,182.91
2016,Consumer,Virginia,United States,Virginia Beach,10,1120.73
2017,Consumer,Virginia,United States,Virginia Beach,12,608.4300000000001
2014,Consumer,Virginia,United States,Waynesboro,5,425.66999999999996
2015,Consumer,Virginia,United States,Waynesboro,19,2298.9
2016,Consumer,Virginia,United States,Waynesboro,,
