15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.Pack)
2015,Qtr 1,NEWTON,156
2012,Qtr 1,NORA SPRINGS,12
2013,Qtr 1,NORA SPRINGS,12
2014,Qtr 1,NORA SPRINGS,
2015,Qtr 1,NORA SPRINGS,
2012,Qtr 1,NORTH ENGLISH,12
2013,Qtr 1,NORTH ENGLISH,
2014,Qtr 1,NORTH ENGLISH,
2015,Qtr 1,NORTH ENGLISH,
2012,Qtr 1,NORTH LIBERTY,60
2013,Qtr 1,NORTH LIBERTY,90
2014,Qtr 1,NORTH LIBERTY,90
2015,Qtr 1,NORTH LIBERTY,54
2012,Qtr 1,Northwood,
2013,Qtr 1,Northwood,
2014,Qtr 1,Northwood,6
2015,Qtr 1,Northwood,24
2012,Qtr 1,NORWALK,
2013,Qtr 1,NORWALK,48
2014,Qtr 1,NORWALK,
2015,Qtr 1,NORWALK,
2012,Qtr 1,OAKLAND,
2013,Qtr 1,OAKLAND,6
2014,Qtr 1,OAKLAND,
2015,Qtr 1,OAKLAND,
2012,Qtr 1,OELWEIN,72
2013,Qtr 1,OELWEIN,42
2014,Qtr 1,OELWEIN,18
2015,Qtr 1,OELWEIN,
2012,Qtr 1,ONAWA,12
2013,Qtr 1,ONAWA,
2014,Qtr 1,ONAWA,78
2015,Qtr 1,ONAWA,84
2012,Qtr 1,ORANGE CITY,
2013,Qtr 1,ORANGE CITY,24
2014,Qtr 1,ORANGE CITY,
2015,Qtr 1,ORANGE CITY,
2012,Qtr 1,OSAGE,24
2013,Qtr 1,OSAGE,48
2014,Qtr 1,OSAGE,6
2015,Qtr 1,OSAGE,30
2012,Qtr 1,OSCEOLA,
2013,Qtr 1,OSCEOLA,42
2014,Qtr 1,OSCEOLA,30
2015,Qtr 1,OSCEOLA,48
2012,Qtr 1,OSKALOOSA,60
2013,Qtr 1,OSKALOOSA,42
2014,Qtr 1,OSKALOOSA,36
2015,Qtr 1,OSKALOOSA,96
2012,Qtr 1,OSSIAN,12
2013,Qtr 1,OSSIAN,18
2014,Qtr 1,OSSIAN,
2015,Qtr 1,OSSIAN,
2012,Qtr 1,OTTUMWA,96
2013,Qtr 1,OTTUMWA,150
2014,Qtr 1,OTTUMWA,36
2015,Qtr 1,OTTUMWA,42
2012,Qtr 1,OTTUWMA,72
2013,Qtr 1,OTTUWMA,18
2014,Qtr 1,OTTUWMA,30
2015,Qtr 1,OTTUWMA,24
2012,Qtr 1,PACIFIC JUNCTION,6
2013,Qtr 1,PACIFIC JUNCTION,
2014,Qtr 1,PACIFIC JUNCTION,
2015,Qtr 1,PACIFIC JUNCTION,
2012,Qtr 1,PANORA,
2013,Qtr 1,PANORA,6
2014,Qtr 1,PANORA,24
2015,Qtr 1,PANORA,6
2012,Qtr 1,PARKERSBURG,12
2013,Qtr 1,PARKERSBURG,
2014,Qtr 1,PARKERSBURG,18
2015,Qtr 1,PARKERSBURG,
2012,Qtr 1,PELLA,48
2013,Qtr 1,PELLA,30
2014,Qtr 1,PELLA,36
2015,Qtr 1,PELLA,54
2012,Qtr 1,PEOSTA,
2013,Qtr 1,PEOSTA,12
2014,Qtr 1,PEOSTA,
2015,Qtr 1,PEOSTA,
2012,Qtr 1,PERRY,18
2013,Qtr 1,PERRY,
2014,Qtr 1,PERRY,12
2015,Qtr 1,PERRY,42
2012,Qtr 1,PLEASANT HILL,24
2013,Qtr 1,PLEASANT HILL,30
2014,Qtr 1,PLEASANT HILL,72
2015,Qtr 1,PLEASANT HILL,30
2012,Qtr 1,PLEASANTVILLE,
2013,Qtr 1,PLEASANTVILLE,6
2014,Qtr 1,PLEASANTVILLE,12
2015,Qtr 1,PLEASANTVILLE,12
2012,Qtr 1,POCAHONTAS,
2013,Qtr 1,POCAHONTAS,18
2014,Qtr 1,POCAHONTAS,
2015,Qtr 1,POCAHONTAS,12
2012,Qtr 1,POLK CITY,24
2013,Qtr 1,POLK CITY,
2014,Qtr 1,POLK CITY,
2015,Qtr 1,POLK CITY,6
2012,Qtr 1,POSTVILLE,
2013,Qtr 1,POSTVILLE,
2014,Qtr 1,POSTVILLE,12
2015,Qtr 1,POSTVILLE,6
2012,Qtr 1,PRAIRIE CITY,
2013,Qtr 1,PRAIRIE CITY,24
2014,Qtr 1,PRAIRIE CITY,
2015,Qtr 1,PRAIRIE CITY,
2012,Qtr 1,PRIMGHAR,24
2013,Qtr 1,PRIMGHAR,
2014,Qtr 1,PRIMGHAR,
2015,Qtr 1,PRIMGHAR,6
2012,Qtr 1,RED OAK,18
2013,Qtr 1,RED OAK,12
2014,Qtr 1,RED OAK,12
2015,Qtr 1,RED OAK,72
2012,Qtr 1,RIVERSIDE,12
2013,Qtr 1,RIVERSIDE,
2014,Qtr 1,RIVERSIDE,12
2015,Qtr 1,RIVERSIDE,
2012,Qtr 1,ROCK RAPIDS,12
2013,Qtr 1,ROCK RAPIDS,6
2014,Qtr 1,ROCK RAPIDS,24
2015,Qtr 1,ROCK RAPIDS,
2012,Qtr 1,ROCK VALLEY,6
2013,Qtr 1,ROCK VALLEY,
2014,Qtr 1,ROCK VALLEY,
2015,Qtr 1,ROCK VALLEY,
2012,Qtr 1,ROCKWELL,
2013,Qtr 1,ROCKWELL,
2014,Qtr 1,ROCKWELL,
2015,Qtr 1,ROCKWELL,12
2012,Qtr 1,ROCKWELL CITY,
2013,Qtr 1,ROCKWELL CITY,
2014,Qtr 1,ROCKWELL CITY,
2015,Qtr 1,ROCKWELL CITY,36
2012,Qtr 1,RUTHVEN,6
2013,Qtr 1,RUTHVEN,
2014,Qtr 1,RUTHVEN,
2015,Qtr 1,RUTHVEN,
2012,Qtr 1,SAC CITY,6
2013,Qtr 1,SAC CITY,12
2014,Qtr 1,SAC CITY,30
2015,Qtr 1,SAC CITY,36
2012,Qtr 1,SANBORN,
2013,Qtr 1,SANBORN,24
2014,Qtr 1,SANBORN,
2015,Qtr 1,SANBORN,
2012,Qtr 1,SCHLESWIG,12
2013,Qtr 1,SCHLESWIG,
2014,Qtr 1,SCHLESWIG,
2015,Qtr 1,SCHLESWIG,
2012,Qtr 1,SCRANTON,24
2013,Qtr 1,SCRANTON,
2014,Qtr 1,SCRANTON,
2015,Qtr 1,SCRANTON,
2012,Qtr 1,SERGEANT BLUFF,24
2013,Qtr 1,SERGEANT BLUFF,
2014,Qtr 1,SERGEANT BLUFF,6
2015,Qtr 1,SERGEANT BLUFF,6
2012,Qtr 1,SHELDON,48
2013,Qtr 1,SHELDON,72
2014,Qtr 1,SHELDON,30
2015,Qtr 1,SHELDON,48
2012,Qtr 1,SHELLSBURG,12
2013,Qtr 1,SHELLSBURG,
2014,Qtr 1,SHELLSBURG,12
2015,Qtr 1,SHELLSBURG,12
2012,Qtr 1,SHENANDOAH,18
2013,Qtr 1,SHENANDOAH,12
2014,Qtr 1,SHENANDOAH,12
2015,Qtr 1,SHENANDOAH,12
2012,Qtr 1,SIBLEY,36
2013,Qtr 1,SIBLEY,34
2014,Qtr 1,SIBLEY,12
2015,Qtr 1,SIBLEY,18
2012,Qtr 1,SIGOURNEY,12
2013,Qtr 1,SIGOURNEY,24
2014,Qtr 1,SIGOURNEY,
2015,Qtr 1,SIGOURNEY,48
2012,Qtr 1,SIOUX CENTER,
2013,Qtr 1,SIOUX CENTER,6
2014,Qtr 1,SIOUX CENTER,
2015,Qtr 1,SIOUX CENTER,30
2012,Qtr 1,SIOUX CITY,204
2013,Qtr 1,SIOUX CITY,246
2014,Qtr 1,SIOUX CITY,258
2015,Qtr 1,SIOUX CITY,270
2012,Qtr 1,SIOUX RAPIDS,
2013,Qtr 1,SIOUX RAPIDS,24
2014,Qtr 1,SIOUX RAPIDS,24
2015,Qtr 1,SIOUX RAPIDS,
2012,Qtr 1,SLATER,12
2013,Qtr 1,SLATER,
2014,Qtr 1,SLATER,
2015,Qtr 1,SLATER,
2012,Qtr 1,SLOAN,6
2013,Qtr 1,SLOAN,24
2014,Qtr 1,SLOAN,
2015,Qtr 1,SLOAN,
2012,Qtr 1,SOLON,
2013,Qtr 1,SOLON,6
2014,Qtr 1,SOLON,12
2015,Qtr 1,SOLON,
2012,Qtr 1,SPENCER,72
2013,Qtr 1,SPENCER,72
2014,Qtr 1,SPENCER,66
2015,Qtr 1,SPENCER,120
2012,Qtr 1,SPIRIT LAKE,18
2013,Qtr 1,SPIRIT LAKE,90
2014,Qtr 1,SPIRIT LAKE,48
2015,Qtr 1,SPIRIT LAKE,96
2012,Qtr 1,ST ANSGAR,24
2013,Qtr 1,ST ANSGAR,12
2014,Qtr 1,ST ANSGAR,6
2015,Qtr 1,ST ANSGAR,12
2012,Qtr 1,ST LUCAS,6
2013,Qtr 1,ST LUCAS,
2014,Qtr 1,ST LUCAS,
2015,Qtr 1,ST LUCAS,
2012,Qtr 1,STATE CENTER,12
2013,Qtr 1,STATE CENTER,
2014,Qtr 1,STATE CENTER,12
2015,Qtr 1,STATE CENTER,
2012,Qtr 1,STORM LAKE,36
2013,Qtr 1,STORM LAKE,114
2014,Qtr 1,STORM LAKE,90
2015,Qtr 1,STORM LAKE,114
2012,Qtr 1,STORY CITY,24
2013,Qtr 1,STORY CITY,
2014,Qtr 1,STORY CITY,24
2015,Qtr 1,STORY CITY,12
2012,Qtr 1,STRATFORD,12
2013,Qtr 1,STRATFORD,12
2014,Qtr 1,STRATFORD,
2015,Qtr 1,STRATFORD,
2012,Qtr 1,STUART,12
2013,Qtr 1,STUART,
2014,Qtr 1,STUART,
2015,Qtr 1,STUART,36
2012,Qtr 1,SULLY,48
2013,Qtr 1,SULLY,
2014,Qtr 1,SULLY,
2015,Qtr 1,SULLY,
2012,Qtr 1,SUMNER,12
2013,Qtr 1,SUMNER,24
2014,Qtr 1,SUMNER,28
2015,Qtr 1,SUMNER,
2012,Qtr 1,SUTHERLAND,
2013,Qtr 1,SUTHERLAND,
2014,Qtr 1,SUTHERLAND,18
2015,Qtr 1,SUTHERLAND,
2012,Qtr 1,SWEA CITY,12
2013,Qtr 1,SWEA CITY,
2014,Qtr 1,SWEA CITY,
2015,Qtr 1,SWEA CITY,
2012,Qtr 1,SWISHER,
2013,Qtr 1,SWISHER,
2014,Qtr 1,SWISHER,
2015,Qtr 1,SWISHER,12
2012,Qtr 1,TIFFIN,48
2013,Qtr 1,TIFFIN,12
2014,Qtr 1,TIFFIN,12
2015,Qtr 1,TIFFIN,12
2012,Qtr 1,TIPTON,
2013,Qtr 1,TIPTON,6
2014,Qtr 1,TIPTON,12
2015,Qtr 1,TIPTON,12
2012,Qtr 1,TOLEDO,6
2013,Qtr 1,TOLEDO,12
2014,Qtr 1,TOLEDO,
2015,Qtr 1,TOLEDO,48
2012,Qtr 1,TRAER,
2013,Qtr 1,TRAER,24
2014,Qtr 1,TRAER,
2015,Qtr 1,TRAER,36
2012,Qtr 1,TRIPOLI,12
2013,Qtr 1,TRIPOLI,18
2014,Qtr 1,TRIPOLI,12
2015,Qtr 1,TRIPOLI,24
2012,Qtr 1,URBANDALE,66
2013,Qtr 1,URBANDALE,42
2014,Qtr 1,URBANDALE,54
2015,Qtr 1,URBANDALE,90
2012,Qtr 1,VINTON,
2013,Qtr 1,VINTON,
2014,Qtr 1,VINTON,
2015,Qtr 1,VINTON,6
2012,Qtr 1,WALNUT,
2013,Qtr 1,WALNUT,
2014,Qtr 1,WALNUT,
2015,Qtr 1,WALNUT,12
2012,Qtr 1,WAPELLO,24
2013,Qtr 1,WAPELLO,36
2014,Qtr 1,WAPELLO,36
2015,Qtr 1,WAPELLO,
2012,Qtr 1,WASHINGTON,48
2013,Qtr 1,WASHINGTON,43
2014,Qtr 1,WASHINGTON,42
2015,Qtr 1,WASHINGTON,12
2012,Qtr 1,WATERLOO,456
2013,Qtr 1,WATERLOO,312
2014,Qtr 1,WATERLOO,396
2015,Qtr 1,WATERLOO,238
2012,Qtr 1,WAUKEE,
2013,Qtr 1,WAUKEE,
2014,Qtr 1,WAUKEE,54
2015,Qtr 1,WAUKEE,60
2012,Qtr 1,WAUKON,36
2013,Qtr 1,WAUKON,6
2014,Qtr 1,WAUKON,36
2015,Qtr 1,WAUKON,18
2012,Qtr 1,WAVERLY,54
2013,Qtr 1,WAVERLY,78
2014,Qtr 1,WAVERLY,36
2015,Qtr 1,WAVERLY,96
2012,Qtr 1,WEBSTER CITY,96
2013,Qtr 1,WEBSTER CITY,30
2014,Qtr 1,WEBSTER CITY,18
2015,Qtr 1,WEBSTER CITY,48
2012,Qtr 1,WELLMAN,
2013,Qtr 1,WELLMAN,
2014,Qtr 1,WELLMAN,24
2015,Qtr 1,WELLMAN,
2012,Qtr 1,WELLSBURG,12
2013,Qtr 1,WELLSBURG,
2014,Qtr 1,WELLSBURG,
2015,Qtr 1,WELLSBURG,
2012,Qtr 1,WESLEY,
2013,Qtr 1,WESLEY,12
2014,Qtr 1,WESLEY,
2015,Qtr 1,WESLEY,
2012,Qtr 1,WEST BEND,12
2013,Qtr 1,WEST BEND,
2014,Qtr 1,WEST BEND,
2015,Qtr 1,WEST BEND,12
2012,Qtr 1,WEST BRANCH,24
2013,Qtr 1,WEST BRANCH,6
2014,Qtr 1,WEST BRANCH,
2015,Qtr 1,WEST BRANCH,36
2012,Qtr 1,WEST BURLINGTON,
2013,Qtr 1,WEST BURLINGTON,42
2014,Qtr 1,WEST BURLINGTON,12
2015,Qtr 1,WEST BURLINGTON,6
2012,Qtr 1,WEST DES MOINES,306
2013,Qtr 1,WEST DES MOINES,328
2014,Qtr 1,WEST DES MOINES,426
2015,Qtr 1,WEST DES MOINES,229
2012,Qtr 1,WEST LIBERTY,
2013,Qtr 1,WEST LIBERTY,12
2014,Qtr 1,WEST LIBERTY,18
2015,Qtr 1,WEST LIBERTY,
2012,Qtr 1,WEST POINT,
2013,Qtr 1,WEST POINT,
2014,Qtr 1,WEST POINT,18
2015,Qtr 1,WEST POINT,
2012,Qtr 1,WEST UNION,24
2013,Qtr 1,WEST UNION,6
2014,Qtr 1,WEST UNION,
2015,Qtr 1,WEST UNION,12
2012,Qtr 1,WILLIAMSBURG,6
2013,Qtr 1,WILLIAMSBURG,24
2014,Qtr 1,WILLIAMSBURG,
2015,Qtr 1,WILLIAMSBURG,
2012,Qtr 1,WILTON,
2013,Qtr 1,WILTON,
2014,Qtr 1,WILTON,1
2015,Qtr 1,WILTON,6
2012,Qtr 1,WINDSOR HEIGHTS,108
2013,Qtr 1,WINDSOR HEIGHTS,42
2014,Qtr 1,WINDSOR HEIGHTS,102
2015,Qtr 1,WINDSOR HEIGHTS,150
2012,Qtr 1,WINTERSET,12
2013,Qtr 1,WINTERSET,24
2014,Qtr 1,WINTERSET,
2015,Qtr 1,WINTERSET,30
2012,Qtr 1,WINTHROP,12
2013,Qtr 1,WINTHROP,
2014,Qtr 1,WINTHROP,
2015,Qtr 1,WINTHROP,
