GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
January,Qtr 1,2020,4
February,Qtr 1,2020,4
March,Qtr 1,2020,7
April,Qtr 2,2020,7
May,Qtr 2,2020,1
June,Qtr 2,2020,9
July,Qtr 3,2020,7
August,Qtr 3,2020,9
September,Qtr 3,2020,9
October,Qtr 4,2020,6
November,Qtr 4,2020,4
December,Qtr 4,2020,0
January,Qtr 1,2021,5
February,Qtr 1,2021,3
March,Qtr 1,2021,5
April,Qtr 2,2021,8
May,Qtr 2,2021,8
June,Qtr 2,2021,9
July,Qtr 3,2021,8
August,Qtr 3,2021,5
September,Qtr 3,2021,2
October,Qtr 4,2021,2
November,Qtr 4,2021,5
December,Qtr 4,2021,5
January,Qtr 1,2022,0
February,Qtr 1,2022,7
March,Qtr 1,2022,5
April,Qtr 2,2022,7
May,Qtr 2,2022,7
June,Qtr 2,2022,8
July,Qtr 3,2022,3
August,Qtr 3,2022,2
September,Qtr 3,2022,382.64
October,Qtr 4,2022,891.94
November,Qtr 4,2022,704.96
December,Qtr 4,2022,9371.5
January,Qtr 1,2023,66727.48
February,Qtr 1,2023,4046.62
March,Qtr 1,2023,7943.58
April,Qtr 2,2023,3147.56
May,Qtr 2,2023,7680.69
June,Qtr 2,2023,4139.27
July,Qtr 3,2023,8349.25
August,Qtr 3,2023,6886.39
September,Qtr 3,2023,6774.89
October,Qtr 4,2023,4310.18
November,Qtr 4,2023,4436.49
December,Qtr 4,2023,7313.74
January,Qtr 1,2024,55807.38
February,Qtr 1,2024,5197.97
March,Qtr 1,2024,856.92
April,Qtr 2,2024,2293.11
May,Qtr 2,2024,6483.73
June,Qtr 2,2024,8002.54
July,Qtr 3,2024,3971.69
August,Qtr 3,2024,1229.47
September,Qtr 3,2024,3691.04
October,Qtr 4,2024,8882.64
November,Qtr 4,2024,3455.41
December,Qtr 4,2024,7972.29
January,Qtr 1,2020,3
February,Qtr 1,2020,0
March,Qtr 1,2020,5
April,Qtr 2,2020,4
May,Qtr 2,2020,4
June,Qtr 2,2020,4
July,Qtr 3,2020,9
August,Qtr 3,2020,8
September,Qtr 3,2020,1
October,Qtr 4,2020,9
November,Qtr 4,2020,0
December,Qtr 4,2020,0
January,Qtr 1,2021,6
February,Qtr 1,2021,1
March,Qtr 1,2021,4
April,Qtr 2,2021,4
May,Qtr 2,2021,4
June,Qtr 2,2021,8
July,Qtr 3,2021,8
August,Qtr 3,2021,60060
September,Qtr 3,2021,63374
October,Qtr 4,2021,6664
November,Qtr 4,2021,92873
December,Qtr 4,2021,18940
January,Qtr 1,2022,233114.97
February,Qtr 1,2022,36459.33
March,Qtr 1,2022,89827
April,Qtr 2,2022,259210.7
May,Qtr 2,2022,971131.87
June,Qtr 2,2022,832637.53
July,Qtr 3,2022,583599.9
August,Qtr 3,2022,701188.66
September,Qtr 3,2022,406386.35
October,Qtr 4,2022,497420.73
November,Qtr 4,2022,4747659.56
December,Qtr 4,2022,4048155.51
January,Qtr 1,2023,7109972.09
February,Qtr 1,2023,6014760.32
March,Qtr 1,2023,7497423.49
April,Qtr 2,2023,2105413.56
May,Qtr 2,2023,2953284.05
June,Qtr 2,2023,4780385.13
July,Qtr 3,2023,6735366.07
August,Qtr 3,2023,7369070.63
September,Qtr 3,2023,5866424.53
October,Qtr 4,2023,9320827.19
November,Qtr 4,2023,7594344.1
December,Qtr 4,2023,2987513.1
January,Qtr 1,2024,2027515.41
February,Qtr 1,2024,7227706.14
March,Qtr 1,2024,7851192.32
April,Qtr 2,2024,191512.38
May,Qtr 2,2024,9681360.97
June,Qtr 2,2024,2787335.13
July,Qtr 3,2024,5228889.27
August,Qtr 3,2024,4803861.5
September,Qtr 3,2024,2708051.45
October,Qtr 4,2024,4262352.08
November,Qtr 4,2024,6265736.6
December,Qtr 4,2024,625299.57
January,Qtr 1,2020,9
February,Qtr 1,2020,2
March,Qtr 1,2020,9
April,Qtr 2,2020,3
May,Qtr 2,2020,7
June,Qtr 2,2020,6
July,Qtr 3,2020,3
August,Qtr 3,2020,9
September,Qtr 3,2020,7
October,Qtr 4,2020,4
November,Qtr 4,2020,8
December,Qtr 4,2020,5
January,Qtr 1,2021,9
February,Qtr 1,2021,6
March,Qtr 1,2021,8
April,Qtr 2,2021,5
May,Qtr 2,2021,3
June,Qtr 2,2021,3
July,Qtr 3,2021,5
August,Qtr 3,2021,9
September,Qtr 3,2021,4
October,Qtr 4,2021,6
November,Qtr 4,2021,3
December,Qtr 4,2021,9
January,Qtr 1,2022,4
February,Qtr 1,2022,9695.19
March,Qtr 1,2022,6200.7
April,Qtr 2,2022,6968.43
May,Qtr 2,2022,295228.86
June,Qtr 2,2022,701474.45
July,Qtr 3,2022,180111.08
August,Qtr 3,2022,976044.5
September,Qtr 3,2022,4857109.46
October,Qtr 4,2022,1800797.1
November,Qtr 4,2022,7307943.63
December,Qtr 4,2022,7739449
January,Qtr 1,2023,3834354.6
February,Qtr 1,2023,7931034.73
March,Qtr 1,2023,5131865.4
April,Qtr 2,2023,1462453.31
May,Qtr 2,2023,8169698.28
June,Qtr 2,2023,7577315.61
July,Qtr 3,2023,7728989.41
August,Qtr 3,2023,890506.73
September,Qtr 3,2023,1151346.46
October,Qtr 4,2023,6524079.14
November,Qtr 4,2023,7048343.4
December,Qtr 4,2023,6266722.43
January,Qtr 1,2024,2041196.45
February,Qtr 1,2024,6292417.36
March,Qtr 1,2024,8896085.08
April,Qtr 2,2024,5899189.14
May,Qtr 2,2024,9314957.46
June,Qtr 2,2024,1263571.97
July,Qtr 3,2024,2348657.15
August,Qtr 3,2024,721035.05
September,Qtr 3,2024,629738.79
October,Qtr 4,2024,4325502.14
November,Qtr 4,2024,6741744.84
December,Qtr 4,2024,6581587.56
January,Qtr 1,2020,7
February,Qtr 1,2020,3
March,Qtr 1,2020,6
April,Qtr 2,2020,7
May,Qtr 2,2020,4
June,Qtr 2,2020,5
July,Qtr 3,2020,9
August,Qtr 3,2020,8
September,Qtr 3,2020,6
October,Qtr 4,2020,3
November,Qtr 4,2020,9
December,Qtr 4,2020,6
January,Qtr 1,2021,1
February,Qtr 1,2021,3
March,Qtr 1,2021,1
April,Qtr 2,2021,3
May,Qtr 2,2021,7
June,Qtr 2,2021,2
July,Qtr 3,2021,7
August,Qtr 3,2021,7
September,Qtr 3,2021,6
October,Qtr 4,2021,5
November,Qtr 4,2021,1
December,Qtr 4,2021,4
January,Qtr 1,2022,2
February,Qtr 1,2022,936777.37
March,Qtr 1,2022,808862.61
April,Qtr 2,2022,196468.84
May,Qtr 2,2022,634021.41
June,Qtr 2,2022,367683.05
July,Qtr 3,2022,458914.13
August,Qtr 3,2022,423600.75
September,Qtr 3,2022,460485.68
October,Qtr 4,2022,206376.34
November,Qtr 4,2022,889296.55
December,Qtr 4,2022,661262.31
January,Qtr 1,2023,28451.82
February,Qtr 1,2023,968575.95
March,Qtr 1,2023,572977
April,Qtr 2,2023,218479.56
May,Qtr 2,2023,895456.05
June,Qtr 2,2023,81221.16
July,Qtr 3,2023,714800.08
August,Qtr 3,2023,483234.62
September,Qtr 3,2023,632687.14
October,Qtr 4,2023,555734.83
November,Qtr 4,2023,863602.61
December,Qtr 4,2023,70213.12
January,Qtr 1,2024,219852.45
February,Qtr 1,2024,85481.65
March,Qtr 1,2024,743594.23
April,Qtr 2,2024,826554.42
May,Qtr 2,2024,415113.38
June,Qtr 2,2024,394004.42
July,Qtr 3,2024,672001.36
August,Qtr 3,2024,220575.54
September,Qtr 3,2024,608530.68
October,Qtr 4,2024,545602.82
November,Qtr 4,2024,172131.74
December,Qtr 4,2024,646238.94
January,Qtr 1,2020,5
February,Qtr 1,2020,9
March,Qtr 1,2020,2
April,Qtr 2,2020,5
May,Qtr 2,2020,6
June,Qtr 2,2020,5
July,Qtr 3,2020,3
August,Qtr 3,2020,3
September,Qtr 3,2020,9
October,Qtr 4,2020,1
November,Qtr 4,2020,7
December,Qtr 4,2020,0
January,Qtr 1,2021,8
February,Qtr 1,2021,9
March,Qtr 1,2021,1
April,Qtr 2,2021,0
May,Qtr 2,2021,0
June,Qtr 2,2021,4
July,Qtr 3,2021,9
August,Qtr 3,2021,0
September,Qtr 3,2021,8
October,Qtr 4,2021,5
November,Qtr 4,2021,4
December,Qtr 4,2021,0
January,Qtr 1,2022,710768
February,Qtr 1,2022,161911.64
March,Qtr 1,2022,185620.92
April,Qtr 2,2022,907168.15
May,Qtr 2,2022,869212.27
June,Qtr 2,2022,906178.84
July,Qtr 3,2022,2712908.03
August,Qtr 3,2022,6746714.61
September,Qtr 3,2022,947820.95
October,Qtr 4,2022,9827518.56
November,Qtr 4,2022,379679.66
December,Qtr 4,2022,2358206.42
January,Qtr 1,2023,4545534.81
February,Qtr 1,2023,4364417.09
March,Qtr 1,2023,4505675.2
April,Qtr 2,2023,7305039.09
May,Qtr 2,2023,732659.21
June,Qtr 2,2023,2809226.74
July,Qtr 3,2023,1233527.18
August,Qtr 3,2023,5182623.85
September,Qtr 3,2023,2322310.33
October,Qtr 4,2023,6085005.05
November,Qtr 4,2023,3001098.64
December,Qtr 4,2023,8558060.29
January,Qtr 1,2024,5411853.56
February,Qtr 1,2024,4280965.72
March,Qtr 1,2024,7927531.27
April,Qtr 2,2024,5237607.14
May,Qtr 2,2024,671928.14
June,Qtr 2,2024,132210.6
July,Qtr 3,2024,7448601.49
August,Qtr 3,2024,6089773.07
September,Qtr 3,2024,4421151.68
October,Qtr 4,2024,7081624.53
November,Qtr 4,2024,157983.45
December,Qtr 4,2024,3034826.08
January,Qtr 1,2020,8
February,Qtr 1,2020,1
March,Qtr 1,2020,6
April,Qtr 2,2020,3
May,Qtr 2,2020,8
June,Qtr 2,2020,2
July,Qtr 3,2020,9
August,Qtr 3,2020,7
September,Qtr 3,2020,0
October,Qtr 4,2020,0
November,Qtr 4,2020,3
December,Qtr 4,2020,7
January,Qtr 1,2021,3
February,Qtr 1,2021,8
March,Qtr 1,2021,7
April,Qtr 2,2021,7
May,Qtr 2,2021,8
June,Qtr 2,2021,8
July,Qtr 3,2021,1
August,Qtr 3,2021,8
September,Qtr 3,2021,9
October,Qtr 4,2021,8
November,Qtr 4,2021,7
December,Qtr 4,2021,5
January,Qtr 1,2022,2
February,Qtr 1,2022,9
March,Qtr 1,2022,9
April,Qtr 2,2022,0
May,Qtr 2,2022,5
June,Qtr 2,2022,4
July,Qtr 3,2022,1
August,Qtr 3,2022,3
September,Qtr 3,2022,1
October,Qtr 4,2022,5
November,Qtr 4,2022,5
December,Qtr 4,2022,6
January,Qtr 1,2023,8
February,Qtr 1,2023,5
March,Qtr 1,2023,3
April,Qtr 2,2023,5
May,Qtr 2,2023,5
June,Qtr 2,2023,5
July,Qtr 3,2023,3
August,Qtr 3,2023,6
September,Qtr 3,2023,3
October,Qtr 4,2023,2
November,Qtr 4,2023,759
December,Qtr 4,2023,737
January,Qtr 1,2024,517
February,Qtr 1,2024,6
March,Qtr 1,2024,4
April,Qtr 2,2024,8
May,Qtr 2,2024,9
June,Qtr 2,2024,3
July,Qtr 3,2024,5
August,Qtr 3,2024,8
September,Qtr 3,2024,5
October,Qtr 4,2024,5
November,Qtr 4,2024,8
December,Qtr 4,2024,7
January,Qtr 1,2020,5
February,Qtr 1,2020,9
March,Qtr 1,2020,9
April,Qtr 2,2020,5
May,Qtr 2,2020,9
June,Qtr 2,2020,0
July,Qtr 3,2020,0
August,Qtr 3,2020,9
September,Qtr 3,2020,9
October,Qtr 4,2020,1
November,Qtr 4,2020,4
December,Qtr 4,2020,7
January,Qtr 1,2021,9
February,Qtr 1,2021,9
March,Qtr 1,2021,6
April,Qtr 2,2021,4
May,Qtr 2,2021,9
June,Qtr 2,2021,9
July,Qtr 3,2021,6
August,Qtr 3,2021,3
September,Qtr 3,2021,1
October,Qtr 4,2021,5
November,Qtr 4,2021,8
December,Qtr 4,2021,1
January,Qtr 1,2022,8936.96
February,Qtr 1,2022,728734.16
March,Qtr 1,2022,360986
April,Qtr 2,2022,427846.15
May,Qtr 2,2022,560001.63
June,Qtr 2,2022,419297.37
July,Qtr 3,2022,539267.54
August,Qtr 3,2022,855469.89
September,Qtr 3,2022,270638.2
October,Qtr 4,2022,645089.21
November,Qtr 4,2022,361932.98
December,Qtr 4,2022,217960.09
January,Qtr 1,2023,9406275.511
February,Qtr 1,2023,972407
March,Qtr 1,2023,914448.77
April,Qtr 2,2023,695568.61
May,Qtr 2,2023,691678.17
June,Qtr 2,2023,324356.09
July,Qtr 3,2023,672253.41
August,Qtr 3,2023,554842.91
September,Qtr 3,2023,292723.46
October,Qtr 4,2023,150428.77
November,Qtr 4,2023,627598.79
December,Qtr 4,2023,42281.36
January,Qtr 1,2024,3957243.55
February,Qtr 1,2024,684426.11
March,Qtr 1,2024,813861.93
April,Qtr 2,2024,133858.98
May,Qtr 2,2024,730469.66
June,Qtr 2,2024,114743.51
July,Qtr 3,2024,125259.93
August,Qtr 3,2024,238288.51
September,Qtr 3,2024,384020.87
October,Qtr 4,2024,366983.96
November,Qtr 4,2024,777667.95
December,Qtr 4,2024,955222.22
January,Qtr 1,2020,1
February,Qtr 1,2020,9
March,Qtr 1,2020,9
April,Qtr 2,2020,0
May,Qtr 2,2020,2
June,Qtr 2,2020,1
July,Qtr 3,2020,1
August,Qtr 3,2020,5
September,Qtr 3,2020,2
October,Qtr 4,2020,5
November,Qtr 4,2020,4
December,Qtr 4,2020,2
January,Qtr 1,2021,3
February,Qtr 1,2021,8
March,Qtr 1,2021,9
April,Qtr 2,2021,6
May,Qtr 2,2021,6
June,Qtr 2,2021,9
July,Qtr 3,2021,9
August,Qtr 3,2021,2
September,Qtr 3,2021,7
October,Qtr 4,2021,5
November,Qtr 4,2021,9
December,Qtr 4,2021,9
January,Qtr 1,2022,4
February,Qtr 1,2022,90346.3
March,Qtr 1,2022,70781.62
April,Qtr 2,2022,41433.22
May,Qtr 2,2022,76551.1
June,Qtr 2,2022,961394.6
July,Qtr 3,2022,71144.84
August,Qtr 3,2022,649161.62
September,Qtr 3,2022,92571.83
October,Qtr 4,2022,389099
November,Qtr 4,2022,8834631.1
December,Qtr 4,2022,5427110.43
January,Qtr 1,2023,2833324.87
February,Qtr 1,2023,4069895.7
March,Qtr 1,2023,5833418.79
April,Qtr 2,2023,7638354.39
May,Qtr 2,2023,6175308.24
June,Qtr 2,2023,636236.36
July,Qtr 3,2023,6230737.16
August,Qtr 3,2023,7779031.08
September,Qtr 3,2023,7495873.79
October,Qtr 4,2023,2047612.2
November,Qtr 4,2023,9789882.85
December,Qtr 4,2023,4220174.9
January,Qtr 1,2024,6752481.29
February,Qtr 1,2024,1882635.62
March,Qtr 1,2024,6031015.38
April,Qtr 2,2024,8389188.51
May,Qtr 2,2024,7844907.81
June,Qtr 2,2024,9377198.7
July,Qtr 3,2024,4213619.64
August,Qtr 3,2024,3412584.72
September,Qtr 3,2024,3129082.75
October,Qtr 4,2024,3937144.21
November,Qtr 4,2024,8421181.71
December,Qtr 4,2024,8357947.8
January,Qtr 1,2020,3
February,Qtr 1,2020,9
March,Qtr 1,2020,3
April,Qtr 2,2020,2
May,Qtr 2,2020,5
June,Qtr 2,2020,0
July,Qtr 3,2020,0
August,Qtr 3,2020,5
September,Qtr 3,2020,7
October,Qtr 4,2020,8
November,Qtr 4,2020,9
December,Qtr 4,2020,0
January,Qtr 1,2021,7
February,Qtr 1,2021,6
March,Qtr 1,2021,1
April,Qtr 2,2021,7
May,Qtr 2,2021,8
June,Qtr 2,2021,6
July,Qtr 3,2021,8
August,Qtr 3,2021,3
September,Qtr 3,2021,2
October,Qtr 4,2021,6
November,Qtr 4,2021,0
December,Qtr 4,2021,3
January,Qtr 1,2022,453.68
February,Qtr 1,2022,80273.43
March,Qtr 1,2022,927525.05
April,Qtr 2,2022,421328.87
May,Qtr 2,2022,103990.98
June,Qtr 2,2022,510784.2
July,Qtr 3,2022,693344.08
August,Qtr 3,2022,655362
September,Qtr 3,2022,655653.08
October,Qtr 4,2022,7711840.51
November,Qtr 4,2022,2400272.2
December,Qtr 4,2022,1949023.8
January,Qtr 1,2023,9812505.87
February,Qtr 1,2023,5564001.76
March,Qtr 1,2023,7923459.83
April,Qtr 2,2023,621492.27
May,Qtr 2,2023,8130230.66
June,Qtr 2,2023,9708653.48
July,Qtr 3,2023,3062342.41
August,Qtr 3,2023,4131660.52
September,Qtr 3,2023,9119668.59
October,Qtr 4,2023,7670061.42
November,Qtr 4,2023,8111507.69
December,Qtr 4,2023,2045191.35
January,Qtr 1,2024,111897.83
February,Qtr 1,2024,5545279.75
March,Qtr 1,2024,9906809.7
April,Qtr 2,2024,9313642.87
May,Qtr 2,2024,2465407.24
June,Qtr 2,2024,5757253.69
July,Qtr 3,2024,9132898.57
August,Qtr 3,2024,3883644
September,Qtr 3,2024,5079738.28
October,Qtr 4,2024,1159046.34
November,Qtr 4,2024,7961568.77
December,Qtr 4,2024,5258881.41
January,Qtr 1,2020,7
February,Qtr 1,2020,2
March,Qtr 1,2020,1
April,Qtr 2,2020,6
May,Qtr 2,2020,9
June,Qtr 2,2020,9
July,Qtr 3,2020,8
August,Qtr 3,2020,7
September,Qtr 3,2020,0
October,Qtr 4,2020,5
November,Qtr 4,2020,4
December,Qtr 4,2020,3
January,Qtr 1,2021,3
February,Qtr 1,2021,1
March,Qtr 1,2021,9
April,Qtr 2,2021,6
May,Qtr 2,2021,3
June,Qtr 2,2021,7
July,Qtr 3,2021,0
August,Qtr 3,2021,4
September,Qtr 3,2021,7
October,Qtr 4,2021,3
November,Qtr 4,2021,6
December,Qtr 4,2021,3
January,Qtr 1,2022,6
February,Qtr 1,2022,3
March,Qtr 1,2022,2277.7
April,Qtr 2,2022,2295.2
May,Qtr 2,2022,4253.2
June,Qtr 2,2022,890.09
July,Qtr 3,2022,7984.29
August,Qtr 3,2022,4052.02
September,Qtr 3,2022,4572.07
October,Qtr 4,2022,6227.48
November,Qtr 4,2022,7012.57
December,Qtr 4,2022,41594.13
January,Qtr 1,2023,54961.62
February,Qtr 1,2023,98452.36
March,Qtr 1,2023,22649.84
April,Qtr 2,2023,22577.74
May,Qtr 2,2023,16140.5
June,Qtr 2,2023,46192.2
July,Qtr 3,2023,74977.8
August,Qtr 3,2023,14634.6
September,Qtr 3,2023,22868.2
October,Qtr 4,2023,93493.1
November,Qtr 4,2023,34121.1
December,Qtr 4,2023,96197
January,Qtr 1,2024,61142.8
February,Qtr 1,2024,40456.7
March,Qtr 1,2024,13442.1
April,Qtr 2,2024,30749.5
May,Qtr 2,2024,7815.4
June,Qtr 2,2024,6809.1
July,Qtr 3,2024,97338.9
August,Qtr 3,2024,25481.2
September,Qtr 3,2024,19586
October,Qtr 4,2024,13596.4
November,Qtr 4,2024,76307.4
December,Qtr 4,2024,41382.4
January,Qtr 1,2020,9
February,Qtr 1,2020,4
March,Qtr 1,2020,7
April,Qtr 2,2020,9
May,Qtr 2,2020,7
June,Qtr 2,2020,0
July,Qtr 3,2020,4
August,Qtr 3,2020,1
September,Qtr 3,2020,5
October,Qtr 4,2020,1
November,Qtr 4,2020,7
December,Qtr 4,2020,7
January,Qtr 1,2021,8
February,Qtr 1,2021,9
March,Qtr 1,2021,2
April,Qtr 2,2021,0
May,Qtr 2,2021,9
June,Qtr 2,2021,7
July,Qtr 3,2021,9
August,Qtr 3,2021,4
September,Qtr 3,2021,0
October,Qtr 4,2021,7
November,Qtr 4,2021,0
December,Qtr 4,2021,4
January,Qtr 1,2022,7
February,Qtr 1,2022,0
March,Qtr 1,2022,3
April,Qtr 2,2022,8
May,Qtr 2,2022,2
June,Qtr 2,2022,23241.5
July,Qtr 3,2022,12142.7
August,Qtr 3,2022,73549.1
September,Qtr 3,2022,55957.4
October,Qtr 4,2022,66854.62
November,Qtr 4,2022,9263.73
December,Qtr 4,2022,31242.13
January,Qtr 1,2023,288245.18
February,Qtr 1,2023,80343.34
March,Qtr 1,2023,93769.51
April,Qtr 2,2023,99845.81
May,Qtr 2,2023,17000.77
June,Qtr 2,2023,90312.9
July,Qtr 3,2023,95730.54
August,Qtr 3,2023,48997.84
September,Qtr 3,2023,79995.73
October,Qtr 4,2023,46362.51
November,Qtr 4,2023,14319.97
December,Qtr 4,2023,11238.98
January,Qtr 1,2024,24467.89
February,Qtr 1,2024,55857.31
March,Qtr 1,2024,70164.87
April,Qtr 2,2024,76864.35
May,Qtr 2,2024,46915.6
June,Qtr 2,2024,9014.52
July,Qtr 3,2024,78207.52
August,Qtr 3,2024,72647.18
September,Qtr 3,2024,6669.99
October,Qtr 4,2024,92821.82
November,Qtr 4,2024,58751.52
December,Qtr 4,2024,5449.36
January,Qtr 1,2020,5
February,Qtr 1,2020,3
March,Qtr 1,2020,3
April,Qtr 2,2020,0
May,Qtr 2,2020,5
June,Qtr 2,2020,4
July,Qtr 3,2020,7
August,Qtr 3,2020,0
September,Qtr 3,2020,8
October,Qtr 4,2020,3
November,Qtr 4,2020,4
December,Qtr 4,2020,8
January,Qtr 1,2021,0
February,Qtr 1,2021,8
March,Qtr 1,2021,4
April,Qtr 2,2021,5
May,Qtr 2,2021,1
June,Qtr 2,2021,5
July,Qtr 3,2021,9
August,Qtr 3,2021,6
September,Qtr 3,2021,7
October,Qtr 4,2021,4
November,Qtr 4,2021,6
December,Qtr 4,2021,5
January,Qtr 1,2022,569.63
February,Qtr 1,2022,985869.38
March,Qtr 1,2022,728413.51
April,Qtr 2,2022,379926.04
May,Qtr 2,2022,585007.93
June,Qtr 2,2022,702034
July,Qtr 3,2022,908187.07
August,Qtr 3,2022,209133.37
September,Qtr 3,2022,766207.93
October,Qtr 4,2022,963216.5
November,Qtr 4,2022,2890370.67
December,Qtr 4,2022,7273659.6
January,Qtr 1,2023,7906282.59
February,Qtr 1,2023,9289083.5
March,Qtr 1,2023,4743571.77
April,Qtr 2,2023,3179185.53
May,Qtr 2,2023,3616853.18
June,Qtr 2,2023,5769381.76
July,Qtr 3,2023,8723086.71
August,Qtr 3,2023,4982690.48
September,Qtr 3,2023,1007374.53
October,Qtr 4,2023,4706247.64
November,Qtr 4,2023,8703299.05
December,Qtr 4,2023,785898.38
January,Qtr 1,2024,8590944.98
February,Qtr 1,2024,2453810.67
March,Qtr 1,2024,9604984.8
April,Qtr 2,2024,7454886.6
May,Qtr 2,2024,8249784.4
June,Qtr 2,2024,342693.01
July,Qtr 3,2024,8086651.56
August,Qtr 3,2024,9620785.3
September,Qtr 3,2024,7754894.58
October,Qtr 4,2024,6066854.97
November,Qtr 4,2024,314481.16
December,Qtr 4,2024,6336307.96
January,Qtr 1,2020,4
February,Qtr 1,2020,3
March,Qtr 1,2020,0
April,Qtr 2,2020,4
May,Qtr 2,2020,1
June,Qtr 2,2020,7
July,Qtr 3,2020,2
August,Qtr 3,2020,9
September,Qtr 3,2020,4
October,Qtr 4,2020,1
November,Qtr 4,2020,0
December,Qtr 4,2020,0
January,Qtr 1,2021,1
February,Qtr 1,2021,4
March,Qtr 1,2021,6
April,Qtr 2,2021,7
May,Qtr 2,2021,6
June,Qtr 2,2021,9
July,Qtr 3,2021,3
August,Qtr 3,2021,1
September,Qtr 3,2021,2
October,Qtr 4,2021,2
November,Qtr 4,2021,4
December,Qtr 4,2021,9
January,Qtr 1,2022,6361
February,Qtr 1,2022,704565.08
March,Qtr 1,2022,116425.47
April,Qtr 2,2022,124315.61
May,Qtr 2,2022,838280.54
June,Qtr 2,2022,944787.85
July,Qtr 3,2022,182127.24
August,Qtr 3,2022,6051295.86
September,Qtr 3,2022,6941376.18
October,Qtr 4,2022,3097321.81
November,Qtr 4,2022,1648649.43
December,Qtr 4,2022,507182.62
January,Qtr 1,2023,230854.6
February,Qtr 1,2023,8121318.65
March,Qtr 1,2023,6167527.73
April,Qtr 2,2023,5700326.3
May,Qtr 2,2023,2022471.4
June,Qtr 2,2023,2454846.8
July,Qtr 3,2023,9424060.8
August,Qtr 3,2023,7957887.89
September,Qtr 3,2023,3452834.29
October,Qtr 4,2023,5822976.68
November,Qtr 4,2023,4519663.19
December,Qtr 4,2023,7193408.28
January,Qtr 1,2024,3597671.49
February,Qtr 1,2024,4600448.5
March,Qtr 1,2024,5739110.81
April,Qtr 2,2024,1874904.65
May,Qtr 2,2024,551124.1
June,Qtr 2,2024,5675605.85
July,Qtr 3,2024,3311675.49
August,Qtr 3,2024,4880752.82
September,Qtr 3,2024,7795449.09
October,Qtr 4,2024,6630319.81
November,Qtr 4,2024,1628896.1
December,Qtr 4,2024,6930227.32
January,Qtr 1,2020,9
February,Qtr 1,2020,0
March,Qtr 1,2020,0
April,Qtr 2,2020,5
May,Qtr 2,2020,0
June,Qtr 2,2020,0
July,Qtr 3,2020,9
August,Qtr 3,2020,9
September,Qtr 3,2020,2
October,Qtr 4,2020,4
November,Qtr 4,2020,2
December,Qtr 4,2020,2
January,Qtr 1,2021,1
February,Qtr 1,2021,3
March,Qtr 1,2021,9
April,Qtr 2,2021,9
May,Qtr 2,2021,2
June,Qtr 2,2021,3
July,Qtr 3,2021,3
August,Qtr 3,2021,4
September,Qtr 3,2021,8
October,Qtr 4,2021,2
November,Qtr 4,2021,5
December,Qtr 4,2021,5
January,Qtr 1,2022,3
February,Qtr 1,2022,7
March,Qtr 1,2022,5
April,Qtr 2,2022,5
May,Qtr 2,2022,5
June,Qtr 2,2022,1
July,Qtr 3,2022,2
August,Qtr 3,2022,1
September,Qtr 3,2022,5439.32
October,Qtr 4,2022,10572.08
November,Qtr 4,2022,67548.29
December,Qtr 4,2022,57660.85
January,Qtr 1,2023,75132.24
February,Qtr 1,2023,54477.3
March,Qtr 1,2023,3518.81
April,Qtr 2,2023,36551.01
May,Qtr 2,2023,41708.52
June,Qtr 2,2023,82726.13
July,Qtr 3,2023,78751.16
August,Qtr 3,2023,41510.77
September,Qtr 3,2023,30873.32
October,Qtr 4,2023,55015.94
November,Qtr 4,2023,3117.01
December,Qtr 4,2023,97353.68
January,Qtr 1,2024,70385.67
February,Qtr 1,2024,59606.79
March,Qtr 1,2024,7001.67
April,Qtr 2,2024,25176.13
May,Qtr 2,2024,93141.22
June,Qtr 2,2024,37929.1
July,Qtr 3,2024,15550.36
August,Qtr 3,2024,37097.06
September,Qtr 3,2024,84405.67
October,Qtr 4,2024,91904.09
November,Qtr 4,2024,47894.76
December,Qtr 4,2024,83494.33
January,Qtr 1,2020,7
February,Qtr 1,2020,1
March,Qtr 1,2020,4
April,Qtr 2,2020,6
May,Qtr 2,2020,9
June,Qtr 2,2020,9
July,Qtr 3,2020,5
August,Qtr 3,2020,6
September,Qtr 3,2020,9
October,Qtr 4,2020,2
November,Qtr 4,2020,4
December,Qtr 4,2020,9
January,Qtr 1,2021,6
February,Qtr 1,2021,1
March,Qtr 1,2021,8
April,Qtr 2,2021,0
May,Qtr 2,2021,7
June,Qtr 2,2021,0
July,Qtr 3,2021,1
August,Qtr 3,2021,5
September,Qtr 3,2021,1
October,Qtr 4,2021,1
November,Qtr 4,2021,8
December,Qtr 4,2021,4
January,Qtr 1,2022,4
February,Qtr 1,2022,4
March,Qtr 1,2022,9
April,Qtr 2,2022,787.84
May,Qtr 2,2022,1974.27
June,Qtr 2,2022,227821.61
July,Qtr 3,2022,583020.68
August,Qtr 3,2022,143062.25
September,Qtr 3,2022,650654.46
October,Qtr 4,2022,9859882.21
November,Qtr 4,2022,3737027.62
December,Qtr 4,2022,5046907.05
January,Qtr 1,2023,7489362.12
February,Qtr 1,2023,4812446.56
March,Qtr 1,2023,7434845.91
April,Qtr 2,2023,1013774.58
May,Qtr 2,2023,4424455.61
June,Qtr 2,2023,8273218.35
July,Qtr 3,2023,4381030.18
