Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Order Date,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
South,Furniture,Furnishings,27 September 2020,,
West,Furniture,Furnishings,27 September 2020,,
Central,Furniture,Furnishings,28 September 2020,,
East,Furniture,Furnishings,28 September 2020,,
South,Furniture,Furnishings,28 September 2020,16.8544,337.088
West,Furniture,Furnishings,28 September 2020,,
Central,Furniture,Furnishings,29 September 2020,,
East,Furniture,Furnishings,29 September 2020,36.3816,117.36
South,Furniture,Furnishings,29 September 2020,,
West,Furniture,Furnishings,29 September 2020,56.1528,210.76
Central,Furniture,Furnishings,30 September 2020,,
East,Furniture,Furnishings,30 September 2020,5.1816,15.24
South,Furniture,Furnishings,30 September 2020,,
West,Furniture,Furnishings,30 September 2020,,
Central,Furniture,Furnishings,03 October 2020,-19.0656,31.776
East,Furniture,Furnishings,03 October 2020,,
South,Furniture,Furnishings,03 October 2020,,
West,Furniture,Furnishings,03 October 2020,,
Central,Furniture,Furnishings,07 October 2020,,
East,Furniture,Furnishings,07 October 2020,21.112,129.92
South,Furniture,Furnishings,07 October 2020,,
West,Furniture,Furnishings,07 October 2020,,
Central,Furniture,Furnishings,10 October 2020,,
East,Furniture,Furnishings,10 October 2020,,
South,Furniture,Furnishings,10 October 2020,,
West,Furniture,Furnishings,10 October 2020,3.5154,46.872
Central,Furniture,Furnishings,11 October 2020,,
East,Furniture,Furnishings,11 October 2020,,
South,Furniture,Furnishings,11 October 2020,3.9248,8.92
West,Furniture,Furnishings,11 October 2020,19.041,63.47
Central,Furniture,Furnishings,15 October 2020,,
East,Furniture,Furnishings,15 October 2020,,
South,Furniture,Furnishings,15 October 2020,4.0383,15.384
West,Furniture,Furnishings,15 October 2020,,
Central,Furniture,Furnishings,17 October 2020,-1.5936,5.312
East,Furniture,Furnishings,17 October 2020,,
South,Furniture,Furnishings,17 October 2020,,
West,Furniture,Furnishings,17 October 2020,,
Central,Furniture,Furnishings,22 October 2020,,
East,Furniture,Furnishings,22 October 2020,12.9096,93.888
South,Furniture,Furnishings,22 October 2020,10.3936,129.92
West,Furniture,Furnishings,22 October 2020,,
Central,Furniture,Furnishings,26 October 2020,,
East,Furniture,Furnishings,26 October 2020,,
South,Furniture,Furnishings,26 October 2020,,
West,Furniture,Furnishings,26 October 2020,3.196,63.92
Central,Furniture,Furnishings,31 October 2020,,
East,Furniture,Furnishings,31 October 2020,12.0552,32.43
South,Furniture,Furnishings,31 October 2020,,
West,Furniture,Furnishings,31 October 2020,,
Central,Furniture,Furnishings,01 November 2020,,
East,Furniture,Furnishings,01 November 2020,26.138,100.384
South,Furniture,Furnishings,01 November 2020,,
West,Furniture,Furnishings,01 November 2020,,
Central,Furniture,Furnishings,02 November 2020,,
East,Furniture,Furnishings,02 November 2020,24.1218,89.34
South,Furniture,Furnishings,02 November 2020,,
West,Furniture,Furnishings,02 November 2020,,
Central,Furniture,Furnishings,03 November 2020,,
East,Furniture,Furnishings,03 November 2020,,
South,Furniture,Furnishings,03 November 2020,-51.294,410.352
West,Furniture,Furnishings,03 November 2020,,
Central,Furniture,Furnishings,04 November 2020,,
East,Furniture,Furnishings,04 November 2020,,
South,Furniture,Furnishings,04 November 2020,,
West,Furniture,Furnishings,04 November 2020,13.4292,35.34
Central,Furniture,Furnishings,05 November 2020,,
East,Furniture,Furnishings,05 November 2020,-34.196,273.568
South,Furniture,Furnishings,05 November 2020,,
West,Furniture,Furnishings,05 November 2020,8.8176,20.04
Central,Furniture,Furnishings,09 November 2020,,
East,Furniture,Furnishings,09 November 2020,21.4776,56.52
South,Furniture,Furnishings,09 November 2020,,
West,Furniture,Furnishings,09 November 2020,,
Central,Furniture,Furnishings,10 November 2020,,
East,Furniture,Furnishings,10 November 2020,,
South,Furniture,Furnishings,10 November 2020,,
West,Furniture,Furnishings,10 November 2020,26.0624,93.08
Central,Furniture,Furnishings,11 November 2020,-7.9634,10.984
East,Furniture,Furnishings,11 November 2020,7.7896,23.968
South,Furniture,Furnishings,11 November 2020,,
West,Furniture,Furnishings,11 November 2020,,
Central,Furniture,Furnishings,12 November 2020,-6.9102,25.128
East,Furniture,Furnishings,12 November 2020,,
South,Furniture,Furnishings,12 November 2020,,
West,Furniture,Furnishings,12 November 2020,,
Central,Furniture,Furnishings,15 November 2020,,
East,Furniture,Furnishings,15 November 2020,,
South,Furniture,Furnishings,15 November 2020,,
West,Furniture,Furnishings,15 November 2020,3.2352,10.11
Central,Furniture,Furnishings,17 November 2020,,
East,Furniture,Furnishings,17 November 2020,14.9292,124.41
South,Furniture,Furnishings,17 November 2020,,
West,Furniture,Furnishings,17 November 2020,,
Central,Furniture,Furnishings,18 November 2020,-7.476,8.544
East,Furniture,Furnishings,18 November 2020,5.2773,60.312
South,Furniture,Furnishings,18 November 2020,,
West,Furniture,Furnishings,18 November 2020,55.016,137.54
Central,Furniture,Furnishings,23 November 2020,-2.5472,6.368
East,Furniture,Furnishings,23 November 2020,,
South,Furniture,Furnishings,23 November 2020,,
West,Furniture,Furnishings,23 November 2020,,
Central,Furniture,Furnishings,24 November 2020,,
East,Furniture,Furnishings,24 November 2020,9.6712,35.168
South,Furniture,Furnishings,24 November 2020,48.906,111.15
West,Furniture,Furnishings,24 November 2020,27.3096,151.72
Central,Furniture,Furnishings,25 November 2020,-3.9624,6.096
East,Furniture,Furnishings,25 November 2020,20.1248,52.96
South,Furniture,Furnishings,25 November 2020,,
West,Furniture,Furnishings,25 November 2020,10.5072,23.88
Central,Furniture,Furnishings,26 November 2020,-14.475,19.3
East,Furniture,Furnishings,26 November 2020,,
South,Furniture,Furnishings,26 November 2020,,
West,Furniture,Furnishings,26 November 2020,,
Central,Furniture,Furnishings,27 November 2020,,
East,Furniture,Furnishings,27 November 2020,39.98,199.9
South,Furniture,Furnishings,27 November 2020,,
West,Furniture,Furnishings,27 November 2020,,
Central,Furniture,Furnishings,28 November 2020,,
East,Furniture,Furnishings,28 November 2020,,
South,Furniture,Furnishings,28 November 2020,43.736,397.6
West,Furniture,Furnishings,28 November 2020,,
Central,Furniture,Furnishings,01 December 2020,,
East,Furniture,Furnishings,01 December 2020,20.2486,63.788
South,Furniture,Furnishings,01 December 2020,,
West,Furniture,Furnishings,01 December 2020,28.518,58.2
Central,Furniture,Furnishings,02 December 2020,-48.779,98.32
East,Furniture,Furnishings,02 December 2020,23.6808,60.72
South,Furniture,Furnishings,02 December 2020,,
West,Furniture,Furnishings,02 December 2020,,
Central,Furniture,Furnishings,06 December 2020,-19.2348,34.752
East,Furniture,Furnishings,06 December 2020,,
South,Furniture,Furnishings,06 December 2020,,
West,Furniture,Furnishings,06 December 2020,,
Central,Furniture,Furnishings,08 December 2020,,
East,Furniture,Furnishings,08 December 2020,,
South,Furniture,Furnishings,08 December 2020,,
West,Furniture,Furnishings,08 December 2020,39.7648,119.32
Central,Furniture,Furnishings,12 December 2020,,
East,Furniture,Furnishings,12 December 2020,,
South,Furniture,Furnishings,12 December 2020,,
West,Furniture,Furnishings,12 December 2020,13.2806,65.09
Central,Furniture,Furnishings,13 December 2020,-42.4926,94.428
East,Furniture,Furnishings,13 December 2020,,
South,Furniture,Furnishings,13 December 2020,,
West,Furniture,Furnishings,13 December 2020,7.6965,87.96
Central,Furniture,Furnishings,15 December 2020,-7.476,8.544
East,Furniture,Furnishings,15 December 2020,,
South,Furniture,Furnishings,15 December 2020,,
West,Furniture,Furnishings,15 December 2020,1.9712,6.16
Central,Furniture,Furnishings,16 December 2020,-77.5398,65.192
East,Furniture,Furnishings,16 December 2020,,
South,Furniture,Furnishings,16 December 2020,9.7218,29.46
West,Furniture,Furnishings,16 December 2020,14.6718,44.46
Central,Furniture,Furnishings,20 December 2020,,
East,Furniture,Furnishings,20 December 2020,-21.4704,190.848
South,Furniture,Furnishings,20 December 2020,,
West,Furniture,Furnishings,20 December 2020,10.3936,51.968
Central,Furniture,Furnishings,24 December 2020,,
East,Furniture,Furnishings,24 December 2020,8.7285,30.36
South,Furniture,Furnishings,24 December 2020,,
West,Furniture,Furnishings,24 December 2020,5.5177,23.99
Central,Furniture,Furnishings,26 December 2020,,
East,Furniture,Furnishings,26 December 2020,,
South,Furniture,Furnishings,26 December 2020,,
West,Furniture,Furnishings,26 December 2020,55.4082,522.248
Central,Furniture,Furnishings,27 December 2020,-19.7712,32.952
East,Furniture,Furnishings,27 December 2020,-18.2352,182.352
South,Furniture,Furnishings,27 December 2020,,
West,Furniture,Furnishings,27 December 2020,,
Central,Furniture,Furnishings,29 December 2020,-55.4736,47.712
East,Furniture,Furnishings,29 December 2020,,
South,Furniture,Furnishings,29 December 2020,,
West,Furniture,Furnishings,29 December 2020,32.2074,95.46
Central,Furniture,Furnishings,31 December 2020,,
East,Furniture,Furnishings,31 December 2020,23.384,63.2
South,Furniture,Furnishings,31 December 2020,,
West,Furniture,Furnishings,31 December 2020,,
Central,Furniture,Furnishings,04 January 2021,,
East,Furniture,Furnishings,04 January 2021,,
South,Furniture,Furnishings,04 January 2021,69.1992,192.22
West,Furniture,Furnishings,04 January 2021,,
Central,Furniture,Furnishings,13 January 2021,,
East,Furniture,Furnishings,13 January 2021,,
South,Furniture,Furnishings,13 January 2021,,
West,Furniture,Furnishings,13 January 2021,130.994,542.45
Central,Furniture,Furnishings,17 January 2021,-312.0614,254.744
East,Furniture,Furnishings,17 January 2021,,
South,Furniture,Furnishings,17 January 2021,,
West,Furniture,Furnishings,17 January 2021,,
Central,Furniture,Furnishings,30 January 2021,,
East,Furniture,Furnishings,30 January 2021,,
South,Furniture,Furnishings,30 January 2021,,
West,Furniture,Furnishings,30 January 2021,81.8496,227.36
Central,Furniture,Furnishings,31 January 2021,16.5354,53.34
East,Furniture,Furnishings,31 January 2021,,
South,Furniture,Furnishings,31 January 2021,,
West,Furniture,Furnishings,31 January 2021,,
Central,Furniture,Furnishings,03 February 2021,11.076,28.4
East,Furniture,Furnishings,03 February 2021,,
South,Furniture,Furnishings,03 February 2021,,
West,Furniture,Furnishings,03 February 2021,41.076,136.92
Central,Furniture,Furnishings,09 February 2021,-30.588,40.784
East,Furniture,Furnishings,09 February 2021,,
South,Furniture,Furnishings,09 February 2021,,
West,Furniture,Furnishings,09 February 2021,,
Central,Furniture,Furnishings,05 March 2021,-1.8848,4.712
East,Furniture,Furnishings,05 March 2021,-5.4548,33.568
South,Furniture,Furnishings,05 March 2021,,
West,Furniture,Furnishings,05 March 2021,,
Central,Furniture,Furnishings,06 March 2021,,
East,Furniture,Furnishings,06 March 2021,,
South,Furniture,Furnishings,06 March 2021,,
West,Furniture,Furnishings,06 March 2021,95.7572,435.26
Central,Furniture,Furnishings,08 March 2021,82.0776,373.08
East,Furniture,Furnishings,08 March 2021,,
South,Furniture,Furnishings,08 March 2021,,
West,Furniture,Furnishings,08 March 2021,,
Central,Furniture,Furnishings,12 March 2021,,
East,Furniture,Furnishings,12 March 2021,,
South,Furniture,Furnishings,12 March 2021,5.3018,37.288
West,Furniture,Furnishings,12 March 2021,,
Central,Furniture,Furnishings,13 March 2021,,
East,Furniture,Furnishings,13 March 2021,,
South,Furniture,Furnishings,13 March 2021,,
West,Furniture,Furnishings,13 March 2021,91.7728,327.76
Central,Furniture,Furnishings,16 March 2021,,
East,Furniture,Furnishings,16 March 2021,,
South,Furniture,Furnishings,16 March 2021,,
West,Furniture,Furnishings,16 March 2021,18.1146,43.13
Central,Furniture,Furnishings,22 March 2021,,
East,Furniture,Furnishings,22 March 2021,,
South,Furniture,Furnishings,22 March 2021,,
West,Furniture,Furnishings,22 March 2021,15.6332,91.96
Central,Furniture,Furnishings,24 March 2021,,
East,Furniture,Furnishings,24 March 2021,,
South,Furniture,Furnishings,24 March 2021,,
West,Furniture,Furnishings,24 March 2021,13.132,46.9
Central,Furniture,Furnishings,29 March 2021,,
East,Furniture,Furnishings,29 March 2021,,
South,Furniture,Furnishings,29 March 2021,,
West,Furniture,Furnishings,29 March 2021,9.5616,19.92
Central,Furniture,Furnishings,31 March 2021,-7.833,22.38
East,Furniture,Furnishings,31 March 2021,,
South,Furniture,Furnishings,31 March 2021,,
West,Furniture,Furnishings,31 March 2021,,
Central,Furniture,Furnishings,04 April 2021,,
East,Furniture,Furnishings,04 April 2021,22.764,108.4
South,Furniture,Furnishings,04 April 2021,,
West,Furniture,Furnishings,04 April 2021,,
Central,Furniture,Furnishings,05 April 2021,,
East,Furniture,Furnishings,05 April 2021,-66.022,554.72
South,Furniture,Furnishings,05 April 2021,,
West,Furniture,Furnishings,05 April 2021,,
Central,Furniture,Furnishings,11 April 2021,,
East,Furniture,Furnishings,11 April 2021,,
South,Furniture,Furnishings,11 April 2021,24.4176,121.888
West,Furniture,Furnishings,11 April 2021,,
Central,Furniture,Furnishings,13 April 2021,,
East,Furniture,Furnishings,13 April 2021,,
South,Furniture,Furnishings,13 April 2021,,
West,Furniture,Furnishings,13 April 2021,15.8256,37.68
Central,Furniture,Furnishings,16 April 2021,,
East,Furniture,Furnishings,16 April 2021,,
South,Furniture,Furnishings,16 April 2021,119.686,1196.86
West,Furniture,Furnishings,16 April 2021,,
Central,Furniture,Furnishings,18 April 2021,2.9568,6.16
East,Furniture,Furnishings,18 April 2021,,
South,Furniture,Furnishings,18 April 2021,,
West,Furniture,Furnishings,18 April 2021,,
Central,Furniture,Furnishings,20 April 2021,,
East,Furniture,Furnishings,20 April 2021,,
South,Furniture,Furnishings,20 April 2021,297.69,595.38
West,Furniture,Furnishings,20 April 2021,,
Central,Furniture,Furnishings,21 April 2021,,
East,Furniture,Furnishings,21 April 2021,,
South,Furniture,Furnishings,21 April 2021,35.6796,209.88
West,Furniture,Furnishings,21 April 2021,,
Central,Furniture,Furnishings,26 April 2021,,
East,Furniture,Furnishings,26 April 2021,,
South,Furniture,Furnishings,26 April 2021,1.213,97.04
West,Furniture,Furnishings,26 April 2021,,
Central,Furniture,Furnishings,30 April 2021,,
East,Furniture,Furnishings,30 April 2021,27.429,65.18
South,Furniture,Furnishings,30 April 2021,,
West,Furniture,Furnishings,30 April 2021,,
Central,Furniture,Furnishings,01 May 2021,,
East,Furniture,Furnishings,01 May 2021,,
South,Furniture,Furnishings,01 May 2021,14.2992,63.552
West,Furniture,Furnishings,01 May 2021,,
Central,Furniture,Furnishings,03 May 2021,,
East,Furniture,Furnishings,03 May 2021,,
South,Furniture,Furnishings,03 May 2021,,
West,Furniture,Furnishings,03 May 2021,106.5408,665.88
Central,Furniture,Furnishings,04 May 2021,-8.9152,22.288
East,Furniture,Furnishings,04 May 2021,12.864,26.8
South,Furniture,Furnishings,04 May 2021,,
West,Furniture,Furnishings,04 May 2021,,
Central,Furniture,Furnishings,08 May 2021,11.1564,123.96
East,Furniture,Furnishings,08 May 2021,31.44,87.792
South,Furniture,Furnishings,08 May 2021,,
West,Furniture,Furnishings,08 May 2021,,
Central,Furniture,Furnishings,12 May 2021,-15.9268,21.968
East,Furniture,Furnishings,12 May 2021,,
South,Furniture,Furnishings,12 May 2021,,
West,Furniture,Furnishings,12 May 2021,,
Central,Furniture,Furnishings,14 May 2021,,
East,Furniture,Furnishings,14 May 2021,,
South,Furniture,Furnishings,14 May 2021,,
West,Furniture,Furnishings,14 May 2021,34.4148,122.91
Central,Furniture,Furnishings,20 May 2021,,
East,Furniture,Furnishings,20 May 2021,,
South,Furniture,Furnishings,20 May 2021,20.392,163.136
West,Furniture,Furnishings,20 May 2021,,
Central,Furniture,Furnishings,23 May 2021,19.5858,75.33
East,Furniture,Furnishings,23 May 2021,,
South,Furniture,Furnishings,23 May 2021,,
West,Furniture,Furnishings,23 May 2021,,
Central,Furniture,Furnishings,25 May 2021,,
East,Furniture,Furnishings,25 May 2021,,
South,Furniture,Furnishings,25 May 2021,,
West,Furniture,Furnishings,25 May 2021,4.8609,14.73
Central,Furniture,Furnishings,26 May 2021,,
East,Furniture,Furnishings,26 May 2021,,
South,Furniture,Furnishings,26 May 2021,,
West,Furniture,Furnishings,26 May 2021,7.8936,20.24
Central,Furniture,Furnishings,29 May 2021,,
East,Furniture,Furnishings,29 May 2021,-4.1568,41.568
South,Furniture,Furnishings,29 May 2021,,
West,Furniture,Furnishings,29 May 2021,,
Central,Furniture,Furnishings,31 May 2021,-61.872,51.56
East,Furniture,Furnishings,31 May 2021,12.0828,30.48
South,Furniture,Furnishings,31 May 2021,,
West,Furniture,Furnishings,31 May 2021,,
Central,Furniture,Furnishings,04 June 2021,,
East,Furniture,Furnishings,04 June 2021,11.9952,35.28
South,Furniture,Furnishings,04 June 2021,,
West,Furniture,Furnishings,04 June 2021,,
Central,Furniture,Furnishings,08 June 2021,,
East,Furniture,Furnishings,08 June 2021,,
South,Furniture,Furnishings,08 June 2021,45.4671,173.208
West,Furniture,Furnishings,08 June 2021,,
Central,Furniture,Furnishings,09 June 2021,,
East,Furniture,Furnishings,09 June 2021,,
South,Furniture,Furnishings,09 June 2021,,
West,Furniture,Furnishings,09 June 2021,92.3936,355.36
Central,Furniture,Furnishings,11 June 2021,,
East,Furniture,Furnishings,11 June 2021,,
South,Furniture,Furnishings,11 June 2021,18.09,77.832
West,Furniture,Furnishings,11 June 2021,,
Central,Furniture,Furnishings,12 June 2021,,
East,Furniture,Furnishings,12 June 2021,4.3296,43.296
South,Furniture,Furnishings,12 June 2021,,
West,Furniture,Furnishings,12 June 2021,,
Central,Furniture,Furnishings,14 June 2021,,
East,Furniture,Furnishings,14 June 2021,5.1072,51.072
South,Furniture,Furnishings,14 June 2021,,
West,Furniture,Furnishings,14 June 2021,,
Central,Furniture,Furnishings,15 June 2021,,
East,Furniture,Furnishings,15 June 2021,,
South,Furniture,Furnishings,15 June 2021,,
West,Furniture,Furnishings,15 June 2021,-25.4,404.96
Central,Furniture,Furnishings,18 June 2021,,
East,Furniture,Furnishings,18 June 2021,,
South,Furniture,Furnishings,18 June 2021,19.4688,60.84
West,Furniture,Furnishings,18 June 2021,20.724,75.36
Central,Furniture,Furnishings,19 June 2021,,
East,Furniture,Furnishings,19 June 2021,,
South,Furniture,Furnishings,19 June 2021,,
West,Furniture,Furnishings,19 June 2021,4.0192,12.56
Central,Furniture,Furnishings,20 June 2021,,
East,Furniture,Furnishings,20 June 2021,,
South,Furniture,Furnishings,20 June 2021,,
West,Furniture,Furnishings,20 June 2021,100.4796,257.64
Central,Furniture,Furnishings,23 June 2021,,
East,Furniture,Furnishings,23 June 2021,,
South,Furniture,Furnishings,23 June 2021,9.3228,27.42
West,Furniture,Furnishings,23 June 2021,,
Central,Furniture,Furnishings,25 June 2021,-20.7306,75.384
East,Furniture,Furnishings,25 June 2021,,
South,Furniture,Furnishings,25 June 2021,,
West,Furniture,Furnishings,25 June 2021,57.358,204.85
Central,Furniture,Furnishings,28 June 2021,,
East,Furniture,Furnishings,28 June 2021,,
South,Furniture,Furnishings,28 June 2021,,
West,Furniture,Furnishings,28 June 2021,46.632,621.76
Central,Furniture,Furnishings,29 June 2021,,
East,Furniture,Furnishings,29 June 2021,1.7591,20.104
South,Furniture,Furnishings,29 June 2021,,
West,Furniture,Furnishings,29 June 2021,,
Central,Furniture,Furnishings,02 July 2021,,
East,Furniture,Furnishings,02 July 2021,,
South,Furniture,Furnishings,02 July 2021,45.954,159.84
West,Furniture,Furnishings,02 July 2021,,
Central,Furniture,Furnishings,03 July 2021,,
East,Furniture,Furnishings,03 July 2021,27.0964,451.352
South,Furniture,Furnishings,03 July 2021,,
West,Furniture,Furnishings,03 July 2021,,
Central,Furniture,Furnishings,05 July 2021,,
East,Furniture,Furnishings,05 July 2021,,
South,Furniture,Furnishings,05 July 2021,1.4784,9.856
West,Furniture,Furnishings,05 July 2021,,
Central,Furniture,Furnishings,06 July 2021,,
East,Furniture,Furnishings,06 July 2021,70.587,169.78
South,Furniture,Furnishings,06 July 2021,,
West,Furniture,Furnishings,06 July 2021,,
Central,Furniture,Furnishings,09 July 2021,,
East,Furniture,Furnishings,09 July 2021,20.0156,181.96
South,Furniture,Furnishings,09 July 2021,,
West,Furniture,Furnishings,09 July 2021,,
Central,Furniture,Furnishings,11 July 2021,,
East,Furniture,Furnishings,11 July 2021,39.7098,315.144
South,Furniture,Furnishings,11 July 2021,,
West,Furniture,Furnishings,11 July 2021,,
Central,Furniture,Furnishings,12 July 2021,-2.134,7.76
East,Furniture,Furnishings,12 July 2021,,
South,Furniture,Furnishings,12 July 2021,,
West,Furniture,Furnishings,12 July 2021,,
Central,Furniture,Furnishings,18 July 2021,,
East,Furniture,Furnishings,18 July 2021,2.1402,7.38
South,Furniture,Furnishings,18 July 2021,,
West,Furniture,Furnishings,18 July 2021,,
Central,Furniture,Furnishings,23 July 2021,,
East,Furniture,Furnishings,23 July 2021,50.2398,128.82
South,Furniture,Furnishings,23 July 2021,,
West,Furniture,Furnishings,23 July 2021,,
Central,Furniture,Furnishings,24 July 2021,,
East,Furniture,Furnishings,24 July 2021,,
South,Furniture,Furnishings,24 July 2021,6.0726,20.94
West,Furniture,Furnishings,24 July 2021,,
Central,Furniture,Furnishings,30 July 2021,,
East,Furniture,Furnishings,30 July 2021,,
South,Furniture,Furnishings,30 July 2021,,
West,Furniture,Furnishings,30 July 2021,2.3232,5.28
Central,Furniture,Furnishings,05 August 2021,-11.439,14.76
East,Furniture,Furnishings,05 August 2021,,
South,Furniture,Furnishings,05 August 2021,,
West,Furniture,Furnishings,05 August 2021,,
Central,Furniture,Furnishings,07 August 2021,34.0704,212.94
East,Furniture,Furnishings,07 August 2021,,
South,Furniture,Furnishings,07 August 2021,,
West,Furniture,Furnishings,07 August 2021,,
Central,Furniture,Furnishings,09 August 2021,,
East,Furniture,Furnishings,09 August 2021,25.7112,63.22
South,Furniture,Furnishings,09 August 2021,,
West,Furniture,Furnishings,09 August 2021,,
Central,Furniture,Furnishings,11 August 2021,,
East,Furniture,Furnishings,11 August 2021,,
South,Furniture,Furnishings,11 August 2021,12.1149,46.152
West,Furniture,Furnishings,11 August 2021,,
Central,Furniture,Furnishings,13 August 2021,,
East,Furniture,Furnishings,13 August 2021,,
South,Furniture,Furnishings,13 August 2021,,
West,Furniture,Furnishings,13 August 2021,10.4148,31.56
Central,Furniture,Furnishings,15 August 2021,,
East,Furniture,Furnishings,15 August 2021,,
South,Furniture,Furnishings,15 August 2021,,
West,Furniture,Furnishings,15 August 2021,28.1421,104.23
Central,Furniture,Furnishings,16 August 2021,,
East,Furniture,Furnishings,16 August 2021,0,254.352
South,Furniture,Furnishings,16 August 2021,,
West,Furniture,Furnishings,16 August 2021,,
Central,Furniture,Furnishings,21 August 2021,,
East,Furniture,Furnishings,21 August 2021,-3.8976,25.984
South,Furniture,Furnishings,21 August 2021,,
West,Furniture,Furnishings,21 August 2021,,
Central,Furniture,Furnishings,24 August 2021,,
East,Furniture,Furnishings,24 August 2021,4.6221,14.91
South,Furniture,Furnishings,24 August 2021,,
West,Furniture,Furnishings,24 August 2021,,
Central,Furniture,Furnishings,25 August 2021,-20.5258,27.984
East,Furniture,Furnishings,25 August 2021,,
South,Furniture,Furnishings,25 August 2021,,
West,Furniture,Furnishings,25 August 2021,,
Central,Furniture,Furnishings,28 August 2021,,
East,Furniture,Furnishings,28 August 2021,,
South,Furniture,Furnishings,28 August 2021,,
West,Furniture,Furnishings,28 August 2021,1.7472,4.16
Central,Furniture,Furnishings,01 September 2021,,
East,Furniture,Furnishings,01 September 2021,27.3592,124.36
South,Furniture,Furnishings,01 September 2021,,
West,Furniture,Furnishings,01 September 2021,,
Central,Furniture,Furnishings,03 September 2021,,
East,Furniture,Furnishings,03 September 2021,,
South,Furniture,Furnishings,03 September 2021,,
West,Furniture,Furnishings,03 September 2021,89.307,238.152
Central,Furniture,Furnishings,05 September 2021,2.9568,6.16
East,Furniture,Furnishings,05 September 2021,,
South,Furniture,Furnishings,05 September 2021,12.2328,67.96
West,Furniture,Furnishings,05 September 2021,,
Central,Furniture,Furnishings,06 September 2021,,
East,Furniture,Furnishings,06 September 2021,,
South,Furniture,Furnishings,06 September 2021,,
West,Furniture,Furnishings,06 September 2021,74.8098,191.82
Central,Furniture,Furnishings,08 September 2021,,
East,Furniture,Furnishings,08 September 2021,,
South,Furniture,Furnishings,08 September 2021,8.1168,21.36
West,Furniture,Furnishings,08 September 2021,,
Central,Furniture,Furnishings,10 September 2021,,
East,Furniture,Furnishings,10 September 2021,,
South,Furniture,Furnishings,10 September 2021,,
West,Furniture,Furnishings,10 September 2021,33.0708,106.68
Central,Furniture,Furnishings,11 September 2021,,
East,Furniture,Furnishings,11 September 2021,54.488,219.6
South,Furniture,Furnishings,11 September 2021,,
West,Furniture,Furnishings,11 September 2021,4.004,24.64
Central,Furniture,Furnishings,13 September 2021,,
East,Furniture,Furnishings,13 September 2021,,
South,Furniture,Furnishings,13 September 2021,12.993,129.93
West,Furniture,Furnishings,13 September 2021,92.3325,383.9
Central,Furniture,Furnishings,15 September 2021,,
East,Furniture,Furnishings,15 September 2021,,
South,Furniture,Furnishings,15 September 2021,0.4544,71.68
West,Furniture,Furnishings,15 September 2021,,
Central,Furniture,Furnishings,17 September 2021,-10.4196,21.936
East,Furniture,Furnishings,17 September 2021,15.525,124.2
South,Furniture,Furnishings,17 September 2021,,
West,Furniture,Furnishings,17 September 2021,,
Central,Furniture,Furnishings,18 September 2021,,
East,Furniture,Furnishings,18 September 2021,,
South,Furniture,Furnishings,18 September 2021,,
West,Furniture,Furnishings,18 September 2021,10.248,24.4
Central,Furniture,Furnishings,19 September 2021,,
East,Furniture,Furnishings,19 September 2021,,
South,Furniture,Furnishings,19 September 2021,,
West,Furniture,Furnishings,19 September 2021,19.4688,60.84
Central,Furniture,Furnishings,21 September 2021,-1.4784,4.928
East,Furniture,Furnishings,21 September 2021,14.501,85.3
South,Furniture,Furnishings,21 September 2021,,
West,Furniture,Furnishings,21 September 2021,,
Central,Furniture,Furnishings,22 September 2021,,
East,Furniture,Furnishings,22 September 2021,,
South,Furniture,Furnishings,22 September 2021,11.0354,47.98
West,Furniture,Furnishings,22 September 2021,53.196,204.6
Central,Furniture,Furnishings,24 September 2021,,
East,Furniture,Furnishings,24 September 2021,,
South,Furniture,Furnishings,24 September 2021,,
West,Furniture,Furnishings,24 September 2021,4.6221,14.91
Central,Furniture,Furnishings,27 September 2021,-12.7512,24.288
East,Furniture,Furnishings,27 September 2021,,
South,Furniture,Furnishings,27 September 2021,,
West,Furniture,Furnishings,27 September 2021,,
Central,Furniture,Furnishings,02 October 2021,,
East,Furniture,Furnishings,02 October 2021,,
South,Furniture,Furnishings,02 October 2021,,
West,Furniture,Furnishings,02 October 2021,3.0338,11.032
Central,Furniture,Furnishings,04 October 2021,,
East,Furniture,Furnishings,04 October 2021,6.4944,64.944
South,Furniture,Furnishings,04 October 2021,,
West,Furniture,Furnishings,04 October 2021,,
Central,Furniture,Furnishings,08 October 2021,-70.9605,72.78
East,Furniture,Furnishings,08 October 2021,,
South,Furniture,Furnishings,08 October 2021,,
West,Furniture,Furnishings,08 October 2021,62.737,145.9
Central,Furniture,Furnishings,15 October 2021,-89.0772,148.516
East,Furniture,Furnishings,15 October 2021,,
South,Furniture,Furnishings,15 October 2021,,
West,Furniture,Furnishings,15 October 2021,,
Central,Furniture,Furnishings,18 October 2021,,
East,Furniture,Furnishings,18 October 2021,,
South,Furniture,Furnishings,18 October 2021,,
West,Furniture,Furnishings,18 October 2021,3.2352,10.11
Central,Furniture,Furnishings,20 October 2021,,
East,Furniture,Furnishings,20 October 2021,,
South,Furniture,Furnishings,20 October 2021,,
West,Furniture,Furnishings,20 October 2021,30.0108,90.78
Central,Furniture,Furnishings,28 October 2021,,
East,Furniture,Furnishings,28 October 2021,,
South,Furniture,Furnishings,28 October 2021,22.0709,57.21
West,Furniture,Furnishings,28 October 2021,,
