Retail Orders.Order Date.Variation.Date Hierarchy.Day,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Sales)
27,November,Qtr 4,2022,Furniture,65.78
28,November,Qtr 4,2022,Furniture,4659.14
29,November,Qtr 4,2022,Furniture,491.888
30,November,Qtr 4,2022,Furniture,4129.728
1,December,Qtr 4,2022,Furniture,37.68
3,December,Qtr 4,2022,Furniture,
4,December,Qtr 4,2022,Furniture,
5,December,Qtr 4,2022,Furniture,328.33
6,December,Qtr 4,2022,Furniture,1337.124
7,December,Qtr 4,2022,Furniture,
8,December,Qtr 4,2022,Furniture,1834.82
9,December,Qtr 4,2022,Furniture,8.36
10,December,Qtr 4,2022,Furniture,3123.328
11,December,Qtr 4,2022,Furniture,250.304
13,December,Qtr 4,2022,Furniture,489.016
14,December,Qtr 4,2022,Furniture,1852.532
15,December,Qtr 4,2022,Furniture,22.77
16,December,Qtr 4,2022,Furniture,197.712
17,December,Qtr 4,2022,Furniture,629.26
18,December,Qtr 4,2022,Furniture,1380.681
19,December,Qtr 4,2022,Furniture,115.378
20,December,Qtr 4,2022,Furniture,
21,December,Qtr 4,2022,Furniture,15.92
22,December,Qtr 4,2022,Furniture,4086.456
23,December,Qtr 4,2022,Furniture,282.114
24,December,Qtr 4,2022,Furniture,1393.494
25,December,Qtr 4,2022,Furniture,832.454
26,December,Qtr 4,2022,Furniture,
27,December,Qtr 4,2022,Furniture,
28,December,Qtr 4,2022,Furniture,551.2568
29,December,Qtr 4,2022,Furniture,2330.718
30,December,Qtr 4,2022,Furniture,323.136
2,January,Qtr 1,2023,Furniture,
3,January,Qtr 1,2023,Furniture,1893.995
4,January,Qtr 1,2023,Furniture,
6,January,Qtr 1,2023,Furniture,2024.06
7,January,Qtr 1,2023,Furniture,
8,January,Qtr 1,2023,Furniture,44.128
9,January,Qtr 1,2023,Furniture,
10,January,Qtr 1,2023,Furniture,
11,January,Qtr 1,2023,Furniture,100.384
12,January,Qtr 1,2023,Furniture,4513.606
13,January,Qtr 1,2023,Furniture,879.939
14,January,Qtr 1,2023,Furniture,61.96
15,January,Qtr 1,2023,Furniture,
16,January,Qtr 1,2023,Furniture,127.104
18,January,Qtr 1,2023,Furniture,
19,January,Qtr 1,2023,Furniture,181.47
20,January,Qtr 1,2023,Furniture,1413.51
21,January,Qtr 1,2023,Furniture,25.248
23,January,Qtr 1,2023,Furniture,
26,January,Qtr 1,2023,Furniture,217.2
27,January,Qtr 1,2023,Furniture,333
28,January,Qtr 1,2023,Furniture,
30,January,Qtr 1,2023,Furniture,
31,January,Qtr 1,2023,Furniture,290.666
2,February,Qtr 1,2023,Furniture,
3,February,Qtr 1,2023,Furniture,
4,February,Qtr 1,2023,Furniture,177.68
5,February,Qtr 1,2023,Furniture,
6,February,Qtr 1,2023,Furniture,73.32
7,February,Qtr 1,2023,Furniture,
8,February,Qtr 1,2023,Furniture,
9,February,Qtr 1,2023,Furniture,70.71
10,February,Qtr 1,2023,Furniture,
11,February,Qtr 1,2023,Furniture,89.34
12,February,Qtr 1,2023,Furniture,1282.8
14,February,Qtr 1,2023,Furniture,
15,February,Qtr 1,2023,Furniture,
16,February,Qtr 1,2023,Furniture,
17,February,Qtr 1,2023,Furniture,
18,February,Qtr 1,2023,Furniture,25.16
20,February,Qtr 1,2023,Furniture,20.32
21,February,Qtr 1,2023,Furniture,
22,February,Qtr 1,2023,Furniture,
23,February,Qtr 1,2023,Furniture,
24,February,Qtr 1,2023,Furniture,
27,February,Qtr 1,2023,Furniture,
1,March,Qtr 1,2023,Furniture,
2,March,Qtr 1,2023,Furniture,
3,March,Qtr 1,2023,Furniture,928.802
4,March,Qtr 1,2023,Furniture,
5,March,Qtr 1,2023,Furniture,
6,March,Qtr 1,2023,Furniture,577.424
8,March,Qtr 1,2023,Furniture,218.75
9,March,Qtr 1,2023,Furniture,
10,March,Qtr 1,2023,Furniture,555.839
11,March,Qtr 1,2023,Furniture,1355.388
12,March,Qtr 1,2023,Furniture,
14,March,Qtr 1,2023,Furniture,1139.92
15,March,Qtr 1,2023,Furniture,45.696
16,March,Qtr 1,2023,Furniture,
17,March,Qtr 1,2023,Furniture,3265.23
18,March,Qtr 1,2023,Furniture,1462.45
19,March,Qtr 1,2023,Furniture,25.008
21,March,Qtr 1,2023,Furniture,251.328
22,March,Qtr 1,2023,Furniture,314.352
23,March,Qtr 1,2023,Furniture,
24,March,Qtr 1,2023,Furniture,40.48
25,March,Qtr 1,2023,Furniture,366.786
26,March,Qtr 1,2023,Furniture,
28,March,Qtr 1,2023,Furniture,1515.308
29,March,Qtr 1,2023,Furniture,890.841
30,March,Qtr 1,2023,Furniture,332.968
31,March,Qtr 1,2023,Furniture,1125.488
1,April,Qtr 2,2023,Furniture,
2,April,Qtr 2,2023,Furniture,
3,April,Qtr 2,2023,Furniture,
4,April,Qtr 2,2023,Furniture,5.47
5,April,Qtr 2,2023,Furniture,39.64
6,April,Qtr 2,2023,Furniture,424.488
7,April,Qtr 2,2023,Furniture,
8,April,Qtr 2,2023,Furniture,
10,April,Qtr 2,2023,Furniture,589.41
11,April,Qtr 2,2023,Furniture,744.95
12,April,Qtr 2,2023,Furniture,
13,April,Qtr 2,2023,Furniture,
15,April,Qtr 2,2023,Furniture,187.76
16,April,Qtr 2,2023,Furniture,
18,April,Qtr 2,2023,Furniture,317.058
19,April,Qtr 2,2023,Furniture,76.14
20,April,Qtr 2,2023,Furniture,1205.61
21,April,Qtr 2,2023,Furniture,
22,April,Qtr 2,2023,Furniture,
23,April,Qtr 2,2023,Furniture,585.08
25,April,Qtr 2,2023,Furniture,1790.29
26,April,Qtr 2,2023,Furniture,230.28
28,April,Qtr 2,2023,Furniture,
29,April,Qtr 2,2023,Furniture,631.004
30,April,Qtr 2,2023,Furniture,
1,May,Qtr 2,2023,Furniture,
3,May,Qtr 2,2023,Furniture,
4,May,Qtr 2,2023,Furniture,
5,May,Qtr 2,2023,Furniture,127.869
7,May,Qtr 2,2023,Furniture,232.736
8,May,Qtr 2,2023,Furniture,1962.724
9,May,Qtr 2,2023,Furniture,31.984
10,May,Qtr 2,2023,Furniture,
11,May,Qtr 2,2023,Furniture,443.508
12,May,Qtr 2,2023,Furniture,
13,May,Qtr 2,2023,Furniture,279.456
14,May,Qtr 2,2023,Furniture,310.88
16,May,Qtr 2,2023,Furniture,232.88
17,May,Qtr 2,2023,Furniture,
18,May,Qtr 2,2023,Furniture,149.232
19,May,Qtr 2,2023,Furniture,
20,May,Qtr 2,2023,Furniture,150.192
21,May,Qtr 2,2023,Furniture,107.772
22,May,Qtr 2,2023,Furniture,
23,May,Qtr 2,2023,Furniture,
24,May,Qtr 2,2023,Furniture,
25,May,Qtr 2,2023,Furniture,29.32
26,May,Qtr 2,2023,Furniture,875.734
27,May,Qtr 2,2023,Furniture,567.12
28,May,Qtr 2,2023,Furniture,
30,May,Qtr 2,2023,Furniture,355.455
31,May,Qtr 2,2023,Furniture,
1,June,Qtr 2,2023,Furniture,2573.82
2,June,Qtr 2,2023,Furniture,
4,June,Qtr 2,2023,Furniture,933.384
5,June,Qtr 2,2023,Furniture,
6,June,Qtr 2,2023,Furniture,991.764
7,June,Qtr 2,2023,Furniture,478.48
8,June,Qtr 2,2023,Furniture,
9,June,Qtr 2,2023,Furniture,41.88
10,June,Qtr 2,2023,Furniture,
11,June,Qtr 2,2023,Furniture,
12,June,Qtr 2,2023,Furniture,525.192
13,June,Qtr 2,2023,Furniture,
14,June,Qtr 2,2023,Furniture,212.94
15,June,Qtr 2,2023,Furniture,897.862
16,June,Qtr 2,2023,Furniture,647.84
17,June,Qtr 2,2023,Furniture,6.24
18,June,Qtr 2,2023,Furniture,
20,June,Qtr 2,2023,Furniture,193.0656
21,June,Qtr 2,2023,Furniture,107.994
22,June,Qtr 2,2023,Furniture,1023.988
23,June,Qtr 2,2023,Furniture,
24,June,Qtr 2,2023,Furniture,4.272
25,June,Qtr 2,2023,Furniture,447.84
27,June,Qtr 2,2023,Furniture,85.98
28,June,Qtr 2,2023,Furniture,1228.465
29,June,Qtr 2,2023,Furniture,
30,June,Qtr 2,2023,Furniture,
1,July,Qtr 3,2023,Furniture,76.728
2,July,Qtr 3,2023,Furniture,
3,July,Qtr 3,2023,Furniture,966.984
4,July,Qtr 3,2023,Furniture,8.96
5,July,Qtr 3,2023,Furniture,1066.57
6,July,Qtr 3,2023,Furniture,268.935
7,July,Qtr 3,2023,Furniture,241.194
9,July,Qtr 3,2023,Furniture,1714.593
10,July,Qtr 3,2023,Furniture,129.92
11,July,Qtr 3,2023,Furniture,683.144
12,July,Qtr 3,2023,Furniture,
13,July,Qtr 3,2023,Furniture,351.216
14,July,Qtr 3,2023,Furniture,31.984
15,July,Qtr 3,2023,Furniture,
18,July,Qtr 3,2023,Furniture,259.136
19,July,Qtr 3,2023,Furniture,70.56
20,July,Qtr 3,2023,Furniture,1041.132
21,July,Qtr 3,2023,Furniture,1732.346
22,July,Qtr 3,2023,Furniture,888.072
23,July,Qtr 3,2023,Furniture,
25,July,Qtr 3,2023,Furniture,77.92
26,July,Qtr 3,2023,Furniture,919.448
27,July,Qtr 3,2023,Furniture,
28,July,Qtr 3,2023,Furniture,129.888
30,July,Qtr 3,2023,Furniture,1367.84
2,August,Qtr 3,2023,Furniture,14.56
4,August,Qtr 3,2023,Furniture,1487.622
5,August,Qtr 3,2023,Furniture,
6,August,Qtr 3,2023,Furniture,755.904
7,August,Qtr 3,2023,Furniture,566.37
8,August,Qtr 3,2023,Furniture,658.472
9,August,Qtr 3,2023,Furniture,3855.444
10,August,Qtr 3,2023,Furniture,
11,August,Qtr 3,2023,Furniture,
12,August,Qtr 3,2023,Furniture,723.24
15,August,Qtr 3,2023,Furniture,195.136
16,August,Qtr 3,2023,Furniture,853.092
17,August,Qtr 3,2023,Furniture,
19,August,Qtr 3,2023,Furniture,928.06
20,August,Qtr 3,2023,Furniture,921.612
22,August,Qtr 3,2023,Furniture,
23,August,Qtr 3,2023,Furniture,4.224
24,August,Qtr 3,2023,Furniture,13.28
25,August,Qtr 3,2023,Furniture,6.28
26,August,Qtr 3,2023,Furniture,10.68
27,August,Qtr 3,2023,Furniture,1232.06
29,August,Qtr 3,2023,Furniture,174.0585
30,August,Qtr 3,2023,Furniture,
31,August,Qtr 3,2023,Furniture,
1,September,Qtr 3,2023,Furniture,
5,September,Qtr 3,2023,Furniture,
6,September,Qtr 3,2023,Furniture,3233.744
7,September,Qtr 3,2023,Furniture,119.833
8,September,Qtr 3,2023,Furniture,
9,September,Qtr 3,2023,Furniture,864.024
10,September,Qtr 3,2023,Furniture,
11,September,Qtr 3,2023,Furniture,279.186
12,September,Qtr 3,2023,Furniture,
13,September,Qtr 3,2023,Furniture,354.306
14,September,Qtr 3,2023,Furniture,629.78
15,September,Qtr 3,2023,Furniture,118.496
16,September,Qtr 3,2023,Furniture,
17,September,Qtr 3,2023,Furniture,35.34
19,September,Qtr 3,2023,Furniture,961.018
20,September,Qtr 3,2023,Furniture,3071.64
21,September,Qtr 3,2023,Furniture,8.544
22,September,Qtr 3,2023,Furniture,676.968
23,September,Qtr 3,2023,Furniture,435.999
24,September,Qtr 3,2023,Furniture,
25,September,Qtr 3,2023,Furniture,300.5328
26,September,Qtr 3,2023,Furniture,752.304
27,September,Qtr 3,2023,Furniture,691.46
28,September,Qtr 3,2023,Furniture,337.088
29,September,Qtr 3,2023,Furniture,3153.388
30,September,Qtr 3,2023,Furniture,15.24
1,October,Qtr 4,2023,Furniture,51.94
3,October,Qtr 4,2023,Furniture,
5,October,Qtr 4,2023,Furniture,606.749
6,October,Qtr 4,2023,Furniture,
9,October,Qtr 4,2023,Furniture,1741.94
10,October,Qtr 4,2023,Furniture,169.224
11,October,Qtr 4,2023,Furniture,657.02
12,October,Qtr 4,2023,Furniture,338.352
13,October,Qtr 4,2023,Furniture,1544.53
14,October,Qtr 4,2023,Furniture,1628.82
15,October,Qtr 4,2023,Furniture,198.756
16,October,Qtr 4,2023,Furniture,
17,October,Qtr 4,2023,Furniture,5.312
18,October,Qtr 4,2023,Furniture,1151.22
19,October,Qtr 4,2023,Furniture,
20,October,Qtr 4,2023,Furniture,328.59
21,October,Qtr 4,2023,Furniture,1000.91
22,October,Qtr 4,2023,Furniture,223.808
24,October,Qtr 4,2023,Furniture,
25,October,Qtr 4,2023,Furniture,
26,October,Qtr 4,2023,Furniture,63.92
27,October,Qtr 4,2023,Furniture,
28,October,Qtr 4,2023,Furniture,616.998
29,October,Qtr 4,2023,Furniture,
31,October,Qtr 4,2023,Furniture,3591.032
1,November,Qtr 4,2023,Furniture,9.94
2,November,Qtr 4,2023,Furniture,1650.05
3,November,Qtr 4,2023,Furniture,8.32
4,November,Qtr 4,2023,Furniture,
5,November,Qtr 4,2023,Furniture,1279.072
7,November,Qtr 4,2023,Furniture,979.05
8,November,Qtr 4,2023,Furniture,12.35
9,November,Qtr 4,2023,Furniture,127.95
10,November,Qtr 4,2023,Furniture,505.958
11,November,Qtr 4,2023,Furniture,2071.424
14,November,Qtr 4,2023,Furniture,69.264
15,November,Qtr 4,2023,Furniture,10.11
16,November,Qtr 4,2023,Furniture,343.2705
17,November,Qtr 4,2023,Furniture,5270.08
18,November,Qtr 4,2023,Furniture,2191.732
19,November,Qtr 4,2023,Furniture,1025.88
20,November,Qtr 4,2023,Furniture,
21,November,Qtr 4,2023,Furniture,
22,November,Qtr 4,2023,Furniture,
23,November,Qtr 4,2023,Furniture,1147.1
24,November,Qtr 4,2023,Furniture,1029.808
25,November,Qtr 4,2023,Furniture,2302.967
26,November,Qtr 4,2023,Furniture,19.3
27,November,Qtr 4,2023,Furniture,199.9
28,November,Qtr 4,2023,Furniture,808.932
29,November,Qtr 4,2023,Furniture,
30,November,Qtr 4,2023,Furniture,
2,December,Qtr 4,2023,Furniture,129.568
4,December,Qtr 4,2023,Furniture,308.499
5,December,Qtr 4,2023,Furniture,734.846
7,December,Qtr 4,2023,Furniture,1333.846
8,December,Qtr 4,2023,Furniture,85.44
9,December,Qtr 4,2023,Furniture,3825.852
10,December,Qtr 4,2023,Furniture,
11,December,Qtr 4,2023,Furniture,722.1852
12,December,Qtr 4,2023,Furniture,4695.6005
13,December,Qtr 4,2023,Furniture,182.388
14,December,Qtr 4,2023,Furniture,322.834
15,December,Qtr 4,2023,Furniture,1223.786
16,December,Qtr 4,2023,Furniture,2798.432
17,December,Qtr 4,2023,Furniture,
19,December,Qtr 4,2023,Furniture,1819.86
20,December,Qtr 4,2023,Furniture,4039.814
21,December,Qtr 4,2023,Furniture,1897.92
22,December,Qtr 4,2023,Furniture,
23,December,Qtr 4,2023,Furniture,118.1
24,December,Qtr 4,2023,Furniture,346.622
26,December,Qtr 4,2023,Furniture,1353.158
27,December,Qtr 4,2023,Furniture,1212.798
28,December,Qtr 4,2023,Furniture,
29,December,Qtr 4,2023,Furniture,143.172
30,December,Qtr 4,2023,Furniture,523.764
31,December,Qtr 4,2023,Furniture,2584.528
3,January,Qtr 1,2024,Furniture,1412.7504
5,January,Qtr 1,2024,Furniture,63.552
6,January,Qtr 1,2024,Furniture,
2,January,Qtr 1,2021,Office Supplies,161.97
3,January,Qtr 1,2021,Office Supplies,389.3
4,January,Qtr 1,2021,Office Supplies,788.838
5,January,Qtr 1,2021,Office Supplies,147.246
7,January,Qtr 1,2021,Office Supplies,193.586
8,January,Qtr 1,2021,Office Supplies,65.608
9,January,Qtr 1,2021,Office Supplies,4993.394
10,January,Qtr 1,2021,Office Supplies,64.716
11,January,Qtr 1,2021,Office Supplies,363.462
12,January,Qtr 1,2021,Office Supplies,4382.352
14,January,Qtr 1,2021,Office Supplies,89.568
15,January,Qtr 1,2021,Office Supplies,265.156
16,January,Qtr 1,2021,Office Supplies,11.648
17,January,Qtr 1,2021,Office Supplies,
21,January,Qtr 1,2021,Office Supplies,
22,January,Qtr 1,2021,Office Supplies,176.77
23,January,Qtr 1,2021,Office Supplies,1572.33
24,January,Qtr 1,2021,Office Supplies,31.36
25,January,Qtr 1,2021,Office Supplies,499.01
28,January,Qtr 1,2021,Office Supplies,39.68
30,January,Qtr 1,2021,Office Supplies,557.5
31,January,Qtr 1,2021,Office Supplies,1491.962
1,February,Qtr 1,2021,Office Supplies,
2,February,Qtr 1,2021,Office Supplies,154.36
4,February,Qtr 1,2021,Office Supplies,
5,February,Qtr 1,2021,Office Supplies,317.076
6,February,Qtr 1,2021,Office Supplies,157.844
7,February,Qtr 1,2021,Office Supplies,49.172
8,February,Qtr 1,2021,Office Supplies,12.544
9,February,Qtr 1,2021,Office Supplies,689.751
10,February,Qtr 1,2021,Office Supplies,953.022
12,February,Qtr 1,2021,Office Supplies,3020.262
13,February,Qtr 1,2021,Office Supplies,146.82
14,February,Qtr 1,2021,Office Supplies,276.93
15,February,Qtr 1,2021,Office Supplies,407.072
16,February,Qtr 1,2021,Office Supplies,110.024
19,February,Qtr 1,2021,Office Supplies,348.2
20,February,Qtr 1,2021,Office Supplies,16.496
21,February,Qtr 1,2021,Office Supplies,1266.406
22,February,Qtr 1,2021,Office Supplies,500.97
23,February,Qtr 1,2021,Office Supplies,57.576
25,February,Qtr 1,2021,Office Supplies,46.72
27,February,Qtr 1,2021,Office Supplies,227.7
28,February,Qtr 1,2021,Office Supplies,36.48
1,March,Qtr 1,2021,Office Supplies,126.34
2,March,Qtr 1,2021,Office Supplies,
3,March,Qtr 1,2021,Office Supplies,4651.41
4,March,Qtr 1,2021,Office Supplies,110.118
5,March,Qtr 1,2021,Office Supplies,257.612
6,March,Qtr 1,2021,Office Supplies,
7,March,Qtr 1,2021,Office Supplies,847.7
8,March,Qtr 1,2021,Office Supplies,81.54
9,March,Qtr 1,2021,Office Supplies,1442.418
10,March,Qtr 1,2021,Office Supplies,128.188
11,March,Qtr 1,2021,Office Supplies,1913.076
12,March,Qtr 1,2021,Office Supplies,1478.978
13,March,Qtr 1,2021,Office Supplies,6194.303
14,March,Qtr 1,2021,Office Supplies,192.632
15,March,Qtr 1,2021,Office Supplies,392.37
17,March,Qtr 1,2021,Office Supplies,1174.07
18,March,Qtr 1,2021,Office Supplies,871.8
19,March,Qtr 1,2021,Office Supplies,31.086
20,March,Qtr 1,2021,Office Supplies,47.925
21,March,Qtr 1,2021,Office Supplies,17.904
22,March,Qtr 1,2021,Office Supplies,
24,March,Qtr 1,2021,Office Supplies,41.136
25,March,Qtr 1,2021,Office Supplies,59.52
26,March,Qtr 1,2021,Office Supplies,562.27
27,March,Qtr 1,2021,Office Supplies,32.54
28,March,Qtr 1,2021,Office Supplies,125.3
29,March,Qtr 1,2021,Office Supplies,130.136
30,March,Qtr 1,2021,Office Supplies,11.34
31,March,Qtr 1,2021,Office Supplies,
1,April,Qtr 2,2021,Office Supplies,109.252
2,April,Qtr 2,2021,Office Supplies,93.02
3,April,Qtr 2,2021,Office Supplies,155.47
4,April,Qtr 2,2021,Office Supplies,647.614
6,April,Qtr 2,2021,Office Supplies,124.148
7,April,Qtr 2,2021,Office Supplies,71.88
8,April,Qtr 2,2021,Office Supplies,85.726
9,April,Qtr 2,2021,Office Supplies,1321.322
10,April,Qtr 2,2021,Office Supplies,209.252
11,April,Qtr 2,2021,Office Supplies,1194.828
12,April,Qtr 2,2021,Office Supplies,752.346
13,April,Qtr 2,2021,Office Supplies,6.12
14,April,Qtr 2,2021,Office Supplies,149.236
15,April,Qtr 2,2021,Office Supplies,379.584
16,April,Qtr 2,2021,Office Supplies,190.028
17,April,Qtr 2,2021,Office Supplies,29.05
18,April,Qtr 2,2021,Office Supplies,2012.726
19,April,Qtr 2,2021,Office Supplies,1143.016
21,April,Qtr 2,2021,Office Supplies,271.616
22,April,Qtr 2,2021,Office Supplies,351.095
23,April,Qtr 2,2021,Office Supplies,620.378
24,April,Qtr 2,2021,Office Supplies,22.644
25,April,Qtr 2,2021,Office Supplies,25.62
26,April,Qtr 2,2021,Office Supplies,
28,April,Qtr 2,2021,Office Supplies,45.184
30,April,Qtr 2,2021,Office Supplies,7.712
1,May,Qtr 2,2021,Office Supplies,5.248
2,May,Qtr 2,2021,Office Supplies,1428.28
3,May,Qtr 2,2021,Office Supplies,162.344
4,May,Qtr 2,2021,Office Supplies,927.552
5,May,Qtr 2,2021,Office Supplies,205.168
6,May,Qtr 2,2021,Office Supplies,659.82
8,May,Qtr 2,2021,Office Supplies,197.05
9,May,Qtr 2,2021,Office Supplies,1217.647
11,May,Qtr 2,2021,Office Supplies,464.82
12,May,Qtr 2,2021,Office Supplies,1793.604
14,May,Qtr 2,2021,Office Supplies,117.226
15,May,Qtr 2,2021,Office Supplies,648.912
16,May,Qtr 2,2021,Office Supplies,597.62
17,May,Qtr 2,2021,Office Supplies,151.074
18,May,Qtr 2,2021,Office Supplies,122.22
19,May,Qtr 2,2021,Office Supplies,864.368
20,May,Qtr 2,2021,Office Supplies,58.753
21,May,Qtr 2,2021,Office Supplies,200.378
22,May,Qtr 2,2021,Office Supplies,704.45
23,May,Qtr 2,2021,Office Supplies,21.642
24,May,Qtr 2,2021,Office Supplies,277.756
25,May,Qtr 2,2021,Office Supplies,1287.01
26,May,Qtr 2,2021,Office Supplies,338.856
27,May,Qtr 2,2021,Office Supplies,1769.418
28,May,Qtr 2,2021,Office Supplies,770.652
29,May,Qtr 2,2021,Office Supplies,38.475
30,May,Qtr 2,2021,Office Supplies,1436.692
31,May,Qtr 2,2021,Office Supplies,36.016
2,June,Qtr 2,2021,Office Supplies,
3,June,Qtr 2,2021,Office Supplies,6.105
4,June,Qtr 2,2021,Office Supplies,
5,June,Qtr 2,2021,Office Supplies,114.472
6,June,Qtr 2,2021,Office Supplies,1090.48
8,June,Qtr 2,2021,Office Supplies,109.22
9,June,Qtr 2,2021,Office Supplies,229.74
10,June,Qtr 2,2021,Office Supplies,58.73
11,June,Qtr 2,2021,Office Supplies,209.72
12,June,Qtr 2,2021,Office Supplies,2287.98
13,June,Qtr 2,2021,Office Supplies,52.468
14,June,Qtr 2,2021,Office Supplies,55.616
15,June,Qtr 2,2021,Office Supplies,173.488
16,June,Qtr 2,2021,Office Supplies,55.8
17,June,Qtr 2,2021,Office Supplies,718.52
18,June,Qtr 2,2021,Office Supplies,541.938
19,June,Qtr 2,2021,Office Supplies,17.12
20,June,Qtr 2,2021,Office Supplies,840.622
21,June,Qtr 2,2021,Office Supplies,223.54
23,June,Qtr 2,2021,Office Supplies,1612.75
24,June,Qtr 2,2021,Office Supplies,355.002
25,June,Qtr 2,2021,Office Supplies,353.25
26,June,Qtr 2,2021,Office Supplies,1549.224
27,June,Qtr 2,2021,Office Supplies,37.464
28,June,Qtr 2,2021,Office Supplies,395.22
29,June,Qtr 2,2021,Office Supplies,191.88
30,June,Qtr 2,2021,Office Supplies,35.97
1,July,Qtr 3,2021,Office Supplies,60.5
2,July,Qtr 3,2021,Office Supplies,38.182
3,July,Qtr 3,2021,Office Supplies,
4,July,Qtr 3,2021,Office Supplies,111.852
5,July,Qtr 3,2021,Office Supplies,129.632
6,July,Qtr 3,2021,Office Supplies,51.562
7,July,Qtr 3,2021,Office Supplies,204.999
8,July,Qtr 3,2021,Office Supplies,
10,July,Qtr 3,2021,Office Supplies,136.112
11,July,Qtr 3,2021,Office Supplies,924.172
14,July,Qtr 3,2021,Office Supplies,548.09
15,July,Qtr 3,2021,Office Supplies,149.92
16,July,Qtr 3,2021,Office Supplies,186.28
17,July,Qtr 3,2021,Office Supplies,1101.526
18,July,Qtr 3,2021,Office Supplies,1281.12
19,July,Qtr 3,2021,Office Supplies,420.02
20,July,Qtr 3,2021,Office Supplies,
21,July,Qtr 3,2021,Office Supplies,627.175
22,July,Qtr 3,2021,Office Supplies,1219.03
23,July,Qtr 3,2021,Office Supplies,273.976
24,July,Qtr 3,2021,Office Supplies,73.2
25,July,Qtr 3,2021,Office Supplies,563.244
28,July,Qtr 3,2021,Office Supplies,1528.504
29,July,Qtr 3,2021,Office Supplies,819.154
30,July,Qtr 3,2021,Office Supplies,1770.776
31,July,Qtr 3,2021,Office Supplies,283.14
1,August,Qtr 3,2021,Office Supplies,184.494
2,August,Qtr 3,2021,Office Supplies,
3,August,Qtr 3,2021,Office Supplies,474.354
4,August,Qtr 3,2021,Office Supplies,1450.268
5,August,Qtr 3,2021,Office Supplies,1070.172
7,August,Qtr 3,2021,Office Supplies,158.048
8,August,Qtr 3,2021,Office Supplies,602.18
9,August,Qtr 3,2021,Office Supplies,966.29
10,August,Qtr 3,2021,Office Supplies,509.824
11,August,Qtr 3,2021,Office Supplies,
12,August,Qtr 3,2021,Office Supplies,463.891
13,August,Qtr 3,2021,Office Supplies,417.584
14,August,Qtr 3,2021,Office Supplies,31.092
15,August,Qtr 3,2021,Office Supplies,199.82
16,August,Qtr 3,2021,Office Supplies,43.26
17,August,Qtr 3,2021,Office Supplies,15.712
18,August,Qtr 3,2021,Office Supplies,441.228
19,August,Qtr 3,2021,Office Supplies,448.792
20,August,Qtr 3,2021,Office Supplies,
21,August,Qtr 3,2021,Office Supplies,143.856
22,August,Qtr 3,2021,Office Supplies,307.022
23,August,Qtr 3,2021,Office Supplies,2126.056
26,August,Qtr 3,2021,Office Supplies,383.238
27,August,Qtr 3,2021,Office Supplies,463.326
28,August,Qtr 3,2021,Office Supplies,57.076
29,August,Qtr 3,2021,Office Supplies,108.412
30,August,Qtr 3,2021,Office Supplies,192.228
31,August,Qtr 3,2021,Office Supplies,23.968
1,September,Qtr 3,2021,Office Supplies,
2,September,Qtr 3,2021,Office Supplies,
3,September,Qtr 3,2021,Office Supplies,80.95
4,September,Qtr 3,2021,Office Supplies,40.632
5,September,Qtr 3,2021,Office Supplies,1170.396
6,September,Qtr 3,2021,Office Supplies,
7,September,Qtr 3,2021,Office Supplies,
8,September,Qtr 3,2021,Office Supplies,616.57
9,September,Qtr 3,2021,Office Supplies,69.984
10,September,Qtr 3,2021,Office Supplies,20.544
11,September,Qtr 3,2021,Office Supplies,
12,September,Qtr 3,2021,Office Supplies,588.049
13,September,Qtr 3,2021,Office Supplies,858.37
14,September,Qtr 3,2021,Office Supplies,699.488
15,September,Qtr 3,2021,Office Supplies,972.792
16,September,Qtr 3,2021,Office Supplies,30.44
17,September,Qtr 3,2021,Office Supplies,600.1
18,September,Qtr 3,2021,Office Supplies,1292.358
19,September,Qtr 3,2021,Office Supplies,1990.038
20,September,Qtr 3,2021,Office Supplies,952.644
22,September,Qtr 3,2021,Office Supplies,352.982
23,September,Qtr 3,2021,Office Supplies,207.719
24,September,Qtr 3,2021,Office Supplies,1354.848
25,September,Qtr 3,2021,Office Supplies,793.862
26,September,Qtr 3,2021,Office Supplies,538.71
27,September,Qtr 3,2021,Office Supplies,34.737
28,September,Qtr 3,2021,Office Supplies,99.136
29,September,Qtr 3,2021,Office Supplies,202.382
30,September,Qtr 3,2021,Office Supplies,1.964
1,October,Qtr 4,2021,Office Supplies,
3,October,Qtr 4,2021,Office Supplies,119.596
4,October,Qtr 4,2021,Office Supplies,950.594
5,October,Qtr 4,2021,Office Supplies,19.032
6,October,Qtr 4,2021,Office Supplies,76.716
7,October,Qtr 4,2021,Office Supplies,553.904
9,October,Qtr 4,2021,Office Supplies,553.754
10,October,Qtr 4,2021,Office Supplies,41.095
11,October,Qtr 4,2021,Office Supplies,2113.758
12,October,Qtr 4,2021,Office Supplies,1668.492
13,October,Qtr 4,2021,Office Supplies,440.932
14,October,Qtr 4,2021,Office Supplies,291.912
15,October,Qtr 4,2021,Office Supplies,1614.65
16,October,Qtr 4,2021,Office Supplies,
17,October,Qtr 4,2021,Office Supplies,2261.73
18,October,Qtr 4,2021,Office Supplies,
