30ColumnData.Column.Variation.Date Hierarchy.Month,30ColumnData.Column.Variation.Date Hierarchy.Year,30ColumnData.Cameras,30ColumnData.Books,Sum(30ColumnData.Series 2)
August,2021,Cameras.0002,Books.0004,8186920.872396998
September,2021,Cameras.0002,Books.0004,7827532.215564595
October,2021,Cameras.0002,Books.0004,7898462.773391998
November,2021,Cameras.0002,Books.0004,7992081.087393601
December,2021,Cameras.0002,Books.0004,7892800.064265898
January,2022,Cameras.0002,Books.0004,7906755.075622204
February,2022,Cameras.0002,Books.0004,7596349.572314803
March,2022,Cameras.0002,Books.0004,8455478.050756598
April,2022,Cameras.0002,Books.0004,7679739.327553299
May,2022,Cameras.0002,Books.0004,8007462.347900001
June,2022,Cameras.0002,Books.0004,7909990.913020001
July,2022,Cameras.0002,Books.0004,8222430.344347903
August,2022,Cameras.0002,Books.0004,8130465.357200301
September,2022,Cameras.0002,Books.0004,7781462.426833898
October,2022,Cameras.0002,Books.0004,7875008.326540202
November,2022,Cameras.0002,Books.0004,8289494.058882699
December,2022,Cameras.0002,Books.0004,8635231.012816802
January,2023,Cameras.0002,Books.0004,7771242.079913896
February,2023,Cameras.0002,Books.0004,8129069.865050105
March,2023,Cameras.0002,Books.0004,7611970.205050603
April,2023,Cameras.0002,Books.0004,7939786.182643498
May,2023,Cameras.0002,Books.0004,7875529.536624398
June,2023,Cameras.0002,Books.0004,7736867.312275899
July,2023,Cameras.0002,Books.0004,8236208.517126504
August,2023,Cameras.0002,Books.0004,8358970.752477
September,2023,Cameras.0002,Books.0004,8388254.901949101
October,2023,Cameras.0002,Books.0004,8007534.308853397
November,2023,Cameras.0002,Books.0004,7859616.650678899
December,2023,Cameras.0002,Books.0004,8085059.0737044
January,2021,Cameras.0003,Books.0000,7703617.4462031005
February,2021,Cameras.0003,Books.0000,7969434.641228298
March,2021,Cameras.0003,Books.0000,7451897.083402997
April,2021,Cameras.0003,Books.0000,7940545.708884703
May,2021,Cameras.0003,Books.0000,8142305.133429997
June,2021,Cameras.0003,Books.0000,7755258.713724
July,2021,Cameras.0003,Books.0000,8334216.647421804
August,2021,Cameras.0003,Books.0000,8500117.851628803
September,2021,Cameras.0003,Books.0000,8310091.560828598
October,2021,Cameras.0003,Books.0000,8073887.851588797
November,2021,Cameras.0003,Books.0000,8116283.516284201
December,2021,Cameras.0003,Books.0000,7925098.948340098
January,2022,Cameras.0003,Books.0000,8563737.050313001
February,2022,Cameras.0003,Books.0000,7896511.998845201
March,2022,Cameras.0003,Books.0000,8609136.935221998
April,2022,Cameras.0003,Books.0000,8068266.892459998
May,2022,Cameras.0003,Books.0000,7782826.253103999
June,2022,Cameras.0003,Books.0000,8112528.119782802
July,2022,Cameras.0003,Books.0000,7751664.272512998
August,2022,Cameras.0003,Books.0000,8157391.157369699
September,2022,Cameras.0003,Books.0000,7747396.284438998
October,2022,Cameras.0003,Books.0000,7805920.8695920035
November,2022,Cameras.0003,Books.0000,7822457.441293398
December,2022,Cameras.0003,Books.0000,8309993.513007901
January,2023,Cameras.0003,Books.0000,7994479.712414798
February,2023,Cameras.0003,Books.0000,7988441.535745398
March,2023,Cameras.0003,Books.0000,7913437.829710899
April,2023,Cameras.0003,Books.0000,8324930.966912
May,2023,Cameras.0003,Books.0000,8495538.425544601
June,2023,Cameras.0003,Books.0000,8115505.8526439
July,2023,Cameras.0003,Books.0000,7480022.136170101
August,2023,Cameras.0003,Books.0000,7994374.387599797
September,2023,Cameras.0003,Books.0000,7858754.0627925
October,2023,Cameras.0003,Books.0000,7473641.1970629
November,2023,Cameras.0003,Books.0000,7870030.788428002
December,2023,Cameras.0003,Books.0000,8622164.731602501
January,2021,Cameras.0003,Books.0001,7783369.4290864
February,2021,Cameras.0003,Books.0001,8349399.710313796
March,2021,Cameras.0003,Books.0001,8764795.706153193
April,2021,Cameras.0003,Books.0001,8323425.611639304
May,2021,Cameras.0003,Books.0001,7417580.427460998
June,2021,Cameras.0003,Books.0001,9097553.811167996
July,2021,Cameras.0003,Books.0001,7682462.939485097
August,2021,Cameras.0003,Books.0001,8037625.660146295
September,2021,Cameras.0003,Books.0001,8100349.685215904
October,2021,Cameras.0003,Books.0001,8087996.5984156
November,2021,Cameras.0003,Books.0001,7541764.347210998
December,2021,Cameras.0003,Books.0001,8624341.088406898
January,2022,Cameras.0003,Books.0001,7741096.8567229
February,2022,Cameras.0003,Books.0001,7613457.368882999
March,2022,Cameras.0003,Books.0001,8297326.676918304
April,2022,Cameras.0003,Books.0001,7838243.455773299
May,2022,Cameras.0003,Books.0001,7707123.171368903
June,2022,Cameras.0003,Books.0001,8039824.193162499
July,2022,Cameras.0003,Books.0001,7991636.336794001
August,2022,Cameras.0003,Books.0001,8150468.154668501
September,2022,Cameras.0003,Books.0001,8490944.772569904
October,2022,Cameras.0003,Books.0001,7756139.3465613
November,2022,Cameras.0003,Books.0001,8049481.360555696
December,2022,Cameras.0003,Books.0001,8004440.456084098
January,2023,Cameras.0003,Books.0001,8454044.126739
February,2023,Cameras.0003,Books.0001,7999983.456341803
March,2023,Cameras.0003,Books.0001,8602877.528021302
April,2023,Cameras.0003,Books.0001,8063751.145052899
May,2023,Cameras.0003,Books.0001,8132101.132506901
June,2023,Cameras.0003,Books.0001,8660736.3720637
July,2023,Cameras.0003,Books.0001,8730713.627520097
August,2023,Cameras.0003,Books.0001,8353780.193006302
September,2023,Cameras.0003,Books.0001,7880322.621573001
October,2023,Cameras.0003,Books.0001,7563338.814529899
November,2023,Cameras.0003,Books.0001,7694322.192863
December,2023,Cameras.0003,Books.0001,8396092.150533
January,2021,Cameras.0003,Books.0002,8278987.905456601
February,2021,Cameras.0003,Books.0002,8101639.331925999
March,2021,Cameras.0003,Books.0002,7764916.5568558
April,2021,Cameras.0003,Books.0002,7919272.714338
May,2021,Cameras.0003,Books.0002,8168371.494518001
June,2021,Cameras.0003,Books.0002,7645474.799916101
July,2021,Cameras.0003,Books.0002,7218606.28317
August,2021,Cameras.0003,Books.0002,8296357.913336097
September,2021,Cameras.0003,Books.0002,8444573.650641697
October,2021,Cameras.0003,Books.0002,8761540.698802
November,2021,Cameras.0003,Books.0002,7659412.168579902
December,2021,Cameras.0003,Books.0002,9112041.310413701
January,2022,Cameras.0003,Books.0002,8049704.727581296
February,2022,Cameras.0003,Books.0002,8256357.150421505
March,2022,Cameras.0003,Books.0002,8179621.941016101
April,2022,Cameras.0003,Books.0002,7835130.331420601
May,2022,Cameras.0003,Books.0002,8655064.836957099
June,2022,Cameras.0003,Books.0002,8173912.0644334
July,2022,Cameras.0003,Books.0002,8362596.322304002
August,2022,Cameras.0003,Books.0002,8083789.098241798
September,2022,Cameras.0003,Books.0002,7173112.753595302
October,2022,Cameras.0003,Books.0002,7914116.801454598
November,2022,Cameras.0003,Books.0002,7485857.378225803
December,2022,Cameras.0003,Books.0002,7892187.413461205
January,2023,Cameras.0003,Books.0002,7954536.472108502
February,2023,Cameras.0003,Books.0002,7963191.222898403
March,2023,Cameras.0003,Books.0002,8425824.220242001
April,2023,Cameras.0003,Books.0002,8309044.925454001
May,2023,Cameras.0003,Books.0002,8156987.535533001
June,2023,Cameras.0003,Books.0002,7918196.843117001
July,2023,Cameras.0003,Books.0002,7738551.4429261
August,2023,Cameras.0003,Books.0002,8080465.116349001
September,2023,Cameras.0003,Books.0002,7610424.344666402
October,2023,Cameras.0003,Books.0002,7902101.940224903
November,2023,Cameras.0003,Books.0002,7838704.8251077
December,2023,Cameras.0003,Books.0002,8016766.818609199
January,2021,Cameras.0003,Books.0003,7716303.864497097
February,2021,Cameras.0003,Books.0003,8035818.0134429
March,2021,Cameras.0003,Books.0003,8138515.917470001
April,2021,Cameras.0003,Books.0003,7704308.811957101
May,2021,Cameras.0003,Books.0003,8160096.161035499
June,2021,Cameras.0003,Books.0003,8045761.285746994
July,2021,Cameras.0003,Books.0003,7675401.8178639
August,2021,Cameras.0003,Books.0003,8069303.015799002
September,2021,Cameras.0003,Books.0003,7883741.416155099
October,2021,Cameras.0003,Books.0003,7989491.233924601
November,2021,Cameras.0003,Books.0003,7638424.7711147
December,2021,Cameras.0003,Books.0003,6831550.180828205
January,2022,Cameras.0003,Books.0003,7425304.7412381
February,2022,Cameras.0003,Books.0003,8647909.3772603
March,2022,Cameras.0003,Books.0003,8188180.234936897
April,2022,Cameras.0003,Books.0003,8213187.901530999
May,2022,Cameras.0003,Books.0003,7733718.5993099995
June,2022,Cameras.0003,Books.0003,8123467.856847999
July,2022,Cameras.0003,Books.0003,7570473.1368627
August,2022,Cameras.0003,Books.0003,8259578.694815201
September,2022,Cameras.0003,Books.0003,8053549.902573599
October,2022,Cameras.0003,Books.0003,7958911.498079303
November,2022,Cameras.0003,Books.0003,7726417.522046297
December,2022,Cameras.0003,Books.0003,8218148.497788298
January,2023,Cameras.0003,Books.0003,8059226.889101103
February,2023,Cameras.0003,Books.0003,8074641.356733799
March,2023,Cameras.0003,Books.0003,7564240.689151603
April,2023,Cameras.0003,Books.0003,8207569.280107606
May,2023,Cameras.0003,Books.0003,7306113.485200002
June,2023,Cameras.0003,Books.0003,7972855.481973296
July,2023,Cameras.0003,Books.0003,7796693.164873398
August,2023,Cameras.0003,Books.0003,8399759.386245998
September,2023,Cameras.0003,Books.0003,8191477.514071
October,2023,Cameras.0003,Books.0003,7890601.925098299
November,2023,Cameras.0003,Books.0003,7801051.273283
December,2023,Cameras.0003,Books.0003,7979333.7660585
January,2021,Cameras.0003,Books.0004,8351671.602564003
February,2021,Cameras.0003,Books.0004,8735773.995078895
March,2021,Cameras.0003,Books.0004,8233628.777748204
April,2021,Cameras.0003,Books.0004,7634261.585552197
May,2021,Cameras.0003,Books.0004,8276686.411797402
June,2021,Cameras.0003,Books.0004,8215127.698605802
July,2021,Cameras.0003,Books.0004,8337214.767338002
August,2021,Cameras.0003,Books.0004,7411699.3910272
September,2021,Cameras.0003,Books.0004,8048339.481432901
October,2021,Cameras.0003,Books.0004,8000596.7370666005
November,2021,Cameras.0003,Books.0004,7910501.783428
December,2021,Cameras.0003,Books.0004,8253954.4821452
January,2022,Cameras.0003,Books.0004,8490039.589724
February,2022,Cameras.0003,Books.0004,7872355.984513898
March,2022,Cameras.0003,Books.0004,8387383.217474199
April,2022,Cameras.0003,Books.0004,7318541.556901997
May,2022,Cameras.0003,Books.0004,8728941.975269303
June,2022,Cameras.0003,Books.0004,7609454.133696501
July,2022,Cameras.0003,Books.0004,9106190.067915102
August,2022,Cameras.0003,Books.0004,7851241.070996095
September,2022,Cameras.0003,Books.0004,7990563.628089598
October,2022,Cameras.0003,Books.0004,8097339.371193802
November,2022,Cameras.0003,Books.0004,8041940.080102996
December,2022,Cameras.0003,Books.0004,7844466.642849497
January,2023,Cameras.0003,Books.0004,7406122.200567703
February,2023,Cameras.0003,Books.0004,7072679.673559398
March,2023,Cameras.0003,Books.0004,7924112.7702174
April,2023,Cameras.0003,Books.0004,7819728.603038997
May,2023,Cameras.0003,Books.0004,8499332.271942703
June,2023,Cameras.0003,Books.0004,8184344.843241195
July,2023,Cameras.0003,Books.0004,7953978.543703
August,2023,Cameras.0003,Books.0004,8118772.666947995
September,2023,Cameras.0003,Books.0004,8317140.980985999
October,2023,Cameras.0003,Books.0004,7911503.8660195
November,2023,Cameras.0003,Books.0004,7816893.325842403
December,2023,Cameras.0003,Books.0004,7743105.8947639
January,2021,Cameras.0004,Books.0000,8614797.374766
February,2021,Cameras.0004,Books.0000,7564561.7558904
March,2021,Cameras.0004,Books.0000,8032074.572459003
April,2021,Cameras.0004,Books.0000,7690244.999068696
May,2021,Cameras.0004,Books.0000,7992196.130826903
June,2021,Cameras.0004,Books.0000,8849948.5563628
July,2021,Cameras.0004,Books.0000,8222734.121660998
August,2021,Cameras.0004,Books.0000,8076811.211352804
September,2021,Cameras.0004,Books.0000,7765508.5962485
October,2021,Cameras.0004,Books.0000,7651682.238138002
November,2021,Cameras.0004,Books.0000,7965198.685065305
December,2021,Cameras.0004,Books.0000,8310732.025085905
January,2022,Cameras.0004,Books.0000,8186962.521672097
February,2022,Cameras.0004,Books.0000,7859964.546614202
March,2022,Cameras.0004,Books.0000,7800462.127136605
April,2022,Cameras.0004,Books.0000,8191788.452967999
May,2022,Cameras.0004,Books.0000,8240315.274336702
June,2022,Cameras.0004,Books.0000,8104872.080686103
July,2022,Cameras.0004,Books.0000,8102919.027180001
August,2022,Cameras.0004,Books.0000,7643211.538002999
September,2022,Cameras.0004,Books.0000,7726926.273461999
October,2022,Cameras.0004,Books.0000,8189697.664118701
November,2022,Cameras.0004,Books.0000,7453137.348345002
December,2022,Cameras.0004,Books.0000,7234974.699203
January,2023,Cameras.0004,Books.0000,7973719.596310101
February,2023,Cameras.0004,Books.0000,8662983.203090506
March,2023,Cameras.0004,Books.0000,7735356.240689807
April,2023,Cameras.0004,Books.0000,7609513.118409
May,2023,Cameras.0004,Books.0000,8044723.005207005
June,2023,Cameras.0004,Books.0000,8030357.325093804
July,2023,Cameras.0004,Books.0000,7064945.615085804
August,2023,Cameras.0004,Books.0000,8199939.386137898
September,2023,Cameras.0004,Books.0000,8092554.9726420995
October,2023,Cameras.0004,Books.0000,8298381.388264503
November,2023,Cameras.0004,Books.0000,8128917.453552098
December,2023,Cameras.0004,Books.0000,8692082.889530003
January,2021,Cameras.0004,Books.0001,7874097.271337897
February,2021,Cameras.0004,Books.0001,7682035.5739852
March,2021,Cameras.0004,Books.0001,8030169.067200001
April,2021,Cameras.0004,Books.0001,8082140.288901201
May,2021,Cameras.0004,Books.0001,7680668.800890003
June,2021,Cameras.0004,Books.0001,8666722.243480003
July,2021,Cameras.0004,Books.0001,7905632.322140201
August,2021,Cameras.0004,Books.0001,8100988.8676378
September,2021,Cameras.0004,Books.0001,7603737.926985299
October,2021,Cameras.0004,Books.0001,8529972.8903975
November,2021,Cameras.0004,Books.0001,8341843.2940319
December,2021,Cameras.0004,Books.0001,7663385.250944599
January,2022,Cameras.0004,Books.0001,8415052.608199004
February,2022,Cameras.0004,Books.0001,8100057.828168007
March,2022,Cameras.0004,Books.0001,7897060.5174448015
April,2022,Cameras.0004,Books.0001,7558369.296546501
May,2022,Cameras.0004,Books.0001,8704096.3486048
June,2022,Cameras.0004,Books.0001,8555043.016625904
July,2022,Cameras.0004,Books.0001,7541392.766985796
August,2022,Cameras.0004,Books.0001,7948396.065447
September,2022,Cameras.0004,Books.0001,7936615.4551298
October,2022,Cameras.0004,Books.0001,7741157.469542598
November,2022,Cameras.0004,Books.0001,8553472.634474006
December,2022,Cameras.0004,Books.0001,8309645.1269411985
January,2023,Cameras.0004,Books.0001,7740896.535651301
February,2023,Cameras.0004,Books.0001,8033142.602423198
March,2023,Cameras.0004,Books.0001,7736900.5298332
April,2023,Cameras.0004,Books.0001,7597323.408583899
May,2023,Cameras.0004,Books.0001,8761055.877942001
June,2023,Cameras.0004,Books.0001,7569101.002027303
July,2023,Cameras.0004,Books.0001,7948741.050235107
August,2023,Cameras.0004,Books.0001,8076784.457043001
September,2023,Cameras.0004,Books.0001,7786052.337380801
October,2023,Cameras.0004,Books.0001,7740432.975992602
November,2023,Cameras.0004,Books.0001,8154371.7671075985
December,2023,Cameras.0004,Books.0001,8244236.866019399
January,2021,Cameras.0004,Books.0002,7664336.168857001
February,2021,Cameras.0004,Books.0002,8071884.908372602
March,2021,Cameras.0004,Books.0002,8613382.125193503
April,2021,Cameras.0004,Books.0002,7950803.075691899
May,2021,Cameras.0004,Books.0002,8276811.726767004
June,2021,Cameras.0004,Books.0002,8097116.5051402
July,2021,Cameras.0004,Books.0002,8099911.1123656
August,2021,Cameras.0004,Books.0002,7674517.1768501
September,2021,Cameras.0004,Books.0002,8801878.932095801
October,2021,Cameras.0004,Books.0002,8112231.360303199
November,2021,Cameras.0004,Books.0002,7679702.092012597
December,2021,Cameras.0004,Books.0002,8145739.1482345015
January,2022,Cameras.0004,Books.0002,7982041.704845597
February,2022,Cameras.0004,Books.0002,7951173.322544896
March,2022,Cameras.0004,Books.0002,7713413.882081302
April,2022,Cameras.0004,Books.0002,7673063.768916595
May,2022,Cameras.0004,Books.0002,7635207.637913303
June,2022,Cameras.0004,Books.0002,7740462.529653902
July,2022,Cameras.0004,Books.0002,7651259.6564894
August,2022,Cameras.0004,Books.0002,8004578.924446895
September,2022,Cameras.0004,Books.0002,8861594.473406896
October,2022,Cameras.0004,Books.0002,7957213.337788002
November,2022,Cameras.0004,Books.0002,8561427.957015399
December,2022,Cameras.0004,Books.0002,8195873.031003901
January,2023,Cameras.0004,Books.0002,7671031.979206199
February,2023,Cameras.0004,Books.0002,7985594.948209801
March,2023,Cameras.0004,Books.0002,7818982.269171001
April,2023,Cameras.0004,Books.0002,7969069.195847699
May,2023,Cameras.0004,Books.0002,8187851.627865201
June,2023,Cameras.0004,Books.0002,8278938.389637999
July,2023,Cameras.0004,Books.0002,8059780.3638776
August,2023,Cameras.0004,Books.0002,7931013.8440729985
September,2023,Cameras.0004,Books.0002,8000854.397943997
October,2023,Cameras.0004,Books.0002,8358668.3702575
November,2023,Cameras.0004,Books.0002,7964587.824761297
December,2023,Cameras.0004,Books.0002,7841513.747923999
January,2021,Cameras.0004,Books.0003,7710274.072326002
February,2021,Cameras.0004,Books.0003,7456667.301033897
March,2021,Cameras.0004,Books.0003,7618551.914334698
April,2021,Cameras.0004,Books.0003,8603030.072028002
May,2021,Cameras.0004,Books.0003,8372033.616013
June,2021,Cameras.0004,Books.0003,7929323.161070397
July,2021,Cameras.0004,Books.0003,8069686.107139003
August,2021,Cameras.0004,Books.0003,8231879.460149502
September,2021,Cameras.0004,Books.0003,8555952.767133199
October,2021,Cameras.0004,Books.0003,8145210.689248603
November,2021,Cameras.0004,Books.0003,8235566.823504404
December,2021,Cameras.0004,Books.0003,7948213.704258002
January,2022,Cameras.0004,Books.0003,7624542.118834
February,2022,Cameras.0004,Books.0003,7577599.714934102
March,2022,Cameras.0004,Books.0003,8034257.928005403
April,2022,Cameras.0004,Books.0003,8743530.692695498
May,2022,Cameras.0004,Books.0003,8248171.5659847995
June,2022,Cameras.0004,Books.0003,8297287.0935400985
July,2022,Cameras.0004,Books.0003,8320023.106019698
August,2022,Cameras.0004,Books.0003,8136326.455766
September,2022,Cameras.0004,Books.0003,8076806.818882899
October,2022,Cameras.0004,Books.0003,8382037.453381003
November,2022,Cameras.0004,Books.0003,7756383.449532202
December,2022,Cameras.0004,Books.0003,8173835.596252999
January,2023,Cameras.0004,Books.0003,8809256.774152499
February,2023,Cameras.0004,Books.0003,7850304.479986797
March,2023,Cameras.0004,Books.0003,7914553.005556099
April,2023,Cameras.0004,Books.0003,8131152.182048301
May,2023,Cameras.0004,Books.0003,7859933.729654702
June,2023,Cameras.0004,Books.0003,8335213.871573592
July,2023,Cameras.0004,Books.0003,7381985.337644996
August,2023,Cameras.0004,Books.0003,7905064.764412199
September,2023,Cameras.0004,Books.0003,7917457.953709802
October,2023,Cameras.0004,Books.0003,7791854.377860304
November,2023,Cameras.0004,Books.0003,7531010.031304402
December,2023,Cameras.0004,Books.0003,8329441.244360504
January,2021,Cameras.0004,Books.0004,7990514.7247453
February,2021,Cameras.0004,Books.0004,7996578.367826703
March,2021,Cameras.0004,Books.0004,6869651.266548098
April,2021,Cameras.0004,Books.0004,7389695.908688096
May,2021,Cameras.0004,Books.0004,7885441.0410705
June,2021,Cameras.0004,Books.0004,8050086.577461602
July,2021,Cameras.0004,Books.0004,7231378.031897399
August,2021,Cameras.0004,Books.0004,7987357.109747699
September,2021,Cameras.0004,Books.0004,7400456.095562801
October,2021,Cameras.0004,Books.0004,7449760.690988303
November,2021,Cameras.0004,Books.0004,7657886.692739597
December,2021,Cameras.0004,Books.0004,8039008.346468801
January,2022,Cameras.0004,Books.0004,7968952.350102999
February,2022,Cameras.0004,Books.0004,7741026.0604814
March,2022,Cameras.0004,Books.0004,7461225.434495501
April,2022,Cameras.0004,Books.0004,8281670.283729998
May,2022,Cameras.0004,Books.0004,7952471.141202899
June,2022,Cameras.0004,Books.0004,8355826.319064702
July,2022,Cameras.0004,Books.0004,7782512.276878003
August,2022,Cameras.0004,Books.0004,7563044.285413896
September,2022,Cameras.0004,Books.0004,8432334.798649097
October,2022,Cameras.0004,Books.0004,7814038.1501099
November,2022,Cameras.0004,Books.0004,7794503.8620008
December,2022,Cameras.0004,Books.0004,8264310.664060998
January,2023,Cameras.0004,Books.0004,8377216.836605999
February,2023,Cameras.0004,Books.0004,8069363.397443403
March,2023,Cameras.0004,Books.0004,8677490.998854203
April,2023,Cameras.0004,Books.0004,7800686.144791099
May,2023,Cameras.0004,Books.0004,8129276.2579184
June,2023,Cameras.0004,Books.0004,8170554.461571102
July,2023,Cameras.0004,Books.0004,8222468.092982504
August,2023,Cameras.0004,Books.0004,7666075.671633401
September,2023,Cameras.0004,Books.0004,8051091.782990399
October,2023,Cameras.0004,Books.0004,8198411.242601497
November,2023,Cameras.0004,Books.0004,7696412.5944802
December,2023,Cameras.0004,Books.0004,7711447.937489996
