Date.Month,Date.Fiscal Quarter,Date.Fiscal Year,Product.Category,Product.Subcategory,Customer.Country-Region,Avg(Sales.Unit Price),Sum(Sales.Sales Amount),Sum(Bullet_Report.Total Sales)
2017 Aug,FY2018 Q1,FY2018,Accessories,Fenders,United Kingdom,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Fenders,United Kingdom,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Fenders,United Kingdom,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Fenders,United Kingdom,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Fenders,United Kingdom,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Fenders,United Kingdom,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Fenders,United Kingdom,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Fenders,United Kingdom,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Fenders,United Kingdom,,,
2018 May,FY2018 Q4,FY2018,Accessories,Fenders,United Kingdom,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Fenders,United Kingdom,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Fenders,United Kingdom,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Fenders,United Kingdom,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Fenders,United Kingdom,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Fenders,United Kingdom,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Fenders,United Kingdom,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Fenders,United Kingdom,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Fenders,United Kingdom,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Fenders,United Kingdom,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Fenders,United Kingdom,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Fenders,United Kingdom,,,
2019 May,FY2019 Q4,FY2019,Accessories,Fenders,United Kingdom,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Fenders,United Kingdom,21.98,43.96,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Fenders,United Kingdom,21.98,87.92,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Fenders,United Kingdom,21.98,87.92,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Fenders,United Kingdom,21.98,439.6,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Fenders,United Kingdom,21.98,219.8,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Fenders,United Kingdom,21.98,395.64,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Fenders,United Kingdom,21.98,307.72,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Fenders,United Kingdom,21.98,197.82,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Fenders,United Kingdom,21.98,219.8,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Fenders,United Kingdom,21.98,307.72,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Fenders,United Kingdom,21.98,285.74,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Fenders,United Kingdom,21.98,395.64,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Fenders,United Kingdom,21.98,175.84,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Fenders,United States,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Fenders,United States,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Fenders,United States,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Fenders,United States,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Fenders,United States,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Fenders,United States,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Fenders,United States,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Fenders,United States,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Fenders,United States,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Fenders,United States,,,
2018 May,FY2018 Q4,FY2018,Accessories,Fenders,United States,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Fenders,United States,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Fenders,United States,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Fenders,United States,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Fenders,United States,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Fenders,United States,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Fenders,United States,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Fenders,United States,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Fenders,United States,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Fenders,United States,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Fenders,United States,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Fenders,United States,,,
2019 May,FY2019 Q4,FY2019,Accessories,Fenders,United States,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Fenders,United States,21.98,483.56,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Fenders,United States,21.98,1494.64,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Fenders,United States,21.98,1626.52,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Fenders,United States,21.98,1692.46,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Fenders,United States,21.98,1692.46,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Fenders,United States,21.98,1868.3,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Fenders,United States,21.98,2088.1,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Fenders,United States,21.98,1714.44,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Fenders,United States,21.98,1846.32,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Fenders,United States,21.98,1956.22,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Fenders,United States,21.98,2219.98,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Fenders,United States,21.98,2132.06,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Fenders,United States,21.98,923.16,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,[Not Applicable],20.1865,1695.666,933216056.6900003
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,[Not Applicable],20.1865,3593.197,933216056.6900003
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,[Not Applicable],20.1865,5187.9305,933216056.6900003
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,[Not Applicable],,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,[Not Applicable],20.1818,9758.5711,933216056.6900003
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,[Not Applicable],,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,[Not Applicable],20.1865,585.4085,933216056.6900003
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,[Not Applicable],20.1865,4360.284,933216056.6900003
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,[Not Applicable],,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,[Not Applicable],20.1865,1776.412,933216056.6900003
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,[Not Applicable],20.1774,5577.8393,933216056.6900003
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,[Not Applicable],20.1865,4279.538,933216056.6900003
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,[Not Applicable],16.8221,7448.8277,933216056.6900003
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,[Not Applicable],20.1699,13974.3326,933216056.6900003
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,[Not Applicable],20.1009,11488.5903,933216056.6900003
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,[Not Applicable],20.1475,7421.1622,933216056.6900003
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,[Not Applicable],20.1582,9594.9252,933216056.6900003
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,[Not Applicable],20.1132,7774.0723,933216056.6900003
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,[Not Applicable],20.1865,3371.1455,933216056.6900003
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,[Not Applicable],20.1865,4360.284,933216056.6900003
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,[Not Applicable],20.173,3923.6094,933216056.6900003
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,[Not Applicable],20.0319,7613.9042,933216056.6900003
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,[Not Applicable],20.1379,9373.9093,933216056.6900003
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,[Not Applicable],20.0968,8348.6814,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,[Not Applicable],15.7455,9100.9002,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Helmets,[Not Applicable],20.9283,16833.1151,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Helmets,[Not Applicable],20.8863,17001.4415,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Helmets,[Not Applicable],20.8002,9368.1386,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Helmets,[Not Applicable],20.8825,11714.3056,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Helmets,[Not Applicable],20.8774,12434.2214,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Helmets,[Not Applicable],20.994,5206.512,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Helmets,[Not Applicable],20.994,5605.398,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Helmets,[Not Applicable],20.994,6109.254,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Helmets,[Not Applicable],20.783,9715.8519,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Helmets,[Not Applicable],20.8736,12105.7178,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Helmets,[Not Applicable],20.8575,12009.7857,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,Australia,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,Australia,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,Australia,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,Australia,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,Australia,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,Australia,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,Australia,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,Australia,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,Australia,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,Australia,,,
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,Australia,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,Australia,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,Australia,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,Australia,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,Australia,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,Australia,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,Australia,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,Australia,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,Australia,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,Australia,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,Australia,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,Australia,,,
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,Australia,34.99,34.99,933216056.6900003
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,Australia,34.99,1084.69,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,Australia,34.99,2904.17,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Helmets,Australia,34.99,3184.09,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Helmets,Australia,34.99,3778.92,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Helmets,Australia,34.99,3464.01,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Helmets,Australia,34.99,3778.92,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Helmets,Australia,34.99,3743.93,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Helmets,Australia,34.99,4338.76,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Helmets,Australia,34.99,3464.01,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Helmets,Australia,34.99,4898.6,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Helmets,Australia,34.99,4058.84,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Helmets,Australia,34.99,4898.6,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Helmets,Australia,34.99,1329.62,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,Canada,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,Canada,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,Canada,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,Canada,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,Canada,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,Canada,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,Canada,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,Canada,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,Canada,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,Canada,,,
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,Canada,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,Canada,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,Canada,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,Canada,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,Canada,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,Canada,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,Canada,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,Canada,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,Canada,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,Canada,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,Canada,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,Canada,,,
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,Canada,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,Canada,34.99,139.96,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,Canada,34.99,2379.32,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Helmets,Canada,34.99,2204.37,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Helmets,Canada,34.99,2204.37,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Helmets,Canada,34.99,2554.27,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Helmets,Canada,34.99,2554.27,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Helmets,Canada,34.99,2414.31,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Helmets,Canada,34.99,1679.52,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Helmets,Canada,34.99,2169.38,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Helmets,Canada,34.99,2589.26,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Helmets,Canada,34.99,2694.23,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Helmets,Canada,34.99,2624.25,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Helmets,Canada,34.99,1889.46,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,France,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,France,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,France,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,France,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,France,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,France,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,France,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,France,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,France,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,France,,,
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,France,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,France,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,France,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,France,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,France,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,France,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,France,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,France,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,France,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,France,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,France,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,France,,,
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,France,34.99,34.99,933216056.6900003
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,France,34.99,559.84,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,France,34.99,1329.62,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Helmets,France,34.99,1644.53,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Helmets,France,34.99,1224.65,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Helmets,France,34.99,1609.54,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Helmets,France,34.99,2554.27,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Helmets,France,34.99,1539.56,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Helmets,France,34.99,2274.35,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Helmets,France,34.99,2239.36,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Helmets,France,34.99,2414.31,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Helmets,France,34.99,2589.26,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Helmets,France,34.99,2344.33,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Helmets,France,34.99,909.74,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,Germany,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,Germany,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,Germany,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,Germany,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,Germany,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,Germany,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,Germany,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,Germany,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,Germany,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,Germany,,,
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,Germany,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,Germany,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,Germany,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,Germany,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,Germany,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,Germany,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,Germany,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,Germany,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,Germany,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,Germany,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,Germany,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,Germany,,,
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,Germany,34.99,34.99,933216056.6900003
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,Germany,34.99,769.78,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,Germany,34.99,1714.51,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Helmets,Germany,34.99,1609.54,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Helmets,Germany,34.99,1364.61,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Helmets,Germany,34.99,1644.53,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Helmets,Germany,34.99,2449.3,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Helmets,Germany,34.99,1959.44,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Helmets,Germany,34.99,2064.41,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Helmets,Germany,34.99,1924.45,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Helmets,Germany,34.99,2064.41,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Helmets,Germany,34.99,2449.3,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Helmets,Germany,34.99,2799.2,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Helmets,Germany,34.99,909.74,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,United Kingdom,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,United Kingdom,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,United Kingdom,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,United Kingdom,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,United Kingdom,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,United Kingdom,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,United Kingdom,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,United Kingdom,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,United Kingdom,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,United Kingdom,,,
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,United Kingdom,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,United Kingdom,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,United Kingdom,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,United Kingdom,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,United Kingdom,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,United Kingdom,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,United Kingdom,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,United Kingdom,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,United Kingdom,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,United Kingdom,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,United Kingdom,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,United Kingdom,,,
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,United Kingdom,,,
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,United Kingdom,34.99,909.74,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,United Kingdom,34.99,1959.44,933216056.6900003
2019 Aug,FY2020 Q1,FY2020,Accessories,Helmets,United Kingdom,34.99,2169.38,933216056.6900003
2019 Sep,FY2020 Q1,FY2020,Accessories,Helmets,United Kingdom,34.99,2064.41,933216056.6900003
2019 Oct,FY2020 Q2,FY2020,Accessories,Helmets,United Kingdom,34.99,2414.31,933216056.6900003
2019 Nov,FY2020 Q2,FY2020,Accessories,Helmets,United Kingdom,34.99,2659.24,933216056.6900003
2019 Dec,FY2020 Q2,FY2020,Accessories,Helmets,United Kingdom,34.99,2344.33,933216056.6900003
2020 Jan,FY2020 Q3,FY2020,Accessories,Helmets,United Kingdom,34.99,2764.21,933216056.6900003
2020 Feb,FY2020 Q3,FY2020,Accessories,Helmets,United Kingdom,34.99,2449.3,933216056.6900003
2020 Mar,FY2020 Q3,FY2020,Accessories,Helmets,United Kingdom,34.99,2799.2,933216056.6900003
2020 Apr,FY2020 Q4,FY2020,Accessories,Helmets,United Kingdom,34.99,2519.28,933216056.6900003
2020 May,FY2020 Q4,FY2020,Accessories,Helmets,United Kingdom,34.99,2764.21,933216056.6900003
2020 Jun,FY2020 Q4,FY2020,Accessories,Helmets,United Kingdom,34.99,664.81,933216056.6900003
2017 Jul,FY2018 Q1,FY2018,Accessories,Helmets,United States,,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Helmets,United States,,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Helmets,United States,,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Helmets,United States,,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Helmets,United States,,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Helmets,United States,,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Helmets,United States,,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Helmets,United States,,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Helmets,United States,,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Helmets,United States,,,
2018 May,FY2018 Q4,FY2018,Accessories,Helmets,United States,,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Helmets,United States,,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Helmets,United States,,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Helmets,United States,,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Helmets,United States,,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Helmets,United States,,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Helmets,United States,,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Helmets,United States,,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Helmets,United States,,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Helmets,United States,,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Helmets,United States,,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Helmets,United States,,,
2019 May,FY2019 Q4,FY2019,Accessories,Helmets,United States,34.99,34.99,933216056.6900003
2019 Jun,FY2019 Q4,FY2019,Accessories,Helmets,United States,34.99,1364.61,933216056.6900003
2019 Jul,FY2020 Q1,FY2020,Accessories,Helmets,United States,34.99,5598.4,933216056.6900003
