Region,Business Unit,Product Category,Product,GL Account,Year,Quarter,Month,Day,Sum of 2021,Sum of 2022
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 1,January,1,1198,1064
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 1,February,1,1224,1144
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 1,March,1,1089,1170
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 2,April,1,1267,1097
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 2,May,1,1082,1109
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 2,June,1,1115,1282
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 3,July,1,1169,1028
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 3,August,1,1067,1075
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 3,September,1,1133,1053
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 4,October,1,1060,1060
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 4,November,1,1117,1189
Europe,BU 1,Dairy,Milk,Cost of Sales,2019,Qtr 4,December,1,1008,1000
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 1,January,1,807,745
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 1,February,1,835,721
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 1,March,1,767,753
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 2,April,1,768,777
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 2,May,1,761,715
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 2,June,1,765,795
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 3,July,1,709,765
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 3,August,1,704,794
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 3,September,1,830,745
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 4,October,1,809,823
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 4,November,1,734,709
Europe,BU 1,Dairy,Milk,Other Costs,2019,Qtr 4,December,1,829,724
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 1,January,1,8679,8471
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 1,February,1,8669,9990
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 1,March,1,9870,8958
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 2,April,1,8783,9325
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 2,May,1,8403,8759
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 2,June,1,8788,9615
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 3,July,1,9269,9398
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 3,August,1,8339,8495
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 3,September,1,8646,9140
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 4,October,1,9354,8117
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 4,November,1,8004,8714
Europe,BU 1,Dairy,Milk,Other Income,2019,Qtr 4,December,1,9269,9258
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 1,January,1,18,19
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 1,February,1,19,18
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 1,March,1,18,17
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 2,April,1,18,18
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 2,May,1,20,19
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 2,June,1,19,19
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 3,July,1,17,19
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 3,August,1,18,19
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 3,September,1,17,18
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 4,October,1,19,20
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 4,November,1,19,20
Europe,BU 1,Dairy,Milk,Selling Price,2019,Qtr 4,December,1,19,20
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 1,January,1,460,482
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 1,February,1,401,499
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 1,March,1,474,456
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 2,April,1,426,457
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 2,May,1,413,482
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 2,June,1,404,498
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 3,July,1,429,431
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 3,August,1,416,453
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 3,September,1,416,500
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 4,October,1,468,440
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 4,November,1,423,401
Europe,BU 1,Dairy,Milk,Units Sold,2019,Qtr 4,December,1,408,400
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 1,January,1,1210,1064
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 1,February,1,1157,1199
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 1,March,1,1187,1141
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 2,April,1,1291,1247
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 2,May,1,1039,1179
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 2,June,1,1251,1200
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 3,July,1,1192,1289
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 3,August,1,1121,1104
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 3,September,1,1252,1044
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 4,October,1,1293,1129
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 4,November,1,1131,1240
US,BU 1,Beverages,Lemon,Cost of Sales,2019,Qtr 4,December,1,1078,1260
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 1,January,1,826,812
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 1,February,1,735,783
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 1,March,1,767,712
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 2,April,1,751,807
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 2,May,1,848,740
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 2,June,1,749,721
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 3,July,1,748,775
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 3,August,1,846,820
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 3,September,1,755,812
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 4,October,1,755,777
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 4,November,1,828,787
US,BU 1,Beverages,Lemon,Other Costs,2019,Qtr 4,December,1,708,803
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 1,January,1,9491,8307
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 1,February,1,9612,8118
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 1,March,1,9309,9752
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 2,April,1,8632,8078
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 2,May,1,8271,9904
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 2,June,1,9622,8408
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 3,July,1,9316,9601
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 3,August,1,8260,9011
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 3,September,1,9426,9847
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 4,October,1,8641,8133
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 4,November,1,9700,9373
US,BU 1,Beverages,Lemon,Other Income,2019,Qtr 4,December,1,9819,8216
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 1,January,1,16,22
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 1,February,1,18,21
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 1,March,1,20,18
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 2,April,1,16,21
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 2,May,1,17,18
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 2,June,1,16,22
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 3,July,1,20,19
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 3,August,1,19,19
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 3,September,1,16,23
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 4,October,1,20,18
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 4,November,1,20,18
US,BU 1,Beverages,Lemon,Selling Price,2019,Qtr 4,December,1,17,21
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 1,January,1,393,406
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 1,February,1,381,325
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 1,March,1,340,320
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 2,April,1,384,432
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 2,May,1,316,423
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 2,June,1,405,416
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 3,July,1,398,367
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 3,August,1,381,362
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 3,September,1,337,378
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 4,October,1,425,434
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 4,November,1,431,411
US,BU 1,Beverages,Lemon,Units Sold,2019,Qtr 4,December,1,408,373
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 1,January,1,1112,1046
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 1,February,1,1076,1036
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 1,March,1,1012,1279
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 2,April,1,1155,1233
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 2,May,1,1295,1023
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 2,June,1,1067,1274
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 3,July,1,1261,1041
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 3,August,1,1232,1123
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 3,September,1,1199,1160
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 4,October,1,1068,1264
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 4,November,1,1013,1248
US,BU 1,Beverages,Orange,Cost of Sales,2019,Qtr 4,December,1,1161,1002
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 1,January,1,788,841
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 1,February,1,814,725
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 1,March,1,765,707
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 2,April,1,817,849
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 2,May,1,799,845
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 2,June,1,702,828
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 3,July,1,735,736
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 3,August,1,742,775
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 3,September,1,757,825
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 4,October,1,722,811
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 4,November,1,787,808
US,BU 1,Beverages,Orange,Other Costs,2019,Qtr 4,December,1,825,752
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 1,January,1,9825,9827
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 1,February,1,9214,9004
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 1,March,1,8413,9780
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 2,April,1,9921,9028
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 2,May,1,8521,9997
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 2,June,1,9822,9114
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 3,July,1,8195,8047
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 3,August,1,8048,9888
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 3,September,1,9218,8767
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 4,October,1,8431,8240
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 4,November,1,8243,8491
US,BU 1,Beverages,Orange,Other Income,2019,Qtr 4,December,1,8307,8518
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 1,January,1,18,20
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 1,February,1,17,19
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 1,March,1,20,22
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 2,April,1,18,20
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 2,May,1,17,20
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 2,June,1,17,18
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 3,July,1,16,19
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 3,August,1,18,23
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 3,September,1,20,22
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 4,October,1,20,23
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 4,November,1,18,21
US,BU 1,Beverages,Orange,Selling Price,2019,Qtr 4,December,1,18,18
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 1,January,1,445,345
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 1,February,1,434,412
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 1,March,1,349,306
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 2,April,1,319,307
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 2,May,1,371,403
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 2,June,1,447,335
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 3,July,1,445,330
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 3,August,1,429,386
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 3,September,1,439,371
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 4,October,1,342,333
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 4,November,1,404,433
US,BU 1,Beverages,Orange,Units Sold,2019,Qtr 4,December,1,322,434
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 1,January,1,2740,2528
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 1,February,1,2934,2771
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 1,March,1,2704,2663
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 2,April,1,2671,2809
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 2,May,1,2677,2997
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 2,June,1,2579,2531
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 3,July,1,2829,2524
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 3,August,1,2508,2937
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 3,September,1,2907,2534
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 4,October,1,2896,2517
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 4,November,1,2581,2933
US,BU 2,Clothing,Men,Cost of Sales,2019,Qtr 4,December,1,2745,2761
US,BU 2,Clothing,Men,Discount %,2019,Qtr 1,January,1,11,11
US,BU 2,Clothing,Men,Discount %,2019,Qtr 1,February,1,11,12
US,BU 2,Clothing,Men,Discount %,2019,Qtr 1,March,1,10,9
US,BU 2,Clothing,Men,Discount %,2019,Qtr 2,April,1,10,8
US,BU 2,Clothing,Men,Discount %,2019,Qtr 2,May,1,8,9
US,BU 2,Clothing,Men,Discount %,2019,Qtr 2,June,1,8,11
US,BU 2,Clothing,Men,Discount %,2019,Qtr 3,July,1,12,13
US,BU 2,Clothing,Men,Discount %,2019,Qtr 3,August,1,9,11
US,BU 2,Clothing,Men,Discount %,2019,Qtr 3,September,1,11,11
US,BU 2,Clothing,Men,Discount %,2019,Qtr 4,October,1,11,12
US,BU 2,Clothing,Men,Discount %,2019,Qtr 4,November,1,9,13
US,BU 2,Clothing,Men,Discount %,2019,Qtr 4,December,1,8,9
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 1,January,1,312,343
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 1,February,1,314,337
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 1,March,1,334,350
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 2,April,1,346,317
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 2,May,1,332,345
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 2,June,1,346,317
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 3,July,1,325,311
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 3,August,1,320,343
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 3,September,1,328,312
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 4,October,1,305,316
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 4,November,1,345,321
US,BU 2,Clothing,Men,Other Costs,2019,Qtr 4,December,1,324,350
US,BU 2,Clothing,Men,Other Income,2019,Qtr 1,January,1,9728,9204
US,BU 2,Clothing,Men,Other Income,2019,Qtr 1,February,1,9139,9198
US,BU 2,Clothing,Men,Other Income,2019,Qtr 1,March,1,9774,9495
US,BU 2,Clothing,Men,Other Income,2019,Qtr 2,April,1,8959,9566
US,BU 2,Clothing,Men,Other Income,2019,Qtr 2,May,1,8554,8295
US,BU 2,Clothing,Men,Other Income,2019,Qtr 2,June,1,9749,8871
US,BU 2,Clothing,Men,Other Income,2019,Qtr 3,July,1,8825,8601
US,BU 2,Clothing,Men,Other Income,2019,Qtr 3,August,1,8932,9403
US,BU 2,Clothing,Men,Other Income,2019,Qtr 3,September,1,9455,9992
US,BU 2,Clothing,Men,Other Income,2019,Qtr 4,October,1,8969,9967
US,BU 2,Clothing,Men,Other Income,2019,Qtr 4,November,1,9932,8687
US,BU 2,Clothing,Men,Other Income,2019,Qtr 4,December,1,9330,8687
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 1,January,1,327,318
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 1,February,1,416,401
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 1,March,1,239,443
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 2,April,1,452,260
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 2,May,1,249,445
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 2,June,1,444,394
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 3,July,1,496,364
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 3,August,1,383,283
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 3,September,1,297,259
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 4,October,1,335,353
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 4,November,1,398,313
US,BU 2,Clothing,Men,Selling Price,2019,Qtr 4,December,1,445,299
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 1,January,1,120,108
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 1,February,1,102,106
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 1,March,1,117,122
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 2,April,1,127,114
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 2,May,1,119,102
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 2,June,1,118,109
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 3,July,1,100,130
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 3,August,1,104,119
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 3,September,1,129,107
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 4,October,1,124,115
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 4,November,1,120,114
US,BU 2,Clothing,Men,Units Sold,2019,Qtr 4,December,1,112,130
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 1,January,1,2745,2953
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 1,February,1,2645,2866
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 1,March,1,2589,2572
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 2,April,1,2830,2942
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 2,May,1,2971,2793
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 2,June,1,2562,2655
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 3,July,1,2952,2820
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 3,August,1,2537,2894
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 3,September,1,2966,2626
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 4,October,1,2765,2766
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 4,November,1,2621,2987
US,BU 2,Clothing,Women,Cost of Sales,2019,Qtr 4,December,1,2697,2768
US,BU 2,Clothing,Women,Discount %,2019,Qtr 1,January,1,13,13
US,BU 2,Clothing,Women,Discount %,2019,Qtr 1,February,1,9,12
US,BU 2,Clothing,Women,Discount %,2019,Qtr 1,March,1,8,8
US,BU 2,Clothing,Women,Discount %,2019,Qtr 2,April,1,9,12
US,BU 2,Clothing,Women,Discount %,2019,Qtr 2,May,1,12,10
US,BU 2,Clothing,Women,Discount %,2019,Qtr 2,June,1,8,10
US,BU 2,Clothing,Women,Discount %,2019,Qtr 3,July,1,11,9
US,BU 2,Clothing,Women,Discount %,2019,Qtr 3,August,1,10,9
US,BU 2,Clothing,Women,Discount %,2019,Qtr 3,September,1,11,12
US,BU 2,Clothing,Women,Discount %,2019,Qtr 4,October,1,12,13
US,BU 2,Clothing,Women,Discount %,2019,Qtr 4,November,1,12,10
US,BU 2,Clothing,Women,Discount %,2019,Qtr 4,December,1,13,12
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 1,January,1,326,331
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 1,February,1,340,320
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 1,March,1,336,327
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 2,April,1,324,336
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 2,May,1,347,315
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 2,June,1,332,325
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 3,July,1,327,309
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 3,August,1,325,348
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 3,September,1,309,324
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 4,October,1,309,322
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 4,November,1,337,327
US,BU 2,Clothing,Women,Other Costs,2019,Qtr 4,December,1,302,336
US,BU 2,Clothing,Women,Other Income,2019,Qtr 1,January,1,9123,9322
US,BU 2,Clothing,Women,Other Income,2019,Qtr 1,February,1,8291,8752
US,BU 2,Clothing,Women,Other Income,2019,Qtr 1,March,1,9568,9724
US,BU 2,Clothing,Women,Other Income,2019,Qtr 2,April,1,9025,9578
US,BU 2,Clothing,Women,Other Income,2019,Qtr 2,May,1,8572,9002
US,BU 2,Clothing,Women,Other Income,2019,Qtr 2,June,1,9450,9008
US,BU 2,Clothing,Women,Other Income,2019,Qtr 3,July,1,8987,9395
US,BU 2,Clothing,Women,Other Income,2019,Qtr 3,August,1,8004,8763
US,BU 2,Clothing,Women,Other Income,2019,Qtr 3,September,1,9475,9593
US,BU 2,Clothing,Women,Other Income,2019,Qtr 4,October,1,8280,8785
US,BU 2,Clothing,Women,Other Income,2019,Qtr 4,November,1,8112,9258
US,BU 2,Clothing,Women,Other Income,2019,Qtr 4,December,1,8404,9108
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 1,January,1,276,495
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 1,February,1,314,253
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 1,March,1,309,409
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 2,April,1,248,254
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 2,May,1,267,206
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 2,June,1,349,458
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 3,July,1,432,454
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 3,August,1,463,215
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 3,September,1,301,452
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 4,October,1,308,421
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 4,November,1,347,240
US,BU 2,Clothing,Women,Selling Price,2019,Qtr 4,December,1,289,410
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 1,January,1,125,121
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 1,February,1,113,127
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 1,March,1,122,117
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 2,April,1,130,126
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 2,May,1,125,126
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 2,June,1,129,104
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 3,July,1,109,111
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 3,August,1,106,125
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 3,September,1,113,126
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 4,October,1,128,125
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 4,November,1,115,126
US,BU 2,Clothing,Women,Units Sold,2019,Qtr 4,December,1,101,118
