Superstore 2023.Region,Superstore 2023.Category,Dates.Date,Sum(Superstore 2023.Sales)
Central,Furniture,"Friday, October 28, 2022",
East,Furniture,"Friday, October 28, 2022",834.4
South,Furniture,"Friday, October 28, 2022",276.968
West,Furniture,"Friday, October 28, 2022",
Central,Furniture,"Saturday, October 29, 2022",67
East,Furniture,"Saturday, October 29, 2022",
South,Furniture,"Saturday, October 29, 2022",
West,Furniture,"Saturday, October 29, 2022",
Central,Furniture,"Monday, October 31, 2022",368.97
East,Furniture,"Monday, October 31, 2022",492.835
South,Furniture,"Monday, October 31, 2022",
West,Furniture,"Monday, October 31, 2022",1403.92
Central,Furniture,"Thursday, November 03, 2022",
East,Furniture,"Thursday, November 03, 2022",470.155
South,Furniture,"Thursday, November 03, 2022",867.04
West,Furniture,"Thursday, November 03, 2022",217.584
Central,Furniture,"Friday, November 04, 2022",77.488
East,Furniture,"Friday, November 04, 2022",
South,Furniture,"Friday, November 04, 2022",926.796
West,Furniture,"Friday, November 04, 2022",1003.306
Central,Furniture,"Saturday, November 05, 2022",1819.7928
East,Furniture,"Saturday, November 05, 2022",
South,Furniture,"Saturday, November 05, 2022",1030.76
West,Furniture,"Saturday, November 05, 2022",113.888
Central,Furniture,"Sunday, November 06, 2022",
East,Furniture,"Sunday, November 06, 2022",
South,Furniture,"Sunday, November 06, 2022",243.552
West,Furniture,"Sunday, November 06, 2022",319.984
Central,Furniture,"Monday, November 07, 2022",44.46
East,Furniture,"Monday, November 07, 2022",
South,Furniture,"Monday, November 07, 2022",
West,Furniture,"Monday, November 07, 2022",1617.956
Central,Furniture,"Tuesday, November 08, 2022",
East,Furniture,"Tuesday, November 08, 2022",
South,Furniture,"Tuesday, November 08, 2022",993.9
West,Furniture,"Tuesday, November 08, 2022",
Central,Furniture,"Thursday, November 10, 2022",379.26
East,Furniture,"Thursday, November 10, 2022",148.288
South,Furniture,"Thursday, November 10, 2022",
West,Furniture,"Thursday, November 10, 2022",477.44
Central,Furniture,"Friday, November 11, 2022",2726.932
East,Furniture,"Friday, November 11, 2022",245.646
South,Furniture,"Friday, November 11, 2022",
West,Furniture,"Friday, November 11, 2022",500.072
Central,Furniture,"Saturday, November 12, 2022",22.752
East,Furniture,"Saturday, November 12, 2022",3461.248
South,Furniture,"Saturday, November 12, 2022",
West,Furniture,"Saturday, November 12, 2022",674.352
Central,Furniture,"Sunday, November 13, 2022",30.36
East,Furniture,"Sunday, November 13, 2022",
South,Furniture,"Sunday, November 13, 2022",
West,Furniture,"Sunday, November 13, 2022",23.72
Central,Furniture,"Monday, November 14, 2022",
East,Furniture,"Monday, November 14, 2022",856.56
South,Furniture,"Monday, November 14, 2022",
West,Furniture,"Monday, November 14, 2022",
Central,Furniture,"Tuesday, November 15, 2022",
East,Furniture,"Tuesday, November 15, 2022",
South,Furniture,"Tuesday, November 15, 2022",630.024
West,Furniture,"Tuesday, November 15, 2022",
Central,Furniture,"Friday, November 18, 2022",557.068
East,Furniture,"Friday, November 18, 2022",
South,Furniture,"Friday, November 18, 2022",
West,Furniture,"Friday, November 18, 2022",
Central,Furniture,"Saturday, November 19, 2022",2.328
East,Furniture,"Saturday, November 19, 2022",
South,Furniture,"Saturday, November 19, 2022",
West,Furniture,"Saturday, November 19, 2022",31.96
Central,Furniture,"Sunday, November 20, 2022",325.498
East,Furniture,"Sunday, November 20, 2022",86.97
South,Furniture,"Sunday, November 20, 2022",289.568
West,Furniture,"Sunday, November 20, 2022",
Central,Furniture,"Monday, November 21, 2022",
East,Furniture,"Monday, November 21, 2022",319.074
South,Furniture,"Monday, November 21, 2022",
West,Furniture,"Monday, November 21, 2022",195.136
Central,Furniture,"Tuesday, November 22, 2022",
East,Furniture,"Tuesday, November 22, 2022",39.88
South,Furniture,"Tuesday, November 22, 2022",
West,Furniture,"Tuesday, November 22, 2022",
Central,Furniture,"Wednesday, November 23, 2022",
East,Furniture,"Wednesday, November 23, 2022",84.816
South,Furniture,"Wednesday, November 23, 2022",
West,Furniture,"Wednesday, November 23, 2022",
Central,Furniture,"Thursday, November 24, 2022",
East,Furniture,"Thursday, November 24, 2022",207.76
South,Furniture,"Thursday, November 24, 2022",339.92
West,Furniture,"Thursday, November 24, 2022",1776.952
Central,Furniture,"Friday, November 25, 2022",1568.61
East,Furniture,"Friday, November 25, 2022",
South,Furniture,"Friday, November 25, 2022",
West,Furniture,"Friday, November 25, 2022",194.352
Central,Furniture,"Saturday, November 26, 2022",
East,Furniture,"Saturday, November 26, 2022",313.176
South,Furniture,"Saturday, November 26, 2022",
West,Furniture,"Saturday, November 26, 2022",4002.044
Central,Furniture,"Sunday, November 27, 2022",
East,Furniture,"Sunday, November 27, 2022",31.56
South,Furniture,"Sunday, November 27, 2022",331.023
West,Furniture,"Sunday, November 27, 2022",
Central,Furniture,"Monday, November 28, 2022",
East,Furniture,"Monday, November 28, 2022",347.802
South,Furniture,"Monday, November 28, 2022",182.67
West,Furniture,"Monday, November 28, 2022",
Central,Furniture,"Tuesday, November 29, 2022",242.176
East,Furniture,"Tuesday, November 29, 2022",
South,Furniture,"Tuesday, November 29, 2022",
West,Furniture,"Tuesday, November 29, 2022",
Central,Furniture,"Wednesday, November 30, 2022",389.97
East,Furniture,"Wednesday, November 30, 2022",
South,Furniture,"Wednesday, November 30, 2022",
West,Furniture,"Wednesday, November 30, 2022",
Central,Furniture,"Thursday, December 01, 2022",350.986
East,Furniture,"Thursday, December 01, 2022",1401.579
South,Furniture,"Thursday, December 01, 2022",
West,Furniture,"Thursday, December 01, 2022",48.7
Central,Furniture,"Friday, December 02, 2022",781.864
East,Furniture,"Friday, December 02, 2022",72.42
South,Furniture,"Friday, December 02, 2022",
West,Furniture,"Friday, December 02, 2022",14.52
Central,Furniture,"Saturday, December 03, 2022",611.94
East,Furniture,"Saturday, December 03, 2022",942.678
South,Furniture,"Saturday, December 03, 2022",
West,Furniture,"Saturday, December 03, 2022",586.27
Central,Furniture,"Sunday, December 04, 2022",
East,Furniture,"Sunday, December 04, 2022",113.79
South,Furniture,"Sunday, December 04, 2022",
West,Furniture,"Sunday, December 04, 2022",
Central,Furniture,"Monday, December 05, 2022",1951.84
East,Furniture,"Monday, December 05, 2022",95.34
South,Furniture,"Monday, December 05, 2022",191.82
West,Furniture,"Monday, December 05, 2022",
Central,Furniture,"Thursday, December 08, 2022",1276.79
East,Furniture,"Thursday, December 08, 2022",
South,Furniture,"Thursday, December 08, 2022",
West,Furniture,"Thursday, December 08, 2022",1421.664
Central,Furniture,"Friday, December 09, 2022",
East,Furniture,"Friday, December 09, 2022",
South,Furniture,"Friday, December 09, 2022",1136.834
West,Furniture,"Friday, December 09, 2022",
Central,Furniture,"Saturday, December 10, 2022",1424.9
East,Furniture,"Saturday, December 10, 2022",
South,Furniture,"Saturday, December 10, 2022",
West,Furniture,"Saturday, December 10, 2022",321.568
Central,Furniture,"Sunday, December 11, 2022",
East,Furniture,"Sunday, December 11, 2022",787.02
South,Furniture,"Sunday, December 11, 2022",
West,Furniture,"Sunday, December 11, 2022",1674.776
Central,Furniture,"Monday, December 12, 2022",33.48
East,Furniture,"Monday, December 12, 2022",60.35
South,Furniture,"Monday, December 12, 2022",
West,Furniture,"Monday, December 12, 2022",383.64
Central,Furniture,"Tuesday, December 13, 2022",
East,Furniture,"Tuesday, December 13, 2022",
South,Furniture,"Tuesday, December 13, 2022",
West,Furniture,"Tuesday, December 13, 2022",1114.272
Central,Furniture,"Wednesday, December 14, 2022",
East,Furniture,"Wednesday, December 14, 2022",396.92
South,Furniture,"Wednesday, December 14, 2022",133.38
West,Furniture,"Wednesday, December 14, 2022",81.424
Central,Furniture,"Thursday, December 15, 2022",1652.94
East,Furniture,"Thursday, December 15, 2022",
South,Furniture,"Thursday, December 15, 2022",
West,Furniture,"Thursday, December 15, 2022",578.955
Central,Furniture,"Friday, December 16, 2022",
East,Furniture,"Friday, December 16, 2022",
South,Furniture,"Friday, December 16, 2022",
West,Furniture,"Friday, December 16, 2022",563.92
Central,Furniture,"Saturday, December 17, 2022",
East,Furniture,"Saturday, December 17, 2022",
South,Furniture,"Saturday, December 17, 2022",
West,Furniture,"Saturday, December 17, 2022",2003.52
Central,Furniture,"Sunday, December 18, 2022",582.78
East,Furniture,"Sunday, December 18, 2022",
South,Furniture,"Sunday, December 18, 2022",
West,Furniture,"Sunday, December 18, 2022",601.21
Central,Furniture,"Monday, December 19, 2022",
East,Furniture,"Monday, December 19, 2022",303.92
South,Furniture,"Monday, December 19, 2022",
West,Furniture,"Monday, December 19, 2022",455.97
Central,Furniture,"Tuesday, December 20, 2022",
East,Furniture,"Tuesday, December 20, 2022",
South,Furniture,"Tuesday, December 20, 2022",18.92
West,Furniture,"Tuesday, December 20, 2022",
Central,Furniture,"Thursday, December 22, 2022",
East,Furniture,"Thursday, December 22, 2022",
South,Furniture,"Thursday, December 22, 2022",
West,Furniture,"Thursday, December 22, 2022",919.304
Central,Furniture,"Friday, December 23, 2022",143.7
East,Furniture,"Friday, December 23, 2022",
South,Furniture,"Friday, December 23, 2022",859.14
West,Furniture,"Friday, December 23, 2022",
Central,Furniture,"Saturday, December 24, 2022",
East,Furniture,"Saturday, December 24, 2022",799.56
South,Furniture,"Saturday, December 24, 2022",
West,Furniture,"Saturday, December 24, 2022",43.96
Central,Furniture,"Sunday, December 25, 2022",
East,Furniture,"Sunday, December 25, 2022",3763.998
South,Furniture,"Sunday, December 25, 2022",343.85
West,Furniture,"Sunday, December 25, 2022",2529.015
Central,Furniture,"Monday, December 26, 2022",
East,Furniture,"Monday, December 26, 2022",212.94
South,Furniture,"Monday, December 26, 2022",
West,Furniture,"Monday, December 26, 2022",1049.064
Central,Furniture,"Tuesday, December 27, 2022",845.488
East,Furniture,"Tuesday, December 27, 2022",
South,Furniture,"Tuesday, December 27, 2022",
West,Furniture,"Tuesday, December 27, 2022",
Central,Furniture,"Thursday, December 29, 2022",825.01
East,Furniture,"Thursday, December 29, 2022",
South,Furniture,"Thursday, December 29, 2022",
West,Furniture,"Thursday, December 29, 2022",
Central,Furniture,"Friday, December 30, 2022",
East,Furniture,"Friday, December 30, 2022",170.786
South,Furniture,"Friday, December 30, 2022",
West,Furniture,"Friday, December 30, 2022",
Central,Furniture,"Sunday, January 01, 2023",452.164
East,Furniture,"Sunday, January 01, 2023",48.896
South,Furniture,"Sunday, January 01, 2023",
West,Furniture,"Sunday, January 01, 2023",474.43
Central,Furniture,"Monday, January 02, 2023",913.43
East,Furniture,"Monday, January 02, 2023",
South,Furniture,"Monday, January 02, 2023",
West,Furniture,"Monday, January 02, 2023",
Central,Furniture,"Sunday, January 08, 2023",
East,Furniture,"Sunday, January 08, 2023",
South,Furniture,"Sunday, January 08, 2023",
West,Furniture,"Sunday, January 08, 2023",892.98
Central,Furniture,"Thursday, January 12, 2023",
East,Furniture,"Thursday, January 12, 2023",37.68
South,Furniture,"Thursday, January 12, 2023",
West,Furniture,"Thursday, January 12, 2023",
Central,Furniture,"Friday, January 13, 2023",212.94
East,Furniture,"Friday, January 13, 2023",
South,Furniture,"Friday, January 13, 2023",
West,Furniture,"Friday, January 13, 2023",
Central,Furniture,"Saturday, January 14, 2023",18.96
East,Furniture,"Saturday, January 14, 2023",
South,Furniture,"Saturday, January 14, 2023",
West,Furniture,"Saturday, January 14, 2023",
Central,Furniture,"Monday, January 16, 2023",302.67
East,Furniture,"Monday, January 16, 2023",
South,Furniture,"Monday, January 16, 2023",
West,Furniture,"Monday, January 16, 2023",427.592
Central,Furniture,"Thursday, January 19, 2023",
East,Furniture,"Thursday, January 19, 2023",919.239
South,Furniture,"Thursday, January 19, 2023",
West,Furniture,"Thursday, January 19, 2023",
Central,Furniture,"Friday, January 20, 2023",
East,Furniture,"Friday, January 20, 2023",207.846
South,Furniture,"Friday, January 20, 2023",
West,Furniture,"Friday, January 20, 2023",
Central,Furniture,"Saturday, January 21, 2023",
East,Furniture,"Saturday, January 21, 2023",
South,Furniture,"Saturday, January 21, 2023",
West,Furniture,"Saturday, January 21, 2023",84.98
Central,Furniture,"Monday, January 23, 2023",210.98
East,Furniture,"Monday, January 23, 2023",
South,Furniture,"Monday, January 23, 2023",
West,Furniture,"Monday, January 23, 2023",
Central,Furniture,"Thursday, January 26, 2023",
East,Furniture,"Thursday, January 26, 2023",
South,Furniture,"Thursday, January 26, 2023",62.72
West,Furniture,"Thursday, January 26, 2023",
Central,Furniture,"Saturday, January 28, 2023",
East,Furniture,"Saturday, January 28, 2023",
South,Furniture,"Saturday, January 28, 2023",
West,Furniture,"Saturday, January 28, 2023",37.74
Central,Furniture,"Sunday, January 29, 2023",14.91
East,Furniture,"Sunday, January 29, 2023",
South,Furniture,"Sunday, January 29, 2023",
West,Furniture,"Sunday, January 29, 2023",
Central,Furniture,"Monday, January 30, 2023",103.955
East,Furniture,"Monday, January 30, 2023",
South,Furniture,"Monday, January 30, 2023",419.136
West,Furniture,"Monday, January 30, 2023",120.784
Central,Furniture,"Thursday, February 02, 2023",
East,Furniture,"Thursday, February 02, 2023",
South,Furniture,"Thursday, February 02, 2023",
West,Furniture,"Thursday, February 02, 2023",296.84
Central,Furniture,"Friday, February 03, 2023",22.2
East,Furniture,"Friday, February 03, 2023",
South,Furniture,"Friday, February 03, 2023",
West,Furniture,"Friday, February 03, 2023",
Central,Furniture,"Monday, February 06, 2023",
East,Furniture,"Monday, February 06, 2023",240.784
South,Furniture,"Monday, February 06, 2023",359.97
West,Furniture,"Monday, February 06, 2023",
Central,Furniture,"Thursday, February 09, 2023",3.984
East,Furniture,"Thursday, February 09, 2023",
South,Furniture,"Thursday, February 09, 2023",
West,Furniture,"Thursday, February 09, 2023",21.12
Central,Furniture,"Friday, February 10, 2023",
East,Furniture,"Friday, February 10, 2023",
South,Furniture,"Friday, February 10, 2023",
West,Furniture,"Friday, February 10, 2023",203.983
Central,Furniture,"Saturday, February 11, 2023",
East,Furniture,"Saturday, February 11, 2023",147.568
South,Furniture,"Saturday, February 11, 2023",
West,Furniture,"Saturday, February 11, 2023",963.136
Central,Furniture,"Monday, February 13, 2023",
East,Furniture,"Monday, February 13, 2023",
South,Furniture,"Monday, February 13, 2023",
West,Furniture,"Monday, February 13, 2023",107.53
Central,Furniture,"Thursday, February 16, 2023",608.25
East,Furniture,"Thursday, February 16, 2023",
South,Furniture,"Thursday, February 16, 2023",
West,Furniture,"Thursday, February 16, 2023",
Central,Furniture,"Friday, February 17, 2023",570.0264
East,Furniture,"Friday, February 17, 2023",1385.544
South,Furniture,"Friday, February 17, 2023",
West,Furniture,"Friday, February 17, 2023",
Central,Furniture,"Sunday, February 19, 2023",
East,Furniture,"Sunday, February 19, 2023",
South,Furniture,"Sunday, February 19, 2023",
West,Furniture,"Sunday, February 19, 2023",44.67
Central,Furniture,"Monday, February 20, 2023",
East,Furniture,"Monday, February 20, 2023",
South,Furniture,"Monday, February 20, 2023",
West,Furniture,"Monday, February 20, 2023",477.844
Central,Furniture,"Saturday, February 25, 2023",
East,Furniture,"Saturday, February 25, 2023",
South,Furniture,"Saturday, February 25, 2023",428.704
West,Furniture,"Saturday, February 25, 2023",
Central,Furniture,"Sunday, February 26, 2023",
East,Furniture,"Sunday, February 26, 2023",
South,Furniture,"Sunday, February 26, 2023",
West,Furniture,"Sunday, February 26, 2023",984.184
Central,Furniture,"Thursday, March 02, 2023",
East,Furniture,"Thursday, March 02, 2023",441.96
South,Furniture,"Thursday, March 02, 2023",
West,Furniture,"Thursday, March 02, 2023",
Central,Furniture,"Friday, March 03, 2023",180.98
East,Furniture,"Friday, March 03, 2023",
South,Furniture,"Friday, March 03, 2023",
West,Furniture,"Friday, March 03, 2023",570.024
Central,Furniture,"Saturday, March 04, 2023",103.5
East,Furniture,"Saturday, March 04, 2023",
South,Furniture,"Saturday, March 04, 2023",
West,Furniture,"Saturday, March 04, 2023",
Central,Furniture,"Monday, March 06, 2023",
East,Furniture,"Monday, March 06, 2023",71.97
South,Furniture,"Monday, March 06, 2023",
West,Furniture,"Monday, March 06, 2023",
Central,Furniture,"Friday, March 10, 2023",933.408
East,Furniture,"Friday, March 10, 2023",50.568
South,Furniture,"Friday, March 10, 2023",
West,Furniture,"Friday, March 10, 2023",
Central,Furniture,"Saturday, March 11, 2023",
East,Furniture,"Saturday, March 11, 2023",181.484
South,Furniture,"Saturday, March 11, 2023",
West,Furniture,"Saturday, March 11, 2023",
Central,Furniture,"Monday, March 13, 2023",89.768
East,Furniture,"Monday, March 13, 2023",
South,Furniture,"Monday, March 13, 2023",
West,Furniture,"Monday, March 13, 2023",
Central,Furniture,"Thursday, March 16, 2023",
East,Furniture,"Thursday, March 16, 2023",51.264
South,Furniture,"Thursday, March 16, 2023",
West,Furniture,"Thursday, March 16, 2023",
Central,Furniture,"Saturday, March 18, 2023",82.524
East,Furniture,"Saturday, March 18, 2023",
South,Furniture,"Saturday, March 18, 2023",
West,Furniture,"Saturday, March 18, 2023",
Central,Furniture,"Sunday, March 19, 2023",
East,Furniture,"Sunday, March 19, 2023",
South,Furniture,"Sunday, March 19, 2023",
West,Furniture,"Sunday, March 19, 2023",728.09
Central,Furniture,"Monday, March 20, 2023",2.91
East,Furniture,"Monday, March 20, 2023",
South,Furniture,"Monday, March 20, 2023",
West,Furniture,"Monday, March 20, 2023",
Central,Furniture,"Tuesday, March 21, 2023",1805.88
East,Furniture,"Tuesday, March 21, 2023",
South,Furniture,"Tuesday, March 21, 2023",
West,Furniture,"Tuesday, March 21, 2023",22.14
Central,Furniture,"Thursday, March 23, 2023",
East,Furniture,"Thursday, March 23, 2023",
South,Furniture,"Thursday, March 23, 2023",
West,Furniture,"Thursday, March 23, 2023",211.84
Central,Furniture,"Friday, March 24, 2023",
East,Furniture,"Friday, March 24, 2023",479.61
South,Furniture,"Friday, March 24, 2023",
West,Furniture,"Friday, March 24, 2023",
Central,Furniture,"Saturday, March 25, 2023",1986.52
East,Furniture,"Saturday, March 25, 2023",
South,Furniture,"Saturday, March 25, 2023",
West,Furniture,"Saturday, March 25, 2023",
Central,Furniture,"Sunday, March 26, 2023",60.84
East,Furniture,"Sunday, March 26, 2023",257.568
South,Furniture,"Sunday, March 26, 2023",
West,Furniture,"Sunday, March 26, 2023",
Central,Furniture,"Monday, March 27, 2023",1835.136
East,Furniture,"Monday, March 27, 2023",15.008
South,Furniture,"Monday, March 27, 2023",292.1
West,Furniture,"Monday, March 27, 2023",
Central,Furniture,"Tuesday, March 28, 2023",
East,Furniture,"Tuesday, March 28, 2023",
South,Furniture,"Tuesday, March 28, 2023",
West,Furniture,"Tuesday, March 28, 2023",48.04
Central,Furniture,"Thursday, March 30, 2023",
East,Furniture,"Thursday, March 30, 2023",
South,Furniture,"Thursday, March 30, 2023",
West,Furniture,"Thursday, March 30, 2023",94.2
Central,Furniture,"Friday, March 31, 2023",205.3328
East,Furniture,"Friday, March 31, 2023",29.78
South,Furniture,"Friday, March 31, 2023",61
West,Furniture,"Friday, March 31, 2023",
Central,Furniture,"Saturday, April 01, 2023",
East,Furniture,"Saturday, April 01, 2023",
South,Furniture,"Saturday, April 01, 2023",346.302
West,Furniture,"Saturday, April 01, 2023",482.664
Central,Furniture,"Sunday, April 02, 2023",
East,Furniture,"Sunday, April 02, 2023",
South,Furniture,"Sunday, April 02, 2023",411.8
West,Furniture,"Sunday, April 02, 2023",25.11
Central,Furniture,"Monday, April 03, 2023",
East,Furniture,"Monday, April 03, 2023",25.472
South,Furniture,"Monday, April 03, 2023",
West,Furniture,"Monday, April 03, 2023",
Central,Furniture,"Friday, April 07, 2023",
East,Furniture,"Friday, April 07, 2023",
South,Furniture,"Friday, April 07, 2023",1112.5465
West,Furniture,"Friday, April 07, 2023",
Central,Furniture,"Saturday, April 08, 2023",580.86
East,Furniture,"Saturday, April 08, 2023",
South,Furniture,"Saturday, April 08, 2023",56.28
West,Furniture,"Saturday, April 08, 2023",
Central,Furniture,"Monday, April 10, 2023",
East,Furniture,"Monday, April 10, 2023",36.672
South,Furniture,"Monday, April 10, 2023",12.32
West,Furniture,"Monday, April 10, 2023",
Central,Furniture,"Thursday, April 13, 2023",
East,Furniture,"Thursday, April 13, 2023",
South,Furniture,"Thursday, April 13, 2023",
West,Furniture,"Thursday, April 13, 2023",436.704
Central,Furniture,"Friday, April 14, 2023",
East,Furniture,"Friday, April 14, 2023",316.802
South,Furniture,"Friday, April 14, 2023",198.272
West,Furniture,"Friday, April 14, 2023",
Central,Furniture,"Saturday, April 15, 2023",
East,Furniture,"Saturday, April 15, 2023",
South,Furniture,"Saturday, April 15, 2023",
West,Furniture,"Saturday, April 15, 2023",196.45
Central,Furniture,"Sunday, April 16, 2023",
East,Furniture,"Sunday, April 16, 2023",
South,Furniture,"Sunday, April 16, 2023",
West,Furniture,"Sunday, April 16, 2023",102.833
Central,Furniture,"Monday, April 17, 2023",
East,Furniture,"Monday, April 17, 2023",60.312
South,Furniture,"Monday, April 17, 2023",
West,Furniture,"Monday, April 17, 2023",218.352
Central,Furniture,"Thursday, April 20, 2023",376.018
East,Furniture,"Thursday, April 20, 2023",94.376
South,Furniture,"Thursday, April 20, 2023",
West,Furniture,"Thursday, April 20, 2023",
Central,Furniture,"Friday, April 21, 2023",
East,Furniture,"Friday, April 21, 2023",908.82
South,Furniture,"Friday, April 21, 2023",
West,Furniture,"Friday, April 21, 2023",162.6
Central,Furniture,"Saturday, April 22, 2023",
East,Furniture,"Saturday, April 22, 2023",254.352
South,Furniture,"Saturday, April 22, 2023",
West,Furniture,"Saturday, April 22, 2023",18.28
Central,Furniture,"Sunday, April 23, 2023",
East,Furniture,"Sunday, April 23, 2023",
South,Furniture,"Sunday, April 23, 2023",465.088
West,Furniture,"Sunday, April 23, 2023",102.164
Central,Furniture,"Tuesday, April 25, 2023",
East,Furniture,"Tuesday, April 25, 2023",
South,Furniture,"Tuesday, April 25, 2023",
West,Furniture,"Tuesday, April 25, 2023",344.981
Central,Furniture,"Wednesday, April 26, 2023",1.988
East,Furniture,"Wednesday, April 26, 2023",
South,Furniture,"Wednesday, April 26, 2023",
West,Furniture,"Wednesday, April 26, 2023",
Central,Furniture,"Thursday, April 27, 2023",220.2656
East,Furniture,"Thursday, April 27, 2023",
South,Furniture,"Thursday, April 27, 2023",
West,Furniture,"Thursday, April 27, 2023",139.58
Central,Furniture,"Saturday, April 29, 2023",
East,Furniture,"Saturday, April 29, 2023",1048.35
South,Furniture,"Saturday, April 29, 2023",
West,Furniture,"Saturday, April 29, 2023",
Central,Furniture,"Sunday, April 30, 2023",
East,Furniture,"Sunday, April 30, 2023",
South,Furniture,"Sunday, April 30, 2023",244.384
West,Furniture,"Sunday, April 30, 2023",64.96
Central,Furniture,"Monday, May 01, 2023",
East,Furniture,"Monday, May 01, 2023",
South,Furniture,"Monday, May 01, 2023",4051.534
West,Furniture,"Monday, May 01, 2023",
Central,Furniture,"Tuesday, May 02, 2023",
East,Furniture,"Tuesday, May 02, 2023",129.93
South,Furniture,"Tuesday, May 02, 2023",
West,Furniture,"Tuesday, May 02, 2023",
Central,Furniture,"Wednesday, May 03, 2023",
East,Furniture,"Wednesday, May 03, 2023",405.918
South,Furniture,"Wednesday, May 03, 2023",
West,Furniture,"Wednesday, May 03, 2023",
Central,Furniture,"Thursday, May 04, 2023",
East,Furniture,"Thursday, May 04, 2023",
South,Furniture,"Thursday, May 04, 2023",
West,Furniture,"Thursday, May 04, 2023",300.904
Central,Furniture,"Friday, May 05, 2023",
East,Furniture,"Friday, May 05, 2023",
South,Furniture,"Friday, May 05, 2023",
West,Furniture,"Friday, May 05, 2023",89.991
Central,Furniture,"Saturday, May 06, 2023",623.4648
East,Furniture,"Saturday, May 06, 2023",
South,Furniture,"Saturday, May 06, 2023",
West,Furniture,"Saturday, May 06, 2023",
Central,Furniture,"Sunday, May 07, 2023",1962.09
East,Furniture,"Sunday, May 07, 2023",
South,Furniture,"Sunday, May 07, 2023",
West,Furniture,"Sunday, May 07, 2023",
Central,Furniture,"Monday, May 08, 2023",
East,Furniture,"Monday, May 08, 2023",176.05
South,Furniture,"Monday, May 08, 2023",
West,Furniture,"Monday, May 08, 2023",
Central,Furniture,"Tuesday, May 09, 2023",
East,Furniture,"Tuesday, May 09, 2023",
South,Furniture,"Tuesday, May 09, 2023",207
West,Furniture,"Tuesday, May 09, 2023",286.85
Central,Furniture,"Thursday, May 11, 2023",7.996
East,Furniture,"Thursday, May 11, 2023",
South,Furniture,"Thursday, May 11, 2023",
West,Furniture,"Thursday, May 11, 2023",209.979
Central,Furniture,"Friday, May 12, 2023",
East,Furniture,"Friday, May 12, 2023",42.85
South,Furniture,"Friday, May 12, 2023",
West,Furniture,"Friday, May 12, 2023",285.48
Central,Furniture,"Saturday, May 13, 2023",
East,Furniture,"Saturday, May 13, 2023",458.43
South,Furniture,"Saturday, May 13, 2023",
West,Furniture,"Saturday, May 13, 2023",
Central,Furniture,"Sunday, May 14, 2023",899.43
East,Furniture,"Sunday, May 14, 2023",261.96
South,Furniture,"Sunday, May 14, 2023",
West,Furniture,"Sunday, May 14, 2023",18.28
Central,Furniture,"Monday, May 15, 2023",
East,Furniture,"Monday, May 15, 2023",
South,Furniture,"Monday, May 15, 2023",
West,Furniture,"Monday, May 15, 2023",303.544
Central,Furniture,"Thursday, May 18, 2023",24.5
East,Furniture,"Thursday, May 18, 2023",14.56
South,Furniture,"Thursday, May 18, 2023",302.94
West,Furniture,"Thursday, May 18, 2023",
Central,Furniture,"Friday, May 19, 2023",
East,Furniture,"Friday, May 19, 2023",
South,Furniture,"Friday, May 19, 2023",1943.172
West,Furniture,"Friday, May 19, 2023",681.408
Central,Furniture,"Saturday, May 20, 2023",
East,Furniture,"Saturday, May 20, 2023",
South,Furniture,"Saturday, May 20, 2023",
West,Furniture,"Saturday, May 20, 2023",525.252
Central,Furniture,"Sunday, May 21, 2023",
East,Furniture,"Sunday, May 21, 2023",520.05
South,Furniture,"Sunday, May 21, 2023",
West,Furniture,"Sunday, May 21, 2023",
Central,Furniture,"Monday, May 22, 2023",181.986
East,Furniture,"Monday, May 22, 2023",
South,Furniture,"Monday, May 22, 2023",
West,Furniture,"Monday, May 22, 2023",
Central,Furniture,"Tuesday, May 23, 2023",
East,Furniture,"Tuesday, May 23, 2023",
South,Furniture,"Tuesday, May 23, 2023",
West,Furniture,"Tuesday, May 23, 2023",171.288
Central,Furniture,"Thursday, May 25, 2023",
East,Furniture,"Thursday, May 25, 2023",18.84
South,Furniture,"Thursday, May 25, 2023",
West,Furniture,"Thursday, May 25, 2023",
Central,Furniture,"Saturday, May 27, 2023",477.3
East,Furniture,"Saturday, May 27, 2023",
South,Furniture,"Saturday, May 27, 2023",
West,Furniture,"Saturday, May 27, 2023",35
Central,Furniture,"Sunday, May 28, 2023",106.869
East,Furniture,"Sunday, May 28, 2023",390.86
South,Furniture,"Sunday, May 28, 2023",301.96
West,Furniture,"Sunday, May 28, 2023",
Central,Furniture,"Monday, May 29, 2023",71.664
East,Furniture,"Monday, May 29, 2023",
South,Furniture,"Monday, May 29, 2023",
West,Furniture,"Monday, May 29, 2023",
Central,Furniture,"Tuesday, May 30, 2023",204.6664
East,Furniture,"Tuesday, May 30, 2023",
South,Furniture,"Tuesday, May 30, 2023",249.97
West,Furniture,"Tuesday, May 30, 2023",13.592
Central,Furniture,"Thursday, June 01, 2023",1925.88
East,Furniture,"Thursday, June 01, 2023",
South,Furniture,"Thursday, June 01, 2023",
West,Furniture,"Thursday, June 01, 2023",
Central,Furniture,"Saturday, June 03, 2023",
East,Furniture,"Saturday, June 03, 2023",384.768
South,Furniture,"Saturday, June 03, 2023",276.736
West,Furniture,"Saturday, June 03, 2023",
Central,Furniture,"Sunday, June 04, 2023",30.336
East,Furniture,"Sunday, June 04, 2023",
