New Report.CO_DIV_FIP NO,Min(New Report.SHIPMENT_TYPE)
AI/FR/50037/2021,LCL
AI/FR/50037/2022,LCL
AI/FR/50039/2021,LCL
AI/FR/50040/2021,LCL
AI/FR/50040/2022,LCL
AI/FR/50042/2022,LCL
AI/FR/50044/2022,LCL
AI/FR/50046/2022,LCL
AI/FR/50047/2022,LCL
AI/FR/50048/2022,LCL
AI/FR/50049/2021,LCL
AI/FR/50049/2022,LCL
AI/FR/50050/2021,LCL
AI/FR/50050/2022,LCL
AI/FR/50051/2021,ROAD
AI/FR/50051/2022,LCL
AI/FR/50052/2022,LCL
AI/FR/50053/2021,LCL
AI/FR/50053/2022,LCL
AI/FR/50054/2021,LCL
AI/FR/50054/2022,LCL
AI/FR/50055/2021,LCL
AI/FR/50056/2021,LCL
AI/FR/50058/2021,LCL
AI/FR/50058/2022,LCL
AI/FR/50059/2022,LCL
AI/FR/50060/2021,LCL
AI/FR/50061/2021,LCL
AI/FR/50061/2022,LCL
AI/FR/50062/2022,LCL
AI/FR/50063/2022,LCL
AI/FR/50064/2022,LCL
AI/FR/50065/2022,LCL
AI/FR/50066/2021,LCL
AI/FR/50066/2022,ROAD
AI/FR/50067/2022,LCL
AI/FR/50069/2022,LCL
AI/FR/50071/2022,LCL
AI/FR/50072/2022,LCL
AI/FR/50074/2021,LCL
AI/FR/50074/2022,LCL
AI/FR/50075/2022,ROAD
AI/FR/50076/2021,LCL
AI/FR/50077/2021,LCL
AI/FR/50077/2022,LCL
AI/FR/50078/2021,LCL
AI/FR/50079/2022,LCL
AI/FR/50080/2021,ROAD
AI/FR/50080/2022,LCL
AI/FR/50081/2021,LCL
AI/FR/50082/2021,LCL
AI/FR/50083/2021,LCL
AI/FR/50084/2021,LCL
AI/FR/50085/2021,LCL
AI/FR/50085/2022,LCL
AI/FR/50088/2021,LCL
AI/FR/50088/2022,LCL
AI/FR/50089/2022,LCL
AI/FR/50090/2021,LCL
AI/FR/50090/2022,LCL
AI/FR/50091/2021,LCL
AI/FR/50094/2021,LCL
AI/FR/50095/2022,LCL
AI/FR/50096/2021,LCL
AI/FR/50096/2022,LCL
AI/FR/50097/2022,LCL
AI/FR/50098/2021,LCL
AI/FR/50098/2022,LCL
AI/FR/50099/2021,LCL
AI/FR/50099/2022,LCL
AI/FR/50100/2021,LCL
AI/FR/50101/2021,LCL
AI/FR/50101/2022,LCL
AI/FR/50103/2021,LCL
AI/FR/50104/2021,LCL
AI/FR/50105/2021,LCL
AI/FR/50106/2021,ROAD
AI/FR/50106/2022,LCL
AI/FR/50107/2022,LCL
AI/FR/50108/2021,LCL
AI/FR/50108/2022,LCL
AI/FR/50109/2022,LCL
AI/FR/50110/2022,LCL
AI/FR/50111/2021,LCL
AI/FR/50112/2021,LCL
AI/FR/50112/2022,LCL
AI/FR/50113/2022,LCL
AI/FR/50114/2021,LCL
AI/FR/50114/2022,LCL
AI/FR/50115/2021,LCL
AI/FR/50115/2022,LCL
AI/FR/50116/2021,LCL
AI/FR/50116/2022,LCL
AI/FR/50117/2022,LCL
AI/FR/50118/2022,LCL
AI/FR/50119/2022,LCL
AI/FR/50120/2022,LCL
AI/FR/50121/2022,ROAD
AI/FR/50123/2022,LCL
AI/FR/50124/2021,LCL
AI/FR/50124/2022,LCL
AI/FR/50125/2021,ROAD
AI/FR/50125/2022,LCL
AI/FR/50126/2021,LCL
AI/FR/50126/2022,ROAD
AI/FR/50127/2021,LCL
AI/FR/50127/2022,LCL
AI/FR/50128/2021,LCL
AI/FR/50128/2022,LCL
AI/FR/50129/2021,LCL
AI/FR/50130/2021,LCL
AI/FR/50131/2021,LCL
AI/FR/50131/2022,LCL
AI/FR/50132/2021,LCL
AI/FR/50135/2022,LCL
AI/FR/50136/2021,LCL
AI/FR/50136/2022,LCL
AI/FR/50137/2021,LCL
AI/FR/50137/2022,LCL
AI/FR/50138/2022,LCL
AI/FR/50139/2021,LCL
AI/FR/50141/2022,LCL
AI/FR/50144/2022,LCL
AI/FR/50145/2022,LCL
AI/FR/50146/2021,LCL
AI/FR/50146/2022,LCL
AI/FR/50147/2022,LCL
AI/FR/50148/2021,LCL
AI/FR/50149/2021,LCL
AI/FR/50151/2022,LCL
AI/FR/50152/2022,LCL
AI/FR/50153/2021,ROAD
AI/FR/50154/2021,LCL
AI/FR/50154/2022,LCL
AI/FR/50155/2021,ROAD
AI/FR/50155/2022,LCL
AI/FR/50156/2021,LCL
AI/FR/50157/2021,LCL
AI/FR/50157/2022,LCL
AI/FR/50158/2021,LCL
AI/FR/50158/2022,20GP
AI/FR/50159/2021,LCL
AI/FR/50160/2021,LCL
AI/FR/50161/2022,LCL
AI/FR/50162/2022,LCL
AI/FR/50163/2021,LCL
AI/FR/50164/2022,LCL
AI/FR/50165/2021,LCL
AI/FR/50166/2021,LCL
AI/FR/50166/2022,LCL
AI/FR/50167/2021,LCL
AI/FR/50167/2022,LCL
AI/FR/50168/2022,LCL
AI/FR/50169/2021,LCL
AI/FR/50169/2022,LCL
AI/FR/50170/2021,LCL
AI/FR/50172/2021,LCL
AI/FR/50172/2022,LCL
AI/FR/50173/2022,LCL
AI/FR/50174/2021,LCL
AI/FR/50174/2022,LCL
AI/FR/50175/2021,LCL
AI/FR/50177/2022,LCL
AI/FR/50178/2022,LCL
AI/FR/50180/2022,LCL
AI/FR/50181/2022,LCL
AI/FR/50183/2022,LCL
AI/FR/50185/2022,LCL
AI/FR/50186/2022,LCL
AI/FR/50188/2022,LCL
AI/FR/50189/2022,LCL
AI/FR/50190/2022,LCL
AI/FR/50191/2022,LCL
AI/FR/50192/2022,LCL
AI/FR/50195/2022,LCL
AI/FR/50196/2022,LCL
AI/FR/50197/2022,LCL
AI/FR/50198/2022,LCL
AI/FR/50199/2022,LCL
AI/FR/50200/2022,LCL
AI/FR/50202/2022,LCL
AI/FR/50204/2022,LCL
AI/FR/50208/2022,LCL
AI/FR/50209/2022,LCL
AI/FR/50210/2022,LCL
AI/FR/50211/2022,LCL
AI/FR/50213/2022,LCL
AI/FR/50214/2022,LCL
AI/FR/50216/2022,LCL
AI/FR/50217/2022,LCL
AI/FR/50220/2022,LCL
AI/FR/50221/2022,LCL
AI/FR/50223/2022,LCL
AI/FR/50225/2022,LCL
AI/FR/50227/2022,LCL
AI/FR/50229/2022,LCL
AI/FR/50236/2022,LCL
AI/FR/510/2023,LCL
AI/FR/510/2024,LCL
AI/FR/511/2023,LCL
AI/FR/511/2024,LCL
AI/FR/512/2023,LCL
AI/FR/519/2023,LCL
AI/FR/522/2023,20GP
AI/FR/527/2024,LCL
AI/FR/536/2024,LCL
AI/FR/537/2024,LCL
AI/FR/540/2023,LCL
AI/FR/541/2023,LCL
AI/FR/543/2023,LCL
AI/FR/545/2023,LCL
AI/FR/546/2023,LCL
AI/FR/550/2024,LCL
AI/FR/551/2024,LCL
AI/FR/552/2024,LCL
AI/FR/56/2023,LCL
AI/FR/56/2024,LCL
AI/FR/564/2023,LCL
AI/FR/565/2023,LCL
AI/FR/566/2023,LCL
AI/FR/566/2024,LCL
AI/FR/567/2023,LCL
AI/FR/568/2023,20GP
AI/FR/57/2023,LCL
AI/FR/571/2024,LCL
AI/FR/572/2023,LCL
AI/FR/576/2023,LCL
AI/FR/576/2024,LCL
AI/FR/577/2024,LCL
AI/FR/58/2023,LCL
AI/FR/58/2024,LCL
AI/FR/580/2024,LCL
AI/FR/59/2023,LCL
AI/FR/59/2024,LCL
AI/FR/594/2024,LCL
AI/FR/595/2024,LCL
AI/FR/596/2024,LCL
AI/FR/598/2024,LCL
AI/FR/6/2023,LCL
AI/FR/60/2023,LCL
AI/FR/60/2024,LCL
AI/FR/600/2024,LCL
AI/FR/602/2024,LCL
AI/FR/603/2024,LCL
AI/FR/604/2024,LCL
AI/FR/605/2024,LCL
AI/FR/606/2023,20GP
AI/FR/606/2024,LCL
AI/FR/607/2023,LCL
AI/FR/607/2024,LCL
AI/FR/608/2024,LCL
AI/FR/609/2023,LCL
AI/FR/61/2023,LCL
AI/FR/610/2023,LCL
AI/FR/611/2023,LCL
AI/FR/612/2024,LCL
AI/FR/613/2024,LCL
AI/FR/614/2024,LCL
AI/FR/615/2024,LCL
AI/FR/618/2023,LCL
AI/FR/619/2024,LCL
AI/FR/621/2023,LCL
AI/FR/621/2024,LCL
AI/FR/623/2024,LCL
AI/FR/627/2023,LCL
AI/FR/629/2024,LCL
AI/FR/63/2024,LCL
AI/FR/630/2024,LCL
AI/FR/645/2023,LCL
AI/FR/65/2024,LCL
AI/FR/654/2023,LCL
AI/FR/660/2023,LCL
AI/FR/661/2023,LCL
AI/FR/662/2023,LCL
AI/FR/663/2023,LCL
AI/FR/664/2023,LCL
AI/FR/665/2023,LCL
AI/FR/667/2023,LCL
AI/FR/668/2023,LCL
AI/FR/669/2023,LCL
AI/FR/670/2023,LCL
AI/FR/671/2023,LCL
AI/FR/685/2023,LCL
AI/FR/686/2023,LCL
AI/FR/690/2024,LCL
AI/FR/692/2024,LCL
AI/FR/693/2024,LCL
AI/FR/694/2024,LCL
AI/FR/695/2024,LCL
AI/FR/696/2023,LCL
AI/FR/7/2023,LCL
AI/FR/704/2023,LCL
AI/FR/705/2023,LCL
AI/FR/708/2024,LCL
AI/FR/714/2023,LCL
AI/FR/715/2023,LCL
AI/FR/716/2023,LCL
AI/FR/716/2024,LCL
AI/FR/717/2023,LCL
AI/FR/718/2023,20GP
AI/FR/727/2024,LCL
AI/FR/728/2024,LCL
AI/FR/740/2024,LCL
AI/FR/742/2024,LCL
AI/FR/747/2023,LCL
AI/FR/749/2023,LCL
AI/FR/751/2023,LCL
AI/FR/760/2023,LCL
AI/FR/774/2023,LCL
AI/FR/777/2023,LCL
AI/FR/785/2023,LCL
AI/FR/788/2023,LCL
AI/FR/789/2023,LCL
AI/FR/789/2024,LCL
AI/FR/790/2023,LCL
AI/FR/796/2024,LCL
AI/FR/8/2023,LCL
AI/FR/801/2024,LCL
AI/FR/802/2023,LCL
AI/FR/803/2023,LCL
AI/FR/807/2023,LCL
AI/FR/808/2023,LCL
AI/FR/809/2023,LCL
AI/FR/820/2023,LCL
AI/FR/821/2023,LCL
AI/FR/822/2023,LCL
AI/FR/823/2023,LCL
AI/FR/824/2023,LCL
AI/FR/825/2023,LCL
AI/FR/830/2024,LCL
AI/FR/832/2024,LCL
AI/FR/833/2024,LCL
AI/FR/834/2024,LCL
AI/FR/835/2023,LCL
AI/FR/837/2023,LCL
AI/FR/837/2024,LCL
AI/FR/838/2024,LCL
AI/FR/839/2024,LCL
AI/FR/841/2024,LCL
AI/FR/842/2024,LCL
AI/FR/844/2024,LCL
AI/FR/846/2024,LCL
AI/FR/847/2023,LCL
AI/FR/849/2024,LCL
AI/FR/851/2023,LCL
AI/FR/851/2024,LCL
AI/FR/853/2023,LCL
AI/FR/853/2024,LCL
AI/FR/857/2023,LCL
AI/FR/858/2023,LCL
AI/FR/859/2024,LCL
AI/FR/86/2024,LCL
AI/FR/860/2024,LCL
AI/FR/861/2024,LCL
AI/FR/87/2024,LCL
AI/FR/870/2024,LCL
AI/FR/872/2023,LCL
AI/FR/873/2024,LCL
AI/FR/879/2024,LCL
AI/FR/88/2024,LCL
AI/FR/883/2023,LCL
AI/FR/887/2023,LCL
AI/FR/888/2024,LCL
AI/FR/889/2024,LCL
AI/FR/892/2024,LCL
AI/FR/894/2023,LCL
AI/FR/894/2024,LCL
AI/FR/895/2023,LCL
AI/FR/895/2024,LCL
AI/FR/896/2024,LCL
AI/FR/898/2023,LCL
AI/FR/898/2024,LCL
AI/FR/90/2024,LCL
AI/FR/903/2024,LCL
AI/FR/904/2023,LCL
AI/FR/905/2023,LCL
AI/FR/905/2024,LCL
AI/FR/908/2024,LCL
AI/FR/915/2024,LCL
AI/FR/929/2023,LCL
AI/FR/93/2024,LCL
AI/FR/930/2023,LCL
AI/FR/933/2024,LCL
AI/FR/937/2023,LCL
AI/FR/94/2024,LCL
AI/FR/940/2024,LCL
AI/FR/941/2024,LCL
AI/FR/945/2024,LCL
AI/FR/960/2023,40GP
AI/FR/961/2023,LCL
AI/FR/962/2023,40GP
AI/FR/962/2024,LCL
AI/FR/963/2023,LCL
AI/FR/963/2024,LCL
AI/FR/964/2023,LCL
AI/FR/965/2023,20GP
AI/FR/976/2024,LCL
AI/FR/977/2023,LCL
AI/FR/978/2023,LCL
AI/FR/978/2024,LCL
AI/FR/979/2022,40FCL
AI/FR/979/2023,LCL
AI/FR/980/2024,LCL
AI/FR/981/2024,LCL
AI/FR/983/2024,LCL
AI/FR/984/2024,LCL
AI/FR/99/2024,LCL
AI/FR/993/2024,LCL
AI/FR/998/2023,LCL
AI/FR/999/2023,LCL
AI/NB/1/2021,LCL
AI/NB/1/2022,LCL
AI/NB/1/2023,LCL
AI/NB/1/2024,LCL
AI/NB/10/2021,LCL
AI/NB/10/2022,LCL
AI/NB/10/2023,LCL
AI/NB/11/2021,LCL
AI/NB/11/2022,LCL
AI/NB/11/2023,40FCL
AI/NB/12/2021,LCL
AI/NB/12/2022,LCL
AI/NB/12/2023,LCL
AI/NB/13/2021,LCL
AI/NB/13/2022,40FCL
AI/NB/13/2023,LCL
AI/NB/14/2021,LCL
AI/NB/14/2022,40FCL
AI/NB/15/2021,LCL
AI/NB/15/2022,40FCL
AI/NB/16/2021,LCL
AI/NB/16/2022,40FCL
AI/NB/17/2021,LCL
AI/NB/17/2022,40FCL
AI/NB/18/2021,LCL
AI/NB/18/2022,40FCL
AI/NB/19/2021,LCL
AI/NB/2/2021,LCL
AI/NB/2/2022,LCL
AI/NB/2/2023,LCL
AI/NB/20/2021,LCL
AI/NB/3/2021,LCL
AI/NB/3/2022,LCL
AI/NB/3/2023,40FCL
AI/NB/4/2021,LCL
AI/NB/4/2022,LCL
AI/NB/4/2023,40FCL
AI/NB/5/2021,LCL
AI/NB/5/2023,40FCL
AI/NB/6/2021,LCL
AI/NB/6/2022,LCL
AI/NB/6/2023,40FCL
AI/NB/7/2021,LCL
AI/NB/7/2022,LCL
AI/NB/7/2023,40FCL
AI/NB/8/2022,LCL
AI/NB/8/2023,40FCL
AI/NB/9/2021,LCL
AI/NB/9/2022,LCL
AI/NB/9/2023,LCL
TE/AC/62/2024,LCL
TE/AC/70/2024,LCL
TE/AC/72/2024,LCL
TE/AP/1/2021,40HC
TE/AP/101/2021,40HC
TE/AP/104/2021,40HC
TE/AP/11/2021,40HC
TE/AP/112/2021,40HC
TE/AP/114/2021,40HC
TE/AP/116/2021,40HC
TE/AP/117/2021,20FCL
TE/AP/118/2021,40HC
TE/AP/119/2021,40HC
TE/AP/12/2021,40HC
TE/AP/120/2021,40HC
TE/AP/121/2021,40HC
TE/AP/122/2021,40HC
TE/AP/127/2021,20FCL
TE/AP/128/2021,40HC
TE/AP/13/2021,40HC
TE/AP/130/2021,40HC
TE/AP/133/2021,40HC
TE/AP/134/2021,40HC
TE/AP/138/2021,40HC
TE/AP/139/2021,40HC
TE/AP/14/2021,40HC
TE/AP/140/2021,40HC
TE/AP/141/2021,40HC
TE/AP/143/2021,40HC
TE/AP/146/2021,40HC
TE/AP/147/2021,40HC
TE/AP/148/2021,40HC
TE/AP/150/2021,40HC
TE/AP/151/2021,40HC
TE/AP/152/2021,40HC
TE/AP/154/2021,40HC
TE/AP/156/2021,40HC
TE/AP/159/2021,40HC
TE/AP/160/2021,40HC
TE/AP/161/2021,40HC
TE/AP/165/2021,40HC
TE/AP/166/2021,40HC
TE/AP/168/2021,40HC
TE/AP/17/2021,40HC
TE/AP/170/2021,40HC
TE/AP/171/2021,40HC
TE/AP/172/2021,40HC
TE/AP/173/2021,40HC
TE/AP/174/2021,40HC
TE/AP/175/2021,40HC
TE/AP/176/2021,40HC
TE/AP/177/2021,40HC
TE/AP/179/2021,40HC
TE/AP/18/2021,40HC
TE/AP/181/2021,40HC
TE/AP/182/2021,40HC
TE/AP/184/2021,40HC
TE/AP/185/2021,40HC
TE/AP/186/2021,40HC
TE/AP/187/2021,40HC
TE/AP/188/2021,40HC
TE/AP/190/2021,40HC
TE/AP/192/2021,40HC
TE/AP/193/2021,40HC
TE/AP/197/2021,40HC
TE/AP/198/2021,20FCL
TE/AP/2/2021,40HC
TE/AP/20/2021,40HC
TE/AP/200/2021,40HC
TE/AP/20001/2021,40HC
TE/AP/20001/2022,40HC
TE/AP/20001/2023,40HC
TE/AP/20001/2024,LCL
TE/AP/20002/2023,40HC
TE/AP/20002/2024,40FCL
TE/AP/20003/2023,LCL
TE/AP/20003/2024,40FCL
TE/AP/20004/2021,40HC
TE/AP/20004/2022,40HC
TE/AP/20004/2023,40HC
TE/AP/20004/2024,40FCL
TE/AP/20005/2022,40HC
TE/AP/20005/2023,40HC
TE/AP/20005/2024,LCL
TE/AP/20006/2021,40HC
TE/AP/20006/2022,40HC
TE/AP/20006/2023,LCL
TE/AP/20006/2024,LCL
TE/AP/20007/2022,40HC
TE/AP/20007/2023,LCL
TE/AP/20007/2024,40FCL
TE/AP/20008/2021,40HC
TE/AP/20008/2022,40HC
TE/AP/20008/2023,40HC
TE/AP/20008/2024,40FCL
TE/AP/20009/2021,40HC
TE/AP/20009/2022,40HC
TE/AP/20009/2023,40HC
TE/AP/20009/2024,40FCL
TE/AP/20010/2021,40HC
TE/AP/20010/2022,LCL
TE/AP/20010/2023,40HC
TE/AP/20010/2024,40FCL
TE/AP/20011/2021,40HC
TE/AP/20011/2022,LCL
TE/AP/20011/2023,40HC
TE/AP/20011/2024,20FCL
TE/AP/20012/2021,40HC
TE/AP/20012/2022,40HC
TE/AP/20012/2023,40HC
TE/AP/20012/2024,40FCL
TE/AP/20013/2021,40HC
TE/AP/20013/2023,40HC
TE/AP/20013/2024,40FCL
TE/AP/20014/2021,40HC
TE/AP/20014/2022,40HC
TE/AP/20014/2023,40HC
TE/AP/20014/2024,40FCL
TE/AP/20015/2022,LCL
TE/AP/20015/2023,40HC
TE/AP/20015/2024,40FCL
TE/AP/20016/2022,40HC
TE/AP/20016/2023,40HC
TE/AP/20016/2024,40FCL
TE/AP/20017/2022,40HC
TE/AP/20017/2023,40HC
TE/AP/20017/2024,40FCL
TE/AP/20018/2021,40HC
TE/AP/20018/2022,40HC
TE/AP/20018/2023,40HC
TE/AP/20018/2024,40FCL
TE/AP/20019/2021,40HC
TE/AP/20019/2022,40HC
TE/AP/20019/2023,LCL
TE/AP/20019/2024,40FCL
TE/AP/20020/2021,40HC
TE/AP/20020/2022,40HC
TE/AP/20020/2023,LCL
TE/AP/20020/2024,40FCL
TE/AP/20021/2021,40HC
TE/AP/20021/2022,40HC
TE/AP/20021/2023,40HC
TE/AP/20021/2024,40FCL
TE/AP/20022/2021,40HC
TE/AP/20022/2022,40HC
TE/AP/20022/2023,40HC
TE/AP/20022/2024,40FCL
TE/AP/20023/2022,40HC
TE/AP/20023/2023,40HC
TE/AP/20023/2024,40FCL
TE/AP/20024/2021,40HC
TE/AP/20024/2022,40HC
TE/AP/20024/2023,40HC
TE/AP/20024/2024,40FCL
TE/AP/20025/2022,40HC
TE/AP/20025/2023,40HC
TE/AP/20025/2024,40FCL
TE/AP/20026/2021,40HC
TE/AP/20026/2022,LCL
TE/AP/20026/2023,40HC
TE/AP/20026/2024,LCL
TE/AP/20027/2021,40HC
TE/AP/20027/2022,40HC
TE/AP/20027/2023,40HC
TE/AP/20027/2024,40FCL
TE/AP/20028/2021,40HC
TE/AP/20028/2023,LCL
TE/AP/20028/2024,LCL
TE/AP/20029/2021,40HC
TE/AP/20029/2022,40HC
TE/AP/20029/2023,40HC
TE/AP/20029/2024,40FCL
TE/AP/20030/2022,40HC
TE/AP/20030/2023,40HC
TE/AP/20030/2024,40FCL
TE/AP/20031/2022,40HC
TE/AP/20031/2023,40HC
TE/AP/20031/2024,40FCL
TE/AP/20032/2022,40HC
TE/AP/20032/2023,40HC
TE/AP/20032/2024,40FCL
TE/AP/20033/2023,LCL
TE/AP/20033/2024,40FCL
TE/AP/20034/2021,LCL
TE/AP/20034/2022,LCL
TE/AP/20034/2023,40HC
TE/AP/20034/2024,40FCL
TE/AP/20035/2021,40HC
TE/AP/20035/2022,LCL
TE/AP/20035/2023,LCL
TE/AP/20035/2024,LCL
TE/AP/20036/2021,40HC
TE/AP/20036/2022,40HC
TE/AP/20036/2023,LCL
TE/AP/20036/2024,LCL
TE/AP/20037/2021,40HC
TE/AP/20037/2023,40HC
TE/AP/20037/2024,40FCL
TE/AP/20038/2021,40HC
TE/AP/20038/2022,40HC
TE/AP/20038/2023,LCL
TE/AP/20039/2022,40HC
TE/AP/20039/2023,40HC
TE/AP/20039/2024,40FCL
TE/AP/20040/2021,40HC
TE/AP/20040/2023,40HC
TE/AP/20040/2024,40FCL
TE/AP/20041/2021,40HC
TE/AP/20041/2022,40HC
TE/AP/20041/2023,40HC
TE/AP/20041/2024,40FCL
TE/AP/20042/2021,40HC
TE/AP/20042/2022,LCL
TE/AP/20042/2023,LCL
TE/AP/20042/2024,40FCL
TE/AP/20043/2021,LCL
TE/AP/20043/2022,40HC
TE/AP/20043/2023,40HC
TE/AP/20044/2021,LCL
TE/AP/20044/2023,LCL
TE/AP/20044/2024,40FCL
TE/AP/20045/2021,LCL
TE/AP/20045/2022,40HC
TE/AP/20045/2023,LCL
TE/AP/20045/2024,40FCL
TE/AP/20046/2021,40HC
TE/AP/20046/2022,40HC
TE/AP/20046/2023,40HC
TE/AP/20046/2024,40FCL
TE/AP/20047/2021,40HC
TE/AP/20047/2022,40HC
TE/AP/20047/2023,40HC
TE/AP/20047/2024,40FCL
TE/AP/20048/2021,LCL
TE/AP/20048/2022,40HC
TE/AP/20048/2023,40HC
TE/AP/20048/2024,40FCL
TE/AP/20049/2021,40HC
TE/AP/20049/2022,40HC
TE/AP/20049/2023,LCL
TE/AP/20050/2021,40HC
TE/AP/20050/2022,40HC
TE/AP/20050/2023,40HC
TE/AP/20050/2024,LCL
TE/AP/20051/2021,40HC
TE/AP/20051/2022,LCL
TE/AP/20051/2023,LCL
TE/AP/20051/2024,LCL
TE/AP/20052/2021,40HC
TE/AP/20052/2022,40HC
TE/AP/20052/2023,40FCL
TE/AP/20052/2024,40FCL
TE/AP/20053/2021,LCL
TE/AP/20053/2022,40HC
TE/AP/20053/2023,LCL
TE/AP/20053/2024,LCL
TE/AP/20054/2021,40HC
TE/AP/20054/2022,40HC
TE/AP/20054/2023,40HC
TE/AP/20055/2021,40HC
TE/AP/20055/2022,40HC
TE/AP/20055/2023,40HC
TE/AP/20055/2024,40FCL
TE/AP/20056/2021,LCL
TE/AP/20056/2022,40HC
TE/AP/20056/2023,40HC
TE/AP/20056/2024,40FCL
TE/AP/20057/2021,40HC
TE/AP/20057/2023,40HC
TE/AP/20058/2021,40HC
TE/AP/20058/2022,LCL
TE/AP/20058/2023,40HC
TE/AP/20059/2021,40HC
TE/AP/20059/2022,40HC
TE/AP/20059/2023,40HC
TE/AP/20059/2024,40FCL
TE/AP/20060/2022,40HC
TE/AP/20060/2023,40HC
TE/AP/20061/2022,LCL
TE/AP/20061/2023,40HC
TE/AP/20062/2021,45HC
TE/AP/20062/2022,40HC
TE/AP/20062/2023,LCL
TE/AP/20062/2024,LCL
TE/AP/20063/2021,40HC
TE/AP/20063/2023,40HC
TE/AP/20063/2024,40FCL
TE/AP/20064/2021,40HC
TE/AP/20064/2022,LCL
TE/AP/20064/2023,40HC
TE/AP/20064/2024,LCL
TE/AP/20065/2021,40HC
TE/AP/20065/2022,40HC
TE/AP/20065/2023,40HC
TE/AP/20066/2021,40HC
TE/AP/20066/2022,40HC
TE/AP/20066/2023,40HC
TE/AP/20066/2024,40FCL
TE/AP/20067/2021,LCL
TE/AP/20067/2022,40HC
TE/AP/20067/2023,LCL
TE/AP/20068/2021,40HC
TE/AP/20068/2022,40HC
TE/AP/20068/2023,40HC
TE/AP/20069/2021,40HC
TE/AP/20069/2022,LCL
TE/AP/20069/2023,LCL
TE/AP/20069/2024,40FCL
TE/AP/20070/2022,40HC
TE/AP/20070/2023,40HC
TE/AP/20070/2024,LCL
TE/AP/20071/2022,40HC
TE/AP/20071/2023,40HC
TE/AP/20071/2024,LCL
TE/AP/20072/2022,40HC
TE/AP/20072/2023,LCL
TE/AP/20072/2024,40FCL
TE/AP/20073/2022,40HC
TE/AP/20073/2023,LCL
TE/AP/20073/2024,LCL
TE/AP/20074/2021,40HC
TE/AP/20074/2023,LCL
TE/AP/20074/2024,20FCL
TE/AP/20075/2022,40HC
TE/AP/20075/2023,40HC
TE/AP/20076/2022,40HC
TE/AP/20076/2023,40HC
TE/AP/20076/2024,40FCL
TE/AP/20077/2021,40HC
TE/AP/20077/2022,40HC
TE/AP/20077/2023,40HC
TE/AP/20077/2024,40FCL
TE/AP/20078/2021,40HC
TE/AP/20078/2022,40HC
TE/AP/20078/2023,40HC
TE/AP/20079/2021,40HC
TE/AP/20079/2022,40HC
TE/AP/20079/2023,LCL
TE/AP/20079/2024,40FCL
TE/AP/20080/2021,40HC
TE/AP/20080/2022,LCL
TE/AP/20080/2023,LCL
TE/AP/20081/2021,40HC
TE/AP/20081/2023,40HC
TE/AP/20081/2024,40FCL
TE/AP/20082/2021,40HC
TE/AP/20082/2023,40HC
TE/AP/20082/2024,40FCL
TE/AP/20083/2022,40HC
TE/AP/20083/2023,40HC
TE/AP/20083/2024,40FCL
TE/AP/20084/2021,40HC
TE/AP/20084/2023,40HC
TE/AP/20085/2021,40FCL
TE/AP/20085/2022,40HC
TE/AP/20085/2023,40HC
TE/AP/20085/2024,40FCL
TE/AP/20086/2021,40HC
TE/AP/20086/2022,40HC
TE/AP/20086/2023,LCL
TE/AP/20086/2024,LCL
TE/AP/20087/2021,LCL
TE/AP/20087/2023,40HC
TE/AP/20087/2024,40FCL
TE/AP/20088/2021,40HC
TE/AP/20088/2023,40HC
TE/AP/20088/2024,40FCL
TE/AP/20089/2021,40HC
TE/AP/20089/2022,40HC
TE/AP/20089/2023,40HC
TE/AP/20089/2024,40FCL
TE/AP/20090/2023,LCL
TE/AP/20090/2024,40FCL
TE/AP/20091/2021,40HC
TE/AP/20091/2022,40HC
TE/AP/20091/2023,40HC
TE/AP/20091/2024,40FCL
TE/AP/20092/2021,40HC
TE/AP/20092/2022,40HC
TE/AP/20092/2023,40HC
TE/AP/20092/2024,40FCL
TE/AP/20093/2021,40HC
TE/AP/20093/2023,40HC
TE/AP/20093/2024,40FCL
TE/AP/20094/2021,40HC
TE/AP/20094/2022,LCL
TE/AP/20094/2023,40HC
TE/AP/20094/2024,40FCL
TE/AP/20095/2021,40HC
TE/AP/20095/2022,40HC
TE/AP/20095/2023,40HC
TE/AP/20095/2024,LCL
TE/AP/20096/2022,40HC
TE/AP/20096/2023,40HC
TE/AP/20096/2024,40FCL
TE/AP/20097/2023,40HC
TE/AP/20098/2022,40HC
TE/AP/20098/2023,LCL
TE/AP/20099/2022,40HC
TE/AP/20099/2023,LCL
TE/AP/20099/2024,40FCL
TE/AP/20100/2021,40HC
TE/AP/20100/2023,40HC
TE/AP/20100/2024,40FCL
TE/AP/20101/2021,40HC
TE/AP/20101/2022,40HC
TE/AP/20101/2023,LCL
TE/AP/20101/2024,40FCL
TE/AP/20102/2021,LCL
TE/AP/20102/2022,40HC
TE/AP/20102/2023,40HC
TE/AP/20103/2021,LCL
TE/AP/20103/2022,40HC
TE/AP/20103/2023,LCL
TE/AP/20103/2024,LCL
TE/AP/20104/2022,40HC
TE/AP/20104/2023,40HC
TE/AP/20104/2024,LCL
TE/AP/20105/2022,40HC
TE/AP/20105/2023,40HC
TE/AP/20105/2024,LCL
TE/AP/20106/2021,40HC
TE/AP/20106/2022,LCL
TE/AP/20106/2023,40HC
TE/AP/20107/2021,LCL
TE/AP/20107/2023,LCL
TE/AP/20107/2024,40FCL
