Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.City,Orders.Category,Sum(Orders.Profit),Sum(Orders.Quantity)
2017,Central,Romeoville,Office Supplies,,
2014,Central,Roseville,Furniture,,
2015,Central,Roseville,Furniture,12.856800000000002,3
2016,Central,Roseville,Furniture,,
2017,Central,Roseville,Furniture,,
2014,Central,Roseville,Office Supplies,,
2015,Central,Roseville,Office Supplies,356.4913999999999,8
2016,Central,Roseville,Office Supplies,260.5249,17
2017,Central,Roseville,Office Supplies,31.573999999999998,12
2014,Central,Roseville,Technology,,
2015,Central,Roseville,Technology,274.995,1
2016,Central,Roseville,Technology,,
2017,Central,Roseville,Technology,,
2014,Central,Round Rock,Furniture,,
2015,Central,Round Rock,Furniture,,
2016,Central,Round Rock,Furniture,,
2017,Central,Round Rock,Furniture,-439.04600000000005,7
2014,Central,Round Rock,Office Supplies,,
2015,Central,Round Rock,Office Supplies,,
2016,Central,Round Rock,Office Supplies,-785.2368000000002,4
2017,Central,Round Rock,Office Supplies,2.7168,2
2014,Central,Round Rock,Technology,,
2015,Central,Round Rock,Technology,,
2016,Central,Round Rock,Technology,38.13470000000002,10
2017,Central,Round Rock,Technology,,
2014,Central,Royal Oak,Office Supplies,10.7424,2
2015,Central,Royal Oak,Office Supplies,6.2208000000000006,2
2016,Central,Royal Oak,Office Supplies,,
2017,Central,Royal Oak,Office Supplies,,
2014,Central,Saginaw,Furniture,,
2015,Central,Saginaw,Furniture,,
2016,Central,Saginaw,Furniture,,
2017,Central,Saginaw,Furniture,8.2992,4
2014,Central,Saginaw,Office Supplies,,
2015,Central,Saginaw,Office Supplies,,
2016,Central,Saginaw,Office Supplies,,
2017,Central,Saginaw,Office Supplies,33.246299999999984,18
2014,Central,Saginaw,Technology,,
2015,Central,Saginaw,Technology,,
2016,Central,Saginaw,Technology,,
2017,Central,Saginaw,Technology,35.634600000000006,2
2014,Central,Saint Charles,Furniture,-4.804800000000002,3
2015,Central,Saint Charles,Furniture,-33.6414,3
2016,Central,Saint Charles,Furniture,-31.861200000000004,2
2017,Central,Saint Charles,Furniture,37.88399999999999,5
2014,Central,Saint Charles,Office Supplies,5.6644000000000005,2
2015,Central,Saint Charles,Office Supplies,18.979200000000002,4
2016,Central,Saint Charles,Office Supplies,,
2017,Central,Saint Charles,Office Supplies,,
2014,Central,Saint Charles,Technology,,
2015,Central,Saint Charles,Technology,272.7199999999999,10
2016,Central,Saint Charles,Technology,,
2017,Central,Saint Charles,Technology,46.5432,4
2014,Central,Saint Cloud,Furniture,,
2015,Central,Saint Cloud,Furniture,,
2016,Central,Saint Cloud,Furniture,,
2017,Central,Saint Cloud,Furniture,181.17599999999993,4
2014,Central,Saint Cloud,Technology,,
2015,Central,Saint Cloud,Technology,,
2016,Central,Saint Cloud,Technology,,
2017,Central,Saint Cloud,Technology,288.438,9
2014,Central,Saint Louis,Office Supplies,12.441600000000001,4
2015,Central,Saint Louis,Office Supplies,15.776999999999996,3
2016,Central,Saint Louis,Office Supplies,,
2017,Central,Saint Louis,Office Supplies,26.7374,12
2014,Central,Saint Louis,Technology,43.5981,7
2015,Central,Saint Louis,Technology,,
2016,Central,Saint Louis,Technology,,
2017,Central,Saint Louis,Technology,,
2014,Central,Saint Paul,Office Supplies,,
2015,Central,Saint Paul,Office Supplies,,
2016,Central,Saint Paul,Office Supplies,22.585199999999993,6
2017,Central,Saint Paul,Office Supplies,,
2014,Central,Saint Paul,Technology,,
2015,Central,Saint Paul,Technology,,
2016,Central,Saint Paul,Technology,2.2990000000000066,5
2017,Central,Saint Paul,Technology,,
2014,Central,Saint Peters,Furniture,,
2015,Central,Saint Peters,Furniture,,
2016,Central,Saint Peters,Furniture,146.40359999999998,4
2017,Central,Saint Peters,Furniture,,
2014,Central,San Angelo,Furniture,,
2015,Central,San Angelo,Furniture,,
2016,Central,San Angelo,Furniture,-18.96279999999998,7
2017,Central,San Angelo,Furniture,-8.72320000000002,2
2014,Central,San Angelo,Office Supplies,,
2015,Central,San Angelo,Office Supplies,,
2016,Central,San Angelo,Office Supplies,-30.867200000000004,4
2017,Central,San Angelo,Office Supplies,,
2014,Central,San Antonio,Furniture,-119.60390000000018,21
2015,Central,San Antonio,Furniture,-96.29380000000002,10
2016,Central,San Antonio,Furniture,-127.57919999999996,8
2017,Central,San Antonio,Furniture,-71.8116,6
2014,Central,San Antonio,Office Supplies,-4603.3245000000015,45
2015,Central,San Antonio,Office Supplies,-1137.8470000000004,49
2016,Central,San Antonio,Office Supplies,37.03619999999997,19
2017,Central,San Antonio,Office Supplies,14.215800000000002,24
2014,Central,San Antonio,Technology,-1377.939500000002,20
2015,Central,San Antonio,Technology,59.156699999999944,18
2016,Central,San Antonio,Technology,26.40549999999997,19
2017,Central,San Antonio,Technology,98.5351,8
2014,Central,San Marcos,Furniture,-5.940899999999999,3
2015,Central,San Marcos,Furniture,,
2016,Central,San Marcos,Furniture,,
2017,Central,San Marcos,Furniture,,
2014,Central,San Marcos,Office Supplies,-9.763200000000003,7
2015,Central,San Marcos,Office Supplies,,
2016,Central,San Marcos,Office Supplies,,
2017,Central,San Marcos,Office Supplies,,
2014,Central,San Marcos,Technology,-3.6372000000000027,2
2015,Central,San Marcos,Technology,,
2016,Central,San Marcos,Technology,,
2017,Central,San Marcos,Technology,,
2014,Central,Sheboygan,Office Supplies,,
2015,Central,Sheboygan,Office Supplies,,
2016,Central,Sheboygan,Office Supplies,33.4509,8
2017,Central,Sheboygan,Office Supplies,,
2014,Central,Sheboygan,Technology,,
2015,Central,Sheboygan,Technology,,
2016,Central,Sheboygan,Technology,0.891,2
2017,Central,Sheboygan,Technology,,
2014,Central,Sioux Falls,Furniture,,
2015,Central,Sioux Falls,Furniture,,
2016,Central,Sioux Falls,Furniture,,
2017,Central,Sioux Falls,Furniture,27.440999999999995,3
2014,Central,Sioux Falls,Office Supplies,2.6814000000000004,3
2015,Central,Sioux Falls,Office Supplies,,
2016,Central,Sioux Falls,Office Supplies,,
2017,Central,Sioux Falls,Office Supplies,179.41090000000003,23
2014,Central,Sioux Falls,Technology,1.3068000000000004,3
2015,Central,Sioux Falls,Technology,,
2016,Central,Sioux Falls,Technology,,
2017,Central,Sioux Falls,Technology,132.58980000000003,3
2014,Central,Skokie,Furniture,-19.771199999999997,6
2015,Central,Skokie,Furniture,,
2016,Central,Skokie,Furniture,,
2017,Central,Skokie,Furniture,-319.74299999999994,9
2014,Central,Skokie,Office Supplies,6.946599999999998,6
2015,Central,Skokie,Office Supplies,,
2016,Central,Skokie,Office Supplies,,
2017,Central,Skokie,Office Supplies,-9.394400000000001,20
2014,Central,Skokie,Technology,,
2015,Central,Skokie,Technology,,
2016,Central,Skokie,Technology,,
2017,Central,Skokie,Technology,-4.908000000000003,3
2014,Central,South Bend,Office Supplies,,
2015,Central,South Bend,Office Supplies,154.8712,20
2016,Central,South Bend,Office Supplies,,
2017,Central,South Bend,Office Supplies,,
2014,Central,South Bend,Technology,,
2015,Central,South Bend,Technology,124.68000000000004,5
2016,Central,South Bend,Technology,,
2017,Central,South Bend,Technology,,
2014,Central,Springfield,Furniture,,
2015,Central,Springfield,Furniture,218.89499999999995,9
2016,Central,Springfield,Furniture,17.157999999999998,2
2017,Central,Springfield,Furniture,53.235000000000014,3
2014,Central,Springfield,Office Supplies,238.91160000000005,7
2015,Central,Springfield,Office Supplies,69.1424,16
2016,Central,Springfield,Office Supplies,154.2008,21
2017,Central,Springfield,Office Supplies,478.2791000000001,62
2014,Central,Springfield,Technology,9.116000000000001,2
2015,Central,Springfield,Technology,2536.9631999999997,8
2016,Central,Springfield,Technology,67.18800000000002,5
2017,Central,Springfield,Technology,62.5,16
2014,Central,Sterling Heights,Office Supplies,,
2015,Central,Sterling Heights,Office Supplies,29.5636,9
2016,Central,Sterling Heights,Office Supplies,3.5039999999999996,2
2017,Central,Sterling Heights,Office Supplies,,
2014,Central,Superior,Furniture,,
2015,Central,Superior,Furniture,,
2016,Central,Superior,Furniture,21.33,5
2017,Central,Superior,Furniture,,
2014,Central,Superior,Office Supplies,,
2015,Central,Superior,Office Supplies,4.9647999999999985,4
2016,Central,Superior,Office Supplies,452.51019999999994,27
2017,Central,Superior,Office Supplies,,
2014,Central,Superior,Technology,,
2015,Central,Superior,Technology,,
2016,Central,Superior,Technology,35.27720000000001,1
2017,Central,Superior,Technology,,
2014,Central,Taylor,Furniture,,
2015,Central,Taylor,Furniture,,
2016,Central,Taylor,Furniture,33.215599999999995,2
2017,Central,Taylor,Furniture,,
2014,Central,Taylor,Office Supplies,2.853599999999999,3
2015,Central,Taylor,Office Supplies,,
2016,Central,Taylor,Office Supplies,,
2017,Central,Taylor,Office Supplies,,
2014,Central,Taylor,Technology,,
2015,Central,Taylor,Technology,8.799,2
2016,Central,Taylor,Technology,,
2017,Central,Taylor,Technology,,
2014,Central,Texas City,Furniture,41.934,2
2015,Central,Texas City,Furniture,-21.71220000000001,5
2016,Central,Texas City,Furniture,,
2017,Central,Texas City,Furniture,,
2014,Central,The Colony,Office Supplies,,
2015,Central,The Colony,Office Supplies,,
2016,Central,The Colony,Office Supplies,24.941,11
2017,Central,The Colony,Office Supplies,,
2014,Central,The Colony,Technology,,
2015,Central,The Colony,Technology,,
2016,Central,The Colony,Technology,6.717599999999997,3
2017,Central,The Colony,Technology,,
2014,Central,Tinley Park,Furniture,,
2015,Central,Tinley Park,Furniture,-8.915199999999999,7
2016,Central,Tinley Park,Furniture,,
2017,Central,Tinley Park,Furniture,,
2014,Central,Trenton,Furniture,22.629600000000003,6
2015,Central,Trenton,Furniture,,
2016,Central,Trenton,Furniture,,
2017,Central,Trenton,Furniture,56.7864,11
2014,Central,Trenton,Office Supplies,54.48299999999998,6
2015,Central,Trenton,Office Supplies,,
2016,Central,Trenton,Office Supplies,1.4601999999999977,7
2017,Central,Trenton,Office Supplies,70.7206,13
2014,Central,Trenton,Technology,358.98940000000005,3
2015,Central,Trenton,Technology,,
2016,Central,Trenton,Technology,87.03059999999999,8
2017,Central,Trenton,Technology,,
2014,Central,Tulsa,Furniture,394.46450000000004,16
2015,Central,Tulsa,Furniture,,
2016,Central,Tulsa,Furniture,81.1734,3
2017,Central,Tulsa,Furniture,662.1221999999998,11
2014,Central,Tulsa,Office Supplies,47.4897,9
2015,Central,Tulsa,Office Supplies,7.021800000000001,3
2016,Central,Tulsa,Office Supplies,142.84020000000004,30
2017,Central,Tulsa,Office Supplies,17.209199999999996,9
2014,Central,Tulsa,Technology,28.309500000000007,3
2015,Central,Tulsa,Technology,,
2016,Central,Tulsa,Technology,24.11850000000001,19
2017,Central,Tulsa,Technology,102.18599999999998,4
2014,Central,Tyler,Furniture,,
2015,Central,Tyler,Furniture,,
2016,Central,Tyler,Furniture,,
2017,Central,Tyler,Furniture,-41.26199999999997,3
2014,Central,Tyler,Office Supplies,-79.33519999999999,4
2015,Central,Tyler,Office Supplies,,
2016,Central,Tyler,Office Supplies,,
2017,Central,Tyler,Office Supplies,-327.63150000000013,6
2014,Central,Tyler,Technology,,
2015,Central,Tyler,Technology,,
2016,Central,Tyler,Technology,,
2017,Central,Tyler,Technology,4.520099999999996,3
2014,Central,Urbandale,Office Supplies,,
2015,Central,Urbandale,Office Supplies,,
2016,Central,Urbandale,Office Supplies,36.13559999999999,8
2017,Central,Urbandale,Office Supplies,21.5824,4
2014,Central,Waco,Furniture,,
2015,Central,Waco,Furniture,,
2016,Central,Waco,Furniture,,
2017,Central,Waco,Furniture,-91.75859999999997,3
2014,Central,Waco,Office Supplies,,
2015,Central,Waco,Office Supplies,,
2016,Central,Waco,Office Supplies,2.396799999999999,2
2017,Central,Waco,Office Supplies,-430.7416000000001,12
2014,Central,Waterloo,Office Supplies,,
2015,Central,Waterloo,Office Supplies,,
2016,Central,Waterloo,Office Supplies,,
2017,Central,Waterloo,Office Supplies,11.8248,4
2014,Central,Waukesha,Office Supplies,,
2015,Central,Waukesha,Office Supplies,,
2016,Central,Waukesha,Office Supplies,14.169999999999998,5
2017,Central,Waukesha,Office Supplies,,
2014,Central,Wausau,Office Supplies,90.4306,14
2015,Central,Wausau,Office Supplies,,
2016,Central,Wausau,Office Supplies,,
2017,Central,Wausau,Office Supplies,,
2014,Central,West Allis,Furniture,,
2015,Central,West Allis,Furniture,,
2016,Central,West Allis,Furniture,24.195999999999998,2
2017,Central,West Allis,Furniture,,
2014,Central,West Allis,Office Supplies,,
2015,Central,West Allis,Office Supplies,,
2016,Central,West Allis,Office Supplies,4.174799999999999,3
2017,Central,West Allis,Office Supplies,,
2014,Central,Westland,Furniture,34.88430000000001,6
2015,Central,Westland,Furniture,,
2016,Central,Westland,Furniture,,
2017,Central,Westland,Furniture,,
2014,Central,Westland,Office Supplies,157.1487,24
2015,Central,Westland,Office Supplies,,
2016,Central,Westland,Office Supplies,161.28300000000002,15
2017,Central,Westland,Office Supplies,,
2014,Central,Westland,Technology,,
2015,Central,Westland,Technology,,
2016,Central,Westland,Technology,36.283500000000004,1
2017,Central,Westland,Technology,,
2014,Central,Wheeling,Furniture,,
2015,Central,Wheeling,Furniture,,
2016,Central,Wheeling,Furniture,-308.50980000000004,5
2017,Central,Wheeling,Furniture,,
2014,Central,Wheeling,Office Supplies,,
2015,Central,Wheeling,Office Supplies,,
2016,Central,Wheeling,Office Supplies,,
2017,Central,Wheeling,Office Supplies,15.191999999999979,4
2014,Central,Wichita,Furniture,,
2015,Central,Wichita,Furniture,,
2016,Central,Wichita,Furniture,23.990399999999994,6
2017,Central,Wichita,Furniture,,
2014,Central,Wichita,Office Supplies,,
2015,Central,Wichita,Office Supplies,68.2124,5
2016,Central,Wichita,Office Supplies,31.642799999999998,5
2017,Central,Wichita,Office Supplies,137.151,5
2014,Central,Wichita,Technology,,
2015,Central,Wichita,Technology,,
2016,Central,Wichita,Technology,62.92999999999999,5
2017,Central,Wichita,Technology,,
2014,Central,Woodbury,Office Supplies,,
2015,Central,Woodbury,Office Supplies,35.473200000000006,8
2016,Central,Woodbury,Office Supplies,160.62299999999993,3
2017,Central,Woodbury,Office Supplies,,
2014,Central,Woodstock,Furniture,,
2015,Central,Woodstock,Furniture,,
2016,Central,Woodstock,Furniture,-12.078400000000101,8
2017,Central,Woodstock,Furniture,,
2014,Central,Woodstock,Office Supplies,-13.717499999999998,5
2015,Central,Woodstock,Office Supplies,,
2016,Central,Woodstock,Office Supplies,,
2017,Central,Woodstock,Office Supplies,0.9099999999999998,2
2014,East,Akron,Furniture,3.730800000000002,3
2015,East,Akron,Furniture,,
2016,East,Akron,Furniture,,
2017,East,Akron,Furniture,-75.83040000000005,2
2014,East,Akron,Office Supplies,1.183200000000003,7
2015,East,Akron,Office Supplies,-12.740999999999996,7
2016,East,Akron,Office Supplies,6.2292,6
2017,East,Akron,Office Supplies,27.643799999999953,25
2014,East,Akron,Technology,,
2015,East,Akron,Technology,-80.09580000000003,6
2016,East,Akron,Technology,-56.75540000000001,9
2017,East,Akron,Technology,,
2014,East,Allentown,Furniture,,
2015,East,Allentown,Furniture,,
2016,East,Allentown,Furniture,3.348800000000001,2
2017,East,Allentown,Furniture,,
2014,East,Allentown,Office Supplies,,
2015,East,Allentown,Office Supplies,-233.96559999999997,12
2016,East,Allentown,Office Supplies,0.3640000000000003,2
2017,East,Allentown,Office Supplies,,
2014,East,Allentown,Technology,,
2015,East,Allentown,Technology,3.8024000000000004,4
2016,East,Allentown,Technology,,
2017,East,Allentown,Technology,,
2014,East,Altoona,Office Supplies,,
2015,East,Altoona,Office Supplies,-1.1835000000000022,9
2016,East,Altoona,Office Supplies,,
2017,East,Altoona,Office Supplies,,
2014,East,Andover,Furniture,,
2015,East,Andover,Furniture,,
2016,East,Andover,Furniture,88.72500000000002,5
2017,East,Andover,Furniture,,
2014,East,Andover,Office Supplies,,
2015,East,Andover,Office Supplies,,
2016,East,Andover,Office Supplies,35.4636,8
2017,East,Andover,Office Supplies,,
2014,East,Atlantic City,Office Supplies,,
2015,East,Atlantic City,Office Supplies,,
2016,East,Atlantic City,Office Supplies,11.68,2
2017,East,Atlantic City,Office Supplies,,
2014,East,Auburn,Furniture,,
2015,East,Auburn,Furniture,,
2016,East,Auburn,Furniture,,
2017,East,Auburn,Furniture,72.80700000000003,5
2014,East,Auburn,Office Supplies,,
2015,East,Auburn,Office Supplies,44.749399999999994,13
2016,East,Auburn,Office Supplies,126.36510000000001,30
2017,East,Auburn,Office Supplies,27.7521,11
2014,East,Auburn,Technology,,
2015,East,Auburn,Technology,,
2016,East,Auburn,Technology,9.1312,4
2017,East,Auburn,Technology,,
2014,East,Baltimore,Furniture,,
2015,East,Baltimore,Furniture,184.9486,4
2016,East,Baltimore,Furniture,96.56939999999999,11
2017,East,Baltimore,Furniture,643.5194000000001,31
2014,East,Baltimore,Office Supplies,202.35180000000003,20
2015,East,Baltimore,Office Supplies,133.49899999999997,44
2016,East,Baltimore,Office Supplies,45.133399999999995,12
2017,East,Baltimore,Office Supplies,236.65179999999998,44
2014,East,Baltimore,Technology,,
2015,East,Baltimore,Technology,36.4473,1
2016,East,Baltimore,Technology,35.0076,9
2017,East,Baltimore,Technology,62.06969999999999,8
2014,East,Bangor,Furniture,,
2015,East,Bangor,Furniture,,
2016,East,Bangor,Furniture,33.9388,2
2017,East,Bangor,Furniture,,
2014,East,Bangor,Office Supplies,152.20440000000002,15
2015,East,Bangor,Office Supplies,,
2016,East,Bangor,Office Supplies,,
2017,East,Bangor,Office Supplies,,
2014,East,Bangor,Technology,104.7222,9
2015,East,Bangor,Technology,,
2016,East,Bangor,Technology,131.35499999999996,3
2017,East,Bangor,Technology,,
2014,East,Bayonne,Office Supplies,,
2015,East,Bayonne,Office Supplies,7.0854,3
2016,East,Bayonne,Office Supplies,,
2017,East,Bayonne,Office Supplies,,
2014,East,Bayonne,Technology,,
2015,East,Bayonne,Technology,72.3176,6
2016,East,Bayonne,Technology,,
2017,East,Bayonne,Technology,,
2014,East,Belleville,Furniture,,
2015,East,Belleville,Furniture,,
2016,East,Belleville,Furniture,74.4976,6
2017,East,Belleville,Furniture,,
2014,East,Belleville,Office Supplies,,
2015,East,Belleville,Office Supplies,,
2016,East,Belleville,Office Supplies,60.262400000000085,17
2017,East,Belleville,Office Supplies,76.8982,6
2014,East,Belleville,Technology,,
2015,East,Belleville,Technology,,
2016,East,Belleville,Technology,,
2017,East,Belleville,Technology,71.99099999999999,3
2014,East,Bethlehem,Furniture,,
2015,East,Bethlehem,Furniture,-12.552799999999996,4
2016,East,Bethlehem,Furniture,-78.078,5
2017,East,Bethlehem,Furniture,,
2014,East,Bethlehem,Office Supplies,,
2015,East,Bethlehem,Office Supplies,,
2016,East,Bethlehem,Office Supplies,-912.4649999999999,9
2017,East,Bethlehem,Office Supplies,,
2014,East,Beverly,Office Supplies,654.9193999999998,15
2015,East,Beverly,Office Supplies,,
2016,East,Beverly,Office Supplies,,
2017,East,Beverly,Office Supplies,,
2014,East,Bowling Green,Office Supplies,19.823999999999998,2
2015,East,Bowling Green,Office Supplies,51.49979999999992,6
2016,East,Bowling Green,Office Supplies,-4.072200000000002,3
2017,East,Bowling Green,Office Supplies,5.396999999999991,3
2014,East,Bowling Green,Technology,,
2015,East,Bowling Green,Technology,4.0473,3
2016,East,Bowling Green,Technology,,
2017,East,Bowling Green,Technology,73.24899999999991,8
2014,East,Bridgeton,Office Supplies,,
2015,East,Bridgeton,Office Supplies,,
2016,East,Bridgeton,Office Supplies,3.4415999999999993,6
2017,East,Bridgeton,Office Supplies,,
2014,East,Bristol,Furniture,-4.032,1
2015,East,Bristol,Furniture,,
2016,East,Bristol,Furniture,,
2017,East,Bristol,Furniture,,
2014,East,Bristol,Office Supplies,32.9186,11
2015,East,Bristol,Office Supplies,60.552800000000005,2
2016,East,Bristol,Office Supplies,,
2017,East,Bristol,Office Supplies,,
2014,East,Bristol,Technology,93.59480000000002,2
2015,East,Bristol,Technology,25.122500000000002,1
2016,East,Bristol,Technology,,
2017,East,Bristol,Technology,,
2014,East,Buffalo,Furniture,0.5289999999996962,16
2015,East,Buffalo,Furniture,169.18200000000004,9
2016,East,Buffalo,Furniture,,
2017,East,Buffalo,Furniture,30.989999999999995,3
2014,East,Buffalo,Office Supplies,726.5618999999998,3
2015,East,Buffalo,Office Supplies,36.70479999999999,4
2016,East,Buffalo,Office Supplies,16.703400000000016,7
2017,East,Buffalo,Office Supplies,,
2014,East,Buffalo,Technology,,
2015,East,Buffalo,Technology,,
2016,East,Buffalo,Technology,,
2017,East,Buffalo,Technology,12.208000000000002,4
2014,East,Burlington,Furniture,,
2015,East,Burlington,Furniture,1191.9270000000001,8
2016,East,Burlington,Furniture,,
2017,East,Burlington,Furniture,,
2014,East,Burlington,Office Supplies,,
2015,East,Burlington,Office Supplies,,
2016,East,Burlington,Office Supplies,409.44899999999996,19
2017,East,Burlington,Office Supplies,196.31599999999997,9
2014,East,Burlington,Technology,,
2015,East,Burlington,Technology,,
2016,East,Burlington,Technology,379.6264,7
2017,East,Burlington,Technology,67.65989999999998,7
2014,East,Cambridge,Furniture,,
2015,East,Cambridge,Furniture,,
2016,East,Cambridge,Furniture,,
2017,East,Cambridge,Furniture,11.756800000000002,1
2014,East,Cambridge,Office Supplies,,
2015,East,Cambridge,Office Supplies,43.4636,12
2016,East,Cambridge,Office Supplies,,
2017,East,Cambridge,Office Supplies,,
2014,East,Cambridge,Technology,,
2015,East,Cambridge,Technology,93.594,2
2016,East,Cambridge,Technology,,
2017,East,Cambridge,Technology,24.913200000000003,4
2014,East,Chester,Furniture,-4.858799999999988,8
2015,East,Chester,Furniture,,
2016,East,Chester,Furniture,,
2017,East,Chester,Furniture,12.0186,3
2014,East,Chester,Office Supplies,,
2015,East,Chester,Office Supplies,113.41789999999995,29
2016,East,Chester,Office Supplies,,
2017,East,Chester,Office Supplies,-48.664199999999994,9
2014,East,Chester,Technology,-15.176700000000004,3
2015,East,Chester,Technology,,
2016,East,Chester,Technology,,
2017,East,Chester,Technology,-8.379000000000003,3
2014,East,Cincinnati,Furniture,,
2015,East,Cincinnati,Furniture,,
2016,East,Cincinnati,Furniture,29.769,1
2017,East,Cincinnati,Furniture,,
2014,East,Cincinnati,Office Supplies,4.111899999999996,8
2015,East,Cincinnati,Office Supplies,,
2016,East,Cincinnati,Office Supplies,-8.470799999999993,22
2017,East,Cincinnati,Office Supplies,48.58099999999996,17
2014,East,Cincinnati,Technology,,
2015,East,Cincinnati,Technology,-4.640999999999998,3
2016,East,Cincinnati,Technology,69.99899999999991,2
2017,East,Cincinnati,Technology,35.98800000000001,5
2014,East,Cleveland,Furniture,-9.50670000000002,8
2015,East,Cleveland,Furniture,-54.5958,2
2016,East,Cleveland,Furniture,-241.17600000000002,3
2017,East,Cleveland,Furniture,-67.41919999999999,14
2014,East,Cleveland,Office Supplies,-25.108999999999988,2
2015,East,Cleveland,Office Supplies,35.96399999999999,7
2016,East,Cleveland,Office Supplies,44.046100000000024,20
2017,East,Cleveland,Office Supplies,-131.69910000000016,50
2014,East,Cleveland,Technology,-168.95579999999995,2
2015,East,Cleveland,Technology,-132.587,7
2016,East,Cleveland,Technology,-19.852000000000018,14
2017,East,Cleveland,Technology,-77.11739999999999,9
2014,East,Clifton,Furniture,76.46999999999998,5
2015,East,Clifton,Furniture,,
2016,East,Clifton,Furniture,,
2017,East,Clifton,Furniture,,
2014,East,Clifton,Office Supplies,22.1184,4
2015,East,Clifton,Office Supplies,,
2016,East,Clifton,Office Supplies,,
2017,East,Clifton,Office Supplies,,
2014,East,Clinton,Furniture,88.4376,11
2015,East,Clinton,Furniture,20.015600000000006,2
2016,East,Clinton,Furniture,-42.53340000000003,9
2017,East,Clinton,Furniture,52.26660000000002,4
2014,East,Clinton,Office Supplies,80.61359999999999,9
2015,East,Clinton,Office Supplies,388.1683,62
2016,East,Clinton,Office Supplies,4.221299999999999,4
2017,East,Clinton,Office Supplies,11.328800000000001,4
2014,East,Clinton,Technology,,
2015,East,Clinton,Technology,666.8157000000001,11
2016,East,Clinton,Technology,,
2017,East,Clinton,Technology,4.907999999999998,3
2014,East,Columbia,Furniture,87.2022,6
2015,East,Columbia,Furniture,,
2016,East,Columbia,Furniture,261.9128,8
2017,East,Columbia,Furniture,413.58619999999985,11
2014,East,Columbia,Office Supplies,,
2015,East,Columbia,Office Supplies,1270.99,2
2016,East,Columbia,Office Supplies,425.62409999999994,21
2017,East,Columbia,Office Supplies,934.0705999999997,37
2014,East,Columbia,Technology,26.391200000000005,2
2015,East,Columbia,Technology,,
2016,East,Columbia,Technology,,
2017,East,Columbia,Technology,355.4466000000001,3
2014,East,Columbus,Furniture,-299.10819999999995,29
2015,East,Columbus,Furniture,-96.05200000000002,13
2016,East,Columbus,Furniture,-389.3348,45
2017,East,Columbus,Furniture,150.78859999999997,15
2014,East,Columbus,Office Supplies,22.010599999999997,120
2015,East,Columbus,Office Supplies,-6.033899999999994,30
2016,East,Columbus,Office Supplies,230.0526,52
2017,East,Columbus,Office Supplies,44.59550000000001,80
2014,East,Columbus,Technology,-199.1734999999999,20
2015,East,Columbus,Technology,28.5043,11
2016,East,Columbus,Technology,175.08700000000005,21
2017,East,Columbus,Technology,-390.84139999999996,28
2014,East,Concord,Furniture,,
2015,East,Concord,Furniture,,
2016,East,Concord,Furniture,64.518,3
2017,East,Concord,Furniture,128.04840000000002,9
2014,East,Concord,Office Supplies,27.19559999999999,9
2015,East,Concord,Office Supplies,134.415,12
2016,East,Concord,Office Supplies,8.099699999999999,3
2017,East,Concord,Office Supplies,97.71519999999998,19
2014,East,Concord,Technology,,
2015,East,Concord,Technology,,
2016,East,Concord,Technology,80.15019999999997,4
2017,East,Concord,Technology,247.48499999999993,5
2014,East,Cranston,Furniture,432.91739999999993,11
2015,East,Cranston,Furniture,,
2016,East,Cranston,Furniture,,
2017,East,Cranston,Furniture,-76.07279999999994,13
2014,East,Cranston,Office Supplies,39.167,9
2015,East,Cranston,Office Supplies,,
2016,East,Cranston,Office Supplies,,
2017,East,Cranston,Office Supplies,241.4861,19
2014,East,Cuyahoga Falls,Furniture,,
2015,East,Cuyahoga Falls,Furniture,1.2527999999999997,6
2016,East,Cuyahoga Falls,Furniture,,
2017,East,Cuyahoga Falls,Furniture,,
2014,East,Cuyahoga Falls,Office Supplies,,
2015,East,Cuyahoga Falls,Office Supplies,,
2016,East,Cuyahoga Falls,Office Supplies,-1.4760000000000004,3
2017,East,Cuyahoga Falls,Office Supplies,-12.352,4
2014,East,Danbury,Furniture,,
2015,East,Danbury,Furniture,,
2016,East,Danbury,Furniture,,
2017,East,Danbury,Furniture,9.8856,2
2014,East,Dover,Furniture,63.22120000000002,9
2015,East,Dover,Furniture,-78.66739999999993,7
2016,East,Dover,Furniture,42.391999999999996,2
2017,East,Dover,Furniture,,
2014,East,Dover,Office Supplies,39.6382,19
2015,East,Dover,Office Supplies,363.58919999999995,20
2016,East,Dover,Office Supplies,,
2017,East,Dover,Office Supplies,,
2014,East,Dover,Technology,5.194800000000001,2
2015,East,Dover,Technology,517.4793000000001,9
2016,East,Dover,Technology,68.6468,7
2017,East,Dover,Technology,,
2014,East,Dublin,Furniture,,
2015,East,Dublin,Furniture,19.084800000000005,4
2016,East,Dublin,Furniture,,
2017,East,Dublin,Furniture,-69.88999999999999,5
2014,East,Dublin,Office Supplies,,
2015,East,Dublin,Office Supplies,-1.081399999999996,14
2016,East,Dublin,Office Supplies,,
2017,East,Dublin,Office Supplies,9.192600000000002,13
2014,East,Dublin,Technology,,
2015,East,Dublin,Technology,-383.9904,4
2016,East,Dublin,Technology,,
2017,East,Dublin,Technology,75.37990000000002,11
2014,East,East Orange,Office Supplies,,
2015,East,East Orange,Office Supplies,,
2016,East,East Orange,Office Supplies,160.9451,17
2017,East,East Orange,Office Supplies,,
