Table5.Year,Table5.Country,Table5.Region,Table5.City,Sum(Table5.PY),Sum(Table5.AC)
2018,Germany,Europe,Malmo,,
2018,Japan,Europe,Malmo,,
2018,Other,Europe,Malmo,,
2018,Poland,Europe,Malmo,,
2018,Sweden,Europe,Malmo,84000,
2018,USA,Europe,Malmo,,
2019,Australia,Europe,Malmo,,
2019,Belgium,Europe,Malmo,,
2019,Brazil,Europe,Malmo,,
2019,Canada,Europe,Malmo,,
2019,China,Europe,Malmo,,
2019,France,Europe,Malmo,,
2019,Germany,Europe,Malmo,,
2019,Japan,Europe,Malmo,,
2019,Other,Europe,Malmo,,
2019,Poland,Europe,Malmo,,
2019,Sweden,Europe,Malmo,101000,60000
2019,USA,Europe,Malmo,,
2017,Australia,Asia-Pacific,Brisbane,266000,231000
2017,Belgium,Asia-Pacific,Brisbane,,
2017,Brazil,Asia-Pacific,Brisbane,,
2017,Canada,Asia-Pacific,Brisbane,,
2017,China,Asia-Pacific,Brisbane,,
2017,France,Asia-Pacific,Brisbane,,
2017,Germany,Asia-Pacific,Brisbane,,
2017,Japan,Asia-Pacific,Brisbane,,
2017,Other,Asia-Pacific,Brisbane,,
2017,Poland,Asia-Pacific,Brisbane,,
2017,Sweden,Asia-Pacific,Brisbane,,
2017,USA,Asia-Pacific,Brisbane,,
2018,Australia,Asia-Pacific,Brisbane,46000,149000
2018,Belgium,Asia-Pacific,Brisbane,,
2018,Brazil,Asia-Pacific,Brisbane,,
2018,Canada,Asia-Pacific,Brisbane,,
2018,China,Asia-Pacific,Brisbane,,
2018,France,Asia-Pacific,Brisbane,,
2018,Germany,Asia-Pacific,Brisbane,,
2018,Japan,Asia-Pacific,Brisbane,,
2018,Other,Asia-Pacific,Brisbane,,
2018,Poland,Asia-Pacific,Brisbane,,
2018,Sweden,Asia-Pacific,Brisbane,,
2018,USA,Asia-Pacific,Brisbane,,
2019,Australia,Asia-Pacific,Brisbane,70000,38000
2019,Belgium,Asia-Pacific,Brisbane,,
2019,Brazil,Asia-Pacific,Brisbane,,
2019,Canada,Asia-Pacific,Brisbane,,
2019,China,Asia-Pacific,Brisbane,,
2019,France,Asia-Pacific,Brisbane,,
2019,Germany,Asia-Pacific,Brisbane,,
2019,Japan,Asia-Pacific,Brisbane,,
2019,Other,Asia-Pacific,Brisbane,,
2019,Poland,Asia-Pacific,Brisbane,,
2019,Sweden,Asia-Pacific,Brisbane,,
2019,USA,Asia-Pacific,Brisbane,,
2017,Australia,Asia-Pacific,Shangai,,
2017,Belgium,Asia-Pacific,Shangai,,
2017,Brazil,Asia-Pacific,Shangai,,
2017,Canada,Asia-Pacific,Shangai,,
2017,China,Asia-Pacific,Shangai,108000,134000
2017,France,Asia-Pacific,Shangai,,
2017,Germany,Asia-Pacific,Shangai,,
2017,Japan,Asia-Pacific,Shangai,,
2017,Other,Asia-Pacific,Shangai,,
2017,Poland,Asia-Pacific,Shangai,,
2017,Sweden,Asia-Pacific,Shangai,,
2017,USA,Asia-Pacific,Shangai,,
2018,Australia,Asia-Pacific,Shangai,,
2018,Belgium,Asia-Pacific,Shangai,,
2018,Brazil,Asia-Pacific,Shangai,,
2018,Canada,Asia-Pacific,Shangai,,
2018,China,Asia-Pacific,Shangai,109000,124000
2018,France,Asia-Pacific,Shangai,,
2018,Germany,Asia-Pacific,Shangai,,
2018,Japan,Asia-Pacific,Shangai,,
2018,Other,Asia-Pacific,Shangai,,
2018,Poland,Asia-Pacific,Shangai,,
2018,Sweden,Asia-Pacific,Shangai,,
2018,USA,Asia-Pacific,Shangai,,
2019,Australia,Asia-Pacific,Shangai,,
2019,Belgium,Asia-Pacific,Shangai,,
2019,Brazil,Asia-Pacific,Shangai,,
2019,Canada,Asia-Pacific,Shangai,,
2019,China,Asia-Pacific,Shangai,96000,68000
2019,France,Asia-Pacific,Shangai,,
2019,Germany,Asia-Pacific,Shangai,,
2019,Japan,Asia-Pacific,Shangai,,
2019,Other,Asia-Pacific,Shangai,,
2019,Poland,Asia-Pacific,Shangai,,
2019,Sweden,Asia-Pacific,Shangai,,
2019,USA,Asia-Pacific,Shangai,,
2017,Australia,Asia-Pacific,Tokyo,,
2017,Belgium,Asia-Pacific,Tokyo,,
2017,Brazil,Asia-Pacific,Tokyo,,
2017,Canada,Asia-Pacific,Tokyo,,
2017,China,Asia-Pacific,Tokyo,,
2017,France,Asia-Pacific,Tokyo,,
2017,Germany,Asia-Pacific,Tokyo,,
2017,Japan,Asia-Pacific,Tokyo,112000,119000
2017,Other,Asia-Pacific,Tokyo,,
2017,Poland,Asia-Pacific,Tokyo,,
2017,Sweden,Asia-Pacific,Tokyo,,
2017,USA,Asia-Pacific,Tokyo,,
2018,Australia,Asia-Pacific,Tokyo,,
2018,Belgium,Asia-Pacific,Tokyo,,
2018,Brazil,Asia-Pacific,Tokyo,,
2018,Canada,Asia-Pacific,Tokyo,,
2018,China,Asia-Pacific,Tokyo,,
2018,France,Asia-Pacific,Tokyo,,
2018,Germany,Asia-Pacific,Tokyo,,
2018,Japan,Asia-Pacific,Tokyo,59000,89000
2018,Other,Asia-Pacific,Tokyo,,
2018,Poland,Asia-Pacific,Tokyo,,
2018,Sweden,Asia-Pacific,Tokyo,,
2018,USA,Asia-Pacific,Tokyo,,
2019,Australia,Asia-Pacific,Tokyo,,
2019,Belgium,Asia-Pacific,Tokyo,,
2019,Brazil,Asia-Pacific,Tokyo,,
2019,Canada,Asia-Pacific,Tokyo,,
2019,China,Asia-Pacific,Tokyo,,
2019,France,Asia-Pacific,Tokyo,,
2019,Germany,Asia-Pacific,Tokyo,,
2019,Japan,Asia-Pacific,Tokyo,139000,91000
2019,Other,Asia-Pacific,Tokyo,,
2019,Poland,Asia-Pacific,Tokyo,,
2019,Sweden,Asia-Pacific,Tokyo,,
2019,USA,Asia-Pacific,Tokyo,,
2017,Australia,Asia-Pacific,Hiroshima,,
2017,Belgium,Asia-Pacific,Hiroshima,,
2017,Brazil,Asia-Pacific,Hiroshima,,
2017,Canada,Asia-Pacific,Hiroshima,,
2017,China,Asia-Pacific,Hiroshima,,
2017,France,Asia-Pacific,Hiroshima,,
2017,Germany,Asia-Pacific,Hiroshima,,
2017,Japan,Asia-Pacific,Hiroshima,117000,40000
2017,Other,Asia-Pacific,Hiroshima,,
2017,Poland,Asia-Pacific,Hiroshima,,
2017,Sweden,Asia-Pacific,Hiroshima,,
2017,USA,Asia-Pacific,Hiroshima,,
2018,Australia,Asia-Pacific,Hiroshima,,
2018,Belgium,Asia-Pacific,Hiroshima,,
2018,Brazil,Asia-Pacific,Hiroshima,,
2018,Canada,Asia-Pacific,Hiroshima,,
2018,China,Asia-Pacific,Hiroshima,,
2018,France,Asia-Pacific,Hiroshima,,
2018,Germany,Asia-Pacific,Hiroshima,,
2018,Japan,Asia-Pacific,Hiroshima,62000,92000
2018,Other,Asia-Pacific,Hiroshima,,
2018,Poland,Asia-Pacific,Hiroshima,,
2018,Sweden,Asia-Pacific,Hiroshima,,
2018,USA,Asia-Pacific,Hiroshima,,
2019,Australia,Asia-Pacific,Hiroshima,,
2019,Belgium,Asia-Pacific,Hiroshima,,
2019,Brazil,Asia-Pacific,Hiroshima,,
2019,Canada,Asia-Pacific,Hiroshima,,
2019,China,Asia-Pacific,Hiroshima,,
2019,France,Asia-Pacific,Hiroshima,,
2019,Germany,Asia-Pacific,Hiroshima,,
2019,Japan,Asia-Pacific,Hiroshima,67000,102000
2019,Other,Asia-Pacific,Hiroshima,,
2019,Poland,Asia-Pacific,Hiroshima,,
2019,Sweden,Asia-Pacific,Hiroshima,,
2019,USA,Asia-Pacific,Hiroshima,,
2017,Australia,Asia-Pacific,Sydney,54000,62000
2017,Belgium,Asia-Pacific,Sydney,,
2017,Brazil,Asia-Pacific,Sydney,,
2017,Canada,Asia-Pacific,Sydney,,
2017,China,Asia-Pacific,Sydney,,
2017,France,Asia-Pacific,Sydney,,
2017,Germany,Asia-Pacific,Sydney,,
2017,Japan,Asia-Pacific,Sydney,,
2017,Other,Asia-Pacific,Sydney,,
2017,Poland,Asia-Pacific,Sydney,,
2017,Sweden,Asia-Pacific,Sydney,,
2017,USA,Asia-Pacific,Sydney,,
2018,Australia,Asia-Pacific,Sydney,38000,117000
2018,Belgium,Asia-Pacific,Sydney,,
2018,Brazil,Asia-Pacific,Sydney,,
2018,Canada,Asia-Pacific,Sydney,,
2018,China,Asia-Pacific,Sydney,,
2018,France,Asia-Pacific,Sydney,,
2018,Germany,Asia-Pacific,Sydney,,
2018,Japan,Asia-Pacific,Sydney,,
2018,Other,Asia-Pacific,Sydney,,
2018,Poland,Asia-Pacific,Sydney,,
2018,Sweden,Asia-Pacific,Sydney,,
2018,USA,Asia-Pacific,Sydney,,
2019,Australia,Asia-Pacific,Sydney,147000,42000
2019,Belgium,Asia-Pacific,Sydney,,
2019,Brazil,Asia-Pacific,Sydney,,
2019,Canada,Asia-Pacific,Sydney,,
2019,China,Asia-Pacific,Sydney,,
2019,France,Asia-Pacific,Sydney,,
2019,Germany,Asia-Pacific,Sydney,,
2019,Japan,Asia-Pacific,Sydney,,
2019,Other,Asia-Pacific,Sydney,,
2019,Poland,Asia-Pacific,Sydney,,
2019,Sweden,Asia-Pacific,Sydney,,
2019,USA,Asia-Pacific,Sydney,,
2017,Australia,Asia-Pacific,Beijing,,
2017,Belgium,Asia-Pacific,Beijing,,
2017,Brazil,Asia-Pacific,Beijing,,
2017,Canada,Asia-Pacific,Beijing,,
2017,China,Asia-Pacific,Beijing,104000,48000
2017,France,Asia-Pacific,Beijing,,
2017,Germany,Asia-Pacific,Beijing,,
2017,Japan,Asia-Pacific,Beijing,,
2017,Other,Asia-Pacific,Beijing,,
2017,Poland,Asia-Pacific,Beijing,,
2017,Sweden,Asia-Pacific,Beijing,,
2017,USA,Asia-Pacific,Beijing,,
2018,Australia,Asia-Pacific,Beijing,,
2018,Belgium,Asia-Pacific,Beijing,,
2018,Brazil,Asia-Pacific,Beijing,,
2018,Canada,Asia-Pacific,Beijing,,
2018,China,Asia-Pacific,Beijing,92000,115000
2018,France,Asia-Pacific,Beijing,,
2018,Germany,Asia-Pacific,Beijing,,
2018,Japan,Asia-Pacific,Beijing,,
2018,Other,Asia-Pacific,Beijing,,
2018,Poland,Asia-Pacific,Beijing,,
2018,Sweden,Asia-Pacific,Beijing,,
2018,USA,Asia-Pacific,Beijing,,
2019,Australia,Asia-Pacific,Beijing,,
2019,Belgium,Asia-Pacific,Beijing,,
2019,Brazil,Asia-Pacific,Beijing,,
2019,Canada,Asia-Pacific,Beijing,,
2019,China,Asia-Pacific,Beijing,145000,39000
2019,France,Asia-Pacific,Beijing,,
2019,Germany,Asia-Pacific,Beijing,,
2019,Japan,Asia-Pacific,Beijing,,
2019,Other,Asia-Pacific,Beijing,,
2019,Poland,Asia-Pacific,Beijing,,
2019,Sweden,Asia-Pacific,Beijing,,
2019,USA,Asia-Pacific,Beijing,,
2017,Australia,Asia-Pacific,Seoul,,
2017,Belgium,Asia-Pacific,Seoul,,
2017,Brazil,Asia-Pacific,Seoul,,
2017,Canada,Asia-Pacific,Seoul,,
2017,China,Asia-Pacific,Seoul,,
2017,France,Asia-Pacific,Seoul,,
2017,Germany,Asia-Pacific,Seoul,,
2017,Japan,Asia-Pacific,Seoul,,
2017,Other,Asia-Pacific,Seoul,134000,50000
2017,Poland,Asia-Pacific,Seoul,,
2017,Sweden,Asia-Pacific,Seoul,,
2017,USA,Asia-Pacific,Seoul,,
2018,Australia,Asia-Pacific,Seoul,,
2018,Belgium,Asia-Pacific,Seoul,,
2018,Brazil,Asia-Pacific,Seoul,,
2018,Canada,Asia-Pacific,Seoul,,
2018,China,Asia-Pacific,Seoul,,
2018,France,Asia-Pacific,Seoul,,
2018,Germany,Asia-Pacific,Seoul,,
2018,Japan,Asia-Pacific,Seoul,,
2018,Other,Asia-Pacific,Seoul,78000,78000
2018,Poland,Asia-Pacific,Seoul,,
2018,Sweden,Asia-Pacific,Seoul,,
2018,USA,Asia-Pacific,Seoul,,
2019,Australia,Asia-Pacific,Seoul,,
2019,Belgium,Asia-Pacific,Seoul,,
2019,Brazil,Asia-Pacific,Seoul,,
2019,Canada,Asia-Pacific,Seoul,,
2019,China,Asia-Pacific,Seoul,,
2019,France,Asia-Pacific,Seoul,,
2019,Germany,Asia-Pacific,Seoul,,
2019,Japan,Asia-Pacific,Seoul,,
2019,Other,Asia-Pacific,Seoul,66000,69000
2019,Poland,Asia-Pacific,Seoul,,
2019,Sweden,Asia-Pacific,Seoul,,
2019,USA,Asia-Pacific,Seoul,,
2017,Australia,Asia-Pacific,Yokohoma,,
2017,Belgium,Asia-Pacific,Yokohoma,,
2017,Brazil,Asia-Pacific,Yokohoma,,
2017,Canada,Asia-Pacific,Yokohoma,,
2017,China,Asia-Pacific,Yokohoma,,
2017,France,Asia-Pacific,Yokohoma,,
2017,Germany,Asia-Pacific,Yokohoma,,
2017,Japan,Asia-Pacific,Yokohoma,35000,47000
2017,Other,Asia-Pacific,Yokohoma,,
2017,Poland,Asia-Pacific,Yokohoma,,
2017,Sweden,Asia-Pacific,Yokohoma,,
2017,USA,Asia-Pacific,Yokohoma,,
2018,Australia,Asia-Pacific,Yokohoma,,
2018,Belgium,Asia-Pacific,Yokohoma,,
2018,Brazil,Asia-Pacific,Yokohoma,,
2018,Canada,Asia-Pacific,Yokohoma,,
2018,China,Asia-Pacific,Yokohoma,,
2018,France,Asia-Pacific,Yokohoma,,
2018,Germany,Asia-Pacific,Yokohoma,,
2018,Japan,Asia-Pacific,Yokohoma,66000,68000
2018,Other,Asia-Pacific,Yokohoma,,
2018,Poland,Asia-Pacific,Yokohoma,,
2018,Sweden,Asia-Pacific,Yokohoma,,
2018,USA,Asia-Pacific,Yokohoma,,
2019,Australia,Asia-Pacific,Yokohoma,,
2019,Belgium,Asia-Pacific,Yokohoma,,
2019,Brazil,Asia-Pacific,Yokohoma,,
2019,Canada,Asia-Pacific,Yokohoma,,
2019,China,Asia-Pacific,Yokohoma,,
2019,France,Asia-Pacific,Yokohoma,,
2019,Germany,Asia-Pacific,Yokohoma,,
2019,Japan,Asia-Pacific,Yokohoma,73000,36000
2019,Other,Asia-Pacific,Yokohoma,,
2019,Poland,Asia-Pacific,Yokohoma,,
2019,Sweden,Asia-Pacific,Yokohoma,,
2019,USA,Asia-Pacific,Yokohoma,,
2017,Australia,Asia-Pacific,Chengdu,,
2017,Belgium,Asia-Pacific,Chengdu,,
2017,Brazil,Asia-Pacific,Chengdu,,
2017,Canada,Asia-Pacific,Chengdu,,
2017,China,Asia-Pacific,Chengdu,96000,62000
2017,France,Asia-Pacific,Chengdu,,
2017,Germany,Asia-Pacific,Chengdu,,
2017,Japan,Asia-Pacific,Chengdu,,
2017,Other,Asia-Pacific,Chengdu,,
2017,Poland,Asia-Pacific,Chengdu,,
2017,Sweden,Asia-Pacific,Chengdu,,
2017,USA,Asia-Pacific,Chengdu,,
2018,Australia,Asia-Pacific,Chengdu,,
2018,Belgium,Asia-Pacific,Chengdu,,
2018,Brazil,Asia-Pacific,Chengdu,,
2018,Canada,Asia-Pacific,Chengdu,,
2018,China,Asia-Pacific,Chengdu,117000,48000
2018,France,Asia-Pacific,Chengdu,,
2018,Germany,Asia-Pacific,Chengdu,,
2018,Japan,Asia-Pacific,Chengdu,,
2018,Other,Asia-Pacific,Chengdu,,
2018,Poland,Asia-Pacific,Chengdu,,
2018,Sweden,Asia-Pacific,Chengdu,,
2018,USA,Asia-Pacific,Chengdu,,
2019,Australia,Asia-Pacific,Chengdu,,
2019,Belgium,Asia-Pacific,Chengdu,,
2019,Brazil,Asia-Pacific,Chengdu,,
2019,Canada,Asia-Pacific,Chengdu,,
2019,China,Asia-Pacific,Chengdu,80000,38000
2019,France,Asia-Pacific,Chengdu,,
2019,Germany,Asia-Pacific,Chengdu,,
2019,Japan,Asia-Pacific,Chengdu,,
2019,Other,Asia-Pacific,Chengdu,,
2019,Poland,Asia-Pacific,Chengdu,,
2019,Sweden,Asia-Pacific,Chengdu,,
2019,USA,Asia-Pacific,Chengdu,,
2017,Australia,Asia-Pacific,Melbourne,9000,11000
2017,Belgium,Asia-Pacific,Melbourne,,
2017,Brazil,Asia-Pacific,Melbourne,,
2017,Canada,Asia-Pacific,Melbourne,,
2017,China,Asia-Pacific,Melbourne,,
2017,France,Asia-Pacific,Melbourne,,
2017,Germany,Asia-Pacific,Melbourne,,
2017,Japan,Asia-Pacific,Melbourne,,
2017,Other,Asia-Pacific,Melbourne,,
2017,Poland,Asia-Pacific,Melbourne,,
2017,Sweden,Asia-Pacific,Melbourne,,
2017,USA,Asia-Pacific,Melbourne,,
2018,Australia,Asia-Pacific,Melbourne,96000,69000
2018,Belgium,Asia-Pacific,Melbourne,,
2018,Brazil,Asia-Pacific,Melbourne,,
2018,Canada,Asia-Pacific,Melbourne,,
2018,China,Asia-Pacific,Melbourne,,
2018,France,Asia-Pacific,Melbourne,,
2018,Germany,Asia-Pacific,Melbourne,,
2018,Japan,Asia-Pacific,Melbourne,,
2018,Other,Asia-Pacific,Melbourne,,
2018,Poland,Asia-Pacific,Melbourne,,
2018,Sweden,Asia-Pacific,Melbourne,,
2018,USA,Asia-Pacific,Melbourne,,
2019,Australia,Asia-Pacific,Melbourne,,
2019,Belgium,Asia-Pacific,Melbourne,,
2019,Brazil,Asia-Pacific,Melbourne,,
2019,Canada,Asia-Pacific,Melbourne,,
2019,China,Asia-Pacific,Melbourne,,
2019,France,Asia-Pacific,Melbourne,,
2019,Germany,Asia-Pacific,Melbourne,,
2019,Japan,Asia-Pacific,Melbourne,,
2019,Other,Asia-Pacific,Melbourne,,
2019,Poland,Asia-Pacific,Melbourne,,
2019,Sweden,Asia-Pacific,Melbourne,,
2019,USA,Asia-Pacific,Melbourne,,
