Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Orders.Sub-Category,Orders.Segment,CountNonNull(Orders.Postal Code)
2016,South,Technology,Phones,Home Office,8
2017,South,Technology,Phones,Home Office,12
2014,West,Furniture,Bookcases,Consumer,6
2015,West,Furniture,Bookcases,Consumer,18
2016,West,Furniture,Bookcases,Consumer,8
2017,West,Furniture,Bookcases,Consumer,17
2014,West,Furniture,Bookcases,Corporate,6
2015,West,Furniture,Bookcases,Corporate,3
2016,West,Furniture,Bookcases,Corporate,4
2017,West,Furniture,Bookcases,Corporate,7
2014,West,Furniture,Bookcases,Home Office,3
2015,West,Furniture,Bookcases,Home Office,
2016,West,Furniture,Bookcases,Home Office,3
2017,West,Furniture,Bookcases,Home Office,5
2014,West,Furniture,Chairs,Consumer,27
2015,West,Furniture,Chairs,Consumer,17
2016,West,Furniture,Chairs,Consumer,31
2017,West,Furniture,Chairs,Consumer,26
2014,West,Furniture,Chairs,Corporate,13
2015,West,Furniture,Chairs,Corporate,14
2016,West,Furniture,Chairs,Corporate,24
2017,West,Furniture,Chairs,Corporate,20
2014,West,Furniture,Chairs,Home Office,6
2015,West,Furniture,Chairs,Home Office,10
2016,West,Furniture,Chairs,Home Office,7
2017,West,Furniture,Chairs,Home Office,12
2014,West,Furniture,Furnishings,Consumer,31
2015,West,Furniture,Furnishings,Consumer,37
2016,West,Furniture,Furnishings,Consumer,40
2017,West,Furniture,Furnishings,Consumer,60
2014,West,Furniture,Furnishings,Corporate,16
2015,West,Furniture,Furnishings,Corporate,20
2016,West,Furniture,Furnishings,Corporate,17
2017,West,Furniture,Furnishings,Corporate,24
2014,West,Furniture,Furnishings,Home Office,12
2015,West,Furniture,Furnishings,Home Office,11
2016,West,Furniture,Furnishings,Home Office,14
2017,West,Furniture,Furnishings,Home Office,22
2014,West,Furniture,Tables,Consumer,13
2015,West,Furniture,Tables,Consumer,15
2016,West,Furniture,Tables,Consumer,12
2017,West,Furniture,Tables,Consumer,17
2014,West,Furniture,Tables,Corporate,10
2015,West,Furniture,Tables,Corporate,4
2016,West,Furniture,Tables,Corporate,15
2017,West,Furniture,Tables,Corporate,13
2014,West,Furniture,Tables,Home Office,2
2015,West,Furniture,Tables,Home Office,2
2016,West,Furniture,Tables,Home Office,5
2017,West,Furniture,Tables,Home Office,8
2014,West,Office Supplies,Appliances,Consumer,11
2015,West,Office Supplies,Appliances,Consumer,11
2016,West,Office Supplies,Appliances,Consumer,18
2017,West,Office Supplies,Appliances,Consumer,26
2014,West,Office Supplies,Appliances,Corporate,8
2015,West,Office Supplies,Appliances,Corporate,12
2016,West,Office Supplies,Appliances,Corporate,11
2017,West,Office Supplies,Appliances,Corporate,15
2014,West,Office Supplies,Appliances,Home Office,7
2015,West,Office Supplies,Appliances,Home Office,4
2016,West,Office Supplies,Appliances,Home Office,6
2017,West,Office Supplies,Appliances,Home Office,7
2014,West,Office Supplies,Art,Consumer,38
2015,West,Office Supplies,Art,Consumer,29
2016,West,Office Supplies,Art,Consumer,21
2017,West,Office Supplies,Art,Consumer,48
2014,West,Office Supplies,Art,Corporate,16
2015,West,Office Supplies,Art,Corporate,10
2016,West,Office Supplies,Art,Corporate,14
2017,West,Office Supplies,Art,Corporate,22
2014,West,Office Supplies,Art,Home Office,7
2015,West,Office Supplies,Art,Home Office,9
2016,West,Office Supplies,Art,Home Office,10
2017,West,Office Supplies,Art,Home Office,26
2014,West,Office Supplies,Binders,Consumer,40
2015,West,Office Supplies,Binders,Consumer,51
2016,West,Office Supplies,Binders,Consumer,68
2017,West,Office Supplies,Binders,Consumer,79
2014,West,Office Supplies,Binders,Corporate,29
2015,West,Office Supplies,Binders,Corporate,25
2016,West,Office Supplies,Binders,Corporate,44
2017,West,Office Supplies,Binders,Corporate,54
2014,West,Office Supplies,Binders,Home Office,10
2015,West,Office Supplies,Binders,Home Office,12
2016,West,Office Supplies,Binders,Home Office,27
2017,West,Office Supplies,Binders,Home Office,32
2014,West,Office Supplies,Envelopes,Consumer,9
2015,West,Office Supplies,Envelopes,Consumer,9
2016,West,Office Supplies,Envelopes,Consumer,12
2017,West,Office Supplies,Envelopes,Consumer,5
2014,West,Office Supplies,Envelopes,Corporate,2
2015,West,Office Supplies,Envelopes,Corporate,5
2016,West,Office Supplies,Envelopes,Corporate,6
2017,West,Office Supplies,Envelopes,Corporate,10
2014,West,Office Supplies,Envelopes,Home Office,1
2015,West,Office Supplies,Envelopes,Home Office,1
2016,West,Office Supplies,Envelopes,Home Office,2
2017,West,Office Supplies,Envelopes,Home Office,5
2014,West,Office Supplies,Fasteners,Consumer,8
2015,West,Office Supplies,Fasteners,Consumer,10
2016,West,Office Supplies,Fasteners,Consumer,11
2017,West,Office Supplies,Fasteners,Consumer,13
2014,West,Office Supplies,Fasteners,Corporate,6
2015,West,Office Supplies,Fasteners,Corporate,1
2016,West,Office Supplies,Fasteners,Corporate,2
2017,West,Office Supplies,Fasteners,Corporate,4
2014,West,Office Supplies,Fasteners,Home Office,6
2015,West,Office Supplies,Fasteners,Home Office,3
2016,West,Office Supplies,Fasteners,Home Office,2
2017,West,Office Supplies,Fasteners,Home Office,6
2014,West,Office Supplies,Labels,Consumer,10
2015,West,Office Supplies,Labels,Consumer,14
2016,West,Office Supplies,Labels,Consumer,18
2017,West,Office Supplies,Labels,Consumer,21
2014,West,Office Supplies,Labels,Corporate,6
2015,West,Office Supplies,Labels,Corporate,11
2016,West,Office Supplies,Labels,Corporate,8
2017,West,Office Supplies,Labels,Corporate,8
2014,West,Office Supplies,Labels,Home Office,8
2015,West,Office Supplies,Labels,Home Office,1
2016,West,Office Supplies,Labels,Home Office,5
2017,West,Office Supplies,Labels,Home Office,6
2014,West,Office Supplies,Paper,Consumer,46
2015,West,Office Supplies,Paper,Consumer,52
2016,West,Office Supplies,Paper,Consumer,66
2017,West,Office Supplies,Paper,Consumer,68
2014,West,Office Supplies,Paper,Corporate,27
2015,West,Office Supplies,Paper,Corporate,24
2016,West,Office Supplies,Paper,Corporate,34
2017,West,Office Supplies,Paper,Corporate,44
2014,West,Office Supplies,Paper,Home Office,14
2015,West,Office Supplies,Paper,Home Office,18
2016,West,Office Supplies,Paper,Home Office,24
2017,West,Office Supplies,Paper,Home Office,33
2014,West,Office Supplies,Storage,Consumer,35
2015,West,Office Supplies,Storage,Consumer,34
2016,West,Office Supplies,Storage,Consumer,35
2017,West,Office Supplies,Storage,Consumer,47
2014,West,Office Supplies,Storage,Corporate,17
2015,West,Office Supplies,Storage,Corporate,11
2016,West,Office Supplies,Storage,Corporate,13
2017,West,Office Supplies,Storage,Corporate,35
2014,West,Office Supplies,Storage,Home Office,8
2015,West,Office Supplies,Storage,Home Office,6
2016,West,Office Supplies,Storage,Home Office,6
2017,West,Office Supplies,Storage,Home Office,19
2014,West,Office Supplies,Supplies,Consumer,10
2015,West,Office Supplies,Supplies,Consumer,9
2016,West,Office Supplies,Supplies,Consumer,4
2017,West,Office Supplies,Supplies,Consumer,9
2014,West,Office Supplies,Supplies,Corporate,7
2015,West,Office Supplies,Supplies,Corporate,2
2016,West,Office Supplies,Supplies,Corporate,10
2017,West,Office Supplies,Supplies,Corporate,6
2014,West,Office Supplies,Supplies,Home Office,2
2015,West,Office Supplies,Supplies,Home Office,1
2016,West,Office Supplies,Supplies,Home Office,6
2017,West,Office Supplies,Supplies,Home Office,3
2014,West,Technology,Accessories,Consumer,33
2015,West,Technology,Accessories,Consumer,33
2016,West,Technology,Accessories,Consumer,23
2017,West,Technology,Accessories,Consumer,41
2014,West,Technology,Accessories,Corporate,16
2015,West,Technology,Accessories,Corporate,13
2016,West,Technology,Accessories,Corporate,24
2017,West,Technology,Accessories,Corporate,33
2014,West,Technology,Accessories,Home Office,6
2015,West,Technology,Accessories,Home Office,5
2016,West,Technology,Accessories,Home Office,9
2017,West,Technology,Accessories,Home Office,22
2014,West,Technology,Copiers,Consumer,2
2015,West,Technology,Copiers,Consumer,4
2016,West,Technology,Copiers,Consumer,4
2017,West,Technology,Copiers,Consumer,5
2014,West,Technology,Copiers,Corporate,
2015,West,Technology,Copiers,Corporate,2
2016,West,Technology,Copiers,Corporate,1
2017,West,Technology,Copiers,Corporate,2
2014,West,Technology,Copiers,Home Office,
2015,West,Technology,Copiers,Home Office,
2016,West,Technology,Copiers,Home Office,1
2017,West,Technology,Copiers,Home Office,4
2014,West,Technology,Machines,Consumer,4
2015,West,Technology,Machines,Consumer,5
2016,West,Technology,Machines,Consumer,7
2017,West,Technology,Machines,Consumer,3
2014,West,Technology,Machines,Corporate,1
2015,West,Technology,Machines,Corporate,2
2016,West,Technology,Machines,Corporate,3
2017,West,Technology,Machines,Corporate,6
2014,West,Technology,Machines,Home Office,1
2015,West,Technology,Machines,Home Office,
2016,West,Technology,Machines,Home Office,3
2017,West,Technology,Machines,Home Office,4
2014,West,Technology,Phones,Consumer,35
2015,West,Technology,Phones,Consumer,31
2016,West,Technology,Phones,Consumer,29
2017,West,Technology,Phones,Consumer,43
2014,West,Technology,Phones,Corporate,19
2015,West,Technology,Phones,Corporate,17
2016,West,Technology,Phones,Corporate,21
2017,West,Technology,Phones,Corporate,31
2014,West,Technology,Phones,Home Office,11
2015,West,Technology,Phones,Home Office,4
2016,West,Technology,Phones,Home Office,17
2017,West,Technology,Phones,Home Office,19
