Orders.Ship Mode,Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Standard Class,Home Office,Central,Office Supplies,Envelopes,547.106,213.5382
First Class,Consumer,East,Office Supplies,Envelopes,476.94,214.623
Same Day,Consumer,East,Office Supplies,Envelopes,338.88,151.6518
Second Class,Consumer,East,Office Supplies,Envelopes,369.72,149.1176
Standard Class,Consumer,East,Office Supplies,Envelopes,909.9820000000001,366.4872999999999
First Class,Corporate,East,Office Supplies,Envelopes,427.46799999999996,155.61459999999994
Same Day,Corporate,East,Office Supplies,Envelopes,,
Second Class,Corporate,East,Office Supplies,Envelopes,491.83,236.9979
Standard Class,Corporate,East,Office Supplies,Envelopes,659.968,270.97270000000003
First Class,Home Office,East,Office Supplies,Envelopes,305.636,106.84449999999997
Same Day,Home Office,East,Office Supplies,Envelopes,,
Second Class,Home Office,East,Office Supplies,Envelopes,63.967999999999996,19.989999999999995
Standard Class,Home Office,East,Office Supplies,Envelopes,331.482,140.1096
First Class,Consumer,South,Office Supplies,Envelopes,59.352000000000004,20.031299999999995
Same Day,Consumer,South,Office Supplies,Envelopes,48.944,16.5186
Second Class,Consumer,South,Office Supplies,Envelopes,68.48400000000001,24.762599999999992
Standard Class,Consumer,South,Office Supplies,Envelopes,1014.7779999999999,442.1182
First Class,Corporate,South,Office Supplies,Envelopes,102.088,39.9732
Same Day,Corporate,South,Office Supplies,Envelopes,42.68,19.6328
Second Class,Corporate,South,Office Supplies,Envelopes,278.7,132.9824
Standard Class,Corporate,South,Office Supplies,Envelopes,1047.436,450.79139999999995
First Class,Home Office,South,Office Supplies,Envelopes,36.4,17.472
Same Day,Home Office,South,Office Supplies,Envelopes,167.96,78.9412
Second Class,Home Office,South,Office Supplies,Envelopes,101.584,44.992799999999995
Standard Class,Home Office,South,Office Supplies,Envelopes,377.15000000000003,177.26049999999998
First Class,Consumer,West,Office Supplies,Envelopes,227.648,87.6338
Same Day,Consumer,West,Office Supplies,Envelopes,,
Second Class,Consumer,West,Office Supplies,Envelopes,323.102,147.9321
Standard Class,Consumer,West,Office Supplies,Envelopes,1567.8660000000002,730.8747
First Class,Corporate,West,Office Supplies,Envelopes,47.512,20.6702
Same Day,Corporate,West,Office Supplies,Envelopes,71.88,33.0648
Second Class,Corporate,West,Office Supplies,Envelopes,383.60999999999996,177.4532
Standard Class,Corporate,West,Office Supplies,Envelopes,1153.59,549.4115999999999
First Class,Home Office,West,Office Supplies,Envelopes,14.352000000000002,5.2026
Same Day,Home Office,West,Office Supplies,Envelopes,60.379999999999995,29.586199999999998
Second Class,Home Office,West,Office Supplies,Envelopes,89.36,44.041
Standard Class,Home Office,West,Office Supplies,Envelopes,178.8,82.89219999999999
First Class,Consumer,Central,Office Supplies,Art,367.248,52.4985
Same Day,Consumer,Central,Office Supplies,Art,135.11200000000002,33.04100000000001
Second Class,Consumer,Central,Office Supplies,Art,552.402,118.63389999999997
Standard Class,Consumer,Central,Office Supplies,Art,2217.59,401.38809999999995
First Class,Corporate,Central,Office Supplies,Art,166.376,27.1139
Same Day,Corporate,Central,Office Supplies,Art,,
Second Class,Corporate,Central,Office Supplies,Art,405.27200000000005,79.0672
Standard Class,Corporate,Central,Office Supplies,Art,907.0939999999999,237.78819999999993
First Class,Home Office,Central,Office Supplies,Art,254.10399999999998,72.2265
Same Day,Home Office,Central,Office Supplies,Art,86,7.727199999999998
Second Class,Home Office,Central,Office Supplies,Art,306.92400000000004,66.1794
Standard Class,Home Office,Central,Office Supplies,Art,367.21799999999996,99.49519999999998
First Class,Consumer,East,Office Supplies,Art,480.46600000000007,120.9146
Same Day,Consumer,East,Office Supplies,Art,196.91,33.73299999999999
Second Class,Consumer,East,Office Supplies,Art,1145.8580000000002,315.3671000000001
Standard Class,Consumer,East,Office Supplies,Art,2023.9640000000004,519.0495
First Class,Corporate,East,Office Supplies,Art,355.678,78.23729999999998
Same Day,Corporate,East,Office Supplies,Art,269.32399999999996,69.6714
Second Class,Corporate,East,Office Supplies,Art,212.88000000000005,53.1904
Standard Class,Corporate,East,Office Supplies,Art,1440.5200000000004,365.0725000000001
First Class,Home Office,East,Office Supplies,Art,347.5,51.77809999999998
Same Day,Home Office,East,Office Supplies,Art,,
Second Class,Home Office,East,Office Supplies,Art,235.29800000000006,66.93579999999999
Standard Class,Home Office,East,Office Supplies,Art,777.366,225.99459999999996
First Class,Consumer,South,Office Supplies,Art,446.2140000000001,110.8276
Same Day,Consumer,South,Office Supplies,Art,29.44,5.597199999999997
Second Class,Consumer,South,Office Supplies,Art,645.72,182.04979999999995
Standard Class,Consumer,South,Office Supplies,Art,1533.3819999999996,349.97970000000004
First Class,Corporate,South,Office Supplies,Art,147.78,22.472999999999985
Same Day,Corporate,South,Office Supplies,Art,,
Second Class,Corporate,South,Office Supplies,Art,250.68599999999998,42.1121
Standard Class,Corporate,South,Office Supplies,Art,933.9379999999999,199.6691999999999
First Class,Home Office,South,Office Supplies,Art,109.96799999999999,12.048
Same Day,Home Office,South,Office Supplies,Art,,
Second Class,Home Office,South,Office Supplies,Art,67.56,8.44499999999999
Standard Class,Home Office,South,Office Supplies,Art,490.93399999999997,125.38499999999996
First Class,Consumer,West,Office Supplies,Art,537.0799999999999,153.13950000000003
Same Day,Consumer,West,Office Supplies,Art,403.07,119.4423
Second Class,Consumer,West,Office Supplies,Art,782.2940000000001,186.61890000000002
Standard Class,Consumer,West,Office Supplies,Art,2755.1800000000003,752.0204
First Class,Corporate,West,Office Supplies,Art,25.42,7.164199999999998
Same Day,Corporate,West,Office Supplies,Art,265.92999999999995,117.61400000000002
Second Class,Corporate,West,Office Supplies,Art,434.936,115.2863
Standard Class,Corporate,West,Office Supplies,Art,2774.6140000000005,590.188
First Class,Home Office,West,Office Supplies,Art,232.25399999999996,41.928799999999995
Same Day,Home Office,West,Office Supplies,Art,51.69,16.617
Second Class,Home Office,West,Office Supplies,Art,230.2,65.243
Standard Class,Home Office,West,Office Supplies,Art,719.398,208.8346
First Class,Consumer,Central,Office Supplies,Labels,46.194,16.1529
Same Day,Consumer,Central,Office Supplies,Labels,36.9,16.218199999999996
Second Class,Consumer,Central,Office Supplies,Labels,50.49,23.156399999999998
Standard Class,Consumer,Central,Office Supplies,Labels,609.622,278.67479999999995
First Class,Corporate,Central,Office Supplies,Labels,63.07200000000001,23.455599999999997
Same Day,Corporate,Central,Office Supplies,Labels,7.38,3.4686
Second Class,Corporate,Central,Office Supplies,Labels,606.558,278.95829999999995
Standard Class,Corporate,Central,Office Supplies,Labels,418.09799999999996,181.28750000000002
First Class,Home Office,Central,Office Supplies,Labels,65.96000000000001,32.5488
Same Day,Home Office,Central,Office Supplies,Labels,,
Second Class,Home Office,Central,Office Supplies,Labels,54.608000000000004,22.1058
Standard Class,Home Office,Central,Office Supplies,Labels,492.59000000000003,197.05249999999995
First Class,Consumer,East,Office Supplies,Labels,365.41399999999993,147.71099999999998
Same Day,Consumer,East,Office Supplies,Labels,143.494,65.3506
Second Class,Consumer,East,Office Supplies,Labels,213.244,95.4789
Standard Class,Consumer,East,Office Supplies,Labels,930.6479999999999,424.9884999999998
First Class,Corporate,East,Office Supplies,Labels,151.06,68.1961
Same Day,Corporate,East,Office Supplies,Labels,,
Second Class,Corporate,East,Office Supplies,Labels,21.72,10.0779
Standard Class,Corporate,East,Office Supplies,Labels,335.806,140.3559
First Class,Home Office,East,Office Supplies,Labels,189.252,67.3041
Same Day,Home Office,East,Office Supplies,Labels,68.294,31.5016
Second Class,Home Office,East,Office Supplies,Labels,18.496000000000002,6.2424
Standard Class,Home Office,East,Office Supplies,Labels,165.50600000000003,72.07300000000001
First Class,Consumer,South,Office Supplies,Labels,359.534,171.14589999999998
Same Day,Consumer,South,Office Supplies,Labels,144.68,50.508500000000005
Second Class,Consumer,South,Office Supplies,Labels,750.7299999999999,336.1791999999999
Standard Class,Consumer,South,Office Supplies,Labels,613.2779999999999,283.07020000000006
First Class,Corporate,South,Office Supplies,Labels,47.508,21.121199999999998
Same Day,Corporate,South,Office Supplies,Labels,30.099999999999998,14.034999999999998
Second Class,Corporate,South,Office Supplies,Labels,51.224,22.153799999999997
Standard Class,Corporate,South,Office Supplies,Labels,236.394,93.12719999999999
First Class,Home Office,South,Office Supplies,Labels,30,14.399999999999999
Same Day,Home Office,South,Office Supplies,Labels,,
Second Class,Home Office,South,Office Supplies,Labels,,
Standard Class,Home Office,South,Office Supplies,Labels,89.73200000000001,35.031299999999995
First Class,Consumer,West,Office Supplies,Labels,265.76,125.62359999999998
Same Day,Consumer,West,Office Supplies,Labels,52.8,24.737699999999997
Second Class,Consumer,West,Office Supplies,Labels,347.826,163.50979999999996
Standard Class,Consumer,West,Office Supplies,Labels,1778.6479999999997,853.4821999999999
First Class,Corporate,West,Office Supplies,Labels,206.69,97.07679999999999
Same Day,Corporate,West,Office Supplies,Labels,,
Second Class,Corporate,West,Office Supplies,Labels,1226.078,503.4923999999999
Standard Class,Corporate,West,Office Supplies,Labels,699.958,304.021
First Class,Home Office,West,Office Supplies,Labels,45.536,19.9792
Same Day,Home Office,West,Office Supplies,Labels,82.8,39.744
Second Class,Home Office,West,Office Supplies,Labels,11.56,5.4332
Standard Class,Home Office,West,Office Supplies,Labels,361.07000000000005,166.0224
First Class,Consumer,Central,Office Supplies,Fasteners,19.178,6.115399999999999
Same Day,Consumer,Central,Office Supplies,Fasteners,27.582,8.063599999999997
Second Class,Consumer,Central,Office Supplies,Fasteners,58.698,19.161099999999998
Standard Class,Consumer,Central,Office Supplies,Fasteners,316.974,94.80760000000001
First Class,Corporate,Central,Office Supplies,Fasteners,45.92,15.498000000000001
Same Day,Corporate,Central,Office Supplies,Fasteners,,
Second Class,Corporate,Central,Office Supplies,Fasteners,44.648,9.912499999999998
Standard Class,Corporate,Central,Office Supplies,Fasteners,141.542,53.1458
First Class,Home Office,Central,Office Supplies,Fasteners,,
Same Day,Home Office,Central,Office Supplies,Fasteners,,
Second Class,Home Office,Central,Office Supplies,Fasteners,16,5.6
Standard Class,Home Office,Central,Office Supplies,Fasteners,107.48799999999999,24.3146
First Class,Consumer,East,Office Supplies,Fasteners,37.224000000000004,10.0742
Same Day,Consumer,East,Office Supplies,Fasteners,3.29,1.4805
Second Class,Consumer,East,Office Supplies,Fasteners,106.67,41.781099999999995
Standard Class,Consumer,East,Office Supplies,Fasteners,276.514,95.83719999999997
First Class,Corporate,East,Office Supplies,Fasteners,45.636,16.690699999999996
Same Day,Corporate,East,Office Supplies,Fasteners,15.8,2.3699999999999983
Second Class,Corporate,East,Office Supplies,Fasteners,85.372,18.196799999999996
Standard Class,Corporate,East,Office Supplies,Fasteners,139.284,39.2129
First Class,Home Office,East,Office Supplies,Fasteners,20.352,5.5164
Same Day,Home Office,East,Office Supplies,Fasteners,,
Second Class,Home Office,East,Office Supplies,Fasteners,26.656,6.985999999999999
Standard Class,Home Office,East,Office Supplies,Fasteners,62.92,25.845
First Class,Consumer,South,Office Supplies,Fasteners,31.56,14.201999999999998
Same Day,Consumer,South,Office Supplies,Fasteners,36.910000000000004,14.2456
Second Class,Consumer,South,Office Supplies,Fasteners,41.112,18.6068
Standard Class,Consumer,South,Office Supplies,Fasteners,166.834,67.21699999999998
First Class,Corporate,South,Office Supplies,Fasteners,,
Same Day,Corporate,South,Office Supplies,Fasteners,,
Second Class,Corporate,South,Office Supplies,Fasteners,10.360000000000001,3.3918
Standard Class,Corporate,South,Office Supplies,Fasteners,70.274,24.1781
First Class,Home Office,South,Office Supplies,Fasteners,7.104000000000001,2.3976
Same Day,Home Office,South,Office Supplies,Fasteners,9.45,0.18900000000000028
Second Class,Home Office,South,Office Supplies,Fasteners,3.62,1.1945999999999999
Standard Class,Home Office,South,Office Supplies,Fasteners,126.09200000000001,28.09559999999999
First Class,Consumer,West,Office Supplies,Fasteners,79.22999999999999,32.2106
Same Day,Consumer,West,Office Supplies,Fasteners,23.150000000000002,10.706
Second Class,Consumer,West,Office Supplies,Fasteners,64.87,27.566300000000002
Standard Class,Consumer,West,Office Supplies,Fasteners,391.146,114.72579999999999
First Class,Corporate,West,Office Supplies,Fasteners,63.494,21.8423
Same Day,Corporate,West,Office Supplies,Fasteners,17.9,8.95
Second Class,Corporate,West,Office Supplies,Fasteners,9.432,3.065399999999999
Standard Class,Corporate,West,Office Supplies,Fasteners,93.62799999999999,35.448699999999995
First Class,Home Office,West,Office Supplies,Fasteners,7.9,2.5279999999999996
Same Day,Home Office,West,Office Supplies,Fasteners,5.67,0.11340000000000017
Second Class,Home Office,West,Office Supplies,Fasteners,10.58,2.5674
Standard Class,Home Office,West,Office Supplies,Fasteners,156.216,15.4668
First Class,Consumer,Central,Office Supplies,Supplies,4.36,0.17439999999999944
Same Day,Consumer,Central,Office Supplies,Supplies,31.680000000000003,2.7719999999999994
Second Class,Consumer,Central,Office Supplies,Supplies,77.756,10.215600000000002
Standard Class,Consumer,Central,Office Supplies,Supplies,4446.116000000001,-795.2542000000003
First Class,Corporate,Central,Office Supplies,Supplies,22.368000000000002,1.6776
Same Day,Corporate,Central,Office Supplies,Supplies,,
Second Class,Corporate,Central,Office Supplies,Supplies,4217.098,85.15860000000006
Standard Class,Corporate,Central,Office Supplies,Supplies,143.46200000000002,15.01359999999999
First Class,Home Office,Central,Office Supplies,Supplies,,
Same Day,Home Office,Central,Office Supplies,Supplies,,
Second Class,Home Office,Central,Office Supplies,Supplies,,
Standard Class,Home Office,Central,Office Supplies,Supplies,524.532,18.354300000000002
First Class,Consumer,East,Office Supplies,Supplies,218.86200000000002,43.7585
Same Day,Consumer,East,Office Supplies,Supplies,,
Second Class,Consumer,East,Office Supplies,Supplies,4776.892000000002,-1041.2092
Standard Class,Consumer,East,Office Supplies,Supplies,3572.072000000001,-174.18499999999995
First Class,Corporate,East,Office Supplies,Supplies,221.586,-34.9722
Same Day,Corporate,East,Office Supplies,Supplies,75.78,17.209200000000003
Second Class,Corporate,East,Office Supplies,Supplies,1453.0420000000001,-22.904200000000046
Standard Class,Corporate,East,Office Supplies,Supplies,98.85000000000001,27.7698
First Class,Home Office,East,Office Supplies,Supplies,250.674,5.021500000000016
Same Day,Home Office,East,Office Supplies,Supplies,,
Second Class,Home Office,East,Office Supplies,Supplies,27.93,8.099699999999999
Standard Class,Home Office,East,Office Supplies,Supplies,64.428,16.276699999999998
First Class,Consumer,South,Office Supplies,Supplies,1702.924,42.89560000000002
Same Day,Consumer,South,Office Supplies,Supplies,,
Second Class,Consumer,South,Office Supplies,Supplies,14.902000000000001,0.1503000000000001
Standard Class,Consumer,South,Office Supplies,Supplies,405.72799999999995,26.813299999999963
First Class,Corporate,South,Office Supplies,Supplies,503,10.31760000000001
Same Day,Corporate,South,Office Supplies,Supplies,,
Second Class,Corporate,South,Office Supplies,Supplies,5377.106,-137.3584999999999
Standard Class,Corporate,South,Office Supplies,Supplies,142.048,15.402999999999988
First Class,Home Office,South,Office Supplies,Supplies,35.06,10.517999999999997
Same Day,Home Office,South,Office Supplies,Supplies,69.5,20.154999999999994
Second Class,Home Office,South,Office Supplies,Supplies,,
Standard Class,Home Office,South,Office Supplies,Supplies,68.66000000000001,12.982999999999993
First Class,Consumer,West,Office Supplies,Supplies,46.22,5.8348
Same Day,Consumer,West,Office Supplies,Supplies,68.92,19.465799999999994
Second Class,Consumer,West,Office Supplies,Supplies,8394.059999999998,368.7932999999996
Standard Class,Consumer,West,Office Supplies,Supplies,1981.004,-167.7765
First Class,Corporate,West,Office Supplies,Supplies,513.74,14.515400000000032
Same Day,Corporate,West,Office Supplies,Supplies,257.07,19.19099999999998
Second Class,Corporate,West,Office Supplies,Supplies,5010.563999999999,214.92919999999978
Standard Class,Corporate,West,Office Supplies,Supplies,1399.57,112.97629999999995
First Class,Home Office,West,Office Supplies,Supplies,49.5,13.365
Same Day,Home Office,West,Office Supplies,Supplies,7.36,0.14719999999999978
Second Class,Home Office,West,Office Supplies,Supplies,29.06,8.562799999999998
Standard Class,Home Office,West,Office Supplies,Supplies,370.054,16.04219999999997
First Class,Consumer,Central,Furniture,Chairs,6896.630999999999,981.3603000000002
Same Day,Consumer,Central,Furniture,Chairs,6277.4439999999995,260.18340000000035
Second Class,Consumer,Central,Furniture,Chairs,3792.495,-241.82540000000017
Standard Class,Consumer,Central,Furniture,Chairs,25966.805,1921.1829999999993
First Class,Corporate,Central,Furniture,Chairs,2330.0059999999994,-125.25759999999991
Same Day,Corporate,Central,Furniture,Chairs,,
Second Class,Corporate,Central,Furniture,Chairs,8535.597,1596.8517
Standard Class,Corporate,Central,Furniture,Chairs,17123.948999999997,1735.2895999999996
First Class,Home Office,Central,Furniture,Chairs,1317.4239999999998,55.32319999999998
Same Day,Home Office,Central,Furniture,Chairs,791.14,-52.66280000000001
Second Class,Home Office,Central,Furniture,Chairs,4713.394,160.37259999999966
Standard Class,Home Office,Central,Furniture,Chairs,7485.7609999999995,301.90409999999986
First Class,Consumer,East,Furniture,Chairs,8340.008,513.2711999999999
Same Day,Consumer,East,Furniture,Chairs,556.875,46.538099999999964
Second Class,Consumer,East,Furniture,Chairs,17995.113,948.8133000000001
Standard Class,Consumer,East,Furniture,Chairs,32753.137000000002,3408.7725999999993
First Class,Corporate,East,Furniture,Chairs,3120.873,246.75359999999984
Same Day,Corporate,East,Furniture,Chairs,4502.807,491.6121999999997
Second Class,Corporate,East,Furniture,Chairs,4783.946,482.895
Standard Class,Corporate,East,Furniture,Chairs,11097.603999999996,1499.3269999999998
First Class,Home Office,East,Furniture,Chairs,4982.482,778.2417999999996
Same Day,Home Office,East,Furniture,Chairs,63.686,-15.466600000000003
Second Class,Home Office,East,Furniture,Chairs,1781.817,248.45979999999983
Standard Class,Home Office,East,Furniture,Chairs,6282.335000000001,708.5525999999998
First Class,Consumer,South,Furniture,Chairs,701.96,168.47040000000004
Same Day,Consumer,South,Furniture,Chairs,1514.6279999999997,162.87720000000007
Second Class,Consumer,South,Furniture,Chairs,7836.918,1585.8517
Standard Class,Consumer,South,Furniture,Chairs,16750.719999999998,2099.8353999999995
First Class,Corporate,South,Furniture,Chairs,2279.464,-118.1252000000002
Same Day,Corporate,South,Furniture,Chairs,,
Second Class,Corporate,South,Furniture,Chairs,4345.906,675.3213
Standard Class,Corporate,South,Furniture,Chairs,4741.501999999999,626.7583999999996
First Class,Home Office,South,Furniture,Chairs,155.72,39.60879999999999
Same Day,Home Office,South,Furniture,Chairs,,
Second Class,Home Office,South,Furniture,Chairs,1890.8400000000001,319.49769999999995
Standard Class,Home Office,South,Furniture,Chairs,4958.7880000000005,1051.9935999999998
First Class,Consumer,West,Furniture,Chairs,7871.592000000001,-82.63210000000032
Same Day,Consumer,West,Furniture,Chairs,2110.832,127.80319999999998
Second Class,Consumer,West,Furniture,Chairs,9414.248,387.7414999999998
Standard Class,Consumer,West,Furniture,Chairs,24083.33599999998,947.088099999999
First Class,Corporate,West,Furniture,Chairs,6598.664000000002,69.56349999999978
Same Day,Corporate,West,Furniture,Chairs,2993.544,-142.3377000000002
Second Class,Corporate,West,Furniture,Chairs,5015.7040000000015,234.62559999999965
Standard Class,Corporate,West,Furniture,Chairs,21671.311999999994,1071.379099999999
First Class,Home Office,West,Furniture,Chairs,3111.648,118.63699999999992
Same Day,Home Office,West,Furniture,Chairs,2848.76,257.0964999999997
Second Class,Home Office,West,Furniture,Chairs,4766.080000000001,367.64519999999993
Standard Class,Home Office,West,Furniture,Chairs,11295.608,670.9743999999996
First Class,Consumer,Central,Furniture,Furnishings,730.1120000000001,33.70259999999999
Same Day,Consumer,Central,Furniture,Furnishings,989.866,-473.94629999999995
Second Class,Consumer,Central,Furniture,Furnishings,1958.538,-204.40489999999997
Standard Class,Consumer,Central,Furniture,Furnishings,5821.474000000001,-809.4038000000004
First Class,Corporate,Central,Furniture,Furnishings,339.92400000000004,-176.78140000000002
Same Day,Corporate,Central,Furniture,Furnishings,5.82,2.7354
Second Class,Corporate,Central,Furniture,Furnishings,650.364,-525.5969
Standard Class,Corporate,Central,Furniture,Furnishings,2147.8480000000004,-509.71540000000005
First Class,Home Office,Central,Furniture,Furnishings,124.21600000000001,-73.2728
Same Day,Home Office,Central,Furniture,Furnishings,15.92,7.004800000000001
Second Class,Home Office,Central,Furniture,Furnishings,731.6540000000002,-377.2146000000001
Standard Class,Home Office,Central,Furniture,Furnishings,1738.6340000000005,-799.3235000000002
First Class,Consumer,East,Furniture,Furnishings,2531.9880000000003,439.8588999999999
Same Day,Consumer,East,Furniture,Furnishings,1209.568,326.74379999999996
Second Class,Consumer,East,Furniture,Furnishings,2321.1059999999998,423.5386999999999
Standard Class,Consumer,East,Furniture,Furnishings,7114.405999999999,1830.9956000000004
First Class,Corporate,East,Furniture,Furnishings,1680.46,392.93589999999995
Same Day,Corporate,East,Furniture,Furnishings,853.4360000000001,96.68759999999996
Second Class,Corporate,East,Furniture,Furnishings,1983.64,454.92619999999994
Standard Class,Corporate,East,Furniture,Furnishings,5465.790000000001,1011.6808999999994
First Class,Home Office,East,Furniture,Furnishings,187.36,50.14639999999999
Same Day,Home Office,East,Furniture,Furnishings,136.88400000000001,31.41779999999999
Second Class,Home Office,East,Furniture,Furnishings,403.02000000000004,109.99660000000002
Standard Class,Home Office,East,Furniture,Furnishings,5183.722000000001,712.4787000000001
First Class,Consumer,South,Furniture,Furnishings,3025.7619999999997,422.34929999999997
Same Day,Consumer,South,Furniture,Furnishings,450.79200000000003,74.07820000000001
Second Class,Consumer,South,Furniture,Furnishings,1770.4759999999999,420.9076999999998
Standard Class,Consumer,South,Furniture,Furnishings,5623.544000000001,1039.8502999999996
First Class,Corporate,South,Furniture,Furnishings,675.9820000000001,122.61209999999997
Same Day,Corporate,South,Furniture,Furnishings,71.67999999999999,0.45439999999999303
Second Class,Corporate,South,Furniture,Furnishings,527.45,88.81509999999996
Standard Class,Corporate,South,Furniture,Furnishings,3229.5680000000007,876.0515000000003
First Class,Home Office,South,Furniture,Furnishings,41.224000000000004,8.825499999999998
Same Day,Home Office,South,Furniture,Furnishings,18.84,7.1592
Second Class,Home Office,South,Furniture,Furnishings,134.644,46.0386
Standard Class,Home Office,South,Furniture,Furnishings,1736.722,335.54099999999994
First Class,Consumer,West,Furniture,Furnishings,1608.926,331.9350999999999
Same Day,Consumer,West,Furniture,Furnishings,627,198.25689999999997
Second Class,Consumer,West,Furniture,Furnishings,2134.9480000000003,627.8593999999999
Standard Class,Consumer,West,Furniture,Furnishings,11701.539999999997,3237.1012000000005
First Class,Corporate,West,Furniture,Furnishings,1385.008,302.7694
Same Day,Corporate,West,Furniture,Furnishings,135.64,46.43279999999999
Second Class,Corporate,West,Furniture,Furnishings,1385.6760000000002,400.4492
Standard Class,Corporate,West,Furniture,Furnishings,4462.9800000000005,923.7508999999999
First Class,Home Office,West,Furniture,Furnishings,826.9939999999998,238.01549999999997
Same Day,Home Office,West,Furniture,Furnishings,358.688,81.53719999999998
Second Class,Home Office,West,Furniture,Furnishings,1414.49,343.3975
Standard Class,Home Office,West,Furniture,Furnishings,4030.8400000000006,909.7652999999999
First Class,Consumer,Central,Furniture,Bookcases,2250.5820000000003,-246.30199999999994
Same Day,Consumer,Central,Furniture,Bookcases,,
Second Class,Consumer,Central,Furniture,Bookcases,3953.3295999999996,-760.7128000000002
Standard Class,Consumer,Central,Furniture,Bookcases,6756.942399999999,-490.11120000000005
First Class,Corporate,Central,Furniture,Bookcases,2336.5044,-128.38800000000015
Same Day,Corporate,Central,Furniture,Bookcases,,
Second Class,Corporate,Central,Furniture,Bookcases,1482.8968,-136.55660000000006
Standard Class,Corporate,Central,Furniture,Bookcases,4570.0996000000005,-117.76749999999988
First Class,Home Office,Central,Furniture,Bookcases,831.5899999999999,-120.6036
Same Day,Home Office,Central,Furniture,Bookcases,,
Second Class,Home Office,Central,Furniture,Bookcases,929.36,89.25119999999997
Standard Class,Home Office,Central,Furniture,Bookcases,1045.8719999999998,-86.71380000000005
First Class,Consumer,East,Furniture,Bookcases,2512.6639999999998,-286.11080000000015
Same Day,Consumer,East,Furniture,Bookcases,136.784,5.129400000000004
Second Class,Consumer,East,Furniture,Bookcases,2937.941,-153.87670000000014
Standard Class,Consumer,East,Furniture,Bookcases,21719.745,-1757.2091000000007
First Class,Corporate,East,Furniture,Bookcases,782.72,152.45719999999997
Same Day,Corporate,East,Furniture,Bookcases,1043.92,271.41920000000005
Second Class,Corporate,East,Furniture,Bookcases,3424.8880000000004,-356.84540000000015
Standard Class,Corporate,East,Furniture,Bookcases,7917.403999999999,897.932
First Class,Home Office,East,Furniture,Bookcases,1525.4880000000003,159.36839999999992
Same Day,Home Office,East,Furniture,Bookcases,113.56800000000001,12.776399999999988
Second Class,Home Office,East,Furniture,Bookcases,533.902,-54.160400000000024
Standard Class,Home Office,East,Furniture,Bookcases,1170.31,-58.512
First Class,Consumer,South,Furniture,Bookcases,1794.442,311.6576
Same Day,Consumer,South,Furniture,Bookcases,,
Second Class,Consumer,South,Furniture,Bookcases,1830.016,348.8369999999999
Standard Class,Consumer,South,Furniture,Bookcases,5092.104,559.5174000000001
First Class,Corporate,South,Furniture,Bookcases,302.94,75.73500000000001
Same Day,Corporate,South,Furniture,Bookcases,,
Second Class,Corporate,South,Furniture,Bookcases,231.92000000000002,5.798000000000002
Standard Class,Corporate,South,Furniture,Bookcases,618.9440000000001,-13.166400000000053
First Class,Home Office,South,Furniture,Bookcases,,
Same Day,Home Office,South,Furniture,Bookcases,239.98,52.79559999999998
Second Class,Home Office,South,Furniture,Bookcases,61.96,4.337199999999996
Standard Class,Home Office,South,Furniture,Bookcases,727.056,-6.019600000000054
First Class,Consumer,West,Furniture,Bookcases,2422.898,-152.5841000000001
Same Day,Consumer,West,Furniture,Bookcases,425.833,20.03919999999998
Second Class,Consumer,West,Furniture,Bookcases,3087.3075,-388.5919999999999
Standard Class,Consumer,West,Furniture,Bookcases,13712.140499999998,-1445.320100000001
First Class,Corporate,West,Furniture,Bookcases,4293.659499999999,-181.93899999999996
Same Day,Corporate,West,Furniture,Bookcases,,
Second Class,Corporate,West,Furniture,Bookcases,2487.105,288.3113999999998
Standard Class,Corporate,West,Furniture,Bookcases,4512.923,-118.53970000000001
First Class,Home Office,West,Furniture,Bookcases,2011.831,110.71180000000005
Same Day,Home Office,West,Furniture,Bookcases,1010.497,30.405800000000028
Second Class,Home Office,West,Furniture,Bookcases,1346.587,86.18780000000001
Standard Class,Home Office,West,Furniture,Bookcases,693.342,104.80719999999997
First Class,Consumer,Central,Furniture,Tables,1528.6190000000004,-226.07230000000015
Same Day,Consumer,Central,Furniture,Tables,499.986,-13.35459999999999
Second Class,Consumer,Central,Furniture,Tables,3571.835,-1328.4948000000002
Standard Class,Consumer,Central,Furniture,Tables,15234.559999999998,-2396.2354
First Class,Corporate,Central,Furniture,Tables,1056.8809999999999,-81.7471
Same Day,Corporate,Central,Furniture,Tables,,
Second Class,Corporate,Central,Furniture,Tables,,
Standard Class,Corporate,Central,Furniture,Tables,11505.712,788.9276999999998
First Class,Home Office,Central,Furniture,Tables,1295.336,-552.8473000000002
Same Day,Home Office,Central,Furniture,Tables,262.11,62.90639999999999
Second Class,Home Office,Central,Furniture,Tables,867.66,147.5021999999999
Standard Class,Home Office,Central,Furniture,Tables,3332.272,39.764799999999894
First Class,Consumer,East,Furniture,Tables,1742.859,-476.5248000000001
Same Day,Consumer,East,Furniture,Tables,3482.259,-801.8885999999999
Second Class,Consumer,East,Furniture,Tables,1720.216,-268.15430000000003
Standard Class,Consumer,East,Furniture,Tables,7137.132999999999,-2161.7851000000005
First Class,Corporate,East,Furniture,Tables,1078.476,-178.4484
Same Day,Corporate,East,Furniture,Tables,328.59000000000003,-147.8655
