With Actual budget.Period_MON,With Actual budget.Product,With Actual budget.Account,Sum(With Actual budget.Additional 2)
OCT,Mineral Water,Gross Sales,32208741.179999996
SEP,Mineral Water,Gross Sales,19293630.924
APR,Mineral Water,Raw Materials,8599840.932
AUG,Mineral Water,Raw Materials,3134714.4599999995
DEC,Mineral Water,Raw Materials,8102411.069999999
FEB,Mineral Water,Raw Materials,3134714.4599999995
JAN,Mineral Water,Raw Materials,3389667.168
JUL,Mineral Water,Raw Materials,3389667.168
JUN,Mineral Water,Raw Materials,8102411.069999999
MAR,Mineral Water,Raw Materials,3759435.6180000002
MAY,Mineral Water,Raw Materials,8343605.423999999
NOV,Mineral Water,Raw Materials,8343605.423999999
OCT,Mineral Water,Raw Materials,8599840.932
SEP,Mineral Water,Raw Materials,3759435.6180000002
APR,Mineral Water,Labor,4630683.575999999
AUG,Mineral Water,Labor,1687923.162
DEC,Mineral Water,Labor,4362836.718
FEB,Mineral Water,Labor,1687923.162
JAN,Mineral Water,Labor,1825205.4
JUL,Mineral Water,Labor,1825205.4
JUN,Mineral Water,Labor,4362836.718
MAR,Mineral Water,Labor,2024311.488
MAY,Mineral Water,Labor,4492710.618
NOV,Mineral Water,Labor,4492710.618
OCT,Mineral Water,Labor,4630683.575999999
SEP,Mineral Water,Labor,2024311.488
APR,Mineral Water,Pricing Adjustments,1430244.2519999999
AUG,Mineral Water,Pricing Adjustments,505070.502
DEC,Mineral Water,Pricing Adjustments,2400459.678
FEB,Mineral Water,Pricing Adjustments,505070.502
JAN,Mineral Water,Pricing Adjustments,395025.036
JUL,Mineral Water,Pricing Adjustments,395025.036
JUN,Mineral Water,Pricing Adjustments,2400459.678
MAR,Mineral Water,Pricing Adjustments,524605.0199999999
MAY,Mineral Water,Pricing Adjustments,1786144.0080000001
NOV,Mineral Water,Pricing Adjustments,1786144.0080000001
OCT,Mineral Water,Pricing Adjustments,1430244.2519999999
SEP,Mineral Water,Pricing Adjustments,524605.0199999999
APR,Mineral Water,Sales Discounts - Other,59.568
AUG,Mineral Water,Sales Discounts - Other,3738936.696
DEC,Mineral Water,Sales Discounts - Other,178321.68
FEB,Mineral Water,Sales Discounts - Other,3738936.696
JAN,Mineral Water,Sales Discounts - Other,27686.88
JUL,Mineral Water,Sales Discounts - Other,27686.88
JUN,Mineral Water,Sales Discounts - Other,178321.68
MAR,Mineral Water,Sales Discounts - Other,1582642.704
MAY,Mineral Water,Sales Discounts - Other,340580.346
NOV,Mineral Water,Sales Discounts - Other,340580.346
OCT,Mineral Water,Sales Discounts - Other,59.568
SEP,Mineral Water,Sales Discounts - Other,1582642.704
APR,Mineral Water,Sales Markdowns,98.568
AUG,Mineral Water,Sales Markdowns,3802419.642
DEC,Mineral Water,Sales Markdowns,45830.784
FEB,Mineral Water,Sales Markdowns,3802419.642
JAN,Mineral Water,Sales Markdowns,27032.435999999998
JUL,Mineral Water,Sales Markdowns,27032.435999999998
JUN,Mineral Water,Sales Markdowns,45830.784
MAR,Mineral Water,Sales Markdowns,1644050.064
MAY,Mineral Water,Sales Markdowns,1457.7359999999999
NOV,Mineral Water,Sales Markdowns,1457.7359999999999
OCT,Mineral Water,Sales Markdowns,98.568
SEP,Mineral Water,Sales Markdowns,1644050.064
APR,Mineral Water,Freight,98885.97
AUG,Mineral Water,Freight,21811.728
DEC,Mineral Water,Freight,92427.96
FEB,Mineral Water,Freight,21811.728
JAN,Mineral Water,Freight,10056.006
JUL,Mineral Water,Freight,10056.006
JUN,Mineral Water,Freight,92427.96
MAR,Mineral Water,Freight,138436.47
MAY,Mineral Water,Freight,297460.25999999995
NOV,Mineral Water,Freight,297460.25999999995
OCT,Mineral Water,Freight,98885.97
SEP,Mineral Water,Freight,138436.47
APR,Mineral Water,Merchandise Returns,85855.692
AUG,Mineral Water,Merchandise Returns,84322.632
DEC,Mineral Water,Merchandise Returns,104162.382
FEB,Mineral Water,Merchandise Returns,84322.632
JAN,Mineral Water,Merchandise Returns,47133.18
JUL,Mineral Water,Merchandise Returns,47133.18
JUN,Mineral Water,Merchandise Returns,104162.382
MAR,Mineral Water,Merchandise Returns,47301.714
MAY,Mineral Water,Merchandise Returns,139663.31399999998
NOV,Mineral Water,Merchandise Returns,139663.31399999998
OCT,Mineral Water,Merchandise Returns,85855.692
SEP,Mineral Water,Merchandise Returns,47301.714
APR,Mineral Water,Other Direct Costs,42379.698
AUG,Mineral Water,Other Direct Costs,9347.88
DEC,Mineral Water,Other Direct Costs,39611.988
FEB,Mineral Water,Other Direct Costs,9347.88
JAN,Mineral Water,Other Direct Costs,4309.722
JUL,Mineral Water,Other Direct Costs,4309.722
JUN,Mineral Water,Other Direct Costs,39611.988
MAR,Mineral Water,Other Direct Costs,59329.92
MAY,Mineral Water,Other Direct Costs,127482.972
NOV,Mineral Water,Other Direct Costs,127482.972
OCT,Mineral Water,Other Direct Costs,42379.698
SEP,Mineral Water,Other Direct Costs,59329.92
APR,Mineral Water,Sale Allowances,11176.967999999999
AUG,Mineral Water,Sale Allowances,30276.408
DEC,Mineral Water,Sale Allowances,29086.488
FEB,Mineral Water,Sale Allowances,30276.408
JAN,Mineral Water,Sale Allowances,15678.119999999999
JUL,Mineral Water,Sale Allowances,15678.119999999999
JUN,Mineral Water,Sale Allowances,29086.488
MAR,Mineral Water,Sale Allowances,41748.828
MAY,Mineral Water,Sale Allowances,56372.13
NOV,Mineral Water,Sale Allowances,56372.13
OCT,Mineral Water,Sale Allowances,11176.967999999999
SEP,Mineral Water,Sale Allowances,41748.828
APR,Mineral Water,Purchase Price Variance,286976.682
AUG,Mineral Water,Purchase Price Variance,-293158.18799999997
DEC,Mineral Water,Purchase Price Variance,-29015.802
FEB,Mineral Water,Purchase Price Variance,-293158.18799999997
JAN,Mineral Water,Purchase Price Variance,-1061943.18
JUL,Mineral Water,Purchase Price Variance,-1061943.18
JUN,Mineral Water,Purchase Price Variance,-29015.802
MAR,Mineral Water,Purchase Price Variance,515149.84199999995
MAY,Mineral Water,Purchase Price Variance,634894.656
NOV,Mineral Water,Purchase Price Variance,634894.656
OCT,Mineral Water,Purchase Price Variance,286976.682
SEP,Mineral Water,Purchase Price Variance,515149.84199999995
APR,Soda,Gross Sales,4002705.792
AUG,Soda,Gross Sales,2059868.0999999999
DEC,Soda,Gross Sales,2763833.964
FEB,Soda,Gross Sales,2059868.0999999999
JAN,Soda,Gross Sales,1360571.3639999998
JUL,Soda,Gross Sales,1360571.3639999998
JUN,Soda,Gross Sales,2763833.964
MAR,Soda,Gross Sales,2659533.72
MAY,Soda,Gross Sales,2604477.8099999996
NOV,Soda,Gross Sales,2604477.8099999996
OCT,Soda,Gross Sales,4002705.792
SEP,Soda,Gross Sales,2659533.72
APR,Soda,Raw Materials,1189639.26
AUG,Soda,Raw Materials,702115.512
DEC,Soda,Raw Materials,458963.964
FEB,Soda,Raw Materials,702115.512
JAN,Soda,Raw Materials,394424.202
JUL,Soda,Raw Materials,394424.202
JUN,Soda,Raw Materials,458963.964
MAR,Soda,Raw Materials,580299.246
MAY,Soda,Raw Materials,686992.47
NOV,Soda,Raw Materials,686992.47
OCT,Soda,Raw Materials,1189639.26
SEP,Soda,Raw Materials,580299.246
APR,Soda,Labor,640574.982
AUG,Soda,Labor,378062.20800000004
DEC,Soda,Labor,247134.444
FEB,Soda,Labor,378062.20800000004
JAN,Soda,Labor,212382.276
JUL,Soda,Labor,212382.276
JUN,Soda,Labor,247134.444
MAR,Soda,Labor,312468.822
MAY,Soda,Labor,369919.01999999996
NOV,Soda,Labor,369919.01999999996
OCT,Soda,Labor,640574.982
SEP,Soda,Labor,312468.822
APR,Soda,Pricing Adjustments,54153.468
AUG,Soda,Pricing Adjustments,67184.334
DEC,Soda,Pricing Adjustments,443956.29600000003
FEB,Soda,Pricing Adjustments,67184.334
JAN,Soda,Pricing Adjustments,41820.714
JUL,Soda,Pricing Adjustments,41820.714
JUN,Soda,Pricing Adjustments,443956.29600000003
MAR,Soda,Pricing Adjustments,116064.114
MAY,Soda,Pricing Adjustments,590603.0939999999
NOV,Soda,Pricing Adjustments,590603.0939999999
OCT,Soda,Pricing Adjustments,54153.468
SEP,Soda,Pricing Adjustments,116064.114
APR,Soda,Sales Discounts - Other,156922.686
AUG,Soda,Sales Discounts - Other,12275.028
DEC,Soda,Sales Discounts - Other,101422.23
FEB,Soda,Sales Discounts - Other,12275.028
JAN,Soda,Sales Discounts - Other,8664.438
JUL,Soda,Sales Discounts - Other,8664.438
JUN,Soda,Sales Discounts - Other,101422.23
MAR,Soda,Sales Discounts - Other,41633.376000000004
MAY,Soda,Sales Discounts - Other,51625.728
NOV,Soda,Sales Discounts - Other,51625.728
OCT,Soda,Sales Discounts - Other,156922.686
SEP,Soda,Sales Discounts - Other,41633.376000000004
APR,Soda,Purchase Price Variance,-5790.138
AUG,Soda,Purchase Price Variance,-1607.526
DEC,Soda,Purchase Price Variance,-37741.085999999996
FEB,Soda,Purchase Price Variance,-1607.526
JAN,Soda,Purchase Price Variance,-106551.12000000001
JUL,Soda,Purchase Price Variance,-106551.12000000001
JUN,Soda,Purchase Price Variance,-37741.085999999996
MAR,Soda,Purchase Price Variance,107442.534
MAY,Soda,Purchase Price Variance,171887.628
NOV,Soda,Purchase Price Variance,171887.628
OCT,Soda,Purchase Price Variance,-5790.138
SEP,Soda,Purchase Price Variance,107442.534
APR,Soda,Sale Allowances,6174.7919999999995
AUG,Soda,Sale Allowances,15100.086
DEC,Soda,Sale Allowances,19763.393999999997
FEB,Soda,Sale Allowances,15100.086
JAN,Soda,Sale Allowances,16774.458
JUL,Soda,Sale Allowances,16774.458
JUN,Soda,Sale Allowances,19763.393999999997
MAR,Soda,Sale Allowances,20424.498
MAY,Soda,Sale Allowances,48557.507999999994
NOV,Soda,Sale Allowances,48557.507999999994
OCT,Soda,Sale Allowances,6174.7919999999995
SEP,Soda,Sale Allowances,20424.498
APR,Soda,Freight,2415.276
AUG,Soda,Freight,7667.495999999999
DEC,Soda,Freight,18645.396
FEB,Soda,Freight,7667.495999999999
JAN,Soda,Freight,3278.52
JUL,Soda,Freight,3278.52
JUN,Soda,Freight,18645.396
MAR,Soda,Freight,65609.61
MAY,Soda,Freight,4353.33
NOV,Soda,Freight,4353.33
OCT,Soda,Freight,2415.276
SEP,Soda,Freight,65609.61
APR,Soda,Merchandise Returns,18313.242
AUG,Soda,Merchandise Returns,20257.5
DEC,Soda,Merchandise Returns,19785.69
FEB,Soda,Merchandise Returns,20257.5
JAN,Soda,Merchandise Returns,2392.092
JUL,Soda,Merchandise Returns,2392.092
JUN,Soda,Merchandise Returns,19785.69
MAR,Soda,Merchandise Returns,12443.58
MAY,Soda,Merchandise Returns,28175.609999999997
NOV,Soda,Merchandise Returns,28175.609999999997
OCT,Soda,Merchandise Returns,18313.242
SEP,Soda,Merchandise Returns,12443.58
APR,Soda,Other Direct Costs,1035.12
AUG,Soda,Other Direct Costs,3286.0679999999998
DEC,Soda,Other Direct Costs,7990.883999999999
FEB,Soda,Other Direct Costs,3286.0679999999998
JAN,Soda,Other Direct Costs,1405.086
JUL,Soda,Other Direct Costs,1405.086
JUN,Soda,Other Direct Costs,7990.883999999999
MAR,Soda,Other Direct Costs,28118.406
MAY,Soda,Other Direct Costs,1865.7060000000001
NOV,Soda,Other Direct Costs,1865.7060000000001
OCT,Soda,Other Direct Costs,1035.12
SEP,Soda,Other Direct Costs,28118.406
APR,Soda,Sales Markdowns,
AUG,Soda,Sales Markdowns,
DEC,Soda,Sales Markdowns,0
FEB,Soda,Sales Markdowns,
JAN,Soda,Sales Markdowns,
JUL,Soda,Sales Markdowns,
JUN,Soda,Sales Markdowns,
MAR,Soda,Sales Markdowns,
MAY,Soda,Sales Markdowns,
NOV,Soda,Sales Markdowns,
OCT,Soda,Sales Markdowns,
SEP,Soda,Sales Markdowns,
