15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Sale (Dollars))
2012,Qtr 4,Warren,406.61
2013,Qtr 3,Warren,241.19
2013,Qtr 4,Warren,1112.91
2014,Qtr 3,Warren,1661.65
2014,Qtr 4,Warren,701.75
2015,Qtr 3,Warren,2276.87
2015,Qtr 4,Warren,437.19
2012,Qtr 3,Washington,859.54
2012,Qtr 4,Washington,516.36
2013,Qtr 3,Washington,486.63
2013,Qtr 4,Washington,338.07
2014,Qtr 3,Washington,237.14
2014,Qtr 4,Washington,568.56
2015,Qtr 3,Washington,1187.7
2015,Qtr 4,Washington,583.71
2012,Qtr 3,Wayne,36.12
2012,Qtr 4,Wayne,48.7
2013,Qtr 3,Wayne,
2013,Qtr 4,Wayne,
2014,Qtr 3,Wayne,80.82
2014,Qtr 4,Wayne,
2015,Qtr 3,Wayne,
2015,Qtr 4,Wayne,161.64
2012,Qtr 3,Webster,3007.67
2012,Qtr 4,Webster,1578.61
2013,Qtr 3,Webster,2159.52
2013,Qtr 4,Webster,1148.48
2014,Qtr 3,Webster,2155.14
2014,Qtr 4,Webster,1279.88
2015,Qtr 3,Webster,924.12
2015,Qtr 4,Webster,749.41
2012,Qtr 3,Winnebago,720.28
2012,Qtr 4,Winnebago,575.46
2013,Qtr 3,Winnebago,363.04
2013,Qtr 4,Winnebago,88.8
2014,Qtr 3,Winnebago,305.82
2014,Qtr 4,Winnebago,
2015,Qtr 3,Winnebago,134.08
2015,Qtr 4,Winnebago,78.12
2012,Qtr 3,Winneshiek,835.77
2012,Qtr 4,Winneshiek,475.84
2013,Qtr 3,Winneshiek,64.74
2013,Qtr 4,Winneshiek,992.1
2014,Qtr 3,Winneshiek,594.56
2014,Qtr 4,Winneshiek,328.38
2015,Qtr 3,Winneshiek,406.77
2015,Qtr 4,Winneshiek,700.2
2012,Qtr 3,Woodbury,3902.56
2012,Qtr 4,Woodbury,32240.6
2013,Qtr 3,Woodbury,3449.54
2013,Qtr 4,Woodbury,4249.57
2014,Qtr 3,Woodbury,3228.2
2014,Qtr 4,Woodbury,8048.09
2015,Qtr 3,Woodbury,4614.38
2015,Qtr 4,Woodbury,2164.98
2012,Qtr 3,Worth,
2012,Qtr 4,Worth,
2013,Qtr 3,Worth,
2013,Qtr 4,Worth,
2014,Qtr 3,Worth,33.54
2014,Qtr 4,Worth,87.98
2015,Qtr 3,Worth,82.26
2015,Qtr 4,Worth,
2012,Qtr 3,Wright,224.98
2012,Qtr 4,Wright,411.16
2013,Qtr 3,Wright,22.32
2013,Qtr 4,Wright,59.52
2014,Qtr 3,Wright,190.35
2014,Qtr 4,Wright,80.16
2015,Qtr 3,Wright,172.08
2015,Qtr 4,Wright,
