Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code)
2017,Office Supplies,Binders,Corporate,East,125,763.7821999999999,15.399999999999993,3029.951000000001,36
2014,Office Supplies,Binders,Corporate,South,78,1928.3879,5.6000000000000005,4450.604000000001,20
2015,Office Supplies,Binders,Corporate,South,96,-882.0821000000001,10.499999999999998,2594.096,24
2016,Office Supplies,Binders,Corporate,South,92,-55.80759999999988,9.1,1026.3249999999998,22
2017,Office Supplies,Binders,Corporate,South,99,1505.7019000000003,8.4,3756.6069999999995,21
2014,Office Supplies,Binders,Corporate,West,101,514.7916999999999,7.3000000000000025,3469.9750000000013,29
2015,Office Supplies,Binders,Corporate,West,92,116.75429999999997,7.500000000000002,883.9000000000001,25
2016,Office Supplies,Binders,Corporate,West,162,568.8918999999999,12.299999999999999,1872.0880000000004,44
2017,Office Supplies,Binders,Corporate,West,210,4268.103599999999,13.799999999999994,12578.797,54
2014,Office Supplies,Binders,Home Office,Central,52,-45.79620000000011,7.199999999999999,685.9859999999999,14
2015,Office Supplies,Binders,Home Office,Central,66,1979.0884,6.3999999999999995,4321.448,16
2016,Office Supplies,Binders,Home Office,Central,54,93.30239999999999,6.3999999999999995,406.12000000000006,14
2017,Office Supplies,Binders,Home Office,Central,105,-482.12760000000003,11.200000000000001,2936.612,25
2014,Office Supplies,Binders,Home Office,East,54,402.4006,3.0999999999999996,1030.7820000000002,10
2015,Office Supplies,Binders,Home Office,East,62,140.0245,5.700000000000001,841.7099999999998,20
2016,Office Supplies,Binders,Home Office,East,85,542.4744999999994,8,6053.042000000001,18
2017,Office Supplies,Binders,Home Office,East,102,609.3618999999999,8.600000000000001,1901.4720000000002,24
2014,Office Supplies,Binders,Home Office,South,20,-30.917099999999962,1.4,1113.702,6
2015,Office Supplies,Binders,Home Office,South,30,207.6734,2.0999999999999996,478.07800000000003,8
2016,Office Supplies,Binders,Home Office,South,48,671.6350000000002,6.300000000000001,2169.384,14
2017,Office Supplies,Binders,Home Office,South,89,-1027.8559000000002,7.000000000000001,2823.8420000000006,20
2014,Office Supplies,Binders,Home Office,West,42,244.19979999999998,1.9999999999999998,691.64,10
2015,Office Supplies,Binders,Home Office,West,42,80.94859999999998,3.3999999999999995,282.29200000000003,12
2016,Office Supplies,Binders,Home Office,West,111,1812.3247999999992,8.9,5623.252000000002,27
2017,Office Supplies,Binders,Home Office,West,149,652.1089000000002,9.9,2332.049,32
2014,Office Supplies,Envelopes,Consumer,Central,26,285.5756999999999,1,837.2560000000001,6
2015,Office Supplies,Envelopes,Consumer,Central,18,159.57,0.6000000000000001,362.73,6
2016,Office Supplies,Envelopes,Consumer,Central,26,135.6727,1.4,366.636,9
2017,Office Supplies,Envelopes,Consumer,Central,29,331.8432,0.6000000000000001,798.828,8
2014,Office Supplies,Envelopes,Consumer,East,42,221.85469999999998,1.2,589.874,10
2015,Office Supplies,Envelopes,Consumer,East,35,150.7986,0.8,339.50399999999996,13
2016,Office Supplies,Envelopes,Consumer,East,41,408.72180000000003,0.6000000000000001,948.1920000000001,10
2017,Office Supplies,Envelopes,Consumer,East,15,100.50459999999998,0.4,217.952,6
2014,Office Supplies,Envelopes,Consumer,South,15,45.9222,0.6000000000000001,125.56400000000001,4
2015,Office Supplies,Envelopes,Consumer,South,24,183.6358,0.2,393.662,8
2016,Office Supplies,Envelopes,Consumer,South,20,93.53209999999999,0.6000000000000001,247.342,6
2017,Office Supplies,Envelopes,Consumer,South,33,180.34060000000002,1.2,424.99,8
2014,Office Supplies,Envelopes,Consumer,West,32,274.9298,0.6000000000000001,618.3799999999999,9
2015,Office Supplies,Envelopes,Consumer,West,23,319.59659999999997,0.6000000000000001,698.326,9
2016,Office Supplies,Envelopes,Consumer,West,43,322.48400000000004,0.2,679.622,12
2017,Office Supplies,Envelopes,Consumer,West,20,49.430200000000006,0.6000000000000001,122.288,5
2014,Office Supplies,Envelopes,Corporate,Central,20,109.30069999999999,1,290.47600000000006,6
2015,Office Supplies,Envelopes,Corporate,Central,16,99.35379999999996,0.4,288.45599999999996,3
2016,Office Supplies,Envelopes,Corporate,Central,11,179.79029999999997,0.2,436.87199999999996,2
2017,Office Supplies,Envelopes,Corporate,Central,10,95.21940000000001,0.6000000000000001,220.104,4
2014,Office Supplies,Envelopes,Corporate,East,27,297.316,0.6000000000000001,746.3879999999999,5
2015,Office Supplies,Envelopes,Corporate,East,20,87.10419999999999,0.4,199.102,6
2016,Office Supplies,Envelopes,Corporate,East,12,84.8253,0.2,190.626,3
2017,Office Supplies,Envelopes,Corporate,East,38,194.3397,0.8,443.15,11
2014,Office Supplies,Envelopes,Corporate,South,10,44.101099999999995,0,89.89,4
2015,Office Supplies,Envelopes,Corporate,South,40,393.60349999999994,0.6000000000000001,913.8080000000001,8
2016,Office Supplies,Envelopes,Corporate,South,20,50.142599999999995,0,103.28999999999999,3
2017,Office Supplies,Envelopes,Corporate,South,20,155.5326,0.6000000000000001,363.916,6
2014,Office Supplies,Envelopes,Corporate,West,8,10.208400000000001,0.2,23.928,2
2015,Office Supplies,Envelopes,Corporate,West,21,249.0676,0,532.65,5
2016,Office Supplies,Envelopes,Corporate,West,20,398.84839999999997,0,843.28,6
2017,Office Supplies,Envelopes,Corporate,West,30,122.47540000000001,0.2,256.734,10
2014,Office Supplies,Envelopes,Home Office,Central,17,175.97179999999997,0.4,470.95400000000006,5
2015,Office Supplies,Envelopes,Home Office,Central,16,88.029,0.4,219.672,3
2016,Office Supplies,Envelopes,Home Office,Central,4,56.45969999999999,0.4,167.288,2
2017,Office Supplies,Envelopes,Home Office,Central,13,60.74199999999999,0.6000000000000001,177.60000000000002,5
2014,Office Supplies,Envelopes,Home Office,East,2,5.339199999999999,0,11.36,1
2015,Office Supplies,Envelopes,Home Office,East,16,125.94249999999997,0.2,338.23400000000004,2
2016,Office Supplies,Envelopes,Home Office,East,8,63.0879,0.6000000000000001,165.932,4
2017,Office Supplies,Envelopes,Home Office,East,11,72.5745,0.2,185.56,3
2014,Office Supplies,Envelopes,Home Office,South,5,17.472,0,36.4,1
2015,Office Supplies,Envelopes,Home Office,South,6,44.992799999999995,0.2,101.584,3
2016,Office Supplies,Envelopes,Home Office,South,13,256.20169999999996,0,545.11,3
2017,Office Supplies,Envelopes,Home Office,South,,,,,
2014,Office Supplies,Envelopes,Home Office,West,2,7.4872,0,15.28,1
2015,Office Supplies,Envelopes,Home Office,West,2,58.49619999999999,0,124.46,1
2016,Office Supplies,Envelopes,Home Office,West,4,16.9818,0,35.699999999999996,2
2017,Office Supplies,Envelopes,Home Office,West,22,78.75680000000001,0.4,167.452,5
2014,Office Supplies,Fasteners,Consumer,Central,28,-0.001800000000001134,1.2,65.724,7
2015,Office Supplies,Fasteners,Consumer,Central,28,15.8691,0.8,53.138000000000005,6
2016,Office Supplies,Fasteners,Consumer,Central,28,38.1731,1.2,111.13800000000002,7
2017,Office Supplies,Fasteners,Consumer,Central,38,74.10730000000001,1,192.432,10
2014,Office Supplies,Fasteners,Consumer,East,22,17.551199999999994,0.4,54.32000000000001,3
2015,Office Supplies,Fasteners,Consumer,East,27,37.262499999999996,0.6000000000000001,103.50599999999999,8
2016,Office Supplies,Fasteners,Consumer,East,50,51.4534,0.4,161.37600000000003,10
2017,Office Supplies,Fasteners,Consumer,East,37,42.9059,0.4,104.496,8
2014,Office Supplies,Fasteners,Consumer,South,20,32.9158,0.4,78.08200000000001,4
2015,Office Supplies,Fasteners,Consumer,South,10,32.79959999999999,0.2,86.664,2
2016,Office Supplies,Fasteners,Consumer,South,7,14.8626,0,30.740000000000002,2
2017,Office Supplies,Fasteners,Consumer,South,23,33.6934,0.2,80.93,5
2014,Office Supplies,Fasteners,Consumer,West,29,50.3514,0.2,116.76400000000002,8
2015,Office Supplies,Fasteners,Consumer,West,33,42.463699999999996,0.2,115.452,10
2016,Office Supplies,Fasteners,Consumer,West,45,36.4727,0,183.35000000000002,11
2017,Office Supplies,Fasteners,Consumer,West,48,55.9209,0.4,142.83,13
2014,Office Supplies,Fasteners,Corporate,Central,16,15.4984,0.6000000000000001,52.604000000000006,5
2015,Office Supplies,Fasteners,Corporate,Central,8,3.6292000000000004,0.2,19.472,2
2016,Office Supplies,Fasteners,Corporate,Central,25,22.5829,0.8,58.306,5
2017,Office Supplies,Fasteners,Corporate,Central,22,36.845800000000004,1,101.72800000000001,6
2014,Office Supplies,Fasteners,Corporate,East,17,12.913999999999996,0.2,36.912,2
2015,Office Supplies,Fasteners,Corporate,East,28,7.9364,0.8,65.9,6
2016,Office Supplies,Fasteners,Corporate,East,49,41.2991,0.8,125.23400000000001,8
2017,Office Supplies,Fasteners,Corporate,East,22,14.320899999999998,0.6000000000000001,58.04600000000001,5
2014,Office Supplies,Fasteners,Corporate,South,17,9.363,0.6000000000000001,30.55,4
2015,Office Supplies,Fasteners,Corporate,South,16,12.990499999999999,0.4,38.74400000000001,2
2016,Office Supplies,Fasteners,Corporate,South,3,5.2164,0,11.34,1
2017,Office Supplies,Fasteners,Corporate,South,,,,,
2014,Office Supplies,Fasteners,Corporate,West,17,29.1785,0.6000000000000001,75.642,6
2015,Office Supplies,Fasteners,Corporate,West,5,2.289000000000001,0.2,8.72,1
2016,Office Supplies,Fasteners,Corporate,West,10,18.812499999999996,0.2,49.46,2
2017,Office Supplies,Fasteners,Corporate,West,18,19.0264,0.2,50.632,4
2014,Office Supplies,Fasteners,Home Office,Central,2,0.5668,0.2,3.4880000000000004,1
2015,Office Supplies,Fasteners,Home Office,Central,4,5.6,0.2,16,1
2016,Office Supplies,Fasteners,Home Office,Central,21,22.469499999999996,0.2,77.92999999999999,3
2017,Office Supplies,Fasteners,Home Office,Central,7,1.2783000000000002,0,26.07,2
2014,Office Supplies,Fasteners,Home Office,East,2,1.9169999999999998,0.2,5.68,1
2015,Office Supplies,Fasteners,Home Office,East,12,5.004,0.2,22.247999999999998,3
2016,Office Supplies,Fasteners,Home Office,East,24,19.7248,1,57.56,5
2017,Office Supplies,Fasteners,Home Office,East,8,11.7016,0,24.44,2
2014,Office Supplies,Fasteners,Home Office,South,9,8.626299999999999,0.4,57.160000000000004,3
2015,Office Supplies,Fasteners,Home Office,South,,,,,
2016,Office Supplies,Fasteners,Home Office,South,14,14.822399999999998,0,62.79,3
2017,Office Supplies,Fasteners,Home Office,South,7,8.428099999999999,0.2,26.316,3
2014,Office Supplies,Fasteners,Home Office,West,22,-0.32230000000000203,0.2,84.402,6
2015,Office Supplies,Fasteners,Home Office,West,5,6.093599999999999,0,15.38,3
2016,Office Supplies,Fasteners,Home Office,West,12,8.184000000000001,0,30.91,2
2017,Office Supplies,Fasteners,Home Office,West,19,6.7203,0.2,49.67400000000001,6
2014,Office Supplies,Labels,Consumer,Central,17,67.3107,0.4,143.09400000000002,5
2015,Office Supplies,Labels,Consumer,Central,26,66.0458,0.4,148.412,6
2016,Office Supplies,Labels,Consumer,Central,32,55.1777,1.2,133.426,10
2017,Office Supplies,Labels,Consumer,Central,48,145.66809999999995,1.2,318.274,12
2014,Office Supplies,Labels,Consumer,East,47,149.1173,0.4,325.462,10
2015,Office Supplies,Labels,Consumer,East,52,124.16619999999999,0.8,281.702,13
2016,Office Supplies,Labels,Consumer,East,66,254.60210000000004,0.8,581.9199999999998,16
2017,Office Supplies,Labels,Consumer,East,74,205.64340000000007,1.5999999999999999,463.7159999999999,24
2014,Office Supplies,Labels,Consumer,South,25,110.52149999999997,0.6000000000000001,251.23000000000002,5
2015,Office Supplies,Labels,Consumer,South,21,492.72780000000006,0.6000000000000001,1010.604,7
2016,Office Supplies,Labels,Consumer,South,23,85.77489999999999,0.8,183.63800000000003,9
2017,Office Supplies,Labels,Consumer,South,25,151.8796,1,422.75000000000006,9
2014,Office Supplies,Labels,Consumer,West,47,139.3539,0.4,301.098,10
2015,Office Supplies,Labels,Consumer,West,41,124.31269999999996,0.2,266.37000000000006,14
2016,Office Supplies,Labels,Consumer,West,72,226.33559999999997,0,475.82,18
2017,Office Supplies,Labels,Consumer,West,99,677.3511000000001,0.2,1401.7459999999999,21
2014,Office Supplies,Labels,Corporate,Central,14,346.6299,0.6000000000000001,716.754,5
2015,Office Supplies,Labels,Corporate,Central,18,39.0177,1.2,110.946,7
2016,Office Supplies,Labels,Corporate,Central,24,35.196799999999996,1,104.67200000000001,5
2017,Office Supplies,Labels,Corporate,Central,24,66.3256,0.6000000000000001,162.73600000000002,6
2014,Office Supplies,Labels,Corporate,East,40,65.2848,0.6000000000000001,162.042,9
2015,Office Supplies,Labels,Corporate,East,9,19.2288,0.2,45.24000000000001,2
2016,Office Supplies,Labels,Corporate,East,14,30.6441,0.2,70.206,4
2017,Office Supplies,Labels,Corporate,East,35,103.47220000000002,0.6000000000000001,231.098,8
2014,Office Supplies,Labels,Corporate,South,38,58.09689999999999,0.6000000000000001,146.85999999999999,9
2015,Office Supplies,Labels,Corporate,South,21,33.31049999999999,1,83.744,7
2016,Office Supplies,Labels,Corporate,South,14,36.6768,0.4,81.39599999999999,3
2017,Office Supplies,Labels,Corporate,South,14,22.353,0.4,53.226000000000006,4
2014,Office Supplies,Labels,Corporate,West,29,194.3524,0,416.24,6
2015,Office Supplies,Labels,Corporate,West,48,317.68479999999994,0.6000000000000001,736.6579999999999,11
2016,Office Supplies,Labels,Corporate,West,22,258.59979999999996,0.4,696.1880000000001,8
2017,Office Supplies,Labels,Corporate,West,34,133.9532,0,283.64,8
2014,Office Supplies,Labels,Home Office,Central,26,67.61019999999998,1,188.62400000000002,6
2015,Office Supplies,Labels,Home Office,Central,5,21.672,0,45.15,2
2016,Office Supplies,Labels,Home Office,Central,33,114.5873,0.4,273.15200000000004,7
2017,Office Supplies,Labels,Home Office,Central,17,47.837599999999995,0.6000000000000001,106.23200000000001,5
2014,Office Supplies,Labels,Home Office,East,12,10.6245,0.2,28.638000000000005,2
2015,Office Supplies,Labels,Home Office,East,14,69.84349999999999,0.6000000000000001,189.32,5
2016,Office Supplies,Labels,Home Office,East,32,50.4524,1.2,127.03,9
2017,Office Supplies,Labels,Home Office,East,25,46.2007,0,96.56,5
2014,Office Supplies,Labels,Home Office,South,1,0.9963,0.2,2.952,1
2015,Office Supplies,Labels,Home Office,South,6,8.1474,0.4,23.695999999999998,2
2016,Office Supplies,Labels,Home Office,South,7,10.0524,0.2,23.165999999999997,3
2017,Office Supplies,Labels,Home Office,South,21,30.235200000000003,0.8,69.918,6
2014,Office Supplies,Labels,Home Office,West,30,76.1058,0,158.4,8
2015,Office Supplies,Labels,Home Office,West,2,6.8713999999999995,0,14.62,1
2016,Office Supplies,Labels,Home Office,West,24,34.51199999999999,0.2,76.626,5
2017,Office Supplies,Labels,Home Office,West,32,113.6896,0.2,251.32,6
2014,Office Supplies,Paper,Consumer,Central,135,553.0337,5.000000000000002,1535.76,34
2015,Office Supplies,Paper,Consumer,Central,94,625.1057,3.0000000000000004,1569.6900000000003,26
2016,Office Supplies,Paper,Consumer,Central,164,667.3287,5.8000000000000025,1769.2240000000004,46
2017,Office Supplies,Paper,Consumer,Central,193,1069.1695999999997,6.000000000000003,2689.346000000001,49
2014,Office Supplies,Paper,Consumer,East,122,706.7534,2.1999999999999997,1638.7539999999997,32
2015,Office Supplies,Paper,Consumer,East,140,583.9636999999999,1.5999999999999999,1269.654,37
2016,Office Supplies,Paper,Consumer,East,146,979.1502,1.9999999999999998,2143.892,43
2017,Office Supplies,Paper,Consumer,East,271,1647.4633999999999,4.600000000000001,3608.9680000000008,75
2014,Office Supplies,Paper,Consumer,South,92,488.02459999999996,2.8000000000000003,1279.316,24
2015,Office Supplies,Paper,Consumer,South,85,699.585,1.4,1619.0319999999997,20
2016,Office Supplies,Paper,Consumer,South,103,778.9839,3.0000000000000004,1802.7979999999998,31
2017,Office Supplies,Paper,Consumer,South,163,1118.7429,6.200000000000003,2902.1260000000007,44
2014,Office Supplies,Paper,Consumer,West,178,1138.2850999999998,2.8000000000000003,2661.138,46
2015,Office Supplies,Paper,Consumer,West,225,1282.4415000000001,2.1999999999999997,2996.8760000000007,52
2016,Office Supplies,Paper,Consumer,West,221,1672.3316999999993,0.8,3551.728,66
2017,Office Supplies,Paper,Consumer,West,270,1524.2805,1.5999999999999999,3286.0660000000016,68
2014,Office Supplies,Paper,Corporate,Central,56,247.9758,2.6,578.704,19
2015,Office Supplies,Paper,Corporate,Central,99,509.7322999999999,2.8000000000000003,1309.4919999999995,24
2016,Office Supplies,Paper,Corporate,Central,130,783.6163,4.400000000000001,1909.71,32
2017,Office Supplies,Paper,Corporate,Central,141,857.9061000000002,5.600000000000002,2154.0960000000005,37
2014,Office Supplies,Paper,Corporate,East,84,703.1220999999999,1.2,1546.7720000000002,18
2015,Office Supplies,Paper,Corporate,East,87,660.5631000000002,0.8,1406.792,24
2016,Office Supplies,Paper,Corporate,East,88,487.00470000000007,1.4,1105.202,24
2017,Office Supplies,Paper,Corporate,East,126,818.2683000000002,3.0000000000000004,1916.3500000000008,36
2014,Office Supplies,Paper,Corporate,South,81,740.6026,1.2,1628.0560000000003,24
2015,Office Supplies,Paper,Corporate,South,51,173.78799999999998,1.4,479.82000000000005,13
2016,Office Supplies,Paper,Corporate,South,53,175.12279999999998,1.5999999999999999,454.10800000000006,11
2017,Office Supplies,Paper,Corporate,South,71,320.5499,1.7999999999999998,783.338,17
2014,Office Supplies,Paper,Corporate,West,98,849.2582999999998,0.8,1864.2640000000001,27
2015,Office Supplies,Paper,Corporate,West,94,763.3985999999999,0.8,1672.9719999999998,24
2016,Office Supplies,Paper,Corporate,West,141,792.2316,1.4,1744.7320000000007,34
2017,Office Supplies,Paper,Corporate,West,155,1478.4063,1.5999999999999999,3328.7220000000007,44
2014,Office Supplies,Paper,Home Office,Central,41,95.1976,1.4,232.31200000000004,11
2015,Office Supplies,Paper,Home Office,Central,31,263.9047,0.6000000000000001,665.056,6
2016,Office Supplies,Paper,Home Office,Central,60,754.4257000000001,1.5999999999999999,1686.674,14
2017,Office Supplies,Paper,Home Office,Central,81,544.5043000000001,2.6,1391.838,23
2014,Office Supplies,Paper,Home Office,East,49,338.9796999999999,1,731.6219999999998,14
2015,Office Supplies,Paper,Home Office,East,112,564.5344,1.7999999999999998,1291.2320000000004,25
2016,Office Supplies,Paper,Home Office,East,88,668.8683,2.8000000000000003,1677.0260000000003,24
2017,Office Supplies,Paper,Home Office,East,87,856.6996999999998,1.9999999999999998,1836.338,26
2014,Office Supplies,Paper,Home Office,South,38,110.20219999999999,1.2,277.204,10
2015,Office Supplies,Paper,Home Office,South,10,75.2952,0.4,204.40000000000003,3
2016,Office Supplies,Paper,Home Office,South,78,769.9554999999998,1,1666.258,17
2017,Office Supplies,Paper,Home Office,South,26,496.2088,0.6000000000000001,1054.528,7
2014,Office Supplies,Paper,Home Office,West,43,399.5863,0.2,861.054,14
2015,Office Supplies,Paper,Home Office,West,59,367.85779999999994,0.6000000000000001,802.6220000000001,18
2016,Office Supplies,Paper,Home Office,West,100,542.5151000000001,0.6000000000000001,1150.542,24
2017,Office Supplies,Paper,Home Office,West,118,1308.6435999999999,0.8,2743.002,33
2014,Office Supplies,Storage,Consumer,Central,124,-2.6856000000001146,3.800000000000001,7349.325999999997,36
2015,Office Supplies,Storage,Consumer,Central,69,-173.60840000000042,3.2000000000000006,4996.564000000001,20
2016,Office Supplies,Storage,Consumer,Central,94,438.4566,3.0000000000000004,6238.274000000001,25
2017,Office Supplies,Storage,Consumer,Central,107,151.14749999999998,5.000000000000002,6087.646,38
2014,Office Supplies,Storage,Consumer,East,62,364.26749999999964,1.5999999999999999,6443.852000000001,16
2015,Office Supplies,Storage,Consumer,East,101,525.1284999999997,1.9999999999999998,5359.602000000001,26
2016,Office Supplies,Storage,Consumer,East,137,1024.9028999999998,2.1999999999999997,9561.482000000002,41
2017,Office Supplies,Storage,Consumer,East,98,59.62530000000004,3.0000000000000004,3629.5220000000004,31
2014,Office Supplies,Storage,Consumer,South,39,360.1185999999998,1.2,2688.864,12
2015,Office Supplies,Storage,Consumer,South,66,-290.7855,1.5999999999999999,4368.752000000001,18
2016,Office Supplies,Storage,Consumer,South,78,433.4962999999999,1,4882.456000000001,15
2017,Office Supplies,Storage,Consumer,South,69,385.8402999999997,1.9999999999999998,4941.674000000001,21
2014,Office Supplies,Storage,Consumer,West,136,770.8347999999999,1.2,8744.173999999999,35
2015,Office Supplies,Storage,Consumer,West,138,1214.8914999999995,1,10784.966,34
2016,Office Supplies,Storage,Consumer,West,121,838.3638,1,5740.273999999999,35
2017,Office Supplies,Storage,Consumer,West,180,1004.2062999999998,1.7999999999999998,8674.973999999997,47
2014,Office Supplies,Storage,Corporate,Central,42,25.58059999999999,1.7999999999999998,1428.7300000000002,11
2015,Office Supplies,Storage,Corporate,Central,49,449.8159999999999,1.5999999999999999,2273.248,12
2016,Office Supplies,Storage,Corporate,Central,40,413.9957999999998,1.5999999999999999,3985.1600000000003,12
2017,Office Supplies,Storage,Corporate,Central,64,195.11779999999993,2.1999999999999997,4969.466,19
2014,Office Supplies,Storage,Corporate,East,72,822.5079000000002,1.4,8385.52,15
2015,Office Supplies,Storage,Corporate,East,93,1012.5210999999999,1,5395.728000000001,25
2016,Office Supplies,Storage,Corporate,East,106,504.28479999999973,1.9999999999999998,7164.718000000001,26
2017,Office Supplies,Storage,Corporate,East,85,1497.1426999999992,1.7999999999999998,10022.404,24
2014,Office Supplies,Storage,Corporate,South,48,91.18639999999988,0.8,3036.9739999999993,13
2015,Office Supplies,Storage,Corporate,South,22,90.51020000000001,1,2372.986,7
2016,Office Supplies,Storage,Corporate,South,38,389.7424999999999,1,2996.2780000000002,10
2017,Office Supplies,Storage,Corporate,South,42,147.13199999999978,1,2956.02,10
2014,Office Supplies,Storage,Corporate,West,71,724.6847000000001,0.4,4773.114,17
2015,Office Supplies,Storage,Corporate,West,43,277.1819999999998,0.8,3650.7160000000003,11
2016,Office Supplies,Storage,Corporate,West,52,416.53740000000005,0.6000000000000001,5096.104000000001,13
2017,Office Supplies,Storage,Corporate,West,133,2073.082799999999,0.4,11283.831999999999,35
2014,Office Supplies,Storage,Home Office,Central,20,321.5443999999999,0.6000000000000001,2315.33,7
2015,Office Supplies,Storage,Home Office,Central,13,161.20809999999994,0.4,1061.662,4
2016,Office Supplies,Storage,Home Office,Central,44,-73.47590000000008,1,2588.0780000000004,10
2017,Office Supplies,Storage,Home Office,Central,58,62.73960000000004,1.7999999999999998,2636.628,16
2014,Office Supplies,Storage,Home Office,East,9,125.23099999999997,0,1377.89,3
2015,Office Supplies,Storage,Home Office,East,25,194.90819999999982,0.6000000000000001,2553.876,6
2016,Office Supplies,Storage,Home Office,East,50,1275.1011999999998,0.6000000000000001,5369.858000000001,10
2017,Office Supplies,Storage,Home Office,East,69,983.7500999999999,1,6348.131999999999,19
2014,Office Supplies,Storage,Home Office,South,16,10.92160000000003,0.2,989.1679999999999,4
2015,Office Supplies,Storage,Home Office,South,5,-67.77260000000001,0.4,745.488,2
2016,Office Supplies,Storage,Home Office,South,25,264.8304,0.6000000000000001,2961.6620000000003,7
2017,Office Supplies,Storage,Home Office,South,40,459.07629999999983,1,2827.7380000000003,9
2014,Office Supplies,Storage,Home Office,West,34,552.0868999999998,0,2796.1,8
2015,Office Supplies,Storage,Home Office,West,31,111.46100000000008,0,1484.66,6
2016,Office Supplies,Storage,Home Office,West,23,278.05099999999976,0.2,2204.3559999999998,6
2017,Office Supplies,Storage,Home Office,West,77,383.93999999999994,0.8,5299.582,19
2014,Office Supplies,Supplies,Consumer,Central,8,3.927300000000002,0.4,43.632,2
2015,Office Supplies,Supplies,Consumer,Central,11,4.516200000000001,0.6000000000000001,78.488,3
2016,Office Supplies,Supplies,Consumer,Central,18,-819.4432000000003,1,4252.38,6
2017,Office Supplies,Supplies,Consumer,Central,26,28.907499999999985,1.2,185.41199999999998,9
2014,Office Supplies,Supplies,Consumer,East,22,-27.754800000000003,0.4,433.12800000000004,6
2015,Office Supplies,Supplies,Consumer,East,24,-122.0361,0.8,1184.818,7
2016,Office Supplies,Supplies,Consumer,East,51,-82.37489999999995,1,1875.5980000000004,12
2017,Office Supplies,Supplies,Consumer,East,40,-939.4698999999999,0.6000000000000001,5074.282000000001,10
2014,Office Supplies,Supplies,Consumer,South,10,9.7335,0.4,52.206,4
2015,Office Supplies,Supplies,Consumer,South,8,10.007999999999988,0.2,88.96000000000001,1
2016,Office Supplies,Supplies,Consumer,South,11,7.452899999999995,0.4,69.944,3
2017,Office Supplies,Supplies,Consumer,South,10,42.66480000000001,0.6000000000000001,1912.444,5
2014,Office Supplies,Supplies,Consumer,West,38,361.16859999999957,0.6000000000000001,8395.541999999998,10
2015,Office Supplies,Supplies,Consumer,West,28,42.0286,0.2,239.46399999999997,9
2016,Office Supplies,Supplies,Consumer,West,15,26.738800000000005,0,138.51999999999998,4
2017,Office Supplies,Supplies,Consumer,West,39,-203.61860000000004,0.6000000000000001,1716.678,9
2014,Office Supplies,Supplies,Corporate,Central,8,-0.6210000000000049,0.4,38.896,2
2015,Office Supplies,Supplies,Corporate,Central,13,10.814599999999995,0.6000000000000001,106.71799999999999,4
2016,Office Supplies,Supplies,Corporate,Central,5,7.691400000000002,0.2,42.528000000000006,2
2017,Office Supplies,Supplies,Corporate,Central,12,83.96480000000005,0.4,4194.785999999999,3
2014,Office Supplies,Supplies,Corporate,East,2,4.4564,0,17.14,1
2015,Office Supplies,Supplies,Corporate,East,,,,,
2016,Office Supplies,Supplies,Corporate,East,20,38.971199999999996,0.2,154.8,7
2017,Office Supplies,Supplies,Corporate,East,21,-56.325000000000045,0.4,1677.3180000000002,6
2014,Office Supplies,Supplies,Corporate,South,8,89.91100000000006,0,4189.549999999999,2
2015,Office Supplies,Supplies,Corporate,South,3,4.654799999999993,0.2,41.376,1
2016,Office Supplies,Supplies,Corporate,South,21,-226.52049999999997,0.8,1253.748,5
2017,Office Supplies,Supplies,Corporate,South,8,20.316800000000004,0,537.48,3
2014,Office Supplies,Supplies,Corporate,West,20,38.46860000000004,0.2,820.01,7
2015,Office Supplies,Supplies,Corporate,West,5,18.75509999999999,0,64.09,2
2016,Office Supplies,Supplies,Corporate,West,37,272.6279999999997,0.4,5904.524,10
2017,Office Supplies,Supplies,Corporate,West,19,31.760200000000005,0,392.32000000000005,6
2014,Office Supplies,Supplies,Home Office,Central,3,7.158600000000007,0,357.93,1
2015,Office Supplies,Supplies,Home Office,Central,13,6.347999999999995,0.2,139.24,2
2016,Office Supplies,Supplies,Home Office,Central,,,,,
2017,Office Supplies,Supplies,Home Office,Central,5,4.847700000000001,0.2,27.362,2
2014,Office Supplies,Supplies,Home Office,East,3,0.00039999999999906777,0.2,17.604000000000003,2
2015,Office Supplies,Supplies,Home Office,East,2,-0.6976000000000007,0.2,3.4880000000000004,1
2016,Office Supplies,Supplies,Home Office,East,6,16.199399999999997,0,55.86,2
2017,Office Supplies,Supplies,Home Office,East,4,13.895700000000016,0,266.08,2
2014,Office Supplies,Supplies,Home Office,South,2,-1.0410000000000006,0.2,5.5520000000000005,1
2015,Office Supplies,Supplies,Home Office,South,,,,,
2016,Office Supplies,Supplies,Home Office,South,9,34.17899999999999,0.2,132.608,3
2017,Office Supplies,Supplies,Home Office,South,2,10.517999999999997,0,35.06,1
2014,Office Supplies,Supplies,Home Office,West,6,4.647999999999998,0,22.88,2
2015,Office Supplies,Supplies,Home Office,West,2,0.7299999999999995,0.2,5.84,1
2016,Office Supplies,Supplies,Home Office,West,23,25.513999999999967,0.2,397.06600000000003,6
2017,Office Supplies,Supplies,Home Office,West,6,7.225199999999999,0.2,30.188000000000002,3
