15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.State Bottle Cost)
2015,Qtr 3,MAQUOKETA,34.67
2012,Qtr 3,MARCUS,
2013,Qtr 3,MARCUS,
2014,Qtr 3,MARCUS,
2015,Qtr 3,MARCUS,24.99
2012,Qtr 3,MARENGO,8.57
2013,Qtr 3,MARENGO,6.56
2014,Qtr 3,MARENGO,
2015,Qtr 3,MARENGO,8.25
2012,Qtr 3,MARION,81.8
2013,Qtr 3,MARION,99.42
2014,Qtr 3,MARION,101.24
2015,Qtr 3,MARION,43.09
2012,Qtr 3,MARSHALLTOWN,73.37
2013,Qtr 3,MARSHALLTOWN,89.22
2014,Qtr 3,MARSHALLTOWN,134.81
2015,Qtr 3,MARSHALLTOWN,58.39
2012,Qtr 3,MARTENSDALE,
2013,Qtr 3,MARTENSDALE,
2014,Qtr 3,MARTENSDALE,
2015,Qtr 3,MARTENSDALE,11.5
2012,Qtr 3,MASON CITY,90.75
2013,Qtr 3,MASON CITY,202.62
2014,Qtr 3,MASON CITY,250.13
2015,Qtr 3,MASON CITY,207.88
2012,Qtr 3,MCGREGOR,16.53
2013,Qtr 3,MCGREGOR,
2014,Qtr 3,MCGREGOR,
2015,Qtr 3,MCGREGOR,
2012,Qtr 3,MEDIAPOLIS,
2013,Qtr 3,MEDIAPOLIS,18.5
2014,Qtr 3,MEDIAPOLIS,25.23
2015,Qtr 3,MEDIAPOLIS,3.34
2012,Qtr 3,MELCHER-DALLAS,11
2013,Qtr 3,MELCHER-DALLAS,
2014,Qtr 3,MELCHER-DALLAS,9
2015,Qtr 3,MELCHER-DALLAS,
2012,Qtr 3,MILFORD,35.1
2013,Qtr 3,MILFORD,62.88
2014,Qtr 3,MILFORD,35.19
2015,Qtr 3,MILFORD,16.24
2012,Qtr 3,MINDEN,
2013,Qtr 3,MINDEN,
2014,Qtr 3,MINDEN,
2015,Qtr 3,MINDEN,8
2012,Qtr 3,MISSOURI VALLEY,27.95
2013,Qtr 3,MISSOURI VALLEY,14.25
2014,Qtr 3,MISSOURI VALLEY,32.04
2015,Qtr 3,MISSOURI VALLEY,
2012,Qtr 3,MONONA,27.69
2013,Qtr 3,MONONA,
2014,Qtr 3,MONONA,12.05
2015,Qtr 3,MONONA,31.99
2012,Qtr 3,MONROE,
2013,Qtr 3,MONROE,
2014,Qtr 3,MONROE,4.06
2015,Qtr 3,MONROE,12.8
2012,Qtr 3,MONTEZUMA,
2013,Qtr 3,MONTEZUMA,6.5
2014,Qtr 3,MONTEZUMA,7.17
2015,Qtr 3,MONTEZUMA,
2012,Qtr 3,MONTICELLO,84.97
2013,Qtr 3,MONTICELLO,12.22
2014,Qtr 3,MONTICELLO,21.75
2015,Qtr 3,MONTICELLO,43.28
2012,Qtr 3,MORAVIA,15.53
2013,Qtr 3,MORAVIA,
2014,Qtr 3,MORAVIA,
2015,Qtr 3,MORAVIA,24
2012,Qtr 3,MOUNT PLEASANT,12
2013,Qtr 3,MOUNT PLEASANT,6.94
2014,Qtr 3,MOUNT PLEASANT,36.15
2015,Qtr 3,MOUNT PLEASANT,36.4
2012,Qtr 3,MOUNT VERNON,17.97
2013,Qtr 3,MOUNT VERNON,10.45
2014,Qtr 3,MOUNT VERNON,2.5
2015,Qtr 3,MOUNT VERNON,49.79
2012,Qtr 3,MT PLEASANT,
2013,Qtr 3,MT PLEASANT,3.34
2014,Qtr 3,MT PLEASANT,
2015,Qtr 3,MT PLEASANT,
2012,Qtr 3,MT VERNON,103.54
2013,Qtr 3,MT VERNON,63.85
2014,Qtr 3,MT VERNON,123.97
2015,Qtr 3,MT VERNON,
2012,Qtr 3,MUSCATINE,147.69
2013,Qtr 3,MUSCATINE,136.94
2014,Qtr 3,MUSCATINE,123.2
2015,Qtr 3,MUSCATINE,99.04
2012,Qtr 3,NASHUA,
2013,Qtr 3,NASHUA,
2014,Qtr 3,NASHUA,6.02
2015,Qtr 3,NASHUA,42
2012,Qtr 3,NEOLA,4.83
2013,Qtr 3,NEOLA,
2014,Qtr 3,NEOLA,14.49
2015,Qtr 3,NEOLA,
2012,Qtr 3,NEVADA,43.4
2013,Qtr 3,NEVADA,32.37
2014,Qtr 3,NEVADA,17.98
2015,Qtr 3,NEVADA,12.48
2012,Qtr 3,NEW HAMPTON,
2013,Qtr 3,NEW HAMPTON,8.25
2014,Qtr 3,NEW HAMPTON,35.12
2015,Qtr 3,NEW HAMPTON,
2012,Qtr 3,NEW VIRGINIA,
2013,Qtr 3,NEW VIRGINIA,
2014,Qtr 3,NEW VIRGINIA,3.07
2015,Qtr 3,NEW VIRGINIA,
2012,Qtr 3,NEWTON,92.26
2013,Qtr 3,NEWTON,68.21
2014,Qtr 3,NEWTON,83.21
2015,Qtr 3,NEWTON,115.08
2012,Qtr 3,NORTH ENGLISH,7.5
2013,Qtr 3,NORTH ENGLISH,
2014,Qtr 3,NORTH ENGLISH,
2015,Qtr 3,NORTH ENGLISH,
2012,Qtr 3,NORTH LIBERTY,18.81
2013,Qtr 3,NORTH LIBERTY,48.81
2014,Qtr 3,NORTH LIBERTY,25.48
2015,Qtr 3,NORTH LIBERTY,29.19
2012,Qtr 3,Northwood,
2013,Qtr 3,Northwood,
2014,Qtr 3,Northwood,11.18
2015,Qtr 3,Northwood,9.14
2012,Qtr 3,NORWALK,
2013,Qtr 3,NORWALK,16.98
2014,Qtr 3,NORWALK,43.7
2015,Qtr 3,NORWALK,34.91
2012,Qtr 3,OAKLAND,8.5
2013,Qtr 3,OAKLAND,8.25
2014,Qtr 3,OAKLAND,
2015,Qtr 3,OAKLAND,
2012,Qtr 3,OELWEIN,13.54
2013,Qtr 3,OELWEIN,6.51
2014,Qtr 3,OELWEIN,31.93
2015,Qtr 3,OELWEIN,39.37
2012,Qtr 3,OGDEN,
2013,Qtr 3,OGDEN,7.87
2014,Qtr 3,OGDEN,
2015,Qtr 3,OGDEN,
2012,Qtr 3,ONAWA,19.17
2013,Qtr 3,ONAWA,29.24
2014,Qtr 3,ONAWA,38.96
2015,Qtr 3,ONAWA,
2012,Qtr 3,ORANGE CITY,6.5
2013,Qtr 3,ORANGE CITY,
2014,Qtr 3,ORANGE CITY,
2015,Qtr 3,ORANGE CITY,5
2012,Qtr 3,OSAGE,27.38
2013,Qtr 3,OSAGE,29.21
2014,Qtr 3,OSAGE,
2015,Qtr 3,OSAGE,54.45
2012,Qtr 3,OSCEOLA,13.63
2013,Qtr 3,OSCEOLA,11.01
2014,Qtr 3,OSCEOLA,4.09
2015,Qtr 3,OSCEOLA,9.15
2012,Qtr 3,OSKALOOSA,51.61
2013,Qtr 3,OSKALOOSA,107.69
2014,Qtr 3,OSKALOOSA,38.2
2015,Qtr 3,OSKALOOSA,48.19
2012,Qtr 3,OSSIAN,35.82
2013,Qtr 3,OSSIAN,7.2
2014,Qtr 3,OSSIAN,9.71
2015,Qtr 3,OSSIAN,
2012,Qtr 3,OTTUMWA,24.64
2013,Qtr 3,OTTUMWA,26.28
2014,Qtr 3,OTTUMWA,70.52
2015,Qtr 3,OTTUMWA,68.76
2012,Qtr 3,OTTUWMA,20.6
2013,Qtr 3,OTTUWMA,17.83
2014,Qtr 3,OTTUWMA,56.86
2015,Qtr 3,OTTUWMA,19.42
2012,Qtr 3,PACIFIC JUNCTION,
2013,Qtr 3,PACIFIC JUNCTION,
2014,Qtr 3,PACIFIC JUNCTION,11
2015,Qtr 3,PACIFIC JUNCTION,
2012,Qtr 3,PANORA,7.96
2013,Qtr 3,PANORA,14.75
2014,Qtr 3,PANORA,14.55
2015,Qtr 3,PANORA,10.08
2012,Qtr 3,PARKERSBURG,
2013,Qtr 3,PARKERSBURG,11.45
2014,Qtr 3,PARKERSBURG,
2015,Qtr 3,PARKERSBURG,
2012,Qtr 3,PAULLINA,12.83
2013,Qtr 3,PAULLINA,27.37
2014,Qtr 3,PAULLINA,
2015,Qtr 3,PAULLINA,10
2012,Qtr 3,PELLA,34.3
2013,Qtr 3,PELLA,
2014,Qtr 3,PELLA,35.59
2015,Qtr 3,PELLA,32.45
2012,Qtr 3,PEOSTA,8.5
2013,Qtr 3,PEOSTA,
2014,Qtr 3,PEOSTA,
2015,Qtr 3,PEOSTA,
2012,Qtr 3,PERRY,6.73
2013,Qtr 3,PERRY,54.47
2014,Qtr 3,PERRY,25.9
2015,Qtr 3,PERRY,27.09
2012,Qtr 3,PLEASANT HILL,7.36
2013,Qtr 3,PLEASANT HILL,19.49
2014,Qtr 3,PLEASANT HILL,35.1
2015,Qtr 3,PLEASANT HILL,6.88
2012,Qtr 3,PLEASANTVILLE,
2013,Qtr 3,PLEASANTVILLE,
2014,Qtr 3,PLEASANTVILLE,6.25
2015,Qtr 3,PLEASANTVILLE,13.01
2012,Qtr 3,POCAHONTAS,6.75
2013,Qtr 3,POCAHONTAS,7.46
2014,Qtr 3,POCAHONTAS,23.24
2015,Qtr 3,POCAHONTAS,
2012,Qtr 3,POLK CITY,30
2013,Qtr 3,POLK CITY,
2014,Qtr 3,POLK CITY,4.75
2015,Qtr 3,POLK CITY,
2012,Qtr 3,POSTVILLE,
2013,Qtr 3,POSTVILLE,
2014,Qtr 3,POSTVILLE,14.98
2015,Qtr 3,POSTVILLE,
2012,Qtr 3,PRIMGHAR,7.49
2013,Qtr 3,PRIMGHAR,
2014,Qtr 3,PRIMGHAR,
2015,Qtr 3,PRIMGHAR,
2012,Qtr 3,PRINCETON,
2013,Qtr 3,PRINCETON,
2014,Qtr 3,PRINCETON,11
2015,Qtr 3,PRINCETON,
2012,Qtr 3,RED OAK,6.75
2013,Qtr 3,RED OAK,17.95
2014,Qtr 3,RED OAK,12.82
2015,Qtr 3,RED OAK,11.49
2012,Qtr 3,REINBECK,
2013,Qtr 3,REINBECK,
2014,Qtr 3,REINBECK,9.7
2015,Qtr 3,REINBECK,
2012,Qtr 3,REMSEN,10
2013,Qtr 3,REMSEN,
2014,Qtr 3,REMSEN,
2015,Qtr 3,REMSEN,21.74
2012,Qtr 3,RIVERSIDE,
2013,Qtr 3,RIVERSIDE,38.93
2014,Qtr 3,RIVERSIDE,
2015,Qtr 3,RIVERSIDE,32.89
2012,Qtr 3,ROCK RAPIDS,20.65
2013,Qtr 3,ROCK RAPIDS,26.99
2014,Qtr 3,ROCK RAPIDS,8
2015,Qtr 3,ROCK RAPIDS,43.57
2012,Qtr 3,ROCK VALLEY,17.94
2013,Qtr 3,ROCK VALLEY,12.5
2014,Qtr 3,ROCK VALLEY,9.14
2015,Qtr 3,ROCK VALLEY,
2012,Qtr 3,ROCKWELL,4.22
2013,Qtr 3,ROCKWELL,17.9
2014,Qtr 3,ROCKWELL,
2015,Qtr 3,ROCKWELL,5.78
2012,Qtr 3,ROCKWELL CITY,6.3
2013,Qtr 3,ROCKWELL CITY,48
2014,Qtr 3,ROCKWELL CITY,21.3
2015,Qtr 3,ROCKWELL CITY,7.67
2012,Qtr 3,RUTHVEN,15.53
2013,Qtr 3,RUTHVEN,
2014,Qtr 3,RUTHVEN,
2015,Qtr 3,RUTHVEN,
2012,Qtr 3,SAC CITY,35.99
2013,Qtr 3,SAC CITY,15.59
2014,Qtr 3,SAC CITY,18.01
2015,Qtr 3,SAC CITY,30.67
2012,Qtr 3,SANBORN,
2013,Qtr 3,SANBORN,8.32
2014,Qtr 3,SANBORN,
2015,Qtr 3,SANBORN,3.07
2012,Qtr 3,SCHALLER,15
2013,Qtr 3,SCHALLER,11.75
2014,Qtr 3,SCHALLER,
2015,Qtr 3,SCHALLER,
2012,Qtr 3,SCHLESWIG,
2013,Qtr 3,SCHLESWIG,11
2014,Qtr 3,SCHLESWIG,8
2015,Qtr 3,SCHLESWIG,
2012,Qtr 3,SCRANTON,6.9
2013,Qtr 3,SCRANTON,
2014,Qtr 3,SCRANTON,
2015,Qtr 3,SCRANTON,
2012,Qtr 3,SERGEANT BLUFF,6.27
2013,Qtr 3,SERGEANT BLUFF,9.7
2014,Qtr 3,SERGEANT BLUFF,4.2
2015,Qtr 3,SERGEANT BLUFF,16.97
2012,Qtr 3,SHELDON,31.09
2013,Qtr 3,SHELDON,39.95
2014,Qtr 3,SHELDON,3.37
2015,Qtr 3,SHELDON,40.35
2012,Qtr 3,SHELLSBURG,
2013,Qtr 3,SHELLSBURG,22.96
2014,Qtr 3,SHELLSBURG,25.99
2015,Qtr 3,SHELLSBURG,8.5
2012,Qtr 3,SHENANDOAH,39.09
2013,Qtr 3,SHENANDOAH,45.08
2014,Qtr 3,SHENANDOAH,15.83
2015,Qtr 3,SHENANDOAH,47.67
2012,Qtr 3,SIBLEY,7.53
2013,Qtr 3,SIBLEY,31.8
2014,Qtr 3,SIBLEY,17.9
2015,Qtr 3,SIBLEY,
2012,Qtr 3,SIGOURNEY,
2013,Qtr 3,SIGOURNEY,
2014,Qtr 3,SIGOURNEY,14.99
2015,Qtr 3,SIGOURNEY,
2012,Qtr 3,SIOUX CENTER,
2013,Qtr 3,SIOUX CENTER,14.67
2014,Qtr 3,SIOUX CENTER,36.46
2015,Qtr 3,SIOUX CENTER,3.84
2012,Qtr 3,SIOUX CITY,278.18
2013,Qtr 3,SIOUX CITY,209
2014,Qtr 3,SIOUX CITY,234.32
2015,Qtr 3,SIOUX CITY,281.57
2012,Qtr 3,SIOUX RAPIDS,8.06
2013,Qtr 3,SIOUX RAPIDS,
2014,Qtr 3,SIOUX RAPIDS,
2015,Qtr 3,SIOUX RAPIDS,15
2012,Qtr 3,SLATER,
2013,Qtr 3,SLATER,7.2
2014,Qtr 3,SLATER,
2015,Qtr 3,SLATER,
2012,Qtr 3,SLOAN,
2013,Qtr 3,SLOAN,
2014,Qtr 3,SLOAN,
2015,Qtr 3,SLOAN,14.04
2012,Qtr 3,SOLON,20.95
2013,Qtr 3,SOLON,9.43
2014,Qtr 3,SOLON,
2015,Qtr 3,SOLON,50.67
2012,Qtr 3,SPENCER,70.35
2013,Qtr 3,SPENCER,74.96
2014,Qtr 3,SPENCER,103.56
2015,Qtr 3,SPENCER,89.05
2012,Qtr 3,SPIRIT LAKE,105.57
2013,Qtr 3,SPIRIT LAKE,82.93
2014,Qtr 3,SPIRIT LAKE,89.86
2015,Qtr 3,SPIRIT LAKE,82.81
2012,Qtr 3,ST ANSGAR,
2013,Qtr 3,ST ANSGAR,12.28
2014,Qtr 3,ST ANSGAR,8.92
2015,Qtr 3,ST ANSGAR,9.25
2012,Qtr 3,STATE CENTER,
2013,Qtr 3,STATE CENTER,31.37
2014,Qtr 3,STATE CENTER,
2015,Qtr 3,STATE CENTER,
2012,Qtr 3,STORM LAKE,62.48
2013,Qtr 3,STORM LAKE,112.14
2014,Qtr 3,STORM LAKE,162.99
2015,Qtr 3,STORM LAKE,64.96
2012,Qtr 3,STORY CITY,4.5
2013,Qtr 3,STORY CITY,5.23
2014,Qtr 3,STORY CITY,32.98
2015,Qtr 3,STORY CITY,30.15
2012,Qtr 3,STRATFORD,
2013,Qtr 3,STRATFORD,4
2014,Qtr 3,STRATFORD,
2015,Qtr 3,STRATFORD,
2012,Qtr 3,STRAWBERRY POINT,
2013,Qtr 3,STRAWBERRY POINT,11.6
2014,Qtr 3,STRAWBERRY POINT,
2015,Qtr 3,STRAWBERRY POINT,11.42
2012,Qtr 3,STUART,8.49
2013,Qtr 3,STUART,6.25
2014,Qtr 3,STUART,17.75
2015,Qtr 3,STUART,
2012,Qtr 3,SUMNER,9.43
2013,Qtr 3,SUMNER,1.56
2014,Qtr 3,SUMNER,
2015,Qtr 3,SUMNER,20.44
2012,Qtr 3,SUTHERLAND,14.67
2013,Qtr 3,SUTHERLAND,
2014,Qtr 3,SUTHERLAND,
2015,Qtr 3,SUTHERLAND,
2012,Qtr 3,SWEA CITY,
2013,Qtr 3,SWEA CITY,
2014,Qtr 3,SWEA CITY,2.26
2015,Qtr 3,SWEA CITY,
2012,Qtr 3,SWISHER,9.65
2013,Qtr 3,SWISHER,4.33
2014,Qtr 3,SWISHER,4.75
2015,Qtr 3,SWISHER,37.46
2012,Qtr 3,TIFFIN,20.5
2013,Qtr 3,TIFFIN,
2014,Qtr 3,TIFFIN,9.7
2015,Qtr 3,TIFFIN,11.49
2012,Qtr 3,TIPTON,18.08
2013,Qtr 3,TIPTON,
2014,Qtr 3,TIPTON,29.51
2015,Qtr 3,TIPTON,29.47
2012,Qtr 3,TOLEDO,29.6
2013,Qtr 3,TOLEDO,13.96
2014,Qtr 3,TOLEDO,40.46
2015,Qtr 3,TOLEDO,8.98
2012,Qtr 3,TRAER,
2013,Qtr 3,TRAER,
2014,Qtr 3,TRAER,2.01
2015,Qtr 3,TRAER,
2012,Qtr 3,TRIPOLI,7.85
2013,Qtr 3,TRIPOLI,3.7
2014,Qtr 3,TRIPOLI,
2015,Qtr 3,TRIPOLI,8.25
2012,Qtr 3,URBANDALE,40.6
2013,Qtr 3,URBANDALE,71.45
2014,Qtr 3,URBANDALE,125.84
2015,Qtr 3,URBANDALE,112.76
2012,Qtr 3,VAN METER,
2013,Qtr 3,VAN METER,1.8
2014,Qtr 3,VAN METER,19.45
2015,Qtr 3,VAN METER,
2012,Qtr 3,VILLISCA,
2013,Qtr 3,VILLISCA,
2014,Qtr 3,VILLISCA,
2015,Qtr 3,VILLISCA,15.07
2012,Qtr 3,VINTON,43.14
2013,Qtr 3,VINTON,3.39
2014,Qtr 3,VINTON,
2015,Qtr 3,VINTON,19.45
2012,Qtr 3,WALNUT,
2013,Qtr 3,WALNUT,
2014,Qtr 3,WALNUT,
2015,Qtr 3,WALNUT,12.05
2012,Qtr 3,WAPELLO,12.04
2013,Qtr 3,WAPELLO,23.67
2014,Qtr 3,WAPELLO,
2015,Qtr 3,WAPELLO,
2012,Qtr 3,WASHINGTON,68.56
2013,Qtr 3,WASHINGTON,
2014,Qtr 3,WASHINGTON,31.75
2015,Qtr 3,WASHINGTON,58.97
2012,Qtr 3,WATERLOO,196.26
2013,Qtr 3,WATERLOO,234.42
2014,Qtr 3,WATERLOO,239.46
2015,Qtr 3,WATERLOO,285.34
2012,Qtr 3,WAUKEE,30.61
2013,Qtr 3,WAUKEE,28.93
2014,Qtr 3,WAUKEE,44.33
2015,Qtr 3,WAUKEE,39.33
2012,Qtr 3,WAUKON,24.26
2013,Qtr 3,WAUKON,40.73
2014,Qtr 3,WAUKON,6
2015,Qtr 3,WAUKON,14.99
2012,Qtr 3,WAVERLY,40.39
2013,Qtr 3,WAVERLY,60.45
2014,Qtr 3,WAVERLY,55.92
2015,Qtr 3,WAVERLY,45.07
2012,Qtr 3,WEBSTER CITY,46.87
2013,Qtr 3,WEBSTER CITY,54.11
2014,Qtr 3,WEBSTER CITY,16.83
2015,Qtr 3,WEBSTER CITY,23.46
2012,Qtr 3,WELLMAN,
2013,Qtr 3,WELLMAN,24.49
2014,Qtr 3,WELLMAN,13.65
2015,Qtr 3,WELLMAN,
2012,Qtr 3,WELLSBURG,
2013,Qtr 3,WELLSBURG,7
2014,Qtr 3,WELLSBURG,
2015,Qtr 3,WELLSBURG,1.8
2012,Qtr 3,WEST BEND,8.99
2013,Qtr 3,WEST BEND,
2014,Qtr 3,WEST BEND,
2015,Qtr 3,WEST BEND,
2012,Qtr 3,WEST BRANCH,12
2013,Qtr 3,WEST BRANCH,12.12
2014,Qtr 3,WEST BRANCH,24.59
2015,Qtr 3,WEST BRANCH,6.5
2012,Qtr 3,WEST BURLINGTON,
2013,Qtr 3,WEST BURLINGTON,
2014,Qtr 3,WEST BURLINGTON,29.72
2015,Qtr 3,WEST BURLINGTON,47.99
2012,Qtr 3,WEST DES MOINES,170.3
2013,Qtr 3,WEST DES MOINES,302.7
2014,Qtr 3,WEST DES MOINES,283.47
2015,Qtr 3,WEST DES MOINES,258.45
2012,Qtr 3,WEST LIBERTY,
2013,Qtr 3,WEST LIBERTY,21.19
2014,Qtr 3,WEST LIBERTY,37.24
2015,Qtr 3,WEST LIBERTY,1.96
2012,Qtr 3,WEST POINT,20.76
2013,Qtr 3,WEST POINT,
2014,Qtr 3,WEST POINT,
2015,Qtr 3,WEST POINT,15.25
2012,Qtr 3,WEST UNION,7.13
2013,Qtr 3,WEST UNION,32.08
2014,Qtr 3,WEST UNION,9.79
2015,Qtr 3,WEST UNION,
2012,Qtr 3,WILLIAMSBURG,9.49
2013,Qtr 3,WILLIAMSBURG,6.82
2014,Qtr 3,WILLIAMSBURG,
2015,Qtr 3,WILLIAMSBURG,9
2012,Qtr 3,WILTON,21.58
2013,Qtr 3,WILTON,
2014,Qtr 3,WILTON,24.28
2015,Qtr 3,WILTON,12.47
2012,Qtr 3,WINDSOR HEIGHTS,32.25
2013,Qtr 3,WINDSOR HEIGHTS,65.46
2014,Qtr 3,WINDSOR HEIGHTS,82.6
2015,Qtr 3,WINDSOR HEIGHTS,102.16
2012,Qtr 3,WINTERSET,19.59
2013,Qtr 3,WINTERSET,11.67
2014,Qtr 3,WINTERSET,68.32
2015,Qtr 3,WINTERSET,8.98
2012,Qtr 3,WINTHROP,11.82
2013,Qtr 3,WINTHROP,
2014,Qtr 3,WINTHROP,
2015,Qtr 3,WINTHROP,17.06
2012,Qtr 3,WOODBINE,7.53
2013,Qtr 3,WOODBINE,5.51
2014,Qtr 3,WOODBINE,
2015,Qtr 3,WOODBINE,
